,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,mitten,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
pig,0.8201464,1.1582518,0.8997408,1.0746082,1.0620977,0.8280557,1.0364699,0.90679115,0.7980323,1.2922764,1.1837927,0.9521494,0.70325124,1.1078143,1.0030597,1.2392204,1.0357269,0.92697084,1.3521416,1.1349032,1.1813048,1.2757844,1.0487477,0.92641985,0.8224152,1.0739645,0.9936064,0.9551003,0.77846503,0.91925496,1.3377861,0.9182732,1.2610071,0.82237864,0.74573267,1.0291145,1.1144844,1.1215892,1.0813527,1.1596406,0.70893264,1.0918242,0.9574174,1.0916653,1.0362471,0.9731722,1.2228283,0.90135837,0.53728896,1.050417,1.1210449,1.135061,1.0239822,1.1342194,0.8407018,0.77656007,0.91872025,1.2519431,0.92082405,1.2036794,0.5274939,1.2333184,1.0561008,1.2477305,1.2470177,1.2717518,0.7761371,0.91660583,1.043622,1.3288486,1.3235247,0.0,1.2170726,0.8824168,1.1344466,1.0377839,1.0381306,0.26713634,0.9936566,1.1911908,1.1001409,1.1315182,0.70487404,1.065717,0.930897,1.0195771,1.0852035,1.0064647,0.9519014,1.2647763,1.1348693,1.0623419,0.8495527,1.1515713,1.1832201,1.1304349,0.91770816,0.8254238,1.1197019,0.8902143,0.93813276,1.2165582,1.299736,1.0226799
pillow,1.0584122,0.90306515,1.3027674,0.8887807,0.8858286,1.3214772,0.9448393,1.2790323,1.143831,0.71620446,0.8626018,1.0788094,1.1359067,0.74741507,1.2779636,0.64763385,0.98040855,1.4254332,0.71958137,0.7330176,0.9956492,0.58901066,0.82501584,1.0086454,1.1235411,0.7679834,1.1261665,1.1228977,1.02443,1.2816916,0.7389207,1.032998,0.7831149,1.0601509,0.8161041,1.0134857,0.743953,0.8184346,1.0394233,1.0769147,0.82843214,0.9590503,1.2276994,1.0440736,0.62495196,1.4225408,1.0468279,0.6394872,1.3655366,1.1340308,0.9421663,0.85653925,1.1962818,0.4645952,1.2133229,1.3604498,1.1357479,0.631371,1.0892677,0.71898556,1.20412,0.8220606,0.7545881,0.68051267,0.7340892,0.7026276,1.106041,1.1331997,1.2430091,0.8258846,0.8141245,1.2170726,0.0,1.3741677,0.78106064,1.1327252,1.0922921,1.1621556,0.84191155,0.650585,0.7934568,0.76745385,1.1430377,1.1264079,1.1958998,1.1635356,0.91621196,0.9644591,1.2189028,0.6913167,0.76947045,1.0732884,1.5164587,0.67056435,0.9507654,0.80817467,1.3141656,0.7899124,0.8690925,1.4547188,1.0484554,0.75387454,0.9990702,0.9940664
pizza,0.9124844,1.1609008,1.0091093,1.1836566,1.1101387,0.6551546,0.9401741,1.003072,0.83168525,1.2763679,1.1468589,0.86016,0.8947421,1.1375663,0.41522467,1.1216513,1.0276718,0.5762289,1.336409,1.2408321,0.9590961,1.2817868,1.0193076,0.9162668,0.8690115,1.1693897,0.6855347,0.5962804,0.87852556,0.37375307,1.2804773,0.85016906,1.28442,0.94562125,0.8884306,1.0979122,1.0897592,1.1823392,1.1457034,1.252643,1.0409126,0.9518653,1.0008842,1.1312189,1.0758852,0.3638717,1.2065897,1.2052895,0.66443306,0.859755,1.2168751,1.1310978,1.0341948,1.3573645,0.8294008,0.868484,1.1116223,1.3122278,0.96917933,1.2316934,0.99468434,1.2750723,1.2082334,1.2511661,1.1896517,1.2171515,0.9258119,1.0806234,0.68446016,1.3580409,1.2395343,0.8824168,1.3741677,0.0,1.0865253,0.8961209,1.0665781,0.9651119,0.96645325,1.0393643,1.0151641,1.1583072,0.9132798,0.92277056,1.0320181,1.1123776,1.1860669,0.9722395,0.8870581,1.3500268,1.2158617,0.9066623,0.51989734,1.1489064,1.3107291,1.1140391,0.7018611,1.176974,0.9940495,0.5026467,0.9664033,1.2289182,1.3094647,1.0479897
plant,1.0542207,0.67042136,1.3657119,0.7681267,0.86564946,1.096807,0.9048928,1.280111,1.159074,0.6591576,1.1064786,1.3798401,1.3536658,0.7618885,1.2077186,0.63818175,0.8800374,1.2446721,0.80645907,0.72789943,0.8279275,0.7310343,0.86712855,1.139768,1.1911556,0.9237245,1.0029851,1.1742169,1.2713298,1.1178054,0.61806387,1.0654579,0.6950634,0.99971133,0.9969641,0.9613939,0.8855757,0.9796293,0.8843237,1.1366851,0.8026475,0.45456684,1.1619107,1.103638,0.60081095,1.2253016,0.90791667,1.0444982,1.1321067,1.0638254,0.88964677,1.0840989,1.2717364,0.77769333,1.1960254,1.3751388,1.4323647,1.0131263,1.2020199,0.6506866,1.396014,0.7092973,0.8428572,0.7190527,0.6871922,0.76476705,1.3528136,1.408723,1.1907895,0.85597223,0.69726306,1.1344466,0.78106064,1.0865253,0.0,1.1613536,1.2672688,1.1850314,1.2143006,0.6511307,0.9368754,0.93927145,1.1391639,1.0523595,1.3253896,1.2623326,1.1212481,1.0217489,1.1120684,0.6601583,1.0038567,1.1165584,1.3133051,0.72179556,0.9728377,0.8981665,1.2431418,0.9918024,0.6724621,1.2830381,0.7234611,0.6473981,0.7673812,0.9283818
plate,0.6763211,1.2877926,0.86112475,1.1922252,1.1105572,0.827295,0.85017484,0.7859746,1.0102534,1.210737,0.759762,0.82388836,1.1305943,0.939163,0.66289663,1.1867065,0.74594176,0.7080001,1.1025988,1.0871253,1.0426266,1.170533,0.9177123,1.1062019,0.952283,1.0335745,0.86630386,0.9253833,1.0333767,0.85835254,1.2594025,0.9152872,1.1439873,0.86151576,1.033692,1.0985578,0.8973855,1.0754014,1.121069,1.0670598,0.9694044,0.996062,1.1295925,0.9892776,0.9763896,0.77114636,1.120029,1.1379371,0.9206245,0.93189996,1.2026203,0.92439246,0.94021916,1.1863525,0.8796654,1.0359946,0.99637043,1.0585448,0.92963296,1.1474617,1.0272845,1.2442166,1.106765,1.195869,1.2304782,1.0282071,1.1506195,1.019502,0.6199819,1.1123844,1.1386698,1.0377839,1.1327252,0.8961209,1.1613536,0.0,0.907035,1.0313863,1.0061216,1.0229266,0.9413167,1.1569542,0.99751294,0.8217561,0.92052704,1.0528438,1.0369462,1.0057651,0.45763052,1.2616289,1.1181964,0.8598509,0.64803565,1.0217249,1.2337707,1.0536252,0.80680263,1.3047566,1.1343023,0.64814043,1.1052833,1.1178683,1.2124611,0.9267827
pony,0.9280525,1.3800175,0.5760889,1.3378444,1.2974331,1.0004463,1.0545907,0.74856806,0.848393,1.2459447,0.5795206,0.84300935,0.5063506,1.3345389,0.95040876,1.3429303,1.2020501,0.9078451,1.1262243,1.325473,1.1186422,1.2603644,1.2063982,0.91487145,0.72769284,0.9223877,0.9595558,0.87653434,0.75377786,1.0928905,1.3648458,0.87523824,1.3477566,0.9627769,1.1174024,0.8722025,0.9908622,1.1150063,1.2543061,1.1350036,1.1176277,1.2904472,1.1142211,0.986203,1.2508888,0.86019075,1.1281332,0.9937138,1.069261,1.0988504,1.1310874,0.885623,0.91050905,1.1225379,0.77320844,0.5618768,0.63453555,0.9703708,0.8375973,1.2856905,0.64782476,1.3077145,1.1935698,1.2599808,1.2820437,1.1505754,0.51671964,0.6342829,0.8179069,1.064666,1.2618551,1.0381306,1.0922921,1.0665781,1.2672688,0.907035,0.0,0.9349867,0.9349901,1.1297398,1.0406588,0.9578022,0.71980274,1.0981216,0.616283,0.5757372,0.89774096,1.0832375,0.85749394,1.3068027,1.2008996,0.8775873,0.8579023,1.3372859,1.2000214,1.0130997,0.80073345,1.1647537,1.4930505,0.8994393,0.8463082,1.1333857,1.188622,0.8748311
pumpkin,0.9001266,1.1680322,0.8298913,1.1036433,1.0631096,0.9730778,1.1057861,0.8975957,0.90233994,1.2934009,1.0568041,0.97107714,0.7854045,1.1685259,1.1032131,1.2542528,1.0553788,1.0382818,1.1195338,1.1824218,1.0915581,1.2693615,1.1011544,0.88997984,0.8289907,1.0816264,1.1032002,0.9564518,0.87799835,1.0503392,1.3279881,0.9638015,1.2138053,0.9299044,0.84917134,1.0138539,1.1023605,1.0802332,1.0835223,1.0529501,0.68780625,1.1508923,0.96557593,1.0949275,1.0922376,1.018608,1.0222452,0.8737687,0.667139,1.0503602,0.8885532,0.91567004,0.83258724,1.066042,0.9185887,0.80471003,0.9451955,1.1002651,0.9904818,1.1950828,0.54464,1.1491971,1.0734571,1.159387,1.236906,1.3126118,0.77207613,0.91859376,1.0981531,1.1453834,1.3064286,0.26713634,1.1621556,0.9651119,1.1850314,1.0313863,0.9349867,0.0,1.0117931,1.2201273,1.1692724,0.9156917,0.76669544,1.0701038,0.89665407,1.0139954,0.9786863,1.0467277,1.0417898,1.2337465,1.1016021,1.0376835,0.96476305,1.2444345,0.983351,1.1076367,0.9528456,0.82074094,1.2876627,0.9966229,0.9828036,1.1737736,1.1355495,1.0003006
purse,0.91984373,1.2405579,1.0492665,1.151453,1.0051011,0.8952047,0.76069385,1.1344793,1.0227238,1.3109423,1.014113,0.8430673,0.834518,1.1136391,0.6634817,1.0893748,1.1487914,0.7612871,1.1740341,1.0234653,1.014727,0.853174,1.1029365,0.8164218,1.1530699,0.9137283,0.83565646,0.84218395,0.91844964,0.8297167,1.2359349,0.9046027,1.1798933,1.0061842,0.7624715,1.0316108,0.99708766,1.0099137,1.1550198,1.1794281,1.051897,1.1271724,1.0463396,0.83660436,0.989213,0.9640052,1.2789454,0.74132323,1.0325841,0.65151584,1.2277509,0.88070667,0.95868134,0.9761111,1.092533,0.80021864,1.0483791,0.9495569,0.82865834,1.2580686,0.7321593,1.2604585,0.964098,1.1303341,1.1333216,1.0612969,0.7777465,1.0332904,0.8574053,1.1629447,1.1628618,0.9936566,0.84191155,0.96645325,1.2143006,1.0061216,0.9349901,1.0117931,0.0,1.015267,0.79110336,0.9190569,0.7749541,0.82278025,1.0619885,0.8333304,1.0248135,0.87321544,1.1135491,1.2648363,0.9909979,1.1757042,0.9452693,1.0768492,1.188158,0.95506954,0.7407153,0.82236177,1.087903,0.73609376,1.1078441,0.97124434,1.3118584,1.1812396
radio,1.1159075,0.89509964,1.3429725,0.86417013,0.91725063,1.1464643,0.7171865,1.1651932,1.0347451,0.87225884,0.8725013,1.2119473,1.2891898,0.7495953,1.0025607,0.62777597,0.90549284,1.0398977,0.9644869,0.7363391,1.0585507,0.52425253,0.8339909,1.0854369,1.1963702,0.8488819,0.9706507,1.1455209,1.1043153,1.0940293,0.8912831,0.8467064,0.7660396,1.0692238,0.9220751,0.8293425,0.69927835,1.1205459,0.9568798,1.2441037,1.0138984,0.7113803,1.1871517,1.1934987,0.8112099,1.0972025,1.1105746,0.98033845,1.1367325,1.0592668,1.0621566,1.000975,1.2596147,0.7154967,1.1127772,1.3436232,1.2803584,0.9901671,1.0137329,0.6897357,1.3726753,0.9103085,0.841517,0.72946525,0.6620784,0.5634266,1.2448404,1.2559655,1.0288895,1.0941492,0.9113679,1.1911908,0.650585,1.0393643,0.6511307,1.0229266,1.1297398,1.2201273,1.015267,0.0,0.6532569,1.0340399,1.1296703,1.1488038,1.1848273,1.3017178,1.123293,1.1188908,0.96614724,0.9048825,1.0589062,1.0241243,1.1772223,0.79273164,1.1098204,0.9739338,1.2453487,0.9569488,0.81924134,1.0794846,1.019247,0.6409071,1.0828784,0.85441583
refrigerator,1.0281191,1.2159947,1.2301825,1.1735346,1.078787,1.0925993,0.63568,0.9620428,0.831775,1.207838,0.7751291,0.96731466,1.0396315,1.0424485,0.9274377,0.905064,0.9033407,0.9651545,1.1477847,0.8431032,1.15595,0.7180574,0.98594433,0.9303377,1.051009,0.67783946,0.8195952,1.049453,0.8247365,1.0506463,1.2198677,0.64817154,1.0618539,1.0163604,0.8087886,0.6242593,0.7735455,1.0099218,1.1448454,1.2324119,1.1172434,0.9991402,1.0818311,1.1734321,0.9925831,0.9334633,1.2641817,1.0016981,1.0776957,1.0073959,1.1885694,0.92995125,1.1662627,1.0586045,1.0048379,1.163303,1.0229234,0.9836074,0.7106581,1.0081235,1.1350663,1.26427,1.0504979,1.1157092,1.0939412,0.55381376,0.9881343,0.92299086,1.0204737,1.2302184,1.1676428,1.1001409,0.7934568,1.0151641,0.9368754,0.9413167,1.0406588,1.1692724,0.79110336,0.6532569,0.0,1.0828472,1.0888777,1.0608723,0.9295727,1.1647537,0.85045755,0.91453445,0.94236207,1.2623875,0.98762983,0.99441993,0.99547976,0.99039835,1.2687392,0.93038285,1.0309399,1.1777297,1.0851707,0.9219067,0.9081994,0.6564566,1.3173486,0.87122047
