,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,mitten,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
rooster,1.2021637,0.9743962,1.1518868,0.996506,1.0412284,1.1208227,1.1657648,1.0851718,1.2181494,0.9312455,0.95135415,1.038127,1.0570911,1.1275924,1.2629695,0.96784055,1.2094858,1.3117381,0.66454816,1.1156176,0.8210658,0.9212829,1.0776551,0.9516686,1.0405157,1.0276312,1.0552362,1.0335915,1.2496033,1.1512868,0.8881273,1.1107571,0.9944874,1.0627824,0.956934,1.0588661,1.0257661,0.66160345,1.0421842,0.87575585,0.82093924,1.0368023,0.91840184,1.0489558,0.87788427,1.1923875,0.856439,0.798686,1.1590674,1.0252488,0.77748233,0.6200596,0.7814458,0.7981629,1.0101721,1.1279893,1.1574684,0.6719949,1.1113223,1.0324131,0.8737347,0.7932184,1.0551344,0.8339639,1.0641237,1.004174,0.9846577,1.1524127,1.2373891,0.7811255,1.0165697,1.1315182,0.76745385,1.1583072,0.93927145,1.1569542,0.9578022,0.9156917,0.9190569,1.0340399,1.0828472,0.0,1.0578765,1.0943888,1.1941648,0.86663955,0.9355962,0.91616374,1.2548664,0.77007526,0.73368394,1.0932835,1.3793211,1.0319637,0.66591847,0.9192985,1.121803,0.8767741,1.0989919,1.3152907,1.115381,1.0055877,0.83778393,1.058511
scarf,0.9398169,1.2911816,0.7625309,1.170127,1.0586494,0.8499558,0.9799547,0.9828971,0.86537606,1.3314632,1.0410616,0.8047695,0.43196404,1.1673632,0.9305087,1.2984421,1.0533273,0.85627437,1.3776224,1.1615493,1.1577443,1.1990204,1.0268283,0.8645611,0.90144,0.9698026,0.9104333,0.8622061,0.7483069,0.9248425,1.419622,0.9484722,1.356529,0.85859036,0.7835252,0.9650571,1.127989,1.1729436,1.2088474,1.1914929,1.0455351,1.099482,0.9134863,1.0762535,1.1837863,0.97074276,1.2516549,0.6772896,0.8541436,0.94043565,1.2147554,0.97580355,0.87946975,1.0439715,0.90505546,0.43880486,0.8023579,1.253313,0.89304125,1.2819088,0.41729426,1.2766705,1.1154802,1.2812734,1.2447673,1.3747257,0.44570148,0.86987245,0.9696154,1.3073862,1.2876748,0.70487404,1.1430377,0.9132798,1.1391639,0.99751294,0.71980274,0.76669544,0.7749541,1.1296703,1.0888777,1.0578765,0.0,1.0029111,0.8350774,0.6633347,1.1554514,1.1207759,1.0653044,1.3683366,1.3537612,1.1148221,0.7778689,1.32684,1.2651688,1.135021,0.8386162,0.837348,1.2903969,0.8236405,0.8701499,1.0876253,1.2994761,0.96921325
scissors,0.77125716,1.0753438,0.9647526,1.0435145,1.0008037,0.7309809,0.96709687,1.0938832,1.1926272,1.0853292,1.085025,0.90696347,1.1103448,0.8794913,0.70992106,1.1383712,0.9235201,0.860329,1.0478964,1.0313032,0.90568244,1.1242915,0.97496724,0.8548741,1.1506637,1.0162327,0.8916053,0.92333925,1.1620643,0.8222107,0.9392793,1.145764,1.063466,1.0535125,1.0810688,1.2044668,1.0797437,1.0292618,1.096089,0.9072567,1.0082362,0.9622063,0.89410794,0.7920536,0.996258,0.90092075,1.0212973,1.0278286,0.9455106,0.6265611,1.1427128,1.1029642,0.79484725,1.1683488,1.1654854,0.97712475,1.1103197,0.92336386,1.0946734,1.1474254,0.94101954,1.1175882,1.0024948,1.1168644,1.1309749,1.1204726,1.1224422,1.1700363,0.8084154,0.8513426,0.8666949,1.065717,1.1264079,0.92277056,1.0523595,0.8217561,1.0981216,1.0701038,0.82278025,1.1488038,1.0608723,1.0943888,1.0029111,0.0,1.1380225,0.948446,1.227969,0.9131111,0.9588533,1.0809156,1.0303053,1.0458097,0.8942852,0.9731843,1.0113473,0.9353119,0.57281935,0.9999961,0.9632997,0.8404838,1.1443506,0.98347795,1.0048052,1.085415
shirt,0.94309497,1.4589939,0.40239525,1.4071947,1.3302684,0.9253135,1.0959854,0.5486003,0.6790484,1.3060108,0.63471985,0.6182759,0.6416274,1.39975,1.0014606,1.3743718,1.1891176,0.8923183,1.2608978,1.3272686,1.3315628,1.315505,1.221571,0.886825,0.60280466,0.819427,0.95573527,0.9845161,0.56571335,1.0826302,1.5306213,0.7678108,1.4406568,0.87939787,0.9464826,0.7110073,1.0316582,1.0477961,1.288521,1.0287837,1.3211672,1.3547142,0.9982102,0.98777056,1.3880616,0.782457,1.145639,0.9654292,0.93280774,1.1353387,1.0834576,0.9411754,0.74228036,1.2744377,0.6565725,0.5301045,0.34995127,1.0868495,0.7934274,1.355742,0.7174536,1.4626932,1.3490683,1.3909373,1.390835,1.1709602,0.49397337,0.28877217,0.97938055,1.1284021,1.4303935,0.930897,1.1958998,1.0320181,1.3253896,0.92052704,0.616283,0.89665407,1.0619885,1.1848273,0.9295727,1.1941648,0.8350774,1.1380225,0.0,0.80371827,0.5565909,1.1101781,0.84464586,1.4813516,1.1557627,0.6602139,0.7141751,1.4296358,1.2154434,1.1610858,0.8536838,1.3459249,1.5625387,0.85703236,0.7782296,1.1473254,1.2724203,0.9191753
shoe,0.97154826,1.2553349,0.5792344,1.196061,1.200935,0.9615288,1.2252533,0.9298713,0.9207928,1.1854485,0.9078844,0.8488867,0.48254544,1.2560649,0.979121,1.2588139,1.3171891,0.9649438,1.1215489,1.2702698,1.0594367,1.2643808,1.2289267,0.9832648,0.9211377,0.9475891,1.0503718,0.9067043,0.8378444,1.0293964,1.1514257,1.0633736,1.1961417,0.9304582,1.023803,1.0843072,1.1719527,0.905761,1.1322936,0.8893932,1.1353797,1.2815368,0.8374873,0.8113867,1.2426898,0.93426687,1.0401068,0.7574729,1.0771729,1.0126259,1.105775,1.0191144,0.9017602,1.1203084,0.77593,0.61351013,0.6516639,0.85979754,0.914077,1.3639934,0.5007751,1.105083,1.1690522,1.2556245,1.2482834,1.1720493,0.54119366,0.7073202,0.9427119,0.9640331,1.0704697,1.0195771,1.1635356,1.1123776,1.2623326,1.0528438,0.5757372,1.0139954,0.8333304,1.3017178,1.1647537,0.86663955,0.6633347,0.948446,0.80371827,0.0,0.9747017,1.04971,1.081009,1.0649201,0.98961306,1.1631254,0.98253,1.2511922,0.95146537,1.0089684,0.80585074,0.9723306,1.2856104,0.99676466,0.9969172,1.1579195,0.96374714,1.1183907
shorts,1.0345447,1.153914,0.9305124,1.1435868,1.1742041,1.1961092,1.0885073,0.8269869,0.93712425,1.0526935,0.7432798,0.8570769,0.9086183,1.226537,1.2197835,1.0141041,1.1764874,1.1437837,0.9587455,1.0569742,1.0518373,1.0179542,1.1662552,1.0411241,0.6573005,0.9809207,1.1301335,1.1199396,0.89355564,1.2196367,1.1067392,0.9682441,1.1009313,0.96052384,1.0169412,0.91245407,1.0101216,0.87788343,1.1294394,1.0030271,1.1981877,1.219864,1.0311605,1.0599691,1.1191202,0.9742877,1.09682,0.9383199,1.0852871,1.1946509,0.9843237,0.9234632,1.0319608,0.930839,0.79205966,0.9540142,0.57784283,0.858597,1.0195159,1.0870779,1.0532825,1.1189187,1.0516124,1.0682654,1.0989294,0.98248273,0.8462341,0.4047761,1.133926,0.96229595,1.1908599,1.0852035,0.91621196,1.1860669,1.1212481,1.0369462,0.89774096,0.9786863,1.0248135,1.123293,0.85045755,0.9355962,1.1554514,1.227969,0.5565909,0.9747017,0.0,0.89722896,0.94395053,1.0688686,0.89461553,0.71780264,1.0628624,1.1046504,0.9608679,0.8908787,1.1601081,1.1274766,1.2752734,1.1285307,0.9951254,0.9483358,1.0319382,1.0240787
shovel,0.96938443,1.124717,1.1408732,1.0803655,1.0239489,0.8272647,0.9219219,0.8515491,0.92886925,1.2143832,0.94539857,0.9918213,0.95961386,1.0282605,0.8993941,1.0474926,0.9804779,0.90375555,1.1106393,1.077232,0.86807907,1.0338902,1.1054082,1.0487725,0.8614608,0.9069431,0.9558295,0.96820396,0.9789775,0.9725843,1.0127832,0.906651,1.1189324,1.1038437,0.91576564,0.93638563,0.95374024,0.96735036,1.1915293,1.085303,1.0841248,1.123386,1.0098727,0.97412163,1.0084643,0.9253454,1.1793826,0.93199474,0.9642699,0.7295815,1.1331693,1.0756471,1.1028954,1.1090075,0.9931614,1.0606183,1.0532646,0.90634584,0.91025937,1.1035659,1.0583537,1.1364154,1.0112276,1.0479486,1.1299516,0.98918784,1.0342222,0.9727871,0.82971036,1.0412382,1.0850278,1.0064647,0.9644591,0.9722395,1.0217489,1.0057651,1.0832375,1.0467277,0.87321544,1.1188908,0.91453445,0.91616374,1.1207759,0.9131111,1.1101781,1.04971,0.89722896,0.0,1.0472168,1.1500906,0.96895117,0.9828117,0.93630457,1.0514281,1.0489893,0.8300622,0.8372644,1.0226072,1.0492183,0.8719703,0.9745951,0.8788381,1.1452124,1.0031098
sink,0.70200545,1.1645005,0.8406838,1.1611612,1.1838255,1.0152746,0.9351174,0.6337464,0.87991595,0.9520101,0.71594083,0.8467715,1.0215355,1.0374961,0.7517069,1.1616381,0.85061425,0.7198911,1.2578962,1.0335567,1.1489923,1.0607022,0.97237533,1.1513616,0.69405603,1.0176339,0.9826621,0.98891073,0.89641315,0.93030214,1.1613896,0.9167868,1.099152,0.7916541,1.2403531,0.87237036,0.73136485,1.2851459,1.0656983,1.2447417,1.0570673,1.075316,1.2251377,1.1122086,1.0381825,0.8110687,1.2053132,1.308297,0.89604855,1.1599429,1.2795718,1.0471246,1.1256387,1.1195971,0.7407119,0.9214916,0.99053484,1.0472343,1.0379972,1.0046983,1.1152481,1.2115836,0.9296666,1.11745,1.1067913,0.9133612,1.1174582,0.9625553,0.62509406,1.2097749,1.1844338,0.9519014,1.2189028,0.8870581,1.1120684,0.45763052,0.85749394,1.0417898,1.1135491,0.96614724,0.94236207,1.2548664,1.0653044,0.9588533,0.84464586,1.081009,0.94395053,1.0472168,0.0,1.1835938,1.1634275,0.7515665,0.5391501,1.1030847,1.3648368,1.060054,0.8924216,1.2229012,1.175074,0.67001593,0.9484219,1.1118689,1.2341971,0.7991819
slipper,1.2812636,0.32328618,1.4003329,0.48335028,0.73432004,1.3114307,1.2645576,1.4007419,1.4697018,0.23521084,1.2224083,1.384562,1.4854728,0.6800284,1.4663332,0.48756075,0.8836225,1.5058346,0.38190657,0.58569837,0.71633494,0.6182704,0.87949175,1.1953532,1.3386524,1.1576496,1.2867959,1.3424295,1.5235932,1.2853053,0.12941849,1.4752674,0.27676463,1.1968218,1.2527798,1.2757359,1.0205523,0.72671866,0.58744055,0.70802104,0.7783546,0.75851023,1.0666147,0.9646943,0.6578258,1.4778824,0.5170799,1.0438843,1.322778,1.2099326,0.60877085,1.0279628,1.2381449,0.41434824,1.3553725,1.4931844,1.3565823,0.68018097,1.393882,0.45955902,1.4264152,0.15401345,0.5635263,0.37684667,0.4504258,0.7052135,1.5185235,1.4093736,1.3342491,0.5723479,0.3335607,1.2647763,0.6913167,1.3500268,0.6601583,1.2616289,1.3068027,1.2337465,1.2648363,0.9048825,1.2623875,0.77007526,1.3683366,1.0809156,1.4813516,1.0649201,1.0688686,1.1500906,1.1835938,0.0,0.6706156,1.2187021,1.5792657,0.47864014,0.46743786,0.94501287,1.5022278,0.69281286,0.43731725,1.5775354,1.2924752,0.7938528,0.2528441,1.1318625
sprinkler,1.0441885,0.9167034,1.1378887,1.0613273,0.96711564,1.1910415,1.2227218,1.1535242,1.2107832,0.7782151,1.0092342,1.0549726,1.2019925,1.110887,1.1275522,1.0392017,1.166496,1.2227427,0.6783308,0.90443486,0.95383745,0.8098425,1.1951911,0.95109516,1.1598411,1.0261062,1.145648,1.1748073,1.2243255,1.0513253,0.69948816,1.1546025,0.903895,0.9981066,1.0678018,1.0708659,0.9258922,0.5429026,0.95984596,0.47400206,0.8319097,1.1917791,0.88383394,0.85219586,0.71727395,1.2256848,0.7203411,1.1010954,1.2489327,0.9917868,0.7025714,1.0195154,0.9333109,0.7699,1.0578024,1.330001,1.0223094,0.59203184,1.0858316,0.9828529,1.1257693,0.8442023,1.0002834,0.79056275,0.9252695,0.8639178,1.1843417,1.0355301,1.073792,0.5778847,0.76183856,1.1348693,0.76947045,1.2158617,1.0038567,1.1181964,1.2008996,1.1016021,0.9909979,1.0589062,0.98762983,0.73368394,1.3537612,1.0303053,1.1557627,0.98961306,0.89461553,0.96895117,1.1634275,0.6706156,0.0,1.138659,1.3215072,0.9094345,0.56260884,0.813015,1.1784424,0.9433922,0.9958264,1.2480235,1.159583,1.0635165,0.7425204,1.1403222
sweater,0.94122285,1.1729382,0.8182897,1.1484661,1.1710408,0.9322523,1.0194963,0.70207703,0.91191506,1.0780704,0.8081593,0.78147364,1.0449779,1.0955597,0.8885105,1.1465287,1.0468217,0.8909904,1.0534401,1.2567515,1.0070463,1.1658689,1.0562323,1.0914569,0.6357845,1.1081747,1.0440276,0.904982,0.93724406,0.9403378,1.2020073,0.9233807,1.201661,0.9752739,1.0901021,0.9788218,0.99908805,1.0856537,1.136949,1.0830896,1.200157,1.0986357,1.1232556,1.0350596,1.1460563,0.80501443,1.0827022,1.1805735,0.96732235,1.0509324,1.0731375,0.99184495,0.98136234,1.0793177,0.8473894,0.9197072,0.82526636,1.0641358,0.9957237,1.0425841,1.1043307,1.2412889,1.23315,1.1110175,1.1184253,1.0273964,1.0236167,0.7257762,0.88525593,1.0321876,1.2587878,1.0623419,1.0732884,0.9066623,1.1165584,0.8598509,0.8775873,1.0376835,1.1757042,1.0241243,0.99441993,1.0932835,1.1148221,1.0458097,0.6602139,1.1631254,0.71780264,0.9828117,0.7515665,1.2187021,1.138659,0.0,0.7902714,1.1370801,1.1604657,1.0205418,0.97389823,1.3286288,1.1725475,0.86380684,0.9713812,1.1112365,1.1585131,0.9111463
table,0.80512875,1.4226167,0.6996997,1.3753805,1.2625517,0.7757773,0.79699266,0.69634897,0.5777072,1.3980287,0.99424046,0.73842525,0.7011287,1.2827952,0.34408605,1.4071236,0.9450918,0.19052124,1.5244884,1.234398,1.1400182,1.3862048,1.1298956,0.966077,0.727001,1.0020809,0.86750513,0.6602665,0.57776845,0.6525172,1.5261364,0.71067774,1.4400976,0.8855061,1.0561638,0.9658754,1.0039299,1.34514,1.2471633,1.173976,1.3184037,1.2418734,0.96645427,1.0476507,1.337352,0.4252507,1.3016526,1.2819525,0.66175824,0.89409286,1.3554015,1.1470146,0.96574247,1.5201333,0.787042,0.50102234,0.7651611,1.3356104,0.7625148,1.4116373,0.8157456,1.5361859,1.2783577,1.468903,1.3770251,1.2123705,0.7463639,0.7487819,0.4402908,1.3570669,1.3926876,0.8495527,1.5164587,0.51989734,1.3133051,0.64803565,0.8579023,0.96476305,0.9452693,1.1772223,0.99547976,1.3793211,0.7778689,0.8942852,0.7141751,0.98253,1.0628624,0.93630457,0.5391501,1.5792657,1.3215072,0.7902714,0.0,1.3741035,1.4563416,1.1436162,0.5881315,1.3049341,1.3023648,0.17277658,0.83931565,1.3336998,1.4054217,0.9513608
tape,0.9573164,0.527452,1.3657228,0.49054807,0.66176593,1.1139042,0.95870954,1.42637,1.3413539,0.628106,1.3126571,1.2197603,1.4103143,0.43638694,1.141017,0.4570135,0.7707379,1.3191271,0.69533646,0.6728795,0.85307753,0.7375717,0.6979174,1.1394405,1.3636041,1.139258,1.0908655,1.1781883,1.409301,1.0624882,0.47277308,1.3095853,0.52491343,1.0582101,0.99850756,1.3343303,1.0830982,0.8554323,0.59869504,1.0025759,0.69041187,0.5554672,1.0848502,1.0360576,0.5601996,1.3353759,0.94448364,0.97332036,1.2096044,1.0198584,0.9640793,1.0888622,1.3117521,0.5885265,1.296016,1.4356848,1.366735,0.86192274,1.3197613,0.62369967,1.4135756,0.5500738,0.6929887,0.6505092,0.6086346,0.7494477,1.484657,1.3922937,1.153753,0.82323575,0.55115557,1.1515713,0.67056435,1.1489064,0.72179556,1.0217249,1.3372859,1.2444345,1.0768492,0.79273164,0.99039835,1.0319637,1.32684,0.9731843,1.4296358,1.2511922,1.1046504,1.0514281,1.1030847,0.47864014,0.9094345,1.1370801,1.3741035,0.0,0.87970227,0.94635767,1.304153,0.82904345,0.34807372,1.341528,1.2853135,0.8786867,0.7698157,1.1613767
toe,1.2486094,0.7233288,1.0812895,0.8205733,0.9367702,1.2238781,1.3711195,1.2658213,1.4142658,0.7334008,1.1885254,1.1982073,1.3293873,0.9855019,1.3327194,0.8403693,1.1277664,1.4092453,0.43497777,0.97098213,0.78716123,0.91060764,1.0807811,0.98806316,1.3066179,1.2004511,1.223918,1.2188693,1.4566302,1.197217,0.5579523,1.3971202,0.6274546,1.1256294,1.0962502,1.2252058,1.2861779,0.6126579,0.7920359,0.29650307,0.9355828,1.0717045,0.50578433,0.8670001,0.9683899,1.3638436,0.40088153,0.9359756,1.2582684,0.9588819,0.47841734,0.8904036,0.6039893,0.81531835,1.2560495,1.2593701,1.088076,0.7954973,1.294302,0.9218633,1.0475866,0.44895744,0.99606925,0.65831876,0.8425249,0.96599126,1.2527788,1.1416506,1.3138009,0.40175462,0.57663614,1.1832201,0.9507654,1.3107291,0.9728377,1.2337707,1.2000214,0.983351,1.188158,1.1098204,1.2687392,0.66591847,1.2651688,1.0113473,1.2154434,0.95146537,0.9608679,1.0489893,1.3648368,0.46743786,0.56260884,1.1604657,1.4563416,0.87970227,0.0,0.99239403,1.1901395,0.7624178,0.88437235,1.4712814,1.2517415,0.97203887,0.32516682,1.2059876
tooth,0.9220359,1.0013783,1.1790742,1.0184189,1.0080023,1.0582547,0.98669386,1.0857363,1.1752231,0.9348076,0.93984556,0.9967513,1.0809125,0.96419543,0.9818744,0.99829596,1.0003889,1.0446284,1.0242542,0.92357856,0.90021485,0.95806676,1.0520214,1.0704088,1.0380688,1.0808353,0.96951133,1.0348711,1.1023242,1.0329019,0.7577468,1.0948308,1.0092373,1.0610621,1.1614974,1.120458,0.9926314,0.8306503,1.0795329,0.9803559,0.79523385,1.0863541,1.1146173,0.8076162,0.84863794,1.0712153,1.0950441,1.0125986,1.0942925,0.71414,1.0577774,1.0985594,1.0424931,1.0302837,1.0368,1.20946,1.0455612,0.66812646,1.0738509,1.0841866,1.0244029,1.0283558,0.89183766,1.0283775,1.0643674,0.9392384,1.1183716,1.0328641,0.9059868,0.75458765,0.911329,1.1304349,0.80817467,1.1140391,0.8981665,1.0536252,1.0130997,1.1076367,0.95506954,0.9739338,0.93038285,0.9192985,1.135021,0.9353119,1.1610858,1.0089684,0.8908787,0.8300622,1.060054,0.94501287,0.813015,1.0205418,1.1436162,0.94635767,0.99239403,0.0,0.72172874,0.8592673,1.0023649,1.07055,1.0570933,1.0783962,1.0322044,1.1375144
toothbrush,0.74072707,1.3879895,0.6704535,1.335931,1.2473466,0.61808795,0.9477037,0.8408151,0.9383149,1.4046738,0.9290184,0.7795774,0.8168786,1.1830002,0.4903332,1.371959,1.1159146,0.57346535,1.3233671,1.3427467,1.1239852,1.3873655,1.1508156,0.8336921,0.91605437,1.1110485,0.8164123,0.68981695,0.84539056,0.6879065,1.3387673,0.92681235,1.3840631,0.91828406,0.9719907,1.102811,1.1374831,1.0570421,1.327649,1.0247015,1.0807136,1.226755,0.86524415,0.7277191,1.2119309,0.6292043,1.2048131,1.0438404,0.85626125,0.46873623,1.2800298,1.0884274,0.5756484,1.5906382,0.8629154,0.6332976,0.8737756,1.124629,0.96032715,1.5135142,0.6507496,1.4469191,1.2553222,1.4277204,1.4465309,1.1907164,0.7519307,0.9048701,0.62298495,1.00883,1.3015473,0.91770816,1.3141656,0.7018611,1.2431418,0.80680263,0.80073345,0.9528456,0.7407153,1.2453487,1.0309399,1.121803,0.8386162,0.57281935,0.8536838,0.80585074,1.1601081,0.8372644,0.8924216,1.5022278,1.1784424,0.97389823,0.5881315,1.304153,1.1901395,0.72172874,0.0,1.0922226,1.2957904,0.5809971,0.96746874,1.2642522,1.3236309,1.1116173
towel,1.1597037,0.6832641,1.1794235,0.61150026,0.70869845,1.1891917,1.1659114,1.4234979,1.3632042,0.8260075,1.2710863,1.1638093,1.0308627,0.7922215,1.1379873,0.7322968,0.9061154,1.2415495,0.98056024,0.8398911,0.8259232,0.6965592,0.9857533,1.0306681,1.2821958,1.1485927,1.2258928,1.0762844,1.2611147,1.0743799,0.66590375,1.4126132,0.6825489,1.1569189,1.0201181,1.2045488,1.1006318,0.98315424,0.8599818,0.9388551,0.70206046,0.9202717,0.8909908,0.9766913,0.8392993,1.3479451,1.0488842,0.7248292,1.0367693,0.83508694,1.0028014,1.0371557,1.0268375,0.6291547,1.3003306,1.0746341,1.1529746,0.8695632,1.237956,0.7615022,0.89185643,0.68773216,0.34632093,0.73628116,0.75658,0.98398113,1.1473869,1.2440674,1.0721768,0.9690031,0.7903913,0.8254238,0.7899124,1.176974,0.9918024,1.3047566,1.1647537,0.82074094,0.82236177,0.9569488,1.1777297,0.8767741,0.837348,0.9999961,1.3459249,0.9723306,1.1274766,1.0226072,1.2229012,0.69281286,0.9433922,1.3286288,1.3049341,0.82904345,0.7624178,0.8592673,1.0922226,0.0,0.7162537,1.2312263,1.2357702,0.9683599,0.8724064,1.1980414
toy,1.1174314,0.2135433,1.4587567,0.21957177,0.3830099,1.0214297,0.9698031,1.4421904,1.37341,0.52895904,1.506375,1.3580028,1.478053,0.4537819,1.0885783,0.39365065,0.7020893,1.1443366,0.7521185,0.68072903,0.753502,0.65073806,0.6199249,1.2218747,1.4411914,1.2319654,1.1011407,1.1858392,1.4032991,0.9900067,0.3769034,1.3627806,0.41000628,1.1060798,0.9692851,1.359849,1.1743721,0.9441707,0.36940062,1.0566137,0.7361287,0.41801947,1.0913522,1.0474113,0.6297172,1.2162886,0.93056554,1.0330542,1.0569179,0.9642766,0.94979894,1.2265377,1.3995222,0.71917695,1.3735702,1.4899613,1.4890125,1.1148231,1.2989546,0.535076,1.4261571,0.39946043,0.61567426,0.6098068,0.512766,0.77807105,1.5448956,1.5340695,1.1925712,1.0037671,0.56908965,1.1197019,0.8690925,0.9940495,0.6724621,1.1343023,1.4930505,1.2876627,1.087903,0.81924134,1.0851707,1.0989919,1.2903969,0.9632997,1.5625387,1.2856104,1.2752734,1.0492183,1.175074,0.43731725,0.9958264,1.1725475,1.3023648,0.34807372,0.88437235,1.0023649,1.2957904,0.7162537,0.0,1.18415,1.2582681,0.8858445,0.7075942,1.2539161
tray,0.7863014,1.393855,0.84952796,1.3582163,1.1734283,0.7218069,0.6651175,0.7664302,0.6875005,1.4353821,0.9639661,0.82151425,0.79171383,1.2510685,0.23330486,1.3629309,0.94846904,0.08217114,1.4696139,1.2032243,1.0398586,1.2807406,1.109133,0.98110825,0.88619804,1.0660547,0.7663065,0.64898926,0.6896101,0.5510892,1.4770702,0.70176876,1.4120517,0.96443576,1.007995,1.0256245,0.9913343,1.2698851,1.2378756,1.2274503,1.2184865,1.1602821,1.0366281,0.94691455,1.2590852,0.41817605,1.3300421,1.2554897,0.7071459,0.70019865,1.3823147,1.1618563,1.0270146,1.5014076,0.8127627,0.6986903,0.8834703,1.2872937,0.6746089,1.4366784,0.85961986,1.555984,1.2038332,1.4370584,1.3522508,1.1902132,0.82567346,0.8747355,0.3294127,1.3505306,1.3548523,0.8902143,1.4547188,0.5026467,1.2830381,0.64814043,0.8994393,0.9966229,0.73609376,1.0794846,0.9219067,1.3152907,0.8236405,0.8404838,0.85703236,0.99676466,1.1285307,0.8719703,0.67001593,1.5775354,1.2480235,0.86380684,0.17277658,1.341528,1.4712814,1.07055,0.5809971,1.2312263,1.18415,0.0,0.947189,1.2850418,1.4506305,1.0643148
tree,1.0533106,1.1851435,0.85921395,1.155699,1.1217737,0.9896119,1.0345317,0.76031506,0.71874213,1.1323682,0.9326787,0.9058672,0.72987986,1.1843102,1.0855811,1.1537455,1.0450702,0.9480564,1.265183,1.1523923,1.1923233,1.1611562,1.0250286,0.97014385,0.7711363,0.80714256,0.95568466,0.9974921,0.5396869,1.0693542,1.297697,0.81948435,1.2412442,0.97505826,1.0684015,0.5427124,0.9181637,1.1950327,1.1070606,1.1356723,1.1839242,1.0210754,1.0821896,1.0975709,1.1762174,0.90518683,1.1033297,1.0739534,0.94157505,1.1676952,1.078558,1.0368366,1.0082439,1.190301,0.86115456,0.7928433,0.8137171,1.1620173,0.8429254,1.0884812,0.92726827,1.2551837,1.1690465,1.2656233,1.168818,1.0776174,0.73447454,0.81204903,1.1157966,1.1719662,1.2087024,0.93813276,1.0484554,0.9664033,0.7234611,1.1052833,0.8463082,0.9828036,1.1078441,1.019247,0.9081994,1.115381,0.8701499,1.1443506,0.7782296,0.9969172,0.9951254,0.9745951,0.9484219,1.2924752,1.159583,0.9713812,0.83931565,1.2853135,1.2517415,1.0570933,0.96746874,1.2357702,1.2582681,0.947189,0.0,0.9989645,1.1551974,0.8044342
vacuum,1.1644334,0.87494624,1.279937,0.83506167,0.9061955,1.1917236,0.9182733,1.0099638,1.1043808,0.86870766,0.8496765,1.2889942,1.300094,0.81729466,1.2933197,0.68874246,0.9266498,1.3071971,0.81791544,0.72223735,0.9861985,0.4481278,0.90738964,1.0793159,1.139558,0.63536537,1.0368711,1.2565715,1.1667657,1.2025431,0.81710786,0.9631375,0.66402984,1.1329192,0.8928962,0.5920731,0.750595,1.0697956,0.9714974,1.1803015,1.0969079,0.7919571,1.0954653,1.206361,0.8622975,1.2299457,1.0014774,0.91451263,1.2006916,1.172531,0.9435341,0.91948944,1.2065848,0.728168,1.2007365,1.2851408,1.2536403,0.9543439,1.0044334,0.58672166,1.3816686,0.77857375,0.8172366,0.65115243,0.6911,0.59575254,1.2465289,1.1824245,1.1739979,1.0712317,0.7604772,1.2165582,0.75387454,1.2289182,0.6473981,1.1178683,1.1333857,1.1737736,0.97124434,0.6409071,0.6564566,1.0055877,1.0876253,0.98347795,1.1473254,1.1579195,0.9483358,0.8788381,1.1118689,0.7938528,1.0635165,1.1112365,1.3336998,0.8786867,0.97203887,1.0783962,1.2642522,0.9683599,0.8858445,1.2850418,0.9989645,0.0,0.87877876,0.7852267
watch,1.2854364,0.5434418,1.1481537,0.6829301,0.90111345,1.2141718,1.3456795,1.2317007,1.3781888,0.50890166,1.1762859,1.2572609,1.3740284,0.877779,1.3723037,0.7049358,0.9779667,1.3903416,0.36955714,0.8218522,0.7013937,0.8247539,0.96985054,1.0892069,1.2885273,1.1634122,1.3060267,1.3009214,1.4103184,1.2814612,0.367792,1.4244286,0.50264543,1.1670241,1.3476121,1.2366025,1.1806481,0.75959295,0.68912125,0.4095744,0.96895295,0.92653936,0.8714556,0.93376946,0.8966365,1.3485276,0.23898268,1.1347508,1.261601,1.0674995,0.43305987,0.959971,0.9304918,0.7261794,1.3191876,1.3020834,1.1627618,0.8004309,1.3258443,0.76574224,1.2882378,0.3062867,0.8216221,0.5916054,0.7346672,0.91353106,1.3924456,1.2285972,1.2965914,0.40698707,0.42673028,1.299736,0.9990702,1.3094647,0.7673812,1.2124611,1.188622,1.1355495,1.3118584,1.0828784,1.3173486,0.83778393,1.2994761,1.0048052,1.2724203,0.96374714,1.0319382,1.1452124,1.2341971,0.2528441,0.7425204,1.1585131,1.4054217,0.7698157,0.32516682,1.0322044,1.3236309,0.8724064,0.7075942,1.4506305,1.1551974,0.87877876,0.0,1.1011276
