,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
couch,1.0176691,1.1138725,1.4714746,0.8920139,0.7748312,1.4334497,1.4380488,1.0229023,0.9662916,0.68814963,0.8826252,0.26207876,1.3581454,0.44937503,0.9416555,1.2911355,0.4405483,0.72343075,1.1243042,1.4132367,1.4475147,0.8088059,1.287492,0.99838835,1.3099579,1.2129653,1.35195,1.268873,1.0797298,0.8183913,0.5418751,1.0074456,1.450536,0.66241837,0.53915274,1.141065,0.93095964,1.157296,1.1375262,0.0,1.0067589,1.5151905,0.5196773,1.4991665,0.91971666,0.8866267,0.82995,0.9120028,0.62354004,0.9821938,0.71619284,1.0758356,1.2934538,1.3207319,0.7045485,1.1559855,0.77840394,1.1766243,0.98911923,1.4279364,1.189559,1.0283461,1.2371943,1.2679417,1.0345478,1.2779424,1.21429,0.8577236,1.284914,0.73615384,1.0036923,0.83094215,1.2752557,1.0478891,0.95639074,0.7469752,0.55871165,0.9833714,0.32821143,1.0049258,0.6001016,1.3951526,0.86803746,0.8558651,1.0594232,0.9177078,1.2668213,1.437288,1.2466828,1.1124392,1.1287938,1.4002608,1.1040574,0.9096458,0.6136503,0.2960177,0.81406087,1.3757343,1.3966981,1.2690387,1.0266421,0.8996,0.90024817,1.0944765,1.1668715,0.93969667,1.3889319,1.1675775,1.1444268,1.0111487,0.7479553,1.0906969,0.6767851,1.2995766,0.43065143,1.2356585,0.715766,0.99711674,0.73681307,0.8760325,0.7573038,1.3944013,0.71410716,1.3721775,0.76893723,1.2422001,0.8192184,1.0427834,0.7872634,0.5102952,0.95790535,0.52615386,1.4403818,0.8533503,1.2441696,1.2093737,1.115406,1.1785079,1.3494275,1.0444702,0.97480947,1.2176455,1.0030625,1.1730714,1.4192119,0.71866536,0.82879
cracker,1.0900867,1.0860918,1.1904597,0.89061797,0.9229836,1.2410694,1.1369399,0.6607667,0.95566934,0.9859272,1.1220566,1.0526248,1.2664418,0.9925211,1.0568107,0.9832501,1.0045875,0.9520015,1.0817882,1.2305198,0.97466123,1.0035039,0.3149963,1.0261286,1.0856686,1.0066267,1.239877,1.2111558,0.92451406,1.1732665,1.0504888,0.40705597,1.1836567,0.93341535,0.96796405,0.9827088,0.89350903,0.25472593,0.69080913,1.0067589,0.0,1.157996,1.0199194,1.172708,1.0035381,0.9248164,0.9601977,0.96749485,1.0687494,0.9339944,1.0988984,1.1616087,1.1698806,1.0132698,1.1524025,1.012933,1.0770355,0.9895726,1.0447052,1.1450484,1.030717,1.0260801,1.1829457,1.0452727,0.97797686,1.2203083,1.1220046,1.1349686,0.93096,1.0974619,0.4209411,0.9266242,1.2956197,1.1530026,1.1885152,0.9473671,1.1799887,0.75502056,1.0613399,1.0924178,1.0611594,1.1365509,0.8556699,0.869626,1.2018322,0.9721838,0.35745943,1.1738299,1.1265041,1.1239243,1.0973277,1.0500122,0.99844915,1.0812756,1.1531476,1.0689213,0.87710065,1.0928507,1.1461143,1.1879654,0.7853667,1.0918945,0.44277,0.9740867,0.50751483,1.0214397,1.0422382,1.189694,1.0281609,1.0097175,1.0955133,1.0146413,1.1452183,0.97837216,1.0629288,1.1231644,1.2047447,0.97366613,1.1252106,0.89960116,1.1199611,1.2194294,1.0805584,1.1503321,0.9076754,0.97610575,1.1050739,0.9579089,1.1004674,1.0893949,1.1422582,0.9319872,1.1309319,0.6022243,1.1348698,0.864226,0.98106617,1.1533957,1.0922308,0.8101255,1.0104315,1.0162001,1.1287525,1.1866199,1.2513332,1.1070842,1.0801777
crayon,1.1070347,0.81177807,0.22659445,1.3359123,1.0533699,0.46944004,0.59900856,1.1394038,1.1765271,1.2359812,1.0747448,1.5786996,0.21700609,1.2855515,1.2286468,0.808227,1.4344056,1.4868264,0.95498526,0.2512617,0.3283012,1.3869472,0.97335625,0.87578493,0.7676123,0.88696384,0.24323237,0.7993254,0.69905734,1.0393825,1.2934561,1.1666802,0.38226646,1.3670917,1.1683891,0.87208724,1.1941319,1.1434894,1.0051962,1.5151905,1.157996,0.0,1.567698,0.30562174,1.3355219,1.3342335,1.3732533,1.163682,1.313169,0.9216105,1.3495145,0.7902758,0.5476681,0.5588961,1.2526841,0.8471219,1.3587606,0.7770709,1.1724086,0.25895077,0.9155203,0.8316409,0.5563068,0.78736645,1.1848216,0.49161154,0.6313686,1.2748843,0.70330286,1.3497015,1.0215892,1.3110559,0.41545498,1.1992036,1.1910499,1.351492,1.2704017,1.2813089,1.4946282,0.6750208,1.4481666,0.42814744,1.1265196,1.1158445,1.00905,0.98860055,1.0462785,0.2555642,0.4384774,0.7507576,0.78656924,0.41281927,1.0877017,1.0510241,1.21439,1.4571679,1.3342316,0.24715924,0.18315482,0.41976893,1.0098999,0.58288866,1.0997878,1.0198096,0.84303963,1.3015407,0.6734694,0.67772347,0.848033,1.1565003,1.3266044,0.9064127,1.1684748,0.75363743,1.50552,0.8532968,1.0440058,1.2736565,1.3527911,1.1028785,1.4130241,0.21020514,1.3075964,0.29603374,1.2743332,0.83582264,1.3824219,0.94611037,1.4626048,1.4788461,1.295218,1.5432813,0.26270425,1.1273291,0.558642,0.6175372,0.9696364,0.45758927,0.74120617,1.1202201,1.2518303,1.0873363,1.199806,0.56247956,0.23982984,1.3493259,1.1405771
crib,0.9064853,1.3806303,1.5794743,0.6425079,0.9911641,1.4291233,1.3512954,0.8584393,0.54338723,0.6756473,1.0209528,0.29927266,1.4928774,0.57203054,0.75739205,1.1249465,0.5462687,0.51268864,0.7682288,1.474971,1.3767401,0.41780615,1.2608064,0.9541039,1.2125282,1.1064558,1.4519086,1.1842997,1.2482378,1.0045484,0.5339992,1.0460563,1.4597678,0.6279115,0.97057223,1.0691187,0.80882573,1.1014581,1.1002291,0.5196773,1.0199194,1.567698,0.0,1.4581689,0.7951635,0.7992053,0.6685606,0.7509546,0.6149759,0.8783191,0.75729495,1.3316225,1.4447354,1.4289001,0.8999902,1.2375032,0.8775596,1.3914735,0.8720774,1.5003275,1.0830158,1.3587184,1.1354762,1.1591372,0.8280147,1.4785248,1.404463,0.8121501,1.1554527,0.8735118,1.096762,0.8992771,1.5478145,0.84989977,0.93957293,0.5769036,0.8860383,0.94848824,0.65810895,1.003933,0.341066,1.3735561,1.034831,0.87078494,0.9751085,1.1015651,1.1811225,1.5810896,1.2907693,1.3424933,1.3634878,1.4980032,0.8802216,0.87788445,0.92594033,0.70391953,0.60859203,1.380636,1.4701347,1.3947823,1.108504,1.2708306,1.0022265,0.9732532,1.0651484,0.79228723,1.4088115,1.3055091,1.0870895,0.7878599,0.71170425,1.1058028,0.8301139,1.0437771,0.7163547,1.2133765,1.1567867,0.6836196,0.58561254,0.8020318,0.56240153,1.5857408,0.75755316,1.4947003,0.7161739,1.0575044,0.67493653,1.1074758,0.68781686,0.7377173,0.71889955,0.394251,1.459177,0.92766804,1.5062503,1.3463725,0.93364525,1.2256619,0.97904325,0.77399886,0.8381585,0.968426,0.85053337,1.1272151,1.5778284,0.6178601,0.9531586
cup,1.1165972,0.94473064,0.29460287,1.353266,1.2377485,0.3756472,0.48419487,1.2847428,0.973817,1.2777667,1.1819823,1.504632,0.30610716,1.3468902,1.1031276,0.7426412,1.3581529,1.4389527,0.87893903,0.14136559,0.2743758,1.2441891,0.91310483,0.9728223,0.38104242,0.8569125,0.1739484,0.6033977,0.98060656,1.1571268,1.1033148,1.1215248,0.3937106,1.2236457,1.2309929,0.68451786,1.3326671,1.0726764,1.1161028,1.4991665,1.172708,0.30562174,1.4581689,0.0,1.2660494,1.1798548,1.2426171,1.038022,1.1536736,0.98595667,1.3143252,0.7969471,0.687477,0.70130855,1.277698,0.9839874,1.29046,1.0372744,1.1809117,0.41170847,0.7859129,0.98583543,0.8718507,0.6982156,1.0765449,0.6795842,0.61854684,1.2841551,0.87690747,1.3126781,1.0651554,1.4101174,0.4958148,1.1232953,1.0511893,1.3598046,1.3298299,1.0740533,1.5436704,0.9157828,1.331279,0.44186127,1.2787726,1.2048955,0.89087254,1.2507977,0.919986,0.40582097,0.41226125,0.93569195,0.9657693,0.55773556,0.8084078,1.1935675,1.2923796,1.5322297,1.2865844,0.5183841,0.4487126,0.44178498,1.2460728,0.7513004,1.2540277,0.9068204,0.8314631,1.1362051,0.59742695,0.66379404,0.72124946,0.9019917,1.3545516,0.8934758,1.2611908,0.88548124,1.4402833,0.72827697,1.2362865,1.0700301,1.2354715,1.1007123,1.3894475,0.3868413,1.3049831,0.35004675,1.306835,0.9725258,1.330679,1.0177312,1.3757195,1.3914951,1.2207916,1.4755381,0.336613,1.1461729,0.77922726,0.8797435,1.1400818,0.46022224,0.62929726,1.0484139,1.1611056,0.92457724,1.1108463,0.5228161,0.3865313,1.24133,1.2037243
deer,0.8692142,1.1941943,1.2605916,0.9580076,0.99833167,1.1708963,1.1711949,1.0503645,1.052116,0.9693721,0.8742748,0.8231089,1.2288088,0.8767437,1.0442407,0.9908275,0.87311494,0.65198916,1.0533602,1.2424972,1.2239735,0.9559606,1.0989358,1.2459836,1.1266112,1.0722961,1.3169792,1.0077322,1.2283798,0.9157765,1.0278795,1.0254859,1.2514445,0.9368783,1.0496516,1.1540415,0.9469413,1.0333235,1.0066013,0.91971666,1.0035381,1.3355219,0.7951635,1.2660494,0.0,0.8965236,0.33651412,1.046618,1.0334096,1.1522714,0.94949716,1.0474244,1.2359505,1.2018594,0.83236545,1.1036237,0.9094699,1.1976217,0.9048066,1.2064545,1.1093285,1.1890968,1.1884011,1.0371836,1.0056323,1.2513523,1.2811801,0.696287,1.2017066,0.86248493,1.1123815,1.0038279,1.240736,0.88044953,0.38998258,0.8779729,0.86606157,0.9430458,0.88600576,1.1247196,0.9094897,1.2342286,1.0498394,1.1028651,0.8984147,1.0718901,1.0711025,1.2741216,1.2993587,1.186948,1.1193382,1.22439,1.092958,0.92740464,0.96426827,0.87103426,1.033806,1.3054864,1.3040509,1.1688222,1.1168559,1.3561193,1.062396,1.0800105,1.0908877,0.33671868,1.2025851,1.185438,1.1511254,1.0771874,0.79949856,0.96552074,0.99602646,1.1123502,0.8987887,1.103049,1.0906695,0.9006878,0.90031445,1.0009254,0.7358713,1.3363953,0.8378229,1.2802546,0.82571185,1.1265991,0.72500765,1.0842544,0.6287448,0.9012365,0.8384489,0.82265085,1.192635,0.8921274,1.2530729,1.1362305,1.0228049,1.3114884,1.1458344,1.0262932,0.8806813,0.9429965,0.8410107,1.224145,1.2854385,0.9039272,0.8180923
dish,1.0698831,1.1076603,1.2656345,0.6784917,0.96291804,1.0863621,0.95980287,0.74688286,0.65360427,0.80841285,1.1073309,0.81466067,1.2983105,0.8805033,0.875119,1.1803825,0.8848517,0.6853641,0.8914404,1.2608778,1.0482241,0.67535377,1.053814,1.0711905,0.94579464,1.1817456,1.257812,1.1937268,1.0717187,1.182927,0.9055188,0.90374583,1.2425263,0.87524456,1.0947086,1.1533695,0.9098097,0.9865463,0.9111173,0.8866267,0.9248164,1.3342335,0.7992053,1.1798548,0.8965236,0.0,0.91648275,0.9465831,0.86729795,1.0717139,0.9183761,1.2347664,1.2517364,1.1485527,0.91809833,1.2175374,0.88901407,1.0722761,0.9870552,1.3933859,1.1517432,1.1219851,1.3321488,1.148096,0.71863216,1.3098886,1.213633,0.9263387,0.86900467,1.000849,1.0759557,0.8233463,1.3167127,0.96580714,1.0286593,0.7360101,1.037252,0.6700997,0.88458645,1.160306,0.85092056,1.2128136,1.0203227,0.70024765,1.1779474,1.0554134,0.9950968,1.2432374,1.3316238,1.1641617,1.1186968,1.1916139,0.9797357,1.1207386,1.0929424,0.92046154,0.8261621,1.2539971,1.2208241,1.2937032,1.0333841,1.3311936,1.001978,1.1168523,0.8659533,0.9479614,1.1943213,1.2293186,1.008826,0.9034554,0.87920856,1.2320874,0.9425412,0.96283364,0.85572565,1.1396674,1.1701645,0.72625935,0.9084085,0.76973546,0.7540413,1.3887075,0.9854905,1.2670814,0.7730414,0.7800224,0.9020834,0.9098977,0.8102386,0.83075273,0.87990826,0.6415838,1.1490415,1.0343884,1.2125298,1.2713358,0.70171374,1.3039966,0.7236999,0.50585294,0.9702053,1.0050648,0.9836967,1.1631792,1.2934886,0.9089023,1.0674603
dog,0.827543,1.1908126,1.2614511,0.97410816,0.98118657,1.163408,1.1259854,1.0052551,0.989134,1.0405201,0.94698066,0.7881384,1.2597635,0.87805086,1.0190922,0.92530906,0.87807393,0.73735034,1.0867473,1.2310172,1.2419099,0.9534611,1.0275563,1.1643139,1.0586455,1.0577024,1.3061621,1.0033886,1.1724609,0.93285125,0.9241692,1.0037667,1.250257,0.77335185,1.0572934,1.0838628,1.0089793,0.9797175,1.119735,0.82995,0.9601977,1.3732533,0.6685606,1.2426171,0.33651412,0.91648275,0.0,0.81646395,0.90380144,1.0779256,0.9746259,1.0997192,1.2623261,1.2252235,1.0260991,1.0783143,0.8785523,1.2461046,0.9425106,1.2038871,0.98969376,1.2411081,1.2189302,0.89053035,1.0418133,1.2491745,1.2184155,0.83362955,1.2183948,0.9037406,1.0405962,0.99446094,1.2770103,0.9007101,0.35409766,0.8065028,1.0486053,0.99791676,0.8979441,1.1724125,0.835981,1.2413309,1.0540878,1.085728,0.94385576,1.1224921,0.9915701,1.3269887,1.1835507,1.2207854,1.1023397,1.2504213,0.98759747,0.9457221,1.0610318,0.84136117,1.0235639,1.3209404,1.3137293,1.2038996,1.1083357,1.3003025,1.0439221,0.9665098,1.1088392,0.10516024,1.132829,1.1568825,1.0676316,0.99546385,0.88636094,0.8991156,1.0161505,1.1329304,0.9061575,1.0419285,1.2002707,0.8636378,0.8822283,1.06264,0.882694,1.3458549,0.905564,1.2678727,0.9427866,1.0781952,0.692604,1.0406083,0.7647236,0.8975186,0.90377176,0.8340535,1.254292,0.7375821,1.2737287,1.1203877,1.0643893,1.2210081,1.1140323,1.0291458,0.8805428,0.9923748,0.89058465,1.1425318,1.3141623,0.9132766,0.9303554
doll,1.0174294,0.7885747,1.1036785,0.8897131,1.0280006,1.0721091,0.9588067,0.88290554,0.8019259,1.2263279,1.192169,0.97360593,1.1720806,1.0184172,0.7046025,0.8950472,0.9929812,1.1750822,0.9724341,1.0794545,1.117422,0.87275636,0.93418527,0.83432937,0.88093495,1.0163653,1.1014546,0.92780364,0.9876104,1.2275412,0.78984755,0.85759103,1.1329842,0.94089276,1.1257249,0.9565464,1.1071894,0.980273,1.1675252,0.9120028,0.96749485,1.163682,0.7509546,1.038022,1.046618,0.9465831,0.81646395,0.0,0.9681075,1.006457,1.1254795,1.0092773,1.043362,1.0197185,1.2249545,1.0565109,1.0056316,0.98106337,1.0999469,1.0390644,0.9011937,0.9117419,1.1636599,0.8453217,1.0655711,1.1610379,0.7249311,1.2233684,0.9994434,1.0605829,1.0106009,0.82873625,1.0053197,1.1389837,0.9925325,0.9174079,1.2281959,0.9595491,0.8920908,1.1403763,0.875968,1.1303656,0.8131217,0.7402356,0.92784524,1.1447475,0.9253276,1.1642478,0.8598517,1.0139024,1.07784,1.1012384,0.8673161,1.0634387,1.130887,0.9084752,0.94844306,1.1318753,1.1053083,1.1230667,1.013164,0.9177769,0.9932698,0.9082691,1.0654253,0.80207074,0.83779496,0.8706908,0.99388945,0.8528311,1.1371477,0.7711328,0.9686922,0.932831,1.0227547,0.70587265,1.1008438,0.8913411,1.1835914,1.1854632,1.0297077,1.0159407,1.1605676,1.0940564,1.0961435,0.8400766,1.0529613,0.8687852,1.0112027,0.9978626,1.0711823,0.9990157,1.1376315,0.8666117,0.9765421,0.93966866,0.96973467,0.9055541,0.73109484,0.8572071,1.1059569,0.7866168,1.1326549,0.9303022,1.1158011,1.16082,1.191781
door,1.0311708,1.2043362,1.3328447,0.97484004,0.9095178,1.3251413,1.2672086,1.067914,0.90150535,0.5871966,1.1037854,0.643452,1.2115133,0.7172236,1.0519733,1.1696084,0.8032932,0.822062,1.0625315,1.1887451,1.2154074,0.8258593,1.2090676,0.89250803,1.1351634,1.1348181,1.0537951,1.0919236,1.119415,0.90172815,0.5437122,1.0756141,1.1342024,0.21565044,0.862095,1.0582267,0.9075984,1.1021725,1.1661836,0.62354004,1.0687494,1.313169,0.6149759,1.1536736,1.0334096,0.86729795,0.90380144,0.9681075,0.0,0.6569733,0.80995506,1.1112071,1.172112,1.3282766,0.89275104,1.1400857,0.82298446,1.1543891,0.9214202,1.3725345,1.0112479,1.2645764,1.122371,1.1791917,1.0544649,1.2107992,1.2703805,0.910551,1.2364688,0.7595303,0.9673722,0.9324525,1.3170309,0.957673,1.030128,0.8662522,0.92406887,1.0562767,0.7139443,0.88333845,0.52037853,1.0034642,1.060063,1.0891231,1.0874985,1.0923426,1.1550438,1.3186315,1.1548676,1.133889,1.1863344,1.3440249,0.8128216,1.2190719,0.9635835,0.69327396,0.9168776,1.1759503,1.198212,1.1781671,1.1284398,1.1110771,0.981793,0.8919318,1.0989096,0.97178364,1.2978046,1.2643253,1.0483198,0.651578,0.99795324,1.1750683,0.9285907,1.0382497,0.6350846,1.2426268,1.0334605,0.88352,0.49667966,0.678994,0.9138759,1.3615986,0.83639383,1.1905487,0.9019447,1.1211255,0.80467105,0.93244416,0.8515108,0.6289439,0.86477804,0.7514018,1.3053191,0.91897047,1.2846415,1.2341638,1.0734212,1.1689234,1.2431517,1.0571585,0.87688226,1.0862454,0.9332789,0.87107587,1.3322244,0.42626554,1.1369476
drawer,0.9977482,0.99989516,1.1837405,1.0942522,0.9571705,1.2192973,1.0964288,0.9831529,0.8933723,0.5176478,1.2836657,0.9833709,0.99593043,0.5832761,1.1505703,0.982082,1.0038613,0.9575341,0.94451195,1.0707604,0.8670681,0.913863,1.0255836,0.7326477,1.0487982,0.96259177,0.94945335,0.9105692,1.0716394,1.1309671,0.71891034,1.0016785,1.0134801,0.62850785,1.0977137,0.8529079,0.8610171,1.002664,1.0729849,0.9821938,0.9339944,0.9216105,0.8783191,0.98595667,1.1522714,1.0717139,1.0779256,1.006457,0.6569733,0.0,1.0899673,1.0627065,1.1216861,1.1884456,1.1495644,1.0417091,1.1705804,1.0296936,1.0787163,1.1124287,1.005294,0.99686813,0.80241954,1.0015354,1.1159569,1.0793015,1.0983603,1.1551281,1.1064396,1.1602126,0.8022496,1.0426141,1.165034,1.0559978,1.1926929,0.8373387,1.1759031,0.9923664,1.0657693,0.6076314,0.7899108,0.77742845,1.0037825,1.1230186,1.0186987,1.026288,1.0292869,1.1465205,0.9011838,0.9475739,1.14618,1.1917331,0.6562631,1.2784916,1.1412908,1.0732044,0.81591284,0.7202545,0.7745879,1.0229369,1.0893202,0.8040575,0.9171117,0.908612,0.8827754,1.1106422,1.1278098,1.0577502,0.635888,0.60028756,1.1612974,1.0320317,1.1741973,0.7059244,1.1569262,1.0081146,1.113254,0.8316146,0.8170227,0.47443938,1.1191459,1.030487,1.0526565,1.1155776,1.0050299,0.8254268,1.0604255,1.0072026,1.1604227,1.1567572,1.0404952,0.8730559,1.047544,0.9217811,1.1302863,0.9080577,0.9404605,0.8651723,1.0528951,0.95441824,1.0680447,1.0208658,1.0435308,0.7493211,1.0915673,0.8443534,1.2417644
dress,0.95914555,1.072691,1.3125206,0.7379661,0.9173262,1.2571406,1.258751,0.9228589,1.048374,0.77266824,0.75213814,0.6552854,1.2691097,0.9601289,0.9710583,1.2176986,0.79862916,0.7393138,1.0799963,1.256279,1.27846,0.8787109,1.2169248,1.1562897,1.2044913,1.1195081,1.3419778,1.1325192,1.1686151,0.8029257,0.98841226,1.0209001,1.3002014,0.92677563,0.83723056,1.1589282,0.8409038,1.1185982,1.0017526,0.71619284,1.0988984,1.3495145,0.75729495,1.3143252,0.94949716,0.9183761,0.9746259,1.1254795,0.80995506,1.0899673,0.0,1.1704195,1.233463,1.2707105,0.7533268,1.1511848,0.8003857,1.086778,0.8995988,1.3354857,1.0658187,1.0910352,1.057768,1.2241136,0.78631854,1.1581186,1.335654,0.77585304,1.18211,0.7293391,1.2106999,0.85723805,1.282507,0.87462735,0.99716425,0.87999654,0.58513707,0.9099742,0.56445014,1.0938251,0.82830876,1.2739804,0.9685981,1.0371302,1.0281814,0.9495313,1.1838852,1.3254198,1.344789,1.0282148,1.1202009,1.2768319,1.0874593,0.81178856,0.6567658,0.6624023,0.86509943,1.3586302,1.2788947,1.2521136,0.9303986,1.2862582,1.0614806,1.049535,1.0884372,1.0153022,1.212261,1.2546206,1.1774952,1.067275,0.7276115,1.2572784,0.69195515,1.1619618,0.43743694,1.2843796,0.8518105,0.92106676,0.6896044,0.89940596,0.77026725,1.3658731,0.8175547,1.3126756,0.84314865,1.1131243,0.84092486,1.1249143,0.7496169,0.39089984,0.9184261,0.73621535,1.2902398,1.13589,1.22781,1.215839,1.0170844,1.3396592,1.2480319,1.0064396,0.85869193,1.1268021,0.884985,1.2433715,1.2794988,0.769907,0.80837554
duck,1.1273278,0.8082398,0.7455851,1.3493001,0.85955745,0.8569501,0.96649617,1.3086518,1.0753219,1.130315,0.805084,1.2825208,0.70470464,1.0419036,1.0745484,0.90060437,1.200021,1.3838241,1.1929913,0.72536397,0.9042101,1.3363943,0.97618246,0.9864297,0.95785344,0.97575897,0.662388,0.7963943,1.0326576,0.79716605,0.94651735,1.0400877,0.7892252,1.1083434,0.96970177,0.91020966,1.1669621,1.1228681,1.0610583,1.0758356,1.1616087,0.7902758,1.3316225,0.7969471,1.0474244,1.2347664,1.0997192,1.0092773,1.1112071,1.0627065,1.1704195,0.0,0.6296668,0.8999031,1.158535,0.9273473,1.0956675,0.97409135,1.1309831,0.71963036,0.8840165,0.7874998,0.96654904,1.0000315,1.2068658,0.72333777,0.58425444,1.125826,1.2098655,0.9403588,1.0925353,1.1967813,0.5549121,1.0951134,0.98572785,1.2453011,0.99334437,1.1582518,1.1152856,1.0025451,1.1502664,0.76476705,0.94347924,1.2054479,0.9095499,1.0809166,1.050001,0.7925999,0.6358069,0.6696477,0.93769616,0.8800285,1.0713837,1.1542847,0.91426986,1.0415125,1.3949556,0.8639669,0.8422903,0.6852895,0.99338347,0.6433115,1.2449349,0.97283417,1.130472,1.0368031,0.74089205,0.68300694,0.92762846,1.0143747,1.2276177,0.7529096,1.1333281,1.077468,1.0850192,0.7424426,0.73962647,1.2178385,1.153717,1.1864506,1.2353244,0.65249294,1.054607,0.7337485,1.2497725,1.1165386,1.0283986,1.061301,1.1887969,1.1445855,1.0958358,1.3478627,0.8764664,0.96135026,0.80335116,0.9014528,1.2009933,0.6407913,1.1263168,1.263045,1.1108918,0.94720775,1.1111658,0.83383524,0.69278383,1.0993335,1.0290173
ear,1.1791142,0.5781513,0.5178028,1.1930819,0.94763416,0.78949356,0.89307964,1.222882,1.1829001,1.1982058,0.9194894,1.478857,0.5663377,1.3325782,1.1317894,0.96857905,1.3461827,1.4611382,1.1434005,0.62078834,0.7752924,1.3048437,0.8807136,0.8091868,1.0010226,1.0637558,0.5027307,1.0101941,0.6721016,0.9313166,1.1685896,1.0436498,0.59615654,1.2609711,0.9254402,0.985068,1.1816616,1.0642809,1.0527399,1.2934538,1.1698806,0.5476681,1.4447354,0.687477,1.2359505,1.2517364,1.2623261,1.043362,1.172112,1.1216861,1.233463,0.6296668,0.0,0.64828575,1.251293,0.6513592,1.1410949,0.59726197,1.1617298,0.59501976,1.0492363,0.6646925,0.7888187,1.030398,1.2609189,0.43370336,0.5687535,1.2525308,0.88858694,1.103408,0.9905466,1.0648863,0.4284734,1.211239,1.2132643,1.3821138,1.163561,1.2065681,1.1922898,0.94388056,1.362737,0.71239847,0.8234155,1.0514075,1.1641408,0.75727314,0.9828807,0.45838463,0.5995979,0.49100614,0.55720955,0.55307835,1.1122477,1.0382184,1.0672561,1.1385347,1.279996,0.7114655,0.666678,0.63129383,0.7892804,0.6681074,1.0932028,1.100415,1.0640496,1.2483659,0.7104703,0.64742255,0.9327953,1.1304224,1.3226063,0.8223742,1.1269621,1.0898025,1.2104806,0.81397414,0.634719,1.3605738,1.282126,1.2280372,1.3818537,0.3793469,1.2124897,0.4447171,1.2792661,1.0001918,1.2753471,0.9891789,1.3841801,1.2376071,1.2707186,1.5023873,0.7071717,0.99732846,0.42939252,0.705187,1.0932719,0.69333327,1.0592304,1.2180563,1.2930965,1.1397859,1.2225233,0.77747536,0.41040552,1.298838,1.1232687
egg,1.1372555,0.7016347,0.39285088,1.1405957,1.0758116,0.53270495,0.6304945,0.9363315,1.1676571,1.3577578,1.0914878,1.4917092,0.75003004,1.374624,1.1553899,0.9118037,1.3906546,1.381706,1.0587479,0.695709,0.7254163,1.273808,0.7995938,0.86431426,0.8692388,1.0467012,0.69114494,1.0371222,0.46913534,1.1469835,1.3492228,1.0695448,0.5499271,1.2919533,0.90576804,0.95025945,1.1865673,0.9901123,0.8791895,1.3207319,1.0132698,0.5588961,1.4289001,0.70130855,1.2018594,1.1485527,1.2252235,1.0197185,1.3282766,1.1884456,1.2707105,0.8999031,0.64828575,0.0,1.2230495,0.72131634,1.0127794,0.60334027,1.19907,0.57496053,1.1385264,0.6505822,0.9281205,0.8816952,1.0635598,0.5459117,0.681942,1.2866278,0.5412199,1.1318672,0.95772636,1.0142071,0.48442328,1.2236438,1.1948886,1.3229461,1.2552164,1.0328163,1.2353102,1.0873859,1.4802514,0.8023869,1.0638859,0.89711165,1.1157384,0.7572875,0.88170403,0.35177314,0.7812737,0.8662336,0.5267706,0.21225858,1.215856,1.0008138,1.2227137,1.2043357,1.2105385,0.7430403,0.71774095,0.7237381,0.7536087,0.79701376,0.7938243,1.2301793,0.8433425,1.2393425,0.55174357,0.64311284,1.0572021,1.2581124,1.3056793,1.008461,1.0780216,1.0545744,1.3441124,1.0023894,0.8830617,1.323009,1.3614231,1.2392534,1.319582,0.4900025,1.2966423,0.40861017,1.1633064,0.9554095,1.358381,0.8708646,1.3620601,1.2775273,1.2465968,1.4157515,0.5265054,1.0154812,0.39799428,0.6264244,1.0056379,0.8347605,0.78372234,0.960715,1.2981564,1.1673735,1.2492827,0.95101714,0.5025917,1.3886926,1.1337783
