,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
cookie,1.1254064,1.0763286,0.87851435,0.83420753,1.2473516,0.94034785,0.91611844,0.7287005,1.1298295,1.105625,1.3880156,1.0007446,1.3175471,1.2997588,0.9959843,1.2995174,1.1720909,1.0841767,0.99015427,0.788384,1.2406356,0.13341475,0.94323504,1.0787944,0.9376034,1.0631855,1.0526836,0.923407,1.2503446,1.1826009,0.93437254,1.2304758,1.2013688,0.8354111,1.2483246,0.0,0.9975031,1.4117689,0.20709068,1.0036323,1.2826346,1.0175833,0.89468807,1.1886586,1.0878134,1.1226834,1.1365075,1.1856793,1.0146592,0.69762576,1.2347184,0.9807774,1.188623,1.0389521,0.76412845,1.0460442,1.0835682,0.8400951,0.9086602,1.1750091,1.0895703,1.145588,1.0173454,1.2364311,0.663222,1.1904624,1.0087475,0.8173425,1.1477623,1.2763168,0.994765,1.3937323,0.95351374,1.2478349,0.9875615,1.177124,1.0430902,1.0162253,0.7874706,1.2582138,1.2478642,1.055368,0.13469493,0.9428581,0.78243244,1.0808449,1.0858874,0.5539839,1.1474465,0.9677063,1.3333639,1.2871815,1.1138923,0.9737349,1.028207,1.072689,0.5877056,1.1194984,0.6522242,1.0720485,0.81402266,1.021505,0.7514117,0.76036763,1.2535479,0.9235126,0.9110487,1.1437659,0.9506913,0.65591115,0.74464846,1.2163918,1.1755633,1.3450408,0.98465776,0.7893163,1.235474,1.0089439,1.2678351,0.9480115,1.1634648,0.7002456,1.1204324,0.80890507,0.84521216,0.9914432,0.80860806,1.1560688,1.3338163,1.2620445,0.76738596,1.0424967,1.1139301,1.3035719,0.7689032,1.0163411,0.92625684,1.0651319,1.1703664,1.0097457,1.1029055
corn,0.8227351,0.81742036,0.981819,0.7926637,0.9961641,1.0809481,1.0840037,0.7230602,0.886656,1.2704458,1.1164356,1.0188924,0.99482,0.8733416,0.7263541,0.917091,0.87190056,1.0751482,0.9698186,1.3315893,1.0667038,0.83585805,0.96278375,0.9912466,0.91081357,0.93712586,1.1080562,0.7837677,1.1090021,1.0215945,1.0726807,1.1573119,1.162641,1.2032795,0.9579736,0.9975031,0.0,0.9646183,0.79550296,0.97567964,1.026966,1.1670618,1.2603743,0.83284855,0.80845726,1.1455702,1.245919,0.9780493,0.80563045,0.86608726,1.0696279,0.9699029,0.99650043,0.7771712,1.0879496,0.99718076,0.7766884,0.96135825,0.8922733,1.1404138,0.99813235,0.7092656,0.91705936,1.0079471,0.95980704,0.90359104,0.95435834,1.0717225,1.1873765,1.0122699,1.1984333,0.84138715,1.0129627,1.1033086,1.0920779,0.9543878,1.00319,0.8745848,1.1761516,0.65803236,1.031642,0.9662296,0.87502456,0.9286276,0.89151126,0.9765282,0.88710636,1.0411392,1.2045019,0.99796414,0.7922479,0.85243535,1.0153348,1.106425,1.0058345,1.0164903,0.98937607,1.0062742,0.75107795,0.9558836,1.3148419,1.0781574,0.7125776,0.93497187,1.0278912,1.2477875,0.9057169,1.0758805,0.9632313,0.9297639,1.2305362,0.8620324,0.9271975,1.0476384,0.9132469,1.047935,1.1884315,1.3639652,1.1975846,0.887998,1.1521751,0.87879175,0.93119854,1.1806,1.1219121,1.041346,0.9063565,0.95636255,1.1224066,1.2193561,1.0058308,0.76161385,0.78138494,0.9958028,0.9032372,0.89430684,1.3386834,1.0106883,0.90286523,0.9669325,1.1624333
couch,0.6997802,0.9651685,1.4131231,1.1162366,0.60706806,1.283816,1.3172439,1.3434122,0.9094331,0.82911724,0.2783175,1.179321,0.35808206,0.62657386,0.98881733,0.36656606,0.7173553,0.9086161,1.349386,1.1823037,0.74130327,1.3537996,1.1287563,1.1159896,1.0181316,1.181278,1.0001836,1.2590659,0.67827314,0.55523014,1.2090069,0.78266895,0.73289466,1.0447001,0.73186165,1.4117689,0.9646183,0.0,1.2576392,1.346898,0.6787001,1.3334315,1.128534,0.67781764,0.8422648,0.88826495,0.9133256,0.71770775,1.0964088,1.489432,0.7649698,1.1408713,0.9335679,1.1711413,1.2223883,1.1733465,0.71800476,1.4192975,1.2312787,0.8994985,1.2270254,0.87127626,1.1643702,0.79966104,1.1184063,0.92045313,1.2472421,1.2541926,0.82491565,0.56466997,1.0250887,0.32627726,1.2033156,0.6129465,1.3171227,0.6204506,0.9843737,1.049535,1.127345,0.6462985,0.64525056,1.0508993,1.3669976,1.3933427,1.202966,1.1689285,1.0515549,1.4266998,0.7026706,1.1218147,0.51427025,0.5349825,0.88107216,1.3007767,1.3167018,1.1829065,1.2708223,0.8216324,1.0960033,1.1235499,1.1395515,1.0669595,1.3575883,1.1806077,0.6219601,0.9858522,1.3457534,0.89115334,1.1056303,1.0813509,1.1742454,0.75954974,0.88559437,0.45280826,1.0288367,1.310732,0.7531185,0.95850873,0.73701966,1.2929585,0.8946049,1.4788234,0.8487847,1.1218517,1.2541962,1.2957628,1.3280141,0.7374483,0.45612448,0.39698392,1.3830583,1.2078606,1.064279,0.94370675,1.1836364,1.1553347,1.0136603,0.810269,1.0127933,1.2994386,0.9200168
cracker,0.88121235,1.0824106,1.0859399,0.7532867,1.0862852,1.0987793,1.099915,0.65651864,1.2163438,1.0530028,1.2742906,1.2000098,1.1715804,1.1440812,0.7535385,1.1889927,1.0998608,1.15669,1.2376753,0.89566344,1.1406099,0.11787045,0.9202943,1.2910383,0.85669756,1.2485877,1.2054787,0.8512467,1.2569814,1.2145916,1.1287032,1.159317,1.1826453,0.7666829,1.0457697,0.20709068,0.79550296,1.2576392,0.0,1.1805556,1.1915054,1.2804334,1.0220953,1.1104846,1.11096,1.1513991,1.1726812,1.1116172,0.9877161,0.91328806,1.1508834,0.98699886,1.1165793,0.97359836,0.94793504,1.1883537,0.9721316,0.8985473,1.0068816,1.1145923,1.2154143,1.0274745,1.008435,1.1302959,0.48613048,0.9301076,1.2407012,0.99377644,1.1039238,1.1506747,1.010437,1.1511658,0.86570716,1.1490893,1.2392834,0.9788451,0.93555754,0.8958498,0.81119037,1.0027404,1.1048259,1.0116346,0.20488024,1.1290456,0.97150475,1.2176708,0.9765526,0.74525917,1.0391905,0.99233127,1.1120648,1.0218229,1.0204229,1.1340547,1.1567869,1.2204496,0.5460008,1.244186,0.3369528,1.089029,0.8786001,1.0952374,0.83089125,0.7995294,1.1564252,1.0874614,1.1354549,1.2207986,0.97045046,0.4013363,0.7919569,1.0977536,1.0571214,1.1562303,1.0518472,1.0704644,1.1451102,1.0403607,1.1782655,1.0951934,1.1854408,0.88430107,1.1791234,0.79193354,0.8102851,1.1403412,0.88322455,1.0474252,1.1686438,1.2147175,1.047104,1.0755459,1.0113863,1.1771414,0.953241,1.1598197,0.9553644,1.0986825,1.2556098,1.1918466,1.1838524
crayon,1.5206267,0.7187543,0.31791782,1.0108196,1.4148358,0.7934561,0.6974258,0.881394,0.8199321,1.4576503,1.4792339,0.1515004,1.2005167,1.4633449,1.017193,1.3068641,1.1548314,0.9225621,0.22565329,1.2926787,1.3314137,1.0693737,0.6888013,0.623367,0.84604585,0.24465907,0.77996016,0.6856228,1.1002533,0.8463342,0.8320225,1.2343073,1.2567017,1.4791982,1.0809495,1.0036323,0.97567964,1.346898,1.1805556,0.0,1.3773116,0.28782463,1.2009782,1.2405255,1.0923277,1.0590363,1.0361893,1.3127036,0.8564571,0.5051054,1.2206651,0.93873835,1.2227118,0.7023486,0.2994777,0.35942006,1.205595,0.44919127,0.6944607,1.4741275,0.28279865,0.93222,0.8538103,1.3782146,1.4583106,1.3117399,0.3133896,0.8487302,1.36625,1.319725,1.4270656,1.3814048,0.72850716,1.2999113,0.16696787,1.3466907,1.3401299,1.1556056,1.3476923,1.3693457,1.3652868,1.1385282,1.0375103,0.29328626,0.6570321,0.41992724,1.1717415,0.826932,1.4086866,0.9978871,1.5143867,1.424124,1.2406524,0.14817685,0.1125195,0.39463192,1.1787419,0.38879073,1.2056859,0.55780977,1.3606741,1.0227194,0.7341317,1.1081063,1.3011341,1.1076989,0.4691248,1.0197206,0.985786,1.4560692,1.3889327,1.063659,1.1415002,1.4712464,0.91455245,0.43285143,1.3370177,1.3875227,1.258337,0.19363707,1.0401154,0.4554522,0.6125723,1.3888946,1.0746219,0.6093413,0.6007072,1.3100312,1.5208623,1.4809873,0.42719674,0.5995968,0.9399678,1.1216147,0.7077135,0.5401767,1.3715886,0.9765971,0.4135461,0.13672209,0.9002216
crib,0.75056493,1.2286168,1.3115628,1.275595,0.8164813,1.1758554,1.1432396,1.1184642,0.4314239,0.7262858,0.45921487,1.3308038,0.645892,0.6358967,1.194946,0.71889204,0.6906676,0.7159761,1.2794404,0.9323208,0.24503249,1.3133204,1.0655758,0.90151596,1.0274392,1.2600658,0.9877459,1.3766508,0.99928826,0.85255253,1.0010184,0.6748085,0.92171794,0.9899514,0.75721407,1.2826346,1.026966,0.6787001,1.1915054,1.3773116,0.0,1.2439961,0.90667516,0.8555977,0.814832,0.94715476,0.88108414,0.79635704,1.2665,1.3536808,0.8330426,1.1955404,1.0214088,1.3354115,1.4127753,1.2166438,1.0786464,1.3069783,1.1190928,0.6689426,1.3982201,1.0851264,0.91168875,0.94139147,0.9510746,1.0254283,1.3614542,1.1002522,0.745771,0.8944527,0.6652097,0.8422216,1.2083992,0.6322703,1.3430545,1.0228889,0.7322538,0.92807686,0.9666612,0.76141334,0.67769265,1.1358525,1.2798312,1.4600074,1.1334596,1.3517237,1.1911826,1.2876661,0.72945493,0.8717828,0.6457237,0.88438606,0.693679,1.356752,1.3201984,1.2109733,1.1468607,1.2373203,1.0644293,1.2567132,0.83578676,0.8828405,1.3751888,0.9720846,0.643677,0.86650515,1.393234,0.8182397,1.098748,0.95120776,1.0388386,1.1049489,0.87887144,0.85262847,1.01939,1.3032485,0.8500947,0.81224656,0.641227,1.4330108,1.0090055,1.2662323,1.1793653,0.98429847,1.1364719,1.1437484,1.2853194,0.56602454,0.79468536,0.6004914,1.2517513,1.392786,0.98760283,0.8819101,1.1209828,0.7709831,0.6749722,0.89530146,1.1223415,1.4195044,0.9046329
cup,1.4340636,0.8974976,0.45897794,1.186291,1.2989998,0.8081378,0.74951565,1.0471382,0.791221,1.1771843,1.3808173,0.37383848,1.2802559,1.3706503,1.2656044,1.2962952,1.1886646,0.9507944,0.15853363,0.98313564,1.2212617,1.1401556,0.80487025,0.4332385,1.0778654,0.2991686,0.86450183,0.9558397,1.1312355,0.874615,0.7225194,1.1561445,1.1378638,1.2225382,1.2164448,1.0175833,1.1670618,1.3334315,1.2804334,0.28782463,1.2439961,0.0,0.9338743,1.3151566,1.0997468,0.97497493,1.0982723,1.2507695,1.0422624,0.6628552,1.2180198,1.0901322,1.1546946,0.9821068,0.45327055,0.48086816,1.2011324,0.72435033,0.8901154,1.2750454,0.39790112,1.0828264,0.98762906,1.2931013,1.325547,1.3575375,0.37699962,0.8847089,1.2333798,1.2859278,0.968665,1.4406195,0.91998446,1.1706967,0.24113643,1.3521502,1.2193719,1.1122053,1.1217242,1.4265738,1.2735527,1.211023,1.0797683,0.4111551,0.74363935,0.5995681,1.1675144,0.75697863,1.2240951,1.0506523,1.4573367,1.4308522,1.253393,0.41184485,0.2915392,0.34893954,1.0818416,0.55394745,1.3365395,0.7185757,1.07201,1.0421263,0.8743173,1.0681822,1.2420877,0.98335165,0.62076265,0.8619828,1.1092806,1.3683624,1.1640538,1.253808,1.2751117,1.3888569,0.9919278,0.5354548,1.1979554,1.0724677,1.2287384,0.45354944,1.053798,0.50018036,0.74913096,1.1657668,0.99322593,0.53617,0.8132391,1.2672701,1.3761152,1.2705057,0.5206754,0.801317,0.9637612,1.2092932,0.7623693,0.6267791,1.1218476,0.9666615,0.5605862,0.30982733,0.937105
dish,1.091581,1.2250931,1.1668022,1.1493018,1.0500956,0.99207014,1.0527445,1.0512549,1.0660219,0.5198976,0.99955285,1.1615248,1.0664032,1.0383989,1.1890467,1.0767897,1.1013939,1.000712,1.1785009,0.31728536,0.95140207,1.0020822,1.0112749,0.9922531,1.1004146,1.1973284,1.0591328,1.143944,1.1044674,1.0011952,0.7731275,0.9016025,1.0327587,0.71718,1.1094162,0.89468807,1.2603743,1.128534,1.0220953,1.2009782,0.90667516,0.9338743,0.0,1.2289996,1.2137501,0.8672161,0.87238634,0.9854887,1.0693014,1.1031187,1.1233987,1.1254966,1.098771,1.2229906,1.1121525,1.2518182,1.0990291,1.0876253,1.262718,0.8632066,1.2166243,1.2715303,1.0758902,1.0895336,0.93756413,1.0633838,1.2406412,1.0383044,0.7674012,1.1838613,0.66017294,1.229504,0.9290189,0.9430133,1.1156237,1.1410141,0.8888417,0.9459035,0.66784644,1.1336027,1.157959,1.0530006,0.9975148,1.1869973,0.93715113,1.1266127,1.0764755,0.9056491,0.8428324,1.0906996,1.1533939,1.1451693,0.857755,1.1403459,1.1801809,1.1280644,0.8835099,1.2002246,1.0854344,1.2483737,0.332022,1.0141975,1.2144873,0.91921794,1.0573475,0.78151834,1.1923189,1.0778408,1.1725111,0.9778266,0.6923177,1.116466,1.0954307,1.1235889,1.1099184,0.98924744,0.89403427,0.3573274,0.98130363,1.2651758,0.9327177,1.0586293,1.2355272,0.7027605,0.77050346,0.81177425,1.1418775,1.0863183,1.0903639,0.74568665,0.9403758,1.2456167,1.1529133,0.95212996,0.89598465,1.1923263,0.58667827,1.1134682,1.2695293,1.2546313,0.8648058
dog,0.7055625,1.0078081,1.216205,1.0398667,0.8646229,1.091022,1.1477524,1.099745,0.96289957,1.1344709,0.74979997,1.1924038,0.9104286,0.7158945,0.8818986,0.69420826,0.8862569,1.0540906,1.2062479,1.3301202,0.9755936,1.1189419,1.044055,1.1731228,1.0976585,1.20703,0.9541961,1.1132622,0.5665289,0.9975005,1.2744253,1.0924771,0.73872125,1.1437826,1.0369596,1.1886586,0.83284855,0.67781764,1.1104846,1.2405255,0.8555977,1.3151566,1.2289996,0.0,0.5352576,1.1481836,1.1705683,0.73250425,0.9221108,1.1892319,0.549308,1.0429205,0.8465866,1.0513476,1.1386704,1.0066807,0.8067722,1.271723,0.8557828,0.9386945,1.150912,0.76737106,1.1088954,0.6851883,0.91767406,0.8783828,1.0599728,0.9335261,0.984752,0.75456196,1.0797018,0.58723557,1.2900319,0.9839043,1.2297122,0.8697121,0.893976,1.0990692,1.2254189,0.6045785,0.8291576,1.066386,1.0575002,1.1540387,0.9227025,1.0888928,0.93249685,1.2410666,1.0499327,0.7654355,0.54126126,0.7595185,1.0678898,1.2373931,1.1804596,1.1293858,1.2056348,1.0232149,0.9832634,0.8862124,1.2987248,0.83903253,1.0437942,1.0299839,0.84391266,1.106772,1.0003058,1.0612335,0.7528174,0.90558434,1.242956,0.71441805,0.9022105,0.7018366,0.95274895,1.1941301,0.999631,1.2184718,0.97956324,1.1014808,0.95496535,1.1991311,1.1245986,1.2335078,1.3419272,1.2546859,1.2301145,0.8255234,0.7355609,0.91653657,1.2551968,0.97601753,0.89726114,1.0292531,0.8890711,1.0283211,1.2250322,0.9555206,1.1542085,1.1266551,1.1021017
doll,0.8611282,0.8860632,1.0519996,1.0960538,0.86702037,0.94819766,0.9297596,1.0010253,0.69861335,1.2761834,0.9495473,1.0797762,1.0689199,0.805851,1.0890042,0.82571113,0.74321157,0.82943,0.9861833,1.2038436,0.8666319,1.1192561,1.0835483,0.87130195,1.0239189,1.0234396,0.9095027,1.108138,1.1099609,0.9235482,1.1401232,1.1390439,1.0290097,1.1532447,1.168408,1.0878134,0.80845726,0.8422648,1.11096,1.0923277,0.814832,1.0997468,1.2137501,0.5352576,0.0,1.0739788,1.1355304,0.5890232,1.1964324,1.0584471,1.078039,1.0728136,0.99718016,1.047654,1.1376078,0.90504813,0.6540997,1.0682756,0.7282549,1.0009383,1.1244972,0.74260455,0.95451915,0.93608946,1.0302684,0.9653619,0.94751763,0.9154736,1.0979562,0.9618201,0.9927389,0.8621085,1.1841089,1.0849798,1.0734898,1.1014359,1.0041362,1.024787,1.109756,0.7357304,0.8456751,1.1133126,1.0434058,1.1295687,0.7670506,1.0322475,0.9881356,1.0250401,1.1712667,0.8729304,0.59933317,0.92635584,1.0788828,1.1207778,1.0883585,1.0397177,1.0404363,0.966306,1.100194,0.97942173,1.2068042,0.92931634,1.085636,0.8962751,0.86247253,1.0185605,0.96265286,0.89792776,0.9492753,0.99812627,1.1485423,0.9331032,0.95173603,0.9755649,0.83365315,0.8877554,1.1633224,1.2977192,1.1421793,1.0528538,1.1792148,1.0014455,1.0166761,1.1408954,1.1222395,1.0331119,1.0716078,0.6759525,0.9883243,1.1017442,1.0197525,0.945222,1.0287614,1.1103156,0.72689295,0.6959739,1.1387619,0.9557683,0.96056545,1.0712168,1.0897168
door,1.1288912,1.094602,1.1694517,1.2160863,1.0494484,1.0626798,1.0975544,1.2646346,0.95591193,0.9030347,0.87526715,1.0269152,0.78010404,1.1273458,1.1274068,1.0972131,1.1117746,1.0039945,0.9269698,0.9635538,0.92489654,1.1886866,0.8795614,0.9386469,1.0891185,0.8399476,0.9902652,1.174839,0.90002525,0.6412801,0.8286285,0.32381934,1.0196818,1.0642884,0.8913447,1.1226834,1.1455702,0.88826495,1.1513991,1.0590363,0.94715476,0.97497493,0.8672161,1.1481836,1.0739788,0.0,0.5780748,1.016522,0.9692108,1.1986767,1.0502757,1.0990263,1.0877174,1.1666855,1.0486832,1.0396194,0.99282867,1.0628645,1.19138,1.0393037,1.0625231,1.2361026,1.2192707,1.0376697,1.1672269,1.0990481,1.014728,1.0221833,0.88056004,1.0881741,0.9754983,1.035448,0.926999,0.61563396,0.77024245,1.065118,1.1447449,1.0465664,1.0116845,1.1602395,0.9581182,1.0740719,1.1348629,1.1245128,1.042201,0.85365903,1.1196724,1.03434,0.7015364,1.0569962,1.0534915,0.93922913,0.9988867,0.9648197,1.0412097,0.929101,1.0822237,1.0233862,1.2499926,1.0170609,0.98562235,0.93266743,1.2763331,1.070501,0.9674794,0.90521073,0.93377084,0.52850777,1.0769535,1.1267513,1.0330848,1.0939615,1.0912038,1.0278996,1.095214,0.9676035,0.4461336,0.8664056,1.1058013,1.1680039,0.8064351,1.0258152,0.99321157,1.0529052,0.9744784,0.8518358,1.1913103,0.9273652,0.94152975,0.8405616,1.1211896,1.129378,1.1180791,0.9236118,1.0287702,1.1872208,1.0421808,0.9215912,0.7646045,1.0956612,0.689524
drawer,1.038765,1.137119,1.2041254,1.2431445,0.9628084,1.010727,1.0539526,1.1253316,1.0036017,0.69323236,0.8380576,0.9912673,0.71508396,1.0313194,1.0062356,0.9909249,0.9621446,0.8968296,1.1355321,0.88171744,0.7256987,1.2092984,1.0170685,0.96555054,1.0495367,1.0810779,0.788363,1.1567867,0.9573577,0.82147455,0.7625561,0.55874676,0.98179406,0.9962848,0.8660573,1.1365075,1.245919,0.9133256,1.1726812,1.0361893,0.88108414,1.0982723,0.87238634,1.1705683,1.1355304,0.5780748,0.0,1.0486705,1.1442242,1.2126099,1.003501,1.1224971,1.1615407,1.1761757,1.1261001,1.228749,1.1225014,0.97501,1.1152225,0.8646444,1.2057645,1.1504307,1.0150702,1.1901217,1.1323422,1.0270276,1.232559,1.0832657,0.7651969,1.0323163,0.94803387,0.9775919,0.82189465,0.8166692,0.99518806,1.108467,1.000934,0.92486715,1.0131923,1.0937505,0.98115355,1.0843519,1.2213044,1.2441517,1.0233631,1.0282408,1.1774045,1.0968628,0.5467595,0.9936127,1.0588405,1.0234604,0.8205657,0.89533883,1.0861058,1.1429974,1.05673,1.0549392,1.2184279,1.2036221,0.80757225,1.00016,1.2747898,1.0543336,0.9143204,0.697386,1.069062,0.6916813,1.1413274,1.1078326,1.0079055,1.0418631,0.8264225,0.9947839,1.0943078,0.94083565,0.66460377,0.6203014,0.8595972,1.2063051,0.7501037,1.0825112,1.0726998,1.0110166,0.8315095,0.9282472,1.218629,1.009983,0.9770459,0.7490585,1.0279231,1.293528,1.2240515,0.69861853,1.0440576,1.0922328,0.8040602,0.8802532,1.0543679,1.1578957,0.71597576
dress,0.7855215,1.0526401,1.2851948,1.124602,0.6610427,1.1457593,1.1729282,1.2048769,1.0317166,0.9686844,0.67215526,1.2734044,0.9717601,0.5497268,1.1506845,0.6395974,0.68945473,0.9488922,1.2750133,0.9850086,0.86256325,1.1751552,1.1398388,1.1975383,1.0544945,1.2838757,1.0770282,1.2294946,0.8753318,1.0997049,1.1086975,1.0118525,0.91692275,0.900193,0.99226886,1.1856793,0.9780493,0.71770775,1.1116172,1.3127036,0.79635704,1.2507695,0.9854887,0.73250425,0.5890232,1.016522,1.0486705,0.0,1.1194347,1.2959032,0.83998704,1.0398364,1.0016437,1.1001855,1.1962407,1.1723444,0.8218819,1.3315995,1.1720164,0.83466357,1.2427212,0.90237343,0.9613396,0.84393114,0.8724232,0.75180006,1.249185,1.1158303,0.86791563,0.8366064,0.82988024,0.67017967,1.2264243,0.9689333,1.3301924,0.94418806,0.79580337,0.9806254,0.92487407,0.65251756,0.8761161,0.90892076,1.1574056,1.2416306,1.1330853,1.1789129,1.054888,1.1951591,0.9365634,1.1188738,0.43636936,0.7855099,0.89599377,1.2841252,1.2541842,1.1392925,1.1231668,1.099076,1.0205263,1.1722968,0.993031,0.8698443,1.2312447,0.9707714,0.8873662,1.0263503,1.2736228,1.114723,1.079996,0.8812297,0.9101053,0.82604957,0.98443127,0.68023634,1.0580401,1.2095121,0.9424879,1.0184257,0.9254297,1.2972009,1.03828,1.3140267,1.1454097,0.8845167,1.1039621,1.1612794,1.1938365,0.89101464,0.7416148,0.8692533,1.3319829,1.1076438,1.0099412,0.9016103,1.0756446,1.1526179,0.9128106,1.0565065,1.2484999,1.3182211,0.99687386
ear,1.2608285,0.7039447,0.87975794,0.6076587,1.2212317,1.0384783,1.0832481,1.0546495,1.0369846,1.2579298,1.2702663,0.8074875,1.0067466,1.1183269,0.5755378,1.1077468,1.117223,1.2220734,0.9069596,1.2393229,1.3075657,0.901082,0.9701404,1.1202035,0.9654513,0.8172272,1.0077815,0.6531855,0.79243267,0.94405746,0.95574003,1.0712416,1.0818268,1.237145,1.0497719,1.0146592,0.80563045,1.0964088,0.9877161,0.8564571,1.2665,1.0422624,1.0693014,0.9221108,1.1964324,0.9692108,1.1442242,1.1194347,0.0,0.8294288,1.0341101,0.7728317,0.93850553,0.6184964,0.7993041,0.86479414,1.078333,0.9913763,0.9615789,1.0651348,0.6350594,0.91790307,1.0196354,0.8850695,1.094094,0.87477297,0.76654106,1.0906187,1.2437873,1.0443879,1.2621002,0.8957228,1.0316008,1.1880866,0.869435,1.0526108,1.1363884,1.1716181,1.2075567,1.0040417,1.1799426,0.76206243,0.8847634,0.67927015,1.1051009,0.5807034,0.7357389,1.1072974,1.193062,1.0143573,1.1030856,0.9016398,1.2246063,0.8972616,0.8695457,0.8213675,1.2253135,0.9022437,0.88932306,0.62536365,1.2868801,1.0885541,0.6525844,1.0872563,1.1704715,1.220356,0.6480912,1.087039,0.82935816,1.1643325,1.2229182,0.71677303,1.0522083,1.023174,1.0773277,1.107427,1.1116318,1.2736567,1.2825929,0.67936856,0.94514936,0.95924866,0.77860147,1.2333992,1.2226079,0.9443457,0.78588116,1.1965652,1.1231749,1.245659,0.90922964,0.5773579,0.85073644,1.124027,1.1183639,1.1996365,1.3823434,1.1958191,0.81595147,0.69768053,1.0267692
egg,1.4410846,0.7711911,0.26701826,0.6995416,1.3549795,0.47568232,0.41692156,0.6528923,0.9451186,1.3269529,1.557048,0.63331234,1.4689972,1.3795619,0.9396439,1.3685329,1.2149878,1.0806385,0.5577963,1.1204348,1.3497574,0.6803311,1.0155219,0.78350365,1.0207202,0.62500143,0.9666896,0.4831506,1.3010151,1.1524265,0.83782816,1.4010733,1.3087018,1.1882523,1.3455253,0.69762576,0.86608726,1.489432,0.91328806,0.5051054,1.3536808,0.6628552,1.1031187,1.1892319,1.0584471,1.1986767,1.2126099,1.2959032,0.8294288,0.0,1.2794027,0.89882344,1.1602124,0.60732746,0.71289,0.6208243,1.1472064,0.62352026,0.7061726,1.3308487,0.6766045,0.8518808,0.78339285,1.2859559,1.0784041,1.1674864,0.50031424,0.75120354,1.4828037,1.3743017,1.2673194,1.4522319,0.9800302,1.4604031,0.632928,1.2721854,1.2156374,0.98115885,1.1300325,1.2632506,1.3738414,0.98847705,0.6701475,0.3927437,0.79480803,0.81810725,0.9649641,0.530223,1.5372808,0.9174204,1.4501046,1.397308,1.3016464,0.68932515,0.61353946,0.7569612,0.84234315,0.81202805,0.8797973,0.78425837,1.1547755,1.0555352,0.31622893,0.7821127,1.3562587,1.1729281,0.51134205,1.1315784,0.9215283,1.1291269,1.0855902,1.1696038,1.222095,1.4829044,0.9409714,0.6821031,1.3748055,1.2867908,1.2655171,0.49597043,1.2184052,0.4108535,0.72858155,1.1555417,1.0281056,0.8182694,0.4341175,1.3436184,1.5424513,1.5324292,0.453099,0.5434349,0.85320723,1.2383894,0.8245269,0.63831824,1.2446306,1.1127398,0.7231294,0.51578605,1.1924797
elephant,0.7611524,1.1717093,1.2791843,1.1486149,0.8400773,1.1624428,1.2422166,1.1611044,1.0827003,0.88097954,0.6323237,1.2556552,0.8722009,0.7545085,1.0385718,0.7587288,0.96183795,1.0812681,1.183025,1.1289183,0.90965647,1.2054816,1.0062745,1.156811,1.0980853,1.2133675,1.0809959,1.1556232,0.44293272,1.085426,1.1969272,0.9254824,0.6434175,1.0352671,0.78741294,1.2347184,1.0696279,0.7649698,1.1508834,1.2206651,0.8330426,1.2180198,1.1233987,0.549308,1.078039,1.0502757,1.003501,0.83998704,1.0341101,1.2794027,0.0,1.0462968,0.9528959,1.1100212,1.1521151,1.1120851,1.0047369,1.2736299,1.2026742,0.7783976,1.1695961,0.9651926,1.0599271,0.7940662,0.926408,0.8682968,1.1829385,1.1299297,0.7875266,0.71847785,0.97299385,0.61253095,1.1561702,0.80016845,1.2034054,0.8274778,0.8987032,1.0471483,1.06012,0.76048106,0.8537665,0.9288462,1.1671989,1.1772186,1.1188443,1.1148323,0.99149877,1.2002174,0.8679923,1.033348,0.7373321,0.8319103,0.9548602,1.200277,1.1363077,1.1024334,1.1549803,1.1827385,1.0567943,1.064163,1.0988482,0.84649223,1.1688591,1.1377231,0.91386414,1.0408814,1.1177052,0.9583142,0.9861363,0.93765396,1.0645514,0.85069066,0.8751088,0.6179994,1.0797108,1.2144728,0.7734355,0.9533337,0.7440884,1.1957023,0.7765912,1.1768866,1.2638834,1.0467118,1.150143,1.2148732,1.2609495,1.0291091,0.64545935,0.79724133,1.3152708,1.1372846,0.9770545,0.77771384,1.135057,1.2187496,0.9749731,1.0443945,1.200891,1.1919663,0.9513593
