,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.0623559,1.0655527,1.0948806,0.9525061,0.8510463,0.80791396,0.90419406,1.1122379,1.1483601,1.2187994,0.0,1.156992,0.898188,1.0554776,1.136697,1.0520304,1.047307,0.63199127,1.1357737,1.134379,1.1901306,0.9307166,0.7749233,0.67908156,1.1162645,0.7473593,0.7452931,1.0261648,0.8735621,1.2172705,1.0993106,1.1361014,0.9021652,1.0064017,1.1576003,1.243528,0.53321844,1.2389238,0.8067925,1.2445209,1.336863,1.0540092,1.0107675,1.1586211,1.0812314,0.89321,1.0789862,1.0820435,0.9263688,0.9803648,0.976366,1.0886905,0.5767954,1.1039097,1.1729193,0.6263176,0.83378345,0.7463414,0.95662147,1.0889751,1.0366492,1.1574774,0.6726134,0.93270344,1.0748163,1.1267208,0.92314863,0.94815177,1.1555475,0.81897354,0.7034822,0.99709564,1.0064232,1.1528199,1.2532083,1.0033054,1.2242259,0.57461303,0.7657261,0.7819848,0.7695229,0.7094146,1.0136033,0.95871437,0.9525535,0.96260256,1.058807,0.5119306,1.0809584,1.0765545,1.1741493,0.7835395,1.0447774,0.9183335,0.9364001,1.169684,1.208559,1.0431162,1.1450124,1.1806767,1.0964662,0.99506027,1.0129194,0.93954444,0.92570305,1.1113982,0.94364375,1.1141614,1.1797241,0.7281373,1.1388716,1.0612736,1.167948,0.9498625,1.0774184,1.0391419,1.152736,1.1086266,1.1639049,1.0142882,0.82536507,0.9110548,1.0556346,0.8773849,0.95484865,1.3150157,1.0088401,0.95340466,0.6550198,0.8619416
bench,1.2067145,1.1195498,1.2994863,0.68379325,1.3295869,1.3128271,1.3677235,0.9287573,0.28730667,0.39478946,1.156992,0.0,0.8518033,0.9701531,0.6931742,0.9308548,1.0575944,1.4787778,0.695964,0.6041174,1.2793901,1.2856499,1.278928,1.3917592,1.0346502,0.97511506,0.83655477,1.227507,1.3246009,0.6764508,1.0515451,0.94500405,0.828693,0.85249865,0.38399792,1.0031899,1.5374756,0.48696572,1.2729533,1.1224055,1.0989321,0.6931577,0.6679596,0.7645404,1.296674,1.2508425,0.91625947,1.0981206,1.3852918,1.4152282,1.3401644,1.1626307,1.4092945,1.3703352,0.78105545,1.5017586,1.5212321,0.8954153,1.3881552,0.85689175,1.2828755,0.92335874,1.5332884,1.2198278,0.4733894,1.0161576,0.52178043,0.7254574,0.63056046,1.4547087,1.1754189,1.0572764,0.8385376,0.82322264,0.81209934,0.86883193,1.0392164,1.4026247,1.3615446,1.4559426,1.3254604,1.400703,0.5971092,1.3438934,0.6826958,0.5220689,0.75844043,1.4055367,1.1283426,1.0785176,0.7969184,1.1409776,0.94916654,1.3328322,1.0058103,0.9497187,0.96848917,1.1361923,0.68859875,0.74239266,0.88130695,1.3679087,0.47952634,1.370956,0.83290625,1.182073,0.6424881,0.33544326,0.52994096,1.5976205,0.9617249,1.1575415,0.78425574,1.229672,1.2414831,1.2955177,0.7226413,0.586097,0.29599535,1.3713987,1.5267973,1.4299345,0.89016896,1.4819407,1.4990631,0.9052557,0.95285785,1.1327976,1.4684227,0.8033105
bib,1.163464,1.1214632,0.98863906,0.8899538,0.8440918,0.8856597,0.9036716,0.99938786,0.55409336,0.8845737,0.898188,0.8518033,0.0,1.2096944,0.8229512,1.0117114,0.9653948,0.849499,0.4852999,1.0697917,0.9158244,0.9771149,1.1400319,0.92174405,1.0996083,1.0738454,1.0467315,0.7934532,0.89901775,1.0820498,1.2674762,1.022509,1.0420967,0.8935877,0.9780524,0.86823714,1.0338604,0.9569459,0.72746944,1.1897857,0.99384433,1.1035674,1.0929387,0.9421649,1.1004624,0.8057651,1.1430012,1.0863988,1.133728,0.9767932,0.89944595,1.16383,1.1440809,1.1791571,0.9746044,1.086949,1.0007688,1.0185038,1.034972,1.0610447,1.0746393,0.99977463,0.94039303,1.1897534,1.0075269,1.0581787,1.0040966,1.1875608,0.9946714,1.0248582,1.1282575,1.0646472,0.89102787,0.95106953,0.860855,1.12475,0.86892337,0.86555463,1.0802939,1.0145724,1.0952908,1.0844119,1.1062417,1.1183689,0.77415377,1.0375443,1.0135486,1.0939901,1.0877267,1.1848522,0.8369842,1.0848304,1.0093974,1.1800544,0.4038899,0.9124885,1.0813046,1.1922679,1.125628,1.1841406,0.8932525,1.2447574,0.85752314,1.1683187,1.0534106,0.7804513,0.92176163,0.67166424,0.88429236,1.0245618,1.197823,1.0529284,0.6562822,1.1602551,1.1795079,1.0461876,0.9812255,0.9663327,0.8465874,0.9897998,1.0645049,1.1524496,1.1096362,1.0405116,0.9000673,0.8846333,1.0152465,1.2242498,1.036984,1.1072433
bird,1.0177053,0.9727166,1.1159878,0.9764477,1.0288638,1.147359,1.0098412,1.0047649,0.99554044,1.0494224,1.0554776,0.9701531,1.2096944,0.0,1.0870345,0.8744323,0.98619527,1.2008537,1.0997764,0.929873,1.0984453,1.2866442,1.2206037,1.059463,0.99081594,0.9495892,1.1118999,1.0901995,1.1242403,1.0262834,1.2044045,1.015437,0.7253619,1.0605563,1.0268242,0.98667884,1.0066448,1.0744221,1.2036866,0.9440984,1.197683,1.1797229,0.98806024,1.0907093,1.0818142,1.0967351,0.96356726,0.98863953,1.0860709,1.1052544,1.0250086,1.0347742,0.9947591,0.9416979,0.7691854,1.1131499,1.2144164,1.012185,0.85871947,1.0999207,0.9262453,0.9923723,1.1319628,1.0119078,0.90834194,1.0282911,0.95127946,0.72492087,0.9711418,1.2111828,1.0604197,1.000172,1.045346,0.90749556,1.0733312,0.8608324,0.9978806,1.1416445,1.1680448,1.1387537,1.0124481,1.1364976,1.0353258,0.9622163,1.0147111,1.0187476,0.94317365,0.9842677,0.9128809,1.0114877,1.018871,1.0782465,0.8180373,0.86432016,1.0685225,1.0092854,0.9587507,0.8286468,1.1698865,0.4654675,1.1024077,0.7270944,1.0015801,1.0298325,1.0504956,1.1286232,0.8365405,1.0008789,1.0413117,1.1308895,0.9520053,1.1736357,1.03381,0.9191067,1.0236814,1.1126645,0.95246947,1.0204597,0.89897335,1.1475807,1.192939,0.99475,0.75891006,1.1691084,1.1185575,0.9875877,1.0208838,1.0901005,1.1005422,0.99822676
blanket,1.0697092,1.1293461,1.0954776,0.78167284,1.2779533,1.2222552,1.1617191,0.7932942,0.7597374,0.5335529,1.136697,0.6931742,0.8229512,1.0870345,0.0,0.8660928,0.99378604,1.4044902,0.9193115,0.72499454,1.2322047,1.1548887,1.180759,1.2905306,1.1371391,1.0589046,0.95478857,1.0511322,1.2805939,0.6215141,0.93169594,1.036737,0.8582287,0.81960875,0.59754765,1.0353682,1.4884789,0.56260896,1.2546061,1.0065181,0.7552914,0.88555074,0.98457015,0.77990067,1.3127457,1.3619702,0.9131764,1.0210644,1.394237,1.2126144,1.0594459,1.1617956,1.4172715,1.143683,0.8706597,1.4469472,1.1093231,1.0583843,1.1813045,0.996758,1.0432508,0.9738726,1.3075285,1.0725191,0.6614678,0.9890087,0.7607872,1.0574529,0.76822937,1.2869874,1.155886,0.9305906,0.84131455,1.0886486,0.5874195,1.0107224,1.0780759,1.3749359,0.9860923,1.3390844,1.4432478,1.416939,0.8756785,1.1134951,0.54075587,0.8152679,0.8645633,1.4285859,1.13399,1.1718746,0.5652119,0.819648,0.7597318,1.2787787,1.1800399,0.87980586,0.51326656,1.1631275,0.93581563,0.89197004,0.37025762,1.1056373,0.70039344,1.2281911,0.7342012,1.0895138,0.9534148,0.8549831,0.63983595,1.474508,1.1446636,0.7389355,0.91488194,1.2483115,1.3179473,1.0609785,0.76127565,0.74909776,0.75099176,1.3146449,1.4317205,1.3428254,0.92754376,0.805736,1.2462555,0.8513215,0.93948627,1.0867199,1.4632056,0.9221596
boat,0.91624004,0.96601033,0.9878592,0.89878845,1.0371298,1.1147463,1.1653169,1.0674596,0.9273532,0.9139922,1.0520304,0.9308548,1.0117114,0.8744323,0.8660928,0.0,0.9854474,1.2627494,1.0085068,0.84138656,1.0652449,1.0979309,1.2536241,1.0712517,0.99865335,1.1329069,1.148508,1.2322853,1.0464264,0.86423254,1.2091603,0.87614894,1.022355,1.0497904,0.8080399,1.0393317,1.231769,0.9805224,1.0618383,0.7636374,0.9410371,1.0661113,0.9163703,0.9745344,0.926893,1.1765563,0.9831109,0.94220185,1.073576,1.0849844,1.1355729,0.92847675,1.2477272,0.8772261,0.9627861,1.2067163,1.20059,1.1125131,0.92322934,0.95744395,1.0052127,0.9124739,1.154825,1.1785114,0.9154322,0.9981073,0.8534511,0.98200756,0.9651501,1.3085684,1.0693412,0.9274788,0.9591021,1.0624039,0.8899858,1.0047241,1.0187986,1.1468732,1.233189,1.0827289,1.0930023,1.1674261,0.9819242,0.95832473,0.84299874,0.91831326,0.8817411,1.2008979,1.0210083,0.91890365,0.9627537,0.98428977,0.81726146,1.1226008,1.212099,0.843818,0.7959585,0.9119032,1.0682758,0.7900826,0.94242215,1.0599685,0.87021303,1.1230057,0.87302953,1.2475568,1.0855968,0.95127463,0.988791,1.2064142,0.8458744,1.0685875,1.045489,1.1288713,1.0904015,1.0373182,1.039786,0.9436717,0.87872845,1.1018558,1.183855,1.0698371,0.99052095,1.2144812,1.1393878,0.92658335,1.0631198,1.220557,1.182101,1.1260886
book,0.8773649,0.9964336,1.0233197,1.2026439,1.015434,0.9306399,0.90914327,0.7452274,1.0697881,0.8965063,1.047307,1.0575944,0.9653948,0.98619527,0.99378604,0.9854474,0.0,0.85001653,1.0061821,0.41907787,1.2037411,0.7221702,0.78699994,0.8093718,1.0887204,1.3026061,0.81100523,0.96727204,0.9658162,1.0588598,1.1081057,1.1752559,0.98005545,1.074523,0.9261951,1.0929877,0.82589996,0.8980398,0.7825316,0.82999945,0.89385897,1.0718335,0.76497877,1.0552115,1.2435482,1.1645238,1.1308261,0.9490595,1.1479869,1.021359,0.9119934,1.1444604,0.78642744,0.78886545,0.970908,1.0573041,1.1001645,1.1553253,0.4946583,1.2621999,0.82676077,1.1160837,0.8766328,1.0328969,1.0169431,0.81564033,1.311657,0.9807919,0.82980895,0.9197954,1.1924995,1.0258621,1.1210091,1.1812161,1.2497666,1.1624174,1.0910974,0.9414825,0.8664153,1.180682,1.0780214,0.9554794,0.83815557,0.9270136,1.2450054,1.3249289,0.3846264,0.70035857,0.83966684,0.9516111,1.2132051,0.8223274,1.1087518,1.0158137,0.77996576,1.0940984,0.9514708,0.5170504,0.89969486,1.0633982,1.2365073,0.7716701,1.2874212,1.1383512,1.251148,0.74098986,1.0894928,0.9402683,0.9389792,1.0226122,1.1898557,1.1135774,1.1219902,0.96200633,0.9968074,1.0087748,1.0204074,1.2435751,0.8857496,0.919947,1.1415652,1.0969585,0.94799334,0.8306875,0.6800145,0.4203639,1.038712,0.878475,1.0728748,0.956006
bottle,1.0809885,1.1904316,0.81100637,1.3779662,0.60591,0.6146894,0.68637425,1.0093304,1.3857536,1.4028169,0.63199127,1.4787778,0.849499,1.2008537,1.4044902,1.2627494,0.85001653,0.0,1.1553864,1.3229747,0.98648363,0.5222069,0.472206,0.28878868,1.1963698,0.9952442,0.74521434,0.91658235,0.46338874,1.2723877,1.0127671,1.238849,1.2068617,1.0863922,1.4116977,1.1867093,0.22267824,1.3401548,0.27047837,1.2159936,1.0815129,1.107153,1.2014492,1.2102466,0.8613145,0.76868784,1.2303183,1.060062,0.8284413,0.82645667,0.60734653,1.206743,0.4637907,0.9639533,1.2185994,0.32220924,0.71129084,0.97624415,0.7784561,1.17524,0.8378391,1.4286059,0.22854257,0.9278691,1.3225703,0.94013,1.3405414,1.2450548,1.2119147,0.31464267,0.92759675,1.1020149,1.2716625,1.218312,1.5040219,1.1616122,1.1534078,0.22042775,0.6258524,0.6852174,0.3752427,0.4557075,1.1879331,0.90225804,1.4538634,1.3169272,1.2305552,0.36942297,1.1346399,1.1631753,1.2779508,0.8437721,1.2189863,0.60085857,0.6561784,1.246713,1.331384,0.85885316,1.0170295,1.3405132,1.2992696,0.8795351,1.4350849,0.81885576,1.2298119,0.7804432,1.1170032,1.3438134,1.3014836,0.27453506,1.1631796,1.164968,1.2662132,0.9478942,0.7180179,0.90683043,1.2743127,1.4039729,1.380712,0.5690409,0.46736932,0.7209484,1.263962,0.5753125,0.29456073,1.1024374,1.0664309,0.73050934,0.3355248,1.0055547
bowl,1.1171633,1.1686909,0.9527102,1.084187,0.9988732,0.917008,1.0752828,0.8535335,0.2825461,0.9125711,1.1357737,0.695964,0.4852999,1.0997764,0.9193115,1.0085068,1.0061821,1.1553864,0.0,0.9238272,0.83005965,0.941078,1.2648449,1.1919677,0.98581886,1.1431307,1.2497516,0.7763565,1.1204681,1.0739156,1.2878816,0.86295176,0.9694481,0.8584641,1.0203483,0.6354311,1.2700222,0.91084737,0.86311716,1.147726,1.1154085,1.0458181,0.8831762,1.0092843,1.1833005,0.6528699,1.105234,1.0259827,1.2488117,1.0551001,1.0321001,1.1360707,1.1603887,1.1593422,0.7737423,1.2782407,1.2776388,1.0262328,1.0434753,1.0780672,1.2102187,1.0303149,1.2661729,1.1786771,0.9722605,0.79896474,1.1397877,1.0007977,0.92298496,1.1656038,1.2280453,0.9481396,0.75070286,0.65144557,0.8965614,0.96642715,0.5885031,1.1207521,1.2343422,1.215802,1.2345402,1.1284248,0.9753144,1.0999796,0.98432255,1.1428626,0.91562366,1.205642,1.0599005,1.0366961,0.89226824,1.3059317,0.94131106,1.2115511,0.33305812,0.80332077,1.1151981,1.1155748,1.0407449,1.0915745,1.0814937,1.2057858,1.0200243,1.3395576,1.2198617,0.6885673,0.8687476,0.27539742,0.8472408,1.3268375,1.153048,1.2059578,0.2094034,0.9182736,1.1615937,0.9785767,0.98556584,1.0552256,0.73487866,1.0557637,1.2994761,1.2278754,0.99460644,1.2914014,1.1616982,0.76377416,0.974477,1.2210157,1.2760091,0.9988331
box,1.0538149,1.0062906,1.164229,0.874512,1.2567042,1.1695853,1.2733688,0.6620505,0.7232051,0.52321,1.134379,0.6041174,1.0697917,0.929873,0.72499454,0.84138656,0.41907787,1.3229747,0.9238272,0.0,1.3433278,0.91061956,1.0011902,1.1754851,1.0458446,1.1283019,0.829896,1.2236235,1.2915521,0.77320105,1.0719845,0.98052204,0.82774174,0.97154725,0.62032026,1.090118,1.295083,0.52946585,1.0630888,0.94154966,0.969684,0.8418326,0.6313456,0.83504856,1.341128,1.3960979,0.9956968,0.96277153,1.3102779,1.3140221,1.1925522,1.17152,1.1884103,1.1280117,0.84054804,1.4050193,1.3960721,1.0203531,0.8194245,1.096391,1.1127428,0.91717184,1.3208519,1.1030517,0.69825804,0.8591651,0.9533036,0.89733076,0.644036,1.2915097,1.1744123,0.9768291,0.90899146,1.0963683,0.93739384,1.0176982,1.1166977,1.2893742,1.1489729,1.3904192,1.329169,1.2346455,0.6037457,1.0977715,0.9037135,0.9938146,0.4007355,1.1168454,0.8849256,1.0130595,0.94852084,1.001198,0.86044216,1.2910602,1.1046752,0.97078794,0.708511,0.6723881,0.77806586,0.8752322,0.9751696,1.0453901,0.8812421,1.3522065,0.99095637,1.1186011,0.93439907,0.6472415,0.6332445,1.4641516,1.15087,1.132196,1.0193225,1.1933368,1.2351621,1.1270648,0.79224414,0.8897773,0.49122208,1.2406332,1.4441528,1.2966493,0.82125336,1.2157681,1.1512594,0.5483005,0.9579882,1.05153,1.3722144,0.8446512
bread,0.95257425,0.7669717,0.8186877,1.0863391,0.9354492,0.9820466,0.6621834,1.234786,1.057983,1.364379,1.1901306,1.2793901,0.9158244,1.0984453,1.2322047,1.0652449,1.2037411,0.98648363,0.83005965,1.3433278,0.0,1.0055037,1.1804585,0.9960751,0.7450426,1.0868713,1.4144919,0.51609355,0.96382177,1.3040283,1.1336846,0.9933703,1.165911,1.0776112,1.3249412,0.5442713,0.9251114,1.3750013,1.0213234,0.92661417,1.0239521,1.268337,1.2012286,1.1506212,0.476815,0.5921303,1.0798848,1.0539583,0.5439463,0.5161314,1.0160784,0.61153495,1.0868526,0.8160906,1.0951599,0.76712894,0.78171897,1.1036518,0.8612591,0.8777178,1.0195044,0.7548881,0.9476195,1.0016242,1.2859626,1.1174139,1.1418383,1.1491356,1.2909606,1.0604573,1.0195341,1.1478842,0.9189577,0.83580065,0.7928895,1.2195258,0.6082447,0.89638203,0.95663637,0.6777897,0.8853139,0.78700364,1.2750695,0.96205515,1.0610363,1.1476334,1.1803384,1.1191069,0.84552634,0.7609517,1.0718486,1.1499646,0.98676974,1.0479691,0.80291164,0.77808094,1.1277931,1.1512035,1.237994,1.1764008,1.1319846,1.0351807,1.1444125,0.7429061,1.1615899,0.9583953,1.1950618,1.1247802,1.2871399,0.7187129,0.8425066,0.9059083,0.7510596,0.90474117,1.021317,0.8752371,1.1540202,1.0542853,1.278384,0.7806912,0.6032682,0.6436206,1.1209086,0.99154216,0.96375906,1.1037831,1.1398299,1.3100467,0.7687077,1.3196235
bucket,1.0322891,0.97631305,0.7706511,1.3434724,0.7135354,0.56666464,0.8156582,0.6148707,1.2419381,1.2653058,0.9307166,1.2856499,0.9771149,1.2866442,1.1548887,1.0979309,0.7221702,0.5222069,0.941078,0.91061956,1.0055037,0.0,0.36976147,0.7326997,1.1439068,1.2465177,0.72243905,0.9297254,0.8677887,1.1249247,0.9289272,0.98215276,1.2832096,1.0546578,1.2737658,1.1520985,0.7462688,1.0952967,0.4731223,1.1296138,0.94495225,1.0148503,0.86423874,1.0995232,1.0174289,0.82472926,1.0518266,1.1635971,0.97388417,0.87740654,0.7895271,1.1513474,0.6997021,0.92185074,1.0783643,0.84924334,0.70895416,1.1614232,0.71316504,1.2439563,0.9110396,1.2731043,0.5232847,0.89236045,1.2624837,0.6063246,1.316461,1.1328318,1.0589787,0.51121664,0.97124755,1.0400525,1.145947,1.206889,1.3407422,1.1530014,1.0997274,0.780612,0.6506872,0.8820479,0.8763671,0.7146691,0.91775906,1.0125343,1.3991063,1.3173919,1.0349507,0.7592647,1.0644157,0.98715734,1.276191,0.7419834,1.2608969,0.90260774,0.87798357,1.0667975,0.91248924,0.5529611,0.739751,1.430468,1.1767508,0.8311717,1.3768151,0.9043211,1.1217732,0.6713651,1.1223351,1.053548,1.2316881,0.71784645,1.1038963,0.98989546,1.1350067,0.8406098,0.8612871,0.7969488,1.2559838,1.2900391,1.2814577,0.52004236,0.8412404,0.967586,1.1429724,0.6025243,0.5436782,0.8317647,1.1295273,0.63826954,0.83738,0.9813156
can,1.0995343,0.9576001,1.0530372,1.2574184,0.7868651,0.7788645,0.9105503,0.6974401,1.3924501,1.2130699,0.7749233,1.278928,1.1400319,1.2206037,1.180759,1.2536241,0.78699994,0.472206,1.2648449,1.0011902,1.1804585,0.36976147,0.0,0.7205176,1.2402827,0.9323517,0.41879123,0.94862336,0.8166813,0.9731755,0.61711323,1.0374796,1.1969855,1.0650729,1.1628385,1.2420522,0.6346655,1.0557417,0.756678,1.1940852,1.0779741,0.83146065,0.85781586,1.0719216,1.0758498,1.0483705,1.0758015,1.1052228,0.96648043,0.9145838,0.91737807,1.155071,0.4978193,1.0468234,1.2861729,0.7180364,0.6837317,1.0420951,0.9728227,1.1908342,0.93349975,1.3528776,0.49164033,0.8424836,1.1696973,0.83273816,1.125639,1.0469831,0.9904666,0.550005,0.7035049,0.98873645,1.2871108,1.2401434,1.4718827,1.1009165,1.1874857,0.79270655,0.40723616,0.7414019,0.6790919,0.65748495,0.80050224,1.0150377,1.35092,1.1059698,1.0338957,0.61922336,1.1284453,0.9717548,1.3618093,0.5900712,1.2932012,0.73595446,0.9870948,1.3485845,0.99961585,0.7047887,0.7011447,1.323036,1.1140063,0.95826083,1.239046,0.75018287,0.90582323,0.88392854,1.1640301,1.2732861,1.3079462,0.61919427,1.0941097,0.967675,1.3507092,0.8821689,0.8640108,0.97730565,1.3008299,1.1449227,1.3410434,0.7500104,0.74834806,0.9219472,1.2400025,0.4550711,0.71671104,1.0705799,1.0526367,0.45385253,0.6949731,0.87096447
car,0.96830934,1.1948166,0.7942787,1.3633595,0.57905376,0.6806869,0.7075256,1.0572841,1.3556793,1.2699383,0.67908156,1.3917592,0.92174405,1.059463,1.2905306,1.0712517,0.8093718,0.28878868,1.1919677,1.1754851,0.9960751,0.7326997,0.7205176,0.0,1.1394696,1.0011206,0.79376936,0.9804585,0.4894272,1.233006,1.178056,1.1387786,1.2023867,1.176297,1.2056277,1.2179214,0.2714628,1.2902641,0.40028965,1.060212,0.9542555,1.1977777,1.2268807,1.2000607,0.7895991,0.88215286,1.2324295,1.0537037,0.8507204,0.8005048,0.6615345,1.1942157,0.6000308,0.8096224,1.1929281,0.37864733,0.8017287,0.9657334,0.771841,1.1494272,0.77659166,1.3748922,0.25176418,0.9404136,1.2749288,1.133685,1.3508732,1.334584,1.3015242,0.57827526,1.0056952,1.023698,1.2341721,1.1906732,1.4680616,1.1400573,1.1628405,0.25006652,0.88148147,0.77433383,0.51690143,0.4898213,1.1896937,0.91896766,1.4348022,1.378126,1.2167109,0.42595863,1.040257,1.0680267,1.2204717,0.65352625,1.0157611,0.7011656,0.72949845,1.1760979,1.2810808,0.8336842,1.1598659,1.176841,1.2992415,0.8627472,1.4000056,0.890033,1.2419673,0.90315163,1.1021547,1.3462439,1.219276,0.32486308,1.0972682,1.3033097,1.2769191,1.0622665,0.92792124,0.8763609,1.2295967,1.3549207,1.2466326,0.58208597,0.57141817,0.7480631,1.3396671,0.80046487,0.28075176,0.9713434,1.0920107,0.94635755,0.37562126,1.1275281
carrot,0.9901275,0.7662882,0.7785353,0.9746767,0.9969633,0.8815181,0.8185048,1.2008157,1.0707241,1.1501278,1.1162645,1.0346502,1.0996083,0.99081594,1.1371391,0.99865335,1.0887204,1.1963698,0.98581886,1.0458446,0.7450426,1.1439068,1.2402827,1.1394696,0.0,1.2303381,1.2946332,0.77065516,1.1957816,1.1096857,1.0854127,0.835542,1.2187768,1.1501608,1.025489,0.6537184,0.9821314,1.2043625,1.1381748,0.917617,0.94800824,1.14939,1.1158005,1.0192719,0.81947446,0.8672192,0.9153761,0.9882661,0.70585966,0.7854752,1.0878859,0.86681104,1.2001394,0.97635776,1.1324024,1.105337,0.9711002,1.29792,0.84555835,0.96740097,0.9253624,0.5524255,1.1561487,1.0078138,1.0416218,0.99714077,1.0158958,0.97576785,1.1706393,1.1635985,1.0921255,0.97494435,0.8028948,0.74963343,0.76110196,1.0969665,0.7377845,1.0504088,1.1619394,1.1022441,1.1263568,0.8401677,1.1853055,1.052659,0.97113794,0.9706382,0.99114174,1.049727,0.288458,0.8949311,1.0525821,1.0886827,1.101293,1.1136107,1.0365641,0.8336326,0.9581295,1.0714985,1.184957,0.95520216,1.0299851,1.02935,1.0332876,1.0203085,1.051699,1.0171165,1.193231,1.0662425,1.146008,1.1217257,0.89342076,0.91787076,0.81518984,0.9139295,1.0517497,0.834115,1.1077863,1.0709734,1.0388988,1.1545713,0.9764508,0.9960899,0.8271116,1.1855052,1.0192822,1.0779139,1.0569193,1.1620007,1.1248419,1.1837045
cat,0.9942548,1.1879418,1.2812771,0.82621896,0.9581587,1.0556457,1.2265911,1.1040725,0.9979748,0.9732011,0.7473593,0.97511506,1.0738454,0.9495892,1.0589046,1.1329069,1.3026061,0.9952442,1.1431307,1.1283019,1.0868713,1.2465177,0.9323517,1.0011206,1.2303381,0.0,0.8628993,1.0500126,0.94445825,1.0411226,0.7944466,0.9428839,0.7198119,0.8314053,1.0220829,1.1712205,1.0610629,0.99868435,1.1868834,1.0497696,1.2200726,0.86583024,1.0986933,1.0203587,1.1308281,0.8869714,1.0567279,0.9628902,1.1456873,1.0276765,1.1402514,1.1401114,0.8250836,1.1147809,0.9211413,0.9054106,0.88981307,0.5043939,1.3557575,0.8690679,1.1039429,1.1323792,1.0055238,0.9423329,1.0045646,1.1949893,0.88102096,0.94071096,1.1289098,1.031035,0.7462014,0.7767981,0.9471699,0.99758947,1.0257956,0.85269296,1.1258101,0.94800556,0.88481116,0.9052779,0.8194791,1.0086513,0.96101534,1.0240024,0.8912632,0.9067479,1.1179067,1.005252,1.3001525,1.0688134,0.8227352,1.0659426,0.7689898,0.9193533,1.1710342,1.2377276,1.2081103,1.2416545,1.0483184,1.0605493,1.0177082,1.2888002,0.85675085,1.0084997,1.0032115,1.1816183,0.73231924,1.0678935,1.0351093,0.9602166,0.95337147,1.119359,1.0804873,1.0038718,1.1276122,1.1777554,0.88066566,0.92477274,0.9416596,1.1484144,0.9995104,0.9978352,1.0881499,1.0724019,1.2523013,1.2315655,0.99598396,0.97581166,0.9396428,0.7458384
chair,1.109907,1.0344663,1.230788,1.0389154,0.9957633,0.9745058,1.0707371,0.71396893,1.1356353,0.7868003,0.7452931,0.83655477,1.0467315,1.1118999,0.95478857,1.148508,0.81100523,0.74521434,1.2497516,0.829896,1.4144919,0.72243905,0.41879123,0.79376936,1.2946332,0.8628993,0.0,1.0923454,0.9572343,0.8526675,0.73481244,1.0522302,1.1295218,1.0333543,0.602232,1.2911681,0.8510414,0.7597846,0.94994473,1.1237195,1.0028902,0.7900162,0.7818213,0.9686496,1.2591674,1.2400527,1.0364527,1.1549118,1.1686183,1.1020471,1.0035601,1.2594914,0.6644342,1.107377,1.2863023,0.95677155,0.88279766,0.9614303,1.1815853,1.0900222,0.9784584,1.3149474,0.7020973,0.84090656,1.0347096,1.0126128,0.90000093,0.9818313,0.8951982,0.79919374,0.88859,1.0299392,1.219815,1.227672,1.354356,0.9094586,1.2639744,0.95197254,0.7309098,1.0422424,0.90482557,0.8692356,0.73470634,1.1834953,1.1771485,0.8895658,0.9734675,0.73826104,1.190843,1.0108988,1.1998137,0.5485285,1.1895652,0.85658646,1.0103136,1.3346946,1.0233552,0.7906982,0.7555561,1.0842332,1.0046518,1.0290563,0.9605748,0.9394586,0.8928352,0.97003895,1.0488008,1.0438564,0.9771105,0.8857458,1.0305468,0.9921223,1.3512292,1.0464789,1.0199059,1.1422449,1.0026923,0.925706,0.93832076,0.96836495,1.0375727,1.1735303,1.1903931,0.7658061,0.88954777,0.95718634,0.9940657,0.5423655,0.91918194,0.8115393
