,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2388787,1.3176469,0.9937152,0.8586048,1.0703453,1.2125506,1.2206478,1.1686468,0.86993134,0.70111686,0.7092119,1.3187897,0.87360966,0.6580217,0.67122257,0.7120365,0.82961094,0.64915764,1.4360206,1.4080377,0.8009422,1.274353,0.9766923,1.2834005,0.7446691,1.2014757,0.8681393,1.1046112,0.78059936,1.1516694,1.0120784,1.030179,0.85382086,0.93988895,1.1840402,0.7926885,1.1685375,1.2067204,1.0758995,0.9687024,1.2664092,0.75180745,1.4120985,1.1655095,1.0715814,0.3274749,0.875194,0.9626671,1.1264904,0.9530749,1.247189,1.4421911,0.9445132,1.049998,0.8323172,1.2175348,0.8733734,0.6828531,1.1059858,1.3251758,1.2724195,0.50805414,0.7539604,0.42757952,0.894195,1.217017,1.1438475,0.8046024,1.0161202,0.86354196,1.0947803,0.97787696,1.2870626,0.6092978,0.8620614,0.8866226,1.2299768,0.80739164,1.27841,1.2439651,1.2618898,0.7992293,1.1986648,1.2352434,0.6318693,0.77047795,1.0191393,1.016288,1.3526716,1.1627233,1.232334,1.2729101,1.2927625,1.0408398,0.95576733,0.7684323,0.8507776,0.49134088,1.0945765,1.2146726,1.2843702,0.9719724,1.2597666,0.53993434,0.8267435,1.093428,0.95267105,1.1309984,0.520556,1.2908629,1.3758487,1.0560963,1.2011828,1.165005,1.2618548,1.0410491,0.94806325,0.9786273,1.2696834,0.8452069,0.90693825,0.94300556,1.201156,0.91047853,1.0111433,0.8222358,1.141632,0.9582601,1.3613151,1.0653847,0.9252958,1.3341762,1.2823849,0.9677714,0.9919178,0.8337457,0.8377203,0.8375518,1.333968,1.3163801,1.2203354,1.2728356,1.2431151,1.0388647,1.0152906,0.6537976,0.83695257,1.2069813,1.3304374,0.88340324
ankle,1.2388787,0.0,0.83064425,0.7894761,0.9734095,0.9288663,1.0509822,0.91464967,1.2362007,1.3286839,1.1250298,1.2883122,0.70757186,1.2382504,1.0225265,1.0151495,1.2392752,1.1852796,1.2724029,1.006358,1.0873936,1.237651,0.95703495,1.0444062,1.0969276,1.1106074,1.1643896,1.1748068,0.6518073,1.122272,1.0011941,1.1082048,1.1929201,1.2701516,1.0253354,1.132784,1.3058302,0.99643075,0.85002726,1.1450069,1.0166287,0.88819915,1.3696122,1.0170586,0.9108726,1.2212472,1.1890595,0.9385817,1.1899538,0.8592209,0.8327832,0.4444008,0.81041074,1.1243855,0.60351217,0.8552417,0.25634152,1.1940767,0.9129193,1.0059794,0.3715915,1.033559,1.0274917,1.1177138,1.0935187,1.2992339,0.561126,0.7022342,1.1180073,0.7518281,0.7299191,1.0753008,0.56272906,0.78350925,1.0843502,1.0811847,1.1089396,1.0946503,0.9528069,1.0769725,1.0941012,1.0791085,1.1091387,0.9002969,1.1169858,0.89666384,1.2346015,0.7347244,1.0005271,0.6435219,1.1088562,0.8245836,0.51640546,0.8455507,1.3253654,1.089109,1.0635157,0.93773353,1.2560385,0.89935774,0.9301861,0.78431726,0.9859086,0.8609714,0.99399126,1.1781993,1.1981823,1.154146,1.289742,1.1356636,0.59693587,0.5376524,1.0815223,1.1049997,0.8130576,1.1423118,1.0342523,1.0701338,1.0385962,0.9657469,1.0556624,0.76736325,0.8989546,1.1733615,1.2593844,1.279684,1.1565084,0.6628097,1.1398828,1.0366142,0.9571994,1.2280059,1.0162253,0.9374064,0.9504514,0.76711357,1.1473613,1.0873607,1.3289633,0.9570315,0.18359321,0.5364271,0.9045172,1.0044984,1.0162581,1.2941052,1.2389803,1.1589507,1.0555621,0.7119199,1.2391278
apple,1.3176469,0.83064425,0.0,1.047103,1.4065651,0.47447962,0.42505908,0.5275644,0.96254116,1.389875,1.1735456,1.526628,0.5489516,1.3792235,1.427448,1.0387613,1.4971398,1.1308566,1.1748112,0.67730963,0.46141863,1.2510339,0.51324666,1.2806578,0.8788173,0.81319314,1.1067793,1.1057471,0.6774554,1.2818452,1.2432572,1.0969038,1.0484283,1.4806031,1.2586489,1.0199118,1.5055429,0.6766598,0.60887927,1.3023317,0.93457466,0.4050491,1.5906261,0.59952116,0.60461867,1.1492014,1.3100715,1.0708239,1.4012601,1.0119652,1.1304741,0.8248464,0.26073676,1.2512001,0.9000516,1.1983284,0.8213467,1.1930866,0.7470474,0.8632878,0.6256042,0.76186466,0.85345125,1.2196226,1.2626476,1.411355,0.7621381,0.8471731,1.1502855,0.64564115,1.2384067,0.8465624,1.2241919,0.4497497,1.0618776,1.2815648,1.3923349,0.84630823,1.3850125,0.77128166,1.1028324,0.63380367,1.0400777,0.573866,1.002184,1.3393447,1.3308997,1.0442593,0.7169352,0.2673533,1.0647888,0.9234865,0.64454544,0.16878635,1.3929464,0.9608103,1.4752386,1.4458795,1.418767,0.83914804,0.50578666,0.5430952,0.86644584,0.4002763,1.0293365,1.3868504,0.80614847,1.1171806,0.8914804,1.0182973,0.675853,0.27659827,1.0991762,0.9549479,0.40714908,1.0695956,0.6540918,0.9109123,1.2504562,0.58859867,1.3855379,1.2011225,1.364955,0.95213884,1.4191136,1.3286203,1.2878222,0.5675676,1.1580702,0.52857196,1.173044,1.0786017,0.63726145,0.87145084,1.0940129,0.80034924,1.2790029,1.4173291,1.3794006,0.37703705,0.5939001,0.66999066,0.6853811,0.94978124,0.5804338,1.2421943,1.1922717,1.3737328,1.155066,0.5092139,1.3676453
applesauce,0.9937152,0.7894761,1.047103,0.0,0.8642399,0.9750176,1.2798934,0.9271281,1.278617,1.0198562,1.0682476,1.0635343,1.0321536,1.2180288,0.8473086,0.91748136,1.0580943,0.89013845,1.1004108,1.2250447,1.2011926,1.1279914,0.9334417,1.0504984,1.2214627,1.0442027,1.2737339,1.1331981,0.95463645,1.1309118,1.3114522,0.7876648,1.2219445,1.0643533,1.1153401,0.90754396,1.0585026,0.89398736,0.82737076,1.2208999,0.76087755,1.1377308,1.0555445,1.1551278,1.1386757,0.9737901,1.110984,1.0413687,1.1017456,1.012146,0.92986584,0.81173354,1.0536052,1.0972993,0.7185605,0.79946595,0.60929334,1.1539253,1.0297928,1.073847,0.81905067,1.1875651,1.0286415,1.0464065,0.9644208,1.0712051,0.8013288,0.982152,1.0722696,0.78616154,0.7993641,0.9232853,0.5987756,1.21598,1.1506858,1.0131139,0.9669942,1.1525203,0.9592631,1.1736672,1.2797577,1.3014427,0.7620846,0.9816669,1.2982843,0.8391434,1.1235448,0.62732154,0.80379516,0.9403981,1.1569996,1.0770613,0.7311158,1.0706427,1.1071842,1.1513958,0.9669288,0.9602752,0.9437299,0.98217636,1.1367018,1.0828589,1.0528494,0.8431308,1.0711083,1.1131663,0.94262236,1.0001215,0.9351745,1.1061062,0.98166186,0.9366519,1.2281156,1.2276747,0.9245187,1.2872456,1.1323264,0.72881883,0.9241191,1.2640713,0.9321904,0.9945279,0.91596955,1.2179708,1.0442876,1.0331367,1.0030646,0.9289392,1.1998395,1.1324341,0.9887932,0.72589433,1.1541507,1.1665335,1.0260477,0.921928,1.0607944,0.9796623,0.9056888,1.1366438,0.72994673,0.7930198,1.1795382,1.2615217,1.1978805,0.9586118,0.91395885,0.96635044,1.3306553,0.9599372,1.0595945
arm,0.8586048,0.9734095,1.4065651,0.8642399,0.0,1.2094707,1.3473816,1.3056889,1.213154,0.7656809,0.87828183,0.54233766,1.3541452,0.7194353,0.5298696,1.1645501,0.6326983,0.85391784,0.9471889,1.3195808,1.474397,0.9503305,1.4338816,0.9698379,1.2006569,1.3673618,0.9911193,1.0251759,1.1583717,0.7917063,0.86353123,1.017122,1.0787156,0.62187105,0.82074034,1.0794207,0.6008378,1.3658602,1.1920576,0.83805275,1.1672138,1.4581547,0.54806983,1.3904136,1.3873479,0.93518186,0.8952141,1.0074189,0.6752931,1.0801649,0.7984925,1.0573708,1.4106992,0.73870754,1.0340976,0.76838166,0.79403305,0.8756351,1.356351,1.1877533,1.1425829,1.3719001,1.3810201,0.97453064,0.9110295,0.68804413,1.1312568,0.9917353,0.9326576,1.1517438,0.7047028,1.2128332,0.38365614,1.445324,1.1520312,0.8116133,0.3813789,1.2682617,0.44944495,1.2866921,1.0878153,1.4409196,0.8974432,1.0791953,1.1524612,0.59847796,0.85484844,0.88357735,1.2161112,1.3409576,1.013715,1.1375062,1.0936196,1.388231,0.79719734,1.2089465,0.45189905,0.43279898,0.5937954,1.1423142,1.4673675,1.3379309,1.2653294,1.4155774,1.1383839,0.69019604,1.2112952,0.9252372,1.1746345,1.2187564,0.8741392,1.1654391,1.1097307,1.2343756,1.3104422,1.0235826,1.3758537,1.030255,0.6640463,1.3963835,0.40604848,1.0966204,0.4728536,1.231601,0.5924445,0.88961405,0.76204014,1.410306,1.0037612,1.4391071,0.6840452,0.8879144,1.4193487,1.3130811,0.90005136,1.1840298,0.88672525,0.4049431,0.481507,1.5910809,1.1120223,1.1377186,1.2562904,1.2338738,1.487108,0.85550994,0.8668332,0.82160234,1.1160319,1.4561379,0.6765658
ball,1.0703453,0.9288663,0.47447962,0.9750176,1.2094707,0.0,0.30114937,0.73412263,1.0974705,1.216943,1.0291932,1.3104568,0.9243325,1.0610358,1.0787241,0.9161371,1.2351389,1.0423563,1.1689484,1.0005426,0.7777262,1.1410388,0.8937364,1.1245828,0.9334433,0.9028173,1.1584651,0.9059584,0.78964025,1.0933459,1.1793125,1.1063347,1.0583204,1.2900107,1.1668415,1.066731,1.1560438,0.9692822,0.75639963,1.2935164,1.083259,0.8218702,1.2650735,0.9297917,0.95193106,1.0275989,1.0237529,0.9976061,1.2580583,1.0169652,1.008527,0.95563924,0.4229802,1.1875157,0.81446636,1.0024216,0.8130168,1.1996219,0.7829419,1.0551573,0.876624,1.0585303,0.86279416,1.1235111,1.106488,1.2373737,0.8928252,0.8218334,1.0654058,0.5165378,1.0544511,0.99525285,0.9785872,0.8519551,1.1335242,1.0880058,1.2200358,1.0807117,1.124326,1.0831084,1.229135,0.8930495,1.0452693,0.6598157,1.0534153,0.82391024,1.087729,0.9089128,0.69377697,0.58270127,1.1226665,0.9734208,0.7654191,0.62209857,1.3722472,1.0753244,1.1921159,1.1797559,1.1980454,0.9926815,0.9219738,0.88709974,0.95076483,0.70739937,0.98281676,1.2235343,1.0709056,1.1494117,1.0139536,1.0719444,0.8444797,0.63530374,1.14763,1.0904325,0.3227209,1.3339365,0.97871894,0.86025906,1.1084616,0.926775,1.1612569,1.1511118,1.1456027,0.9271152,1.2727655,1.1099836,1.0182828,0.77429944,1.1526223,0.81525975,0.96614283,0.94593585,0.8821607,0.8553269,0.9641555,0.76470315,1.0114009,1.1990092,1.2261868,0.57448703,0.788671,0.78910947,0.94610417,1.1302209,0.654469,1.0654448,1.1097225,1.1201074,1.1550337,0.8260906,1.2219064
balloon,1.2125506,1.0509822,0.42505908,1.2798934,1.3473816,0.30114937,0.0,0.7734441,0.84278476,1.2040497,1.1639198,1.311723,0.773298,0.95999813,1.335796,0.9814373,1.2803409,1.0519923,1.1074185,0.6827623,0.5005028,1.0631889,0.9023129,1.0898074,0.49550396,0.85981727,0.81738245,0.9963612,0.847592,1.1423697,0.9404808,1.1346045,0.88568205,1.2930269,1.2101711,0.913417,1.2465293,0.9879031,0.8835442,1.1062621,1.1397674,0.66391927,1.3194659,0.58888555,0.81526566,1.0606904,1.1967757,1.0593176,1.1917312,1.050513,1.2190998,0.9644465,0.40128607,1.1606972,1.1171156,1.2681906,1.034877,1.0812266,0.8216714,0.80183786,0.9599903,0.76465833,0.8861654,1.143335,1.1896391,1.2251387,1.0622433,0.8915024,1.0883981,0.7859733,1.3104445,1.0640272,1.2508323,0.6873477,1.0757486,1.1536535,1.3065314,0.82319033,1.3082255,0.8203474,0.905869,0.5780051,1.052632,0.65073043,0.71463317,1.1762592,1.1599005,1.1251745,0.86839527,0.65277416,0.9740241,0.84442353,0.86998737,0.60092264,1.1812658,0.9638225,1.3312523,1.3876679,1.3214912,1.0910116,0.7392395,0.7504028,1.0054322,0.77821076,1.0229708,1.2150259,1.0148613,0.93712366,0.9052363,1.0243421,0.8286355,0.7005428,0.9372148,0.8533584,0.4888215,0.95845354,0.7351607,0.88777494,1.2204193,0.6430621,1.3667879,1.1083472,1.3514891,0.6472458,1.2874382,0.99662715,1.0522685,0.89801794,1.0911134,0.69685066,0.9430881,0.9733213,0.5893314,0.69112337,0.9636733,0.92339635,1.2182443,1.3483893,1.2667913,0.50505954,0.9541322,0.8537255,0.6813835,0.8923711,0.61130196,1.1005907,1.1645219,1.2239444,0.84912044,0.818544,1.1877525
banana,1.2206478,0.91464967,0.5275644,0.9271281,1.3056889,0.73412263,0.7734441,0.0,1.1443245,1.2818774,1.2411869,1.4530566,0.7150586,1.1581701,1.2556059,0.9383875,1.3855817,0.8926419,1.204271,0.88642335,0.5126997,1.2665615,0.51829326,1.1137757,1.0054824,0.9038159,1.0968586,1.0682693,0.62976015,1.2835455,1.1459795,0.8878916,1.0161948,1.4408689,1.1493385,1.0628443,1.3571751,0.6507609,0.3002774,1.3325428,0.7662723,0.5138408,1.492472,0.78060657,0.7041922,1.0034263,1.3733113,1.0681611,1.465223,0.80005956,1.1120796,0.81543756,0.6445048,1.2839025,0.9387882,1.2645264,0.8899355,1.3104607,0.6719392,0.89573133,0.7019316,0.76245,0.7817068,1.2208506,1.165189,1.4664404,0.9082796,0.78974336,1.2271514,0.7605377,1.3142103,0.88382524,1.1807133,0.77172214,1.0964491,1.036464,1.3859036,0.9110577,1.2867641,0.74691546,1.0991642,0.8272172,1.004016,0.57983875,0.954842,1.2342347,1.2094057,1.0776389,0.81988704,0.70190513,1.0076518,0.87533796,0.9309474,0.5471561,1.3238336,0.9794065,1.3403015,1.315026,1.4166139,0.68684214,0.61268055,0.5464707,0.785256,0.35243487,1.1168054,1.2612877,0.85751104,1.1080862,0.8424376,1.0910325,0.7135493,0.5850991,1.0598016,0.9219728,0.706023,1.1844946,0.76981974,0.76255494,1.1830617,0.77842563,1.3513207,1.0944368,1.2265569,0.94507647,1.4787232,1.2183443,1.170127,0.63297695,1.1113164,0.5273503,1.0798626,0.96441174,0.61311877,0.84572333,0.8588889,0.9772591,1.2400801,1.3846033,1.3804843,0.5102477,0.7947225,0.7663902,0.7994498,0.87554103,0.6974124,1.0599926,1.1130558,1.270401,1.0926694,0.6662327,1.4494665
basket,1.1686468,1.2362007,0.96254116,1.278617,1.213154,1.0974705,0.84278476,1.1443245,0.0,0.9972205,1.1227903,0.9073183,1.067721,0.98156375,1.251857,1.0822983,0.9046664,1.0103737,0.8044904,0.7348155,0.78041553,0.72311825,0.9697777,0.7923893,0.7268478,0.81773543,0.7328389,1.0820032,1.218715,1.1033177,0.8405544,1.130259,0.8410939,0.9056154,1.1207745,0.78656876,0.9341378,0.94995075,1.122282,0.6755805,1.023036,1.0106438,0.9141903,0.8048462,0.9181171,1.0234126,1.0763897,0.92837757,0.9560275,0.8763824,1.2083597,1.2343593,0.9088372,1.0561744,1.2968585,1.3105431,1.2779934,0.93821925,1.1109161,0.83873934,1.1673815,0.74248827,0.9422112,0.99597216,1.0455436,0.9547823,1.2066745,1.0115888,1.0812218,1.1615543,1.3024957,0.8672286,1.2733369,0.73500943,0.94591874,1.0019133,1.1834114,0.80977225,1.1982598,0.7785396,0.6946509,0.74157137,1.182522,1.0740072,0.8553715,1.1777549,1.069702,1.3036056,1.0264643,1.0925333,0.8884527,0.9057429,1.2655958,1.0261331,0.81570756,0.86892587,1.1659659,1.2696664,1.0188777,1.0240239,0.9756282,1.0055549,0.99756,1.0494106,1.0171505,0.8755784,0.8850065,0.91628677,0.9874246,0.91680855,1.1353749,1.0735103,0.58319116,0.63711095,1.0772458,0.5625949,0.76499534,1.2071818,1.1184857,0.5882405,1.2554685,0.8676449,1.2706697,0.7930188,1.0058296,0.93987274,1.0404375,1.1213512,1.059855,0.8882709,0.92694676,1.160243,0.7949156,0.9650523,1.0526662,0.95717394,1.044519,1.1586066,0.9977406,0.7646958,1.256397,1.1481128,0.8919164,0.88789594,0.74873435,0.9261185,0.95904016,1.0514426,0.5494962,0.8820732,1.028471
bathtub,0.86993134,1.3286839,1.389875,1.0198562,0.7656809,1.216943,1.2040497,1.2818774,0.9972205,0.0,0.92984104,0.52971065,1.3723027,0.6947584,0.85331774,1.1137835,0.6525024,0.82474947,0.8595405,1.2458832,1.1701953,0.6982496,1.3091354,1.0283353,1.0161291,1.1368387,0.96506846,1.0372483,1.3890073,0.7755272,1.0465889,0.97838914,0.88762677,0.642241,0.84079117,0.9544872,0.57150173,1.2063501,1.2378567,0.90826666,1.1193773,1.378998,0.31553805,1.2503848,1.3850124,0.7710275,0.9243582,1.1696017,0.7185212,1.0592328,0.9185412,1.3286633,1.2905807,0.6926281,1.1238147,0.8369769,1.2824483,0.77672213,1.397607,1.1611648,1.3190471,1.1211096,1.2729942,0.8546856,0.9678272,0.47676933,1.2434326,1.3684484,0.82929707,1.3645564,0.90681493,1.1084931,0.98949474,1.4066474,1.0752237,0.99596494,0.661461,1.0935171,0.78422403,1.1137519,1.0792145,1.114495,1.0076525,1.1893063,0.9265866,0.99820113,0.72571933,0.9774735,1.2337494,1.3959517,0.92670304,1.2647877,1.2671626,1.3640757,0.48187554,1.1512575,0.7757511,0.7773166,0.60874254,1.303446,1.3386005,1.4250934,1.1218045,1.3532147,1.0997664,0.739864,1.0623302,0.91128623,0.8542914,1.1238512,1.2808619,1.4123628,1.1145632,0.9950591,1.3624222,0.90356743,1.3266745,0.98828524,0.9163971,1.3264359,0.6761758,1.0346912,0.84579307,0.90531737,0.47485936,0.2748857,0.78756595,1.4391576,0.9045722,1.1216943,0.9798063,0.76530397,1.1865408,1.1946347,1.1375085,1.2078799,0.8828892,0.68263006,0.5915158,1.3237686,1.379479,1.3664072,1.201482,1.1436222,1.3271513,0.660833,0.8543073,0.76302975,1.1282141,1.4158527,0.6383424
