,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.0698549,0.93388075,1.2539358,0.9280845,0.96300364,0.6006334,0.9485439,1.2982517,0.9956183,1.0976579,0.8968833,1.1645782,1.1578748,0.45518494,1.0974121,0.8870121,0.92586595,0.996031,0.9797188,0.99030936,0.98067194,0.92025554,1.0466846,0.31874478,0.9452801,0.9875485,1.0077747,0.9735612,1.085057,0.842175,0.9485631,1.0194703,1.0592234,1.1749445,1.0223739,0.8433778,1.1451614,1.0063212,0.94515204,1.0127919,0.9888288,0.83033764,0.8232569,1.0500221,1.044497,1.0361441,1.1572921,1.0863893,1.0512214,1.2296184,1.1808956,1.1382976,0.73848486,0.9252263,0.8579568,0.8099776,0.20815152,1.0644855,1.1357747,1.1214898,0.8326124,0.9307389,1.0868877,1.2761267,1.0577615,1.2988685,0.9244777,0.829776,0.8210982,1.0039501,1.0437691,1.0273864,1.0406998,0.96623605,1.1286411,1.086975,1.1789464,0.98773515,0.8753403,1.0501415,1.0894357,0.9335939,1.0165848,1.1592821,0.9017563,1.0814055,1.0947648,1.0537615,1.0731401,1.1122385,1.1615413,1.0453805,1.2018533,0.9878463,0.96951705,1.0337341,0.8956976,0.9673915,0.7087395,1.1081545,0.8124796,0.88548374,0.88868654,0.88846064,1.050845,1.0198729,0.69382393,1.0460489,1.1268921,1.11698,0.73513794,1.1766272,0.8190561,1.1771532,0.8694146,1.1734158,1.2251673,1.2040489,1.0210001,1.103364,0.8508927,0.92768395,1.0893065,0.8188991,1.0199326,0.93125904,0.8764442,1.13922,1.2354879,0.8844336,1.1578652,1.173966,1.0616115,0.82421577,0.7645333,0.94911635,0.9701435,0.948983,1.1267629,1.1220562
ankle,1.0698549,0.0,0.87724924,0.92460597,0.8466768,0.8889327,0.95707524,0.99489,1.1969517,0.9056194,1.1962351,0.8909076,1.1234579,1.0953827,1.0644021,1.1768807,1.1279913,1.1237851,1.0500424,0.9759272,1.1534485,0.956739,1.046325,1.1277437,0.9992155,0.8462695,1.1288459,0.6908139,1.1148974,0.938252,1.0098526,1.0087982,0.87286335,0.9127791,0.8595247,1.0733389,0.92474926,1.1156237,1.1733173,1.008733,1.1488707,1.0324056,1.162484,0.918799,1.1807771,0.96804357,1.0829519,0.57908034,0.7505036,1.1747338,1.0868642,0.53753316,1.1873863,0.97872585,1.1135297,0.58119226,0.9830426,1.0341384,1.1409439,1.0090262,0.86023194,0.7783405,0.9857651,1.0600059,1.0960011,1.1891025,0.7327243,0.72522753,1.1630324,1.1583672,1.1610698,0.97028434,1.0536543,0.9096444,0.99914455,1.1319578,1.0072697,0.91782445,1.1116238,0.8259706,1.1444874,0.79937255,0.95766914,0.9214274,0.7651298,1.0428225,0.7262233,0.6936544,0.74484247,1.0645328,1.1145945,1.1568453,0.95302314,1.2298003,1.0573802,1.0149599,0.965612,0.80992746,1.1350754,1.0637741,1.0826137,1.1087275,0.9092398,0.9931649,0.99188244,1.1392399,1.0161744,0.9365864,1.174308,1.206056,1.0714338,1.0308546,1.1118209,0.66576755,0.8133431,0.7461411,1.110355,1.1873952,1.2434794,0.7576747,1.2003992,0.9781706,0.9113477,1.1063132,0.8551755,1.1094184,0.79185784,0.9478692,1.1143193,1.2888335,0.8003217,0.6021881,0.8109295,0.98939633,1.0542539,1.0007602,1.1747725,1.1038913,0.93755853,0.9585015,1.2296497
apple,0.93388075,0.87724924,0.0,1.4383562,0.5301968,0.42239082,0.8564937,0.7314327,1.5137019,0.9400385,1.349098,0.5145702,1.5101142,1.3944087,0.72184473,1.490375,0.9793228,0.6525887,0.23530978,0.24242628,1.2021396,1.0362551,1.2094779,0.78634846,0.5744653,0.47473884,0.80315053,0.87188685,1.0703716,1.3560237,0.78837544,0.964039,1.2138643,1.1757387,0.92039883,1.1799439,0.82301855,1.4606622,1.2024622,0.2688855,1.2770003,0.24124157,1.3589684,1.0176564,1.2436339,1.1484166,1.3493037,0.84918445,0.43268108,1.389709,1.253185,0.6667004,1.2142652,0.9709812,0.7891146,0.85185957,0.76606864,0.730838,1.1628025,1.2336694,0.44094622,0.790637,0.9383686,0.93207264,1.3465934,1.2037618,1.2684777,0.28857636,1.0654393,1.2437173,1.5207086,1.2737999,0.75872433,1.4080563,0.88746834,1.281151,0.9653406,1.3057353,1.374761,0.29458988,1.0926594,1.3026133,1.0789199,0.84274775,0.29957682,1.1149268,0.6570225,0.9153071,0.26999724,1.2464314,1.3435503,1.4722246,1.4306318,1.4060746,0.33878016,0.4110489,1.2615057,0.6637135,1.0575515,0.71874666,0.5407128,1.3119476,0.32807314,0.9870077,0.72615737,1.2663119,1.1295013,1.0514102,1.3276887,1.2821788,1.2842813,1.166533,1.4860748,0.7717681,1.3055445,0.65248114,1.2950158,1.106279,1.4228338,0.29051405,1.2607731,0.5825887,0.90144765,1.1483812,1.0578209,0.8551041,0.95536023,1.2578539,1.3001046,1.52248,0.40792835,0.57288957,0.8905975,1.0776639,1.0980788,0.7888704,0.94225514,1.0467297,0.8919201,0.33229107,1.2101296
arm,1.2539358,0.92460597,1.4383562,0.0,1.2644639,1.3444476,1.2516754,1.4094898,0.7400664,1.0357273,0.9195433,1.3520958,0.74058163,0.5749308,1.3281296,0.70600235,1.1287507,1.4241679,1.489331,1.544551,1.1780685,1.0721476,1.1234701,1.355076,1.446038,1.4663118,1.173388,0.8909915,0.99074244,0.8638143,1.3377533,1.2281308,0.76877326,0.85903776,1.130156,0.9003096,1.2934092,0.6480517,1.0284206,1.4709723,1.0000981,1.4952395,0.74437135,0.9067005,0.9928907,1.1426293,0.69479203,0.93114734,1.2751663,0.68917274,0.65629137,0.8707992,0.680226,1.2087128,1.1801301,0.90333575,1.4018157,1.3689259,0.9434832,0.7995961,1.2458056,1.0728574,1.1341839,1.0653942,0.54807305,0.93815696,0.29681897,1.3780117,1.1251248,0.79979,0.7049463,0.8449156,1.2944613,0.5194981,1.1948249,0.9212156,1.191799,0.4244411,0.69536203,1.334619,1.1288093,0.5944895,0.9418087,1.1504555,1.2678056,1.1327296,1.0966996,0.89297235,1.1877236,1.0348258,0.6370223,0.50975573,0.5091971,0.8379534,1.4413826,1.4055915,0.7460139,1.3084671,1.1822414,1.2930219,1.4510746,0.7917797,1.2582315,1.1396534,1.331815,0.9469272,1.0077208,0.96577525,0.84264266,0.9322317,0.6678694,1.148742,0.39514434,1.1713954,0.40602142,1.3189366,0.7674114,1.1178672,0.7031203,1.3141477,0.8617955,1.3239098,1.1689144,1.0479566,1.1842424,1.1185607,1.0446266,0.82120216,0.6573153,0.6541839,1.540532,0.9141511,0.94822013,0.98671114,1.1828327,1.2849925,1.2728579,0.9959194,1.1777762,1.2670481,0.98401624
ball,0.9280845,0.8466768,0.5301968,1.2644639,0.0,0.19913393,0.9625264,0.8983399,1.3355646,0.95296264,1.2382855,0.9450062,1.3297675,1.1863539,0.87089115,1.262403,0.8987866,0.86455584,0.6288446,0.7210711,1.226274,1.1790308,1.2206427,0.79994106,0.7238002,0.8422743,0.9050966,1.1008704,1.1079539,1.2704407,1.0370153,0.87217855,1.2299553,1.1252551,0.885799,1.1365727,0.95286727,1.247705,1.1400896,0.74274933,1.2205646,0.6079116,1.1044147,0.8592565,1.2184896,1.1828301,1.1056387,0.97373766,0.47768784,1.1731449,1.0980895,0.90431213,1.1869209,0.8729114,0.7764579,1.0357488,1.0391246,0.72879726,1.111516,1.0331889,0.8319707,0.7637596,1.0278708,0.80979156,1.1607549,1.1459533,1.1483827,0.59690785,0.9053784,1.102965,1.1971612,1.1806623,0.7899463,1.266415,1.0239755,1.1823797,0.92382276,1.1787698,1.1965938,0.61887103,1.0001704,1.0299826,0.9976261,0.9079922,0.580312,1.2621567,0.9316697,0.9821356,0.70662755,1.2150996,1.223162,1.176958,1.3069456,1.2048285,0.81193256,0.84402883,1.0125126,0.97657883,1.083753,0.91601014,0.93671334,1.1175061,0.59149635,0.93176776,0.8649725,1.0807698,1.1539931,0.9946264,1.1696916,1.1224368,1.15302,1.0818769,1.2713194,0.7957009,1.1661464,0.99372524,1.1929337,1.1921984,1.2038739,0.7658109,1.0527196,0.91177094,0.8709415,1.1529186,1.1751453,0.84950274,0.8949981,1.0881276,1.2395551,1.2739174,0.38152105,0.8641175,1.1250411,0.94496053,1.209825,0.5377753,1.0580267,0.9827732,1.0145769,0.7675994,1.1449894
balloon,0.96300364,0.8889327,0.42239082,1.3444476,0.19913393,0.0,0.98477465,0.8864893,1.3450533,0.8208857,1.2129257,0.73423606,1.331176,1.2737116,0.8883027,1.3502046,1.0199071,0.8411205,0.49233484,0.54551494,1.2588302,1.1308484,1.1905283,0.7913033,0.64190966,0.6640218,0.9137106,1.0254215,0.95941126,1.2348276,0.9700025,0.93332857,1.1847384,1.1513819,0.88851136,1.1802497,0.8389826,1.2673969,1.146903,0.5490241,1.1616852,0.4807635,1.197802,1.0991571,1.2485349,1.132529,1.2162349,0.95765114,0.51340103,1.2109885,1.1162758,0.8519657,1.2088932,0.95189106,0.8655369,1.0155659,0.9592053,0.7986127,1.0851551,1.1294961,0.6765632,0.892158,0.89175916,0.9232587,1.2164956,1.162247,1.2458913,0.56030273,1.0152719,1.167373,1.2777413,1.1908027,0.8252443,1.2838291,0.96847206,1.2047436,0.9073056,1.2150962,1.2831805,0.5987772,1.0861685,1.2500005,1.1786926,0.9227783,0.494061,1.2073929,0.8192793,0.9569024,0.6035,1.2366536,1.2900015,1.274464,1.3068901,1.259688,0.60765857,0.6547902,1.0665629,0.8447702,1.0592068,0.9264137,0.7856185,1.1845126,0.5984855,1.0429771,0.87373704,1.1845922,1.0949848,1.1416099,1.222456,1.2009153,1.190557,1.1279839,1.2992959,0.80033743,1.2239082,0.83345604,1.1513128,1.1313035,1.268151,0.5606045,1.1459174,0.7444173,0.86928844,1.1042612,1.1117548,0.7697046,0.9590539,1.2763795,1.1902124,1.320403,0.38371927,0.787898,0.979297,1.0465908,1.1975081,0.80224144,1.0674644,1.0164717,0.9668047,0.56595147,1.0828688
banana,0.6006334,0.95707524,0.8564937,1.2516754,0.9625264,0.98477465,0.0,0.9055531,1.1731019,1.1118119,1.2592884,1.0447617,1.2240914,1.0491163,0.8181857,1.1072375,0.92852306,0.77319455,0.8949232,0.9095545,0.9139227,0.8062984,0.77386665,0.9028702,0.8319959,0.9767702,1.057,1.0422572,1.2389303,1.1304973,0.67450774,1.0320954,1.1617055,0.92036855,1.1085325,1.0595473,0.9778263,1.2324803,0.77993155,0.9482205,1.194555,0.909889,1.1415851,0.80731726,1.0724063,1.0667176,1.0896473,1.0669061,0.8339209,1.2570975,1.1644708,1.0835911,1.136539,0.93190396,0.8466623,0.95709044,0.8588867,0.74627906,1.1174288,1.079921,1.0428293,0.748038,1.1400226,0.9789376,1.2299541,0.9520496,1.174433,0.8874705,0.888915,1.1505436,1.1309462,0.92990506,0.7869518,1.1788847,0.8956429,1.1199121,1.063033,1.1474788,1.0626034,0.7923656,0.89235544,0.9058791,1.0503244,1.0903527,0.95994055,0.76273227,1.0971528,1.0877151,0.9698731,1.0088569,1.1318719,1.2223228,1.2029188,1.0930805,0.9610147,0.9647967,1.008472,0.97124785,0.7581792,0.7672832,0.9180696,1.0986679,0.77688205,0.83224344,0.8734698,1.0259633,1.1567292,1.0777171,0.90972906,0.9973287,1.0660813,0.79231024,1.2126192,0.74480295,1.1580614,0.7107384,1.1977645,1.0442238,1.1556982,0.9839043,1.2303677,0.94796866,0.9324218,1.0629327,0.8892448,1.1105951,0.9894719,1.0464358,1.1306163,1.1607555,0.8097247,1.0296868,1.0383971,0.92320305,0.7315972,0.74266046,0.75850964,1.0318949,0.9498405,1.0629557,1.140212
basket,0.9485439,0.99489,0.7314327,1.4094898,0.8983399,0.8864893,0.9055531,0.0,1.2459092,1.0915158,1.0236518,0.6686108,0.97065085,1.1642363,0.84079677,1.0735719,1.0000815,0.5306542,0.6136874,0.58744764,0.59002537,1.0978696,0.99273133,0.5261613,0.84001017,0.37498677,0.88491046,1.1442633,1.0365516,0.7597427,0.9210683,0.8520105,0.99682236,1.1544045,1.0533745,0.8506548,0.8871918,1.0618142,1.0750747,0.7624843,1.0083483,0.56635916,1.212556,0.95004076,0.8653139,0.71834713,1.0694997,1.0681467,1.025545,1.2476947,1.3668453,1.139891,1.1506699,1.0702568,0.8096405,0.9895342,0.69573015,0.95903754,1.0358598,1.2105908,0.9732947,0.68167907,0.9522859,1.0727513,1.400528,1.1151967,1.3533673,0.7668363,1.0740927,1.2323822,1.1886953,1.0751365,0.72116446,1.2668257,0.9480944,0.73273134,0.972055,1.2905716,1.1669397,0.8698141,0.86504173,1.1396681,1.073591,0.7867824,0.9206456,0.8817454,0.9696513,1.2844229,0.87997764,0.7944177,1.1653177,1.2330406,1.2642325,1.0992066,0.77214164,0.7880281,1.313258,0.57893574,1.0080909,0.775002,0.81915545,1.2605034,0.79591525,0.5910346,0.4928031,0.8560769,1.0030724,1.1149529,1.1669576,1.197931,1.2708657,1.0055294,1.3798306,0.8499727,1.288796,0.68139744,1.1899599,0.93338364,1.1420863,0.8011458,1.1424764,0.9248474,0.8871106,1.1327475,1.0300863,0.97551316,1.1798062,0.9764135,1.3179126,1.1517518,0.69691116,1.0502796,1.2008113,1.0108128,0.7803937,0.79055756,0.6572003,0.8789118,0.60743386,0.9044191,0.9838132
bathtub,1.2982517,1.1969517,1.5137019,0.7400664,1.3355646,1.3450533,1.1731019,1.2459092,0.0,0.9971552,0.5575702,1.4024196,0.45899445,0.80531114,1.3188553,0.6091875,0.9155276,1.2204428,1.4118718,1.3421569,0.8166125,1.0123669,0.9809168,1.1080903,1.448066,1.3486048,1.099281,1.2689834,0.9058367,0.70805687,1.2087516,1.0516949,1.0188274,1.0765867,0.6860362,1.0098487,1.1543329,0.5462054,0.87180287,1.4593675,0.65111923,1.4061196,0.84456515,1.1672914,0.8586013,0.87026083,0.96630377,1.2922425,1.2574874,0.7155926,0.82913864,1.3806598,0.90559155,1.1159416,1.170866,1.3592131,1.2560391,1.3542006,0.85839814,0.68063056,1.4417145,1.301053,1.0513722,1.0226746,0.8182851,0.70228195,0.90327704,1.5474498,0.9647975,0.9233093,0.56309366,0.9200513,1.056957,0.78441167,1.0757444,0.8316377,0.8413438,0.87270504,0.79974484,1.4436264,0.9263138,0.87225544,1.0856434,1.0852326,1.4220759,0.96413976,1.3873171,1.2254144,1.4857833,0.7761595,0.7504086,0.75116926,0.80544007,0.6029576,1.377241,1.3891361,0.8332537,1.3244691,0.9949216,1.3090916,0.87218744,0.9138688,1.4997578,1.1058668,1.2585894,0.85507584,0.8613448,1.1002612,0.7402397,0.6242965,0.8404467,0.99633175,0.6673806,1.3397989,0.8710242,1.3405124,0.62898374,0.2907387,0.57382613,1.5306398,0.73724276,1.300792,1.1068739,0.7303175,1.003048,1.054907,1.0275663,0.9606296,0.5720135,0.27968907,1.3578603,1.4412317,1.1025302,1.0549471,1.0668683,1.2413559,0.87841755,1.0687467,1.137696,1.3682446,0.8542743
bear,0.9956183,0.9056194,0.9400385,1.0357273,0.95296264,0.8208857,1.1118119,1.0915158,0.9971552,0.0,0.92559206,0.6391427,0.9684837,1.1216623,1.0063392,1.0281838,1.0300605,1.1771941,1.0991164,0.9565859,1.2577351,1.0221342,1.0061891,1.1993045,0.954792,0.90301645,0.97154635,1.0031543,0.3651191,1.0292121,1.0232047,1.0727496,1.0781233,1.0621387,0.8699516,1.0313176,0.8409908,0.96806693,1.062184,0.87930906,0.86241686,1.0866433,1.0367715,1.3290398,1.1888858,1.0777338,1.2003459,1.038492,0.98821753,1.0027926,1.0444384,0.96549016,1.1107763,0.93206257,1.1734242,0.9565397,0.9792415,1.0338032,0.68166363,1.1069639,0.9278093,1.1393605,0.37748003,1.2213464,1.0656382,1.0718601,1.0446663,0.9376355,1.0827068,0.9965076,1.0054375,0.88004375,1.187822,0.9028617,1.0182554,1.1390756,0.950999,1.1519002,1.3214617,0.9845453,1.25758,1.1548415,1.1411333,0.8373281,0.93059975,1.1321257,0.83511794,0.8843936,0.9272495,1.1043116,0.8804879,1.0999981,0.95207,1.2303286,0.89802796,0.90647376,0.9279781,0.75463384,0.92590183,1.1685327,0.97225004,1.1123385,1.1373738,1.230109,1.102952,1.2168746,0.5518028,1.0376124,1.1774614,1.184279,1.1386392,1.1212885,0.9450118,1.0709189,1.0877817,0.89341927,1.0062487,1.0291102,1.0324671,0.88554096,0.9222895,0.7625835,1.0960078,1.0914207,0.93081975,0.8577454,1.1068344,1.2039129,0.92732525,1.0554154,0.9420332,1.0151098,0.945176,1.0950482,1.1873941,1.2679303,1.2080754,0.95896786,1.0798472,0.89032185,0.9430841
