,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,potato,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
pen,1.4347191,0.57154924,0.3452031,1.3961495,1.131798,1.1000679,1.1600592,0.9547669,1.3133211,1.4100618,0.602888,1.4546776,1.4833916,0.9898319,1.4115515,1.2771327,0.8870383,0.46756554,0.48418605,0.90260684,0.7418623,1.3037846,0.8345564,0.8478012,0.58614933,0.7306212,1.0680593,0.8940152,1.0983669,0.8748293,1.3523533,1.0642942,1.1051273,1.3588407,0.7863598,0.10868025,1.392988,0.6013745,1.3847581,1.2052711,0.9687762,0.82892954,1.2972207,1.1088834,1.2091893,0.5848601,0.73637915,0.98156524,0.9140942,0.4283421,0.9200899,1.3694178,0.35829353,1.3964627,1.1590042,1.001761,1.114217,1.145031,0.53186387,0.98115474,1.2611991,1.3689404,1.089596,1.4754329,0.33147132,0.72788846,0.4493811,1.119363,1.4636825,0.8136865,0.36554664,1.2712433,0.83900696,0.54584664,1.3230155,1.0708941,1.3922911,1.3169148,1.4052389,0.0,0.087480724,1.0924361,0.9137741,1.3609718,1.0857985,0.72169745,1.1185762,0.93134785,1.4229751,0.42269242,1.2798086,1.1126826,1.2900267,0.3882556,1.4126519,1.1062489,0.76875514,0.93442863,0.5656717,1.1361638,0.2405132,1.2627358,0.49050212,0.9519328,0.9432171,0.62055016,1.1542673,1.2734966,1.4748275,1.4423442,1.0428232,0.41866624,1.1103245,0.5975827,0.6595277,1.3135691,1.3408086,1.1890837,0.40322912,1.10833
pencil,1.3439262,0.7000377,0.4662586,1.3594683,1.0862759,1.0617398,1.1138054,0.9321773,1.2747282,1.3602924,0.7471129,1.3624128,1.508894,1.017875,1.4348297,1.2114787,0.78924644,0.47096676,0.5231445,0.84140575,0.8291255,1.2118576,0.7773541,0.86892605,0.64862144,0.7556057,1.034495,0.9728498,1.0639176,0.84466386,1.339227,1.0011462,1.1125629,1.3354031,0.84728354,0.22278768,1.2888975,0.5854044,1.4041176,1.1797826,0.9616287,0.8369229,1.3200183,1.078943,1.2475533,0.8091775,0.7736356,0.9298993,0.9545502,0.5425079,0.91014326,1.2624772,0.58775723,1.4337271,1.1947793,1.0139058,1.1922369,1.218426,0.70534873,1.0104244,1.214312,1.3530254,1.0976402,1.4778697,0.23838687,0.68615425,0.5001619,1.0081002,1.4927392,0.72324795,0.5422504,1.1707809,0.90691185,0.56216633,1.2264292,1.0680627,1.4271641,1.3568933,1.2895867,0.087480724,0.0,1.087603,1.007399,1.2935507,1.0108259,0.6689996,1.1136045,0.9931034,1.3813025,0.42888474,1.1695327,1.0926491,1.2301829,0.38755214,1.411043,1.1941574,0.9501767,0.7619987,0.47902292,1.1286764,0.4309429,1.2083907,0.51652974,1.0304654,1.0213716,0.5546505,1.1291453,1.216394,1.4620094,1.3416414,0.9758253,0.6566951,1.1607162,0.6074838,0.67101705,1.16003,1.3243694,1.121877,0.6528288,1.1144681
pig,0.9769073,1.0485586,1.0931954,1.1226209,0.85030496,0.8552127,1.1407261,1.0304359,1.0507673,1.1789565,1.1190022,1.0842432,1.0888556,1.0757798,1.1067917,1.1605895,1.0315425,1.0634788,0.9814434,1.0854485,0.9992479,0.9379955,1.0491244,0.92375654,1.0381736,0.8013115,0.9719464,1.0400585,0.966437,0.8868366,1.1246213,0.98956454,1.0751635,1.1761503,1.0340024,1.1162995,1.0239772,1.0316614,0.8476354,0.8376306,0.93054736,1.022449,1.0289237,0.9527156,1.079548,1.1185782,0.83184135,0.8313895,0.9629468,1.0785288,0.8744018,1.0177673,1.0961627,1.1145359,1.0504324,1.0767156,1.0095189,1.0962858,1.1104715,0.78068495,0.9744435,1.2225378,1.0439353,1.1405939,1.0720881,1.064447,0.9783512,1.0183342,1.0402833,0.833148,1.062993,1.0022087,0.9962259,1.0598518,1.0498116,0.8036368,1.2006431,1.0465215,1.1669903,1.0924361,1.087603,0.0,1.1051097,1.1117914,0.8722943,1.090288,0.92988586,0.9878267,1.0149463,0.9376263,1.0507948,0.07811397,0.94942105,1.0824205,1.164003,1.030281,0.95781434,0.9595414,0.90958834,1.04777,1.1516873,1.0955213,1.07206,1.1503415,0.93232405,0.9551849,0.9934655,0.95838547,1.156087,1.1894614,1.0097649,1.1015017,1.1543918,0.90734607,0.9737981,1.0471507,0.98730755,0.9653658,1.1308494,0.9749664
pillow,1.019778,0.8404082,1.0653305,0.82460606,1.1750435,1.2359359,1.1250912,0.83709097,0.95033836,0.9401271,0.59955806,0.8015861,0.78018916,1.0786914,0.5288802,1.122222,1.1287862,1.1809745,0.9353064,0.8483336,0.6829591,1.3097,1.0167626,1.1283531,0.69136894,0.94259024,0.9810934,0.90564334,0.7710252,1.3140296,0.86485314,1.2787757,0.96583337,0.7008882,0.8420765,0.9226935,1.1024252,1.3019896,1.0941534,1.1380937,1.0038359,0.7529547,0.9143651,1.2374468,1.1703169,0.7293199,0.9578651,1.1825393,0.85158074,0.75173306,1.1744642,1.3078787,0.82441634,0.61563146,0.9676235,1.1228633,1.0396926,0.9309965,0.71687496,1.0038596,1.1580057,0.8940633,1.138473,0.7971655,1.0128038,0.9493281,0.9824855,1.2253398,0.7914595,1.2371371,0.94378424,0.71851003,0.7692233,1.1575557,0.9448472,1.1571172,0.6316494,0.68814546,1.0689541,0.9137741,1.007399,1.1051097,0.0,1.0892651,1.1685253,1.1552761,1.0573249,1.031001,0.822719,1.1191716,1.1171703,1.0745715,0.7823651,1.0890112,0.9216704,0.51985174,0.64565635,1.2793262,1.012216,0.9280471,0.75962514,1.0473808,1.0745727,0.6074964,0.9398757,1.3408883,1.0555557,1.2421583,0.91465527,1.3072591,1.2886758,0.6644118,0.88357186,0.5412598,1.2949215,1.2255391,1.1782753,1.1797439,0.7030635,0.8962681
pizza,0.34332561,1.3571887,1.3144205,0.77326536,1.1454692,1.0864229,0.7312967,1.0794623,0.901963,0.8300464,1.2150207,0.64794385,0.59360933,1.0506206,0.8399304,0.8813192,0.8058207,1.3116109,1.3934038,0.88074046,0.97667956,0.8412052,1.2171599,1.0676397,1.401223,1.2974057,0.81849885,1.2122743,1.1148919,1.2655959,0.94445306,0.99801314,0.9328139,0.8939933,0.93246496,1.3971947,0.92274,1.2815816,0.82419497,0.9668842,1.1837374,1.0629207,0.8414977,0.9784503,0.8524296,1.0911291,1.0030868,1.0305717,1.1691694,1.1457748,0.97803247,0.8458662,1.3537574,0.7588566,0.9764028,0.7894282,0.8970393,0.6786206,1.3536423,0.9108966,0.8302495,0.7177481,0.9419386,0.6390167,1.1008618,1.2607951,1.4863155,0.9762167,0.7084998,1.2704675,1.3957527,0.8871578,1.0935724,1.2993163,0.95077306,1.0411541,0.7110316,0.88700175,0.42895132,1.3609718,1.2935507,1.1117914,1.0892651,0.0,0.95849127,1.1557668,0.810166,1.207584,0.8028455,1.4149824,0.8955091,1.1368837,0.98878086,1.2949237,0.7544128,1.0543311,1.1714375,0.8953206,1.4099491,1.0150808,1.3756188,0.84553206,1.3848863,1.063711,0.984823,1.0884537,0.86087996,0.8963969,0.65793604,0.63677126,1.0386924,1.2606479,0.71322376,1.3057536,1.2013619,0.7352415,0.8224988,0.9433321,1.2596548,0.99987286
plant,0.960012,1.0324551,0.9780512,1.0684022,1.0476272,1.0404927,0.924279,0.9688865,0.9740996,1.0641202,1.1455548,1.0562972,1.1912466,1.0434425,1.1674101,1.0886548,1.0023909,0.9154075,0.9489183,1.0376307,1.1087289,0.8597753,0.94828063,0.94081986,1.0145161,0.86085236,1.0716885,1.0746777,0.9378647,0.95826125,0.9318656,0.9682678,1.0564878,1.0855229,0.99948,1.1001898,0.8796072,0.8861933,1.0212135,0.9117219,0.87186944,1.0150665,1.0518181,1.0829554,1.0891337,1.158777,0.84995574,0.12192273,1.0042965,1.2319791,0.8529354,0.9554413,1.1266711,1.1674674,1.0565888,0.9831184,0.9945849,1.140058,1.1529,1.0584775,0.9433951,1.1589954,1.0163056,1.1751263,1.0671278,0.86641645,0.95015824,0.9947376,1.0619402,0.8295703,1.1499285,0.98540986,1.1233515,0.963277,0.84514177,0.9943423,1.191922,1.0323715,1.0986769,1.0857985,1.0108259,0.8722943,1.1685253,0.95849127,0.0,1.0549791,1.0404178,1.0404699,0.9952239,0.91411775,0.77879953,0.8392457,0.9470231,1.1029836,1.1193452,1.0522501,1.1433916,0.9613387,0.887201,1.0983711,1.1743114,1.0420314,0.9707355,1.1423523,1.0498158,1.044387,1.1004231,0.9475467,1.0916699,1.0815836,1.0487235,1.1894624,1.2151217,1.0238767,0.99326664,1.0038761,0.6543486,0.76493186,1.1852077,0.92868394
plate,1.2904088,0.89930725,0.73955095,1.308504,0.92617106,0.9692376,0.93505484,0.71710455,1.1897049,1.2852881,0.8385222,1.2530912,1.3488004,1.1467975,1.4321865,1.066057,0.8321007,0.65481466,0.49340308,0.8999893,0.8091477,1.1047841,0.5967434,0.9773388,0.82005596,0.9915359,1.1260109,1.0687497,1.1419678,0.5367726,1.36924,0.61259604,1.1879617,1.3293008,0.7705772,0.69368196,1.2046341,0.46141547,1.4528463,1.1053854,0.9601253,0.87515837,1.3376838,0.65152484,1.20967,0.995277,0.9072255,1.0380429,1.0515667,0.81345856,0.9772555,0.78748506,0.8838759,1.4120567,1.2150388,0.73333955,1.2751565,1.2355969,0.9025421,1.1333531,1.1015397,1.3176086,0.8226574,1.4291153,0.7501575,0.8819306,0.56926596,0.76351666,1.4273967,0.86731493,0.76799536,0.8685087,0.990641,0.77739036,1.0969657,1.0839922,1.4558337,1.4290512,1.1377529,0.72169745,0.6689996,1.090288,1.1552761,1.1557668,1.0549791,0.0,1.152682,0.8426083,1.2346635,0.7614379,1.1417187,1.0791024,1.2106364,0.65340954,1.4308171,1.2629597,1.1265724,0.6373034,0.5831013,1.0555286,0.7332382,1.1147325,0.7187245,1.1344991,0.7858145,0.5726032,1.1242216,1.1301589,1.4646564,1.072576,0.4219914,0.9928098,1.26259,0.7950914,0.83146507,0.63781714,1.2772846,1.1742502,0.96854603,1.1087327
pony,0.77588654,1.0976846,1.1143457,1.0262707,1.1030136,1.0647972,1.0287349,1.121762,1.0796267,0.91213095,1.1170301,0.9699216,0.8395716,1.0358179,1.0033523,1.0208375,0.6956996,1.1492312,1.1730499,0.88499844,1.1349982,0.9555895,1.1986475,0.8802267,1.126797,1.1201233,0.9468808,1.0160468,1.0159603,1.0384605,1.0636741,1.0859761,0.9794384,0.9845848,1.1056848,1.1144842,0.99702394,1.2110823,0.6655326,0.9222416,1.1128196,1.0791563,1.0697933,1.1097726,1.0372498,1.0183563,0.921071,1.0187963,1.0603163,1.0580549,0.7666303,1.1199187,1.0905887,1.0286387,1.0083591,1.0062387,0.9437134,1.0046043,1.1070575,0.25004226,0.94036686,0.97127974,1.0087744,0.948944,1.1591808,1.1116409,1.1442888,1.0219737,1.024391,0.99402136,1.1559892,1.0684259,0.946298,1.1192096,1.078951,0.9314773,0.99326104,1.0516417,0.76993656,1.1185762,1.1136045,0.92988586,1.0573249,0.810166,1.0404178,1.152682,0.0,0.9881719,1.0020063,1.1387967,0.97125727,0.92969954,1.0802155,1.1244736,0.95621216,1.1141648,1.0957059,1.1137502,1.130254,1.0728834,1.1259886,1.0515882,1.1153556,0.97854364,1.0586141,1.113339,0.9323027,0.90707135,0.9970912,0.9495207,0.9512448,1.0975863,0.96047884,1.1264479,0.95788354,1.0423747,0.94869834,1.1053369,1.0582994,0.9798218
potato,1.244811,0.8870792,0.6892158,1.1578689,0.70203274,0.75447214,0.96921617,0.96559894,1.2053957,1.3071003,0.7817361,1.2444763,1.115283,0.9253478,1.2493352,1.1510895,1.0016282,0.943012,0.73569727,1.0950812,0.8289819,1.0288082,1.0066434,0.8695394,1.020509,0.89633286,1.1274271,1.0670508,1.1295642,0.88566726,1.1540804,0.9336699,0.94261575,1.2900455,0.94152665,0.84266126,1.2482457,0.8787383,1.086993,0.91044796,1.0319712,1.0108505,1.1176616,0.62517333,1.0830117,0.76650286,0.9140269,0.91812104,1.0442141,0.8512605,0.88189065,0.92679065,0.8454208,1.0788699,1.0865908,0.74223006,1.0878218,0.9774028,0.70945567,1.008577,1.0913271,1.2662803,0.94219387,1.2420765,1.0624455,1.038598,0.90579116,1.2114567,0.984482,0.97781044,0.6895627,1.123799,1.1113813,1.0369017,1.0675925,1.0699365,1.1446412,1.1010485,1.2170637,0.93134785,0.9931034,0.9878267,1.031001,1.207584,1.0404699,0.8426083,0.9881719,0.0,1.0292516,0.8852515,1.0894258,0.9932145,1.1483551,0.8803468,1.1411276,0.95422614,0.9351881,1.1136025,1.0091966,1.116587,0.7696486,1.0974936,0.9852591,0.91197234,0.74894536,0.9352599,1.1386774,1.123025,1.1982979,1.2386618,0.95721513,0.75230515,0.9688732,0.91201556,0.8221224,1.1189096,1.0281726,1.1026162,0.8320074,1.1920669
purse,0.7772043,1.1486969,1.4531345,0.85105246,0.98012906,1.02617,1.010946,0.63619155,0.8941192,0.88116455,1.0674821,0.75907916,0.6129884,1.1352346,0.7009099,0.9322132,1.018066,1.1982818,1.2269982,0.94484115,1.1497934,0.8748805,0.85140866,1.1493666,1.0856382,1.1605453,0.8819506,1.2755494,0.68949014,1.2184165,0.57210493,1.0622457,0.9554983,0.8064501,1.1093748,1.4296268,0.7134572,1.2115942,0.89967227,0.83097744,1.0890564,1.0409008,0.7803633,1.1026727,0.98985696,1.2464681,1.2506372,1.0567343,0.98078465,1.3060718,1.112172,0.946161,1.3982706,0.6110232,1.0758859,0.99703664,1.0158125,0.960425,1.159154,1.0335937,0.875571,0.7277555,0.9125938,0.6454264,1.243211,0.99901146,1.4387571,0.88804907,0.5916157,1.1751652,1.3924471,0.92188597,0.9620542,1.3828354,0.7237942,1.0900046,0.67152566,0.6857722,0.7966765,1.4229751,1.3813025,1.0149463,0.822719,0.8028455,0.9952239,1.2346635,1.0020063,1.0292516,0.0,1.2493047,0.80318254,0.9784226,0.8054874,1.1721506,0.7094538,0.7046532,1.1285285,1.050589,1.3032455,0.9148623,1.3541689,1.0684813,1.4402113,0.74601734,1.160236,1.1954365,0.92385083,0.83069795,0.6374655,0.9570418,1.0441968,1.3031998,0.8014228,1.1567216,1.0800483,0.9505376,0.94430923,0.7208002,1.2436923,1.0102082
radio,1.4555916,0.56560254,0.45292366,1.4661171,0.9687861,1.0006906,1.1556184,0.84178585,1.3536661,1.3473693,0.84397274,1.4676993,1.545674,1.004059,1.3946357,1.2086756,0.93092406,0.25168812,0.38596106,0.9950884,1.0076169,1.207738,0.623556,0.80991143,0.49254817,0.47988105,1.1717963,0.8663086,1.0342082,0.756462,1.3196622,0.9680636,1.0829306,1.3513147,0.94507134,0.39874434,1.2641504,0.38126552,1.2343792,1.0782773,0.9059402,0.95061594,1.2602818,1.0832479,1.2652869,1.056539,0.7784913,0.826621,1.0223395,0.9778346,0.8147011,1.3026412,0.63001764,1.4566875,1.1219525,1.0442927,1.2294308,1.4113511,0.63958555,0.995648,1.1982995,1.4498518,1.0427809,1.5412993,0.6727383,0.72127914,0.43911147,0.9146998,1.3963817,0.5568401,0.62145627,1.239287,1.0023546,0.46325612,1.2893178,0.8171716,1.5003259,1.3053834,1.4072933,0.42269242,0.42888474,0.9376263,1.1191716,1.4149824,0.91411775,0.7614379,1.1387967,0.8852515,1.2493047,0.0,1.1284714,0.9272804,1.2388115,0.5310081,1.4126112,1.1124324,0.98150754,0.9454454,0.50133204,1.1042011,0.5222261,1.112427,0.44490385,1.0485597,1.057276,0.80687296,1.1047856,1.1272697,1.499397,1.4084139,0.90904045,0.79554,1.4041877,0.7047016,0.51486874,1.315537,1.1890365,1.0373724,0.7536586,1.0953223
refrigerator,0.9260692,1.0800806,1.2487831,0.966505,1.0530418,1.0677485,1.0533425,0.8332962,0.8545916,0.9298824,1.1245922,0.90062344,0.922313,1.1253726,1.0922412,0.9363553,0.836716,0.9858585,1.01192,0.79092336,1.2313946,0.88910645,0.7629683,1.1439799,0.9337182,1.113087,0.9686307,1.1122051,0.7517909,1.0531102,0.72314566,0.9795391,1.0596905,0.89812666,1.0800993,1.3468788,0.7077146,1.0266812,0.95667267,1.0121121,0.65965366,0.9270717,0.98587173,1.0339669,0.9473466,1.27089,1.2198765,0.8429195,1.0574968,1.2779882,1.1103336,0.83680964,1.2802368,1.0000701,1.0762215,1.0449617,0.9569309,1.0924641,1.3180604,1.0410676,0.9480993,1.0048059,0.8399599,1.022724,1.1101581,0.7887003,1.2064457,0.72514063,0.95610446,0.9651511,1.3404547,0.97593725,1.218287,1.1045929,0.48149973,1.1229529,1.0226387,0.89942443,0.798905,1.2798086,1.1695327,1.0507948,1.1171703,0.8955091,0.77879953,1.1417187,0.97125727,1.0894258,0.80318254,1.1284714,0.0,1.0276392,0.97220844,1.2934787,0.86252666,1.070554,1.1388819,1.0369846,0.9482546,1.10752,1.3759959,0.97339445,1.1735559,1.0873345,1.032007,1.179204,1.052904,0.9531688,0.8513743,0.8580415,1.032552,1.3058368,0.96706027,1.1436006,1.0443625,0.8510439,0.89011455,0.69553894,1.2833309,0.88012755
rooster,0.98725307,1.0336639,1.1218958,1.1311483,0.8511281,0.8675201,1.1493082,0.9838757,1.0557985,1.1226119,1.1222457,1.0376776,1.1249151,1.0967866,1.0658497,1.1633557,1.0001415,1.0518119,0.9379613,1.0793334,1.0028923,0.9258118,1.0462631,0.89529777,1.0408499,0.77875245,1.0119418,1.0359957,0.91871417,0.8888124,1.1325592,0.99305093,1.0817163,1.1251216,1.0062174,1.1328764,0.9760368,1.0406396,0.7806016,0.7670955,0.92041403,1.0342269,1.0352881,1.0017126,1.1366137,1.1718204,0.78170836,0.809213,0.9528041,1.1146412,0.83934516,1.0298034,1.1452144,1.13596,1.0203198,1.1085804,1.0405129,1.1509364,1.1168997,0.78417075,0.98902327,1.241819,1.0522302,1.1584795,1.0808138,1.0033561,0.9822629,1.0261137,1.033157,0.7834781,1.1116143,0.9745442,1.0039575,1.0706831,1.0449003,0.7963994,1.225163,1.03011,1.1659982,1.1126826,1.0926491,0.07811397,1.0745715,1.1368837,0.8392457,1.0791024,0.92969954,0.9932145,0.9784226,0.9272804,1.0276392,0.0,0.9101783,1.0787853,1.1841356,0.9727479,1.0301058,0.9616474,0.91440195,1.0483435,1.1497302,1.0670385,1.0753329,1.1298628,0.9733235,0.9923551,1.0370171,0.91888,1.1851755,1.1882482,1.0420021,1.137946,1.2077297,0.86464167,0.92926556,1.014616,1.0077622,0.9502217,1.1674869,0.93641543
scarf,0.8234249,1.128523,1.2900602,0.7575066,0.9802548,1.0333415,0.89288557,0.9962898,0.71306187,0.7405699,1.1427349,0.7354207,0.8691026,1.0514662,0.6367352,0.93823904,1.2048476,1.2758937,1.2531615,1.126256,1.1345099,0.8115556,1.1554798,1.1516657,1.0904373,1.0932871,0.850704,0.9766859,0.9154042,1.1524312,0.800285,1.1717283,0.9403433,0.7100649,1.0676734,1.2974992,0.7627861,1.3134508,0.82106674,1.0353767,1.0865811,1.1386335,0.8197558,1.1975089,1.0451311,1.2874172,1.0656908,1.0164409,0.9637507,1.277245,1.0813569,0.95396024,1.2638988,0.64200133,0.8451892,1.2067416,1.0500758,1.0844449,1.0479002,1.131799,0.79774827,0.687492,1.0572901,0.7397047,1.1665113,1.0561181,1.1666111,1.0729104,0.6831045,1.144748,1.3770785,0.86060643,0.8707825,1.148272,0.9115169,0.9868452,0.68332046,0.83712274,0.96333766,1.2900267,1.2301829,0.94942105,0.7823651,0.98878086,0.9470231,1.2106364,1.0802155,1.1483551,0.8054874,1.2388115,0.97220844,0.9101783,0.0,1.2227901,0.8570061,0.7269045,0.9689541,1.121261,1.1455021,0.9120209,1.3572842,0.8429116,1.1783316,0.90334696,1.1331818,1.2267878,0.73782814,1.0054075,0.833321,0.9603692,1.1651585,1.305238,0.94813013,1.104321,1.2577784,0.9538214,0.9727267,0.8548797,1.2924821,0.8248774
scissors,1.3061608,0.81168,0.65729433,1.3834727,0.87485534,0.8901972,1.0458554,0.9504858,1.2705139,1.361601,0.8099833,1.3824841,1.3970075,0.9615938,1.2997394,1.1901821,0.831409,0.58216125,0.67632395,0.9553774,0.9704709,1.1575736,0.7986169,0.7860743,0.7341312,0.7965627,1.0048577,1.0420934,1.138015,0.7956575,1.2814921,1.0045241,0.964242,1.350088,0.93384546,0.283041,1.3002007,0.636098,1.2891276,1.061973,1.0315976,0.9690996,1.2444634,1.0369475,1.2548211,0.9263428,0.79164594,1.0145164,0.96740454,0.72653157,0.7618816,1.1479585,0.7979144,1.2759776,1.2385443,0.80757725,1.3102486,1.2342422,0.6605613,1.0561125,1.1331347,1.2574847,0.998902,1.2935737,0.44379294,0.84453297,0.6617074,0.90670145,1.1963785,0.72107506,0.6290423,1.194723,1.0104022,0.79232466,1.3493949,0.98682725,1.286083,1.3287991,1.2607449,0.3882556,0.38755214,1.0824205,1.0890112,1.2949237,1.1029836,0.65340954,1.1244736,0.8803468,1.1721506,0.5310081,1.2934787,1.0787853,1.2227901,0.0,1.4148471,0.9708006,1.1014916,0.7180403,0.69326705,1.055777,0.520077,1.19401,0.769634,0.8141456,1.0978913,0.49501693,1.1018319,1.1137396,1.427074,1.3033466,0.8544958,0.80072296,0.998992,0.74345607,0.5326161,1.1886711,1.2319143,1.0853366,0.790026,1.1555028
shirt,0.71559197,1.1733916,1.3291786,0.49896085,1.1499354,1.1115253,0.9006407,1.2532209,0.7137282,0.7123113,1.151022,0.69302267,0.46177608,0.9628644,0.53952503,0.8084531,1.2256572,1.3936896,1.4374466,1.1049829,1.1226246,1.0098492,1.3508549,1.1787622,1.2668633,1.2689257,0.9875806,1.052004,0.9972233,1.2767918,0.5200753,1.1628146,0.838372,0.66007626,1.1869919,1.4392011,0.8514618,1.459244,0.5989318,1.0283898,1.1114308,1.1474955,0.60779834,1.1270223,0.5839399,1.0671849,1.3148826,1.2162143,1.1449122,1.2129393,1.2198846,0.89333874,1.1854634,0.5465147,0.88671976,1.1955557,0.6614226,0.63514704,1.1929536,1.1035892,0.91196233,0.5215422,1.0614482,0.49675488,1.199519,1.257349,1.438238,1.1476678,0.6646445,1.2960162,1.3052433,0.9817949,1.0636523,1.2297338,0.70672596,0.9381563,0.4623565,0.5296784,0.72594404,1.4126519,1.411043,1.164003,0.9216704,0.7544128,1.1193452,1.4308171,0.95621216,1.1411276,0.7094538,1.4126112,0.86252666,1.1841356,0.8570061,1.4148471,0.0,0.91831213,1.0030626,1.2159913,1.364587,0.94615996,1.3485188,0.7650924,1.2770455,1.0091473,1.1143556,1.3313483,0.9853825,0.9756873,0.1476661,0.66071296,1.2844117,1.1210321,0.76384795,1.3451893,1.4083703,0.9534369,0.78283143,0.90655684,1.1286055,1.0501121
shoe,0.9755006,0.91498625,1.1350719,0.9260929,1.0255626,1.10356,1.0096066,0.91748714,1.1235,1.0039798,0.76832175,0.9324854,0.67700636,1.1194305,0.5438998,1.1374397,1.1889317,1.1551104,1.0380056,1.0867606,0.855802,1.0709472,1.0991457,1.0506309,0.98084825,0.95333695,1.0484782,1.0676321,0.95383584,1.28038,0.82857144,1.1708286,1.0271055,0.8817247,0.82015455,1.0687745,1.1131042,1.2084581,0.94086355,0.9567604,1.0996084,1.0602465,0.8313158,1.1608154,1.0572145,0.88595337,0.79689443,1.062614,0.73924303,1.0852895,0.9447423,1.2477077,0.9958036,0.4274131,1.0082252,1.063431,1.1141741,0.98217165,0.63632095,1.1139338,1.1718382,0.8119323,1.0218546,0.5949843,1.1093268,1.0408005,1.1990076,1.1835227,0.40702355,1.1221439,1.0356524,0.9995262,0.9299209,1.2616773,0.9869894,1.1907178,0.5375258,0.6189014,1.1999472,1.1062489,1.1941574,1.030281,0.51985174,1.0543311,1.0522501,1.2629597,1.1141648,0.95422614,0.7046532,1.1124324,1.070554,0.9727479,0.7269045,0.9708006,0.91831213,0.0,0.9053859,1.1355455,1.2937531,1.0236983,0.8138216,1.03154,1.2511792,0.3996575,0.9498669,1.2294623,1.0126642,1.0720398,0.8711218,1.2117547,1.22019,0.78304976,0.84250987,0.8909576,1.0687888,1.2283633,0.9606631,1.0692797,0.8674841,1.0114702
shorts,1.1889712,0.6317051,0.7994211,1.0554487,1.042302,1.0470963,1.1204733,1.0672438,1.0835259,1.2666495,0.76723653,1.1983389,0.9528962,0.90878284,0.97220784,1.1592506,1.2455095,0.9499752,0.8898714,1.0649571,0.726956,1.3010471,0.92173225,1.1014972,0.67710733,0.89372987,0.95082515,0.7455345,1.0162609,1.0549086,1.0308104,1.1840825,1.0046526,1.1313305,0.8414686,0.8179134,1.3255856,1.028451,1.095535,1.2633121,0.9160389,1.0037056,0.87531346,1.0191007,1.0667934,0.559636,1.007638,1.0909215,0.7924437,0.66563195,1.2514068,1.2587065,0.5878904,0.90543497,1.024602,1.0573086,0.7728392,0.85805017,0.70548475,0.94952077,1.1453328,1.0727348,0.9688167,1.0919302,0.9915411,1.0141069,0.8034955,1.1205564,1.0918295,1.2179887,0.66976666,1.0467345,0.78542084,0.99937123,1.1238658,0.97435105,0.9376291,0.7735237,1.3167706,0.76875514,0.9501767,0.95781434,0.64565635,1.1714375,1.1433916,1.1265724,1.0957059,0.9351881,1.1285285,0.98150754,1.1388819,1.0301058,0.9689541,1.1014916,1.0030626,0.9053859,0.0,1.3280921,0.95812386,0.9313297,0.6640965,1.1166952,0.93636364,0.85293967,0.8019304,1.1429396,1.0618031,1.3322675,1.033905,1.3211265,1.1997392,0.5039546,0.97453064,0.73130095,1.2346237,1.2911444,1.1963265,1.1948578,0.5261152,1.0459194
shovel,0.82577133,1.1293993,1.1072001,1.027275,0.95020825,0.9211814,0.8021732,0.9936455,1.0270418,1.1532288,1.1686141,0.92892975,1.21853,1.1444788,1.2431737,0.9715529,0.9031651,0.92260504,0.897593,0.965829,1.0051364,0.85147727,0.89870316,0.9567195,1.1498145,1.049409,0.90952367,1.2327412,1.1165607,0.7717698,1.2097657,0.7984954,1.0956588,1.2006171,0.8363221,0.9855841,1.02782,0.77160907,1.1983308,0.9889387,1.0880176,1.0591735,1.1921563,0.82556754,1.1024302,1.287519,0.8972004,0.9661959,1.0175499,0.97516423,0.92889893,0.71859837,1.2777967,1.213693,1.11556,0.8504474,1.2211313,1.1522243,1.281332,1.1323332,0.9129604,1.1188594,1.0048004,1.1416888,0.5503199,1.0153935,0.9109592,0.86778224,1.183778,0.76789653,1.110275,0.7215755,1.1084015,1.0289161,0.9848053,0.9762132,1.2500746,1.2241719,0.92390895,0.93442863,0.7619987,0.9595414,1.2793262,0.8953206,0.9613387,0.6373034,1.1137502,1.1136025,1.050589,0.9454454,1.0369846,0.9616474,1.121261,0.7180403,1.2159913,1.1355455,1.3280921,0.0,0.8765072,1.0758187,1.0742178,0.9569115,1.0076886,1.1355069,1.016634,0.38779593,0.9575843,0.96678966,1.1681864,0.8254044,0.64745784,1.2968597,1.0710732,0.9229239,0.93838495,0.6337683,1.0880017,0.9347382,1.3242035,1.1287842
