,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
radio,1.115147,1.1536276,1.1849959,1.1420381,0.9870895,1.0616499,1.0823176,0.70356756,0.9942126,0.9442473,0.99575126,1.0430744,1.1471703,1.0635397,1.0332515,0.9672393,0.91740024,0.7164332,0.7311863,0.89914364,1.0370896,0.98884827,0.67772555,1.0699646,0.89559627,0.82982993,1.0592335,1.0127254,0.85578084,0.75455415,0.9308114,0.97590154,0.9728682,0.93235713,1.1124358,1.0354555,0.9874456,1.1177036,1.1121066,0.8933316,0.72912073,1.1563523,0.9243612,1.0010892,0.99097854,0.879106,1.0332539,1.1025978,1.2560894,1.0235521,1.0350598,1.3293787,0.86265874,1.1858938,0.90146613,1.2654581,0.95248747,1.0588615,0.97607696,0.8486049,1.1063524,1.1214948,1.0823977,1.0820078,0.93260217,1.1732727,1.0419981,1.1343277,0.8456389,0.9981513,0.7872039,1.0395766,1.0219734,0.93644387,0.7879696,1.0980365,1.0253332,0.70862097,1.0747055,0.9128963,1.0208347,1.1619188,0.9688241,1.2444825,1.2411263,1.1085972,0.56727195,1.1408811,1.1266106,1.0922756,0.9988707,1.0685618,1.1436367,1.158356,1.112158,1.1423614,1.0956799,0.9073745,0.85071975,1.1223822,1.1274278,1.0746642,0.8198158,0.0,0.82720506,0.98509336,1.1157184,1.0879233,1.0412759,0.8025184,1.0527537,0.8362671,1.1141951,0.7412679,0.9398444,0.86952806,0.9814629,1.1084288,0.93521416,1.0017103,0.95671284,0.76933235,0.76497734,1.1371628,1.0017015,1.040125,0.9709564,0.72052383,0.9500534,1.2454449,0.9941991,1.0983878,1.025235,0.78105426,0.9966825,0.81695175,1.16201,0.9223117
refrigerator,1.226578,1.2102787,1.4270642,0.97284126,1.2894903,1.0029978,1.3137621,0.8650266,0.7408522,0.67587805,1.2814329,0.82145596,0.8656987,1.2693946,0.8158599,0.9374689,0.7298384,1.0463526,1.1578956,0.6582744,1.3100728,0.97106576,0.9142051,1.294045,1.16656,0.98570365,1.0466644,1.0379534,0.65047556,1.0741311,0.5784563,0.90020293,1.0778388,0.9459761,1.3322775,1.2808282,0.7049278,1.2357831,1.3407936,0.57154584,1.0766462,1.2872959,0.7768958,0.85059106,0.8818717,0.63577604,0.9011621,0.90465,1.4330785,0.7572789,0.9249729,1.2920356,0.62492067,1.1954103,1.0287089,1.3152124,1.3458159,1.1940306,0.8010019,0.693869,1.390963,0.92588663,1.2313695,0.9286388,1.0701683,0.9664375,1.3813035,1.004713,0.8494834,0.7959652,0.67313236,0.8511763,1.3624736,0.69094276,1.060005,1.1249481,1.2101727,0.7910832,0.88528913,0.77122426,1.1876656,1.3637391,1.0062417,1.2600667,1.1617962,1.2366083,0.57863903,1.0780352,0.8764563,0.8276306,0.8114026,1.322495,1.2622819,1.3938448,1.0854709,1.2475268,0.98341143,0.768239,1.1208458,1.0008997,1.398834,0.976162,0.9483947,0.82720506,0.0,0.96849936,1.0056243,1.3505648,0.9623136,0.96536356,0.83264583,1.1017771,0.9530453,0.98834753,0.5071472,1.0316241,0.6972163,1.4727764,1.1438906,0.87538683,0.9958983,1.2787869,1.0904577,1.4034865,0.8448457,0.7870021,0.59318566,1.2164695,0.9301305,1.3899912,1.2604442,0.9759853,1.1464545,0.961619,0.6967741,0.7610174,1.4147313,0.70758605
rock,1.033753,1.0482618,1.0804212,0.9465132,0.91495794,0.9346963,1.1356394,1.0326155,0.85060906,0.8885625,0.9727238,0.98498493,0.99451816,1.0394062,1.013042,0.87126005,1.0751475,1.0536615,0.99519557,1.0666403,1.00726,1.1184313,1.0401562,1.0465091,1.1006702,1.0315644,1.0588157,0.82341325,1.0974988,1.0459816,1.0669503,0.9666389,0.88364255,0.999807,0.9918801,0.99508566,1.0146848,1.0505339,1.0460036,0.9547449,1.0338945,1.0113896,0.9054562,1.0222381,1.159194,1.0752811,1.1646427,0.96312046,1.0472997,1.1009016,0.9574415,1.0904604,1.0715815,1.0639802,1.0950364,1.0781059,1.0483639,1.0619196,0.8087504,1.0251857,1.049494,1.0919191,1.0634403,1.0543281,1.0284919,1.0722805,1.0845252,1.07903,0.77746785,0.92026377,1.0910838,0.9739216,1.0208695,1.0095645,0.97323996,1.0323083,1.0266762,1.0827055,1.0242006,1.0985537,1.0269696,1.0344268,1.1720152,1.1178048,1.017867,0.9802488,1.0625029,0.64116013,0.91847795,1.0007267,1.1274525,1.0306911,1.0741947,1.1418681,1.0822309,1.1340816,0.75455093,1.1009727,1.0355331,1.0848324,1.0150472,0.9157271,1.1535984,0.98509336,0.96849936,0.0,1.113726,1.0352842,1.0675926,1.0500358,1.0090272,1.1263118,0.8947493,1.0075669,1.1150115,1.0299165,0.89587414,1.0801697,1.0380849,1.1078801,1.0038388,1.0210011,0.96301395,1.0942465,1.2597911,1.007699,0.9333479,0.9626642,0.9780561,1.0855567,1.0543121,1.0852162,1.143152,1.0781454,0.93649125,1.1332614,1.0287235,0.98619187
rooster,1.0033598,1.1393718,1.1514664,1.1382847,1.0586108,0.88493216,1.1587783,1.1583391,1.0233316,1.000795,1.192388,0.9780935,1.0537446,1.0456629,1.037246,0.87649035,1.0051496,1.1199342,1.1284597,1.0454503,1.134158,1.1473078,1.0564369,1.0473958,1.2381368,0.8340907,1.0717514,1.0387082,1.0917575,1.0173852,1.085132,0.9245999,1.1340188,1.0512829,1.1790057,1.1571782,0.99321836,1.2013472,1.2342665,0.9977766,1.1172065,1.1168252,0.99630123,0.54545796,0.76239854,1.0436263,1.153411,0.9926497,1.1206138,0.9638537,1.0326157,1.1456621,0.85659456,0.96355295,0.9766438,1.2094642,1.2422614,0.98804075,1.026684,0.9684289,1.2289602,0.9960323,1.1296701,1.007772,0.92945737,1.0012449,1.1884193,0.012071729,1.0513395,1.0920521,0.9110459,1.101773,1.2390668,1.0425879,1.0502622,0.9084857,1.0994468,0.98191816,0.95748675,0.84677625,0.97406125,1.1875986,1.0233141,1.1501807,1.0411704,1.0475129,1.0159885,1.1027664,1.0327998,1.1324351,1.0439906,1.172569,1.1803726,1.1921533,0.20497519,1.1107831,1.0852879,0.86842805,1.1257932,0.009765863,1.1337199,0.9787404,1.1587874,1.1157184,1.0056243,1.113726,0.0,1.145726,0.95253557,1.0464079,0.97516334,1.0461214,1.1849766,0.97626096,0.9813459,1.0548027,1.058652,1.2427492,1.1545589,1.0466508,0.9130282,1.1698186,0.98415405,1.1319907,0.8709826,1.0259999,1.0286193,1.0892773,0.9344336,1.1533195,1.1840845,1.0969197,1.1929823,0.9931298,1.0004765,1.1355047,1.2233682,1.0461597
sauce,0.6488958,1.0112906,0.64629686,1.2071521,0.80009776,1.1305892,0.73706836,0.7833612,1.2672412,1.3344448,0.52384967,1.0417539,1.4736097,0.6199203,1.2918148,1.2172682,1.0064305,0.7514744,0.6135447,1.0946963,0.5854038,0.8288019,0.9785153,0.5672712,0.503226,0.93031174,0.95657295,1.0125511,1.0901601,0.80186826,1.3250672,1.3092952,0.70543337,1.1905444,0.4465049,0.775919,1.3396474,0.6821108,0.4185574,1.3830376,0.7153081,0.8560693,1.0957656,1.3362646,1.1664771,1.1601292,0.9346848,1.270148,0.7821657,1.4143783,1.302716,0.9665784,1.3114458,0.8781635,0.78248894,0.8941871,0.4669255,0.7299801,1.2285151,1.411315,0.50777,1.3678396,0.61937207,1.326919,0.7106749,1.3682818,0.60891235,1.1426778,1.2342223,1.3158319,1.1777673,1.294565,0.38131082,1.1580305,0.97791123,0.58111745,0.92990386,1.2538521,1.3907014,1.2894456,0.8935013,0.6005125,1.0065758,0.90185696,1.2502017,1.0159031,1.045897,1.097839,1.3673923,1.3208842,1.1488796,0.459045,0.56760246,0.4741388,1.1373787,0.5101568,1.1920887,1.1449504,0.62221515,1.1318212,0.5119913,1.2280191,0.8766244,1.0879233,1.3505648,1.0352842,1.145726,0.0,1.3128326,0.919382,1.4615344,1.0955353,1.1308558,0.8244036,1.4113832,0.62317383,1.2705936,0.52487266,0.7157117,1.0808932,1.208079,0.5406394,0.84386116,0.51794225,1.1132764,1.4358952,1.4218673,0.78751594,0.8105056,0.816921,0.63417506,1.073268,0.6766749,0.88410896,1.1326379,0.8547523,0.6665725,1.0203327
scarf,1.2247988,0.9019101,1.2639277,0.8048328,1.1550269,1.0659258,1.2193172,1.1028866,1.0114328,0.84055996,1.1210867,0.945655,0.53872156,1.2278382,0.60317904,0.95559454,1.1203241,1.1877614,1.335893,1.0942194,1.080954,0.9830561,1.0830787,1.2801405,1.1624169,1.1366359,1.161184,0.98075163,0.97521734,1.0822377,0.9466588,0.72620076,1.1990674,0.9846029,1.2427492,0.9635033,0.7985312,1.079159,1.3110129,0.8779442,1.2768707,1.0802692,1.0613503,0.8670304,0.80847317,0.88195175,1.1021403,0.5899627,1.1124736,0.6265082,0.96957785,1.0220551,0.94798625,1.1340466,1.0908095,1.0679475,1.2275033,1.2719069,0.7079002,0.97462136,1.2558215,0.789552,1.2924467,0.84148383,1.1029061,0.8633841,1.2431892,0.96410036,0.8822191,0.9814909,0.962063,0.7753807,1.2936827,0.92930627,1.11162,1.1790806,1.1577728,0.93202585,0.7884959,0.9630252,1.023527,1.2264739,0.9567973,0.9556378,0.916989,1.1106446,1.0459642,0.89466894,0.5325514,0.74255455,0.9659988,1.2753577,1.2382631,1.3408116,0.9676744,1.1613418,0.89552015,0.9921484,1.2953207,0.9614333,1.2295887,0.6875001,0.89592606,1.0412759,0.9623136,1.0675926,0.95253557,1.3128326,0.0,1.1005828,0.7680832,0.8389492,0.93346846,1.1134065,0.8766282,1.304836,0.91131556,1.2262303,1.2593629,0.8202084,0.9578252,1.2721233,1.0319494,1.1876873,0.91784877,0.74424744,0.97020435,1.2595413,0.9014477,1.1252189,1.0686127,1.0341184,1.0206641,1.1683973,1.0744305,0.992106,1.1457602,0.99676913
scissors,0.9889637,1.0787271,1.0778071,1.2179397,0.87295866,0.96046585,0.8529384,0.88035214,0.8753365,1.0979275,1.0071229,1.0815408,1.1927457,0.9498253,1.111049,1.027998,0.6405755,0.90195286,0.6956811,0.7555895,0.91714084,0.9276191,0.93025804,0.8975225,1.1185968,0.90771717,1.1422846,1.3653618,1.135089,0.83606446,1.2177223,1.1443952,1.0919406,1.0279479,0.9831177,0.9285396,1.2276286,1.0760262,0.7276288,1.0198238,0.8887846,1.1380639,0.72977084,1.1627872,0.91773194,1.131608,0.9395582,1.1645249,1.1175637,1.2746683,1.0950562,1.1340195,1.1175665,1.1436862,0.9480488,1.0741563,0.8077315,0.80781114,1.215848,1.1302155,1.0417311,1.0155244,0.6744915,1.249339,0.8242718,1.0984995,0.9294898,1.039825,0.91002595,1.1836125,1.084887,1.3597035,0.68213296,1.0130448,0.93628204,0.99135685,0.7517576,0.98761225,1.0516886,1.1148784,1.0438347,1.066006,0.80054826,1.0775964,1.1492519,0.89424574,0.98537976,1.159698,1.196388,1.3728123,0.72141635,0.70182997,0.6016177,1.017495,1.0046957,0.96709377,0.9736798,1.1165787,0.56213236,1.0239141,1.1314589,1.1656243,0.88990873,0.8025184,0.96536356,1.0500358,1.0464079,0.919382,1.1005828,0.0,1.2875526,0.7867761,1.1292351,0.5542683,1.0637035,0.92856,0.9437978,0.91971993,1.0006945,1.0299335,1.0350242,0.4581982,0.7012974,1.0617343,1.1591929,1.2985255,0.9275078,0.56192607,1.0065047,1.0821673,0.9519118,0.6542387,0.9452828,0.53713995,0.7993474,0.95350873,1.0357268,1.0983433
shirt,1.1815895,1.0490775,1.3351752,0.604841,1.3263595,0.9995841,1.2584854,1.3746603,0.76257384,0.6424498,1.3439686,0.86549467,0.41913003,1.1973481,0.6744147,0.8322463,1.2099872,1.4174662,1.5097387,1.0775865,1.4001224,1.2281724,1.2532084,1.2640002,1.428246,1.270093,0.9113612,0.8016568,0.88201886,1.247205,0.6525217,0.6913989,1.2065372,0.68280524,1.4065539,1.2637612,0.50861526,1.2958232,1.5198333,0.7133042,1.4375887,1.1230211,1.0093611,0.71968246,1.0506597,0.9258741,1.0869759,0.51308995,1.2483895,0.5229582,0.60541964,1.0614995,0.717294,1.0392419,1.3848927,1.0143367,1.5065935,1.2311066,0.7019045,0.77843076,1.3546154,0.7286607,1.4503427,0.48785436,1.3251315,0.71094805,1.3003404,0.9602989,0.8194648,0.3423754,1.0214288,0.34298158,1.4630005,0.927917,1.1253605,1.2895672,1.2691541,0.99548495,0.6515901,0.7467945,1.3590238,1.3130512,1.1918826,1.0138085,0.87406313,1.1368629,0.98270154,0.8784676,0.43839025,0.31446707,0.8902491,1.4740695,1.405957,1.3587275,0.99661815,1.4416034,0.9269944,0.9949017,1.5161607,0.9809723,1.3675222,0.82798564,1.1137862,1.0527537,0.83264583,1.0090272,0.97516334,1.4615344,0.7680832,1.2875526,0.0,1.0375208,0.6260998,1.1875842,0.6682662,1.3164291,0.70187354,1.4041045,1.2844806,0.89780104,1.0678934,1.5164526,1.3069649,1.3348675,0.9846008,0.1297735,0.6245444,1.3261061,1.1913587,1.1571019,1.3615745,1.1253406,1.3765,1.3806853,1.0224919,1.1929344,1.2610126,1.0114971
shoe,1.0142168,0.70919394,1.1303563,1.0303267,0.95518017,1.0935655,0.96122706,0.93251634,1.1145685,1.0610862,0.9863688,0.88854504,0.86691666,1.0205415,0.7819972,0.83843464,1.0117337,1.1672406,1.0604752,1.0628275,0.86739165,0.9390219,1.0925069,1.0373294,1.0311781,1.0344999,0.9734879,1.1037966,0.92836547,0.9993043,1.0526652,1.076827,0.91551393,0.84084225,0.9486151,0.79217863,0.96767557,0.89365184,1.1335409,1.0884707,1.1793661,0.91455305,1.0421872,1.0143632,1.0024779,1.0095977,0.7328577,1.0446906,1.051204,0.9593295,1.0702642,0.9559169,1.117185,0.96042526,1.1296718,0.92715895,0.9833647,0.932331,1.1517316,1.0112802,1.1352462,0.834077,1.0194128,1.055295,1.019976,0.9402079,0.9510453,1.0632398,0.961818,1.0902706,0.9854139,0.98901856,1.0584972,0.97982895,0.9706679,1.0575073,0.8885504,1.0341274,0.835194,1.0203223,1.0565084,1.2211165,0.94771063,0.9561766,0.9896359,0.94171345,1.0349162,1.0585834,1.0213963,0.9288444,0.9824275,1.1437402,1.0635911,1.0181036,1.067471,0.85181534,1.0295279,1.0403786,0.977991,1.0601121,1.1758442,0.901702,0.724404,0.8362671,1.1017771,1.1263118,1.0461214,1.0955353,0.8389492,0.7867761,1.0375208,0.0,1.0284504,0.93707734,1.0262003,1.1613883,1.0160424,0.7964434,1.2389499,0.8826649,1.0385089,0.9100241,0.95351815,1.15115,0.9073815,1.0593903,1.1327833,0.81018704,1.0462862,0.97724444,0.8736721,0.998431,0.90561795,1.0020945,1.1018529,0.8636221,1.1079077,1.1694418
shorts,0.9704415,0.94816524,1.1021047,0.8059874,1.1136496,1.0596783,0.98748326,1.1860461,0.96183366,0.8954888,0.99367857,0.944195,0.7809102,0.9159672,0.8691976,0.9134735,1.0852019,1.2595747,1.2337584,1.0331109,1.1594605,0.9572524,1.1989008,1.0111223,1.0823746,1.1865133,0.8845187,0.8364881,0.9159694,1.2218184,0.96372795,0.93916774,1.0423706,0.96842515,1.1417278,1.0868471,0.8151279,0.9976475,1.0925002,0.96325034,1.2398822,1.092818,1.0411938,0.9691368,1.0743268,1.0980653,0.9481722,0.7994544,0.99319416,0.81160015,0.92681473,0.85004693,1.0744027,1.0022653,1.2489537,0.78828675,1.2328713,0.98905575,0.9573887,1.1490998,1.0252607,0.8846092,1.2200861,0.92471814,1.2145631,0.89261794,1.0364558,1.1537381,0.9457793,0.6439972,1.1020467,0.5005396,1.1045955,1.0039388,1.1706192,1.1589847,1.0621203,1.1801866,0.87702763,1.0877419,1.1948724,1.0865823,1.1527094,0.9460403,0.92114353,1.1547474,1.0069271,0.85857856,0.78552836,0.36106265,1.0165306,1.1262615,1.1060141,1.0609266,1.0588468,1.0846429,1.0181255,1.1399845,1.2202928,1.1720247,1.0678041,0.96260643,1.0031078,1.1141951,0.9530453,0.8947493,1.1849766,1.1308558,0.93346846,1.1292351,0.6260998,1.0284504,0.0,1.0983601,1.0100652,1.1411481,0.91726387,1.0638053,1.1526688,0.95721126,1.1598967,1.1703944,1.1606009,1.0818737,1.0761164,0.7037114,1.0047653,1.0845983,1.1916137,0.92507786,1.1681248,0.9994501,1.0887624,1.2031476,1.094863,0.94787914,0.9793592,1.0572524
