,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.98119926,1.0880053,1.0935135,1.1455556,1.0824406,1.0905358,0.89043874,1.1457022,1.0983636,1.0602367,0.9128545,1.0865663,1.1254538,0.29558283,1.0204134,1.1083585,1.0449424,1.0794688,1.108058,1.1012949,0.95573777,1.0990944,1.1790645,0.3687502,1.0759106,1.0724999,0.95352495,0.68833244,1.16399,1.1646258,1.1740779,0.94753206,0.86193705,1.0604708,1.0770777,1.0533326,1.0643399,1.0786457,0.9151083,1.1055659,1.1471748,1.0895591,0.78298163,1.0089656,1.1469758,1.0251399,1.1040211,1.069142,0.94848686,1.0608878,1.1270763,1.0916358,0.5260771,1.0434601,1.0395705,0.9557231,0.1259054,1.1471744,0.99956214,0.83667314,1.0729226,0.89035493,1.0859618,0.87255347,1.1304812,0.9705216,0.91386104,1.0305421,0.96589637,1.2246231,0.9487276,0.9558274,1.1357052,1.1480106,1.0507776,0.8904813,0.51537895,1.1610006,0.6374384,0.9011673,0.8316478,1.0051272,1.0177052,1.0068289,0.9280779,1.0127765,1.0188665,1.0347881,1.1867894,0.98368084,1.1248807,1.0129985,0.96934545,0.9910414,0.94924957,0.9721376,0.98691875,0.8557363,0.8774537,0.8997453,0.96468663,0.99150175,0.91620564,0.9399044,0.9971086,1.051773,1.1720159,0.90071416,1.1083995,0.85472184,0.83188677,1.1311373,0.80595696,1.1130588,1.0832787,0.9872793,0.99279755,1.1456337,1.0024443,1.1079004,0.8906295,1.0614498,1.0017911,1.039039,1.0653498,0.9265542,0.9577264,0.9776003,1.107261,0.90921414,1.1445493,1.1214364,1.1062474,1.0583168,0.9859858,0.9936587,0.91445833,0.7821071,1.1606383,1.0929391,1.1025703,1.1037318,1.0785908,1.1067322
ankle,0.98119926,0.0,0.80065167,1.2475022,1.200936,0.819146,0.9396912,0.90014184,1.1520127,1.3722105,1.414186,0.3922022,1.3947011,1.3741412,0.7330297,1.4304953,1.2784991,1.1023712,0.64014316,0.78923416,1.3381407,0.8611686,1.058547,1.0190622,0.60470796,0.62094975,1.0292348,1.0009878,1.0029196,1.2261151,1.0195807,1.3596613,1.3173286,0.51333123,1.0747844,1.0722185,1.1725441,1.3917477,1.2817824,0.44938982,1.4185443,0.78369224,1.1790533,1.3424262,1.1878088,1.2770556,0.96867436,1.4003608,0.9021646,0.47805178,1.0358272,0.49661875,0.99075866,0.66192937,1.2831994,1.0263264,0.75553334,0.8048998,1.3481307,0.18042743,0.68841636,1.1661237,0.76124084,1.2075802,0.76213473,0.9341661,0.47354233,1.1369741,1.3626962,1.2300205,1.2878253,1.0829314,0.6449541,1.223182,1.1223027,0.43420362,1.1010357,1.1805019,1.2253555,1.3706248,0.8599212,1.27847,0.77970695,0.9608212,0.3581518,0.94527054,0.6007227,0.4598356,0.6227457,1.2989721,0.7965611,1.4050056,1.1363609,1.0036415,1.155508,0.5723219,0.6721836,0.6567381,1.2733169,0.5194913,1.1623011,1.2893951,0.8704907,1.1920185,0.5287801,0.6617602,1.1236184,1.08616,0.7448952,1.3927783,1.2330456,0.76136804,1.1284786,0.68170506,1.2666099,1.2217393,1.0260886,0.96033514,1.2256011,0.77292484,1.3161017,0.26827854,1.3604131,0.5322454,1.2667283,1.1963695,0.6859456,1.014877,1.2728183,0.7327701,1.4117646,1.4162521,1.497761,0.8943598,0.3240621,0.62925607,1.0992461,0.97580063,0.8948637,1.3128576,1.2146888,1.0990999,1.054212,0.32828063,1.247443
apple,1.0880053,0.80065167,0.0,1.1344578,1.3345678,0.29454017,0.22834754,0.637624,1.0487393,1.3937485,1.4203607,0.7083677,1.4757311,1.3682642,0.8777517,1.4465084,1.2292435,0.9453975,0.57336247,0.6921306,1.2460526,0.8227955,1.1461513,0.7701795,0.7984245,0.8146261,0.9062177,1.0649315,1.2477208,1.3185902,0.7134224,1.3005574,1.2370609,0.9078888,1.0592313,0.9362211,1.001202,1.4347501,1.3510181,0.5888895,1.41296,0.6636613,0.99791026,1.1812872,0.75243634,1.1569457,1.0648321,1.2868265,1.1402907,0.6483018,1.2077731,0.86461914,1.0074205,0.78196526,0.71509314,1.1387181,0.75664914,0.897023,1.0276505,0.7399372,0.8569223,1.1889255,0.52128565,1.3002706,1.0124367,1.2101417,0.6093792,1.0380063,1.2155554,1.210623,0.7715748,1.3951821,0.66907686,1.2851548,0.9504079,1.0232412,1.2357168,1.0778849,1.1205379,1.3343794,1.1754973,1.1819725,0.8842209,0.89958256,0.62382877,1.0051929,0.6946883,1.0848355,0.35722083,1.2589004,0.65268546,1.3145057,1.3851236,1.0713769,1.01741,0.6320968,0.6588786,1.0070548,1.1821892,0.84633666,1.0165527,1.0248591,0.8326868,1.0643361,0.7231091,0.50919443,0.91760796,0.9405109,0.56903094,1.2625248,1.0600039,0.6075633,1.2224507,0.6307513,1.3961248,1.2451442,1.3342297,0.8529291,1.2941489,0.8705623,1.2811693,0.64698756,1.2256453,0.65589875,1.2515392,1.185159,0.6589582,1.0880724,1.2115747,0.55032253,1.1932566,1.3690606,1.3670067,0.603972,0.7486271,1.0770569,1.1024853,1.0333378,0.5233394,1.1409969,0.9081165,0.9994688,1.0331203,0.67711914,1.239635
applesauce,1.0935135,1.2475022,1.1344578,0.0,0.87385553,1.001834,0.9876154,1.0867903,1.1166723,0.87578917,0.90836656,1.3274852,1.0040514,0.8009616,1.2289178,0.8898683,0.7979816,1.0543269,1.1884198,1.1333112,0.93129957,1.0329568,1.1565137,1.0267919,1.2372072,1.273931,1.0745032,0.9908614,1.1407373,1.0725064,1.0754542,0.99964195,0.9036968,1.1832001,1.0015185,0.9802789,0.92181367,0.9443033,0.7804419,1.2694229,0.975821,1.060005,0.8764614,0.97084796,1.0333645,1.0633368,1.118772,0.8666697,0.9594687,1.1756673,0.8582093,0.99980205,0.862804,1.1450208,0.91014856,0.93984354,1.175878,1.1595294,0.74835265,1.2415224,1.1213338,1.0521013,1.0485504,0.8259349,0.90675414,0.7834892,1.2713417,0.96870834,0.8953813,0.9802002,0.86567605,0.88142765,1.2322385,1.0067759,1.0409051,1.0517825,0.9455896,0.96258765,0.9168862,0.8281094,1.1166668,0.8486159,1.0078391,0.9834867,1.215277,1.1780076,1.197973,1.0613245,1.0282671,0.95707417,1.1932282,0.89678,0.9390833,1.0365543,0.9066079,1.2516162,1.2188326,0.9246995,0.9193925,1.2623912,0.7950753,0.94824153,1.0433712,1.0287691,1.1481202,1.0738143,1.1037647,1.1325544,1.1962337,0.82209784,0.9866662,1.2068512,0.9283476,1.1992104,0.8280076,0.9363438,0.977074,1.1412385,1.0438027,1.2603939,0.9415598,1.3153055,0.99417824,1.2468697,0.8167666,0.8017436,1.1869879,1.0385084,0.94182986,1.1188056,0.91415787,0.8358066,0.75243497,1.1124003,1.0835087,0.96982414,0.9107861,1.2066543,1.1280892,0.78393763,0.9370793,1.0801638,1.1790516,1.2384505,1.0546147
arm,1.1455556,1.200936,1.3345678,0.87385553,0.0,1.25792,1.272548,1.3570954,1.245663,0.60081863,0.6781438,1.2681671,0.6922617,0.6444867,1.2427844,0.6972911,0.7686091,1.2544546,1.3697209,1.3354659,0.99661857,1.2301269,1.0625823,1.3070371,1.3369153,1.333564,1.0958574,0.8940701,0.8944092,0.94197905,1.262193,0.97638553,0.87637776,1.2059624,0.8784806,1.2190859,1.1007711,0.6321898,0.51318234,1.3630035,0.851623,1.3518697,0.95225495,0.9373978,1.2373086,1.0799514,1.2117345,0.7250277,0.8659334,1.1800776,0.7444122,0.8856681,0.93192506,1.3345534,1.0738193,0.81904525,1.2819768,1.2937515,0.9284727,1.218969,1.126649,0.8569768,1.3331549,0.6721403,1.043594,0.4987725,1.3585765,1.0171657,0.7741332,0.9111265,1.0989506,0.51861113,1.2956104,0.94045454,1.0046626,0.97918975,0.9484823,1.0715861,0.9719944,0.7904757,1.0523274,0.94430023,1.1124794,1.0791048,1.2211795,1.207632,1.2579129,0.86064327,1.2076856,0.88846916,1.3291012,0.6597923,0.61722505,1.097032,1.1036507,1.2883208,1.2431381,1.0402597,0.8735113,1.2325425,1.1180362,0.9496423,1.3117288,1.0774974,1.0672835,1.1714889,1.2110404,1.1185328,1.3822274,0.856304,1.0238036,1.2549481,0.8332305,1.3378878,0.4577508,0.8702098,0.6575798,1.2307483,0.75061285,1.2238183,0.6485851,1.3459606,0.8305448,1.2917199,0.67222327,0.8722279,1.3146405,0.9848314,0.7072106,1.2138165,1.0429674,0.6206491,0.641914,1.2872847,1.0363029,0.9302114,0.84304357,1.2019838,1.4854025,1.051642,0.89087194,1.0639225,1.1390369,1.2099974,0.8275243
ball,1.0824406,0.819146,0.29454017,1.001834,1.25792,0.0,0.12101823,0.822727,1.1817589,1.3471961,1.3808192,0.78047246,1.4443309,1.3005359,0.92143315,1.3517933,1.1590545,1.0078802,0.6362367,0.6423997,1.2947206,0.7916572,1.2681212,0.78816414,0.8520906,0.91217595,0.9434999,0.9945745,1.2229558,1.4051484,0.63572913,1.2812786,1.2546283,0.87315047,1.1152914,0.85887945,0.9237808,1.3774301,1.2384785,0.6806878,1.4427214,0.66097355,0.6895496,1.1993232,0.9714049,1.2351888,1.1586835,1.2745326,1.1017483,0.52407825,1.1688976,0.8703296,1.086745,0.72273153,0.92821056,1.234822,0.91689503,0.8993694,1.0112289,0.8079091,0.78872955,1.1039194,0.5532591,1.2824352,1.0013381,1.1535857,0.72684246,1.0392503,1.2159977,1.2794185,0.6469676,1.3252313,0.84010684,1.3349192,0.80780286,1.067267,1.1349719,0.96966994,1.0810754,1.189163,1.2318664,1.1554315,1.0177336,0.7886646,0.61473465,0.92454875,0.84490645,1.0475955,0.2773981,1.2964488,0.75559574,1.2714459,1.3484635,0.99053234,0.9442693,0.7572185,0.78853667,0.9240743,1.1673666,0.9545147,0.943035,1.1128628,0.77208704,1.0903533,0.5712809,0.4623022,1.1291859,1.0434622,0.6003447,1.2865684,1.0717015,0.77889013,1.2460954,0.83133554,1.3376389,1.253058,1.2962186,0.9300435,1.2719042,0.97183114,1.2644187,0.7566084,1.2022593,0.63211536,1.146029,1.0960095,0.79174894,1.10917,1.1157302,0.7009647,1.2189766,1.3451464,1.2561985,0.6297416,0.8268645,1.0259387,1.0342714,0.9952041,0.6312981,1.0960335,0.99741703,1.093937,1.2326175,0.71025336,1.2015316
balloon,1.0905358,0.9396912,0.22834754,0.9876154,1.272548,0.12101823,0.0,0.7756034,1.1240579,1.2866929,1.3802897,0.8216748,1.4125625,1.2758265,0.97813797,1.3458056,1.1194379,0.9481398,0.68878883,0.6474699,1.2055863,0.85671264,1.2240824,0.7210176,0.9154892,0.92395735,0.9208845,0.98735744,1.2343785,1.3477869,0.6403153,1.2646291,1.221047,0.9369794,1.0789413,0.86082196,0.842275,1.3848727,1.2514031,0.75899994,1.3998274,0.6703344,0.7206337,1.1852789,0.8972169,1.1768036,1.1335881,1.2473581,1.0856491,0.70478964,1.2163244,0.9058956,1.0771247,0.7737256,0.8168046,1.1787972,0.91623765,0.9065414,0.9352008,0.93001854,0.8338824,1.1187099,0.52567714,1.2595094,1.0704176,1.1335171,0.7575164,0.996074,1.1439284,1.1930597,0.56568384,1.3420184,0.85487574,1.2819765,0.8101259,1.0990083,1.1501138,0.9535166,1.033141,1.1556324,1.2591841,1.1613349,1.0227917,0.77198255,0.74278647,0.94980866,0.8243793,1.1277455,0.40346152,1.231471,0.75977385,1.2257948,1.3730555,1.0007566,0.9780255,0.8045291,0.8168702,0.93411005,1.1451973,0.9524794,0.97384757,1.0008296,0.7998296,1.043766,0.7855015,0.5653615,1.0576231,0.9931515,0.674981,1.2245817,1.0199654,0.7183473,1.2278539,0.8047968,1.3363523,1.1942225,1.3383385,0.87130535,1.2661077,0.9497692,1.2481232,0.8562622,1.2161155,0.74832034,1.1332316,1.0388573,0.8383751,1.064881,1.0978682,0.64820457,1.1552396,1.2999575,1.2363585,0.6174315,0.9140748,1.0855703,0.96229666,1.0148369,0.6459403,1.0612782,0.98886085,1.029761,1.2076986,0.84554064,1.185965
banana,0.89043874,0.90014184,0.637624,1.0867903,1.3570954,0.822727,0.7756034,0.0,0.86805487,1.372736,1.3709042,0.8100959,1.4302084,1.2792883,0.82061243,1.3258656,1.1803892,0.82752985,0.65148914,0.62210536,1.1728237,0.46748966,1.0492657,0.7776853,0.7603089,0.7845834,0.92379236,0.9718643,1.2367593,1.254011,0.80203414,1.2337099,1.2391586,0.95914197,1.00405,0.5432098,0.5560732,1.4871374,1.1936638,0.6380992,1.3466722,0.73647076,1.0655329,1.1845243,0.88094205,1.1572013,1.0161121,1.3007311,1.2302377,0.7286253,1.3121886,1.1064752,1.1902937,0.6885264,0.7434255,1.1214378,0.5723671,0.763132,1.1193291,0.8935036,0.7133721,1.205945,0.6993967,1.3603332,0.72886044,1.2731724,0.7586724,1.1575155,1.26296,1.2003169,0.9272259,1.4290061,0.629176,1.200565,1.0566393,1.0504723,1.09591,0.7481307,0.9777678,1.104943,1.0786796,1.1872103,0.9535237,0.6340572,0.86005783,0.79596066,0.84973603,1.2707865,0.7429203,1.1547201,0.62772715,1.324995,1.4076426,1.017946,0.6320369,0.7233807,0.7603017,0.9005264,1.2613077,0.9971638,0.7101554,1.0038738,0.5104411,1.0994887,0.76187587,0.7923204,0.78783506,0.9669721,0.6067171,1.2511458,1.133356,0.54038906,1.1057885,0.7050558,1.4752669,1.2010217,1.3552916,0.5866684,1.333429,0.860127,1.3137037,0.7278853,1.2288437,0.6840302,1.2863705,0.9163916,0.5497835,1.0848372,1.1168096,0.76576686,1.1987909,1.4132214,1.2757988,0.75839376,0.9588371,1.0875252,1.1113886,0.8342426,0.5759984,0.92914456,1.1534177,1.0287305,0.94768,0.85267496,1.2862169
basket,1.1457022,1.1520127,1.0487393,1.1166723,1.245663,1.1817589,1.1240579,0.86805487,0.0,0.8841667,0.8465847,0.9818648,0.79987633,1.0075725,1.0983925,0.844351,1.0916963,0.5377486,0.8970326,0.59479004,0.4743541,1.0170946,0.7836564,0.5448113,1.0828873,0.6720409,0.9333158,1.1234412,1.0572673,0.5485814,0.8394096,0.83770645,1.0854166,0.97249484,0.8110782,0.8818561,0.98138016,0.9653981,1.0638279,1.0177824,0.6012521,0.75543034,1.1411583,1.0163078,0.845642,0.8117149,0.5976431,1.100759,1.2430681,1.1583285,1.2685018,1.3102539,1.1355615,1.1437217,0.9141057,0.87113714,0.8111352,1.12057,0.93523806,1.171122,1.0106205,1.1352727,1.0577838,1.2276042,1.1060578,1.2816235,0.89180166,1.1728101,0.91169477,0.88971466,0.8181701,1.2412455,0.93104976,0.6316986,0.9832506,1.2184947,1.1504338,1.0494181,0.7933854,1.0471383,0.98288226,1.0521519,1.1674803,1.0170591,1.2396066,0.63744783,1.0291843,1.3568058,1.2364801,0.7608067,1.0317701,1.028748,1.1880636,0.7756266,0.9970725,1.0272242,1.0167041,1.1945901,1.0814433,0.80133885,1.113835,0.97342175,0.8609482,1.0326254,1.174886,1.2069583,0.5225479,0.586198,0.98243207,0.9320208,1.1141981,0.9129061,0.8562179,0.9540458,1.2103664,0.7817124,1.1897445,0.84368944,0.92888737,0.7673952,1.0603368,0.95526314,0.93663955,1.0344521,1.0541595,1.0435163,0.92101616,1.074613,1.2172801,0.9800632,0.8225619,1.063803,0.97936916,0.78045964,1.2454425,1.267441,1.093639,0.60522604,0.86430657,0.6935649,1.0598153,0.8200594,0.79369307,1.1377692,0.97656596
bathtub,1.0983636,1.3722105,1.3937485,0.87578917,0.60081863,1.3471961,1.2866929,1.372736,0.8841667,0.0,0.39839262,1.323998,0.37589526,0.74343854,1.3017198,0.48747265,0.5000895,0.98582554,1.3543228,1.0924778,0.60178626,1.3468952,0.8949939,1.0977411,1.367121,1.1902648,1.0056953,0.9572792,0.8364902,0.66580135,1.1581515,0.73645395,0.8287106,1.1838597,0.8252695,1.1844457,1.015717,0.517564,0.88626254,1.3900322,0.48275554,1.2474247,0.88701355,0.95911163,1.2048013,0.81105053,0.92903614,0.7278992,1.044136,1.3957658,0.8796981,1.288858,0.98182243,1.3472466,0.9828635,1.0945413,1.3325402,1.2573862,0.6851882,1.396357,1.499965,0.7812087,1.3698273,0.75531954,1.2961906,1.0004053,1.4700583,1.1188488,0.61218596,0.83045197,0.9694691,0.67753404,1.3370179,0.7227009,0.79124284,1.1136931,1.1135027,1.0606796,0.80209976,0.8809543,1.0780474,0.92841685,1.1641121,1.2295961,1.4168186,1.1566931,1.3455873,1.0974214,1.412553,0.609026,1.4318671,0.594414,0.72897416,0.9118315,1.1905396,1.3357505,1.2899314,1.227012,1.0013707,1.212041,1.0592662,0.86596394,1.1961038,1.1328616,1.314598,1.4284621,1.0633847,1.0315744,1.4405103,0.6661322,1.14761,1.3036842,0.97630113,1.3167442,0.63658166,0.9502266,0.86694396,1.2684832,0.39248228,0.9623621,0.47788227,1.4528991,0.7474743,1.312413,0.8273763,0.7909074,1.3515661,0.9467358,0.6798934,1.3537151,0.90838784,0.5935624,0.47270012,1.1031356,1.4063373,1.1936284,0.88257104,1.1486914,1.373682,0.683146,0.874475,0.97700846,1.0060683,1.3586947,0.59951824
