,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bucket,butterfly,can,car,carrot,cat,chair,clock,comb,couch,crayon,crib,cup,dish,dog,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,mouth,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slipper,soap,spoon,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
blanket,1.567549,1.3261945,1.2973764,1.3932931,1.1142153,0.72610855,0.45367002,1.0674274,0.3153097,1.0143756,0.0,1.1608795,1.4608648,1.4484333,0.8589384,1.2534425,1.2937882,1.0816803,1.248246,1.3214377,0.5682023,0.5305143,1.0257084,0.7955494,0.5239723,1.470592,0.58021736,1.5129913,1.2066995,0.70840305,0.76938146,1.0868254,1.1947458,1.4830893,0.79554963,1.1944585,0.9593286,1.3041365,0.93301123,1.02254,1.1357056,0.5775378,1.3727213,0.7429035,1.4215686,0.7354172,1.0680526,1.200414,0.6464178,0.7889153,1.0211663,0.5634445,1.4115192,0.7373823,0.96300244,0.9337387,0.84122217,1.0632991,0.9901915,1.4638693,1.173351,1.5072699,0.5981905,0.5269649,0.54598844,0.95861495,1.4024866,1.3948612,1.2679563,1.1819398,0.911761,0.8680465,1.1718937,1.4560232,0.79490453,1.0377456,0.74042165,0.90546584,1.3713015,0.64839107,0.97068655,1.3597244,0.8992341,1.4677032,1.3456297,1.2453942,0.6059493,0.6924776,1.4305313,1.3661286,1.3419337,1.254138,0.906559,1.439806,0.63681096,1.0187155,1.1656294,0.6120941
book,0.99447924,1.2700183,1.1305071,0.9407293,0.8004348,1.0447248,1.0095665,1.0234457,1.0958331,1.0437865,1.1608795,0.0,1.1021149,0.8262677,0.5256025,0.81887364,1.0642716,1.09784,0.7579583,1.0846068,1.2399144,0.9457277,0.88406694,0.81703615,0.99266,1.0090241,0.82225245,1.0290033,0.9965203,1.0772616,1.003507,0.8595161,1.1560371,0.91768366,1.2340739,1.1466656,1.1213804,0.7848432,1.1132114,1.1057086,0.89403164,1.0732538,1.048687,0.9700861,1.1533931,1.2965434,1.1206844,1.048873,1.2505178,1.2249341,0.7927712,1.1705406,1.0444673,0.81331587,1.0529217,0.7647324,0.9549429,1.1172574,0.7740387,1.1242137,1.1632532,1.0515702,0.8642696,1.0376306,1.1452882,0.4563204,1.0235581,1.0061803,0.8943437,0.931611,0.90660185,0.7267934,0.9015593,0.6585007,0.98840463,0.8707874,0.7878761,1.0704461,0.8521094,1.2393903,0.9673222,0.9919404,0.8394873,1.1011355,0.9519628,0.93989795,1.1758795,0.8048781,0.85713243,1.175371,1.1695031,1.1348274,0.7129773,0.8203471,0.74392164,1.0531278,1.1911719,1.0768559
bottle,0.5555628,0.5563528,0.7020401,0.59240675,0.78709304,1.3897443,1.5028343,0.8931075,1.5274811,0.8885204,1.4608648,1.1021149,0.0,0.70346355,1.3699535,0.58329165,0.46766043,0.5331337,0.8107631,0.45054615,1.3957098,1.4719946,1.1196831,1.2014719,1.4228644,0.33506584,1.3654497,0.1009379,0.7725134,1.3545324,1.126026,0.9878861,0.82891715,0.83267796,1.2383674,0.91905016,0.7984358,1.032646,1.1528864,0.87942445,1.0753548,1.3435965,0.707552,1.4391063,0.46800894,1.2547091,1.2612749,0.7623772,1.3465521,1.2983472,0.9370618,1.4577134,0.7410978,1.1380141,1.0152082,0.9910533,1.2436965,1.0436355,1.1934406,0.559255,0.64806783,0.5197517,1.4708359,1.392532,1.4319459,1.0761178,0.46853495,0.50960755,0.9875262,1.203644,1.2211493,1.2152532,0.8409828,0.7653433,1.3009943,1.0880729,1.2534195,1.286513,0.8111293,1.4105797,1.1735209,0.6571266,1.1467441,0.42403293,0.4502805,0.9894934,1.5027384,1.3913043,0.73038316,0.57104504,0.3021363,0.31890523,1.1510227,0.7243643,1.4767542,0.71359473,0.40757394,1.2855809
bowl,0.7076365,0.75076365,0.68643796,0.7152041,0.73793685,1.0949621,1.3678315,0.8937068,1.4640279,1.0566776,1.4484333,0.8262677,0.70346355,0.0,1.0105785,0.6293515,0.84985,0.8632793,0.79011476,0.91365385,1.3527293,1.3894831,0.8219595,1.0462941,1.346607,0.69212306,1.1912135,0.48633033,0.42493123,1.2518543,1.1531757,0.7857835,1.0898873,0.73146504,1.3154191,1.1463788,0.9237516,0.87625545,1.211108,0.915494,1.0122727,1.2334609,0.7553432,1.3292753,0.79208934,1.4086978,1.2169274,0.8986966,1.345325,1.2944446,0.9696046,1.4877474,0.83512884,1.2062637,0.73200667,0.9652821,0.9176078,1.095181,1.0471238,0.59372056,1.0160545,0.66421723,1.201025,1.3051143,1.4682319,0.85141754,0.7276341,0.7328749,0.79097843,1.0759373,1.0671128,0.9123491,0.8449067,0.17660475,1.2465504,1.0051539,1.2557576,1.1569874,0.8027637,1.4177296,1.174768,0.5928448,0.7258377,0.7072578,0.60941625,0.61923075,1.4193261,1.2335703,0.4052943,0.9581686,0.8429761,0.77279085,1.0874751,0.7344415,1.1410909,0.98105013,0.82362056,1.2540737
box,1.2002449,1.3986232,1.2306714,1.1713367,0.86307013,0.7712726,0.59039795,1.234815,0.7091905,1.1914939,0.8589384,0.5256025,1.3699535,1.0105785,0.0,0.90142643,1.3516412,1.1678338,1.0324695,1.3355956,1.0129486,0.6328917,0.8621024,0.8120684,0.67726624,1.3591549,0.43797517,1.2505283,1.1563915,0.8589894,0.8568111,0.7862827,1.2808931,1.0930961,0.99381495,1.1848557,1.1508325,0.79324675,1.0835185,1.1172727,0.7913296,0.79240227,1.3177701,0.88244,1.3617141,1.0762975,1.0601155,1.2950758,1.0261688,1.1010096,0.9211486,1.0114204,1.3075948,0.6087545,1.0266479,0.74751943,0.94915783,1.0826507,0.9621656,1.4242327,1.2301714,1.3170903,0.59461236,0.85806364,0.9688958,0.78623736,1.334712,1.3142517,1.0825794,0.88367015,1.0026106,0.6452891,1.041119,1.0093071,0.761431,0.8929167,0.6921294,0.9666552,1.1559736,1.0292418,1.0013392,1.2008038,0.74389064,1.429004,1.1308663,1.0243179,0.85768336,0.52161473,1.0030794,1.3361732,1.4854869,1.3195179,0.90158993,0.87175906,0.31012416,1.1421771,1.266473,0.8791299
bucket,0.977165,0.9782294,0.77161443,0.79871184,0.6992834,1.170107,1.205184,0.9099802,1.2725451,0.987288,1.2534425,0.81887364,0.58329165,0.6293515,0.90142643,0.0,0.93205994,0.67124295,0.7163176,1.0363532,1.2766347,1.071467,0.9642097,0.9505112,1.094601,0.943772,0.9649838,0.48256338,0.8003894,1.1713823,0.9772799,0.8637724,1.028271,0.9932517,1.2150128,1.2397698,1.083188,1.0538033,1.0112877,1.0482167,1.0711206,1.1142943,1.0450691,1.1177853,0.9478287,1.2996106,1.2334827,0.94276863,1.2612594,1.2361581,0.6108449,1.3146832,1.0530798,0.94339806,0.85700583,0.4594332,1.0914228,1.1182594,0.97249866,1.0015684,1.000688,0.92796725,1.0866108,1.2245562,1.2870064,0.8634295,1.0128014,1.0299425,1.0081426,1.1393669,1.066192,1.0598261,0.82393885,0.7247826,1.1008922,0.95659494,0.96113646,1.1584291,0.9479162,1.286602,1.0132352,0.5997293,0.7936652,0.99339235,0.5296143,1.0272417,1.3079427,1.1035848,0.7181994,1.0166095,0.9128547,0.7424074,0.9330286,0.8390819,1.1583554,0.7429377,0.9889362,1.053658
butterfly,0.7496892,0.78738135,0.9278353,0.7599525,0.9076816,1.2084599,1.344553,0.8443066,1.3209765,0.9708159,1.2937882,1.0642716,0.46766043,0.84985,1.3516412,0.93205994,0.0,0.66570944,0.7413049,0.4824524,1.1564199,1.3685486,1.1258161,1.1853412,1.2484472,0.4413103,1.3729718,0.53192985,0.7842947,1.2002431,1.0858518,1.0182242,0.959036,0.97083807,1.2335026,0.9856191,0.76435757,0.98366433,1.057669,0.85928714,1.0625714,1.2571921,0.87713534,1.2748443,0.74481833,1.2590704,1.2387899,0.7419997,1.2363472,1.1357418,1.0131395,1.1504089,0.6569172,1.1635989,0.9650996,1.144859,1.2481828,1.1769685,1.0556433,0.5934706,0.9467846,0.68639195,1.2681088,1.2643472,1.2026304,1.0470046,0.51009536,0.53697634,0.9585854,1.0540332,1.1595474,1.1283901,0.8445773,0.8501061,1.3398464,0.9294648,1.2732028,1.1315223,0.7695991,1.2220088,1.1082773,0.8815337,1.0036782,0.5155476,0.80150247,1.0089506,1.3269768,1.3150203,0.9129615,0.9161886,0.5847088,0.53922415,1.0353299,0.83818924,1.3503573,0.96461695,0.604589,1.1435655
can,0.9421085,0.92967623,0.9613246,0.8145801,0.68068594,1.2732849,1.2275201,0.7674866,1.1467128,0.90674734,1.0816803,1.09784,0.5331337,0.8632793,1.1678338,0.67124295,0.66570944,0.0,0.86443704,0.78823006,1.1552265,0.97492886,1.0590124,1.1644399,1.1004609,0.6621491,1.0683177,0.53209925,0.74981546,1.2069094,0.8518128,0.7382723,0.8424476,1.1623082,1.3283732,1.0748129,0.6622216,1.2155398,1.0370697,1.0325022,1.3466663,1.2890794,0.9954698,1.280947,0.9303244,1.3407414,1.2369254,0.5710238,1.2784076,1.1351641,1.0528888,1.1411983,0.8936772,0.7618109,0.85347396,1.0326643,1.1387122,1.1090264,1.10664,0.79970616,0.7069526,0.8302585,1.0909361,1.2244123,1.1713393,0.9588855,0.7582905,0.727422,1.2187182,1.175627,0.8639767,1.188433,0.78675604,0.92499393,1.1651492,0.8625992,1.097152,1.1953938,1.0087968,1.2327421,1.0197029,0.7710465,0.9523124,0.621185,0.6325388,1.055179,1.3293794,1.287549,1.0713147,0.8883889,0.74809194,0.5359071,1.031163,1.0029905,1.2649351,0.41407412,0.6104412,1.0324085
car,0.8177347,1.1056048,0.9272054,0.78849185,0.5749466,1.2566329,1.228466,0.69754994,1.2884159,1.0630999,1.248246,0.7579583,0.8107631,0.79011476,1.0324695,0.7163176,0.7413049,0.86443704,0.0,0.82913375,1.2286669,1.1842396,1.0712827,0.8651328,1.1109416,0.7713611,1.0270009,0.7887946,0.70276827,1.1792715,0.9903527,0.8679998,1.0926948,0.86336714,1.3105166,1.0875758,1.0574349,1.0153253,0.96504086,0.9567454,1.0732242,1.3261616,0.94361806,1.1278118,0.9156463,1.3567128,1.1205592,0.7386302,1.2697377,1.2809201,0.8351853,1.2162896,0.94221455,0.95863456,0.93647534,0.82865167,1.2601984,1.097621,0.8951982,0.7814705,1.028296,0.82501245,1.107233,1.266217,1.1825812,0.9830258,0.83054876,0.8283787,0.9504287,0.8532148,1.0803021,1.0090433,0.78550637,0.6970705,1.1418046,0.90471494,1.1397614,1.1072052,0.83239067,1.3666936,0.9749939,0.89335907,0.7263237,0.9455212,0.7339795,0.88014984,1.2651823,1.2931752,0.826366,1.0940254,0.9540725,0.793371,0.910367,0.69710004,1.1140301,0.8212726,1.0200024,1.0079064
carrot,0.3978806,0.68620324,0.93469375,0.7797694,0.9759084,1.2297896,1.3598028,0.9024017,1.3885008,0.9454932,1.3214377,1.0846068,0.45054615,0.91365385,1.3355956,1.0363532,0.4824524,0.78823006,0.82913375,0.0,1.2346216,1.4216416,1.2368671,1.2129151,1.3016212,0.33453172,1.3862023,0.4938413,0.9451771,1.2677513,1.2982569,1.0905861,0.9324314,0.8066209,1.1577002,0.73219,0.8751591,0.91365486,1.1880493,0.96864724,0.98917943,1.2699077,0.83178806,1.307904,0.5254129,1.1439244,1.1131564,0.81368434,1.2064489,1.1634616,1.1883566,1.248902,0.7563441,1.2786484,1.1877259,1.2581805,1.2246617,1.0312461,1.0579622,0.56121826,0.71283466,0.45528275,1.3648274,1.296706,1.2428217,1.1384797,0.53199416,0.5279359,0.8948299,0.8807061,1.1471918,1.061742,0.9206846,0.8839034,1.2405232,1.090938,1.3069054,1.1077355,0.87078744,1.228558,1.2215931,0.9204323,1.228431,0.44819617,0.8552387,1.089346,1.2924483,1.2723727,0.94280475,0.7178887,0.4127425,0.5841841,1.0488864,0.7099396,1.2995577,1.0595036,0.49843907,1.2455482
