,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bucket,butterfly,can,car,carrot,cat,chair,clock,comb,couch,crayon,crib,cup,dish,dog,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,mouth,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slipper,soap,spoon,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
cat,1.3886683,1.1987755,1.213276,1.2382047,1.1754081,0.8137344,0.50362134,1.0515468,0.5269447,0.9332262,0.5682023,1.2399144,1.3957098,1.3527293,1.0129486,1.2766347,1.1564199,1.1552265,1.2286669,1.2346216,0.0,0.7998688,1.0543901,0.8807838,0.7562907,1.4178789,0.8483075,1.4451128,1.0609937,0.18559313,0.93119997,1.1107978,1.2192576,1.305711,0.80405456,1.0729961,0.86315453,1.1562166,0.8728603,1.0575693,1.0380636,0.7419837,1.1857102,0.76228917,1.2918983,0.6971047,1.0015731,0.8999891,0.668581,0.7393137,1.1120154,0.5929055,1.2085369,0.99459034,1.0433289,1.097302,0.9292254,1.0576041,1.0459822,1.306699,1.1544477,1.3627834,0.85998935,0.83879006,0.7286427,1.149157,1.367533,1.3743693,1.1560597,1.0812168,0.96135294,0.9850525,1.0478328,1.3940034,0.92858124,1.0129192,0.87461233,0.7131386,1.1453038,0.6709815,0.9137414,1.2998024,1.00023,1.2775335,1.3301909,1.2006114,0.71025103,0.87444806,1.2883106,1.2766845,1.2505151,1.2454807,1.0491291,1.2908618,0.8555738,1.1042726,1.1435863,0.7508752
chair,1.5228355,1.441983,1.3838398,1.3444606,1.011752,0.7211524,0.378806,1.1450056,0.33353698,0.99503744,0.5305143,0.9457277,1.4719946,1.3894831,0.6328917,1.071467,1.3685486,0.97492886,1.1842396,1.4216416,0.7998688,0.0,1.0151203,0.9046883,0.42063403,1.536618,0.37329578,1.4901747,1.2852492,0.7566383,0.68460774,1.0225884,1.2153974,1.3569365,0.87204814,1.1436666,1.2244172,1.1934625,0.7681351,1.1505063,1.1575489,0.6471934,1.4066465,0.6869584,1.5383067,0.8566994,1.0252084,1.1925628,0.84154147,0.77862054,1.0457032,0.5888962,1.3314785,0.4019717,1.0610204,0.89673895,1.0080848,1.174577,0.8538584,1.4768898,1.2276477,1.497275,0.42590618,0.7491429,0.4913386,0.9935743,1.4627963,1.4254949,1.3429024,1.0322388,0.8791263,0.8562226,1.195823,1.3692985,0.77057403,0.9224841,0.5268248,0.8890818,1.2166984,0.6027865,0.8123575,1.2035408,0.79476446,1.4446771,1.3130668,1.2160733,0.5586133,0.49398863,1.4187295,1.3394145,1.4801773,1.2991734,0.81928563,1.2992213,0.6040536,0.8424322,1.3536047,0.7105331
clock,1.2047883,1.0747262,0.9295366,0.9243577,0.968707,0.83673716,0.9205372,1.0974227,1.0347819,1.2232109,1.0257084,0.88406694,1.1196831,0.8219595,0.8621024,0.9642097,1.1258161,1.0590124,1.0712827,1.2368671,1.0543901,1.0151203,0.0,0.9141376,1.0098283,1.1384573,0.8331946,1.0589279,0.99660873,0.948776,0.79647344,0.84900737,1.1362736,1.2842786,1.0172331,1.2582829,1.0086775,0.93917775,1.1594826,0.7549373,1.057939,0.84994024,1.0932803,1.1310656,1.1559722,1.0898752,1.1881278,1.136546,1.0455971,1.178087,0.98899853,1.1588228,1.0529191,0.9311426,0.6580961,0.94257134,0.8050119,1.0144262,1.1070929,1.1682649,1.0835568,1.1473387,0.7814483,0.9140682,1.1531737,0.78526115,1.0885148,1.1231391,0.9358587,1.0980945,1.1248138,0.858791,0.8536525,0.81255865,0.98287535,0.98712504,0.90215725,1.0541848,1.0539035,1.1467011,1.1344743,0.99423426,0.83624256,1.2503657,1.0416008,0.73570967,1.1282214,0.93582666,0.7366655,1.2143482,1.1656904,0.9762613,1.0668026,1.055408,0.8497892,1.0709269,1.0620898,0.8404541
comb,1.2651567,1.2493482,1.1279589,1.1180509,0.96730417,0.80476665,0.8217485,0.9790308,0.80723155,1.112478,0.7955494,0.81703615,1.2014719,1.0462941,0.8120684,0.9505112,1.1853412,1.1644399,0.8651328,1.2129151,0.8807838,0.9046883,0.9141376,0.0,0.9395385,1.1755584,0.72715735,1.2002937,0.9754195,0.9060526,1.0225128,1.0362453,1.2239231,1.1416538,1.0480881,1.1619548,1.1050911,1.1212413,1.1420201,0.9715792,0.967571,0.8391758,1.1213512,0.9604263,1.18651,1.0096456,1.1621393,1.1189544,0.926591,0.94750977,0.8961291,0.9361825,1.2185237,0.9332449,0.9133254,0.84551543,0.965301,1.0717127,0.9151998,1.2283617,1.2188298,1.2615951,0.78742945,0.9503946,0.94301736,0.9939558,1.1783285,1.1834571,1.0945526,1.0843132,1.0841359,0.89189,1.1192533,1.0492506,0.91864073,0.96027255,0.8376163,1.0979888,1.096619,0.95856595,1.0821834,1.1321117,0.86505276,1.2441249,1.0736501,0.97684056,0.96262133,0.83980405,1.0108355,1.2624183,1.2119198,1.1512617,0.89793855,1.1216233,0.80875444,1.0639031,1.1144727,0.7490507
couch,1.4311141,1.2862692,1.2437618,1.2849766,1.1243081,0.62256247,0.2287193,1.1863873,0.37715554,1.0842307,0.5239723,0.99266,1.4228644,1.346607,0.67726624,1.094601,1.2484472,1.1004609,1.1109416,1.3016212,0.7562907,0.42063403,1.0098283,0.9395385,0.0,1.5121162,0.4610709,1.4071875,1.2172064,0.640759,0.7180685,1.0231868,1.2541194,1.3289732,0.79557514,1.1907048,1.2583692,1.1838334,0.9937379,1.129263,1.1024858,0.5868362,1.5605985,0.74128425,1.3788285,0.8840865,1.1547433,1.2741838,0.8088099,0.8394848,1.0235153,0.7000257,1.4880269,0.6596247,1.0160573,0.8531886,1.0146546,1.1710389,0.8449955,1.5404238,1.1726032,1.4524922,0.4880756,0.6162829,0.64498806,0.8919693,1.4750508,1.4581473,1.2890811,0.94527674,0.913141,0.9627515,1.1312008,1.387859,0.7212424,0.95133173,0.62470347,0.86473334,1.4282992,0.6986824,1.0547909,1.3409761,0.69233793,1.461772,1.2777547,1.3440413,0.6648845,0.4873681,1.3178756,1.3666761,1.4593972,1.257566,0.75356877,1.200665,0.72612065,1.083139,1.2628332,0.67789996
crayon,0.46799022,0.6315295,0.8064336,0.6105178,0.814179,1.3608801,1.5749145,0.83337665,1.5500838,1.0094668,1.470592,1.0090241,0.33506584,0.69212306,1.3591549,0.943772,0.4413103,0.6621491,0.7713611,0.33453172,1.4178789,1.536618,1.1384573,1.1755584,1.5121162,0.0,1.4732713,0.3520081,0.745612,1.4251047,1.2799681,1.0049976,0.7174064,0.76338893,1.3223131,0.921679,0.73440117,0.977749,1.2568306,0.7854998,1.0248693,1.4593668,0.64642966,1.4795398,0.4867062,1.3456498,1.1986316,0.71841586,1.3660389,1.2868762,1.1102157,1.4541783,0.43335998,1.1850144,1.012816,1.2245563,1.219646,1.0503775,1.0645698,0.43081474,0.7706299,0.41312003,1.4275384,1.4049397,1.3985798,1.0567993,0.10292488,0.0961386,0.81600857,0.9970193,1.100693,1.1656348,0.87515706,0.6665396,1.2915372,1.010356,1.4614677,1.2660154,0.629796,1.4356644,1.2444932,0.6644678,1.2197403,0.33249843,0.6525341,0.72117895,1.5057483,1.4424016,0.72785425,0.6657053,0.37787586,0.44931746,1.1067752,0.6470134,1.4334991,0.8965699,0.3632589,1.3641744
crib,1.4456122,1.4611192,1.334575,1.2630539,0.7787219,0.7021024,0.2775061,1.0714191,0.48460406,1.2318813,0.58021736,0.82225245,1.3654497,1.1912135,0.43797517,0.9649838,1.3729718,1.0683177,1.0270009,1.3862023,0.8483075,0.37329578,0.8331946,0.72715735,0.4610709,1.4732713,0.0,1.3237765,1.1522205,0.7437276,0.6098074,0.80594146,1.348331,1.453724,0.896171,1.2820215,1.1415544,1.1815819,1.0290955,0.95838594,1.1364051,0.609875,1.4703553,0.87477076,1.4727958,0.9499978,1.1928885,1.2971102,0.95183563,0.99944276,1.0155181,0.90365046,1.4898887,0.27338505,0.9096495,0.73054886,0.9838366,1.0907245,1.0638943,1.5226138,1.2156911,1.5025963,0.4527902,0.75441676,0.8352049,0.8669973,1.4496571,1.4355481,1.2378306,1.1037396,1.0981915,0.7112938,1.0489019,1.2313786,0.8889342,1.0031075,0.45459706,0.99939924,1.3202934,0.86721075,1.0397836,1.2810328,0.6703724,1.5679415,1.2269053,1.1758612,0.8465291,0.47608203,1.1746206,1.4015762,1.4575539,1.1820451,0.96821946,1.1867596,0.499516,0.96092075,1.2337954,0.53090394
cup,0.49576336,0.54032487,0.65300953,0.5382922,0.7239917,1.3550832,1.486056,0.92185205,1.5652544,1.0225925,1.5129913,1.0290033,0.1009379,0.48633033,1.2505283,0.48256338,0.53192985,0.53209925,0.7887946,0.4938413,1.4451128,1.4901747,1.0589279,1.2002937,1.4071875,0.3520081,1.3237765,0.0,0.6775049,1.3568286,1.1540861,0.9124682,0.90825415,0.80270845,1.2546082,1.0201176,0.834426,0.9804508,1.2194064,0.92879546,1.1041298,1.3222778,0.77116704,1.4958074,0.4854806,1.3558915,1.3039262,0.77810895,1.3723309,1.3605468,0.93620795,1.5474565,0.7667979,1.139789,0.98656595,0.9767247,1.201762,1.0481597,1.2184322,0.5648372,0.6923595,0.45673537,1.3977131,1.4262707,1.4867139,1.0097064,0.50481385,0.53157246,0.9129613,1.1619792,1.2360716,1.1462301,0.789177,0.6054714,1.3071938,1.0397155,1.2740269,1.2468596,0.8397355,1.4740772,1.2157162,0.6257457,1.0553498,0.4472074,0.4254458,0.9543179,1.5452223,1.3615297,0.5735214,0.6600164,0.40542364,0.37337565,1.1852477,0.6531888,1.4332272,0.78507805,0.4234588,1.3148668
dish,0.86647415,0.8457272,0.8268306,0.6626185,0.6814571,1.2201194,1.2448732,0.7455311,1.2942123,1.0100772,1.2066995,0.9965203,0.7725134,0.42493123,1.1563915,0.8003894,0.7842947,0.74981546,0.70276827,0.9451771,1.0609937,1.2852492,0.99660873,0.9754195,1.2172064,0.745612,1.1522205,0.6775049,0.0,1.0518775,1.079546,0.7931224,1.0342098,0.806182,1.372466,1.1804037,0.85004276,0.9997906,1.1239089,1.0090463,1.0335886,1.2503085,0.87305367,1.2141198,0.95986724,1.4213403,1.2450353,0.6697158,1.3108026,1.2304187,1.0031246,1.2565191,0.840415,1.1176257,0.72207063,1.0220813,0.9529435,1.1893871,0.96236664,0.58089745,1.1291277,0.77664673,1.3128285,1.2054079,1.3285103,0.9801326,0.7340496,0.744568,0.9648317,1.101538,0.95237195,1.0356127,0.8044569,0.4371065,1.2505721,1.0280696,1.2808172,1.0216237,0.7707492,1.3617337,1.1038926,0.6825205,0.76841915,0.7810552,0.6047033,0.7719133,1.3617241,1.3082912,0.6811363,1.0556608,0.9133001,0.76171374,1.0123318,0.8194681,1.2121098,0.7423675,0.8354324,1.0946141
dog,1.3214447,1.2107627,1.1624438,1.1419514,1.1318722,0.80647063,0.36835682,1.2309138,0.59695417,1.0457807,0.70840305,1.0772616,1.3545324,1.2518543,0.8589894,1.1713823,1.2002431,1.2069094,1.1792715,1.2677513,0.18559313,0.7566383,0.948776,0.9060526,0.640759,1.4251047,0.7437276,1.3568286,1.0518775,0.0,0.95357925,1.1237112,1.2665298,1.2800502,0.8559904,1.1696668,1.028865,1.0554934,0.90134305,1.0880098,1.03289,0.77355844,1.3123647,0.69942,1.2848636,0.8868702,1.0540587,0.9587357,0.7223767,0.9105234,1.0782782,0.6624536,1.2472711,0.9585037,1.0761946,1.0013558,0.97219586,1.1153249,0.97021884,1.3602756,1.2285703,1.3159548,0.81352377,0.7711209,0.8323296,1.0527968,1.3598568,1.3792481,1.1797312,0.9537014,0.93002135,0.90859973,1.0264984,1.283917,0.9058282,1.0376326,0.8272954,0.6277511,1.1303504,0.80449003,0.90427923,1.2751365,0.880875,1.3550217,1.2310612,1.1444652,0.79754084,0.7757075,1.1670693,1.3229868,1.3433187,1.2217238,0.9538777,1.090386,0.81218195,1.0997041,1.2155188,0.8588155
door,1.3009531,1.2570263,1.0942475,1.1375648,0.9040989,0.9527807,0.7526717,0.986961,0.7447666,1.054249,0.76938146,1.003507,1.126026,1.1531757,0.8568111,0.9772799,1.0858518,0.8518128,0.9903527,1.2982569,0.93119997,0.68460774,0.79647344,1.0225128,0.7180685,1.2799681,0.6098074,1.1540861,1.079546,0.95357925,0.0,0.76038986,1.0658729,1.313418,0.9639785,1.2277913,1.0229911,1.1101425,0.94002646,1.0001534,1.1748679,0.837995,1.2731798,1.0288309,1.2836189,1.0335932,1.1387255,1.1773548,0.9669571,1.0485171,0.86632216,1.0349824,1.1853672,0.50764346,0.7360717,0.8648985,1.1023717,1.0486819,1.0149677,1.2780057,1.12143,1.309391,0.66011477,0.98314357,0.87167,0.89318,1.2481241,1.25963,1.0692395,1.198283,1.1609623,1.0161725,0.85149777,1.1846226,1.0169826,0.79866004,0.60045946,1.0108166,1.1439221,0.9711162,1.021713,1.0735695,0.78938144,1.3479359,1.0659933,1.1391227,1.0083067,0.91073537,1.1216742,1.2114831,1.2361904,1.0173732,0.974282,1.2411987,0.89533263,0.7008259,1.131781,0.5011242
drawer,1.0641698,1.0974338,1.0171196,0.8925769,0.71256244,1.2060344,1.0822644,0.77199006,1.1101584,0.9816092,1.0868254,0.8595161,0.9878861,0.7857835,0.7862827,0.8637724,1.0182242,0.7382723,0.8679998,1.0905861,1.1107978,1.0225884,0.84900737,1.0362453,1.0231868,1.0049976,0.80594146,0.9124682,0.7931224,1.1237112,0.76038986,0.0,0.9949696,1.018934,1.1930083,1.0691206,0.8751838,0.9967414,1.0619993,1.0363784,1.0764618,1.0857173,0.97846454,1.1191736,1.1206386,1.2383571,1.1397878,0.92511517,1.2297928,1.2443962,0.92287356,1.2154838,1.0005531,0.7250658,0.8185009,0.92050135,0.9459379,0.96046025,0.9127589,0.9584616,0.9164071,0.9923213,0.87412053,1.1356643,1.1839142,0.8718628,1.0333346,1.0129341,0.93722785,1.1293108,0.9471064,0.96958303,0.79918295,0.77224463,1.1307774,0.93517214,0.8931206,1.0822519,0.97096825,1.3226848,1.0599235,0.9001767,0.8595628,1.012593,0.84695387,0.9357451,1.3036926,1.1350688,0.9227509,1.0822843,1.0740846,0.9730926,0.87975365,1.053627,0.9354619,0.8124771,1.0385855,0.8493948
ear,0.82174385,0.7543327,0.88375086,0.9422249,1.1066619,1.2824886,1.3846272,0.96128976,1.3113399,0.7993673,1.1947458,1.1560371,0.82891715,1.0898873,1.2808931,1.028271,0.959036,0.8424476,1.0926948,0.9324314,1.2192576,1.2153974,1.1362736,1.2239231,1.2541194,0.7174064,1.348331,0.90825415,1.0342098,1.2665298,1.0658729,0.9949696,0.0,0.7637436,0.9925011,0.70402294,0.8712423,0.9600215,1.046005,0.9881769,1.0167415,1.2490023,0.73077947,1.027233,0.75945723,0.96989673,0.69654393,0.8453379,1.116557,0.99801266,1.0523447,1.1325896,0.69882405,1.105795,0.98377365,1.1211556,1.1524532,0.7370642,1.0162778,0.77170134,0.76585686,0.8503013,1.3236588,1.0261707,1.1145267,0.9894836,0.6862957,0.64744556,1.0261337,0.9412416,0.7354894,1.238357,1.0146357,0.9702213,1.0795217,1.0083004,1.2751043,1.0337163,0.8677625,1.0953587,1.0947535,0.8859969,1.2359031,0.7980563,0.89417356,0.9113341,1.1463265,1.2735362,1.1120894,0.5789832,0.67933613,0.91438276,1.0344874,1.0668489,1.376298,0.92079115,0.8618885,1.1583666
egg,0.46106827,0.6373771,0.7739796,0.7999221,1.0373476,1.3001736,1.4455174,0.9298557,1.4628493,0.85416365,1.4830893,0.91768366,0.83267796,0.73146504,1.0930961,0.9932517,0.97083807,1.1623082,0.86336714,0.8066209,1.305711,1.3569365,1.2842786,1.1416538,1.3289732,0.76338893,1.453724,0.80270845,0.806182,1.2800502,1.313418,1.018934,0.7637436,0.0,1.1161249,0.61414367,1.1290126,0.7020018,1.0086386,1.1084632,0.6952232,1.355698,0.5535101,1.0708653,0.6178881,1.0827475,0.7310085,0.87797326,1.2414525,1.0569979,0.9669494,1.1718091,0.7128043,1.3719037,1.179478,1.0672872,1.0862305,0.8928752,0.8950043,0.55386335,0.92823374,0.4899292,1.380255,1.2428595,1.2158804,1.1674843,0.7986122,0.7797639,0.7632127,0.74974906,0.8785123,1.0800687,1.1359675,0.631961,1.0937349,1.0540936,1.3398354,0.9933574,0.691416,1.1709781,0.98577154,0.7758785,1.2636843,0.59873366,0.77765816,0.8854582,1.1366332,1.2876937,0.7159697,0.6240783,0.84147745,1.1297703,0.9929889,0.6810807,1.2341217,1.099593,1.0694273,1.391136
face,1.1920742,1.0796067,1.1662,1.3071473,1.3596032,0.75143695,0.7463747,1.3025076,0.80570793,0.9974031,0.79554963,1.2340739,1.2383674,1.3154191,0.99381495,1.2150128,1.2335026,1.3283732,1.3105166,1.1577002,0.80405456,0.87204814,1.0172331,1.0480881,0.79557514,1.3223131,0.896171,1.2546082,1.372466,0.8559904,0.9639785,1.1930083,0.9925011,1.1161249,0.0,0.83048797,1.1421567,1.1258976,1.0351331,1.0438843,0.96306545,0.5814485,1.0941004,0.8847721,1.0224358,0.24936426,0.80671835,1.3013,0.7079525,0.7233292,1.1351696,0.89274347,1.2296323,1.0464578,1.1285344,1.0426741,1.0837164,0.6904894,1.112979,1.2648742,0.96349835,1.1780413,0.85597956,0.78696007,0.7490444,1.122168,1.3056612,1.2970419,1.0580472,1.0035734,1.1975627,1.0004518,1.259187,1.3982463,0.8456845,1.0955801,0.7673013,0.96254754,1.290414,0.60115826,1.1370447,1.2288291,1.117399,1.2305613,1.3665607,1.2638495,0.75095564,0.7162157,1.14979,0.86940944,1.1865592,1.2202206,1.1066258,1.2603805,0.9014305,1.3707719,1.1692449,0.8672513
finger,0.73176384,0.86668634,1.126693,1.1361969,1.1987637,1.1822791,1.265641,0.99033976,1.1580402,0.735283,1.1944585,1.1466656,0.91905016,1.1463788,1.1848557,1.2397698,0.9856191,1.0748129,1.0875758,0.73219,1.0729961,1.1436666,1.2582829,1.1619548,1.1907048,0.921679,1.2820215,1.0201176,1.1804037,1.1696668,1.2277913,1.0691206,0.70402294,0.61414367,0.83048797,0.0,0.9220413,0.8945496,0.9069855,1.1665709,0.97431123,1.17248,0.5211159,0.9716886,0.6953406,0.6620916,0.53027606,0.91446805,1.0168598,0.9241201,1.1845876,0.8972075,0.87870044,1.2003735,1.2231672,1.1458213,1.1078167,0.7533535,1.0056223,0.71644616,0.62178224,0.8555212,1.274318,1.0481184,0.9347902,1.1714783,0.9528352,0.9009247,1.0785146,0.89271146,0.8738217,1.1347611,1.2555128,1.09415,1.0659411,1.0945681,1.1890191,0.8917012,1.0356411,0.9717166,0.92761946,1.1512632,1.3238463,0.6684944,1.2294044,1.0743884,0.9465786,1.1396983,1.1836244,0.46188402,0.80372787,1.0950034,1.0256321,1.1644623,1.1581095,1.205568,1.00135,1.1464045
fish,1.0417131,0.9185503,1.0381125,0.9853939,0.91397154,1.1408194,1.1615235,0.79103434,1.0731426,0.9530542,0.9593286,1.1213804,0.7984358,0.9237516,1.1508325,1.083188,0.76435757,0.6622216,1.0574349,0.8751591,0.86315453,1.2244172,1.0086775,1.1050911,1.2583692,0.73440117,1.1415544,0.834426,0.85004276,1.028865,1.0229911,0.8751838,0.8712423,1.1290126,1.1421567,0.9220413,0.0,1.146809,1.1508265,0.8413347,1.1404414,1.1413777,0.90332663,1.1209838,0.9951862,1.0514766,1.0137151,0.89135873,1.0824986,1.0566392,1.0207151,1.0412089,1.0691953,1.0625073,0.8117772,1.1329275,0.89034,0.9231996,1.2787135,0.8603876,0.76885617,0.98949814,1.1641704,0.9739012,1.1622059,0.87981373,0.83237207,0.786458,1.0333508,1.2948358,0.84765756,1.0820806,0.95162827,0.9677828,1.1952841,1.0524888,1.2420106,1.0873117,1.2140242,1.1533573,1.101204,1.0891174,0.9986076,0.8117357,0.97471887,0.9969234,1.1017634,1.2036691,1.0293045,0.98481387,0.77749383,0.6934023,1.1910566,1.2020111,1.0512562,1.0216451,0.47541118,0.96862245
flower,0.5817595,0.9939144,0.9583695,0.91273934,1.0193828,1.1391128,1.1844714,1.0813098,1.2389747,1.0423164,1.3041365,0.7848432,1.032646,0.87625545,0.79324675,1.0538033,0.98366433,1.2155398,1.0153253,0.91365486,1.1562166,1.1934625,0.93917775,1.1212413,1.1838334,0.977749,1.1815819,0.9804508,0.9997906,1.0554934,1.1101425,0.9967414,0.9600215,0.7020018,1.1258976,0.8945496,1.146809,0.0,1.0174774,1.1303241,0.40955937,1.1065798,0.9430875,1.0174302,0.86387026,1.1604097,0.89258105,1.0904427,1.1542444,1.1810305,0.92122245,1.1078321,0.9146021,1.1616293,1.1473672,1.0612121,0.84793925,1.0150719,0.8508035,0.870448,1.0145,0.7950043,1.1941072,1.0629677,1.1476748,1.0152425,1.0283388,1.0484169,0.6594626,0.8076325,1.064789,0.7228439,0.72028434,0.7826634,1.1729721,1.1556009,1.0546429,0.8485817,0.84853005,1.1490875,0.92723733,1.0909781,1.205937,0.9520533,1.0027593,1.0072812,1.059353,0.9965311,0.89785576,0.9575259,1.0163808,1.1523063,0.8962631,0.6231989,0.8774831,1.1347284,1.1641535,1.1339427
foot,1.156442,1.1564633,1.0791715,1.0916114,0.90698326,1.1589408,1.0067288,0.95075357,0.8956483,0.89745325,0.93301123,1.1132114,1.1528864,1.211108,1.0835185,1.0112877,1.057669,1.0370697,0.96504086,1.1880493,0.8728603,0.7681351,1.1594826,1.1420201,0.9937379,1.2568306,1.0290955,1.2194064,1.1239089,0.90134305,0.94002646,1.0619993,1.046005,1.0086386,1.0351331,0.9069855,1.1508265,1.0174774,0.0,1.1332043,1.10479,1.0744096,0.93785894,0.7229793,1.1585882,0.9008266,0.8244872,0.7853891,0.85523915,0.8327501,0.90057373,0.5282744,0.9742707,0.9737582,1.1690348,0.9743338,1.0488962,1.0772631,0.93679315,0.98376995,1.106669,1.1751225,1.0584372,1.0413442,0.72956043,1.1827468,1.1993003,1.2089486,1.1074407,1.038684,0.8849093,1.0965942,0.99046904,1.1857686,0.87442267,1.016386,0.98581386,0.8217136,0.89926505,0.7857762,0.18142927,0.997912,1.0710989,1.0271226,1.0237714,1.0151974,0.80718815,1.1195585,1.2186949,1.0290194,1.1227801,1.1540675,0.99987555,1.1473693,1.115943,0.7928285,1.2919191,1.0287652
fork,1.061131,1.0271579,1.0176941,0.9344841,0.86855483,0.8542087,1.083418,0.8596267,1.0979022,1.1255498,1.02254,1.1057086,0.87942445,0.915494,1.1172727,1.0482167,0.85928714,1.0325022,0.9567454,0.96864724,1.0575693,1.1505063,0.7549373,0.9715792,1.129263,0.7854998,0.95838594,0.92879546,1.0090463,1.0880098,1.0001534,1.0363784,0.9881769,1.1084632,1.0438843,1.1665709,0.8413347,1.1303241,1.1332043,0.0,1.051603,0.9985117,0.94260913,1.2241287,0.96509445,0.99278206,1.1464137,0.9976314,1.0918167,1.1152077,0.9914826,1.1969868,0.8360269,0.9785745,0.86443967,0.98012036,1.0774769,0.9609822,1.1421518,0.9906914,1.1483668,0.96001315,0.94577575,0.9841962,1.1732899,1.0542278,0.7101363,0.742974,0.9707234,1.2318484,1.2229435,1.0025874,0.9118336,0.9677454,1.0845314,1.0281911,1.0525686,1.1345103,0.8717493,1.1078713,1.1768161,0.9107247,0.9047876,0.96743745,0.95748806,0.56854165,1.1287602,1.1033875,0.909613,1.0566291,0.9496732,0.82025707,1.1524466,1.0926085,1.027454,1.0112509,0.8700462,0.99618465
frog,0.7646166,1.0129107,0.947459,0.960477,1.1803861,0.9940462,1.0755467,1.1159251,1.1063055,1.1055087,1.1357056,0.89403164,1.0753548,1.0122727,0.7913296,1.0711206,1.0625714,1.3466663,1.0732242,0.98917943,1.0380636,1.1575489,1.057939,0.967571,1.1024858,1.0248693,1.1364051,1.1041298,1.0335886,1.03289,1.1748679,1.0764618,1.0167415,0.6952232,0.96306545,0.97431123,1.1404414,0.40955937,1.10479,1.051603,0.0,0.9461181,0.94602376,0.9064598,0.8750616,0.9743719,0.9246541,1.1131848,1.001612,1.0852968,0.99150366,1.0637187,0.96347857,1.2683319,1.1403033,1.040932,0.89126205,1.0035484,0.9270932,1.0454631,1.1278539,0.9313605,1.1342797,1.0246952,1.0295063,1.126553,1.0358732,1.0683286,0.74721634,0.8150292,1.0755303,0.82185614,0.92889744,0.93227947,0.937779,1.1670958,1.0793717,0.9597986,0.8401205,1.0090873,1.0063024,1.0554885,1.2078447,1.0154551,1.0018356,1.0290586,0.9111279,0.90464354,0.91710544,0.98809487,1.0666431,1.2342473,1.0030941,0.6261944,0.83484185,1.1958724,1.1763573,1.0856007
glass,1.455404,1.2073467,1.1896224,1.2837167,1.2010533,0.6299693,0.49499762,1.217104,0.5352976,1.1005183,0.5775378,1.0732538,1.3435965,1.2334609,0.79240227,1.1142943,1.2571921,1.2890794,1.3261616,1.2699077,0.7419837,0.6471934,0.84994024,0.8391758,0.5868362,1.4593668,0.609875,1.3222778,1.2503085,0.77355844,0.837995,1.0857173,1.2490023,1.355698,0.5814485,1.17248,1.1413777,1.1065798,1.0744096,0.9985117,0.9461181,0.0,1.3920257,0.84606993,1.3625779,0.64022726,1.1249294,1.4052597,0.7172484,0.80572295,1.0766085,0.83958334,1.4120796,0.82818675,0.9512431,1.0058475,0.9212556,1.1027443,1.0262731,1.4171782,1.2487884,1.4098066,0.6312698,0.71659184,0.6523475,0.978049,1.4247313,1.4245956,1.1436427,1.0929036,1.1956935,0.75309044,1.1955615,1.2957369,0.85378754,1.0726488,0.5660571,0.9892555,1.3810732,0.60687506,1.1826662,1.2520722,0.9040402,1.4621762,1.3377907,1.2807704,0.65386915,0.4723854,1.1853559,1.3337178,1.3315322,1.2669022,0.96330076,1.2877753,0.6802263,1.2321948,1.2349329,0.6388693
glasses,0.6954328,0.70835066,0.8134687,0.8535595,0.91605496,1.3518698,1.5941911,0.90576756,1.4308592,0.7462152,1.3727213,1.048687,0.707552,0.7553432,1.3177701,1.0450691,0.87713534,0.9954698,0.94361806,0.83178806,1.1857102,1.4066465,1.0932803,1.1213512,1.5605985,0.64642966,1.4703553,0.77116704,0.87305367,1.3123647,1.2731798,0.97846454,0.73077947,0.5535101,1.0941004,0.5211159,0.90332663,0.9430875,0.93785894,0.94260913,0.94602376,1.3920257,0.0,1.2308517,0.52539057,0.903633,0.77829844,0.627579,1.2156445,1.1426983,1.0403537,1.243986,0.44731987,1.3054317,1.0587662,1.0683692,0.99105364,0.7983012,1.1318351,0.41977423,0.7162862,0.6544642,1.4551946,1.308529,1.2733148,1.1564878,0.5883209,0.603228,0.869061,1.0810317,0.9140786,1.1472845,1.0654172,0.68898666,1.0493174,0.99578184,1.3611003,1.1454408,0.522721,1.2814596,0.89186937,0.7499069,1.3408116,0.44651645,0.8739863,0.58591974,1.2850165,1.4749238,0.83407956,0.4137187,0.6548864,0.9691953,1.2380036,0.96588916,1.3808279,0.9484415,0.89373326,1.3152457
