,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,coffee,cookie,couch,crayon,cup,dog,doll,door,dress,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,jar,knife,ladder,lamp,melon,mitten,muffin,nail,napkin,necklace,orange,oven,pajamas,paper,pastry,pen,pencil,pickle,pillow,plant,plate,potato,pumpkin,purse,refrigerator,rooster,scissors,shirt,shovel,sink,slide,slipper,soap,spoon,sweater,table,tape,toothbrush,towel,toy,tray,vacuum,watch,window
bucket,1.0978291,1.1171832,1.0927633,1.1133426,0.7802099,1.1187879,0.8658505,1.1490209,1.2075117,1.098548,0.96768534,1.2224127,0.73494697,0.6483478,0.73486626,0.8794498,1.276733,0.0,0.90405846,0.8588238,1.1583474,1.0898285,1.0343852,0.924571,0.5629477,1.1613966,0.7856868,1.0204453,0.8967967,1.0925603,0.9615879,0.6306152,1.0790238,1.1201507,1.0832418,1.2328541,1.2201812,0.7438192,1.1492215,0.93461365,1.0071871,1.304335,0.9153836,0.91045856,1.1248748,1.1005428,1.0862489,0.48914516,1.1419879,1.0606447,0.74046,0.98082674,1.2487078,1.3152008,1.1649165,0.80132526,1.1618177,1.0482419,0.62230283,1.082382,1.01789,0.95060706,1.0899092,1.1715158,0.98218334,0.93840724,0.74436986,0.7642023,1.2906516,1.0497192,0.9543927,0.8929088,1.1214119,0.97307277,1.2475605,1.0103915,0.9274066,1.142195,1.2030706,0.9686427,1.101139,1.2152466,0.99046856,1.0448173,1.0599167,0.79044825,0.77046275,0.64974225,0.8426655,1.0889857,1.017014
can,0.62239516,0.6577254,0.88612056,0.9650691,0.76004684,1.1278031,1.2029713,0.27584314,1.1162995,1.3391399,1.1280648,1.3759913,1.1283333,0.5466523,0.8838629,1.2485366,0.86944544,0.90405846,0.0,0.88224065,1.0712453,1.2204043,0.97689646,0.62759185,1.0019147,0.8904605,0.6848494,0.5507033,0.30914378,1.1734619,1.2654135,1.0149311,1.238773,0.8586523,1.3307128,0.80837,0.906685,0.84473395,0.6607287,1.1383107,0.87942344,0.7481808,1.2760993,0.92353433,1.3200684,1.3646888,0.72638714,0.89750206,0.7361127,1.0551504,1.2466108,0.8342874,1.226333,0.9300612,0.86655,1.1845623,1.2890748,0.61746466,1.0471812,1.33426,1.3919773,1.3236475,0.7017052,0.6555049,0.755848,0.9022917,0.84582126,1.1326327,0.77277577,0.6728102,1.3370757,1.1914021,1.1737517,0.6383313,1.4062781,0.73529124,0.5518433,1.0443134,0.5196108,0.721522,0.71539426,1.3620175,1.4170866,0.9177027,1.2662532,0.9302273,1.0313214,1.2813611,0.48754632,0.6838931,1.181555
car,0.95498574,0.9625174,1.0092623,1.1267903,0.84907806,1.2286252,0.9171518,0.93434733,1.1492848,1.1286712,1.0234379,1.2410933,0.7729285,0.83601576,1.0207802,1.0692638,1.0731634,0.8588238,0.88224065,0.0,1.2072164,1.1316023,1.0853478,0.8977788,0.9111546,1.0311449,0.91105527,0.88035107,0.8262645,1.0208149,0.85927624,0.9267766,1.0648814,1.1033872,1.1520743,1.0549744,0.98452604,0.617964,0.9288782,0.6150882,0.9201224,1.1178626,1.2076871,0.8737589,1.1824971,1.2163396,0.8796227,0.87173057,0.89838135,0.98666495,1.1437918,0.97080535,1.182195,1.1711344,1.0147375,1.0005751,1.2012166,0.94664115,0.9699662,1.1224089,1.1452947,1.054665,0.9386817,1.0103612,0.9315505,0.98868287,0.6737474,1.0352126,1.1277051,0.9184895,1.1465391,0.95514023,1.1012378,0.7867513,1.2047987,0.77687716,0.87127507,1.1017064,1.0540327,0.9275141,0.86168593,1.1528239,1.18296,1.0732697,1.2462733,0.85387105,0.73098314,0.966686,0.61111987,0.90925175,1.0452598
carrot,0.8936641,0.8599682,1.0284123,0.6223012,1.2424862,0.97469145,1.2251505,1.0113798,0.62543374,1.08718,1.142593,1.0804379,1.1551397,1.327219,1.0297186,1.0324208,0.8273753,1.1583474,1.0712453,1.2072164,0.0,1.1432563,1.0974792,1.1863939,1.2067236,0.83211875,1.0067744,0.97244793,1.123575,1.2090107,1.1137762,1.0555931,1.1854302,0.59734297,0.95842576,0.5810246,0.9499105,1.3723052,0.8878386,1.0805988,1.0131481,0.5854429,0.8475572,1.0775946,0.96389115,0.35565722,0.9734567,1.1383896,0.8335313,1.0921239,1.1792607,0.720685,1.0401483,0.6359683,0.894181,0.9379702,0.7355449,1.0305705,1.1939994,1.1785077,1.085987,1.0609542,0.8647184,0.781351,0.9054109,0.6839665,1.3788614,1.0901594,0.49821335,0.98614,1.1056658,1.282189,0.98569673,0.98519844,0.9631633,1.1157395,1.1915199,0.7140615,0.8205171,1.265776,1.0948917,0.94920325,1.2231704,0.654169,0.9153273,0.9754815,1.226301,1.1126852,1.2564161,1.2127641,1.1729594
cat,1.274348,1.2919106,1.2219741,1.1487945,1.1097808,0.46571934,0.9637235,1.1286765,0.979933,0.7967843,0.7376785,0.7124622,1.0191972,1.1833767,1.1394271,0.8365939,1.3112018,1.0898285,1.2204043,1.1316023,1.1432563,0.0,0.81578416,1.0964478,1.0729154,1.2726899,1.0101966,1.2827697,1.2565389,0.76054114,1.0031393,0.9415436,0.8007773,1.2019143,0.7720607,1.1856136,1.062324,1.0063189,1.2325017,1.1130351,1.0590818,1.1568198,0.85077107,1.068411,0.76213163,0.9608455,1.1123425,1.1225847,1.1836243,1.0635837,0.6883908,1.0898844,0.8327427,1.2172046,1.1621054,1.0484408,1.0282001,1.2638286,0.8262786,0.819712,0.87447363,1.1007899,1.2679482,1.2426779,1.2567971,1.1612579,0.96606123,1.0948751,1.2461479,1.2942629,0.86208475,0.88069636,0.9673401,1.3116895,0.74682665,1.0818413,1.0233079,1.0370319,1.1656357,1.0759562,1.2055771,0.8187946,0.7536011,1.2266299,0.740124,1.1491247,1.1067383,0.9903916,1.0519557,1.1148504,0.54577863
chair,1.3534551,1.3797272,1.1643529,1.2397512,0.81562364,0.763718,0.72320205,1.1285908,0.84131294,0.7845234,0.94949293,0.7705258,0.97191334,1.3105462,0.97177505,0.5651214,1.3160987,1.0343852,0.97689646,1.0853478,1.0974792,0.81578416,0.0,1.3475091,1.0222515,1.3893932,0.6880924,1.3739767,1.1560894,0.7386035,0.9892799,0.92415845,0.8331437,1.3267941,0.98371804,1.1446011,1.2941642,1.044431,1.2733785,1.0964605,0.885596,1.1625223,0.6738453,1.0898368,0.9082198,0.9347502,1.112875,0.9430246,1.2396421,0.42315912,0.9509271,1.2914307,0.87829137,1.1088228,1.2634047,1.0606599,0.98766196,1.414494,0.59808934,0.83054686,0.7891097,1.0756239,1.2341175,1.2779009,1.2453283,1.0182884,0.9948394,1.1638871,1.2144744,1.3907177,0.592932,0.6226172,0.9407245,1.1246132,0.70853555,1.2373642,1.1238832,0.63011646,1.1450951,1.3079275,1.4444717,0.9234665,0.7822999,1.1652503,0.8872024,1.0371208,1.0545759,1.0056251,1.0147774,1.3479314,0.71846193
clock,0.7299535,0.71400285,0.9092543,1.056953,0.9243663,1.0754818,1.1174089,0.4682758,1.2609805,1.2352151,1.110844,1.3430914,1.0151733,0.4638902,0.99876755,1.2118627,0.93805355,0.924571,0.62759185,0.8977788,1.1863939,1.0964478,1.3475091,0.0,1.0560411,0.87318546,0.93215114,0.5636314,0.5179969,1.2368113,1.1505206,0.88519835,1.1669621,0.96403104,1.1621432,1.0525324,0.8579049,0.863569,0.6570002,1.0980183,1.0817957,0.86394435,1.4031699,1.0629531,1.19669,1.4003379,0.89229894,1.0113313,0.7749026,1.1986853,0.9515222,0.8917697,1.2743195,1.1121696,0.84994024,1.1113074,1.2793813,0.51998687,1.1059055,1.1969012,1.1893704,1.136115,0.7082343,0.65483123,0.8754546,0.9801369,0.893623,0.98024863,0.9561028,0.67204404,1.3887408,1.1332836,1.1232307,0.9139348,1.3344676,0.83501357,0.32134467,1.3202021,0.64102715,0.52310693,0.5414313,1.2694367,1.2227422,0.97217804,1.1748329,1.0992419,1.1417074,1.0746125,0.7997563,0.47157848,1.0692446
coffee,1.0733845,1.1950836,1.0244156,1.0979768,0.7210667,1.1111854,0.8668159,1.1476811,1.1998614,1.0521309,1.0345128,1.1414721,0.76765305,0.73969567,0.68172526,0.941443,1.1586051,0.5629477,1.0019147,0.9111546,1.2067236,1.0729154,1.0222515,1.0560411,0.0,1.1588563,1.0250515,1.1474538,0.967857,0.95744973,0.887485,0.80031383,1.0063579,1.1767244,1.1001663,1.1693176,1.2208395,0.7359646,1.2657266,0.85687953,0.96141815,1.3549328,0.94764066,0.8943141,1.1470972,1.1058629,1.1456304,0.48808962,1.1804647,1.0721245,0.94481146,1.0312562,1.165734,1.2267717,1.1414971,1.045069,1.1187149,1.0306821,0.6307657,1.0202594,1.0049459,0.9463966,1.1629367,1.2794087,1.0458465,1.0048006,0.73136556,0.8388955,1.2650255,1.051679,0.8968738,0.7915705,1.0897295,0.9722797,1.1604602,1.0435266,1.0053626,1.1688068,1.2329955,1.0052547,1.1554413,1.0901141,0.8409093,1.1687573,1.1374211,0.99813616,0.7368362,0.77386373,0.88415843,1.1043189,0.95041585
cookie,0.57564616,0.50036234,0.8513904,0.5629339,1.0275279,1.1973218,1.159168,0.8375496,0.8968985,1.3720803,1.0789163,1.2850115,1.2320306,1.0231041,0.94768167,1.2986606,0.12018669,1.1613966,0.8904605,1.0311449,0.83211875,1.2726899,1.3893932,0.87318546,1.1588563,0.0,0.9836235,0.76260316,0.7726053,1.1800818,1.2361456,1.131516,1.2849133,0.48993593,1.2027292,0.7208592,0.7383356,1.1327748,0.68243587,0.85747147,1.0162922,0.6706507,1.3302963,0.8892825,1.2176335,1.0446715,0.79468846,1.1019864,0.71581596,1.1440339,1.2234064,0.64852035,1.2202843,0.43200195,0.66463506,0.8750221,1.1242539,0.69257647,1.3762801,1.3385454,1.225482,0.8798506,0.86289215,0.7364669,0.5759576,0.89901835,1.1810759,0.851184,0.5769058,0.59964705,1.3060861,1.463523,1.0204406,0.86025816,1.3426087,0.7824932,1.0404017,1.2126472,0.71153337,1.044713,0.6107241,1.2523304,1.3482175,0.6846094,1.2455279,1.0030656,0.99491423,1.1061461,0.9655813,0.78593165,1.3673633
couch,0.982269,1.085331,1.16909,0.8163955,0.56067663,0.9071893,0.9119644,0.904732,0.9513614,1.1822605,0.9875629,1.2256129,0.8861647,0.9215932,0.8631443,0.9237763,1.074842,0.7856868,0.6848494,0.91105527,1.0067744,1.0101966,0.6880924,0.93215114,1.0250515,0.9836235,0.0,0.96819115,0.7867585,0.94755906,1.1355352,0.7475373,1.13649,0.84477985,1.2870054,0.9724724,1.1026732,0.8082844,0.9032049,1.001625,0.8872832,1.1304791,1.0428216,0.95389795,1.2548048,1.1936871,0.92800397,0.86887205,0.93822587,0.8128334,1.0825844,0.75640523,1.1082686,1.1542975,1.1439776,0.82647896,1.2696745,1.0003381,0.8246581,1.1686528,1.191914,1.126796,0.96148825,0.965016,0.9030837,0.71814096,0.7902504,0.9798007,1.0336888,1.0461421,1.0230076,1.0353882,1.1373144,0.85501575,1.1861767,0.7833142,0.800877,1.0216953,0.8876076,1.078697,0.9493525,1.2650625,1.2887911,0.99306345,1.2419688,0.6604848,0.99568003,0.91435575,0.80077976,1.0640053,0.995936
crayon,0.48371774,0.57214195,0.89131105,0.8656511,0.9524414,1.2624065,1.1413,0.5681602,1.184765,1.3756938,1.1696514,1.4096895,0.99648124,0.48000878,0.92541474,1.2840525,0.82585317,1.0204453,0.5507033,0.88035107,0.97244793,1.2827697,1.3739767,0.5636314,1.1474538,0.76260316,0.96819115,0.0,0.43624914,1.3292191,1.1348624,1.0751659,1.295647,0.7309986,1.3018631,0.81424195,0.86008763,1.0212324,0.37483895,1.1287569,0.8935088,0.67194575,1.4902886,0.9199551,1.3480341,1.3284642,0.8042736,1.1056485,0.34826493,1.1240305,1.2650906,0.801443,1.2639492,0.95241,0.7586515,1.1457772,1.1855712,0.37178123,1.288821,1.3614721,1.3730726,1.3223243,0.26144898,0.16873032,0.6500011,0.9282929,1.0612575,1.0436497,0.7011693,0.4934479,1.4124746,1.3610317,1.1588844,0.5300715,1.4904034,0.66331196,0.5994233,1.1809943,0.6025147,0.5240294,0.37850702,1.320392,1.4032738,0.8781756,1.1434674,0.9764058,1.0111377,1.1028879,0.8314501,0.40730584,1.3387117
cup,0.42726058,0.53501153,0.87051713,1.032453,0.6760243,1.1876053,1.1936125,0.3981701,1.2756903,1.3718832,1.1210536,1.4566882,1.1464375,0.42724866,0.96814257,1.2782837,0.7911907,0.8967967,0.30914378,0.8262645,1.123575,1.2565389,1.1560894,0.5179969,0.967857,0.7726053,0.7867585,0.43624914,0.0,1.299009,1.2412944,0.92942244,1.2975307,0.88615614,1.3742923,0.81280804,0.87941456,0.7908028,0.59497464,1.1817524,0.8366803,0.7565985,1.4054174,0.88543576,1.3624532,1.4064524,0.7281665,0.90811396,0.6901657,1.1634248,1.238181,0.8786716,1.3249439,0.92710006,0.62174344,1.2569766,1.3331128,0.37435257,1.1212634,1.3718543,1.4544914,1.3199477,0.6747312,0.5647725,0.75317657,0.84089327,0.84795856,1.1731972,0.8144405,0.4400792,1.4082375,1.2215571,1.1559927,0.62249136,1.4600877,0.6747856,0.59590864,1.1997296,0.5247884,0.6179156,0.47975564,1.3783767,1.4621912,0.91673464,1.2916069,1.0111693,1.001154,1.2844774,0.5390675,0.4140339,1.1958345
dog,1.3624347,1.2338357,1.1199427,1.1085976,0.9720494,0.8604651,0.8092728,1.2022923,1.0275806,0.8638035,0.61292297,0.8190748,0.9326896,1.1892927,1.1289316,0.911182,1.1109434,1.0925603,1.1734619,1.0208149,1.2090107,0.76054114,0.7386035,1.2368113,0.95744973,1.1800818,0.94755906,1.3292191,1.299009,0.0,0.8885081,0.996818,0.84837085,1.165185,1.0258476,1.2168097,0.9781468,0.8616122,1.2079109,0.71491665,0.74096984,1.2731396,0.88577217,0.924505,1.0046338,1.0442885,1.1303263,1.0014265,1.2793949,0.8497597,1.0505491,1.081547,0.8291155,1.1330552,1.2094907,0.9936793,1.1125407,1.3289781,0.8685948,0.809258,0.9368892,0.86117816,1.2887805,1.3921081,1.1641763,1.1990632,0.82498795,1.04545,1.2556276,1.2967156,0.802133,0.7614685,0.8868215,1.0856909,0.8252829,1.0044476,1.1402974,0.9283742,1.290881,1.1872257,1.2267663,0.9472486,0.8775084,1.267493,1.0053605,0.96876144,0.83116406,0.95441985,0.912132,1.2670387,0.7696779
doll,1.1463853,1.269458,0.9473735,1.1690385,0.97001785,1.1020976,0.9485093,1.2411588,1.1330696,0.8842592,0.9135711,0.963615,0.8229704,1.0522927,0.9829283,0.90419966,1.2263961,0.9615879,1.2654135,0.85927624,1.1137762,1.0031393,0.9892799,1.1505206,0.887485,1.2361456,1.1355352,1.1348624,1.2412944,0.8885081,0.0,1.0260453,0.9572055,1.2088253,0.96023226,1.0899336,1.109304,1.033567,1.1394713,0.7252764,0.9766978,1.1644776,0.88917226,0.9462407,0.9406945,0.91898525,1.0306697,1.0216088,1.166614,0.8489271,1.0198406,1.1859989,0.9529267,1.2194464,1.0889249,1.0383992,0.9338324,1.1476151,0.9998319,0.858328,0.92052865,0.95050204,1.0601189,1.1715304,1.2236519,1.1468905,1.0136868,1.0510892,1.1487967,1.1609452,0.7782595,0.82047355,0.7480433,0.8141674,0.9844081,1.0741866,1.1175675,0.990488,1.1123452,1.0391582,1.1372652,0.9810146,0.8359698,1.0952626,1.0082015,1.0420442,0.625163,0.94156754,1.0879766,1.126889,0.9387012
door,1.262636,1.2128931,1.1744155,1.1267715,0.73773026,1.0175238,0.86869735,1.1575724,1.0956358,1.0898716,0.97461224,1.1740155,0.7741567,0.8657436,1.1422086,0.7700009,1.2110798,0.6306152,1.0149311,0.9267766,1.0555931,0.9415436,0.92415845,0.88519835,0.80031383,1.131516,0.7475373,1.0751659,0.92942244,0.996818,1.0260453,0.0,1.0633831,1.1594677,1.0704516,1.2311198,1.1338778,0.79607844,1.0679309,0.9676066,0.99309605,1.1936353,1.0818762,1.0671335,1.0591036,1.1343145,1.157817,0.64743423,1.0526464,1.0199139,0.9233592,1.0313989,1.1645383,1.2535417,1.0782995,0.86485064,1.1707106,1.1227744,0.60934746,1.1131907,0.9099375,0.9407009,1.0087714,1.0871407,0.9813994,0.85779214,0.7914711,0.98689294,1.2708087,1.1691363,0.9054029,0.69406176,1.0631113,1.0849867,1.0801945,1.0762496,0.84623015,0.99956065,1.1781131,1.0711017,1.1678967,1.1058764,1.0722485,1.1622277,0.9567471,0.82234764,1.0209229,0.6119108,0.913852,1.151327,0.7512089
dress,1.2976224,1.2500086,1.2024097,1.3014002,1.1311352,0.81801826,0.93395257,1.1527815,1.109797,0.25593436,1.0082515,0.60141546,1.0350378,1.1585445,1.1710649,0.8769194,1.2794926,1.0790238,1.238773,1.0648814,1.1854302,0.8007773,0.8331437,1.1669621,1.0063579,1.2849133,1.13649,1.295647,1.2975307,0.84837085,0.9572055,1.0633831,0.0,1.3534815,0.7770003,1.2508651,1.2334651,1.0212129,1.2588571,1.1111017,1.1315622,1.2673032,0.8764853,1.1640179,0.75500405,1.0615119,1.2451923,1.0398251,1.3086305,0.94669265,0.8726333,1.2634667,0.7444109,1.1981227,1.2419832,1.1677223,0.9263953,1.2532618,0.9337133,0.15841448,0.90567845,0.86987674,1.3437667,1.2817795,1.2864113,1.272927,1.0135978,1.1067111,1.262727,1.2771441,0.93747354,0.8462286,1.0907686,1.3464631,0.481533,1.290976,1.1662614,1.0860982,1.2700152,1.0255922,1.303502,0.63851815,0.6624784,1.2655492,0.95236546,1.1801426,1.09204,1.0274785,1.0769598,1.1309474,0.8383492
egg,0.69856864,0.5282452,0.8288273,0.06571132,1.0733006,1.1748929,1.3864509,0.90925515,0.66549003,1.3996108,1.0231023,1.3307748,1.1462988,1.0292363,0.88783807,1.3684173,0.5190445,1.1201507,0.8586523,1.1033872,0.59734297,1.2019143,1.3267941,0.96403104,1.1767244,0.48993593,0.84477985,0.7309986,0.88615614,1.165185,1.2088253,1.1594677,1.3534815,0.0,1.2386596,0.69368243,0.6111228,1.1765103,0.5639329,0.952231,0.9267514,0.78070354,1.2464566,0.87985104,1.2904081,0.83272636,0.850001,1.1003104,0.700596,1.1609062,1.2367241,0.23416984,1.1760231,0.63893276,0.75567055,0.69389385,1.0902991,0.7505437,1.38594,1.363769,1.2952042,1.1526853,0.75742114,0.70411086,0.5007548,0.77391046,1.2147945,0.75240433,0.5124323,0.7228103,1.2194798,1.4887998,1.0026066,0.8545877,1.3412673,0.6987922,1.0571115,1.0238281,0.80322826,1.04814,0.59470475,1.3055633,1.342262,0.6255132,1.2084785,0.80814016,1.0450958,1.0652516,1.0474479,0.9365727,1.4000127
face,1.1702676,1.1519248,1.145933,1.2251107,1.3279421,0.87373215,1.0501859,1.209295,1.0591251,0.7306845,0.9728966,0.7019545,1.1838136,1.190953,1.1996882,0.8967255,1.1737831,1.0832418,1.3307128,1.1520743,0.95842576,0.7720607,0.98371804,1.1621432,1.1001663,1.2027292,1.2870054,1.3018631,1.3742923,1.0258476,0.96023226,1.0704516,0.7770003,1.2386596,0.0,1.0993917,1.1832293,1.2120441,1.2699401,1.1744336,1.253165,0.9271867,0.77163786,1.2031709,0.14910388,0.7898634,0.90737635,1.0549057,1.2352339,1.0594599,0.8002483,1.2535033,0.88429964,1.0073591,1.0310711,1.1468685,0.64317274,1.2218199,1.0185959,0.77852726,0.81283104,0.9889722,1.2429539,1.1887372,1.28216,1.1304117,1.1742947,1.1044306,1.1131597,1.1650313,0.9048907,0.8618257,0.9833966,1.3690076,0.526967,1.3651792,1.1857986,1.0186936,1.176672,1.0624592,1.2822319,0.56056654,0.7395575,1.0896143,0.7812618,1.1783547,1.1933347,1.0949701,1.2621121,1.1476363,0.8631702
finger,0.4531219,0.66409564,0.99413645,0.84434915,1.0246863,0.92711735,1.293303,0.8146562,0.91041267,1.137747,1.1750714,1.0811605,1.2885673,1.0638789,1.0651995,1.3294739,0.6919288,1.2328541,0.80837,1.0549744,0.5810246,1.1856136,1.1446011,1.0525324,1.1693176,0.7208592,0.9724724,0.81424195,0.81280804,1.2168097,1.0899336,1.2311198,1.2508651,0.69368243,1.0993917,0.0,0.859143,1.1946397,0.8358139,1.1196312,0.9996774,0.6114602,1.0810926,0.8544203,1.0611582,0.7604207,0.6249621,1.2000873,0.7880068,1.1171271,1.3320442,0.8171958,0.89376944,0.701032,0.702663,1.2050883,0.8418474,0.78666526,1.3402964,1.2470951,1.3621677,1.2293738,0.82134914,0.63128877,0.96826094,0.74211156,1.2304798,1.3472271,0.34696388,0.67038137,1.2265197,1.3727627,1.0741009,0.75991476,1.081719,0.71372485,1.0678992,0.80949515,0.6466006,1.0738438,0.81910926,1.0277828,1.411728,0.7895287,1.2376916,0.92510533,1.0403008,1.4132935,1.0032063,0.89587593,1.3479747
fish,0.83099663,0.64457536,0.61338556,0.67707115,1.1049562,1.1631445,1.1763024,0.8431335,0.7877817,1.2305804,0.8346121,1.2422439,1.1988883,0.96557134,0.9974277,1.3067435,0.6847143,1.2201812,0.906685,0.98452604,0.9499105,1.062324,1.2941642,0.8579049,1.2208395,0.7383356,1.1026732,0.86008763,0.87941456,0.9781468,1.109304,1.1338778,1.2334651,0.6111228,1.1832293,0.859143,0.0,0.99221945,0.67991126,0.9462126,1.0417067,0.8224039,1.2781268,0.9826398,1.2325628,1.0691011,0.9954153,1.2057134,0.9273354,1.2004433,1.0991634,0.7051517,1.0348669,0.711608,0.792952,0.9122156,1.0810505,0.8000948,1.2993138,1.195503,1.1587181,1.041556,0.7924632,0.90595067,0.74429,0.886497,1.0249075,0.9427138,0.75516367,0.7941149,1.249116,1.2859678,0.9006026,0.9621226,1.207453,0.689667,0.9213877,1.0381246,0.83603454,1.0151836,0.74140275,1.224044,1.2618787,0.81391424,1.0563487,0.9967975,1.0490615,1.1871343,0.95789856,0.9291072,1.0985017
flower,1.0380809,1.0798607,1.0303612,1.1820743,0.6467508,1.0713857,0.8178762,1.0370164,1.2896731,1.1344994,0.9371183,1.272971,0.7342864,0.74416137,0.9833736,1.1482093,1.1619971,0.7438192,0.84473395,0.617964,1.3723052,1.0063189,1.044431,0.863569,0.7359646,1.1327748,0.8082844,1.0212324,0.7908028,0.8616122,1.033567,0.79607844,1.0212129,1.1765103,1.2120441,1.1946397,0.99221945,0.0,1.0442722,0.7330338,0.85335594,1.3821925,1.1623275,0.6975181,1.2389438,1.3372961,1.0357581,0.84086686,1.0650517,1.0847695,1.0310968,0.94303215,1.1624664,1.3542794,1.2127378,0.9531711,1.361327,0.9452919,0.8886398,1.0742064,1.0980101,0.9732891,1.0309415,1.1947086,0.93900627,0.9314485,0.054169893,0.99740297,1.3300757,0.96217453,1.1757996,0.81454825,1.1070416,0.84209603,1.2848778,0.67047966,0.7821765,1.2032126,1.2710658,0.8886841,0.89902246,1.2134039,1.0912166,1.2530959,1.1979825,0.7970505,0.666494,0.8462767,0.4988039,0.98483324,0.8753058
fork,0.6743805,0.56293905,0.9558006,0.6478924,1.0396515,1.2539291,1.2216699,0.5990808,0.934187,1.3463929,1.0289701,1.3704965,1.1291695,0.782306,1.0445195,1.3097272,0.6820535,1.1492215,0.6607287,0.9288782,0.8878386,1.2325017,1.2733785,0.6570002,1.2657266,0.68243587,0.9032049,0.37483895,0.59497464,1.2079109,1.1394713,1.0679309,1.2588571,0.5639329,1.2699401,0.8358139,0.67991126,1.0442722,0.0,1.035952,0.86626697,0.6451762,1.4413248,1.0373355,1.3107502,1.2330285,0.84594166,1.1291219,0.4137292,1.1038241,1.1720786,0.6932369,1.2258736,0.7719527,0.8270852,1.0666971,1.1561354,0.59545034,1.2783,1.2945772,1.323396,1.2948189,0.35285175,0.3657894,0.53606653,0.7870562,1.0603695,0.99893916,0.6201632,0.70778984,1.2615654,1.3621981,1.0453825,0.66196537,1.3917153,0.6256746,0.6562902,1.1334879,0.703447,0.87801945,0.4996819,1.2983403,1.4421382,0.75400066,1.1515319,1.0045369,1.1518403,1.1971731,0.90084004,0.6988099,1.2516072
frog,1.172239,1.1326706,0.95731604,0.8864774,0.8682843,1.2236476,0.93667775,1.1755784,0.9878747,1.1355727,0.7633433,1.1822408,0.70218945,1.1421394,0.90169716,1.0905001,0.8774128,0.93461365,1.1383107,0.6150882,1.0805988,1.1130351,1.0964605,1.0980183,0.85687953,0.85747147,1.001625,1.1287569,1.1817524,0.71491665,0.7252764,0.9676066,1.1111017,0.952231,1.1744336,1.1196312,0.9462126,0.7330338,1.035952,0.0,0.8816828,1.2019708,1.113929,0.8183927,1.2293057,0.99272364,1.0870432,0.937149,1.1179157,0.85719645,1.1052867,0.92432714,1.1437973,1.0848521,1.1305528,0.7845448,1.1440774,1.1995882,1.0429347,1.067431,0.9008884,0.7633115,1.0379074,1.2368942,0.91164374,1.1197054,0.7854953,0.75375056,1.1323688,1.1770668,0.94129074,0.9220951,0.9054565,0.7533972,1.2278538,0.91115177,1.1040372,1.0197067,1.2326834,1.180699,1.0124667,1.1639143,1.0507734,1.0465245,1.1356826,0.8716264,0.49752867,0.78434736,0.80167675,1.2028117,1.0445706
glass,0.94875056,1.0483503,0.94371736,0.9368407,0.7970753,1.015669,1.0030844,1.0111268,1.1368928,1.1821774,0.7898968,1.1768253,0.98781127,0.96268165,0.9810696,1.0868688,0.9816745,1.0071871,0.87942344,0.9201224,1.0131481,1.0590818,0.885596,1.0817957,0.96141815,1.0162922,0.8872832,0.8935088,0.8366803,0.74096984,0.9766978,0.99309605,1.1315622,0.9267514,1.253165,0.9996774,1.0417067,0.85335594,0.86626697,0.8816828,0.0,1.1154529,1.0037563,0.6791851,1.2379586,1.085032,0.9147296,0.935033,0.9292154,0.95387316,1.0887659,0.891021,1.0448835,1.0460564,0.9444597,1.0816346,1.217512,1.0259302,1.0107901,1.1530226,1.2217634,1.1021435,0.96401393,1.0241493,0.9162325,1.0009944,0.86091685,1.060315,1.0296339,1.005943,0.9791609,1.0354661,1.0777853,0.6590861,1.1528567,0.78685474,1.0325885,0.9759685,1.00762,1.0580759,0.8187721,1.1583692,1.2011682,0.8963616,1.153485,0.832708,0.67904234,1.0678515,0.8186561,1.0456109,1.1435304
glasses,0.5688293,0.5240001,0.8788268,0.92202884,1.255784,1.1284416,1.2696304,0.6232954,0.88530755,1.2299316,1.2061802,1.1454377,1.3346345,1.0476863,1.0703977,1.2016426,0.6621195,1.304335,0.7481808,1.1178626,0.5854429,1.1568198,1.1625223,0.86394435,1.3549328,0.6706507,1.1304791,0.67194575,0.7565985,1.2731396,1.1644776,1.1936353,1.2673032,0.78070354,0.9271867,0.6114602,0.8224039,1.3821925,0.6451762,1.2019708,1.1154529,0.0,1.203112,1.080091,0.8807695,0.9223382,0.61796373,1.2425979,0.61249524,1.132315,1.2028906,0.9722992,1.081146,0.4836148,0.58088803,1.1987528,0.78622866,0.6558468,1.400702,1.283279,1.2881781,1.3711865,0.7076019,0.5459737,0.9363213,0.79614025,1.3817831,1.2087096,0.39553678,0.62224907,1.2854258,1.3686032,0.98493487,0.7400523,1.096886,0.9660954,0.8781277,0.89324856,0.46171808,0.97786015,0.78250223,1.0529505,1.3218822,0.5905146,1.0045236,1.0415747,1.2903244,1.3937136,1.1361,0.7761097,1.1716361
