,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.0279768,1.443518,0.8101886,1.2178817,0.97798187,0.909889,1.0595015,0.7522917,0.8800767,0.546989,1.3652439,0.76059365,0.7621532,0.82652533,0.43791622,0.9667957,1.0660818,1.4205699,1.5033256,1.0308837,1.2461898,0.9018645,1.3241824,0.9831448,1.4667659,1.0218892,1.0734897,0.47692525,0.88525355,0.8956474,1.0808519,0.9176173,0.95417345,0.82574415,1.2678316,1.1167507,1.0436809,0.6989342,1.243823,1.4680653,0.8106806,1.4890306,0.9467962,0.36602235,0.8155983,1.0055082,1.1761026,0.81616807,1.2125568,1.2168553,0.6922632,0.73433053,1.323518,0.80657583,1.0193043,1.0072885,1.184438,1.1979811,0.85632706,0.76413536,0.7039691,1.4631144,1.2997184,0.82017267,1.256725,0.74554515,1.3406291,0.88089436,1.4241126,0.43315244,0.83509946,0.8149818,1.035602,0.7885193,1.2162849,0.94880545,1.1797246,0.96520305,1.0920424,0.6221183,1.2042428,0.9822127,1.461252,1.4130974,1.390257,1.3956728,1.1038957,1.4723654,0.8889778,0.61926126,0.59859526,0.82716984,0.7082156,1.3704333,1.4289719,1.3153521,1.0886772,0.6488202,0.84772503,1.3829699,0.51048005,1.1022196,1.0229433,1.1775105,0.85350204,0.86112916,0.6091367,0.9207167,0.72621447,1.1109531,1.0830297,1.3830318,1.0946472,0.75267327,1.5083122,0.5494758,1.4885608,1.1214361,1.2017169,1.3445313,0.9040449,1.2406148,0.9233309,0.8031676,0.6758808,1.3997161,1.4499342,1.2827389,0.791709,1.3907759,1.2646426,1.1630799,0.7959809,1.0037118,1.2530581,1.4307543,0.85233545,1.139877
ankle,1.0279768,0.0,1.1843479,0.875355,1.0507128,0.7998764,0.9396977,1.1294024,0.9045304,0.9082476,0.9632676,1.0602515,0.9458624,0.8832115,1.0870745,1.0216148,1.0774262,1.1121511,1.160462,1.1685143,0.9916358,1.197237,0.94271374,0.9861007,1.1774017,1.1164975,1.0767372,0.94942147,1.0877546,1.0587329,0.9880021,0.9893654,1.0932233,1.1802714,0.85971,1.0884389,1.0861081,0.974265,0.8495723,1.3440163,1.2211354,0.9851355,1.1687269,0.8984689,0.93468165,0.64886063,1.0341773,1.0609722,0.82674086,0.9960809,1.1612815,1.0166696,0.95978856,0.7732481,1.015371,1.2802613,1.044293,0.82446617,1.1201093,1.185713,1.041223,0.9091544,1.1713756,0.86823016,1.000146,1.1896588,0.8072834,1.125193,0.5009323,1.0982379,0.9793961,0.9403052,0.96003246,0.90175396,0.83275956,1.0893192,0.9523324,0.9981877,0.8098761,1.153507,0.8908764,1.1072936,0.9844445,1.056192,1.0533062,1.2453897,1.0924095,0.8568213,1.2134097,1.01163,1.0313002,0.7877538,0.9706957,0.99321246,1.2022234,1.2185853,1.0622934,1.0672989,1.0653355,0.9617509,1.2794503,0.92829514,0.68196356,0.88832355,1.124011,0.930663,1.0031132,0.9638637,0.93298984,0.86011827,0.9110848,0.7953006,1.1449641,1.0165315,1.0131745,1.1762049,0.9956201,1.2601545,1.0836198,1.105961,1.1392736,0.859937,1.1154115,0.77902853,0.9382794,0.941037,1.1386081,0.9830185,1.1939083,0.9230088,1.2082521,1.1386117,1.1717505,0.9582819,1.0368496,1.0134087,1.1761088,0.9879899,1.176765
apple,1.443518,1.1843479,0.0,1.1572366,0.43457365,0.8693384,1.0568327,1.1352246,1.5179597,1.2909987,1.5672883,0.5399637,1.63075,1.303739,0.8468916,1.541642,0.7422687,0.90441996,0.2451402,0.41405725,1.1961696,0.47985983,1.4356749,0.7604659,0.68414366,0.6842261,0.8294591,0.9808903,1.3439786,1.5278919,1.1368254,0.8542923,1.264566,1.0243834,1.3468039,0.84944534,0.9362967,0.9424058,1.5307524,0.5227319,0.29841954,1.4287648,0.28605092,1.1858218,1.3734382,1.2324243,1.1688355,1.2028193,1.3767252,0.8990299,0.5036708,1.319458,1.2428665,0.7899646,1.2901757,0.6568612,0.6993545,0.92908037,0.94340444,0.70820165,1.2398643,1.3941035,0.3999133,0.553781,1.1691008,0.61040527,1.3365768,0.4691239,1.2324868,0.39677888,1.2850285,1.2415874,1.336174,0.9414913,1.5011066,0.7728003,1.3923004,0.9939083,1.0350877,1.0417337,1.4032779,1.10043,1.0308635,0.48613465,0.49161237,0.6794232,0.65791476,1.0368828,0.33159262,1.3921545,1.318948,1.521107,1.4483613,1.3668194,0.5023121,0.3590395,0.60067534,0.98680586,1.2013512,0.9954089,0.49353778,1.2321231,0.8533079,1.2690694,0.85331154,1.2859595,1.0603085,1.0142906,1.034727,1.4502038,0.920877,1.2539358,0.5812189,1.1421483,1.4202471,0.23612094,1.3569856,0.2779131,0.9745014,0.94892335,0.5061597,1.1541252,0.45942628,1.1975728,1.382874,1.501358,0.40733075,0.43332082,0.7853397,1.3641714,0.75852096,0.3179134,0.82129174,1.117061,0.9604088,1.1022816,0.29890764,1.2659445,0.8670594
arm,0.8101886,0.875355,1.1572366,0.0,1.1970205,1.0718166,1.0778402,1.1771879,0.83266366,0.68082553,0.6827382,1.0940639,0.789037,0.83213526,1.1974407,0.74629277,1.1919127,1.2076683,1.1055875,1.3172559,1.2111032,1.0231332,0.96299595,1.3135539,1.3287135,1.262493,1.1008807,0.93675745,0.7424159,0.8443141,1.1280644,1.2760823,0.97164726,1.1246865,0.70168746,1.2452687,1.2708457,1.1972817,0.7386879,1.2533373,1.2186764,0.87166584,1.1849723,1.0718637,0.85705316,0.9939485,1.1048397,1.1870813,0.7661487,0.9443672,1.1914696,0.68196964,0.69437367,0.92342204,0.92293435,1.277358,1.1496531,0.9512723,1.3052242,1.3450055,0.8438096,0.7031552,1.0908675,1.1615957,0.8596796,1.1865368,0.6459975,1.1057434,0.6122896,1.1656563,0.8844647,1.0487932,0.63142884,1.1909811,0.63081646,1.2260807,0.94114465,1.2324177,1.0783792,1.183517,0.7848134,1.1777704,1.0970814,1.1768332,0.9891804,1.2829154,1.1271142,0.88026845,1.2268734,0.8841856,0.777148,0.4886012,0.7076368,0.8950593,1.2231808,1.2134349,1.3068291,1.1724765,0.8803364,1.0490075,1.297584,0.9966175,1.0965064,0.9686251,1.1339163,0.98384416,0.81229717,1.150673,1.1854371,0.49147904,1.2719735,0.78199744,1.1713051,1.1081071,0.7248585,1.1397448,0.7947977,1.2897253,1.1371069,1.2065204,1.2761304,1.0577134,1.1802013,1.1186891,0.5472001,0.7402373,1.3671021,1.0480684,0.93091404,0.8239645,1.2276068,1.3069286,1.3420753,0.86309296,1.1466,1.0723237,1.0588336,0.9459437,1.0048891
ball,1.2178817,1.0507128,0.43457365,1.1970205,0.0,0.55880225,0.8766301,1.0787233,1.313653,1.2283057,1.3617804,0.8154377,1.4140507,1.2169008,0.94551516,1.2572782,0.7752426,0.98955643,0.74223423,0.74517787,1.1188076,0.7580772,1.2169919,0.8151891,0.791523,1.002763,1.0225524,0.8728283,1.3257403,1.3711158,1.1423887,0.82641506,1.2392485,1.0330868,1.2073445,0.9332121,0.98451596,0.7817741,1.3258849,0.74794567,0.65486765,1.2976316,0.7579951,1.0085837,1.1916046,1.0310771,1.234348,1.0819372,1.2020845,0.88563955,0.45956385,1.282743,1.0877271,0.7948417,1.1791811,0.87284106,0.83877814,0.9991626,1.0837532,0.79887676,1.176753,1.2236602,0.8202019,0.73346734,1.1704124,0.6231418,1.1690977,0.70035887,1.0640444,0.71569735,1.1428447,1.0687019,1.232689,0.95068204,1.2398951,0.9939648,1.3058133,1.1150202,0.8344163,1.0662391,1.0880612,1.0619318,0.8761738,0.8413192,0.72014827,0.8553021,0.8757025,0.93211377,0.59336376,1.32387,1.1739815,1.2910001,1.2646348,1.2060373,0.8066408,0.7569032,0.73475295,1.0896819,1.0138278,1.1008837,0.8938556,1.118178,0.761918,1.086127,1.0135953,1.2253654,0.9886987,0.963908,0.95192224,1.2763209,0.891812,1.0559369,0.868193,1.1639084,1.2715397,0.69156426,1.2067697,0.5580773,0.8429126,0.9590073,0.7765801,1.118228,0.5865401,1.0477337,1.2492203,1.2929486,0.4306637,0.6833446,0.9347729,1.1576451,0.916493,0.4879371,0.96351963,1.1412641,1.0576347,1.202383,0.7251204,1.296094,1.0580161
balloon,0.97798187,0.7998764,0.8693384,1.0718166,0.55880225,0.0,0.753764,1.054287,0.92506564,1.0616252,1.0517311,1.1566728,1.0864594,1.0099683,1.0576608,1.0564579,0.79468524,0.99782157,1.0417618,1.143272,1.014008,1.1552404,1.0118711,0.86866665,1.1612085,1.1265241,0.96483415,1.0246964,1.1054813,1.1003857,1.1914238,0.75294447,1.1072716,1.133548,0.9889118,1.0752937,1.0425447,0.9046624,0.98683643,1.1952496,1.0992829,1.0144732,1.0623361,0.86768925,0.96165544,0.7359299,1.092287,1.1702573,0.94639003,1.0867487,0.76262575,1.0790713,0.982442,1.1014676,0.9979118,1.0878668,0.8314267,1.2238837,1.276247,0.9560956,1.1204109,0.82411784,1.1975756,0.98323435,1.0019026,1.1050128,0.93375915,1.0217395,0.99409556,1.1043842,0.96925926,0.77265286,1.0667534,0.7429246,1.06921,1.1993787,1.0672523,0.958722,0.6970299,1.1338865,0.8296897,1.0720503,0.6645259,1.1041148,1.1378,1.2485974,1.2306286,1.0337243,0.951575,1.014493,0.9825338,0.96963453,1.1443821,1.058369,1.1688443,1.1701643,0.9326537,1.2047992,0.96512705,0.83873534,1.2744677,0.9150133,0.59897643,0.90365356,1.1287013,0.9796238,1.0936494,0.95066786,0.8665204,1.0118865,1.0544454,1.0089658,1.02123,0.9957748,1.0444404,1.2089043,1.0516597,1.0768458,0.9395806,1.1844269,0.9419783,0.87438047,0.8096979,0.83587,1.019877,0.8786923,0.93477035,1.172934,1.2230172,0.9922877,1.2694601,0.836591,1.1565274,0.89194673,0.97813743,1.0780472,1.1922997,0.9436173,1.2203017
banana,0.909889,0.9396977,1.0568327,1.0778402,0.8766301,0.753764,0.0,1.015122,0.79716265,1.1085167,1.0874151,1.2046417,0.9802015,0.99489075,1.1110713,0.9588994,0.9481324,0.95842797,1.1642866,0.91611344,0.85876477,1.0154128,0.7948441,1.0465642,1.0059283,1.2275633,1.138448,0.97040963,1.1875156,1.0799038,0.67873406,0.93376386,1.1399992,1.1035758,1.0580395,1.0155141,1.028438,0.5520279,1.1100118,0.8818301,1.0639534,0.9702288,1.152478,0.8799039,1.1177152,0.85987806,1.1921183,0.9865375,1.1098964,1.1134201,0.7792436,1.1588581,1.0567669,1.0972898,0.97678155,0.92826384,1.0733804,1.0878447,0.8880604,0.80417424,1.0663472,0.7808784,1.2809976,0.8485634,1.1198814,0.7786504,1.1160843,1.0421302,0.93798614,1.22584,1.1312512,0.94787115,1.1629394,0.84042406,1.0285416,0.9710009,1.1190039,1.0246019,0.71598417,0.9957642,0.6985663,0.922962,0.70597756,1.2495639,1.1997427,0.7459592,1.1188726,1.141817,1.026006,1.0148985,0.9658642,1.0415785,1.1443439,0.7859347,1.0449953,1.0880448,0.6628296,1.0654478,0.76579,1.0775789,0.95066226,1.123608,0.82969123,1.0033965,1.1165079,1.0516564,0.99556226,1.0685855,0.8379677,1.1419644,0.9811697,1.0733173,0.9431155,0.79091716,0.9996028,1.2346193,1.0658777,0.97185135,0.7637791,0.72546375,1.0925326,0.91977197,1.0713654,1.0111445,1.1517653,0.84711015,0.8150968,1.2649657,1.05549,0.9196122,0.75630486,0.91255164,0.81069976,1.1095284,1.116536,1.132247,1.2318763,1.2264917,1.15636
basket,1.0595015,1.1294024,1.1352246,1.1771879,1.0787233,1.054287,1.015122,0.0,0.87354755,1.0844998,0.95073384,0.97252136,0.82287616,0.9651392,0.8889893,0.8825962,0.9607413,0.7036794,1.010206,0.9240341,0.5922348,1.0821364,0.9687688,0.6162559,1.1675518,0.6826111,0.98112965,1.0634358,1.0273671,0.81271887,0.88011736,0.8388165,0.9801481,1.1139417,1.2105267,1.0606103,0.6876716,1.0027003,0.9508561,1.1201594,1.0372292,0.66505814,0.9509286,0.7680303,1.060151,0.8954818,0.86799836,0.7283584,0.9449287,1.22708,1.1991171,1.1192787,1.1818198,1.2494018,0.856238,1.0348727,0.86374444,1.2166698,0.8268037,1.0848378,1.1708621,1.0513808,1.1582555,1.1200948,1.1240929,1.239052,1.2086487,0.9994562,1.2167757,1.0763557,1.1917657,0.82128376,1.0825287,0.88667446,1.1833793,0.89943135,0.62672013,0.78927004,1.1466908,0.85669935,1.1011028,1.0934416,1.0118029,0.9765302,1.2363272,0.9456775,1.1204817,1.2921238,0.9898418,0.76518834,1.0196455,1.0744232,1.1393284,0.8958519,0.99748415,1.0703515,0.9625322,0.8521184,1.0363722,0.9008069,0.9336349,1.101483,1.1271292,0.57362485,0.67843926,0.8108138,1.0805831,1.018342,0.82589304,1.200499,0.8635262,1.0280817,0.90214366,0.8026327,0.9653895,1.0526724,0.98437536,1.074917,1.0043514,1.0168717,0.93784714,0.9638638,1.0949601,0.7891582,1.1978147,0.9026418,0.9146894,1.2273605,1.215376,1.0427289,0.91548735,0.94205135,0.7486727,1.096023,0.96607584,0.8442702,1.2142208,0.9549521,1.0333128
bathtub,0.7522917,0.9045304,1.5179597,0.83266366,1.313653,0.92506564,0.79716265,0.87354755,0.0,0.7524154,0.45651746,1.5168742,0.35779953,0.95549864,1.2982054,0.59473515,1.1777018,1.0853498,1.4620186,1.2821454,0.7174914,1.3618596,0.68856984,1.1759536,1.4723668,1.2616651,1.1158717,0.97805566,0.73324835,0.49091256,0.8933855,1.0822122,0.7191957,1.0862247,0.68845844,1.0692551,1.1847696,0.9762409,0.5420746,1.3705927,1.4989438,0.5580055,1.4409096,0.43176252,0.765254,0.88242805,0.9791639,0.8581567,0.8922142,1.1502081,1.2466824,0.7683729,0.8290119,1.261991,0.78236544,1.4370178,1.1954483,1.3335457,1.2252791,1.3661534,0.927612,0.53960484,1.4900591,1.452795,0.79837334,1.4022689,0.8216852,1.4089751,0.9082202,1.5499159,0.91600406,0.68582493,0.81626153,0.89891315,0.6929632,1.2365483,0.6942899,0.8823307,0.7636513,1.0950599,0.74352324,1.0468358,0.9066897,1.3050694,1.351028,1.3650718,1.3851897,1.0975164,1.4043252,0.5601576,0.89524394,0.6909452,0.7711417,0.6358489,1.4303372,1.4731305,1.1820817,1.2042936,0.7841704,0.9330737,1.207329,0.99114996,1.1425173,0.8175034,1.1415188,0.8557453,1.0034138,1.1709814,1.0211213,0.7376145,1.2843009,1.0270782,1.3963535,0.28179026,0.62874234,1.5593361,0.70341057,1.4597635,1.0289015,0.9819596,1.4443587,0.8380939,1.3071437,0.97710806,0.7509804,0.2704239,1.4351348,1.5301535,1.174429,0.7438849,1.3305776,1.4603999,0.9956757,0.9028839,1.1462531,1.0227761,1.4658988,0.7989275,1.250942
bear,0.8800767,0.9082476,1.2909987,0.68082553,1.2283057,1.0616252,1.1085167,1.0844998,0.7524154,0.0,0.569193,1.1249195,0.67291814,0.7271313,1.1894927,0.6851861,1.2368767,1.3148494,1.2627332,1.3366816,1.152035,1.0781163,0.9694568,1.2704611,1.3236673,1.2576151,1.0860072,1.2257272,0.71430373,0.7625383,1.1738522,1.216822,0.84306794,1.1611662,0.6468546,1.0922902,1.2834433,1.109728,0.60945904,1.2402045,1.3923678,0.9110814,1.3099449,0.9563292,0.83390796,0.86974317,1.0624025,1.1628435,0.6592362,0.9874091,1.207433,0.3001197,0.8416047,1.0771016,0.898413,1.3395975,1.2003984,1.0775347,1.2634315,1.3750131,0.74101734,0.8324815,1.2032359,1.2935051,0.719557,1.3504395,0.74017715,1.243855,0.9188523,1.2363746,0.8768972,1.0471292,0.5882212,1.1279973,0.54969126,1.3183295,0.9541938,1.069109,1.0592805,1.1560923,0.87486917,1.1183182,1.0985364,1.2193398,1.1288273,1.3347254,1.2227719,0.99461627,1.2965388,0.8281578,0.7201415,0.50760627,0.60649955,0.9668617,1.367883,1.3454046,1.242073,1.0902729,0.7850386,1.0102425,1.2425405,0.96916914,1.2143184,0.85370445,1.1903138,0.9541201,0.77711546,1.1418099,1.2409147,0.44171786,1.2415067,0.78342867,1.311369,1.015093,0.7677013,1.2869627,0.7295342,1.3731595,1.1632463,1.2250161,1.3200116,1.0709122,1.2220494,0.8948434,0.45709068,0.6946565,1.3744364,1.2246492,1.0807563,1.0355257,1.3072681,1.4034714,1.3439395,0.8511567,1.1235968,1.121664,1.1775893,0.9049237,1.0481341
