,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pastry,pen,pencil,pillow,plant,plate,potato,pumpkin,purse,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.3815457,1.1773385,0.8476571,1.3231868,0.7994087,0.95576847,0.935925,0.9800843,1.2165842,1.2551703,0.0,1.0929312,1.2794113,1.2578044,0.98968303,0.9911568,0.7431662,0.84138143,1.066561,0.94133496,0.8898958,0.31672895,0.59435624,0.9933987,0.9660267,0.88127434,1.0632755,0.95556843,1.1321942,1.1753109,1.2279701,1.1862457,0.5594672,1.1963061,0.7654804,0.9272941,1.0392743,1.1696591,1.0597527,0.89209914,0.70795214,0.80167854,1.0796129,1.1188171,0.9145656,1.0802338,1.1401514,0.7716539,1.0053236,1.2088611,0.97201,0.96925473,1.0821185,1.0910506,1.140205,1.1912606,1.1301553,0.951621,1.1343645,0.9442832,1.1708701,0.65695816,1.1538566,0.61906844,1.2004411,1.0633767,1.0096418,1.2739719,1.1256119,0.8589739,0.94666386,0.7569644,0.9771903,0.93779856,1.0878013,1.3349546,1.0341957,1.1492132,1.2056025,0.7342104,0.5975963,0.9314903,1.1603452,0.9922436,0.84686244,1.0848743,1.0350087,1.208312,1.0180405,0.63662356,0.8673211,1.2046242,1.0285494,1.0699284,0.8485764,1.2595654,1.0731716,1.1436527,0.5805192,0.9856318,0.7388945,1.221242,0.71203387,0.7588486,0.509973,0.95718956,1.0513362,1.2641374,0.8392935,0.95432234,0.7281913,0.89448595,0.94456416,0.9494709,1.014368,1.0517976,1.0300708,0.6804733,1.0787822
bench,0.79346055,1.1487458,1.5429293,0.75034267,1.3508618,1.2959411,1.4111931,0.62714815,0.56425315,0.40898937,1.0929312,0.0,0.5952481,0.52443063,0.6015895,0.72922724,1.3950448,1.2350507,0.62354445,1.5136039,1.0756253,1.2278899,0.96549255,0.7724509,1.4171767,0.9197864,0.28586555,1.1221755,0.87736166,0.6686956,0.5536404,0.87032026,1.2519226,0.3979758,1.4504735,1.4001946,1.1600944,1.1256711,0.7300067,0.7323641,0.9719658,1.5139153,1.2249857,1.0255865,1.3172272,0.9302021,1.2342508,1.1590229,1.130509,0.97393835,1.3774517,1.0073701,0.7027947,1.1221589,1.0071422,0.9723843,1.0420738,1.2743154,0.7118643,1.228465,0.82811177,1.2209636,0.6857799,1.1992569,0.8313748,1.3169293,0.9201863,0.80298305,1.054295,1.465195,0.91512465,1.2823455,1.2351705,1.5689217,0.70701003,0.8512373,0.8777032,0.75351274,0.9682758,1.1675447,1.2566307,0.66602236,0.9858853,1.0304064,1.4103708,1.2215536,0.96457225,0.6830623,0.69235265,1.2897573,1.429111,0.8006104,0.98734695,0.8771992,1.3004025,0.6783752,0.8160894,0.8453337,1.4227779,0.758392,1.304775,0.7582985,1.3738683,1.4481041,1.1821418,1.0850074,0.95572716,0.48347652,1.319077,1.4623122,1.2900287,0.9779339,0.90068275,1.1450664,1.0441598,0.78768086,0.7029605,1.3213832,0.6414302
bib,0.6218364,0.9426658,1.4477625,0.61107564,1.3826983,1.2476019,1.3395444,0.77715063,0.6192715,0.54798895,1.2794113,0.5952481,0.0,0.5538448,0.6463118,0.8190979,1.517654,1.3258541,0.73939526,1.3480933,1.088973,1.2552209,1.1841475,0.9966335,1.3244456,1.021242,0.6968459,1.2691025,0.9048958,0.41121876,0.59910595,0.87497884,1.4575073,0.6064856,1.5012324,1.3074622,1.3299518,1.05785,0.96044326,1.0583948,1.061573,1.4367445,1.2220685,0.89065266,1.2202524,0.97133857,1.2078671,1.3802733,1.1689727,0.7694729,1.2711631,0.9195524,0.8060563,0.9393201,0.91106576,0.80470943,0.81243294,1.1837692,0.78675514,1.0865691,0.56123996,1.5065935,0.79434866,1.5096343,0.70119214,1.193111,0.9445085,0.6126176,0.9145477,1.414295,1.0850863,1.180419,1.2497504,1.4313676,0.7342881,0.5615156,0.72012436,0.6988658,0.80325294,1.320106,1.3396863,0.8911457,1.0202587,1.1200148,1.3010666,1.1941456,0.88531065,0.68469054,0.83874536,1.3091388,1.4534366,0.67130446,1.0850068,0.7360935,1.4604495,0.74988616,0.93051535,0.75065386,1.5974767,0.9537526,1.4170964,0.6725527,1.1380434,1.5247793,1.387984,1.0999007,0.75799966,0.62936646,1.3481622,1.275807,1.2847801,1.1251024,1.0677935,1.1829083,1.101062,0.9300825,0.93058926,1.3074343,0.82546854
blanket,0.52985895,1.0481669,1.4948295,0.67354476,1.3703437,1.3224359,1.3476658,0.8975678,0.56972575,0.104106784,1.2578044,0.52443063,0.5538448,0.0,0.59889865,0.9159498,1.5182693,1.4244409,0.9380223,1.4656065,1.2093866,1.2583697,1.2837265,0.91210407,1.4294899,0.8681314,0.62066495,1.286403,0.84624374,0.8054334,0.2631737,0.72741705,1.5009406,0.49049294,1.5878057,1.3757286,0.97915125,0.85218465,0.9204577,1.110042,1.1139758,1.5223955,1.1684391,0.91846436,1.3877084,0.78897417,1.0893612,1.5039432,1.1181139,0.86694205,1.341481,0.9117706,0.6638449,1.2022233,0.9748773,0.76062083,1.0303323,1.217795,0.56525904,1.2956231,0.59405303,1.5307449,0.8607805,1.5130495,0.73638946,1.2372557,1.0021614,0.5618955,1.0464898,1.4583771,0.9563524,1.3561541,1.1914445,1.547957,0.61757207,0.5705631,0.6873693,0.677093,0.7449652,1.3988283,1.3822241,0.46630025,0.9329096,1.2013552,1.3793318,1.2001998,0.8714032,0.6803148,0.78479743,1.3383795,1.5105486,0.65974814,0.9634259,0.6889798,1.5023793,0.72262466,0.94091773,0.8216661,1.5464116,0.6208122,1.4468672,0.7305999,1.3174889,1.6169889,1.331593,1.0759737,0.71497005,0.46116626,1.3850157,1.4145014,1.4096754,1.176353,0.90639436,1.167567,1.2648972,0.93424976,0.9596371,1.452747,0.77359575
boat,0.61215484,1.1035705,1.3265082,0.87048304,1.1979054,1.0549145,1.1720777,0.8587377,0.52261204,0.5821718,0.98968303,0.6015895,0.6463118,0.59889865,0.0,0.8574466,1.397361,1.1447579,0.79474974,1.3146472,0.9912587,1.05645,1.0869792,0.7606183,1.3566287,0.92845196,0.73079467,1.1976881,0.98256516,0.71051276,0.74005973,0.95616883,1.1573149,0.59756136,1.4233738,1.3808551,1.1529241,1.1349732,1.0336365,0.9401667,1.1189001,1.3883479,1.2109948,0.904132,1.2940278,0.7150085,1.1351019,1.24784,0.83419377,0.9292574,1.2774838,1.0437031,0.6273805,0.989571,1.0204202,0.831544,1.0644403,1.2269683,0.80755025,1.2943066,0.8461503,1.2903385,0.95133686,1.3195316,0.85801506,1.1998596,1.0101036,0.8879225,0.9851868,1.3998867,1.0074154,1.2085303,1.1485877,1.3886528,0.9033054,0.8530096,0.95702803,0.7878883,0.84176064,1.1595249,1.1564682,0.91765183,0.982384,1.0085402,1.3040321,1.1208779,0.951994,0.8379094,0.81586033,1.1700852,1.364326,0.86288494,0.9949525,0.9467249,1.3345828,0.7653597,0.94296473,0.5776825,1.3362243,0.7874278,1.2426664,0.97717655,1.0562925,1.3665459,1.2063707,1.1670524,0.87971455,0.6610584,1.1940112,1.4070634,1.3030144,0.99968755,0.98569936,0.87142956,1.1096302,0.9193695,1.0034506,1.2574787,0.82406694
book,1.0151391,1.1527858,1.1291529,0.9788849,1.0572947,0.9852233,1.0936351,0.7903291,0.86447716,0.9373424,0.9911568,0.72922724,0.8190979,0.9159498,0.8574466,0.0,0.985145,0.910782,0.53398854,1.1748931,0.8439212,1.0408359,0.8859646,0.8978134,1.1620779,1.2346001,0.86525965,1.0336723,1.0635009,0.8994885,1.0265843,1.0461501,0.8473737,0.8564681,0.991044,1.2068384,1.171978,1.0153852,1.0177683,0.7851273,1.0897241,1.1997049,1.2090982,1.1591791,1.0613762,0.9189131,0.9478233,0.9933324,0.8961065,0.7935904,1.2140379,0.89671665,0.8519543,0.7366296,1.1931504,1.0628885,0.9593767,1.1603658,0.9842249,0.78493106,1.1549603,0.95273095,0.9045289,1.0158638,0.97970533,1.1174896,0.84580344,0.96342325,1.1329732,1.2037493,0.7151692,1.1626977,1.2599995,1.1857492,0.86475646,1.1740699,1.1713455,0.4083442,1.0680387,0.81370986,1.0343834,0.881565,0.9695522,0.86042005,1.2270364,0.9874802,0.94805586,0.9384327,1.1558683,1.1181314,1.0796438,1.1272445,0.95663,1.1351581,1.030239,0.8726344,0.891166,0.90620214,1.1100209,0.99897933,1.0239657,1.0085826,1.0755883,1.067999,1.030604,1.0611911,1.1261916,0.80847657,0.989933,1.2882785,1.1650584,0.8479574,0.776289,0.7741977,0.7300832,0.9350667,0.9449036,1.041288,1.070171
bottle,1.4962523,1.1153712,0.41858584,1.526872,0.44209236,0.65560865,0.49014246,1.0492296,1.4093422,1.5279167,0.7431662,1.3950448,1.517654,1.5182693,1.397361,0.985145,0.0,0.46858692,1.1512631,0.53809595,0.60721993,0.7853476,0.573444,0.8688508,0.59205276,1.1504455,1.3576269,0.5055269,1.2162442,1.3634775,1.5306962,1.2999842,0.39854342,1.4453454,0.10369468,0.6145325,0.85759765,1.0194082,1.1367829,0.98556286,0.9317249,0.37587833,0.92031085,1.2700868,0.89489424,1.107641,0.7849355,0.64509517,0.92931944,1.062484,0.89873403,1.0685618,1.3118358,0.91008973,1.2606472,1.3180339,1.3956852,0.80110025,1.2583928,0.57821596,1.5142374,0.33698857,1.3310227,0.29219604,1.3140292,0.88931,0.9371146,1.4522151,1.1855315,0.48349535,0.85313225,0.88695776,0.79736805,0.45472866,1.3097643,1.4682906,1.4224257,1.2962725,1.3343632,0.5825158,0.64205337,1.1872307,1.0150018,0.80695057,0.61305493,0.8202864,1.0579604,1.3511434,1.2625415,0.6525654,0.3630845,1.4598882,0.922918,1.3830321,0.62522095,1.3089634,1.0974779,1.3584802,0.33647186,1.175626,0.3007233,1.4159638,0.93375444,0.3755132,0.37376285,0.8730971,1.3538761,1.4723802,0.48185408,0.85288787,0.79892606,0.7295086,0.88373274,0.7328384,0.86552215,1.0779363,1.05478,0.5866208,1.309607
bowl,1.2526855,0.9830836,0.5891383,1.4552639,0.58750665,0.607298,0.6379378,0.90112114,1.0960238,1.4435017,0.84138143,1.2350507,1.3258541,1.4244409,1.1447579,0.910782,0.46858692,0.0,0.8731952,0.53864,0.4679011,0.92496943,0.6547414,0.9519432,0.953259,1.1334509,1.2056004,0.5347982,1.2235651,1.1569364,1.5309935,1.2767181,0.5932747,1.2473668,0.37065995,0.9320039,0.9006604,1.1273475,1.1647567,0.7137438,0.91940445,0.5785892,0.9961076,1.3137934,1.002292,0.8712974,0.79619133,0.49121737,0.8384587,0.87538105,1.0328126,1.0752045,1.3227224,0.8478488,1.3480225,1.3203601,1.2772263,1.0546335,1.3121638,0.62678194,1.5294247,0.43760318,1.2499788,0.43477947,1.1462463,0.86184025,1.0610988,1.3928869,1.23257,0.80479026,0.7310428,0.96527076,0.8780961,0.56151617,1.0686095,1.4820781,1.4575666,1.2715691,1.3420689,0.5704154,0.69857717,1.0665944,1.0046096,0.24517697,0.8920659,0.74923754,0.9439109,1.1351116,1.2816406,0.92128885,0.68859816,1.4544524,0.912574,1.4151471,0.54021436,1.216315,0.6875856,1.1460783,0.554033,1.1479514,0.505194,1.2721527,0.685933,0.32334387,0.63499665,0.90985525,1.2983294,1.2866728,0.42575073,1.0210019,0.98305047,0.8642667,0.7831061,0.7469741,0.3760826,1.1058446,0.97421134,0.7885474,1.2719806
box,0.93124455,1.1019319,1.3152956,1.0076623,1.1789482,1.031542,1.209429,0.46368098,0.6145241,0.8776734,1.066561,0.62354445,0.73939526,0.9380223,0.79474974,0.53398854,1.1512631,0.8731952,0.0,1.2420498,0.6436794,1.1437302,0.73947245,0.9489275,1.2990179,1.2117473,0.63377285,1.0771693,0.98600084,0.7791518,0.9302015,1.0512297,1.0419501,0.5190732,1.0498471,1.3777416,1.1435926,0.98400074,0.8223424,0.5496916,1.0093927,1.330356,1.1922104,1.1942073,1.2244607,1.0295311,1.008499,0.9471012,0.92682344,0.721608,1.2824516,0.9576267,0.81961036,0.70686543,1.2269754,0.97028327,1.0267993,1.2751118,1.048082,0.781366,1.1079605,1.0672445,0.5910509,1.0881758,0.9555153,1.2319703,0.833925,0.92388386,1.1790154,1.383803,0.8906337,1.166511,1.2769784,1.2658763,0.8079303,1.039681,1.1490127,0.9117098,0.9825761,0.971558,1.1585827,0.92754954,0.94999456,0.78260165,1.3702923,0.9779049,0.7141326,0.71904397,1.0391939,1.2968056,1.2046827,1.082993,1.0168753,1.1214942,1.0049448,0.6457668,0.7204636,0.76147145,1.2874541,1.103506,1.1445174,0.9878723,1.0369229,1.145118,1.2413954,1.1044967,1.0689902,0.6361126,1.0376446,1.3915673,1.2271326,0.9161478,0.8982626,0.7152754,0.56920457,0.9487587,0.7304555,1.1720897,0.95388526
bread,1.3244268,0.74381554,0.31506872,1.357546,0.5787003,0.64182585,0.49840772,1.1713138,1.5589657,1.5098469,0.94133496,1.5136039,1.3480933,1.4656065,1.3146472,1.1748931,0.53809595,0.53864,1.2420498,0.0,0.95820034,0.85900414,1.0416348,1.2135005,0.53089315,1.0918474,1.4907734,0.8533594,1.2877309,1.313076,1.4754403,1.2211742,0.5523436,1.4928602,0.44423163,0.51510364,0.77462757,1.0044042,1.3890526,1.070251,1.049666,0.25147069,0.8471819,1.1235796,0.6957902,1.070035,0.8621174,0.69855547,1.0061285,1.2406876,0.6779537,0.96779704,1.3729501,1.0203593,1.0713145,1.2843649,1.1396664,0.8066672,1.286882,0.7914543,1.3457901,0.6139153,1.3129107,0.6744956,1.2223094,0.7324933,1.2124144,1.2339991,0.9432892,0.39227617,0.9590577,0.68540144,0.7204257,0.19337535,1.3802435,1.2976673,1.2501867,1.2876971,1.3112075,0.6977598,0.598631,1.1686492,1.2141292,0.85500884,0.45039803,0.7628326,1.0683298,1.4874871,1.2564523,0.64538956,0.49844277,1.3796763,1.0614133,1.2617689,0.67482555,1.3821945,1.2193711,1.1491377,0.45791376,1.2261819,0.37413514,1.185435,0.50051856,0.4686001,0.638195,0.9592341,1.0867314,1.5460742,0.606866,0.43394578,0.6104934,1.0358822,1.0018449,0.90219194,0.6773476,1.242738,1.3963091,0.66106796,1.3652047
bucket,1.1837857,0.9616716,0.8664983,1.4237115,0.7578703,0.60617393,0.8178103,0.62644,0.862146,1.2463802,0.8898958,1.0756253,1.088973,1.2093866,0.9912587,0.8439212,0.60721993,0.4679011,0.6436794,0.95820034,0.0,0.93169916,0.31279182,0.73174447,1.1142155,1.2201598,0.92446965,0.6532776,1.154646,1.0515202,1.352113,1.2382761,0.75763243,1.0210147,0.48392057,1.1652716,0.89668715,0.89175737,1.0017403,0.7181978,0.9112464,0.953899,1.0965387,1.3864592,1.1449296,0.92799234,0.78855044,0.69018555,0.6907231,0.79174757,1.2137283,0.8693737,1.1990958,0.6283368,1.4145094,1.1915357,1.2471813,0.95192224,1.2341764,0.57136,1.3144555,0.71365136,1.0062369,0.61748224,1.2447302,0.9225272,0.96565664,1.0733899,1.3292964,1.1512324,0.6704994,1.1109667,0.9551598,0.8852108,0.94795173,1.2965744,1.3316013,1.1937337,1.2130171,0.67659914,1.0323734,0.89312696,0.8775353,0.49126744,1.1763556,0.7939408,0.48948246,1.0066118,1.2415568,1.16379,0.8981439,1.3613893,0.780872,1.2794666,0.7214341,1.1013769,0.7295322,0.9530829,0.777241,1.2297574,0.9038408,1.1209178,1.0055317,0.66747355,0.91928446,0.92181516,1.1250434,1.1265199,0.5754675,1.1652414,1.2210451,0.90131736,0.676996,0.5132278,0.644941,1.0440625,0.6915001,0.87927616,1.2166449
butterfly,1.3100975,1.1872423,0.8059754,1.2414699,0.834895,1.0058281,0.86893684,1.0761734,1.2399514,1.2253025,0.31672895,1.2278899,1.2552209,1.2583697,1.05645,1.0408359,0.7853476,0.92496943,1.1437302,0.85900414,0.93169916,0.0,0.7013872,1.0261317,0.952852,1.0322572,1.1773478,1.0403003,1.153547,1.1612664,1.174549,1.2215607,0.67895687,1.2472885,0.7709708,0.85834694,1.0631262,1.1371716,1.1000248,1.0259658,0.8544856,0.7630583,0.9820603,1.0378377,0.93131423,1.0638635,1.0753139,0.8848,0.9952891,1.1589965,0.802163,0.9520151,1.1483289,1.1070703,1.0215007,1.1401691,1.162661,0.8789845,1.1781089,0.96820843,1.1003475,0.80453515,1.11234,0.74160147,1.2211844,0.93603766,1.0759413,1.2837799,1.0094029,0.8324288,1.017736,0.8379754,0.9361043,0.84027153,1.1028886,1.2681719,0.9363707,1.0806085,1.1509955,0.8165606,0.6682534,1.0248771,1.1635207,1.0969543,0.7961342,1.0629054,1.0507895,1.1967473,1.0619565,0.56835204,0.8421128,1.128281,1.0843514,1.0233527,0.8409402,1.1789759,1.0565983,1.1770762,0.6092067,1.0973332,0.86281407,1.1391706,0.6217336,0.78013563,0.63147277,0.89469683,0.91766024,1.2768813,0.84516096,0.8870781,0.70972735,1.0677762,1.0253927,1.0061424,1.0178046,1.0820745,1.1613324,0.8635564,1.0688968
can,1.3731759,1.1636739,0.9332688,1.3672771,0.8831097,0.85637796,0.97352785,0.7097793,0.9445257,1.2459595,0.59435624,0.96549255,1.1841475,1.2837265,1.0869792,0.8859646,0.573444,0.6547414,0.73947245,1.0416348,0.31279182,0.7013872,0.0,0.6941186,0.99351233,1.0330172,0.8349094,0.7838186,0.98267305,1.0632831,1.3079169,1.3072202,0.7102216,1.0096756,0.52506465,1.0084468,0.9976332,1.1514966,0.75917053,0.6904049,0.687426,0.9359536,1.1776994,1.3734905,1.0895153,1.1669767,0.96583045,0.72368085,0.9639786,0.91921645,1.1912732,0.95876545,1.1865221,0.9302573,1.3225495,1.2479637,1.2802538,1.0148594,1.202549,0.6588381,1.2344799,0.58699304,0.9009522,0.46411902,1.2252645,1.0662978,0.9694524,1.1873231,1.2753613,1.0476524,0.77416754,1.0565181,1.0350264,0.9910986,0.8047598,1.357357,1.1258906,1.1978515,1.2522494,0.69698,0.9193355,0.8053828,0.93978834,0.7615687,1.0295329,1.0492889,0.7661078,0.849713,1.0723836,0.93201697,0.8561978,1.3102376,0.96884143,1.0928371,0.76298153,1.077027,0.81335044,1.1062233,0.7058989,1.2122128,0.85994107,1.1225415,0.9612846,0.73869216,0.6884857,0.8445427,1.1043527,1.0861627,0.81274974,1.1466188,0.96885794,0.9573794,0.7643348,0.8790475,0.8263402,1.0128231,0.6184139,0.92853624,1.0199777
car,1.0453389,1.1516845,1.115238,1.083859,1.0625712,1.0170858,0.9596079,0.8069595,0.8615852,0.84524524,0.9933987,0.7724509,0.9966335,0.91210407,0.7606183,0.8978134,0.8688508,0.9519432,0.9489275,1.2135005,0.73174447,1.0261317,0.6941186,0.0,1.0861318,0.9714375,0.73317116,0.84761053,0.78903127,1.0264081,1.0211238,1.1116332,1.0004,0.8045198,0.9124634,1.2253053,1.0245935,1.0000215,0.7094516,0.8211547,0.8087365,1.1701583,1.0703042,1.1739213,1.2726302,1.0612153,0.8873771,0.9448637,1.0497988,0.8836306,1.1180315,1.1508787,1.0452758,1.0497359,1.1211852,1.0827137,1.1895905,0.9155388,0.97742903,0.9760612,1.0931598,0.92525667,0.94374,0.90549636,0.9989242,1.1362345,1.0226804,1.1106427,1.2076546,1.1486759,0.9721378,1.1942674,1.1604524,1.1707666,0.8908735,1.0700042,1.1277192,0.9881382,1.0787171,0.8645093,1.165041,0.8183761,0.8154578,1.006865,1.1914504,1.0530607,0.97687525,0.8086218,0.78438926,1.1111225,0.9822279,1.0710706,0.9745101,1.0364245,1.0001795,0.9555045,1.0106161,0.99587333,1.0297793,0.9311484,1.0525777,1.1843085,1.1931721,1.0124412,0.9883321,0.8718128,1.1122478,0.88231295,0.9468135,1.3423645,1.2186055,0.97985923,0.93895066,0.9905076,1.0782245,0.7551309,0.72309005,1.0953857,0.72690976
carrot,1.3499578,1.0430027,0.50086164,1.2432791,0.74464315,0.8423953,0.73483086,1.2050635,1.463845,1.4550229,0.9660267,1.4171767,1.3244456,1.4294899,1.3566287,1.1620779,0.59205276,0.953259,1.2990179,0.53089315,1.1142155,0.952852,0.99351233,1.0861318,0.0,1.1072772,1.3662691,0.8894282,1.0707178,1.2433459,1.3521383,1.2427336,0.63554585,1.3871076,0.5736388,0.517035,1.0107219,1.0397506,1.2027699,1.187459,0.9419955,0.43661177,0.77805734,0.98401576,0.66323185,1.2657608,1.0435414,0.8731494,1.0377506,1.2619079,0.51891375,1.1478884,1.197035,1.0233073,0.94370776,1.1952652,1.0349458,0.6921358,1.1938485,0.9552926,1.2358152,0.6730858,1.2063565,0.7229204,1.2491719,0.81347173,1.0985287,1.2950823,0.8241173,0.35451853,1.1014818,0.6440089,0.8520479,0.50789905,1.3142958,1.2874835,1.1105759,1.2203071,1.1974914,0.8418864,0.5969929,1.2656658,1.1220533,1.098301,0.38671577,0.99204147,1.1652616,1.3529402,1.1257629,0.6193549,0.4590782,1.2162256,1.1454741,1.0982231,0.7271289,1.3219609,1.3034848,1.1543667,0.61525625,1.1568413,0.5217421,1.2398161,0.86335,0.6264705,0.71777296,1.0533617,1.0738586,1.4586253,0.88358116,0.5105355,0.5053607,0.97454643,1.134381,1.0165441,1.0860032,1.1603488,1.2578797,0.61793584,1.2066011
cat,0.8387965,0.9120964,1.1513159,0.9255298,1.1612478,1.1827265,1.1196427,1.1916432,1.029799,0.88612515,0.88127434,0.9197864,1.021242,0.8681314,0.92845196,1.2346001,1.1504455,1.1334509,1.2117473,1.0918474,1.2201598,1.0322572,1.0330172,0.9714375,1.1072772,0.0,1.0342813,1.2170308,0.6830544,1.037151,0.91555357,0.91656345,1.2408575,1.0597228,1.2257316,1.0988591,0.71631575,1.119886,0.8770076,1.1221409,0.57378435,1.1129261,1.0061684,0.85607684,1.1784933,1.0770758,1.1101522,1.1138134,1.122285,1.0076516,1.038067,1.1266608,1.0374773,1.3098025,0.6806042,1.0466491,1.0066758,0.9470358,0.8616932,1.1497048,0.84386325,1.0524465,1.1524171,1.0935414,0.7830205,1.0148019,0.9653066,0.9208238,1.0310841,1.1245346,1.1432413,1.082222,0.74147123,1.1795017,0.9477177,0.8533147,0.7456077,1.0578839,1.0319934,1.1926019,1.0970898,0.8440311,1.03892,1.1825337,0.9928655,1.20572,1.115445,0.9171155,0.67694014,0.93322307,1.2240214,0.8840342,0.9737472,0.7435646,1.0062175,1.1012738,1.114273,1.0928717,1.0138446,0.7810134,1.188114,0.8560294,1.0270238,1.0805805,1.0324717,0.87406033,0.99710983,0.9472315,1.2580694,1.0403904,1.019502,1.1707398,1.1070994,1.3712335,1.2350748,0.96459967,0.9463661,1.1560282,0.8795608
chair,0.8643832,1.1704209,1.5122972,0.82770646,1.3457761,1.2272265,1.296577,0.5832143,0.55497533,0.4879799,1.0632755,0.28586555,0.6968459,0.62066495,0.73079467,0.86525965,1.3576269,1.2056004,0.63377285,1.4907734,0.92446965,1.1773478,0.8349094,0.73317116,1.3662691,1.0342813,0.0,1.0960014,0.88097966,0.65513337,0.53400546,0.89986086,1.2827568,0.41645932,1.3683228,1.334142,1.1299238,1.006541,0.67939824,0.723525,0.95444375,1.4931234,1.2158711,1.084505,1.2806085,1.0303283,1.1648501,1.0891227,1.0925008,0.987198,1.3297266,1.002393,0.74376154,1.0997866,1.0565611,1.0212457,1.02811,1.188186,0.7864653,1.1681057,0.8249177,1.2263029,0.67276496,1.1359816,0.9167758,1.3112271,0.97789407,0.833959,1.1351889,1.4743161,0.9455613,1.2664583,1.2479134,1.476197,0.6625548,0.9016142,0.8578525,0.87808007,1.0132141,1.1010231,1.3342927,0.6864978,0.9033024,0.97607154,1.4243463,1.1576676,0.72402936,0.6666155,0.8001252,1.3371899,1.3349212,0.8348227,1.0191975,0.8687122,1.1993499,0.7138709,0.76664984,0.7303382,1.3863494,0.8766053,1.3517523,0.8677033,1.2873658,1.3686459,1.280732,1.0121043,0.81900907,0.45546794,1.2107681,1.4100037,1.3142653,1.0921257,0.9227097,1.0365813,0.9946148,0.81396186,0.55013293,1.213277,0.6915084
clock,1.3087173,1.087774,0.68950236,1.394881,0.4814735,0.640777,0.68773043,0.79076064,1.1221004,1.320378,0.95556843,1.1221755,1.2691025,1.286403,1.1976881,1.0336723,0.5055269,0.5347982,1.0771693,0.8533594,0.6532776,1.0403003,0.7838186,0.84761053,0.8894282,1.2170308,1.0960014,0.0,1.2007148,1.0179005,1.403429,1.1258585,0.6865992,1.1207684,0.48121315,0.92917204,0.84642214,1.049618,1.0744739,0.8983738,1.1039939,0.6200434,0.82790303,1.1928188,1.0592005,0.8460188,0.8375033,0.66960937,0.86829054,1.0411354,1.0055968,1.251696,1.1658484,0.7544777,1.2981927,1.1700492,1.3304124,0.9503778,1.1349443,0.8595599,1.4837668,0.5806974,1.2319878,0.43349612,1.32448,0.9788568,0.99133664,1.3252509,1.2048199,0.7234009,0.86298096,1.0551548,0.7793691,0.6628524,1.2059536,1.3967514,1.4835562,1.2511537,1.1828748,0.74657965,0.81696653,1.1454723,0.9489097,0.5085073,0.89095527,0.5844901,1.0463685,1.1978891,1.1462033,0.9501316,0.6249444,1.3641503,0.79637617,1.4434355,0.7431762,1.1586369,1.017293,1.2577689,0.6708912,0.9777316,0.6307764,1.406615,1.1102213,0.56036323,0.7052828,1.0225681,1.3120613,1.245126,0.35037965,1.1030252,1.0385882,0.7478911,0.8927341,0.66777694,0.8559643,1.0346111,0.92760986,0.6771329,1.1707795
closet,0.80962706,1.1438498,1.3253756,0.72301024,1.3077189,1.2493011,1.2574017,1.0116233,0.7362561,0.83506143,1.1321942,0.87736166,0.9048958,0.84624374,0.98256516,1.0635009,1.2162442,1.2235651,0.98600084,1.2877309,1.154646,1.153547,0.98267305,0.78903127,1.0707178,0.6830544,0.88097966,1.2007148,0.0,0.8953673,0.8390428,0.9342281,1.3318217,0.8130998,1.264322,1.1484908,1.057112,1.1238414,0.4988867,0.9246746,0.6331072,1.3081279,1.1818384,1.0153766,1.3124131,1.1808531,1.1999928,1.18794,1.1395047,0.8643986,1.1137239,1.1764321,0.9593356,1.2338328,0.9099737,0.86466163,0.9439531,1.174857,1.0225921,1.071144,0.7658081,1.1382016,0.7460922,1.1908091,0.831054,1.1999876,0.9554539,0.9113736,1.0873332,1.254288,1.10135,1.1964297,1.2513437,1.3381805,0.67455316,0.8121324,0.77942276,0.9158846,0.8350643,1.2524005,1.185071,0.8757715,0.9865792,1.1620069,1.1722767,1.1685052,1.1063521,0.52709705,0.6120435,1.2202425,1.2056583,0.787436,1.0847441,0.6836928,1.0508549,0.8461244,0.94959,0.9703543,1.2882364,0.8873445,1.2718164,0.9495152,1.1521307,1.1659553,1.1926155,0.8879087,1.0121232,0.7559609,1.3092892,1.3288608,1.111634,1.141298,1.0728368,1.2839642,1.1805578,0.8936361,0.7921094,1.2959534,0.5855064
