,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1718743,1.2370592,0.7077162,1.30832,1.2983046,0.93515503,1.169996,0.7320095,0.71489525,1.2047192,0.8086666,0.53273124,0.7026329,0.896217,0.7574439,1.4702437,1.4032439,0.7280167,1.1944602,1.0996683,1.2724848,1.1254648,1.2902851,0.9656091,1.0468348,0.7888311,1.0574293,1.4029638,0.87571067,1.0376055,0.94687593,0.80803585,0.69315714,1.3347456,0.59389627,1.4783101,1.1793064,0.7604159,0.8983923,1.1973708,1.1594027,0.82583576,0.9167041,1.2762555,0.6542133,1.0027844,1.2155501,0.86165845,1.245814,1.0850942,1.2100809,0.626779,0.8080758,1.2750154,0.96139145,0.74962413,0.8068302,0.9858014,0.87357306,1.3395917,0.6273376,0.9382851,0.7052132,1.2506624,0.7019609,1.328288,1.159515,1.41523,0.6702421,1.0974953,1.0470043,0.7445056,1.1226354,1.3354871,1.1317945,1.2864835,1.2604159,1.2631888,1.0100701,0.8116962,0.7143142,0.8103262,0.53167236,1.3607689,1.2641991,1.252027,1.1887331,0.97995466,1.1522124,1.1871037,0.6969644,1.209359,1.1620419,1.2290274,1.005614,0.8982155,0.7513248,0.6308142,0.86110604,1.37182,0.7889127,0.921021,1.0588602,1.4036024,0.9401663,0.91577625,0.7139025,1.3882068,1.2834216,0.97614217,0.8868364,1.4021586,1.0025936,0.6856572,0.8071006,0.70196116,1.326447,1.3161606,1.2527695,1.0000341,1.1728629,1.1358743,1.0897375,0.98176146,1.3769825,1.3579112,0.83419156
ankle,1.1718743,0.0,1.0467458,0.87393427,1.0610063,1.0138706,0.9976985,1.0742209,1.3266692,1.0819577,0.6411267,1.1001844,1.0207037,1.0116234,0.9998877,1.1830572,1.0143726,0.98522085,1.2014138,0.9814092,0.98436946,1.028424,0.99565214,0.9764718,1.0743482,0.71428096,1.1077453,0.8911305,0.9681594,1.2398131,1.1028728,1.0749302,0.9512751,1.00353,1.0360421,1.3544213,1.0174348,0.9961667,1.0744889,0.9085472,0.94235253,1.0621974,0.8001898,0.8684372,1.0071778,1.048794,1.1207416,0.5922202,0.9602626,1.0550823,0.48750335,0.94900805,1.1993554,1.2113442,0.8820846,0.5149415,1.2397602,1.122296,0.91002715,0.66260517,0.9211679,1.0816972,1.0664971,1.0950154,0.91833496,0.95569575,0.95457745,1.1510586,1.07239,1.1524262,1.0844395,1.0746922,0.8530618,1.0373802,1.028397,0.82711136,0.71910816,0.82895434,0.8076199,1.0002074,1.2149606,0.93639505,0.81811005,1.2335043,1.0401615,1.0288688,0.84193027,0.7657926,1.033504,1.0815051,1.0421045,1.068428,0.85353,0.9203435,1.0634094,1.1251595,1.1922343,1.0726088,1.084339,1.140707,0.9805023,0.9828412,0.8604239,0.60839564,0.91208416,1.1955053,1.2283204,1.1539462,0.7081976,1.0477446,0.38269818,1.11581,0.9124674,1.0827494,1.1132416,0.78460276,1.2759075,1.0014048,0.6043945,0.8622141,0.92494917,0.8262373,1.1720922,1.0421443,1.1466575,1.0250614,0.78990823,1.2913071
apple,1.2370592,1.0467458,0.0,1.1088992,0.16330242,0.3665985,0.5096823,1.2381147,1.3361584,1.2485343,0.8893843,1.2974994,1.3250759,1.2554147,1.250874,1.1512347,0.6329414,0.73891073,1.3127122,0.6933624,1.313918,1.1663172,1.06597,0.8627,1.3377448,0.6678148,1.2094289,1.353668,0.60912275,1.2709894,1.3153446,1.2035913,1.2330303,1.1422381,0.454121,1.4033976,0.62825173,1.1016691,1.1529807,0.996939,1.2199683,1.0425929,1.0276122,0.83375055,0.5763623,1.2331698,1.030137,0.57283175,0.7143763,0.8946943,0.9101085,1.0948237,0.831383,1.3234627,0.6146024,1.092785,1.0881604,0.9139816,1.0063599,1.002616,0.5511428,1.1552662,1.339072,1.3348445,0.8368488,1.2729747,0.9167763,1.2053311,0.70659256,1.1135886,0.58535075,1.2514325,1.1499654,1.0313641,0.34687674,1.1205053,0.671532,0.70324254,0.5827972,1.4349657,0.85508347,1.1734315,1.3027596,1.2898345,0.46267617,0.7786824,1.0040089,1.1705055,1.0182803,1.0054616,0.855965,1.1257818,0.7549377,1.0423942,1.0016433,1.4400604,1.0949514,0.800432,1.0901697,1.0809591,0.6676167,1.2041913,1.07371,1.031995,0.7922045,1.2836641,1.2806394,1.2025281,0.48708016,0.4745965,1.1649262,1.0770065,0.90890235,0.9454162,1.318943,1.0942447,1.2754657,0.6280915,0.48272443,0.68808687,1.0351793,1.2007531,0.51280606,1.2362837,1.1870587,1.1369537,0.44152522,1.3309443
arm,0.7077162,0.87393427,1.1088992,0.0,1.2322855,1.2890012,1.2135277,1.3369563,0.7235936,0.4153496,1.0571572,0.4800458,0.51285785,0.5199499,0.9981834,1.0603119,1.448097,1.3929477,1.0113094,1.3339252,1.112865,1.3125392,1.1746174,1.4158262,1.0260323,0.8972432,0.85437477,0.9811611,1.4464828,0.8252785,0.99626875,0.947872,0.48563367,0.9280561,1.2710297,0.76434076,1.4457381,1.2266268,0.94106275,1.0432705,1.1544896,1.3163712,0.6493955,1.0025663,1.2404107,0.6940562,0.90932333,0.9832353,1.0169132,1.2987528,0.99535954,1.2548075,1.1411822,0.77435577,1.1321734,0.84212846,0.8205824,0.9531567,0.7932122,0.5391129,1.326679,0.8744317,0.8837728,0.5622687,1.2770729,0.47967678,1.3780504,1.1717317,1.4584641,0.8327544,1.2662752,1.0900747,0.78720975,1.2079685,1.1703203,1.3059458,1.082091,1.2311904,1.0061963,0.9301239,1.1629153,0.43453848,0.6294824,0.7035341,1.252059,1.1582831,1.2839355,1.1176201,1.0974269,1.2352711,1.3676744,1.0809739,1.3202403,1.2959051,1.3032513,0.9560272,0.7489647,0.9986113,0.843846,0.93303835,1.3864897,0.36739492,1.0109351,0.856634,1.4833887,0.9103092,0.8821569,0.7965588,1.3021215,1.391489,0.83938754,0.91745365,1.4528935,1.1989006,0.7177455,0.39280128,0.50195044,1.4442153,1.0371044,1.2292421,0.8843062,1.3388561,1.362333,1.134949,0.95463467,1.3980309,1.193649,0.8677691
ball,1.30832,1.0610063,0.16330242,1.2322855,0.0,0.10289496,0.6084441,1.1412727,1.3572779,1.3065951,0.9774202,1.315626,1.4423008,1.3126507,1.1783544,1.1079955,0.5304086,0.69335896,1.2503309,0.68695676,1.2633685,0.96353173,0.972542,0.7494857,1.2979543,0.7889359,1.2222733,1.2800133,0.58194226,1.2909435,1.2413713,1.1886197,1.2583625,1.23876,0.49568272,1.3814547,0.54501015,1.0756552,1.1402273,1.0002676,1.2106757,0.99047583,1.13214,0.90640926,0.5271145,1.2573867,1.0926139,0.6983553,0.81364965,0.7654637,0.9456403,1.0555763,0.8061108,1.3466434,0.70220876,1.0956244,1.1020583,0.9266379,1.0705328,1.1744998,0.49962318,1.1711874,1.3012455,1.3737321,0.7754568,1.293695,0.85071415,1.0983897,0.61252844,1.1433973,0.5756887,1.152882,1.1910312,0.9976749,0.42673808,1.069583,0.7823024,0.73700154,0.7108179,1.3901227,0.78106534,1.291322,1.3260204,1.311103,0.5209409,0.7936294,0.9234866,1.1413568,1.0583605,0.9238719,0.82449126,1.0952766,0.72584015,0.9273553,0.9086869,1.4087429,1.1037372,0.85799885,1.1373848,1.1398876,0.5485283,1.3199348,1.0551718,1.0718517,0.7209499,1.2949916,1.2804451,1.2084268,0.51400125,0.48709118,1.1824564,1.1193151,0.83052635,0.8562949,1.3536856,1.2039745,1.3131647,0.57969785,0.5676108,0.7466631,1.1202811,1.0984398,0.36515123,1.2174301,1.1657668,0.98245347,0.50389117,1.3220193
balloon,1.2983046,1.0138706,0.3665985,1.2890012,0.10289496,0.0,0.7449509,1.083381,1.3456674,1.3441713,0.9472097,1.3020896,1.4101776,1.3120867,1.0748565,1.059579,0.6364517,0.7207499,1.2022816,0.7558274,1.2232326,0.8351928,0.90614396,0.7452907,1.231821,0.77613306,1.2300406,1.1627543,0.68741834,1.3216555,1.1814069,1.1054295,1.2699053,1.2546903,0.6154311,1.341263,0.63549995,1.0117413,1.1476045,0.9646744,1.198883,0.90213835,1.1229101,0.9109013,0.4772271,1.2617005,1.125365,0.716033,0.8482846,0.82457995,0.8995981,0.9896893,0.8229522,1.3109987,0.8124643,0.9907051,1.0873575,0.87970173,1.1114146,1.1415448,0.58452606,1.1456193,1.2416717,1.3863388,0.81644046,1.3098404,0.8710508,1.0914457,0.67374915,1.1097994,0.6023612,1.0971527,1.1158328,1.0031246,0.62815785,0.96594465,0.7893492,0.8186435,0.75785714,1.3302872,0.8130698,1.2998378,1.3148092,1.2926795,0.65316015,0.79492664,0.8521589,1.0900888,1.0887272,0.9480679,0.8545374,1.0458676,0.7305891,0.95022255,0.9150649,1.3620939,1.1063614,0.9418608,1.1670926,1.1078225,0.55948883,1.3355584,1.0196882,1.040586,0.76525927,1.2977192,1.2413262,1.1122372,0.6320154,0.63610685,1.0656683,1.133379,0.8350447,0.8419306,1.3268452,1.195189,1.32761,0.6321762,0.65800303,0.7716361,1.0291193,0.99590117,0.36889648,1.1230288,1.1521381,0.96272963,0.6311609,1.3090322
banana,0.93515503,0.9976985,0.5096823,1.2135277,0.6084441,0.7449509,0.0,1.1682402,1.2775202,1.2799423,1.0802898,1.3516216,1.1541281,1.2406051,1.1185424,1.0982442,0.8268554,0.8188064,1.2511014,0.6374841,1.1646179,1.0923784,1.0155976,0.9948448,1.225333,0.82864594,1.1224482,1.3254333,0.82531166,1.3634112,1.2824997,1.099492,1.2512939,0.8174954,0.7212354,1.3250045,0.8246089,1.035285,0.98700327,0.8389192,1.2182326,1.1216055,1.0425708,0.96592927,0.7960794,1.1907582,1.0002017,0.7961743,0.6212854,0.836702,0.9330739,0.91684103,0.41482085,1.3246465,0.7928864,0.9040496,1.1103315,1.0054704,1.0744674,1.0803276,0.8069202,1.0519202,1.2314738,1.2850994,0.87509054,1.215237,0.79356074,1.2107177,0.87984073,1.1608144,0.54142845,1.1632338,0.9599745,0.9091667,0.7957351,0.83198845,0.91102767,0.9380495,0.96079475,1.3811129,0.7919039,1.1933926,1.2286282,1.2399901,0.74533904,0.821457,0.8914258,1.0105342,0.77918404,0.86520207,0.7441025,0.9146373,0.8035364,1.0121576,1.0536687,1.3943216,1.1859688,0.82277757,0.91997236,1.0367604,0.82483256,1.3099949,0.989639,1.1818253,0.79295194,1.291079,1.200717,1.0974718,0.720051,0.53688747,0.99671847,0.9794861,0.76204693,0.6836009,1.2828867,1.182055,1.3236885,0.7089552,0.7654387,0.8036827,0.9797526,0.86555713,0.58482337,1.0974352,1.164306,1.0830568,0.7888695,1.2983712
basket,1.169996,1.0742209,1.2381147,1.3369563,1.1412727,1.083381,1.1682402,0.0,1.0611167,1.1592962,1.0435984,0.9687072,1.2061152,1.1484156,0.9041356,0.84570175,0.84309614,0.8280689,0.6652249,0.8383049,0.8135227,0.67112494,0.9243622,0.70415086,0.6836536,1.280382,1.0953417,0.70509845,0.9136405,0.89565617,0.8499268,0.7906349,1.1322252,1.0337912,1.1073198,0.64844275,0.8495984,0.7844702,1.1198058,1.049155,0.86033463,0.42417818,1.1819398,1.2628627,1.1192561,1.0557369,1.1182697,1.2625155,1.3264089,0.8342013,1.0930059,0.78811324,1.145967,0.97601306,1.1398318,1.1252546,1.0323197,1.0830758,1.256901,1.3442601,1.053695,1.1408994,0.9991753,1.1025805,0.7961874,1.2377583,0.746503,0.65832007,0.8798288,0.98578155,0.9332524,0.81892455,1.1408181,0.8124107,1.1637424,0.7705217,1.1378901,1.0236964,1.0420005,0.8162083,1.0694764,1.2692258,1.195602,1.0788295,1.092458,1.1161119,0.8723114,0.79439056,0.80149454,0.8681946,0.75419223,1.0472953,0.8953703,0.77716184,0.60907423,0.87630427,0.97088706,1.3043551,1.1872149,1.2214345,0.91702306,1.2480446,0.95022064,1.1301872,0.8407153,0.9583333,1.0236461,1.0515621,1.0081714,0.9688367,1.1073554,1.2105486,0.7773539,1.0077353,0.99489385,1.3002491,1.1186253,0.76971006,1.2115238,1.0898874,1.2582085,0.6850313,0.97737,0.76024175,0.95330787,0.6536337,1.0778766,0.9337804
bathtub,0.7320095,1.3266692,1.3361584,0.7235936,1.3572779,1.3456674,1.2775202,1.0611167,0.0,0.5602444,1.2348369,0.5052395,0.7296344,0.7208981,0.8290168,0.9493305,1.4951634,1.1569759,0.7910564,1.3659011,0.8931823,1.0252941,1.2739537,1.3534409,0.87580574,1.2757856,0.63414276,0.9647246,1.3573785,0.46489167,0.8169221,0.90378743,0.728148,0.91045934,1.4441721,0.4035858,1.4106522,0.92285484,0.83014506,1.175288,0.8935278,1.1353012,1.0096135,1.1810908,1.1255972,0.74635315,0.933187,1.4177159,1.2146989,1.2820091,1.4170046,1.1856616,1.1541485,0.59203285,1.3708272,1.2852666,0.65904427,1.0837159,1.0260205,0.9719331,1.4751222,0.97896945,0.56638384,0.6906639,1.3184588,0.7336667,1.3707763,1.0416249,1.2841682,0.8375874,1.1305188,0.8788732,0.91988647,1.0902277,1.3465468,1.1933227,1.4181103,1.285139,1.2473544,0.6589631,1.1139171,0.7578878,0.8597175,0.64326215,1.4133842,1.2749921,1.1410754,1.152027,1.0617002,1.1493678,1.1845652,1.1050055,1.3782821,1.3405695,1.145212,0.56469274,0.64839303,1.1642622,0.72675574,0.60775495,1.4507045,0.7185001,1.0669503,1.1944262,1.4618208,0.5759346,0.13220572,0.66914076,1.5322608,1.4743781,1.2074691,0.7189349,1.3410951,1.1107334,0.7818801,0.84342515,0.4590497,1.259504,1.4915863,1.4461539,1.0293171,1.1904194,1.3150017,0.79926884,0.8612355,1.1867812,1.5054523,0.54141676
bed,0.71489525,1.0819577,1.2485343,0.4153496,1.3065951,1.3441713,1.2799423,1.1592962,0.5602444,0.0,1.0592277,0.2701155,0.58313257,0.14139682,0.95989645,0.95079416,1.522271,1.3683424,0.8168183,1.4182682,1.0318333,1.266403,1.2020797,1.3261094,0.85231453,1.2002485,0.75582147,0.7386928,1.5194323,0.5930804,0.8819393,0.95764923,0.27598137,0.93026334,1.435571,0.48805624,1.53059,1.2141654,0.8866513,1.0662663,0.99670786,1.264461,0.76621616,1.1250995,1.301362,0.61991686,0.9002044,1.2761018,1.2867658,1.3904116,1.1013198,1.3357558,1.167463,0.7120441,1.2819307,0.93578655,0.7596724,0.9935705,0.89852715,0.80690837,1.3891542,0.9306528,0.77458227,0.2713307,1.3010068,0.4506787,1.4850534,1.089649,1.4687599,0.85533655,1.2998087,1.011124,0.73505956,1.2544184,1.2869074,1.1198144,1.337783,1.2647661,1.0614183,0.83502734,1.0280328,0.41531628,0.5833591,0.6536036,1.4011745,1.3308033,1.2735205,0.74437535,1.1574244,1.2771062,1.3463141,1.1491877,1.4513416,1.2621217,1.2129921,0.85137874,0.732833,1.1375738,0.7481462,0.9281801,1.4678226,0.43429017,1.0308834,0.937102,1.5372276,0.7048273,0.7966927,0.68608797,1.4296021,1.4670238,0.9061183,0.9783986,1.5531238,1.141336,0.5378062,0.49837506,0.30617344,1.417804,1.3188764,1.3994048,1.0771013,1.1367304,1.3866038,1.1212461,0.934461,1.3569387,1.4098454,0.70451415
