,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
plant,1.0624897,0.97550553,0.9148404,1.1383662,0.95471615,1.0363736,1.0414041,0.99834883,1.0200496,1.02981,1.1376233,1.0323901,1.1116024,0.98198146,1.1122874,1.0797426,0.96217334,0.97667503,1.0290409,1.0404162,0.9419788,0.93748,1.0612452,1.0783042,0.8987545,0.8724131,0.96982574,1.1425346,0.94397175,0.9497459,1.0904987,0.9559358,1.0229858,1.1047823,1.1258662,1.0133122,0.96306217,0.79801327,0.9877855,0.8733879,1.1140615,1.1583135,1.1511214,1.0264472,1.0502712,1.1874558,1.1024306,0.18906158,1.0564097,0.9706841,0.9126687,0.9472104,1.2036314,1.2611547,0.9893621,1.1879292,1.0362035,0.93120015,1.1250168,1.1066084,1.1096982,0.864201,1.1438179,1.041758,0.7104327,0.93411964,1.0872232,0.9257959,1.027811,0.9385719,1.1782333,0.8750516,1.0586305,1.1679626,1.086989,1.2312492,1.0537661,1.0956932,0.9666832,1.0551858,1.1292572,1.1785288,1.0409969,1.1732984,1.1069671,1.0495247,1.1107129,0.8501163,0.0,1.0656713,1.0699117,1.0639507,0.9837562,0.9047002,0.9134165,1.0443187,1.1126475,0.9619691,1.1675826,0.99341416,0.93785787,1.0467728,1.0089097,1.1294147,1.023424,1.0075496,0.9156112,0.9131639,0.97168535,0.9452954,0.9472077,1.0175612,1.0003135,1.1013421,1.2373213,1.0814607,0.9831281,1.0802366,0.9767784,1.0500398,0.64936185,0.7930224,1.2119823,0.80856365
plate,1.0961305,1.2006143,0.69031537,1.0097017,1.1363624,1.1195655,1.1431597,0.8754314,0.895421,0.9955035,1.2232991,1.039999,0.81329036,1.0634897,1.1396035,0.9707296,0.77751464,1.1505754,0.41163927,0.79710114,0.5837668,1.0588146,1.1083597,1.2756224,0.99573845,1.1276954,1.0308834,1.0057027,1.0900643,0.89172155,1.1276838,1.0320661,1.0558642,0.9317425,1.2267462,0.89362985,0.9818947,1.1014603,1.1065995,1.1112442,1.1030563,1.1742449,1.1454779,1.1998016,1.040615,1.1980429,1.1895586,1.0514385,1.1670507,0.6927862,1.0944152,0.9395748,1.2002566,1.2967821,0.8553038,1.1115623,1.1609192,0.52786833,1.0596992,1.3064786,1.0508015,0.9684783,0.86168325,0.8940402,1.0563445,1.2313554,1.0911794,0.5398878,0.9894689,0.87971157,1.079927,1.0944351,0.845058,1.214958,1.195476,1.2583288,1.1428617,1.1338956,0.99725217,1.0474052,1.0980428,1.1788622,0.8180214,1.2657952,1.2196207,1.193658,1.2551703,0.34276497,1.0656713,0.0,1.1488267,1.005927,1.0067697,1.2013556,0.6015977,1.0194045,1.0743653,1.1034782,0.93739295,0.9552283,0.9875855,0.95503896,0.94292456,1.2188219,1.0334122,1.08141,1.1668072,0.6222858,0.54695964,1.1373258,1.0812078,1.0264578,0.9264574,1.0596126,1.2737434,1.2220795,0.9140508,1.2936187,1.1107202,0.1856885,0.91703445,1.1916159,1.298496,1.0631614
pumpkin,1.0504562,0.74815047,1.1236122,1.0161846,0.8202617,1.0131882,0.8823885,1.2617868,1.3141103,1.2564642,0.961731,1.2097702,1.1863593,1.1708066,1.1943944,0.9256925,1.2186347,0.9057472,1.02728,1.2620031,0.7836524,1.0455046,1.0102441,0.946015,1.3277457,1.1813254,1.2038351,1.0265806,1.1497461,1.1637803,1.0908909,0.91311556,1.2285233,0.7861085,0.8642745,1.382422,0.88032645,1.1364783,0.89269984,1.1346581,1.0277569,0.8631859,0.7868259,0.6219579,1.1262472,0.5655359,0.9792623,1.0542345,0.69048905,0.94646597,0.91848457,0.9970472,0.8646057,0.8998775,1.2247652,0.9097229,0.9869443,0.9613261,0.74697137,0.7978436,1.2078497,1.0048404,1.1433789,0.88572776,1.0816631,0.9581523,0.67699546,0.88390464,0.9439771,0.96193963,0.98347765,1.0565268,0.77439684,0.7213248,1.0607586,0.76843584,0.8293945,0.716768,1.2218801,1.0625234,1.1418619,1.0324736,1.2330838,0.80611503,0.79248977,0.8861529,0.86318743,1.0016792,1.0699117,1.1488267,0.0,1.2151823,1.2818272,1.1120019,1.0232509,1.1799873,1.1255487,0.97010505,1.0265487,0.9603447,1.3049649,1.1200489,1.1605965,0.79067504,1.0806613,0.94928986,0.90996444,1.0256052,1.0085697,0.5853309,1.1784396,1.0471492,1.2687739,0.96545297,0.57442236,0.61471176,1.180522,1.0275718,0.94978327,1.2840977,1.1639295,1.1108048,0.77123237,1.2621562
purse,0.83504665,1.4091463,0.9328565,0.7561244,1.3295746,1.2553256,1.224271,0.72011554,0.73458934,0.60833216,1.25695,0.46738285,0.5388749,0.8986818,0.94401747,0.9182459,0.88211524,1.2971163,1.2522602,0.6751168,1.2961394,0.9292697,1.0295048,1.2496215,0.8631861,0.89151657,0.67793185,1.0622853,0.8181244,0.80053747,0.93588114,1.1525726,0.7830738,0.95564836,1.4357861,0.55705553,1.3827913,0.9622388,0.84374356,1.0636253,0.9516646,0.73286563,1.1547703,1.2083263,1.0706265,1.1768708,1.2725294,1.1106474,1.1686858,1.3390774,1.159016,0.91444194,1.3046241,0.7187802,0.87150604,1.1263341,0.97411287,1.2028599,0.7975744,1.3255727,0.4433223,0.89913887,0.631732,1.3537974,1.1295422,1.3361285,0.9979175,1.1069596,0.95662767,1.0732211,0.6274784,1.0068872,1.220243,1.4534339,0.7886946,1.1484209,1.1659894,1.3583755,0.802353,1.1836377,0.5190128,0.62273014,0.7778206,1.4362739,1.4555918,1.1168493,1.0907803,1.1314744,1.0639507,1.005927,1.2151823,0.0,0.79954195,1.1991282,1.0574687,0.7370467,0.6359072,1.0593281,0.58587074,0.93174267,0.78392243,1.2429435,0.8012909,1.3943052,0.9926261,1.338537,0.7887563,1.0823301,1.186759,1.2516466,0.61594164,0.8577899,0.6310985,1.3787805,1.301627,1.3274847,0.7443711,0.8150907,1.2067323,0.79658264,0.96482927,0.9684192,1.2501603,0.93414915
refrigerator,0.73703337,1.3972335,0.9398716,0.6269134,1.4265615,1.247965,1.0595767,0.8361139,0.293504,0.61813045,1.2398626,0.4874897,0.82797664,0.8674208,0.8245607,1.1080908,1.1057913,1.3554027,1.3076714,0.804067,1.2965562,1.1861136,0.9437509,1.017058,0.5902254,0.80570936,0.75807756,1.1966645,0.4197998,0.78253603,0.8129477,1.2487037,0.5645982,1.0562632,1.4066312,0.48351502,1.356697,0.9858577,1.3149903,0.4980538,1.0623564,0.80476433,1.1394333,1.3354528,0.9454206,1.311043,1.2438587,0.9795408,1.3158405,1.2720119,1.3805492,0.61025566,1.2738727,1.122752,0.8617854,1.2690232,0.8896496,1.2041464,0.91277814,1.4366744,0.6757912,0.8154234,0.7965469,1.2524477,0.94574404,1.046802,1.1657227,1.1836284,1.0261267,1.124091,0.9376689,1.2714436,1.3395,1.3613026,0.8987721,1.2904407,1.1058939,1.3731211,0.1692884,1.100685,0.65416265,0.61356556,0.74555415,1.2650175,1.4304249,1.1265584,1.0976137,1.174557,0.9837562,1.0067697,1.2818272,0.79954195,0.0,1.2696164,1.1648765,1.0697958,0.5638128,1.3450221,0.7998124,1.2163514,0.20032334,0.619896,0.88301224,1.4684587,0.66727895,1.242696,1.0833076,1.2022188,1.2241099,1.3178012,0.9072766,0.81015205,0.519322,1.3831381,1.3761642,1.1658959,0.80787593,0.9081118,1.5275161,0.85601115,0.9536899,1.0411123,1.434067,0.32103264
rooster,0.99538314,0.8585101,1.2022345,1.1824403,0.910149,0.93491215,0.90278107,1.1252931,1.315589,1.2865468,0.7360746,1.3307822,1.2532356,1.0526309,0.95274824,0.93194073,1.0290124,0.84750694,0.9895252,1.2063549,0.9405973,0.9669939,0.90239376,0.85076404,1.0744641,0.74868166,0.9788342,0.9221883,1.1556393,1.0253512,1.1009408,0.79583067,1.1021919,1.1082393,0.7787186,1.296698,0.83099854,0.599714,0.86909604,0.98424757,0.8591801,1.1754596,1.0931721,1.0200337,0.89039695,1.0149536,0.74518,0.93537515,0.8520471,0.815431,0.6971049,1.3169276,0.9135966,0.8712603,1.2635769,0.97031194,1.0409106,1.0662844,1.2438409,0.74483734,1.2030207,1.1800071,1.3237637,0.8863699,0.89004356,0.84451514,1.0463723,1.0216569,1.1572025,1.0372108,1.1405174,0.67629486,0.88169205,0.9038687,0.92844343,0.9339176,0.9049935,0.9293237,1.2227321,0.7091999,1.2756256,1.1656508,1.2641499,0.84250885,0.7768465,0.89271533,0.83964396,1.1019125,0.9047002,1.2013556,1.1120019,1.1991282,1.2696164,0.0,0.98188,0.82050407,1.238422,0.7455064,1.2554352,0.8096808,1.2225957,1.0245491,1.1668153,0.6625116,1.1546657,0.83146274,1.0235208,0.94666445,0.91938174,0.97157335,1.0653749,1.1371043,1.2994539,0.71363,0.9299227,0.8991959,1.1826346,0.91294175,0.79060566,1.3018056,0.984853,0.6713065,0.8115674,1.1650794
sauce,1.2246418,1.0358915,0.92621475,1.1831653,0.97404575,1.0096482,1.1132859,1.0028821,1.1144146,1.2048721,1.1502807,1.2145561,1.127226,1.0896398,1.1884904,0.92585593,1.0088603,1.0535097,0.46848404,1.1038884,0.5559529,0.89960533,1.0859947,1.1562978,1.1475219,1.0632846,1.087466,0.926793,1.1308396,0.9471635,1.1873469,0.9917381,1.2129036,1.0545174,1.1495662,1.1694762,0.8466674,0.98234135,1.0124803,1.0603808,1.0152853,1.2316852,1.1252302,0.9891939,1.1183317,1.144593,1.0570134,0.9853231,1.0761592,0.81607723,0.9591393,0.9193957,1.1585923,1.2609689,1.1293339,1.0408378,1.1815832,0.6665228,1.1506411,1.1237687,1.2236421,0.9223059,1.1671664,0.9042685,0.9456896,1.0287248,1.0204345,0.6360921,0.99856424,0.6953287,1.1324774,0.8667059,0.66805136,1.1066315,1.0818199,1.1425338,0.91294307,0.92192566,1.0893604,0.97775966,1.2322326,1.2251627,1.0637211,1.1952977,1.1358551,0.9541863,1.1127472,0.56779915,0.9134165,0.6015977,1.0232509,1.0574687,1.1648765,0.98188,0.0,1.0153122,1.2268512,0.94392276,1.1081332,0.84096336,1.0987389,1.07202,1.087757,1.0692399,1.1708094,0.9518404,1.0172867,0.13402331,0.5293446,1.0534838,1.1467735,1.127519,1.2035861,0.8814159,1.1686442,1.1179389,1.0762634,1.1688839,0.99063146,0.80734766,0.978057,1.0317931,1.1647015,1.1219953
scissors,0.91852266,1.14104,1.0149666,0.996828,1.0955458,1.056002,0.9957957,0.8029053,0.99212044,0.9641883,1.0912988,0.9788944,0.8833976,1.0254254,1.0880238,0.92650855,0.73248017,1.0751227,1.0735132,0.8478192,1.076836,1.0194526,0.99208695,1.1291201,1.0086838,1.0265335,0.94447744,0.8842044,1.0138359,1.0380327,0.89358485,0.949129,0.97420615,0.85786915,1.0547413,0.8448169,1.1123416,0.99834305,0.90257764,1.0072044,0.8678607,1.1081395,1.0750921,1.1201969,1.0024304,1.0925665,1.0559998,1.0857247,1.1028582,0.85611194,0.97485703,1.0115489,1.0959387,0.93991417,0.98665214,1.0459927,1.0379292,1.061724,0.997069,1.1200305,0.92838866,1.0610077,1.067567,0.89962304,0.97365177,1.1091989,1.0238683,1.0856023,0.9670468,1.0182364,0.89646053,0.89176697,1.0862609,1.2125535,0.9431923,1.0074553,1.1655054,1.08213,1.0640032,0.9246302,1.0129665,1.0824662,0.87571293,1.1115112,1.0593011,0.9845231,1.1528895,1.0593778,1.0443187,1.0194045,1.1799873,0.7370467,1.0697958,0.82050407,1.0153122,0.0,1.0853021,0.78810453,1.0552373,0.28960705,0.9787119,1.0957409,0.87611896,1.0228512,1.1084235,1.123897,1.0094998,1.0848447,0.8266789,1.1446881,0.9814674,1.070279,0.8871362,0.91605246,1.173073,1.1010394,0.8656436,0.9358562,0.91466206,0.9529394,1.0005729,0.529498,1.0367972,1.0677097
shirt,0.6445749,1.3498008,0.9678736,0.39751977,1.3930547,1.2595253,1.176257,1.1293046,0.70644647,0.53826106,1.2926133,0.5848457,0.4977768,0.7528134,0.8794486,1.0671772,1.0460535,1.4828142,1.4394941,0.87789613,1.419076,1.3409488,0.8735622,1.2549839,0.90567154,0.7788184,0.957584,1.1749297,0.7421397,0.87659633,0.93659663,1.2618033,0.7072633,1.0125626,1.4562798,0.74796236,1.5202439,0.9452471,0.9574893,0.98617584,1.2855289,0.45748222,0.93701696,1.1430482,0.6968165,1.0596058,1.2750742,1.0354548,1.2400757,1.4674808,1.2911077,0.7658531,1.0566317,0.77328455,0.85477513,1.2190669,0.53321207,1.2785294,0.60062456,1.2853463,0.46003276,0.9180831,0.48847383,1.4410566,1.3133805,1.3710265,1.0348394,1.22423,1.0088804,1.253043,0.63748276,1.2615376,1.2941554,1.3008776,1.0428139,1.1001995,0.989497,1.3801486,0.64691305,1.0324836,0.2986673,0.29534614,0.6960856,1.3011975,1.4244226,1.0911161,1.1220672,1.212555,1.1126475,1.0743653,1.1255487,0.6359072,0.5638128,1.238422,1.2268512,1.0853021,0.0,1.3694714,0.47381246,1.2867049,0.6351012,1.0890952,1.0379425,1.5075312,0.7373155,1.4248878,1.0417197,1.2766192,1.3619038,1.2378334,0.803466,0.48987472,0.541045,1.4734628,1.1220953,1.1130531,0.783558,1.0120928,1.5423827,0.91686386,0.9561024,1.3025128,1.2826422,0.6748064
shoe,1.2015122,0.8819952,1.191632,1.230367,0.7875979,0.9306989,1.0193605,0.92222005,1.2238674,1.2583696,0.7485877,1.269402,1.2637371,1.0227461,1.0604401,0.87259346,1.0253268,0.63197553,0.7875664,1.1032017,0.84741914,0.78315425,1.1178079,0.8841414,1.0987217,1.0786749,0.9491453,0.8660076,1.1835065,1.1475526,1.0368443,0.92017925,1.1230202,1.0736442,0.7134068,1.2193909,0.6353148,0.97835857,0.9511428,1.0577121,0.8403648,1.1935502,1.0272303,1.0304927,1.2384653,0.9569189,0.9484716,1.047086,0.7610563,0.67829823,0.8660347,1.2152761,0.94443905,0.98502696,1.0945405,1.0167227,1.2236495,0.9025471,1.1920574,0.6879046,1.2254312,1.1516713,1.2481632,0.7377633,0.74728715,0.804249,1.0471212,0.9642057,1.1290193,0.8784364,1.2222036,0.70165116,0.86532414,0.85338223,0.9728827,0.9060451,1.0723686,0.94721144,1.2420894,1.0061281,1.3184117,1.3836277,1.2635145,0.8310373,0.7485169,1.1182826,0.888621,0.99026483,0.9619691,1.1034782,0.97010505,1.0593281,1.3450221,0.7455064,0.94392276,0.78810453,1.3694714,0.0,1.3436888,0.7496022,1.2967354,1.0349832,1.0712831,0.3910085,1.2494175,0.7428351,0.84223473,0.8373778,0.76461315,0.77186906,1.0850965,1.2217724,1.3069654,0.65709865,0.8795078,0.9286228,1.1291078,0.94450134,0.6277297,1.2111127,1.0637696,0.6387235,0.66944206,1.3181068
shorts,0.88081574,1.2930901,0.91185075,0.6128906,1.3434528,1.2635688,1.100055,1.0447448,0.8599156,0.7117713,1.2445005,0.584247,0.5079807,0.85748965,0.9921146,0.93122596,1.0067918,1.423633,1.2708677,0.9154283,1.292855,1.2841668,0.9481661,1.2512631,1.0108368,0.97198427,0.99241745,1.1787369,0.9438097,0.85126364,0.9331126,1.0363117,0.87193584,0.9263438,1.4100674,0.82796574,1.4478992,1.0514308,0.86743903,1.1124,1.1126549,0.53272617,0.9239626,1.0671322,0.9272239,0.92029357,1.2619473,1.1158472,1.1253573,1.3193756,1.3324468,0.8950712,1.0417079,0.7241264,0.82986045,1.1854976,0.82649857,1.1796415,0.6038066,1.2939693,0.5991893,0.94622314,0.36267114,1.2981017,1.3390998,1.3903356,0.86121744,1.0469952,1.0020672,1.2371693,0.63937163,1.2398914,1.191484,1.2895594,0.95265347,0.9647037,0.9371337,1.2066349,0.8622791,1.123331,0.4060697,0.3328792,0.81510943,1.2639122,1.2828197,1.0798507,1.0772207,1.0850314,1.1675826,0.93739295,1.0265487,0.58587074,0.7998124,1.2554352,1.1081332,1.0552373,0.47381246,1.3436888,0.0,1.2161167,0.8701831,1.1673547,0.8612987,1.4369962,0.9338631,1.3625743,0.8830456,1.1553723,1.1624259,1.1713685,0.7992995,0.8535066,0.7698352,1.3922765,1.067237,1.0819507,0.8871636,0.9494925,1.4910347,0.8638418,1.0145259,1.252352,1.1795102,0.86258954
shovel,1.1717205,0.9846757,1.0872824,1.1986316,0.93820864,1.0242409,0.95052755,0.9271765,1.112692,1.2314551,1.0343354,1.2095623,1.1636422,1.1940402,1.251112,0.94548917,0.9355098,0.82252175,0.85389197,1.0651612,0.82199395,0.8769116,1.1325583,0.93284965,1.1285803,1.143851,1.0496185,0.92503357,1.0906577,1.11122,1.0116973,0.9730199,1.1900557,0.91530555,0.8845029,1.118918,0.80263925,1.0604571,0.9806796,0.9652424,0.9167791,1.1184714,1.0751598,0.9650712,1.0751396,0.99889654,1.0790397,1.0636983,0.8997178,0.56554633,0.9609745,1.0554808,1.0090195,1.142237,1.1261619,1.0651507,1.1290646,0.94664437,1.1216507,0.9329357,1.1446465,1.0240403,1.2468321,0.6236844,0.8112011,0.7850262,0.95564437,0.92752844,1.0332319,0.7785891,1.151901,0.90044034,0.985331,1.0023167,0.9741368,0.907216,1.1133715,0.91895896,1.1871722,0.98723555,1.241954,1.2424381,1.1036385,0.9674611,0.90566283,0.9145236,1.0611883,0.91264683,0.99341416,0.9552283,0.9603447,0.93174267,1.2163514,0.8096808,0.84096336,0.28960705,1.2867049,0.7496022,1.2161167,0.0,1.1072026,0.9749147,0.9707291,0.82865715,1.1324794,0.9368726,0.96136767,0.8595499,0.50376874,0.9896743,1.0663882,1.1765847,1.1577262,0.8072219,1.0206861,0.94879335,0.9489945,0.98264784,0.81460047,1.0353688,1.0391755,0.48872888,0.90140545,1.2063118
shower,0.8414922,1.3761785,0.9354814,0.7332971,1.3515184,1.2338661,1.0958151,0.8383618,0.35906005,0.55251133,1.3132645,0.49885368,0.81794083,0.9293381,0.8841679,1.1033875,1.0603769,1.3345386,1.3244588,0.77897304,1.2781687,1.1846694,1.0198119,1.088006,0.66145134,0.7971915,0.72941244,1.1315385,0.41023886,0.7857838,0.8901533,1.2924426,0.5417852,1.0743157,1.4167991,0.49376148,1.3491267,0.94036007,1.1291895,0.4789415,1.1317872,0.894532,1.1601115,1.2766489,0.90455985,1.2806501,1.3049839,0.9419423,1.2958648,1.2826034,1.2977742,0.71594244,1.2662423,1.1671861,0.87974364,1.2994785,0.89838344,1.1453505,0.92451173,1.3897427,0.68177164,0.85397685,0.8579194,1.3156023,0.8776252,1.107543,1.1895666,1.2152513,0.9821103,1.0790827,0.9132905,1.1309639,1.2812712,1.384084,1.0011457,1.2992411,1.1643349,1.3181387,0.3748005,1.0874201,0.6991973,0.6820374,0.78096294,1.3587253,1.4612383,1.0889766,1.1321199,1.155401,0.93785787,0.9875855,1.3049649,0.78392243,0.20032334,1.2225957,1.0987389,0.9787119,0.6351012,1.2967354,0.8701831,1.1072026,0.0,0.7628689,0.91707623,1.4773335,0.73044586,1.2453501,1.0390649,1.170747,1.221727,1.3197186,0.8433799,0.76809573,0.49078727,1.3723471,1.3667002,1.1912615,0.7754953,1.0213004,1.4204582,0.83595353,0.91868764,0.96164304,1.4324656,0.33272117
sink,1.1028329,0.98561525,1.1467334,1.0523782,1.064412,1.0383934,0.78499174,0.9477732,0.5857351,1.0831167,0.6562039,0.9166534,1.3148847,1.0863919,0.89788806,1.0166993,1.0805029,0.8142698,0.8415228,1.0645015,1.0712757,0.89415073,0.9624891,0.6081048,0.7186329,1.1023519,0.83366215,1.0595498,0.946954,0.9508904,1.0056664,1.1411202,1.019186,1.2162087,0.73949945,0.99247384,0.7898279,1.1446217,1.3852676,0.7889478,0.77587163,1.1375242,1.2097199,1.231124,1.0912995,1.0940657,0.83863246,1.0251108,1.0176561,0.7499074,1.0565228,0.9420872,1.0728595,1.2332906,1.0521381,1.0093708,1.094574,1.1079766,1.2221327,0.9465379,1.0864788,0.9998456,1.1250951,0.61759096,0.85369635,0.5108342,1.111605,1.0663822,1.1501694,0.95231676,1.3577454,1.0461597,1.1973557,0.86736083,0.71942705,1.0742605,1.1040244,1.0011189,0.6290078,1.0842832,1.1990914,1.1084664,0.99788153,0.62962556,0.81094205,0.9670571,0.73715866,1.1145738,1.0467728,0.95503896,1.1200489,1.2429435,0.619896,1.0245491,1.07202,1.0957409,1.0890952,1.0349832,1.1673547,0.9749147,0.7628689,0.0,1.0271815,0.7950938,0.79171765,0.72813475,1.1108904,1.0623394,0.8597713,1.1868867,1.1344501,1.0954826,0.98335314,0.8396452,1.058575,1.0343663,1.0711536,0.78964674,1.006678,1.0036944,1.0966051,0.84699774,0.9836903,0.80355465
slide,1.021716,1.1911268,1.0263157,0.9582467,1.1341083,0.8149863,0.7001367,0.8037721,0.67786217,0.8660309,1.2480819,0.7932886,0.9080093,0.9225534,0.9863896,1.1348406,0.9317867,1.1066036,1.0179389,0.8191582,1.026083,0.74984217,1.0507408,1.1591113,0.74597466,1.1019443,0.95162153,1.042687,0.9436329,0.9753568,0.8218303,0.9128295,0.95650697,0.89236784,1.1844044,0.686932,1.1666234,1.1245027,1.0229505,1.0077884,1.06692,1.0146756,1.0947044,1.1092777,1.1442522,1.1840656,1.0245516,1.071949,1.1035544,1.0656312,1.1184587,0.9620484,1.2446556,1.0654309,0.7416297,0.9864525,1.131346,1.0893775,1.040461,1.227355,0.9364239,0.99358964,0.89934844,1.0611224,0.9096819,1.1142949,0.9500082,0.99368936,0.86537063,0.92208517,0.887201,1.156019,1.2079854,1.2709584,0.8946633,1.1469097,1.1639011,1.0487645,1.0052155,1.1360784,0.9434054,1.0126536,0.88372886,1.1997192,1.136828,1.1218458,1.1796942,0.9621633,1.0089097,0.94292456,1.1605965,0.8012909,0.88301224,1.1668153,1.087757,0.87611896,1.0379425,1.0712831,0.8612987,0.9707291,0.91707623,1.0271815,0.0,1.2672861,0.97108567,1.1914629,0.8337716,1.0113758,0.97823393,1.0125436,0.75979006,1.0604439,0.8498456,1.1333989,1.2698323,1.2109162,0.6705279,0.93812096,0.9351134,0.85750896,0.87304634,1.0083611,1.2255622,0.8565955
slipper,1.3328792,0.53950655,1.2877798,1.3364351,0.5738129,0.81689423,0.80330473,1.1662881,1.4537528,1.5151423,0.33287883,1.5185348,1.5262668,1.2573974,0.9834649,0.97298986,1.1759197,0.31007552,0.7161126,1.3474196,0.8247503,0.7596861,1.0385149,0.49554253,1.1381134,1.2604413,1.0640433,0.8869036,1.3049947,1.3045619,1.0920032,0.90046865,1.2845608,1.2425636,0.18421829,1.5520658,0.34207344,1.1437345,1.0987937,1.0562167,0.64727604,1.2198045,0.83954084,0.8864604,1.1789687,0.7182967,0.57861155,1.1312844,0.5779674,0.5330731,0.69709665,1.4401529,0.5246364,0.9434745,1.2952261,0.79862773,1.1753964,0.9810946,1.2857598,0.24966621,1.4063601,1.2551795,1.4190896,0.49440336,0.8553765,0.46584988,1.005587,0.9813664,1.2448704,0.98272544,1.4175708,0.72995424,0.8121799,0.2980547,0.9513256,0.5661996,0.91421777,0.62133396,1.3897631,1.0122051,1.5214614,1.446615,1.4656122,0.28855133,0.26576567,0.90062267,0.6908922,1.1211034,1.1294147,1.2188219,0.79067504,1.3943052,1.4684587,0.6625116,1.0692399,1.0228512,1.5075312,0.3910085,1.4369962,0.82865715,1.4773335,0.7950938,1.2672861,0.0,1.278749,0.461671,1.0197563,0.96740454,0.7671236,0.7193855,1.2881048,1.3522341,1.5845656,0.42489576,0.4695775,0.72997874,1.410394,0.91896033,0.4106934,1.433225,1.1680723,0.746186,0.22956824,1.4377235
snow,0.7601599,1.1615069,0.9935521,0.8949447,1.1601033,1.1140317,1.0442182,1.0010184,0.590834,0.5674825,1.1780093,0.66019404,0.80264544,0.8160536,0.8401739,1.1973631,0.9186145,1.2158076,1.2374024,0.8608621,1.188047,1.2027079,0.8516232,1.1741021,0.7963059,0.7956391,0.98607165,1.1112205,0.7749852,0.9453857,0.9743992,1.2459025,0.74573183,0.9259075,1.2031406,0.7398913,1.1977005,0.9763754,1.1910114,0.9658177,1.2001774,0.97338134,1.1135035,1.1624224,0.8176528,1.2001872,1.0898064,0.95832217,1.166767,1.2049285,1.1855625,0.6264722,1.1190941,1.1508794,0.729682,1.0940934,0.92476714,1.1317995,1.0173751,1.2154917,0.74975485,0.9257467,0.80841815,1.1784146,1.0617094,1.1094489,1.2215598,1.1677308,0.95681643,1.0572263,1.029944,1.1892318,1.1764195,1.1130915,0.99718285,1.2602849,1.1147108,1.1507173,0.7161849,0.8854265,0.6943373,0.85689795,0.65691614,1.1129367,1.1992812,1.1584115,1.039113,1.1748531,1.023424,1.0334122,1.0806613,0.9926261,0.66727895,1.1546657,1.1708094,1.1084235,0.7373155,1.2494175,0.9338631,1.1324794,0.73044586,0.79171765,0.97108567,1.278749,0.0,1.154455,1.0861006,1.2005166,1.2202001,1.1415935,0.99352247,0.6834942,0.5819557,1.211177,1.2414964,1.0816677,0.9482769,0.9757664,1.256694,0.9102663,1.0411618,1.2372972,1.288465,0.7403959
soap,1.3672173,0.6910095,1.147537,1.2597868,0.616446,0.8245812,0.98291767,1.1047733,1.2304765,1.313441,0.514446,1.3705232,1.4062816,1.2035363,0.9178107,1.0162281,1.120451,0.44734502,0.7089808,1.2435923,0.7845863,0.72723436,1.119387,0.6420373,0.8827194,1.1460629,1.0354934,0.9132437,1.1196923,1.1736674,1.0614567,0.9963481,1.2096952,1.26457,0.44418508,1.3763034,0.45298028,1.0813122,1.1716115,0.9182113,0.8322644,1.2394923,1.1405843,0.87340313,1.1455458,1.0596082,0.6196281,1.0324956,0.8034742,0.56619275,0.8256067,1.205128,0.8251405,1.2039748,1.189924,0.92834175,1.2655401,0.91799307,1.3635517,0.58174384,1.3782352,1.1664637,1.2937124,0.53445846,0.7688836,0.43750924,1.0437511,1.0307106,1.2229794,0.7284386,1.3982528,0.8436869,0.9212083,0.53997487,0.9392533,0.85847896,0.9888469,0.57541907,1.2542129,0.967724,1.4286711,1.4339497,1.2519802,0.5290535,0.50467396,1.0491358,0.6966692,1.0722783,1.0075496,1.08141,0.94928986,1.338537,1.242696,0.83146274,0.9518404,1.123897,1.4248878,0.7428351,1.3625743,0.9368726,1.2453501,0.72813475,1.1914629,0.461671,1.154455,0.0,1.0507764,0.88978446,0.73575,0.9191627,1.1655847,1.2583168,1.4132631,0.65735465,0.8954194,0.9242141,1.3504286,0.98378927,0.58097076,1.25544,1.0104128,0.84518224,0.69498193,1.163754
