,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.3832011,0.8818067,1.249428,1.3365369,0.9191738,1.1162915,0.9767685,0.74939054,1.3819412,1.0154355,0.75453377,0.72587705,0.6889111,0.89481103,1.4221344,1.2422222,0.9020676,1.1908187,1.3365217,1.3088453,1.0745833,0.8757235,0.83440125,1.2611341,1.1236025,0.67799026,1.2230172,0.6372639,0.6465825,0.8253012,1.4423699,0.8924302,1.3672817,1.0008923,0.682462,0.8081789,1.0881498,1.2187542,0.7278617,1.2392752,0.9735539,0.94513994,1.24696,0.71998954,0.8571904,1.0741832,1.342827,0.89102864,0.978775,0.7889266,1.3029959,0.80597544,1.0879095,0.98539937,0.97618955,0.7947408,0.8895406,1.2019174,0.89337736,1.3016112,0.65637344,1.3341951,0.9023901,1.3483034,0.78610563,0.933225,1.1194237,0.7925295,0.72883666,0.67198354,1.3928201,1.1822866,1.345103,1.3270626,1.105603,0.5241106,0.7369478,0.8517097,0.83803755,1.4321238,1.3788253,0.9153239,1.3588052,1.049555,0.8689476,1.0644698,1.3641529,0.6152318,1.0664344,1.0362748,0.7851642,0.6990035,0.9389508,0.97668886,0.85655266,0.53817356,0.85910726,1.3674634,1.0394012,1.3752383,0.9641743,1.3112593,0.9383204,1.3340837,0.8603162,0.8174635,1.3549445,0.8963867,0.93528163,0.8639556,0.8873525,1.3209732,1.2174488,1.3166113,0.8471796,1.1521208,1.121263,0.91782176,1.2499301,1.3870412,0.9463364
apple,1.3832011,0.0,1.3527582,0.1453051,0.35680747,0.95125574,1.137968,1.4859223,1.4382269,0.5712905,1.2811699,1.3612903,0.95136595,1.4564723,1.237357,0.46411538,0.816684,1.4038416,0.6283163,0.69862705,0.8868946,1.1058265,0.7759673,1.1666262,0.96831363,0.7454264,1.3771137,0.7524389,1.1546869,1.4304538,0.87660974,0.40697622,1.3923024,0.42569292,0.90243286,1.1235042,1.1187459,1.1835527,1.137238,1.3962651,0.43361866,1.2422383,1.1512773,0.7170718,0.99304366,1.1151983,0.9007962,0.67712224,0.7290901,1.0940723,1.2612598,0.57972115,1.023401,1.0811924,0.8933853,1.0699383,1.3019589,1.1932218,0.7330625,1.2342772,0.6247493,1.3804966,0.60770595,1.2784626,0.5935328,1.2197387,0.59618974,0.9321722,1.0759326,1.1083598,1.1831632,0.42400694,0.8262214,0.62346077,0.29010552,1.4298712,1.2526107,1.4266741,1.332813,1.3942888,0.5785616,0.61516035,1.0514745,0.60000306,0.79684293,1.0243417,1.0524073,0.4575742,1.4217573,0.9522548,1.4784842,0.97212446,1.2676202,1.1994972,1.2963471,1.4038633,1.2722919,1.2802904,0.45636547,1.2819653,0.94922334,0.9023676,0.46667498,1.1320536,0.77396786,1.0494685,1.2149147,0.60159236,1.1773634,1.046012,1.3505068,1.385505,0.5561228,0.637891,0.4870274,1.1291625,0.90528214,0.6875706,1.3598185,0.9800326,0.4803486,1.2832214
arm,0.8818067,1.3527582,0.0,1.2711489,1.3175287,1.0505633,1.1652973,0.73534834,0.76270443,1.2677159,1.0410781,0.5355606,1.1353649,0.7108555,1.0503188,1.3490667,1.2823439,0.8932224,1.3182003,1.3762395,1.1768022,1.1186957,1.0469595,0.9564711,1.0742122,1.2662607,0.82161003,1.0362955,0.82911915,0.8252788,1.2087163,1.289933,0.9295002,1.3636436,1.1459211,1.0095845,0.8900627,0.97119045,0.9573683,0.7639209,1.3136625,0.93740994,0.86221427,0.87623477,0.95826393,1.0175688,0.6385154,1.3118091,1.2848412,1.0823857,0.80286276,1.1728721,0.8336009,0.9425138,1.0107636,0.83019054,0.9124371,0.37455118,1.0901976,0.9921142,1.1471728,0.5875094,1.2712513,0.8842057,1.366648,0.9723286,0.954436,1.1745512,0.7801846,1.0490237,0.8140439,1.2467121,1.2363672,1.0864654,1.3011799,0.75953764,1.0149806,0.727986,0.6821153,0.84382904,1.21343,1.1777673,0.95722264,1.2935433,1.2733107,1.0022453,1.2089188,1.2220132,0.70931125,1.1779598,0.7318678,1.1772596,0.8946478,0.9398,0.9382038,0.42365426,0.93895745,0.6815225,1.3564798,0.8190836,1.1646066,1.1693301,1.3635626,0.9846257,1.1891975,1.045653,0.9485114,1.3722142,0.9648856,1.1494539,0.66694397,0.7689289,1.3337321,0.88271195,1.1471083,0.76904124,1.2616745,1.3437412,0.9482138,1.1414211,1.1290973,0.8708124
ball,1.249428,0.1453051,1.2711489,0.0,0.22223693,1.0180161,1.104819,1.4125912,1.3599303,0.7256943,1.2732818,1.3229364,0.9440897,1.3926702,1.1640377,0.54126406,0.85912585,1.313566,0.7396853,0.78006756,0.99322045,1.0869237,0.71847034,1.1367667,1.0169537,0.72544974,1.300406,0.88487697,1.1375724,1.3529587,0.9528012,0.5419457,1.3111789,0.5391123,0.9507104,0.99358934,1.0267518,1.1884575,1.13408,1.3601786,0.5294659,1.2255788,1.0920336,0.81780237,1.0029798,1.0824666,0.9522413,0.8156202,0.8560121,1.0762974,1.1914537,0.72164917,1.0535235,1.1152363,0.8951265,1.0780722,1.2464039,1.1694629,0.74653435,1.192247,0.8459077,1.3123107,0.7595341,1.279907,0.6404749,1.169761,0.57404125,0.9124475,1.0953041,1.0119257,1.1075702,0.5086539,0.8429839,0.7973858,0.28062713,1.419487,1.2126185,1.3471234,1.2992997,1.2985952,0.7053418,0.7336014,1.0667639,0.7568575,0.83434206,1.0220016,1.0902575,0.5262269,1.2941829,0.8855426,1.466271,0.92401224,1.2168362,1.1765943,1.2499795,1.35497,1.2371638,1.283082,0.6000875,1.2602191,1.0476671,0.86570007,0.59589607,1.1474185,0.90315646,1.095552,1.1886071,0.74325603,1.0225273,1.0055338,1.2972066,1.3175601,0.52223057,0.74504924,0.60107857,1.0873728,0.8970644,0.60769993,1.3225336,1.0329916,0.60456944,1.2248839
balloon,1.3365369,0.35680747,1.3175287,0.22223693,0.0,1.143976,0.9889954,1.3243833,1.3904788,0.5427787,1.1338174,1.4032028,1.1271622,1.4367597,1.0959859,0.4660803,0.7678416,1.2551332,0.8586632,0.6629432,0.87416506,1.0167081,0.78353363,1.1749249,0.92530555,0.84466344,1.3530333,0.95113707,1.1777438,1.3197364,1.1449441,0.43173409,1.271461,0.44813585,1.0006514,1.090689,1.1559429,1.0635949,0.9905713,1.3829417,0.6578712,1.1857357,1.1613066,0.85874903,0.98299015,1.0558938,1.0332998,0.6997453,0.8716349,1.0031074,1.2468268,0.80896187,1.0978347,1.095219,0.9215095,1.146943,1.3362025,1.2636355,0.7471706,1.1383498,0.8737231,1.4017057,0.67636627,1.2454585,0.4853472,1.2296069,0.78522885,0.8584759,1.1185496,1.0323318,1.2094514,0.5106451,0.62946206,0.74169666,0.2939285,1.3149546,1.3028436,1.3630091,1.36058,1.2928882,0.580158,0.6378621,1.1279812,0.5787767,0.96161604,0.9881021,1.1149902,0.5731833,1.4073141,0.8825025,1.3517481,0.9109837,1.2692178,1.1847401,1.1838969,1.4065735,1.2549692,1.36588,0.56910723,1.2105016,0.84946394,0.8423033,0.54758465,1.0623193,0.73773277,0.9696871,1.2434249,0.6760302,0.96173114,1.0357051,1.3120893,1.3314297,0.46559024,0.87381124,0.5788182,0.9983103,0.6678012,0.60626954,1.2659805,0.8066699,0.6585146,1.1149224
banana,0.9191738,0.95125574,1.0505633,1.0180161,1.143976,0.0,1.0567508,1.0952598,1.157287,1.2319887,1.157646,1.1788144,1.0257293,1.1106546,1.124035,1.1163757,0.46071696,1.096947,0.59793854,1.0057106,1.1257385,1.0932184,0.90644616,1.1558951,1.1622018,0.94416696,1.0277641,1.0372446,1.0600389,1.2861092,0.6270968,1.157618,1.1861689,0.9991646,0.46065688,1.037991,1.068296,1.2037637,1.1473172,1.0895166,0.51549435,1.0815204,1.1078136,1.0803307,1.0578816,1.0596482,0.94517976,0.93203,0.9407816,1.1094348,0.9013684,1.1047424,1.0210421,1.1995015,0.9198425,1.1842921,0.93247974,0.97285366,1.2613287,1.2110841,1.0655383,1.0944353,1.0425463,1.1603446,1.120064,0.744853,0.88286763,1.0034772,1.1500201,0.9833397,0.9858384,1.181954,0.9246198,1.1415898,0.9996555,0.99105567,1.0137582,1.1955274,1.0898112,1.0957282,1.1593711,1.0813279,0.19606626,1.2143373,0.71253407,1.0947745,0.46305805,1.139029,1.0315477,0.9990883,1.0264263,1.0421544,0.77870774,0.72018254,0.7358126,1.1521611,1.1036929,1.1525964,1.018878,1.1336204,0.7602451,0.6916098,1.1564579,1.2220845,1.1513498,1.1750649,0.48051715,0.8654626,0.97126454,1.1080289,1.1566172,0.90230244,0.80566704,1.0642589,1.1164112,0.8918702,1.1624172,1.0666627,0.5520485,1.1829202,1.1393797,1.1980153
basket,1.1162915,1.137968,1.1652973,1.104819,0.9889954,1.0567508,0.0,0.76929414,0.9115209,1.0193634,0.84157646,1.2009441,1.1442486,1.0023814,0.8657894,0.897722,0.8552425,0.6142974,1.0889322,0.41792375,0.46928334,0.91713524,1.1785754,1.0361351,0.7290355,1.096311,0.90572715,1.2462813,1.1094735,0.89480066,1.1661109,1.030932,0.35100222,0.8661981,1.0764676,0.96417516,1.028555,0.869552,0.8283748,0.9887729,1.1789695,1.0449609,1.1547098,1.2005436,1.092825,0.85689324,1.268826,0.9042192,1.1734898,1.0491424,0.9179832,1.2624425,1.1657584,1.0893598,1.1409227,1.2747666,0.82336885,1.2731844,1.1447845,1.1265428,1.1371125,1.2132409,1.0212748,0.6652942,0.8462377,0.98619515,1.2860368,0.7331692,1.1795466,1.0489211,0.9786117,1.0773591,0.7320054,1.1959558,1.0853028,0.80582726,1.0141417,1.0485963,1.2326177,0.9012116,1.0218529,1.0589114,0.9968013,0.97221935,1.0513644,0.88637286,0.91796094,1.0460775,0.965126,0.9264805,0.8426012,1.0432395,0.9212369,0.9175091,0.9223274,1.1858392,0.9429879,1.226244,0.9737394,0.9848664,0.8487749,0.9509531,1.0367261,1.0535492,0.9769519,1.0342895,1.0284785,0.936985,0.8689445,0.6587541,1.0576249,0.9676082,0.94078934,1.330696,1.1541679,1.039784,0.68283147,0.9596609,0.8724628,0.7366773,1.1953977,0.86436707
bathtub,0.9767685,1.4859223,0.73534834,1.4125912,1.3243833,1.0952598,0.76929414,0.0,0.40755695,1.2418157,0.72614676,0.8288937,1.0778046,0.45516384,0.97886646,1.4550284,1.0670525,0.5866963,1.4710934,1.1957653,1.041028,0.9232151,1.251589,0.8428828,0.9771693,1.2641827,0.6368653,1.273211,1.0751225,0.5331209,1.4183549,1.4829389,0.47692174,1.4255025,1.1577839,1.01975,1.1677289,0.65543354,0.6961082,0.78420377,1.3199273,0.634296,0.8523352,1.336292,1.1842587,0.98691595,1.1362495,1.402623,1.3763809,1.041073,0.629821,1.4539348,1.2155938,0.84255844,1.1994678,0.9837629,0.8153242,1.0146314,1.3623326,0.9161367,1.280243,0.6580123,1.4392247,0.6790007,1.2388475,0.9094654,1.095029,1.1306102,1.1832842,0.9687932,0.95075476,1.3886718,1.2054896,1.3958299,1.4757375,0.374798,0.95707506,0.718761,0.76801753,0.68175143,1.3709478,1.3881376,0.9720248,1.2032971,1.3876628,1.0441672,1.0600982,1.53476,0.6772814,1.1574503,0.30254668,1.1662115,0.8938817,0.74782133,0.8973589,0.65635103,0.9071631,0.70582545,1.5719652,0.4152931,0.76373893,1.1991554,1.4769092,0.88828754,0.9607561,1.0462844,0.87506545,1.437852,0.71451396,1.1170393,0.7413386,0.50747776,1.2404966,1.3864658,1.2922477,1.041366,1.1665072,1.3482571,0.6498127,1.0769689,1.5297953,0.61771363
bed,0.74939054,1.4382269,0.76270443,1.3599303,1.3904788,1.157287,0.9115209,0.40755695,0.0,1.2474587,0.86001194,0.7158142,0.9607277,0.14563417,0.8881312,1.4567406,1.3545772,0.6212944,1.4272313,1.3297558,1.1446491,1.0435685,1.3072143,0.77974224,1.0233957,1.1362321,0.5684787,1.2272553,0.9868931,0.2714008,1.2654067,1.5226912,0.47635144,1.4998907,1.2960336,0.81138086,0.8986632,0.81235147,0.9527812,0.69000345,1.4551404,0.7803695,0.7968503,1.3902014,1.1449679,0.93386126,1.0369426,1.5590109,1.2620971,0.9908748,0.64198256,1.3407669,1.0229388,0.82685494,1.1345415,0.8396832,0.7440203,0.96709126,1.1979955,0.8958289,1.2547044,0.5629771,1.5098863,0.7328203,1.3967692,0.8701618,1.0871577,1.1350257,1.010581,0.8176663,0.8813076,1.3480877,1.2539502,1.4501287,1.4355243,0.65889984,0.81908786,0.5911477,0.7243725,0.6711087,1.473447,1.473607,1.0257249,1.2136695,1.2789278,0.97471833,1.1499732,1.4855684,0.43315935,1.0732563,0.6255869,1.1479149,0.9019001,0.9402929,1.0339284,0.65786827,0.7109598,0.70343715,1.5530924,0.58063686,1.1310018,1.2381735,1.3899019,0.9231459,1.1764197,1.0412488,0.9932075,1.5384854,0.87130034,0.8831856,0.674456,0.51588255,1.4171987,1.2265816,1.3163168,1.0755439,1.1578671,1.2426398,0.8817574,1.1822246,1.484475,0.75260377
belt,1.3819412,0.5712905,1.2677159,0.7256943,0.5427787,1.2319887,1.0193634,1.2418157,1.2474587,0.0,0.8671391,1.3261292,1.127826,1.2811639,1.1242324,0.48351097,0.9392737,1.2558568,0.8429259,0.7807492,0.71161216,1.0035398,1.0868838,1.0827687,0.8970827,1.0005896,1.2517384,0.8766228,1.1574588,1.1311218,1.0954263,0.34729803,1.2191098,0.55260724,1.1731045,1.2154998,1.269031,0.9849067,0.99032813,1.3143691,0.9254313,1.0616393,1.1014857,0.91413105,0.9559221,1.098076,0.8607235,0.64070606,0.8564849,0.9790816,1.2778026,0.7491574,1.0238822,0.90624684,1.0635262,1.0391145,1.3659139,1.2749665,0.7743392,0.9874837,0.6906648,1.2369725,0.5301263,1.1010793,0.6844393,1.2659552,1.1025109,1.0473766,1.0145904,1.1168902,1.273171,0.50142455,0.7508607,0.6272522,0.6424272,1.1160928,1.2610708,1.2574505,1.1070232,1.232214,0.4264393,0.50994563,1.1913779,0.24060106,0.95714045,1.0683466,1.1376138,0.73805445,1.4102544,0.9976167,1.1797059,1.0310571,1.3560785,1.2277256,1.311841,1.2104471,1.1241019,1.1156701,0.58239824,1.1452612,0.75686556,1.0586326,0.42580736,1.0020535,0.50305295,0.8252664,1.302243,0.66551596,1.1759118,1.1006936,1.1642368,1.2442342,0.84446716,0.8426591,0.5723907,1.1314871,0.72010803,0.85488236,1.3421609,0.8082466,0.6241605,1.1021414
