,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.2094971,1.1034331,0.5489589,1.4358819,0.9903954,0.6896926,0.8546118,0.83948,1.3429068,1.4030052,0.0,1.2671983,1.5049795,0.8976946,1.3730398,1.1466341,1.0383282,0.66654646,0.5885962,1.1487262,0.7361229,0.8200917,0.84643185,0.8367413,0.33358598,1.0720676,0.4355601,0.7133502,0.9567143,0.9248703,1.3441685,0.9096068,1.2293823,0.61331785,1.2722024,0.79334176,0.28094316,1.3344734,0.6867577,1.00733,1.222334,1.3186961,1.4056039,1.1160796,0.7544608,1.2106575,0.64708936,0.8622712,1.1467685,1.2656536,0.78447247,0.47926557,0.97363985,1.1438736,0.62949944,1.0064249,1.313927,0.36752462,1.0968459,1.0670568,0.6191198,1.1302662,1.1399524,0.7349378,1.0538092,1.2346177,1.3368512,1.375678,1.1582227,1.2007909,0.81713986,1.2013407,0.70260334,1.2988775,1.4240761,1.3347399,1.1979222,0.9776599,1.2341913,0.52666134,0.7656702,0.6453246,0.6084368,0.706748,0.7923215,1.0204084,1.4693042,1.117499,1.3819189,0.18326378,0.19887394,0.8839705,1.039414,1.2207003,0.7724334,0.79984736,0.39142108,1.2046967,0.9252836,1.1326007,0.86204803,1.1212735,1.0691482,1.1764222,1.1026676,1.3354359,1.2432673,1.232123,0.83161646,1.3946416,1.1427712,1.33872,0.3921702,1.1555222,0.67703265,1.0891852,0.8955324,0.5863522,1.3419044,1.4063832,1.3879075,0.71982527,0.6336777,0.75870633,1.0543363,0.6432234,1.1334653,0.94582605,1.1799042,0.6261898,0.36867303,0.94026005
bench,0.9266007,1.2663605,1.5174838,0.5217458,1.3921595,1.5034138,1.3372605,0.91226655,0.6642127,0.25909925,1.2671983,0.0,0.49230254,1.264535,0.39977783,0.7342311,1.0611768,1.4427674,1.3514779,0.7355056,1.4826605,0.86119056,1.276531,1.1809468,1.3292794,0.6905003,1.2631288,0.7803284,0.47039926,1.3714081,0.76183355,0.74015164,0.87613803,1.4163963,0.311885,1.2790565,1.4638127,0.13492513,1.4239972,1.2413822,1.2394072,0.8173754,1.0158197,0.84370595,0.8538997,0.6476299,1.2475086,1.334495,0.5958853,0.84385407,1.3020973,1.3526797,1.189775,0.8079827,1.1998115,1.2732431,0.76297426,1.3552504,1.0060916,0.90433544,1.4185866,0.8981403,0.9927313,1.3606318,0.95959413,0.77236116,0.7780613,0.53113735,1.1123265,0.48482126,0.94727063,0.60590625,1.359568,0.7688532,0.70009595,0.84794927,0.726289,1.0991299,1.0347596,1.4366045,1.2987168,1.3436756,1.3993056,1.3688526,1.0201278,1.1559451,0.45227695,0.57943004,0.74388474,1.4146267,1.3810678,1.3205012,0.99935794,0.57027817,1.4713702,1.2834368,1.4336829,1.0279294,1.3789713,0.81366086,1.2139301,0.69629145,1.17641,0.7461468,0.9414737,0.45579112,0.9505444,0.59385526,1.4124768,0.7352721,0.75583744,0.7167538,1.4548107,0.63571364,1.4450861,0.96667624,1.3184835,1.3385041,0.6598151,0.5055575,0.38465345,1.4678848,1.495203,1.1419755,0.82126755,1.3187691,1.3179258,0.9639028,0.9307389,1.1065973,1.3968265,0.75044787
bib,0.762776,1.1752721,1.4772055,0.40049738,1.1785305,1.3990076,1.2615962,1.2431471,0.72472054,0.38697857,1.5049795,0.49230254,0.0,1.2907932,0.34936082,0.84589994,0.93959415,1.5377831,1.5656691,0.9066767,1.4564813,1.1450593,1.2855252,1.1694531,1.5143218,0.7729653,1.2686911,0.9506762,0.9355833,1.3098277,0.81586,0.95071054,0.72457314,1.4769976,0.6109611,1.259779,1.5625995,0.54146266,1.5278964,1.2493682,1.080002,0.7516825,0.6851935,1.025489,1.1761968,0.5686464,1.2839684,1.3147517,0.6802796,0.5725684,1.2137045,1.2907505,1.1348501,0.77814656,1.3543082,1.027237,0.70544684,1.4404621,0.8729696,0.819378,1.3026354,0.73210466,0.7906294,1.19286,1.1100804,0.7952498,0.69566804,0.32710302,1.1026396,0.49533474,1.142107,0.88258636,1.511444,0.6524416,0.58344126,0.6521222,0.7699213,0.9207739,0.83549935,1.448314,1.3991938,1.2181132,1.4142796,1.3025509,1.1937902,0.95163476,0.15879083,0.6166133,0.5243249,1.5736256,1.5666887,1.3365138,1.0072035,0.51987636,1.4111441,1.3189006,1.5841008,0.97421354,1.3099716,0.79771024,1.2631631,0.96503246,1.1006143,0.62180614,0.903669,0.286564,0.82502866,0.4915622,1.4308815,0.74356854,0.9032852,0.74162173,1.5324602,0.7323891,1.4909067,0.9105006,1.3528397,1.4250191,0.65964955,0.36471444,0.51214814,1.4416897,1.4384391,1.1002523,0.801756,1.4757555,1.0746689,1.1086782,0.89681166,1.4291625,1.4485579,1.0566456
bird,0.8093003,0.8199631,0.89051586,1.3251014,0.8486216,0.80140316,1.0228832,0.9138938,1.0728238,1.1799034,0.8976946,1.264535,1.2907932,0.0,1.2033653,1.0053737,0.9079473,0.8375827,0.7972053,1.1664748,0.830529,1.0097858,0.9573826,0.5033256,0.9917755,1.0892395,1.1563855,1.0803888,1.1672553,0.63624966,1.1293406,1.0633266,1.0488611,1.0231739,1.2761306,1.1536397,0.88987,1.2301039,0.7552149,0.64642173,0.8784028,1.0551039,1.0611748,1.0733876,1.2583458,1.3756685,1.1868411,0.9945364,1.2056998,1.2448804,1.264302,0.89722896,0.83863425,1.2981344,0.98399425,0.5562452,1.1573999,1.0396206,1.2497572,1.06725,0.995001,1.2099376,1.4018788,0.86095726,0.6269028,0.93333554,1.1805087,1.2337698,1.0266345,1.356415,1.0132419,1.186824,0.7043297,1.0742702,1.1041145,1.304289,1.2729778,1.2078635,1.1181881,0.9951858,0.7664397,0.80158806,1.0010827,0.9567936,1.0597425,0.8252405,1.2843208,1.303948,1.1164137,0.8919731,0.8878298,0.13924396,1.1107413,1.2999837,0.85044295,0.7581061,0.87235117,0.8911439,0.812153,1.11116,0.75027144,1.1510385,0.48913288,1.3412814,0.95932096,1.2837319,1.0834472,1.3078966,0.6034271,1.0968541,1.1250552,1.0122463,0.85410833,1.087947,0.9296823,1.2723122,0.62755156,0.67028105,1.1267121,1.2338544,1.2084262,0.7012182,1.1055224,1.1457933,1.155203,0.7249736,0.77533007,1.0651226,0.9667691,0.8925633,0.99835396,1.0671328
blanket,0.80054164,1.1955312,1.4888977,0.50235456,1.1557289,1.3834468,1.2942433,0.95397717,0.6797003,0.14700758,1.3730398,0.39977783,0.34936082,1.2033653,0.0,0.7573127,0.8307875,1.4679476,1.414001,0.83060306,1.391939,1.0968255,1.2330086,1.1947598,1.4274137,0.7464398,1.2776729,0.88950753,0.7524174,1.265173,0.83900905,0.85687447,0.7093442,1.4423978,0.5544449,1.2178671,1.4949132,0.3361693,1.4235226,1.1729931,1.0647124,0.79175496,0.8023406,1.0352678,1.0606525,0.7561556,1.3224502,1.3382668,0.7099183,0.9481503,1.3664699,1.2800143,1.0606863,0.86375606,1.3804194,1.0400909,0.66845226,1.4547901,0.9563711,0.7977449,1.2196689,1.0445527,1.008017,1.3040761,1.0583382,0.86826956,0.85777044,0.52684236,1.0922526,0.61528426,1.0878289,0.88043886,1.4921005,0.77927613,0.50238854,0.77124023,0.8741174,1.0929524,1.0407195,1.4692433,1.1942769,1.1325296,1.4364183,1.3740792,1.0887276,0.95777863,0.3261801,0.7131218,0.5169912,1.5031857,1.4708128,1.2955601,0.9866445,0.4360416,1.3525128,1.2725997,1.440418,1.0282514,1.3504657,0.669363,1.2565886,0.9150237,1.1151092,0.69454706,0.806921,0.6376059,0.96241075,0.5363829,1.3612335,0.66210824,0.8891441,0.6887828,1.5187595,0.5967376,1.5383738,0.9608319,1.3070408,1.3797102,0.60817987,0.6549362,0.32175767,1.3666434,1.5204804,1.1065423,0.76848555,1.2254268,0.9922958,0.9239892,0.83793473,1.3758372,1.4570467,0.95394915
boat,0.997063,1.0246367,1.3103527,0.7385483,1.1714133,1.2247174,1.143698,1.0097206,0.2468524,0.6872436,1.1466341,0.7342311,0.84589994,1.0053737,0.7573127,0.0,0.95250714,1.1364565,0.95156246,0.8743186,1.2419486,0.9461978,0.8487314,1.0531427,1.2925954,0.9864631,1.1752007,1.0359085,0.8686435,1.1812434,0.8738952,0.95748854,0.8535751,1.2617663,0.9385083,1.3060362,1.1862786,0.76220274,0.93375826,1.0657915,1.0137137,1.0623492,1.0244784,0.9475791,1.120151,1.0300822,1.2694902,1.1332316,1.0203147,1.0278312,1.2191836,1.227831,1.0791354,1.0163584,1.1090542,1.0730305,0.8110704,1.2526262,1.0949029,0.8523052,1.2285964,1.117308,1.0800464,1.1844276,0.9264599,1.0336776,0.85756075,0.8888763,0.89523965,0.9490727,0.93087167,0.90230274,1.0120893,1.0628239,0.91360897,1.006172,1.03673,1.125892,1.272908,1.2371942,1.0798492,1.1247301,1.3033689,1.2237864,1.217612,1.0869616,0.8360363,1.0285779,0.811229,1.158387,1.1502506,1.0459473,1.1189982,1.0263532,1.2304031,1.1607264,1.1052595,1.1246469,1.1238664,1.1038473,0.9924373,0.95713836,1.0608033,1.1399341,0.7786812,0.92236435,0.97672564,1.014407,0.95658624,0.7334337,0.34050262,0.28474736,1.298052,0.7636486,1.251652,1.091573,0.92524606,0.92015207,0.8539459,0.94771713,0.6383302,1.0279745,1.359648,1.1935391,0.7584576,1.1229165,1.0278022,0.6654043,0.9426374,1.0010127,1.2399002,1.0321858
book,0.84340525,0.97359854,1.1024475,0.9688373,0.94606674,1.0444356,0.9851645,0.8151051,1.0034075,0.88704914,1.0383282,1.0611768,0.93959415,0.9079473,0.8307875,0.95250714,0.0,1.0440267,1.0012074,0.5574539,0.98697144,1.0971856,0.8118247,0.9749122,1.0534996,1.005854,1.0293025,1.2803923,1.0030742,0.8163599,1.064315,0.9003815,0.87685496,1.0005449,1.120728,1.0012957,1.0007137,0.98572063,0.97458786,0.918319,0.73014283,1.097829,0.80594873,1.1966357,0.74143124,1.1887454,1.2108945,1.112449,1.2818094,1.1979337,1.0759124,1.0077981,0.958442,0.9700064,0.92166173,0.7745824,1.0177689,1.1816475,0.9573901,1.0743746,0.6515826,1.2042531,1.0178982,1.0040233,1.0624745,1.1761566,1.1475217,1.1487631,0.96399903,1.1338016,1.0161659,1.0489682,1.0923775,1.1092212,1.0768265,0.977781,1.104547,1.0838884,1.1298041,1.1683975,0.89461577,0.750531,1.1373124,1.13044,0.75076604,0.9796021,1.0118107,1.2384831,0.36665606,1.0129335,1.0263466,0.92708397,0.9840777,0.9452887,0.98980826,0.8875987,0.8553279,1.0805439,1.0896801,0.67776364,0.9000991,1.0899563,0.90270585,1.0436132,0.7725783,1.1891731,0.9134812,1.0094783,0.9837856,1.1069807,1.0527112,0.9585351,1.0725176,1.0793592,1.1635339,0.98234844,0.9841599,1.052057,0.9595943,1.1481947,0.8950893,0.87439203,1.1528547,0.9459477,0.86561286,0.8363115,0.5593321,0.5670134,1.0105529,1.0784107,1.131215,1.214404
bottle,1.3477293,0.76797533,0.5398827,1.431212,0.8240414,0.60697734,0.87045825,0.85217834,1.2419922,1.4634932,0.66654646,1.4427674,1.5377831,0.8375827,1.4679476,1.1364565,1.0440267,0.0,0.401653,1.08494,0.5183976,1.1854875,0.6314708,1.061531,0.53823954,1.3641757,0.9426209,1.1486446,1.0438317,0.6815736,1.2092369,1.0464122,1.2526323,0.51509106,1.3822752,0.75994205,0.4522667,1.4104584,0.29187703,0.8402231,0.9211619,1.3055931,1.2224047,1.0785712,1.0334263,1.3965318,0.9037029,0.7328647,1.2270312,1.2961233,0.8658579,0.962018,0.922477,1.1779618,0.8080485,1.1164223,1.2504735,0.64432824,1.085749,1.1990001,0.69913435,1.2352009,1.2748195,0.9023346,0.95951366,1.276911,1.2976224,1.3690727,0.6047046,1.4313173,0.78587735,1.2742379,0.5407236,1.3955898,1.400935,1.2301203,1.420539,1.1118907,1.2561393,0.444826,0.6392049,0.6909712,0.55344033,0.65829015,0.8611757,1.1163695,1.4573547,1.3212854,1.405871,0.51604116,0.5584631,0.72865665,1.126042,1.4214336,0.5739565,0.69551647,0.49198997,1.1023592,0.5206878,1.1198826,0.9038136,1.0282131,1.0866868,1.2506279,1.2291124,1.4296346,1.1197615,1.3879173,0.49718618,1.1538229,1.1409551,1.1988394,0.57346773,1.2471992,0.5457929,0.96173644,0.64450306,0.7159314,1.3386497,1.4146202,1.4093964,0.47918975,0.6195624,0.8751104,1.1641045,0.5364048,0.8699557,1.0271639,1.1620712,0.6303007,0.5675222,1.0588816
bowl,1.376296,0.73222005,0.6452283,1.4992115,0.81766766,0.6613118,0.85094064,0.65371126,1.0558765,1.4255753,0.5885962,1.3514779,1.5656691,0.7972053,1.414001,0.95156246,1.0012074,0.401653,0.0,0.96905047,0.5690203,1.0224398,0.3949057,1.0678959,0.5913243,1.2488585,0.9456332,1.1147983,0.92560863,0.66762483,1.2449751,1.0938523,1.2683021,0.66412646,1.3587242,0.96839637,0.5808821,1.3060433,0.18772483,0.7768646,0.8187223,1.2840614,1.210036,1.0812672,0.9674269,1.4532351,0.9505862,0.69125605,1.2617532,1.3994312,1.0178766,0.9591731,0.97986495,1.2366151,0.8300876,1.1249663,1.1905481,0.75239927,1.1395124,1.116374,0.84097004,1.3423579,1.3472317,0.83294845,0.9627876,1.2795819,1.3003429,1.4716513,0.76411825,1.4891456,0.9631978,1.1761041,0.5300161,1.3724574,1.2548295,1.3463103,1.2819884,1.2070435,1.3384683,0.6575496,0.48616505,0.70676696,0.6911513,0.70347023,0.8329975,1.0213262,1.523788,1.3960394,1.3915839,0.578417,0.5817591,0.7582421,1.0678642,1.3544257,0.61685777,0.9256583,0.33931625,1.0880121,0.59982026,1.1157662,0.6732159,1.0285971,1.027704,1.4043591,1.1612804,1.476662,1.1348398,1.4314023,0.5307174,1.181346,0.8707879,1.0053248,0.6024006,1.193385,0.5926484,1.1155326,0.61121976,0.6985935,1.2710109,1.4838083,1.3168647,0.34272373,0.7633713,1.0435073,1.2562232,0.46152765,0.9125699,0.6612085,1.161386,0.72966486,0.74467695,1.0310491
box,1.001644,1.1258705,1.3591399,0.84626555,1.1148572,1.2153417,1.1924013,0.66912067,0.786319,0.79730785,1.1487262,0.7355056,0.9066767,1.1664748,0.83060306,0.8743186,0.5574539,1.08494,0.96905047,0.0,1.1479625,0.87926304,0.7636056,1.1494526,1.070187,0.9740373,1.1735274,1.1352229,0.713557,1.1074914,0.77663183,0.81739134,0.8867258,1.1149226,0.7417675,1.0889506,1.2585849,0.64969826,0.98511714,1.0845472,0.8552239,1.0173293,0.9143273,0.8912426,0.51918566,1.0488386,1.270497,1.2571957,1.1383345,1.0680298,1.2093972,1.277216,0.9111297,0.9046365,1.0596972,1.1268733,0.7103162,1.3074715,0.96522915,1.0853368,1.0111585,1.1340666,1.0289922,1.2036016,1.0208635,1.1128612,1.0469408,0.9835732,0.77079403,0.9593635,1.0762652,0.7070677,1.1088715,1.0473006,0.90546536,0.9210518,0.87303126,1.1504567,1.1952574,1.3407679,1.0498133,1.1085277,1.3145064,1.2915158,0.6876646,1.0899584,0.89232373,1.0378158,0.60329056,1.2242696,1.2299744,1.176782,1.0621765,0.878342,1.135896,0.9697278,1.0643455,1.091467,1.1652954,0.574605,0.9370611,0.7127631,1.0977023,0.8574544,0.9201365,0.98293644,0.8978335,0.90135336,1.104898,0.9325268,0.7930563,0.81786597,1.3331008,0.94654095,1.2108151,0.94840205,1.0989939,1.1741102,0.8272201,0.95678204,0.6815975,1.0781238,1.3672248,1.128969,0.8806456,1.060245,0.8604048,0.5477046,0.8051199,0.99060154,1.2956065,0.9656234
bread,1.1626475,0.7972637,0.55533284,1.402665,0.85715365,0.7768447,0.5102848,0.9096504,1.2980087,1.4294612,0.7361229,1.4826605,1.4564813,0.830529,1.391939,1.2419486,0.98697144,0.5183976,0.5690203,1.1479625,0.0,1.1309868,0.88785523,0.9819595,0.73211956,1.2278063,0.92904145,1.1562233,1.1699104,0.64859927,1.2555722,1.1916064,1.1705496,0.27749717,1.370527,0.53367525,0.5464233,1.4390142,0.6404161,0.75317156,0.9424148,1.1784921,1.1754147,1.1703855,1.096725,1.3576765,0.923978,0.8163706,1.2331128,1.2340355,0.91664773,0.8953418,0.886462,1.2302175,0.8580233,0.91800773,1.2910954,0.71589404,1.1525714,1.1571631,0.8205506,1.214166,1.2392446,0.9082673,0.9490337,1.2111392,1.3186208,1.3515749,1.0075881,1.3808401,0.8830733,1.2927384,0.7609125,1.2308773,1.242334,1.3051636,1.2158186,1.079989,1.1163535,0.5984771,0.48069203,0.7386211,0.69764143,0.62965107,0.97777534,0.94506025,1.399644,1.335627,1.2934103,0.5923623,0.60157895,0.8199874,0.9179469,1.3156422,0.019465327,0.78426206,0.3416686,1.087725,0.5704809,1.1718032,0.9618943,1.1515666,1.0273999,1.231287,1.0952137,1.3909507,1.1048038,1.3464668,0.64014864,1.2459779,1.2965065,1.254978,0.57206535,1.1832961,0.78705925,1.1852958,0.83676267,0.75837284,1.3483298,1.3740118,1.3673902,0.5858658,0.75666296,1.0583822,1.2435797,0.4686675,0.85536134,0.95839655,1.1146642,0.911347,0.6819419,1.1479049
broom,1.0080446,1.1969438,1.1441641,1.0370245,1.2156266,1.1546307,1.1269308,0.79491806,0.97487926,1.0413316,0.8200917,0.86119056,1.1450593,1.0097858,1.0968255,0.9461978,1.0971856,1.1854875,1.0224398,0.87926304,1.1309868,0.0,0.96755403,0.9762096,0.9063829,0.8697207,0.87459415,0.87042797,0.77565706,1.0990186,0.8815247,0.9505586,1.1023402,1.0342605,0.8298769,1.0311825,0.9650723,0.8670906,1.1141531,1.1124903,1.1611142,0.9651739,1.1201285,0.7275897,0.80323994,1.0121087,0.9608682,1.140294,1.0410995,1.0221715,1.1110566,0.95598423,1.0716001,1.0354161,0.88132375,1.1004488,1.0918703,1.0205659,1.0491991,1.0025731,1.1231067,0.95557153,1.0478464,1.0871878,0.88808364,0.8820476,0.9598415,0.99896747,1.0897691,0.9358981,0.9431114,0.46616542,0.8730339,1.0131357,1.1443534,1.0544046,0.8136605,1.1083977,1.0620944,1.1635373,1.0730717,1.080475,1.1379077,1.1119294,0.9415836,1.1000085,1.1088365,0.9007658,1.1064826,0.86842734,0.83335316,1.0794187,1.0295224,1.0208231,1.1244782,0.9950374,1.0285729,0.98794144,1.1749663,0.956295,1.0376449,0.76316893,0.9279183,0.93562096,0.9653489,0.9540312,1.1510217,1.0407517,0.9872885,0.93322295,0.8970305,1.0452152,1.0723474,0.97419786,1.0485021,1.0434,1.0176314,0.8503901,0.87860906,0.9631882,0.98739123,1.1821469,1.1315693,1.0665001,0.9714302,1.0534873,1.2263646,0.95804554,1.0208583,0.6153741,1.0744541,0.7373736
bucket,1.1759188,0.7883061,0.8592723,1.3046461,0.8168013,0.80661154,0.86705506,0.691777,0.91110057,1.2722651,0.84643185,1.276531,1.2855252,0.9573826,1.2330086,0.8487314,0.8118247,0.6314708,0.3949057,0.7636056,0.88785523,0.96755403,0.0,1.0192933,0.6235993,1.2894019,0.8659564,1.294038,0.9644775,0.82886386,1.1505669,1.067609,1.2106318,0.9158648,1.2342952,0.96663594,0.8035699,1.196429,0.3444438,0.95382506,0.77666974,1.256172,0.84639096,1.1370323,0.9007523,1.3111145,1.0067375,0.85502493,1.2830784,1.2804874,0.9984686,0.9938368,1.1090735,1.0273483,0.9358702,1.0114863,1.1096499,0.9818053,0.9321433,1.1536174,0.719675,1.2514633,1.1452931,0.7160734,1.140923,1.3188221,1.2212996,1.3116617,0.5251781,1.2356268,1.1611773,1.0324938,0.8665967,1.340765,1.0590671,1.0095344,1.1423304,1.1162343,1.2625233,0.92480034,0.8527121,0.7380339,0.8379492,0.9035056,0.8793448,1.0255814,1.2845526,1.2012576,1.1360909,0.85557663,0.82319313,0.9116818,1.0533289,1.0722055,0.90904534,1.0148363,0.68342316,1.0557039,0.80610263,0.8334166,0.8223537,1.007438,1.0975435,1.0447251,1.0278109,1.3351078,1.0291154,1.212681,0.7250086,1.1445894,0.8199835,0.8128701,0.8382541,1.2960932,0.76508605,0.8884508,0.75219285,0.928342,0.9995096,1.299042,1.1537114,0.44949043,0.8682477,1.0436507,1.0993099,0.845699,0.6573055,0.5362592,1.1837592,0.86059904,0.91473794,1.1477641
butterfly,0.6553451,1.1654801,0.87267625,1.2571659,1.0133184,0.92506635,0.8257298,1.1276406,1.0957327,1.1420643,0.8367413,1.1809468,1.1694531,0.5033256,1.1947598,1.0531427,0.9749122,1.061531,1.0678959,1.1494526,0.9819595,0.9762096,1.0192933,0.0,0.9003101,1.0461814,0.73987985,1.1028067,1.2087431,0.9261077,0.98563033,1.007374,1.0083826,0.9496078,1.1812127,0.9262633,0.776024,1.1766689,1.0917292,0.92726916,1.1505095,1.0569271,0.99236596,1.1062219,0.9749204,1.1317267,0.9053402,0.9216862,1.2131748,1.1142964,0.91795194,0.52597517,0.96167934,1.1075345,0.86359537,0.5387594,1.1483603,0.8095759,1.0975921,1.0858299,0.78921574,1.0255367,1.1618966,0.7294426,0.8791924,0.9215718,1.0543898,1.1841336,1.2287141,1.144476,0.9812557,1.1142946,0.9796145,0.93291837,1.10578,1.0757866,1.000326,0.82374907,0.90522504,0.9692246,1.0933459,0.9185859,0.966062,1.0286695,1.11445,0.9614415,1.213954,1.1560047,1.0130329,0.8075237,0.7599231,0.6410569,1.0756088,1.1240464,0.9849513,0.7419065,0.91770357,0.92307025,1.09597,1.1168835,0.91086185,1.2485281,0.5744478,1.0728061,0.9300459,1.2178023,1.0522263,1.172272,1.0842701,1.1690652,1.1144215,1.0866051,0.70890296,1.0731437,0.9249855,1.1228356,1.1110249,0.8346627,0.99765164,1.1552863,1.2117436,1.0011302,0.9084622,0.8249583,0.9961745,1.0515137,0.8073193,1.0448145,1.0926834,0.98705494,0.7661637,1.2068524
can,1.2532831,0.94590527,0.61919576,1.4660741,0.9841959,0.758559,0.80325836,0.7257183,1.4206365,1.486563,0.33358598,1.3292794,1.5143218,0.9917755,1.4274137,1.2925954,1.0534996,0.53823954,0.5913243,1.070187,0.73211956,0.9063829,0.6235993,0.9003101,0.0,1.2868164,0.5121913,0.90951025,0.90221244,0.96224034,1.3111714,0.9895287,1.297492,0.6368314,1.2081186,0.63764703,0.46603036,1.3673167,0.6014035,1.0706478,1.1110761,1.267841,1.1659979,1.054642,0.6615068,1.230173,0.52348757,0.9193874,1.095242,1.247886,0.72423154,0.7264637,1.1101499,0.94120646,0.6843919,1.0479549,1.3960657,0.4538343,0.86930394,1.180486,0.65294945,1.1276921,1.0777209,0.6254104,1.1265545,1.2609116,1.4070678,1.3517826,0.99580926,1.1554252,0.99307173,1.1609282,0.7099478,1.3028637,1.3254027,1.1282172,1.2786038,1.0024515,1.1484028,0.60951084,0.72730374,0.66502464,0.54770654,0.75499904,0.70540774,1.1135477,1.4971508,1.0114794,1.3672248,0.39398825,0.40731025,0.8939621,1.0249804,1.0743076,0.7783605,0.7848895,0.5424773,1.1011453,0.8855169,0.9537946,0.90767294,1.0181025,1.1578493,1.0629696,1.137301,1.3640826,1.0799731,1.224167,0.81538504,1.3846023,1.2132318,1.3714086,0.38435644,1.2765179,0.4353068,0.79343617,0.8121312,0.74050355,1.2983822,1.378406,1.360363,0.70434105,0.48779887,0.7841754,1.1805291,0.62268764,1.0171359,0.982159,1.2968016,0.57575315,0.43625653,0.99131113
car,0.7442586,1.2894194,1.1019766,0.8750459,1.1306566,1.1894765,1.0893203,1.041405,0.91696346,0.7163121,1.0720676,0.6905003,0.7729653,1.0892395,0.7464398,0.9864631,1.005854,1.3641757,1.2488585,0.9740373,1.2278063,0.8697207,1.2894019,1.0461814,1.2868164,0.0,1.0240893,0.66047096,0.9973264,1.100097,0.92992467,0.67068934,0.9113828,1.1712714,0.7678987,1.1993587,1.1813587,0.7012305,1.3263799,1.1059088,1.1441499,0.8702103,0.98777455,0.96765155,1.0472149,0.8360172,1.1741241,1.0704489,0.7155949,0.85737276,1.3078849,0.9231745,1.0213157,1.1667185,0.860338,0.9746784,0.62187386,1.1582131,1.2416692,0.8721713,1.0124239,0.8757678,1.0375475,1.2000451,0.9433949,0.57743365,0.9482619,0.78046143,1.1056901,0.91297364,0.80857444,0.860721,1.2422354,0.9271193,0.8304291,1.1387496,0.34806573,1.1179171,1.0160329,1.1922424,1.1949213,1.2486244,1.280911,1.1256441,0.9883352,0.75011325,0.783346,0.89153695,0.90636474,1.1618096,1.154295,1.184094,1.0234779,0.9271748,1.204609,1.1078342,1.1721545,0.95098525,1.3136034,0.9342456,1.0995926,0.8858354,1.0067971,0.8488921,0.88629586,0.78146434,1.1537328,0.95471793,1.3735429,0.909286,0.97530776,0.9257364,1.2054435,0.7137653,1.2760367,1.317658,1.3102541,1.0067613,0.7214449,0.75303906,0.762703,1.2849278,1.315228,1.0043434,0.71777934,1.1979336,1.1393452,1.043116,0.97502846,1.229223,1.2412277,0.78648216
carrot,0.95508957,1.1942075,0.5334908,1.2471415,0.9466772,0.7319812,0.63884866,1.1174929,1.3053141,1.353509,0.4355601,1.2631288,1.2686911,1.1563855,1.2776729,1.1752007,1.0293025,0.9426209,0.9456332,1.1735274,0.92904145,0.87459415,0.8659564,0.73987985,0.5121913,1.0240893,0.0,0.87695605,1.1645377,1.1062,1.2941222,0.9473003,1.1548517,0.725732,1.266475,0.6143309,0.39771092,1.3307626,0.9823968,1.1401649,1.1426075,1.2613195,1.1581621,1.2267332,0.80026484,1.009285,0.59778637,0.7870033,1.1423681,1.0869179,0.5730396,0.32633638,1.0759144,1.0111395,0.7475658,0.8680437,1.19771,0.4858144,0.9457772,0.9154539,0.44899958,1.0212252,0.86990273,0.6199024,1.2215884,1.1894146,1.2246951,1.2380252,1.1615443,1.0629059,0.8579904,1.2011693,1.0721585,1.1270372,1.2400497,1.0028335,0.9715231,0.7515539,0.9799695,0.6299173,1.0511729,0.8093786,0.65527743,0.62781656,0.88435334,0.96874905,1.3176758,1.0595099,1.2277539,0.45275378,0.392008,1.1128122,1.0276653,1.1078169,0.9195403,0.93208474,0.66188943,1.1532345,1.0064768,1.1001436,1.0941616,1.2582997,1.0796602,0.91099197,0.88385034,1.205757,1.1805067,1.1188263,1.1827362,1.3528235,1.2096593,1.2692202,0.5149588,1.2134105,0.77873963,0.94772446,1.2183505,0.9069607,1.1488473,1.2518272,1.3491821,0.90854096,0.51240224,0.6299569,0.8789357,0.99195886,0.9632651,0.88139033,1.2312149,0.9302105,0.44759256,1.172211
