,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.3561752,1.2831237,0.60810006,1.2672236,1.3009558,0.5978983,1.2350914,0.7067599,0.5002707,1.424294,0.6848757,0.47093654,1.2525935,0.61231315,1.1004155,1.4041586,1.3718882,1.3492672,0.99916774,1.4582839,1.2566483,0.5522374,1.4593761,0.5443435,1.4033546,0.84130347,0.9961005,1.2278218,0.96767247,0.8125473,0.97470856,0.6293461,0.88517565,1.4985843,0.5695765,1.4208755,0.51538134,0.74150324,1.0636227,1.070834,0.6040767,1.3075595,1.2258348,0.81073534,1.203676,1.1529406,1.4559904,1.4210029,0.38363624,0.5060702,1.5218734,0.5700009,0.87832874,0.86700237,1.2290796,0.7118987,1.196877,0.76037437,0.73558056,0.78502834,0.5459397,1.5019953,0.8033626,1.159781,0.80240524,0.6050511,0.7937646,1.3022968,1.099494,1.46676,1.5301524,1.1717004,0.9442187,1.0855443,1.1985347,0.592751,0.6910389,0.5376411,1.5127596,1.4359021,0.7880331,1.1242857,1.179172,1.3534355,0.91088784,1.2137209,1.4408972,1.0588937,1.3203633,1.510396,0.9784458,0.70270455,0.59376395,0.42753994,0.63879657,1.3307046,0.80501777,1.4666107,0.8742987,1.3654767,1.2231976,1.1805532,1.3476379,0.5339111,0.5894916,0.6914362,1.1568569,1.3872883,1.1288435,0.56584454,1.5113268,0.9478181,1.2690737,1.2153921,1.386369,1.011691
ankle,1.3561752,0.0,0.7677595,1.170394,0.78392553,0.96240735,1.2330879,1.0888056,1.2371491,1.2867205,0.6303687,1.3114705,1.2437882,0.8386923,1.2169467,1.1565957,0.8465163,1.0205094,1.0756117,1.1364079,0.7349724,1.0718312,1.2819577,0.7742549,1.2701112,0.7557732,1.0707542,1.1644278,1.0461833,1.14286,1.1129496,1.1089501,1.2815659,1.0189749,0.6064652,1.3544579,0.97521734,1.2534487,1.2116066,1.0984422,1.0894866,1.1803658,0.82747644,0.66371703,0.9491141,0.74509406,0.85926324,0.7061025,0.8500754,1.257817,1.2736984,0.35570335,1.233475,1.1175579,0.822449,0.84147793,1.0905412,0.5137043,1.22837,1.1471776,1.2812836,1.2364175,0.6829714,1.2894988,1.1115457,0.9706459,1.2921002,1.1175587,0.51583207,0.9135007,0.4996891,0.8697766,0.62163526,0.8226048,1.0102478,1.0557195,1.2072868,0.9836828,1.308785,0.7147958,0.70047003,1.227802,1.1467124,0.9741663,1.0023621,1.2579995,1.1443772,0.61463064,1.1535847,0.8371603,0.65629613,1.1055524,1.180415,1.1610192,1.2778444,1.227023,0.8322324,1.2358234,0.5648904,1.1500252,0.692035,0.8854919,1.0789862,0.7705728,1.3097637,1.164435,1.2313038,1.037183,0.60106826,0.8191766,1.2403197,0.85647047,1.1587884,1.1057249,0.9760589,0.50559914,1.0725636
apple,1.2831237,0.7677595,0.0,1.3010194,0.42511266,0.6947413,1.1173146,1.0055414,1.2488784,1.2844236,0.6607902,1.3637869,1.3011101,0.96902287,1.3170035,0.98810625,0.660195,0.6784897,0.87782544,1.1916572,0.7760128,0.9698721,1.3218467,0.7593558,1.2011241,0.601727,1.1785111,1.2553649,0.7770264,1.140071,1.2847703,1.0574068,1.3633032,1.0685668,0.3155387,1.3428043,0.6670853,1.2961801,1.1124952,1.19345,1.2200023,1.2208812,0.7000694,0.9455385,1.0930914,1.0304861,0.73114145,0.58176315,1.048745,1.1154127,1.1396625,0.71874636,1.2508706,0.8395,1.1441331,0.97602135,1.2603767,0.7936126,1.1573768,1.2580436,1.0488906,1.3491042,0.5515289,1.3378528,1.0454407,0.70806086,1.1384408,1.0661069,0.8794382,1.0483974,0.3217901,0.78524053,1.0169749,1.1872314,0.9047821,1.1032193,1.2949411,1.2358902,1.3268538,0.49266958,0.438666,1.325696,0.95812154,0.8471712,0.89359295,1.224164,1.1105602,0.5146486,1.233998,0.76330227,0.511781,1.0604208,1.1613636,1.3040196,1.2012658,1.3435366,0.6816925,1.1820115,0.68823636,1.1063114,0.6249826,0.8514017,0.8889152,0.6712003,1.2337852,1.300148,1.2794623,0.7576299,0.7277688,0.7852939,1.2436395,0.77034163,0.7323154,1.0024114,1.0034516,0.8049811,1.1680574
arm,0.60810006,1.170394,1.3010194,0.0,1.3412459,1.4289716,0.7300001,1.3014815,0.7166978,0.53152394,1.3153496,0.7938068,0.6257311,1.2547946,0.6843226,1.1751117,1.435612,1.4088566,1.3325269,1.0511699,1.3608677,1.3085115,0.79970413,1.4111881,0.7300778,1.3371747,0.7354545,0.99638754,1.3844751,0.9420798,0.852151,1.0189232,0.66918397,0.8397085,1.3894582,0.7050924,1.4411232,0.5231966,0.87327355,1.0635843,1.0572942,0.503546,1.2287121,1.0212928,0.8576821,0.7831609,1.2335786,1.3687904,1.2645946,0.7987003,0.7955657,1.2780997,0.4967534,1.1254324,0.81905687,1.1829058,0.32133245,1.1732563,0.75596786,0.7791059,1.0029296,0.43453187,1.3715259,0.9793224,1.1267884,1.0178416,0.6938517,0.9727722,1.0362451,1.0300425,1.3277818,1.4915103,0.930788,0.72961694,1.0871465,1.205792,0.52082884,0.70435345,0.6966047,1.3639129,1.3647535,0.76516867,1.1238612,1.2873209,1.3185284,1.0765179,1.3018103,1.3572484,0.95316297,1.3766425,1.3341122,0.9910088,0.91834164,0.55078447,0.768378,0.46105498,1.381849,0.8093451,1.3118141,0.89904207,1.3802803,1.3172503,1.2869132,1.389367,0.7642646,0.5158859,0.7472864,1.3220583,0.9870414,1.0106443,0.7251085,1.4661924,1.3129696,1.3469601,1.2319815,1.1004986,0.94106114
ball,1.2672236,0.78392553,0.42511266,1.3412459,0.0,0.52866805,1.0269815,0.92928797,1.2375379,1.3252449,0.92207056,1.4254208,1.2389449,0.85579973,1.3219545,0.7875298,0.813576,0.71500146,0.8777354,1.1804982,0.79279256,1.0175714,1.3412265,0.8086184,1.261799,0.59005713,1.3175755,1.328274,0.6658097,1.2193049,1.212196,0.7617522,1.4436879,0.9243883,0.5907969,1.3975893,0.6949428,1.3558507,1.0145327,1.1698031,1.1179831,1.2771907,0.42451668,0.878699,1.1221366,0.9996966,0.700231,0.6578117,0.9387646,1.0160503,1.1400031,0.83186233,1.2603109,0.49093795,1.1741208,0.84372246,1.2489276,0.73443365,1.234874,1.2920543,0.96877134,1.3921362,0.79323757,1.3434308,0.8813145,0.8361434,1.1061107,1.1674658,0.9838454,0.772727,0.4365744,0.7984189,1.0817391,1.1938205,0.6803506,1.0521066,1.3639776,1.2629408,1.1907575,0.67935586,0.62417436,1.2994246,0.8580109,0.91310036,0.90558654,1.3017498,1.0114828,0.52592564,1.2792506,0.660618,0.63499016,1.1130389,1.1142073,1.3200669,1.2121859,1.410367,0.83926874,1.1556169,0.7197769,1.2076869,0.73339874,0.7027992,0.74525523,0.75261676,1.302867,1.3570886,1.300509,0.5539573,0.65725505,0.81672704,1.240788,0.8260385,0.52817243,0.9670026,1.0453752,0.94095993,1.25758
balloon,1.3009558,0.96240735,0.6947413,1.4289716,0.52866805,0.0,1.2278275,0.90251493,1.2007755,1.3746021,0.7963734,1.3242571,1.2973042,0.66995764,1.2988452,0.8989257,0.77036023,0.68015146,0.8118188,1.1501154,0.8929569,0.8918926,1.1623361,0.6782247,1.2889578,0.70844394,1.2306582,1.1653414,0.55627316,1.1761783,1.1567913,0.9348405,1.368799,1.1024429,0.69959503,1.3764684,0.60460347,1.3070405,1.03116,0.9750797,0.88460416,1.3605635,0.6503029,0.9621374,1.2318752,1.0762142,0.65448195,0.6446304,0.7361717,1.0524794,1.168148,0.78193045,1.320436,0.81354433,1.2461293,0.84341025,1.3543105,0.8205814,1.2164047,1.326226,1.0095156,1.4370968,0.7815747,1.1474864,0.5977139,1.0129141,1.2061868,1.1674074,1.073914,1.0005403,0.7000363,0.7079151,1.0572333,1.2441592,0.80324423,0.9051926,1.3900406,1.3087109,1.2062025,0.70632267,0.66912633,1.1708195,0.99080503,0.7926476,0.88623804,1.1037954,0.85065174,0.6081176,1.1214926,0.53911984,0.665707,1.0517893,0.9683191,1.34727,1.1643572,1.3875935,0.7577292,1.1017728,0.69614935,1.1521683,0.7424016,0.6391889,0.5151535,0.74973035,1.3070687,1.3993726,1.2701918,0.6481501,0.84356403,0.9124527,1.2823303,0.7496191,0.6305668,0.8406817,0.73816764,0.913375,1.2114924
banana,0.5978983,1.2330879,1.1173146,0.7300001,1.0269815,1.2278275,0.0,1.2104948,0.8579762,0.79125154,1.3144203,1.0043938,0.8263139,1.1467057,0.8144918,0.83132666,1.2491081,1.2148032,1.2247446,1.0163851,1.1703207,1.2061846,0.74173844,1.3569074,0.8389447,1.0517311,1.0085521,1.2926068,1.2036823,1.0200655,0.95499426,0.8878353,0.93689454,0.6388926,1.2383494,0.8805424,1.3053164,0.73667383,0.7607448,1.1414324,1.102303,0.88363695,1.100951,1.0225204,0.9640522,0.93770915,1.1194041,1.2840701,1.2434318,0.48348713,0.7184705,1.3406575,0.64326924,0.6903063,1.0218589,1.2353717,0.6205323,1.1215408,0.85489434,1.0431597,0.7438243,0.7774362,1.2507904,0.9777465,1.0809909,0.8262001,0.52514386,0.96583873,1.0829812,0.8793738,1.2806387,1.363609,1.0403569,0.9433868,0.97195363,1.2083178,0.8616026,0.9814454,0.762684,1.2461998,1.1921792,0.99781436,0.9344378,1.1544122,1.0891392,1.0317847,1.2022371,1.2610202,1.1221031,1.2310834,1.3083171,0.882305,0.75096786,0.9939265,0.6847295,0.84977776,1.3627084,0.8634803,1.2532128,0.92269564,1.2940018,1.0034653,1.2188652,1.1642388,0.7631894,0.8832304,0.8324645,1.0552528,1.1256387,0.94204444,0.5803848,1.3508528,0.7951212,1.0903349,1.2591612,1.1831346,1.1319556
basket,1.2350914,1.0888056,1.0055414,1.3014815,0.92928797,0.90251493,1.2104948,0.0,1.2153999,1.1229477,1.0662076,0.8778034,1.1881279,0.8425013,1.0875535,0.96377665,0.8457906,0.5931989,0.628651,0.8410569,0.9581725,0.6647856,1.0901911,0.79603493,1.0673271,0.93480587,1.1396623,0.6633657,0.57053316,0.8403812,0.89660424,1.0495471,1.0995209,1.2266532,1.0045403,0.8828796,0.57592076,1.2193475,1.0434206,0.8027369,0.92314243,1.2326121,1.01624,1.1987259,1.2125791,1.1918285,1.0930829,0.83109486,0.8039553,1.2857728,1.134768,1.0199398,1.3269322,1.0643502,1.173255,0.87708986,1.3274,1.0620596,1.0378906,1.0404164,1.0114542,1.274134,0.9272483,0.82927644,0.7837453,1.1974233,1.2331553,1.0603652,1.1676974,1.1017672,1.1201184,0.6890607,1.2057467,1.2052954,1.084086,0.70505506,1.2171357,1.2865361,1.1953943,0.8974096,0.9253901,1.0162425,0.87179226,0.7929214,0.924948,0.761328,0.50504273,0.94458425,0.7810174,0.78547597,1.0172999,1.0445646,0.93811446,1.2344793,1.1438138,1.2577822,0.77235997,1.1917229,0.99976754,1.0471637,0.9856635,0.887253,0.7180947,0.95886755,1.0422771,1.2822553,1.0496101,0.83799887,1.0885447,1.2199433,1.2145598,0.717879,0.88271123,0.7098804,0.62608254,1.0990965,0.8658097
bathtub,0.7067599,1.2371491,1.2488784,0.7166978,1.2375379,1.2007755,0.8579762,1.2153999,0.0,0.60895383,1.3121481,0.662243,0.8263359,1.2408668,0.78871286,1.159142,1.2460579,1.2050494,1.0201025,0.9016777,1.3810432,1.1494827,0.77587116,1.3080174,0.73970366,1.3538003,0.82279867,0.7353178,1.3099555,0.8117358,0.98390603,1.0254455,0.56267077,0.99594563,1.4496249,0.56996477,1.3456879,0.77331364,0.932641,0.79679036,0.7974762,0.814615,1.2214978,1.1683207,0.8646954,0.9884179,1.2592413,1.4473819,1.261776,0.9571383,0.90416867,1.3581706,0.684167,1.0106468,0.885806,1.0989388,0.80459726,1.21337,0.8774648,0.80644715,0.5783933,0.61808527,1.3632934,0.81150717,1.0638965,0.8882232,0.5215992,0.8874744,1.3013134,1.0568355,1.3960873,1.236494,1.2025125,0.989103,0.97864723,1.185417,0.5778142,0.83109164,0.59306794,1.4149461,1.3898057,0.7706963,1.1102637,1.2450521,1.0160487,0.97486526,1.1492248,1.4471368,0.79548883,1.4238403,1.2029933,1.0496241,1.0233927,0.69011074,1.0173541,0.65998363,1.1956422,0.06302178,1.504883,0.9289282,1.1849338,1.3961086,1.2222435,1.3398435,0.63893855,0.7097347,0.69293016,1.1534551,1.264391,1.2536597,0.77726644,1.2288681,1.2334242,1.0822884,1.219644,1.385498,0.7911785
bed,0.5002707,1.2867205,1.2844236,0.53152394,1.3252449,1.3746021,0.79125154,1.1229477,0.60895383,0.0,1.4691468,0.50245625,0.57292587,1.3779676,0.24761832,1.1561493,1.3236132,1.3202312,1.228314,0.7887664,1.4733298,1.2523174,0.7007416,1.5495224,0.39332378,1.4841824,0.8722794,0.80755347,1.2107593,0.8743851,0.9607223,0.9441357,0.43263012,1.0685383,1.4905816,0.27715433,1.4489202,0.46064085,0.74394345,1.0433804,1.1694785,0.6910073,1.3281362,1.1979698,0.787184,1.3160832,1.4646144,1.4834999,1.4874395,0.5417891,0.6293854,1.5096008,0.681618,1.0933572,0.84753406,1.2924867,0.8223462,1.278193,0.7222853,0.61333716,0.80289567,0.458126,1.4474332,0.89882374,1.152947,0.94184095,0.71479297,0.951447,1.2857957,1.1639316,1.4442582,1.4952421,1.270894,0.8858577,1.1212498,1.1739222,0.3905645,0.780211,0.58999586,1.484777,1.4696277,0.6943984,1.0860425,1.2504407,1.2822707,0.90441954,1.1518375,1.4750187,0.87693065,1.5135932,1.4433755,1.0522541,0.8981815,0.5352357,0.4887154,0.56690365,1.3689594,0.75551254,1.4690064,0.9009567,1.3218172,1.3664353,1.2113029,1.4105942,0.35319018,0.55050325,0.30677474,1.1310688,1.4239358,1.2926548,0.85513735,1.4745321,0.96856433,1.1516197,1.3029243,1.4092226,0.79203165
