,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1538633,1.294868,0.91710216,0.5721711,1.2682679,1.4334404,0.99282,1.2462428,0.93854904,0.5584465,0.5554827,1.5107121,0.76318467,0.6354739,0.5446145,0.5777256,0.8461848,1.0173854,1.5387242,1.2741061,0.83002806,1.1975986,1.3685291,1.5862466,1.1354665,1.5610654,1.1611365,1.2064846,0.5301348,1.0609721,1.2880781,0.96180457,0.861122,1.0340676,0.90135676,1.0476838,0.8191632,0.61598015,0.8220258,1.5526596,0.70255786,1.5310123,0.7397857,0.919115,0.28093332,1.0406202,1.0691705,1.0224283,0.9431696,1.326409,1.366103,0.796147,1.3630358,0.73473907,1.305425,1.1136098,1.3319476,0.88464,1.4089056,0.58340013,0.4496497,0.74293226,1.5078766,1.0128533,1.084323,1.2435142,0.9084108,0.8009013,0.83626306,1.3285854,0.5812155,0.8383392,0.6552154,1.18211,0.6893787,1.3695943,0.831607,1.370886,1.1390753,0.5349495,1.238962,1.1886612,0.7346399,0.5901272,1.0824966,1.188927,1.4935309,1.3003898,1.4199123,1.3303866,1.2560908,0.90856886,0.8436811,0.6763257,0.8195458,0.59955573,1.5421183,1.5277843,0.9021877,1.1179655,0.5432013,1.0443757,0.764961,1.2381432,1.294324,0.7354317,0.98297036,1.1651509,1.4607322,1.1731608,0.85014826,0.85314095,0.9030615,0.8046799,0.95830524,0.7078451,0.88474685,0.6720456,0.9942533,1.1067775,0.98499155,0.65118295,1.5305002,0.67260516,1.4453274,1.027249,1.000117,1.3149922,1.3464878,1.3109987,0.9453951,0.63377035,0.76929605,0.65890306,1.2234275,1.444252,1.4403428,1.0343369,1.0141519,1.0611674,1.0682999,0.8948589,0.9937895,1.311193,1.577782,1.0004555
ankle,1.1538633,0.0,0.9690962,1.0197408,0.9126073,0.948233,0.99870676,0.9740351,1.0368989,1.1996307,1.1090306,1.167067,1.008848,1.2268966,1.0885665,1.083858,1.0947256,1.0375837,1.0803049,0.90876365,1.0681995,1.1475028,0.9586374,1.0325118,0.959015,1.0231338,1.0050004,0.9368227,0.94035095,1.1652567,1.1271994,0.9560195,1.0783025,1.0506742,1.0168656,1.0022175,0.93696123,0.8974436,1.1382782,1.0791891,0.96452105,1.2099814,0.9639977,0.9522273,1.0838407,1.0445342,0.9143864,1.0993352,1.0834486,0.9705744,0.9431342,0.88241863,0.97907907,0.9131087,1.0199,0.7271441,1.0682766,1.0408643,0.73263144,0.9231175,1.1585897,1.0335876,1.2052314,0.9620629,0.83324283,1.0675309,0.9432897,0.93806225,1.0694635,0.8653227,0.8856867,1.083411,1.1102698,1.0791217,1.0878537,1.0430056,0.995047,1.1711271,0.92910784,0.9937466,1.0258025,1.0038733,0.97300714,0.97475594,1.1229044,0.8768406,0.9748784,0.95149124,0.81832063,0.8783005,0.82073855,0.99895126,1.154321,1.1129481,0.9771457,1.0341929,1.1493646,0.93458986,0.920258,1.140968,0.9460356,0.8706079,1.017693,1.0793967,1.0174726,1.0566903,1.0204856,0.7915926,0.8522804,1.050824,1.0622299,1.197971,1.1010547,1.0232083,1.1200273,0.9966287,1.0652395,1.0990413,1.0913839,0.53896403,1.0332884,1.1406499,1.1438686,0.85315526,1.1490119,1.0150867,0.6246381,1.0063099,0.9580952,0.9860373,0.9628498,1.0855125,1.1107353,1.159008,1.1645604,0.98137355,0.7477466,1.0287461,1.0373504,0.9178172,1.0754476,1.0645711,0.99152374,1.0165932,1.0218904,0.88475233,1.1315877
apple,1.294868,0.9690962,0.0,1.0737908,1.3997078,0.47606218,0.43171036,0.6150285,1.05394,1.1915367,1.1798807,1.4525898,0.8632593,1.4127936,1.3394426,1.0874289,1.4850214,1.0514679,0.95959306,0.74548346,0.96205664,1.0157498,0.7074599,0.8980125,0.6928525,0.59428847,0.896711,0.97013247,0.84440583,1.3162043,1.4151748,0.73455095,1.236255,1.2804408,0.9114555,1.2465606,0.75194776,1.0106227,1.447263,0.97010607,0.68742675,1.5037973,0.82048666,0.93711746,1.0191545,1.2374415,1.0416812,1.2200981,1.0980365,0.93542844,0.89936477,0.47252148,1.1105602,0.7035391,1.174353,0.8375657,0.8529141,0.6858371,1.1882142,0.8623434,0.722466,1.1397904,1.2318177,0.80501807,1.1312041,1.0474087,0.5099827,1.1657585,1.138002,1.1968911,0.9247938,1.1063831,1.0397031,1.3488929,1.0124402,1.4064088,0.9724736,1.4340703,0.7954859,1.1043313,1.0024065,0.44421375,0.9797418,1.1653752,1.0858153,0.90791744,0.6230044,0.6546788,0.97941875,0.9212272,0.6935087,0.31779337,1.2483306,0.851499,1.4520988,1.3598619,1.2003169,0.7494923,0.7592102,0.81546855,0.61409736,1.088177,1.3262086,0.93306535,0.71601117,0.9122371,1.0118791,0.83928776,1.0361401,0.8637388,0.7631248,1.3474741,1.1923726,0.74496186,1.2037742,1.0511059,1.3372638,1.0772482,1.3576667,1.1727731,1.10126,1.1789286,1.2315422,0.8002111,1.327701,0.6959796,1.1830151,1.0200062,0.92396426,0.7822553,0.24102402,1.3001951,1.3567632,1.1226907,1.3967752,0.6194316,0.70070434,0.77329034,1.1053836,1.2604237,0.89379823,1.0656189,1.0383625,0.98479915,1.1148292,0.7288327,1.2838476
applesauce,0.91710216,1.0197408,1.0737908,0.0,0.7720022,1.1905445,1.2716062,0.69703984,1.0948704,0.9216585,0.9789313,0.9826014,1.3062748,1.0974187,0.76237226,1.0617695,0.97999704,0.60730076,0.9954143,1.2068574,0.52059674,0.74495554,0.8912168,1.2895544,1.0882355,1.1976483,1.334891,1.1499171,1.1325595,1.1348671,1.1714232,1.2402463,1.148036,1.0311232,0.86331713,1.0109988,0.8505728,0.788222,0.9863405,0.83164155,1.305167,0.97677314,0.94916147,1.0360458,0.57522297,0.98528934,1.1255844,1.1994835,1.1242111,1.0402704,1.3038177,1.1261495,0.9156681,1.3526294,0.9748109,1.190932,1.2498775,1.1757855,0.9095473,0.97485214,0.90796494,0.9450369,0.8612137,1.402811,1.1088405,1.0978636,0.73177373,1.1260114,0.6046821,0.7994463,1.2999599,1.0168126,1.039322,0.9310154,1.1002283,0.946035,0.87720335,1.1208372,1.1992792,1.214803,0.8544522,1.0252321,0.8022457,0.9295225,0.9295962,1.0545107,1.1283721,1.3383737,1.096567,1.2504716,1.2628472,1.0392014,0.97838646,1.1939969,0.8626598,1.0635166,0.7146208,1.2899055,1.2382997,1.1660075,0.5547596,1.0235072,1.2085989,0.8254199,1.1957396,0.75866425,1.0701938,0.9498724,0.88835,1.3419676,1.2016673,1.0760908,0.9479555,1.1979065,0.6757994,0.5215017,1.0070118,1.0089892,0.75186217,0.9878862,0.5168309,0.80230975,0.8967655,1.3737361,1.0780791,1.06954,1.0594006,0.40258253,0.6416001,1.3103564,1.1705457,0.97035146,0.74785244,0.9968332,0.6965756,0.98683447,1.3073118,1.3087834,0.58352685,1.168221,1.051772,0.74724275,1.041113,1.1399704,1.328177,1.3611871,1.1342595
arm,0.5721711,0.9126073,1.3997078,0.7720022,0.0,1.241832,1.4177656,1.0079411,1.2830186,0.79381,0.84923434,0.45191807,1.5156257,0.7139418,0.4023394,0.9212461,0.44334638,0.80289245,0.99862456,1.4677131,1.1785336,0.781427,1.3296952,1.3491077,1.493985,1.4694345,1.5258408,1.18002,1.0680609,0.78970563,0.8721656,1.3814913,0.94482994,0.79853517,1.0410521,0.68510044,1.1475341,0.7402984,0.5221224,0.86138093,1.5320706,0.5826428,1.436142,1.2051522,0.8136282,0.80206966,1.0530361,0.9908595,0.8911022,1.1918632,1.2638836,1.3565997,0.68481636,1.4125166,0.77507603,0.99291015,1.4392605,1.4469867,0.6831782,1.3954821,1.0480711,0.8734676,0.73962486,1.5178652,0.7746853,1.0215286,1.1618402,0.8761045,0.7330153,0.37432778,1.2645457,1.0008081,0.8620899,0.51915646,1.3095558,0.3887292,1.1762,0.78484774,1.4060048,0.9023312,0.9266151,1.2213042,1.0356863,0.5399522,0.85542035,0.999252,1.3649595,1.4568474,1.3073406,1.2382833,1.3034134,1.3648696,0.87270385,1.3107377,0.25409472,0.5515796,0.48943818,1.5089273,1.4821565,1.3450446,1.0893494,0.8997837,0.89631486,0.9643623,1.3995475,1.1601043,1.1430023,1.1083175,1.1064426,1.439364,1.293761,0.7645042,0.7487564,1.424758,0.6140816,0.81872416,0.6221132,0.83292556,0.423006,0.78951705,0.939247,0.81118137,0.61396086,1.5086926,0.68756783,1.4260316,0.7069381,0.8859126,1.1544632,1.4960477,1.3832309,0.8937399,0.4160986,0.78874505,0.47183067,1.2879163,1.3005843,1.448314,0.70858896,0.8420531,1.0810411,0.90221876,0.8489851,0.99829835,1.3646939,1.5553167,0.8888495
ball,1.2682679,0.948233,0.47606218,1.1905445,1.241832,0.0,0.18743813,0.9362428,1.1017283,1.1143479,1.0629666,1.2231083,0.8424734,1.299223,1.1982174,1.1330464,1.2082589,1.134915,1.0121737,0.75552106,1.1037252,1.1478752,0.60019296,0.83966035,0.617757,0.84247243,0.88242996,0.94902796,0.8607526,1.1955516,1.3606665,0.7800962,1.2266343,1.1521757,0.8458841,1.1197518,0.9170087,1.0396997,1.2084115,1.1041762,0.698889,1.4046614,0.83299035,1.1317908,1.0726856,1.1672394,0.8233609,1.2106568,1.0620989,1.090452,0.76916814,0.28001642,1.101536,0.62095976,1.0730458,0.75987804,0.88387483,0.85722625,1.01984,0.9832359,0.908867,1.1716734,1.1404555,0.76116365,0.8981281,1.0415986,0.660257,1.022555,1.0858984,1.079423,0.7462884,1.1753472,1.0197597,1.1905006,0.9980258,1.1671145,1.0031358,1.3920007,0.8414326,0.9846381,1.1628335,0.70864767,1.1327581,0.9497904,1.1095008,0.91835725,0.76698923,0.5956265,0.99163795,0.86546093,0.6240859,0.64296305,1.3554114,0.9350934,1.244744,1.1850986,1.2254314,0.7495613,0.79138404,0.8777994,0.8906134,1.1524017,1.1094667,1.1174669,0.9167724,0.9945667,1.1007669,1.028185,1.1092328,0.8694541,0.7338537,1.3345586,1.1488159,0.98054713,1.2264969,1.1656141,1.1869409,1.0468348,1.244817,1.0680236,1.1116253,1.1084658,1.0996951,0.7397634,1.1563575,0.77068543,0.96048033,1.1170921,1.0296267,0.79804647,0.70519006,1.0821629,1.2564731,1.0380723,1.354049,0.696699,0.568743,0.7772876,1.1020069,1.0802763,0.6761868,1.1149609,1.1600018,1.0123276,1.1078794,0.67669386,1.2942612
balloon,1.4334404,0.99870676,0.43171036,1.2716062,1.4177656,0.18743813,0.0,1.0439991,0.9999926,1.1507934,1.2198648,1.3886092,0.637746,1.3439548,1.3756714,1.187171,1.3883543,1.2346469,0.9721989,0.52359045,1.0513676,1.2439957,0.70754695,0.68449366,0.4737866,0.79897827,0.5954734,0.90211993,0.82853085,1.1993511,1.2263639,0.59734833,1.1235931,1.1645243,0.903712,1.202114,0.9706957,1.1693892,1.3422666,1.1763563,0.5097517,1.4351789,0.64372057,1.1291142,1.1490777,1.2832358,0.834154,1.0352414,0.9814221,1.1064061,0.6459067,0.31242812,1.194856,0.5314648,1.1559019,0.77393246,0.76722735,0.653146,1.1828941,0.8740479,0.9856039,1.239256,1.183153,0.546422,0.9696521,0.9597414,0.70321923,1.0979639,1.2738144,1.2227345,0.6503297,1.1938133,1.0758775,1.3528965,0.92731595,1.3377361,0.9629413,1.3226383,0.64234996,0.92511785,1.250567,0.58607614,1.0655309,1.0885019,1.1561482,1.0013475,0.76635444,0.44840908,0.9741832,0.71190196,0.5545355,0.5829059,1.2955663,0.8825489,1.4108436,1.2485733,1.3559062,0.58372176,0.6136648,0.8824663,0.9793712,1.1725037,1.0680585,1.2315516,0.7347933,0.96327376,1.0790391,1.0931828,1.0277437,0.6098357,0.7099802,1.2213976,1.2108798,0.8726388,1.3378065,1.1945736,1.3339007,1.0419946,1.3885617,1.1499695,1.1583067,1.137609,1.21581,0.5765137,1.2542672,0.694625,1.0887874,1.166714,1.0277085,0.59451944,0.6009539,1.1597935,1.4008818,1.0722917,1.4413853,0.6914693,0.53299737,0.5845921,1.204507,1.1251395,0.72004175,1.1325488,1.155519,1.0345466,0.8733002,0.5234029,1.1591668
banana,0.99282,0.9740351,0.6150285,0.69703984,1.0079411,0.9362428,1.0439991,0.0,1.148878,1.08227,0.89624166,1.2541239,1.1922435,1.3493102,0.925665,1.0237464,1.1472614,0.8818973,1.0381147,1.1183872,0.74207747,0.8678967,0.7474298,1.1924908,0.9870917,0.8174895,1.2835567,1.1179777,0.8756014,1.1901534,1.3439578,1.0524224,1.2592677,1.2465606,0.9260321,0.99499655,0.7348207,0.84723836,1.2828475,0.45151597,1.0941116,1.3076861,1.0383375,0.94029164,0.75486577,1.0937207,1.1060313,1.2715445,1.2152729,0.85267293,1.2109714,0.88775927,1.0106883,1.159119,1.1318716,1.0473044,1.0851694,1.0170872,1.0164009,0.8229914,0.6121311,1.0271817,0.9171879,1.2274394,1.0148921,1.0362208,0.59650165,1.2054884,0.7964244,0.88531286,1.2341161,1.047476,0.89581853,1.182347,1.0916302,1.2201719,0.77832353,1.3564756,1.0451087,1.2221291,0.8218987,0.65669537,0.9961737,0.8793632,1.0085618,0.96148044,0.7610142,1.1755394,0.83961797,1.1573964,1.0479726,0.558405,1.0547336,0.9963026,1.0971134,1.275893,0.9116149,1.0819556,1.0535381,0.97212154,0.44261503,1.0865519,1.2855425,0.7779746,1.050724,0.8083395,1.044079,0.7051469,0.9312266,1.265935,0.9791413,1.3139445,0.9963065,1.0061331,0.7996236,0.79291457,1.1420947,0.92308164,1.1093862,1.0735434,0.79458094,0.9894235,1.1068568,1.2139237,1.1902679,0.80830586,1.0369586,0.7250223,0.58997893,1.092139,0.78816307,1.1559707,1.1331196,1.1086036,1.0450435,0.7235776,1.0964695,1.1754746,0.6522927,1.0891589,0.90116066,0.86247814,1.1230706,0.99551564,1.3257177,1.141365,1.2026994
basket,1.2462428,1.0368989,1.05394,1.0948704,1.2830186,1.1017283,0.9999926,1.148878,0.0,1.1276101,1.1114584,1.1736014,0.7259299,0.85722613,1.2786942,1.1036863,1.1674898,1.1386151,0.88711214,0.6474151,0.7549122,0.7968492,0.99692184,1.0216439,0.69241995,0.8906972,0.65354574,0.85193443,1.1772077,1.2043176,0.6347524,0.7416324,0.82708704,1.0718118,0.96045005,1.0063099,0.9684993,1.2051276,1.1808853,1.2599224,0.86158985,0.75578743,0.65689945,0.8283685,1.0959947,1.0812478,0.8761956,0.8414912,0.9355614,0.91065127,1.0967847,0.9821524,1.1410681,1.0469309,1.2996733,1.0969822,1.0426389,0.75346076,1.1151721,0.8041786,1.1416607,1.0928645,1.0256221,0.94635713,1.0881317,1.0936905,0.97366625,1.2507951,1.0935869,1.296632,1.0916333,1.0504273,1.1726902,1.2769287,0.37321103,1.2910569,0.9348849,0.77758473,0.7725629,1.0817511,1.1261823,1.0828525,0.77643657,1.302677,1.163051,1.1877534,0.95583713,0.9986493,0.5939686,1.030267,1.1111856,1.0402086,0.8518057,0.8840178,1.2718573,1.2062838,1.1621611,0.80320436,0.7989447,0.8630644,0.9825659,1.0595429,0.8418396,1.0843167,0.7103693,0.8530975,1.0250692,0.8741855,0.62768185,0.6200313,1.0569451,0.90751314,1.1831473,0.8344694,1.1099745,1.0934473,1.1922269,1.0895406,1.3118742,0.9977111,1.0513141,1.0728807,1.2416013,0.810343,1.0951098,0.8845229,1.11244,1.1036901,0.92130095,0.7404125,0.92294884,0.9145549,1.2226777,1.1956522,1.063071,0.932005,1.0340793,0.985036,1.2543128,0.89352864,0.89303344,0.7858966,1.0688919,1.1188794,0.63247323,0.82978714,0.9528029
bathtub,0.93854904,1.1996307,1.1915367,0.9216585,0.79381,1.1143479,1.1507934,1.08227,1.1276101,0.0,0.972358,0.6523254,1.2379826,0.77576864,0.756868,0.9825234,0.80044985,0.6637985,0.9568822,1.2419348,0.68991023,0.8554138,1.291319,1.1419183,1.191101,1.323587,1.2153127,0.85076165,1.2157776,0.81289476,0.7171618,1.1585683,0.8284402,0.94818914,0.94470775,0.93972814,1.1283755,0.8283956,0.8192961,1.0831065,1.2343627,0.7024392,0.9932365,1.180486,0.77287066,1.0947762,1.3774987,0.81817204,0.749102,1.0781263,1.2792625,1.070147,0.9167937,1.2324615,0.95419794,1.2600615,1.2538717,1.2147243,1.2404104,1.073353,1.1659652,1.0280714,0.7858192,1.2102116,1.3129053,0.8344741,1.2265674,1.027961,1.0121886,1.0452155,1.2421747,0.8106794,0.896735,0.8142532,1.192313,0.79078305,1.018227,0.8574667,0.9244279,1.124742,1.2093902,0.99941456,0.9529941,1.07267,0.7736168,1.161246,1.2595141,1.1792502,1.02132,1.284488,1.2621402,1.1587642,0.9197305,1.3156416,0.8283877,0.7138877,0.6665516,1.2453566,1.2607881,1.2254093,1.1867849,1.1264629,1.0545363,1.0717993,1.2234304,0.5621211,1.2112693,1.2507237,1.0796283,1.1306357,1.2874873,0.7071395,0.8318385,1.3020043,0.9295081,0.88703144,1.0606419,0.9077615,0.7440401,1.1043015,0.9061505,0.0867852,0.5652818,1.2861106,0.76284885,1.2165332,1.0976207,0.86797166,0.94603705,1.1575595,1.2358422,1.0379997,0.75140274,0.79312646,0.5234047,1.0795527,1.3414344,1.1611562,0.90303814,0.88818055,1.1656415,0.5643966,0.85774714,1.0321493,1.1417049,1.3331081,0.7967542
