,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.2805061,1.3580608,0.7650151,1.2352617,1.3036168,1.1189011,1.1497751,0.8585727,0.77598643,0.69592404,1.0051523,0.59646565,0.78995895,0.8717276,0.76026654,0.9939931,1.3837824,1.3778632,0.94423413,1.0096368,1.1009566,1.1772344,1.0605742,1.0667377,1.2817843,0.7399404,0.7347199,1.2827003,0.8460245,0.9740791,1.2074429,0.7466845,0.7559561,0.7531937,1.2812679,0.80539346,1.364742,0.89532626,0.7217283,1.0887276,0.84078074,0.96353066,0.9173232,1.3017964,1.3182669,0.93596286,0.9793193,1.2811015,1.3185544,1.1842952,1.3316545,1.1319499,0.9612633,1.0076685,1.2260286,1.2147995,1.357893,0.93321073,0.9804677,1.0686285,1.2570432,1.0910867,1.0261996,0.8017591,0.93434787,0.68629026,1.092523,0.66706824,1.1339891,1.0570374,0.9155862,0.97929007,1.1439984,0.89882493,1.3996048,1.063552,1.1592734,1.072757,1.1061969,0.7111131,0.69697803,0.86315274,0.91239846,1.0155894,1.213475,1.2101845,0.97732806,1.1430883,1.0488068,1.3417838,0.9151961,0.66477644,1.1074798,0.92357516,0.83593917,0.9370496,1.056874,0.965407,1.1776127,0.8939524,0.92241734,0.930853,1.0714307,0.76708305,0.9186922,0.8852938,1.2656574,0.8940354,0.9907427,0.8892162,1.1762643,0.91280043,1.0223658,0.89218366,0.63838273,1.3620182,1.3804286,1.2653458,1.1090225,1.0701659,1.1886239,0.9989024,1.0786253,1.3824136,0.7821158
ankle,1.2805061,0.0,0.7915195,0.8984792,0.8158766,0.8729848,0.9960662,0.9004631,1.2732737,1.1742404,1.2198167,0.7130395,1.2486838,1.1389985,1.0661179,1.0413139,1.1071461,0.80107594,0.788757,1.233357,0.96151733,0.89113975,0.9782941,0.86971587,0.8029875,0.7290025,1.2185831,1.089187,0.8855184,1.1213386,1.1085852,0.88939846,1.2620449,1.1529374,1.0955651,0.78084314,1.2973793,0.74063253,1.2047803,1.196332,0.7590632,1.1307708,1.0706956,1.1318463,0.70036185,0.76796365,1.1451211,1.1808338,0.40571696,0.8827033,0.9617405,0.36420155,0.9220992,1.1055228,1.2204821,0.82601976,0.6641745,0.8033798,1.1675469,1.2679908,0.56054425,0.8609927,0.9534164,0.99295163,1.315378,1.2413987,1.0634401,0.8676077,1.0107017,0.8673214,0.5419338,1.1736888,0.9281573,0.8073809,0.91317093,0.6960182,0.9063641,0.7966578,0.9448439,0.90595925,1.2848359,1.1169729,1.1022637,1.0356035,0.97769624,0.8572693,0.8638445,1.0396938,1.002541,0.984171,0.8484096,0.969139,1.0731282,0.9450701,1.2257068,1.2325151,1.09122,1.1515493,1.1192076,0.9619851,1.103699,0.95023644,0.84867907,0.93590164,1.1731238,1.2483239,1.2077569,0.83359635,1.1166868,0.77112854,1.1918055,0.8727841,1.2137814,1.1001962,1.2055261,1.3302501,0.77905095,0.3401183,0.8191922,0.8408817,0.884193,0.9851109,1.2851399,0.9641276,0.67970973,1.1865591
apple,1.3580608,0.7915195,0.0,1.3438667,0.4752031,0.35481286,0.6824567,0.85219884,1.3439779,1.1306447,1.4182327,1.0336589,1.4136761,1.3949656,1.0171021,1.3071191,1.0669388,0.56189847,0.52344775,1.1191711,0.7305649,0.98292834,0.7344873,0.93448055,0.936213,0.5928153,1.1735284,1.1657183,0.6136472,1.2342578,1.2635672,0.78740853,1.2138166,1.3769807,1.1565331,0.6388774,1.219678,0.5583966,1.0587438,1.1148223,0.97304374,1.2350572,1.1544783,1.3679681,0.7986487,0.45909005,1.1019447,1.1368946,0.7131535,0.51412237,0.60734,0.8369471,0.80643874,0.7814176,1.1268673,0.90290743,0.6462993,0.48293567,1.237928,0.9338658,1.058639,0.5990971,0.89364773,0.97938204,1.3586545,1.072203,1.3936348,0.9450976,1.3265332,0.7517443,1.0869721,1.1106094,0.9006435,0.92197865,1.0786142,0.445566,0.7488233,1.0484419,0.9702953,0.62025774,1.2873857,1.1200331,1.4502114,1.2918319,1.096395,0.7328066,0.71650505,1.0379373,0.8153308,0.7762439,0.6137884,0.954261,1.1688557,0.9709947,1.1503515,1.232974,0.85338914,0.9558653,1.2961152,0.8816582,1.3616691,1.0712432,1.2318338,0.97132915,1.3610542,1.265106,1.1881595,0.6636671,1.1578305,0.9794057,1.1869293,0.8792302,1.1769791,0.8118416,1.361578,1.3698359,0.46057284,0.75892437,0.72129655,0.95773697,0.70202744,0.67872757,1.2144064,0.94863105,0.5999268,1.2737598
arm,0.7650151,0.8984792,1.3438667,0.0,1.2162334,1.3773525,1.2837231,1.4329758,0.72204036,1.0949824,0.4680884,1.0321686,0.48265457,0.49683046,1.1637455,0.6350731,1.0920094,1.4226063,1.419616,1.0658201,1.3026428,1.2069432,1.2382747,1.3129442,0.9561082,1.1982989,1.087537,0.9443,1.4668803,0.9437622,0.81258595,1.3635108,0.73266906,0.57453847,1.0502241,1.5139526,0.9238046,1.347716,0.98016995,1.1092134,1.0481673,0.9871618,1.04217,0.55852735,1.0980859,1.377481,1.1285082,0.7488934,0.9511647,1.4202865,1.331742,0.96109354,1.3526404,1.2028191,0.7878684,1.0358351,1.2663736,1.3530488,0.64900386,0.9470681,0.55029,1.4357939,1.2732842,0.9982952,0.7604892,0.8103749,0.59357905,1.2747848,0.4912293,1.3429494,0.53806645,0.87161326,0.8091997,0.94300604,0.9788131,1.3388444,1.4341829,0.99668825,0.88185585,0.9961205,0.81302744,0.7826058,0.5197696,0.5691527,1.0297085,1.4061209,1.4362972,1.0309662,1.2233783,1.3823206,1.5096986,1.1292652,0.66008425,1.2760656,0.9947005,0.9582622,1.3235189,0.8620839,0.7744178,1.3849008,0.4449836,1.0131422,0.52921355,1.2612994,0.8531536,0.8054466,0.63752353,1.4191463,0.94843495,0.93361664,0.8419571,1.3069506,0.94243723,1.2042356,0.48782974,0.50857365,1.5624049,1.0718623,1.2005036,1.1517854,1.4565431,1.3600283,0.8305237,1.3122025,1.4316521,0.7666681
ball,1.2352617,0.8158766,0.4752031,1.2162334,0.0,0.277664,0.9901748,0.9959343,0.9903146,1.2748262,1.2549922,1.0865915,1.2941684,1.2230041,1.0253445,1.1416852,0.93926466,0.6569401,0.6324973,0.912002,0.9520313,1.0460377,0.38057578,1.130512,0.9997726,0.69273794,1.2312244,1.2306105,0.89888,1.1008288,1.2288532,0.6914269,1.2522596,1.2648724,1.1665899,0.81391954,1.1160676,0.66867304,0.9877162,1.1743212,0.9323663,1.1715565,1.0600669,1.217427,1.1324116,0.5392293,1.2630403,1.1299117,1.0656728,0.93610626,0.9205054,1.1537315,0.9569146,0.77022326,1.031043,1.153228,0.6349245,0.47781575,1.1471589,1.0243088,1.0824355,0.81235874,0.9177981,0.99754226,1.1790864,0.89941597,1.212361,0.89639175,1.204796,0.8912151,1.2551734,0.91580814,0.5398011,1.053945,1.1293234,0.88609076,1.0852222,1.1435466,0.92474574,0.35317087,1.21419,0.9779898,1.2169447,1.2923758,1.0235207,0.9252075,0.96477664,1.1860386,0.841053,1.1256781,0.54797006,0.96385753,1.0659395,0.8838735,1.0238639,1.2066383,0.9883275,1.0145826,1.2220435,0.7006929,1.2670071,0.9161807,1.1660264,0.6836534,1.2762334,0.864573,1.038764,1.088129,1.1282843,0.73694324,0.9543084,0.64948535,1.0562907,0.8502656,1.311747,1.2240063,0.6579503,1.0822905,1.1814319,0.7633765,1.0991278,0.49319565,0.8668423,1.0330758,1.0231923,1.2158511
balloon,1.3036168,0.8729848,0.35481286,1.3773525,0.277664,0.0,0.9063436,0.7935702,1.1426853,1.1614096,1.3686007,1.0834451,1.4501365,1.3911543,1.0203371,1.2779784,0.9582421,0.40912342,0.48168957,0.93793136,0.7656819,0.9139722,0.49917066,0.8457189,0.9189154,0.7109182,1.1638172,1.1682372,0.512528,1.1009636,1.2202587,0.7008053,1.2567761,1.3397112,1.1437628,0.57607734,1.2041345,0.4787748,1.0974064,1.184281,0.9963326,1.0956645,1.0659394,1.3658719,1.0452589,0.49969923,1.096314,1.1865398,0.98216754,0.585063,0.71055865,1.0559686,0.65330505,0.94011605,1.1856369,1.0839405,0.7037371,0.50232136,1.2150711,1.1602304,1.2691262,0.55383515,0.8703876,1.0452228,1.3401417,1.1169968,1.3527951,0.8243426,1.2863659,0.65865207,1.2333306,1.0849469,0.8633002,1.1412531,1.2403085,0.50113094,0.74486125,1.1404449,1.0637629,0.53058296,1.239465,1.1254609,1.3942621,1.4054178,0.9938454,0.59415555,0.66928643,1.1189914,0.86643,0.97237074,0.4301536,0.99069625,1.2019373,0.8347038,1.0875492,1.1365572,0.9041535,1.159533,1.3006968,0.7244183,1.3802183,0.9672524,1.294587,0.71625715,1.22164,1.0492785,1.1851723,0.6753984,1.1139592,0.98800725,1.0733523,0.68725586,1.0770459,0.9372853,1.4114642,1.3053076,0.43946004,0.9708578,0.9581191,0.80369115,0.68840396,0.5850623,1.0352492,0.9133915,0.69490165,1.1744049
banana,1.1189011,0.9960662,0.6824567,1.2837231,0.9901748,0.9063436,0.0,0.70933294,1.23722,1.1003953,1.2893734,1.0904286,1.3058966,1.2863606,0.85329646,1.2700254,0.9218528,0.7530986,0.8817868,1.078026,0.8315573,0.9618306,1.1186118,0.9309662,0.91632533,0.8787931,1.1390188,0.97578335,0.7839148,1.1899939,1.1323985,1.0004755,1.1572683,1.2520477,0.954072,0.7021979,1.140059,0.87314874,1.0560517,1.025466,0.8745581,1.1585418,1.1189985,1.2245588,0.98754656,0.78019124,1.0928255,1.1288476,0.99189943,0.7666985,0.6393402,0.9142722,0.78792125,0.48970628,1.1584094,0.99431837,0.71550673,0.874487,1.1590264,0.80502456,1.1937783,0.7368356,0.8341813,1.0253788,1.190896,1.077602,1.2208827,0.959658,1.1850482,0.9769416,1.2202749,1.1335136,1.0759485,1.0243514,1.0783589,0.82360125,0.78504086,1.1141704,1.0801204,1.1711665,1.1645173,1.0175498,1.2672601,1.1849233,1.0646564,0.8079365,0.7110199,1.0227789,0.7585953,0.6750953,0.8686883,0.9439925,1.0342978,0.92012894,1.0413446,0.9891065,0.75548524,1.1437931,1.1328763,0.84554684,1.2593896,1.0174899,1.1591101,0.978273,1.2508943,1.204276,1.1884685,0.7503932,1.0838959,1.0620948,1.1244786,0.94512475,1.0186079,0.8761064,1.1919085,1.216087,0.580796,0.88567156,0.91328824,0.955156,0.7477379,0.7096337,1.1128654,0.8691739,0.68961847,1.2288306
basket,1.1497751,0.9004631,0.85219884,1.4329758,0.9959343,0.7935702,0.70933294,0.0,1.2907205,1.1358588,1.3853186,0.9918813,1.3612896,1.3395386,0.84556276,1.2812667,0.7637448,0.519413,0.6450925,0.7298796,0.8897329,0.8333949,0.936652,0.56055355,0.8636615,0.88853824,1.0881984,0.7604226,0.5171891,0.9172301,1.2014316,0.9171196,1.2164233,1.2312974,0.90764624,0.5403171,1.0279377,0.65305537,1.0862625,1.0812545,0.82636255,0.93265486,0.8565635,1.3116862,1.0042225,0.796643,1.0894976,1.2752194,1.0085796,0.7724369,0.69212145,0.83888364,0.5823716,0.8962596,1.1906204,1.118614,0.7136278,0.8623257,1.3011749,1.1777163,1.2618687,0.61530423,0.86678916,1.1345807,1.3003991,1.0974157,1.3766547,0.72205627,1.1938782,0.6843075,1.1686207,1.1074157,1.1528593,1.1673081,1.1195253,0.7814081,0.6241318,1.0695574,1.2748199,1.1936492,1.1486171,1.2660997,1.320253,1.2938112,0.6842525,0.5739739,0.66388977,0.9356995,0.8522275,0.6701231,0.6488359,0.96117747,1.2832327,0.61422634,0.8509646,0.92449266,0.7943752,1.2898047,1.1961285,0.7442611,1.3472672,0.848049,1.3007498,0.7759158,1.1535048,1.2392176,1.3812667,0.5830498,1.1295776,1.0985636,1.2908745,0.79709584,1.1143081,0.97644097,1.3887988,1.2694359,0.497922,0.82452,0.8858363,0.87992215,0.6194681,0.68828535,1.2135587,0.5969976,0.6458855,1.2194211
bathtub,0.8585727,1.2732737,1.3439779,0.72204036,0.9903146,1.1426853,1.23722,1.2907205,0.0,1.0357815,0.7327944,1.1320945,0.77611476,0.8174317,1.1482259,0.95060724,0.99850154,1.3735702,1.1516924,0.6615482,1.2300074,1.0885376,0.809805,1.240934,1.2165496,1.2109507,1.0452733,1.0223669,1.373331,0.8083646,0.9563369,1.2387677,0.8418704,0.8878247,1.0204065,1.2574049,0.8060051,1.3626878,0.84467506,1.2108233,1.2749519,0.6881538,0.620978,0.92387784,1.4269478,1.2438306,1.0248504,0.9198734,1.36455,1.3884034,1.2442566,1.4385266,1.1315012,1.1510646,0.8044448,1.2537365,1.4447556,1.2715353,0.85962546,0.85042554,1.0500549,1.4716595,1.2518158,0.9953656,0.883769,0.82157105,0.73565626,0.90091383,0.78010046,1.1915991,1.0952729,0.9103125,0.9614582,1.120583,1.2778041,1.4155108,1.3638921,1.3363955,0.9778782,0.81388706,0.5270554,0.88594204,0.83285725,1.0604893,0.83739215,1.2679756,1.288472,1.3280667,1.0931901,1.4131927,1.1142665,1.1791546,0.8565506,1.2314968,0.9332888,0.58586127,1.2743639,0.8210028,0.99883837,0.9627899,0.81026244,1.0234717,1.0999067,0.7950529,0.4912187,0.06601548,0.50432223,1.4261597,0.7943969,1.1554657,0.543329,0.8435551,0.6956042,1.1893238,0.8899112,0.5755494,1.3941649,1.4931152,1.3239092,0.7713857,1.395299,1.0752608,0.16743189,1.2622337,1.5721052,0.68366694
bear,0.77598643,1.1742404,1.1306447,1.0949824,1.2748262,1.1614096,1.1003953,1.1358588,1.0357815,0.0,0.7934978,0.92858976,0.74357796,0.8760245,1.0069591,0.88131833,1.1622539,1.2486198,1.1903188,1.2253612,0.72773385,1.1018368,1.2710929,1.0088758,1.0904094,1.1664867,0.19913888,1.1056939,0.9859866,1.1055493,0.6181968,0.8267867,0.7244624,0.8377037,0.88605565,1.1448996,1.0417668,1.282858,1.0632163,0.39194882,1.1991916,1.0337703,1.1599338,0.95873994,1.0869446,1.1149898,0.16985995,1.0066038,1.1118441,0.98425215,1.1877077,1.0463334,1.1261503,1.0918124,1.0888543,0.9748118,1.1453056,1.2067529,1.0871384,1.0703079,1.13484,1.0934957,0.88416845,0.933258,0.87052476,1.1951377,0.79981303,1.2159901,1.1433898,1.0269022,1.0876424,1.1044332,1.2798569,1.1229652,0.87649703,0.97475374,0.9451711,0.97695017,1.0568614,1.1920165,1.0363171,0.93099415,0.9621349,0.87614703,1.2040825,1.0339916,1.0965096,0.8742409,1.1253221,1.0422645,1.1246854,0.95824796,0.8947839,1.1533158,1.1455555,1.093019,0.9004097,0.8376904,0.90839475,1.167229,0.93453425,1.183702,1.0119812,1.2956259,0.7149558,1.1732199,0.8775642,0.86477983,0.7990341,1.0887649,1.0859822,1.2452695,0.93204606,1.178044,0.80324805,0.9880868,1.1197149,1.0806559,0.9614691,1.3140897,0.9283176,1.3227708,1.2207873,1.1740761,0.951412,0.8706877
