,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,mitten,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bed,0.7052884,1.2451376,1.4890009,0.81724966,1.1141946,1.4242835,1.327169,1.0324607,0.57504016,0.8168802,0.0,1.3609667,0.18059427,0.6574015,1.390722,0.31867802,0.61785483,1.1165396,1.4621805,1.524111,0.95588505,1.3282079,1.4436967,1.3156365,0.97431535,1.2457857,0.7154753,0.57560444,1.2682748,0.48383808,0.6705556,0.29318583,1.1080868,1.5231746,0.45493752,1.507007,0.6373587,0.9939646,0.71508026,1.1905283,0.78050876,1.2023042,0.663315,0.9303027,1.273141,1.4447048,1.4371539,1.25421,1.171687,1.4487224,0.7706068,1.3655257,1.1909554,1.2587259,0.7119992,1.1688712,0.99660265,1.113273,0.705064,0.9131486,0.55315423,0.5058307,1.2391883,0.6605658,1.2192997,1.0566809,0.95284176,1.458273,0.7824732,0.95833814,1.3891573,1.350739,1.3440886,1.2125862,1.1874846,0.7506464,0.5353347,0.6701568,0.9272486,1.4796382,1.4287701,1.3120391,1.278881,0.9039997,1.2855793,0.9846059,1.2827896,1.2270198,1.3281016,0.74540114,1.2875062,0.73644954,1.0094157,0.6074316,1.0968215,0.679893,1.0704366,0.5214491,0.94782895,0.6051364,1.5187017,1.3872589,1.257065,0.86487734,1.423002,1.300374,1.0948788,0.50886464,0.40848988,1.4947802,1.4407332,0.8302902,1.038112,1.232856,1.1003917,0.8453782,1.0373755,1.4177102,0.6661409
belt,1.2383852,0.97523904,0.41539383,1.2653675,1.1896565,0.69028074,1.0155864,1.0489484,1.3050928,0.7908817,1.3609667,0.0,1.2595189,1.2921042,0.4502715,1.2225698,1.4145286,0.91867995,0.66711986,0.5631493,1.2359078,1.0505897,0.88408405,0.73855126,0.97834224,0.48004407,0.81310296,1.2570273,0.9401063,1.2891974,1.1743184,1.2418363,0.6606798,0.31987512,1.4087715,0.66697335,1.0719913,1.1539086,1.3327429,1.0110865,1.2770746,1.0088303,0.90249103,1.0532825,0.6210731,0.40663707,0.6474503,0.7006231,1.0030954,0.8026961,1.468212,0.4194225,1.0319334,1.1214781,1.2870904,0.9026097,1.1690774,0.8844573,1.029966,1.3553535,1.1067032,1.1879942,0.8731814,1.2676694,0.6567531,0.57730705,1.404259,0.7249918,1.4342899,1.0633553,0.37018943,0.46295947,0.5644465,0.67053556,1.0642594,1.322146,1.3271608,1.0499783,1.1706038,0.54962754,0.4991337,0.8953084,0.4550649,0.526623,0.7894472,1.1802638,1.131543,0.8002467,0.82310855,1.3298742,0.93049455,1.2717978,1.298029,1.2174001,1.2147532,1.1399963,1.0280496,1.2869707,1.1510496,1.5471299,0.2695036,0.6708754,1.1548346,1.4262795,0.6886047,0.5211326,1.0955523,1.291437,1.5041056,0.71020395,0.5698097,1.3546894,1.3190694,0.6468788,1.1788206,1.4441391,1.0372534,0.39124078,1.091936
bench,0.81141084,1.2176878,1.4892769,0.801402,1.0987595,1.4330951,1.2913423,1.0185609,0.56191456,0.85461843,0.18059427,1.2595189,0.0,0.8602481,1.3498032,0.505014,0.5850749,1.1120757,1.453533,1.4047687,0.97889096,1.2261295,1.3312345,1.1605793,0.8788614,1.1338632,0.8051842,0.516544,1.2009814,0.60944676,0.6554886,0.27005374,1.0774971,1.4659282,0.5532366,1.4413729,0.7853779,1.0691414,0.77679276,1.1071653,0.94639707,1.168009,0.65510607,1.017518,1.2063776,1.4440941,1.4767766,1.1457679,1.0861737,1.5070145,0.8871936,1.3865497,1.1117291,1.2851213,0.8234586,1.0341419,0.9874884,1.1995289,0.8074682,0.8287438,0.626818,0.50339645,1.0726608,0.62710965,1.1592755,0.9254738,0.97483087,1.3519627,0.77623844,0.9655528,1.4107658,1.2779287,1.2801936,1.1985667,1.1713815,0.78908634,0.6781677,0.61969393,0.93350834,1.4532788,1.4293232,1.2557373,1.1847124,0.92136085,1.262831,1.0256335,1.2792047,1.2021728,1.2349869,0.8329867,1.327319,0.7563207,0.9515916,0.6901109,1.0708874,0.6456387,0.8805348,0.64573073,0.8924475,0.6607502,1.4510854,1.3071169,1.1493673,0.9089442,1.2936883,1.3346438,1.1498466,0.61503386,0.45190775,1.4260986,1.3851757,0.8150772,1.0053768,1.2018049,1.2038479,0.8545966,0.9991599,1.3585423,0.7413015
bib,0.8526473,1.1185112,1.224318,0.83000004,1.2067925,1.3790009,1.0670539,1.1474396,0.97904766,0.9978231,0.6574015,1.2921042,0.8602481,0.0,1.2094085,0.71489096,0.943082,1.1023438,1.2488604,1.408377,0.9909471,1.1297805,1.3545351,1.3723669,1.1252104,1.1670779,0.9686417,0.995364,1.2347156,0.93787056,0.9038148,0.92762053,1.0604292,1.3704123,0.73349756,1.2767737,0.81444657,0.5513972,0.89947456,1.2394854,0.30863535,1.0045125,0.9549632,0.6361944,0.9742453,1.3136654,1.1853976,1.0138505,1.1756836,1.2888954,0.81120735,1.1372273,0.9105163,0.77298117,0.6522786,1.0092307,0.69442445,0.9056823,0.9516986,0.98025537,0.8436664,0.74675333,1.2735164,0.943499,1.2298616,1.2097174,0.89739966,1.2626414,0.7798078,0.8729877,1.2331023,1.2805669,1.0923685,1.0486717,1.0813344,1.0094614,0.17262155,0.85346174,1.0341024,1.354017,1.2756593,1.1217117,1.2849793,1.0331866,1.2119999,1.0606081,1.180975,1.2572048,1.283617,0.98400444,1.1795797,0.94617105,1.0637805,0.668692,1.0355396,0.82893515,1.0562285,0.9158872,1.1860499,0.8639264,1.3419591,1.0661855,1.1620779,0.83525896,1.1919702,1.2299182,0.9752078,0.7420797,0.7751557,1.3754184,1.120049,0.82211375,1.0313339,1.2351913,0.903578,0.92415833,1.2239567,1.2837405,0.9601575
bird,1.2390566,1.009776,0.3839761,1.3374014,1.0983458,0.6077939,0.76866966,1.0329974,1.4048525,1.0084668,1.390722,0.4502715,1.3498032,1.2094085,0.0,1.2363918,1.3857328,0.8730979,0.5504782,0.5382735,1.1994103,0.9342865,0.7708663,0.9353912,1.1965623,0.57238424,1.0265293,1.237354,0.94714296,1.3285425,1.3371798,1.3022029,0.83832896,0.34295607,1.375277,0.6054595,1.0428468,1.0043212,1.3480304,1.1157421,1.2108442,0.9529125,1.1054695,1.1195477,0.76302695,0.33876765,0.43583024,0.80286443,1.0558814,0.5355657,1.3558424,0.6426485,1.0157562,0.92805815,1.2814575,0.8982326,1.2050202,0.9945796,1.1055291,1.2898341,1.1863636,1.2584063,1.0500818,1.208179,0.8454492,0.8645358,1.2136326,0.58084345,1.3132818,1.0809069,0.43638426,0.5970063,0.70856714,0.88923144,0.9673236,1.2973981,1.2547679,1.2354796,1.1602017,0.60070455,0.4883716,0.76074183,0.5859172,0.7180395,0.6560405,1.0967038,0.96426857,0.8739643,0.90854245,1.2887092,0.7722765,1.3160775,1.2667203,1.2958295,1.0938009,1.2554812,0.984864,1.3000144,1.2267259,1.4660635,0.3538304,0.686332,1.0993752,1.2893697,0.64371,0.49837792,0.9279003,1.3358845,1.3933464,0.6295612,0.6486645,1.3750985,1.21142,0.7210362,0.978479,1.2820637,1.0583702,0.42429423,1.2602882
blanket,0.82321626,1.0859586,1.3331093,0.9062433,1.0604377,1.2769489,1.3394467,1.0283347,0.83166164,0.89325583,0.31867802,1.2225698,0.505014,0.71489096,1.2363918,0.0,0.9403735,1.1465386,1.2671325,1.3419032,1.1023378,1.2568724,1.215572,1.1538377,1.0103886,1.2455277,0.7373128,0.69095945,1.2957275,0.6938576,0.81419176,0.47261947,1.0690606,1.3644994,0.74822867,1.3463929,0.64915055,0.9755953,0.89374024,1.2194668,0.8753387,1.1898149,0.74476165,1.0325559,1.1973076,1.2876201,1.2782644,1.1173087,1.1880516,1.3225884,0.89788204,1.29387,0.97154456,1.1832764,0.79828656,1.0849075,1.0221491,0.98917305,0.7418761,1.0160353,0.2797346,0.49454236,1.2232318,0.8482502,1.1516087,0.9393504,0.99369794,1.3765265,0.8182465,1.0208555,1.3005551,0.99025065,1.1763504,1.0897483,1.222044,0.86716974,0.5007298,0.6219113,1.0698016,1.3486247,1.3252213,1.2659599,1.026349,0.8779193,1.1797657,1.0291014,1.1570576,1.0008137,1.1990604,0.9317063,1.1532859,0.5715104,1.0935277,0.6352804,0.98133767,0.69680065,1.1210499,0.77868295,1.0653301,0.90441155,1.3257617,1.1868687,1.2369295,1.0304484,1.2619852,1.2031708,1.1017647,0.4731092,0.71480674,1.353386,1.2741641,1.0169284,1.0419084,0.7984872,1.1153628,0.9963745,1.0232458,1.3247678,0.7635254
boat,0.7057772,1.051397,1.3999064,0.74129677,0.95119965,1.2314152,0.98701376,1.015135,0.5390315,1.0391068,0.61785483,1.4145286,0.5850749,0.943082,1.3857328,0.9403735,0.0,1.1091434,1.2974536,1.2754824,0.84258133,1.126385,1.1776366,1.2096237,0.9213244,1.1834245,1.0850581,0.76763403,1.0233567,0.7049723,0.6091683,0.81880975,1.2122412,1.3945298,0.6217081,1.297088,1.076237,1.2032079,0.83691454,1.0882254,0.90346986,1.0935059,0.86821675,0.9619642,1.2434317,1.3568083,1.419478,1.30223,1.0524048,1.3764994,0.61932373,1.4068422,1.1854022,1.0949411,0.80590695,1.1845809,0.9611776,1.146455,0.85982823,0.74684405,1.0308052,0.7402029,0.98648596,0.8031136,1.266835,1.2349657,0.80203074,1.2025692,0.71000075,0.95834357,1.3459009,1.5481774,1.4345222,1.369434,0.9861154,0.81170624,0.87952495,0.87208736,0.90994376,1.3332522,1.3744438,1.107301,1.3880177,1.202008,1.3152767,0.8380321,1.165668,1.3298548,1.221132,0.8110471,1.2673583,0.9100724,0.75311565,0.7723014,1.0031078,0.8582906,1.0736606,0.64991516,0.759182,0.3255489,1.4715515,1.2922388,0.95289165,0.6624659,1.2892864,1.3217086,1.14705,0.77804244,0.49632,1.2228312,1.405364,0.61863273,0.75631124,1.5058389,1.0211809,0.68140244,1.0518821,1.3559453,0.91579914
book,0.8753245,0.99719554,0.94712293,1.230165,1.0323539,0.80601674,0.9494477,0.6401606,1.1527785,1.2554966,1.1165396,0.91867995,1.1120757,1.1023438,0.8730979,1.1465386,1.1091434,0.0,0.8480476,0.72795904,0.5952211,0.9226527,0.78619313,0.9247995,0.8313806,1.1412735,1.1755494,1.106424,0.70879084,1.1090391,1.11703,1.0326988,0.9439136,0.79838634,0.9967158,0.8484458,1.069659,0.90377265,1.1457844,0.83650935,0.9904987,1.0683116,1.2169209,1.1353738,1.2404792,0.8341334,0.7559726,1.2407649,0.96103543,0.6570612,0.90845466,1.0291371,1.1720153,0.9451582,1.1160274,0.9906614,1.2358843,1.0714371,1.2398987,1.2380891,1.2094321,1.3321748,1.0043935,1.0342184,0.92413056,1.0687461,0.97649443,0.90023446,1.2981619,1.2443593,0.9074476,0.8865246,0.92402565,1.1056366,1.0369213,1.0615994,1.1761816,1.2744823,0.64746505,0.69653004,0.7837062,0.926346,0.71147156,1.0330901,0.94539833,0.90428543,0.9682103,0.72723293,0.5597336,0.969031,0.87821877,1.0671875,1.0201912,1.2875861,0.9224371,1.268087,0.9646483,1.126116,0.9298731,1.008367,0.93187696,1.0707681,1.0365778,1.1188972,0.9505716,0.8244749,0.6961678,1.212599,1.188834,0.7284046,1.1159154,1.121682,1.0988772,0.89999527,0.6791885,0.8184484,0.8084109,1.0330116,1.038217
bottle,1.3222101,0.7502875,0.5073956,1.4511826,0.9229647,0.4783489,0.86256707,0.8120192,1.4430559,1.1764424,1.4621805,0.66711986,1.453533,1.2488604,0.5504782,1.2671325,1.2974536,0.8480476,0.0,0.54508024,0.9682306,0.9809586,0.43194735,0.6429747,1.1814129,0.9464043,1.2098806,1.1602015,1.0609833,1.29497,1.3054931,1.3049881,0.94064206,0.4242983,1.2751862,0.26679313,1.1533828,0.84591997,1.31947,1.0890472,1.2040185,0.9243054,1.3081028,1.1954451,0.97896343,0.5544523,0.6184111,1.0290883,1.0815666,0.5415679,1.2579304,0.74214196,0.7403325,0.8496661,1.3065239,1.0150301,1.2946596,0.8934282,1.167279,1.3372643,1.2312764,1.3679299,1.1092913,1.198628,0.8749355,0.8962578,1.11764,0.71793413,0.9780983,1.2454562,0.49539113,0.5691267,0.8145493,0.9084058,1.0456015,1.2988799,1.3284087,1.3400733,1.1646804,0.48722583,0.41965115,0.902261,0.6513619,1.0304681,0.73753905,1.1290762,0.8366202,0.64382565,0.5994388,1.2729406,0.73863506,1.1593075,1.2818987,1.3727527,0.85152984,1.3013964,1.0885932,1.3026685,1.2658781,1.2575886,0.41718906,0.57157505,1.0832971,1.2636297,0.8376633,0.4355042,0.65714216,1.3850477,1.2856816,0.5304681,0.73281497,1.2138698,0.9800448,0.65318894,0.65820277,1.1446321,0.74958706,0.57394296,1.2515856
bowl,1.26509,0.74463564,0.5004174,1.4736767,0.8192934,0.48303974,0.65704745,0.6624073,1.3756685,1.204452,1.524111,0.5631493,1.4047687,1.408377,0.5382735,1.3419032,1.2754824,0.72795904,0.54508024,0.0,0.7806343,0.7006333,0.4470482,0.70986784,1.0423746,0.7913567,1.2265234,1.1653484,0.88650763,1.3044264,1.2908342,1.2813104,0.95238954,0.5058148,1.2425584,0.37852985,1.1870408,1.0406334,1.4090246,0.948641,1.2602277,0.9343998,1.3203886,1.2211558,0.9951234,0.56305194,0.5332595,0.99412686,1.0036151,0.502338,1.2544348,0.7732037,1.0328315,0.93710583,1.4738507,0.7588324,1.324019,0.98271155,1.2257744,1.3899155,1.3269964,1.4287229,0.986147,1.1634241,0.8647342,0.7992251,1.0923707,0.42542654,1.3676097,1.2339551,0.6089998,0.58571494,0.6973418,0.9544194,0.8980459,1.285421,1.4724174,1.3382969,1.1028795,0.64561343,0.627592,0.61161613,0.52307016,0.90554184,0.7853528,0.83420664,0.7572932,0.58237207,0.55346924,1.2454529,0.6137108,1.2930677,1.1858304,1.5244049,0.9433368,1.3651333,0.93303585,1.3838983,0.93200004,1.3353317,0.4891752,0.71261084,0.97352636,1.2834287,0.77911663,0.5728348,0.9180594,1.5366389,1.3937876,0.31946868,0.81295186,1.2894262,1.1675521,0.70668244,0.8287231,0.907719,0.96070385,0.62508065,1.3058147
box,0.944699,0.8383049,1.2048043,1.2280717,0.7783047,0.8868814,1.0782931,0.42423213,0.95697755,1.2804892,0.95588505,1.2359078,0.97889096,0.9909471,1.1994103,1.1023378,0.84258133,0.5952211,0.9682306,0.7806343,0.0,1.0181129,0.65646267,0.91850173,0.8684001,1.335957,1.2948229,0.77867866,0.8568003,0.8550358,0.9919332,0.9603962,1.1234062,1.1459883,0.51005423,0.873564,1.1338571,0.79678965,0.94039357,0.7391953,0.89762163,1.0779676,1.2540098,1.0950534,1.4095061,1.1415296,1.0218219,1.3857658,1.0506401,0.84810054,0.88452804,1.2586702,1.0986388,0.9219502,1.1122662,1.0187916,1.2092527,0.9657187,1.2319591,1.1389698,1.1853676,1.2272571,1.095224,0.6959994,1.0694832,1.1093367,0.9146584,1.1267493,1.0301882,1.2672248,1.209764,1.1078857,1.1597706,1.2070521,1.0375668,0.8414742,1.0742211,1.2353697,0.80064726,0.95624995,1.0723432,1.030362,1.0174594,1.2159228,1.112793,0.8615344,0.8508364,0.69918287,0.5887406,0.768853,0.99916434,0.97090375,1.0009084,1.2397783,0.77960646,1.2112296,1.0032012,0.9547028,0.822595,0.6306136,1.2415854,1.198996,1.0969678,1.0196254,1.20607,1.0324697,0.6895586,1.1836408,0.8766459,0.8310311,1.3504924,0.9360157,0.9726195,1.0914102,0.41212672,0.40399492,0.7372862,1.3364415,0.9933755
bread,1.0591036,0.9874443,0.8688168,1.1234127,0.85322756,0.86088014,0.66003126,0.99789196,1.3217306,1.110043,1.3282079,1.0505897,1.2261295,1.1297805,0.9342865,1.2568724,1.126385,0.9226527,0.9809586,0.7006333,1.0181129,0.0,0.869735,1.120024,1.0247508,0.91432434,1.1044629,1.2751799,1.0065147,1.3242772,1.1333529,1.1840305,1.0742205,0.93547183,1.2776785,0.9378276,1.0095268,0.9296831,1.2370231,1.0537165,1.116688,0.92453104,1.0765481,1.0577977,0.90852517,0.9435032,0.83700156,0.9378272,0.7848654,0.6680994,1.0409241,1.0236408,0.8104762,0.7605452,1.1538427,0.39817405,0.8832387,1.1170205,1.1767223,1.0767505,1.2595154,1.1725761,0.96820486,1.1799073,1.0457864,1.1217966,0.85790634,0.5240654,1.0318282,0.8799899,0.9657565,0.97521293,0.70972514,1.029862,0.791348,1.205795,1.1366578,1.1878244,0.9969175,0.9503826,0.99133646,0.67832243,0.87073255,1.131243,0.9716601,0.94783854,0.74149835,0.88712645,0.91658115,1.2337332,0.71132994,1.1261154,1.0579375,1.2707186,0.9667587,1.1442846,0.9656668,1.351678,1.0930389,1.1701937,0.92155796,0.8316039,0.8335848,0.9668493,0.7889761,1.0346617,1.0449959,1.2319622,1.2343441,0.69859284,0.8547962,0.9958571,1.0280919,0.956877,0.97711575,0.97584754,1.1454065,0.7979429,1.2713175
bucket,1.273119,0.52233213,0.8043265,1.465091,0.7303027,0.51777446,0.9500825,0.59905005,1.3527441,1.2174371,1.4436967,0.88408405,1.3312345,1.3545351,0.7708663,1.215572,1.1776366,0.78619313,0.43194735,0.4470482,0.65646267,0.869735,0.0,0.4658152,0.99948937,1.0207162,1.2453796,1.0169451,0.8365729,1.2308276,1.2917897,1.1680028,1.0161816,0.63760346,1.1174935,0.42846394,1.1225625,0.8970454,1.2801906,0.90377116,1.2396679,0.9000542,1.3777536,1.2980411,1.2135336,0.7377895,0.7034379,1.137996,0.9743073,0.50645894,1.1656915,0.9984687,0.7936669,0.89835244,1.3921807,0.83596975,1.3577702,0.78290325,1.2335606,1.1995528,1.2047282,1.3026353,0.9720939,1.0535907,0.91611534,0.8459046,1.0957671,0.82169074,1.1134174,1.3149378,0.862172,0.5188123,0.7850735,1.029897,1.1107495,1.1502554,1.3696548,1.3871278,1.053408,0.6409007,0.7088667,0.8247111,0.5987369,1.0997548,0.8165728,1.0158584,0.70290834,0.4262823,0.41816878,1.1612949,0.6608027,1.097021,1.0928265,1.473641,0.694867,1.4242203,0.8973372,1.3198297,1.0637176,1.095913,0.6873439,0.7929529,1.004553,1.2294477,0.8510215,0.699658,0.7668045,1.4416316,1.3322114,0.43977237,0.9791877,1.2420263,0.90028095,0.5568757,0.59973407,0.9601554,0.61008596,0.83191264,1.260295
can,1.3269928,0.7625964,0.98034406,1.2204795,1.0857573,0.88131213,1.2156216,0.87509036,0.9491384,1.0089468,1.3156365,0.73855126,1.1605793,1.3723669,0.9353912,1.1538377,1.2096237,0.9247995,0.6429747,0.70986784,0.91850173,1.120024,0.4658152,0.0,0.8406634,1.0279197,1.008743,0.8281108,0.7573256,1.0516427,1.1053435,1.0411273,0.8410196,0.7655617,1.059215,0.52675647,1.1118735,1.1109812,0.9177592,0.7104425,1.2176232,1.0861336,1.212212,1.2301952,1.1656675,0.88466066,0.9287956,1.0645559,0.9496497,0.8661007,1.1746861,0.98914206,1.0350579,1.3141117,1.2417631,1.0192771,1.3127403,0.9975106,1.1261091,1.0326093,0.95311946,1.2413883,0.7734822,0.83259255,0.62840825,0.47012007,1.0728301,0.99877554,1.3428512,1.2881696,0.9680589,0.44445467,0.8665092,0.8966639,1.2687327,0.7812843,1.400278,1.1692908,1.042555,0.70585686,0.7892146,1.0827672,0.65139985,1.0521926,0.9198885,1.1390654,1.0201873,0.6271206,0.43534875,0.7669657,0.837993,0.8942721,0.9898147,1.2403482,1.0467929,1.2752504,0.92775697,0.9820334,0.86603564,1.2797955,0.8371891,1.0221453,0.93860066,1.2091445,0.84678763,0.83367956,0.8514166,1.2732095,1.181999,0.7420411,0.99129605,1.2665908,1.0395372,0.50445884,1.0456679,1.1513364,0.42874599,0.94618607,0.81507885
car,0.7005055,0.9202998,1.2644045,0.94341654,0.96520764,1.0644674,1.0064902,0.98164785,0.7503762,0.8403404,0.97431535,0.97834224,0.8788614,1.1252104,1.1965623,1.0103886,0.9213244,0.8313806,1.1814129,1.0423746,0.8684001,1.0247508,0.99948937,0.8406634,0.0,1.2453532,0.7440727,1.0906779,0.8227861,1.0647022,0.73599076,0.79465437,0.90006304,1.096153,1.0302061,1.1710382,0.9756038,1.1603863,1.0620822,0.83744925,0.98457885,1.1398703,0.73352295,1.0210143,1.2541734,1.1451231,1.1269612,1.1997185,0.70573366,1.0461208,0.8572118,1.167596,1.1797286,1.2152205,0.93732584,1.0917703,1.1687708,1.0662556,1.0155197,0.8901184,1.0061157,1.141686,0.7625381,1.0341816,0.8127097,0.93032503,1.0790809,1.0922816,1.1807375,1.0377059,1.1819481,1.0124573,1.0395234,1.0352098,1.1201086,0.9766905,1.0939424,1.0654445,0.9502986,1.0410863,1.0691707,0.9534873,0.7374699,0.9557792,1.1116462,0.95718896,1.0156927,0.96187377,0.89914536,0.9560695,1.0334033,0.90899795,0.7776685,1.0297724,0.95918727,1.1205521,1.0783443,0.96190286,0.7948302,0.9223686,1.1458403,1.254453,0.75536734,1.1384645,0.97164047,1.1501982,1.1124246,1.067658,1.1172404,1.0066749,1.2505214,0.98735005,0.9829187,0.9971537,0.9796046,0.9815473,0.9874733,1.192361,0.7910209
carrot,1.1408526,1.1252654,0.55957913,1.0218675,1.1256764,0.87138504,0.9129355,1.2276701,1.277931,0.9048168,1.2457857,0.48004407,1.1338632,1.1670779,0.57238424,1.2455277,1.1834245,1.1412735,0.9464043,0.7913567,1.335957,0.91432434,1.0207162,1.0279197,1.2453532,0.0,0.98804945,1.1345167,1.0343542,1.1316978,1.2481515,1.257698,0.8928711,0.54214364,1.2467487,0.88260996,1.0680043,1.1925831,1.2270733,1.1491817,1.206349,0.85059464,1.0071057,1.026246,0.47016537,0.6225264,0.82435346,0.568353,1.0282325,0.9651854,1.2815056,0.64170927,0.96825016,0.91783786,1.1825955,0.7207545,0.92754966,0.95455664,0.970391,1.1385119,1.1510063,0.9545855,0.8916414,1.1436226,0.92318225,0.8842666,1.2261639,0.7767658,1.1210203,0.864763,0.59770024,0.80562365,0.73835206,0.7335337,0.8205588,1.176138,1.178841,0.95383817,1.1474106,0.8723453,0.78889894,0.84276485,0.9564465,0.6678983,0.8211349,1.1417168,1.0918103,1.1556176,1.1424155,1.228302,0.97397095,1.2657785,1.2462187,1.0406188,1.2439569,1.0036248,0.99299,1.2616389,1.1671935,1.3445029,0.55937743,0.7708298,1.108698,1.0802727,0.7387153,0.7858139,1.1686716,1.0919471,1.2289687,0.94363344,0.6021788,1.1896791,1.1167748,0.9070978,1.2538073,1.2970809,1.2523482,0.5201508,1.2430894
cat,0.9293371,1.1295133,1.0205209,0.9537128,1.0401944,1.0562947,1.1419659,1.2708058,0.8869156,0.20094347,0.7154753,0.81310296,0.8051842,0.9686417,1.0265293,0.7373128,1.0850581,1.1755494,1.2098806,1.2265234,1.2948229,1.1044629,1.2453796,1.008743,0.7440727,0.98804945,0.0,1.1505725,1.1968449,1.013202,0.75719047,0.74219763,0.8610823,1.0712364,1.175683,1.2283236,0.40739572,1.1507723,1.0270702,1.2839681,1.0119001,1.075658,0.3278708,0.9217807,0.9507126,1.0294471,1.0745468,1.0038693,1.0335845,1.1133723,1.1102344,0.912547,1.1173329,1.2899947,0.799134,1.0957637,1.0547246,0.90383404,0.62358224,1.0674583,0.7493924,0.8407768,1.1436538,1.1682365,0.8738307,0.75315404,1.2201741,1.1276324,1.1401076,0.7443226,0.93750757,0.9744795,0.7585428,0.7862146,1.2099458,1.1226298,0.94163764,0.9129394,1.1531249,1.1186156,1.0307263,1.0555104,0.7643877,0.71862245,1.1431317,1.1681046,1.1722374,1.0541714,1.1795164,1.0674483,1.009414,1.099463,1.1222413,0.72430754,1.1811029,0.99805194,1.1976143,0.89818716,1.1233777,1.166932,0.9763182,1.0967609,1.1136934,1.1992825,1.0459001,1.0061597,1.2380685,0.7658951,1.0929848,1.235031,1.0280794,1.1389327,1.2231935,0.9994257,1.2818036,1.3029141,1.138393,0.9499432,0.7110792
chair,1.0685843,1.1225729,1.3922051,0.9203433,1.1084604,1.3334116,1.3092906,0.81645036,0.7801689,1.1542249,0.57560444,1.2570273,0.516544,0.995364,1.237354,0.69095945,0.76763403,1.106424,1.1602015,1.1653484,0.77867866,1.2751799,1.0169451,0.8281108,1.0906779,1.1345167,1.1505725,0.0,1.0442394,0.58502567,0.94318026,0.64957976,1.0554111,1.3728395,0.3486315,1.0802531,0.9879751,1.0022655,0.67158115,0.96219623,1.0117317,1.0676054,1.1687863,1.0900217,1.2880455,1.3613,1.3083696,1.1434307,1.1935557,1.2875738,0.9940879,1.3195717,1.0230318,1.3232175,0.95447123,1.0002148,1.0945464,1.0473235,0.9607896,0.87455815,0.680145,0.6255601,1.086164,0.17563605,1.0635259,0.8027761,0.93973225,1.2859058,0.8241923,1.1111506,1.4254596,1.0378128,1.2477467,1.2236439,1.1165019,0.6504874,0.9101283,0.73771435,0.9580199,1.2719518,1.3474901,1.3043736,1.25308,1.1200423,1.1305445,1.0533094,1.2066133,0.9767896,1.0024699,0.62992835,1.144594,0.66152227,0.9875701,0.81917393,1.0125886,0.80454254,0.78737175,0.7471135,0.9351511,0.71559954,1.3886483,1.2864349,1.1473985,1.0025257,1.2827979,1.2149947,0.80862355,0.71582055,0.28001797,1.2408215,1.3546177,0.956274,0.9897251,0.9749027,0.9994186,0.78464854,0.62545484,1.3637314,0.8329425
clock,1.0792835,0.90964174,1.1041666,1.0679538,1.0403967,0.923676,0.91723365,0.8393836,0.88081306,1.1474786,1.2682748,0.9401063,1.2009814,1.2347156,0.94714296,1.2957275,1.0233567,0.70879084,1.0609833,0.88650763,0.8568003,1.0065147,0.8365729,0.7573256,0.8227861,1.0343542,1.1968449,1.0442394,0.0,1.0971003,1.032816,1.1822795,0.84456813,0.8828843,1.0260471,0.9699841,1.2424359,1.1138659,0.96497184,0.58938956,1.071003,1.0655216,1.2188781,1.1797826,1.2617097,0.8564778,0.94281614,1.2176261,0.6475832,0.80624413,0.8653515,1.0805234,1.2392263,1.1668729,1.1721232,1.1660911,1.2359922,1.0561634,1.2317247,0.8190179,1.2465155,1.3352515,0.63044477,0.963708,0.80720097,0.9579256,0.94611496,0.9493414,1.2783073,1.1849092,1.0620244,0.9099474,1.0018388,1.1401174,1.0234277,0.86383206,1.2894144,1.2512543,0.75863826,0.7915278,0.9348861,0.9151379,0.93838793,1.0721601,0.9256158,0.7874578,0.99949324,0.8113747,0.75807667,0.85826325,1.0155472,0.99423856,0.48143333,1.2810497,0.97989833,1.2936828,0.7968636,1.0395705,0.6526923,0.9991412,1.0277565,1.2148379,0.6178055,0.83086145,0.89102817,0.9658887,0.92228496,1.2982934,1.1927243,0.7576159,1.1877382,1.0418705,0.9015029,0.9432466,0.96551967,0.8963144,0.7854388,1.0215394,1.0051407
