class_name,cdi_category,tsne_x,tsne_y,exemplar_count
lamp,household,-1.5003088,-4.3722014,266
leg,body_parts,-5.966149,-9.233999,117
meat,food_drink,8.333328,-3.7053435,154
melon,food_drink,4.938977,-4.1010766,232
milk,food_drink,-4.5493474,0.891439,185
mitten,clothing,2.6731894,6.0373483,264
mop,household,-4.8008466,-1.753605,49
motorcycle,vehicles,-5.0758796,9.188229,216
mouth,body_parts,-3.4225743,-13.374361,150
muffin,food_drink,6.6544247,-5.6330137,209
nail,household,-0.6245272,-9.216559,263
napkin,household,-0.48554567,-1.2344283,266
necklace,clothing,-3.0572677,-9.968933,261
nose,body_parts,-2.5939376,-12.293815,211
orange,food_drink,2.178963,-8.317597,254
oven,furniture_rooms,-5.4732423,4.685804,260
owl,animals,3.502966,4.1824865,221
pajamas,clothing,2.8446093,9.103296,262
pants,clothing,5.2402487,9.611533,256
paper,household,-1.1563203,4.494985,265
pasta,food_drink,9.561472,-6.6229615,11
pastry,food_drink,7.7174964,-6.141501,54
pen,toys,-3.0277398,-6.587533,265
pencil,toys,-3.065153,-6.4033804,265
penguin,animals,4.4604383,1.2843415,89
pickle,food_drink,3.8505626,-4.827166,204
pig,animals,5.9024944,3.9586012,107
pillow,household,-0.22067337,-0.8201185,266
pizza,food_drink,7.541301,-4.7210684,225
plant,household,-7.6714435,-1.2753649,263
plate,household,0.4427018,-3.202011,266
pony,animals,6.4842215,3.1809785,175
potato,food_drink,2.5068002,-9.70474,62
pumpkin,food_drink,3.0664108,-7.810616,238
purse,household,-1.804832,1.4140033,266
radio,household,-3.7825649,-3.9839377,251
raisin,food_drink,0.14159843,-10.349609,111
refrigerator,furniture_rooms,-5.8013763,5.2048845,264
rock,outside,1.0360627,13.775166,108
rooster,animals,5.1656656,1.9167111,247
sandwich,food_drink,8.666468,-4.12059,81
sauce,food_drink,6.813424,-2.6654007,84
scarf,clothing,3.0210123,8.34777,202
scissors,household,-0.3313101,1.2370465,265
shirt,clothing,4.217379,10.517113,266
shoe,clothing,1.351199,0.67214364,262
shorts,clothing,5.590317,9.2206545,232
shovel,outside,-1.9750559,-1.5073017,248
shower,furniture_rooms,-6.0347943,6.957807,185
sink,furniture_rooms,-3.1485472,3.1398606,266
slide,outside,-1.1325407,7.483365,245
slipper,clothing,-1.9332803,-8.337843,266
snow,outside,0.36596534,13.801218,183
soap,household,-0.829267,-6.552908,213
sock,clothing,1.0644325,-0.17054231,250
soup,food_drink,6.980554,-2.7403615,171
spoon,household,-1.4809246,-2.6601076,257
sprinkler,outside,-0.5854004,2.245253,216
stick,outside,-3.3624609,-2.2952876,79
strawberry,food_drink,0.7616035,-8.7282505,201
