,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,knife,ladder,lamp,leg,melon,mitten,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
drawer,1.0201316,1.1161094,1.1521462,1.2112404,0.83602566,0.7854134,0.882032,0.97408164,0.48447067,1.0909833,0.9484481,0.8647084,1.2009237,1.1455883,0.37709844,1.1534758,0.8376139,0.8881083,1.0170671,0.8584647,0.9678072,1.0413038,1.1247182,0.67071456,1.0470741,0.64463985,1.0595745,0.7376747,1.048153,1.1802104,0.69335055,1.1887935,1.1611793,1.1011007,1.1332022,0.6909306,0.0,0.97359,1.0465987,1.062126,1.1149338,1.049527,1.0970633,1.0474986,1.2034076,0.9397687,1.1473079,1.1904736,1.159882,1.0573213,1.0485356,0.9992152,1.1921501,0.7098031,1.0376791,0.7690368,1.072632,0.93024504,1.1964648,1.085773,0.96059895,1.1428149,1.1399486,0.8121877,1.0627904,0.8528316,0.89215857,1.2060399,0.95701075,0.9938143,1.1752472,1.190357,1.008024,0.99289125,0.839091,0.68582714,1.1537511,1.0383536,1.1055542,0.9769566,0.97749966,0.87021995,1.031693,0.891411,1.1111432,1.1806033,0.9934925,1.234594,1.0717449,1.2187216,0.8748529,1.1979358,1.0672504,1.0463439,0.9661298,0.9783962,1.175662,0.91120267,1.1454052,0.92830044,1.2372125,0.8116866
dress,1.1919131,0.9325251,1.0905036,1.1142663,1.0497783,0.8493066,0.63085395,1.2346512,0.8113948,0.82141566,0.9397152,1.2323786,1.260294,1.2971399,0.91535354,1.1710635,1.158865,1.1370586,1.1318167,1.2356074,1.0927143,1.2304426,1.2008754,0.76969784,1.2210312,0.7260697,1.1017486,0.92157555,1.1339278,1.3951747,0.66353476,1.246032,1.0144655,0.85374385,0.78865254,0.6342602,0.97359,0.0,1.2490845,0.9071707,1.1633419,0.98759604,0.9548483,1.2937518,1.0179683,0.7736532,1.3482811,1.0404793,1.342983,0.7712934,0.8900269,0.9611654,1.3093044,0.9401746,1.1685284,1.0285611,1.0176235,0.86403054,1.2284205,1.2962816,0.9854483,1.1992238,1.2386076,1.1305931,0.49534655,0.67222595,0.8785436,1.3606739,1.111511,1.2809606,1.2857478,1.1027348,1.2634156,0.96916896,1.0233831,0.74598914,1.0541258,0.7559999,0.7588592,0.5727286,0.88561213,0.86809474,1.1700435,0.67749184,1.2602695,1.233874,0.9614565,1.2666782,1.1669598,0.9592492,0.58667445,1.2358794,1.2142749,1.0080165,0.78994477,1.2792895,1.0235755,0.89794123,0.8716791,1.1921049,1.236007,0.8093442
egg,0.5842216,0.88943577,0.7765626,0.9182929,1.1050414,1.0424078,1.3064454,1.0421259,1.1372316,1.1685294,0.97185767,1.0735908,0.94141144,0.8391626,1.203333,0.4445011,1.1015759,0.9672904,0.83153117,0.97417146,0.8804849,0.64818007,0.9507446,1.2310374,0.7472014,1.2429724,0.919022,1.100489,0.6138007,0.7709777,1.3511128,0.9024054,1.1090115,1.0778582,1.2344824,1.3035452,1.0465987,1.2490845,0.0,1.0963484,0.86846733,0.9314013,0.9373375,0.94016135,1.0156684,1.1544806,0.8795206,1.0416083,0.46952468,1.0185733,1.070363,1.1799512,0.9112748,0.98865354,0.98359245,1.0006526,1.0195879,1.0336032,0.9007674,1.0461445,0.8322059,0.84900093,0.6229037,1.0728958,1.2181785,1.2814734,1.0990332,0.93825704,0.99839187,0.7332102,0.8252094,0.9047023,0.6277422,1.1500666,0.9155417,1.2319437,1.0031633,1.2754147,1.1807785,1.1885172,1.1731749,1.122125,0.86983955,1.2947876,1.0542916,0.789239,1.1438863,0.9050242,1.140947,0.9955234,1.2737067,0.77198446,0.8776571,0.9496661,1.1029023,1.0812819,1.0315542,1.0052016,1.0181402,1.1442657,0.9880682,1.0617642
face,1.0574353,0.85902226,0.93313336,1.0801843,1.1585963,1.1228291,0.89383334,1.1134201,1.0647279,0.58308876,0.9463953,1.251062,1.1980925,1.2697753,1.0436412,1.0553062,1.2837636,1.2144715,1.1267035,1.3711139,1.2273616,1.1587477,1.0069841,1.0592088,1.0891066,0.9343561,1.0432808,1.1585908,1.1464915,1.3175651,0.9770155,1.2349643,0.91731596,0.9062029,0.25992584,0.9495374,1.062126,0.9071707,1.0963484,0.0,0.81232727,1.0555271,1.1668653,1.3257563,0.92726946,0.8447118,1.1872926,0.96986717,1.1538568,0.8634114,0.612726,0.77406526,1.2713394,1.0419917,1.200471,1.2217282,0.8386994,0.8389206,1.1795552,1.1497707,1.1066564,0.897865,1.2075646,1.274906,0.6354321,0.87076414,0.9083308,1.2201928,1.0024531,1.1420286,1.2255014,1.0870899,1.2588587,1.0150422,0.99927837,1.0209059,1.059957,0.54922724,0.7343366,0.8921341,0.9175885,1.1506057,1.327038,0.794327,1.1475295,1.2412667,0.9486238,1.3081083,0.9259463,0.8661411,0.9245069,1.0122862,0.7935529,0.9322714,1.0364512,1.1676955,0.77621555,0.94659334,1.0632415,1.308249,1.2278693,1.0492969
finger,0.8119031,1.0238681,0.9138681,1.0714381,1.1169671,1.049453,1.2927016,1.059179,1.1936321,0.95319015,1.1343231,1.1558844,1.1205853,1.1813228,1.0677993,0.7169425,1.0119303,1.1525309,1.0484577,1.1185849,1.1631649,0.7761004,1.0613962,1.2471485,0.8697144,1.2426624,0.95578754,1.159033,0.75332147,0.8715021,1.2982178,1.1789584,1.0797414,0.99358964,1.037844,1.1772656,1.1149338,1.1633419,0.86846733,0.81232727,0.0,1.0459073,1.0963547,1.0433155,1.1295116,1.0379821,0.9444126,0.6367787,0.7780342,1.0638977,0.46649015,0.9953772,1.1190852,1.1301031,1.21455,1.0896496,0.6770636,0.7344369,1.0935405,0.9386157,1.0640574,0.8906889,0.807764,1.2243811,1.101204,0.9606641,1.0462178,0.88233435,0.6030253,0.9136004,1.0206275,1.1304736,0.97107226,1.2522658,1.0524888,1.2697761,1.039215,1.0737239,0.89781916,1.0614009,0.62768453,1.0932359,1.2009035,1.2143656,0.7316274,1.141635,0.7190676,0.93861926,0.49349475,1.0134029,1.2514672,1.1000246,0.35955924,0.61668676,1.048901,0.9980309,1.1057067,0.9826622,1.1780533,1.1543654,1.2011883,1.133417
fish,0.79969615,0.57765526,0.6913495,1.0471385,1.1125779,0.82077134,0.7852814,1.1953185,1.0946522,0.8317071,0.8626681,1.3417234,1.1882751,1.1191674,1.0850741,0.98793304,1.2360872,1.1940863,1.0799224,1.2571898,1.1455857,1.0084481,1.1620154,1.1315675,1.038703,0.8700829,1.0323192,1.1268821,0.9849438,1.2178159,0.84596944,1.1274426,1.0900418,1.075439,0.9343855,0.8909823,1.049527,0.98759604,0.9314013,1.0555271,1.0459073,0.0,1.1274061,1.2191347,0.9340359,0.80350894,1.2299521,1.22398,0.8797153,1.0410119,0.79097265,0.7962457,1.2352533,1.0107758,1.1192958,1.2492268,0.8275695,0.80306196,1.1725433,1.3187466,1.1250596,0.97810894,1.024105,1.1919215,0.8836474,1.0311828,0.97637546,1.2037256,0.96797174,1.2174926,1.1891611,1.1240168,1.1180232,1.1182773,1.28143,1.035912,1.0563123,0.85872865,0.84083325,0.8501278,1.1361995,0.8745365,1.0363467,0.7174114,1.2643327,1.1154562,0.79080915,1.0950221,1.1242902,1.0684807,0.8907423,0.76657534,1.1416383,0.82331717,0.77013135,1.357558,0.77769876,0.6916158,1.0189153,1.2727023,1.1512203,1.1064938
flower,1.0780882,1.1650196,1.0954545,0.8182068,0.9023212,1.2272336,1.0877105,1.086403,1.0138899,1.2492969,0.97656626,0.9099061,0.9921721,1.0264487,1.1800649,0.8763465,0.9480961,0.82090026,0.8514745,1.0057151,0.76723933,1.0078007,0.90734035,0.96319497,1.0057487,1.2335714,0.8873446,0.87752384,1.0761406,0.92725277,1.2089288,0.97541803,0.755082,0.91790444,1.1446106,1.2334276,1.0970633,0.9548483,0.9373375,1.1668653,1.0963547,1.1274061,0.0,0.76901054,0.8869929,1.3118804,0.98113954,0.9965532,1.0743084,0.9693229,1.2352464,1.2666066,0.7700913,0.9219681,0.7122569,1.0674238,1.2450658,1.1793338,0.8648219,0.94328576,0.87839407,1.0270432,1.0691246,0.8125503,1.1146785,1.2335007,1.0643247,0.98371667,1.0996777,0.98063385,0.7680839,0.45315456,0.8842808,0.7388067,0.8678232,1.1243922,0.6834187,1.2095672,1.2093745,1.130159,1.1096781,1.1210909,1.075015,1.2260718,1.0584707,0.99663407,1.3118894,1.017736,1.1618924,0.84994316,1.0188961,1.0271076,1.1727066,1.0942988,1.2043161,1.0314595,1.0117004,1.1477214,0.5249099,0.8716085,0.9340813,0.8950871
fork,1.1338942,1.3096335,1.1604806,0.84227145,1.0063561,1.2233691,1.4830108,0.63369006,1.1950023,1.3625257,1.2461102,0.6643764,0.60871124,0.7217997,1.2271821,0.8288204,0.7459801,0.8407519,0.66957974,0.6161476,0.5195772,0.90791833,0.7547973,1.1579579,0.837118,1.3277409,0.8142304,1.0749904,0.9364442,0.5483558,1.4674869,0.70486975,1.025588,1.0885701,1.3819647,1.4119931,1.0474986,1.2937518,0.94016135,1.3257563,1.0433155,1.2191347,0.76901054,0.0,0.99212694,1.4130956,0.5333761,0.87755424,0.8698355,1.175329,1.3272136,1.1889529,0.44584978,1.0896295,0.8045807,0.8464967,1.2861074,1.2964551,0.70681334,0.6993991,0.8552408,0.89294124,0.9076356,0.6670125,1.345057,1.2798743,1.2456475,0.48340505,1.0837336,0.8376019,0.41559875,0.82232153,0.6510255,0.8951543,0.9177213,1.3087358,0.8900483,1.3134406,1.341404,1.2678397,1.0056064,1.104893,0.78783745,1.4757859,0.5149147,0.7693431,1.1356176,0.4879549,0.86588734,0.97967833,1.4291763,0.8838228,0.93674856,1.1706606,1.2657573,0.62047124,1.2472473,1.3287857,0.9848124,0.69762015,0.63817376,1.109266
frog,0.89648134,0.9174534,0.9445621,0.08189213,1.0420479,1.1971388,1.0134623,1.1557183,1.1611862,0.8012886,1.0400316,1.1353165,1.2037483,1.1739291,1.2572172,0.9140918,1.269417,1.0615108,0.9107872,1.3100202,1.1452335,1.0760331,0.788095,1.1321862,1.0906609,1.0672903,1.0522377,1.0830103,0.82808906,1.1997054,1.1001242,1.1863878,0.8069955,0.8277045,0.79301363,1.1499722,1.2034076,1.0179683,1.0156684,0.92726946,1.1295116,0.9340359,0.8869929,0.99212694,0.0,0.93213767,1.2307892,0.86273646,1.0211809,0.98815024,0.9158829,0.9188057,1.0795664,1.1783524,1.1110828,1.2923642,0.8344352,0.9114839,1.1697127,0.630955,1.190691,1.0513629,1.1241789,1.145896,0.90540516,1.1218182,1.0703945,1.1956713,1.0980477,0.9711676,1.0672426,0.8709915,0.86408865,0.7621161,0.9636639,1.1227065,0.8749473,0.8173435,0.89600587,1.0378835,1.060259,1.1564709,1.2023871,1.0401994,1.2001249,1.0642481,1.0515016,1.0690088,1.1705657,0.7443146,0.88731,0.84236234,1.2379527,0.9333627,1.0580134,1.077771,0.6294574,0.8658479,0.94010234,1.222741,1.1460073,1.2125187
glass,0.86424375,0.8631065,1.0137745,1.064525,1.1022637,0.69566596,0.5905923,1.2504903,0.8371265,0.63234514,0.6984737,1.3850503,1.3212452,1.2861521,0.78783685,1.2848392,1.1760094,1.1965677,1.1427095,1.1102372,1.256999,1.0162034,1.2608237,0.80773675,1.2381085,0.73892266,1.1071688,0.9116033,0.8111062,1.3036623,0.57766163,1.2847261,1.1260288,0.9577887,0.74000204,0.6096893,0.9397687,0.7736532,1.1544806,0.8447118,1.0379821,0.80350894,1.3118804,1.4130956,0.93213767,0.0,1.3980645,1.111134,1.1508541,0.9333176,0.7075755,0.8115338,1.432029,0.8523984,1.2413659,1.0282575,0.7789993,0.74874425,1.3310237,1.198121,1.1436032,1.2797642,1.1358558,1.1912055,0.74377334,0.75489414,0.9184396,1.4366474,1.0178828,1.069021,1.3696322,1.232113,1.1901243,1.1303341,1.2027278,0.7289454,1.1746724,0.6853163,0.6694863,0.87408125,1.036605,0.7671509,1.1381433,0.5112637,1.3682555,1.154067,0.77124834,1.2840213,1.158088,1.1791718,0.687834,1.226561,1.2005163,0.8578883,0.58902544,1.2174152,0.9026089,0.6241457,1.1943213,1.1760545,1.3257779,0.8272642
glasses,1.0783422,1.3031735,1.1900705,1.0532504,1.1435732,1.3063407,1.5140855,0.5381209,1.3734647,1.3972055,1.2912258,0.6429233,0.18070161,0.37652642,1.2831395,0.90791804,0.7744025,0.9787512,0.9925477,0.50355697,0.76868904,0.8292364,0.77376497,1.4272902,0.79509926,1.270308,0.9660152,1.2817345,1.0651582,0.26464462,1.4500806,0.2980091,1.0331497,1.1543494,1.355799,1.3988736,1.1473079,1.3482811,0.8795206,1.1872926,0.9444126,1.2299521,0.98113954,0.5333761,1.2307892,1.3980645,0.0,0.9957361,0.83454,1.1527967,1.3713298,1.0453331,0.2995178,1.1718855,0.76353085,0.7817486,1.231051,1.4207501,0.25748622,0.69147146,0.6995457,0.7737359,0.592709,0.9235651,1.3482955,1.2975003,1.2262057,0.3790769,1.1483451,0.8595768,0.4548123,0.9177457,0.8419167,1.1767099,1.0744387,1.3144792,0.94779915,1.4423571,1.3851204,1.2505691,1.0941485,1.0728271,0.4987182,1.4708896,0.37550563,0.3484339,1.2006341,0.42570555,0.7501873,1.0944458,1.5909113,0.8965327,0.661034,1.2306163,1.3613315,0.51851225,1.3487469,1.4646405,0.99445283,0.71495974,0.33429092,1.1665273
glove,1.1321208,1.0978781,0.9979688,0.8249792,1.109525,1.095795,1.2539542,1.0527288,1.1041844,1.0482737,1.1956936,1.0118923,1.133158,1.0862716,1.1039318,0.6551168,1.0481583,0.9502887,1.0769342,1.043597,1.0340129,1.0416293,0.7840972,1.075,0.8928638,1.1890303,1.0932957,1.0298648,0.9166067,1.0658548,1.2526629,1.1563294,0.90152216,0.8142793,1.0387396,1.1873682,1.1904736,1.0404793,1.0416083,0.96986717,0.6367787,1.22398,0.9965532,0.87755424,0.86273646,1.111134,0.9957361,0.0,1.0427212,1.0423704,0.7390206,1.0796946,1.0165068,1.1523566,1.1466583,1.0110385,0.9728026,0.8054352,1.0689929,0.7822069,1.0857067,0.9992712,1.0709465,1.0058231,1.065834,0.8848047,1.048402,0.85977924,0.9280142,0.9740491,0.8278478,0.9410974,0.8451618,0.8938374,0.8917288,1.1255441,0.78267056,1.1053725,0.89913714,1.0413522,0.634344,1.0738202,1.2061033,1.2769573,0.6797999,1.2094259,0.8422115,0.9392523,0.7836907,0.83583546,1.1534554,1.040711,0.6660387,0.90749925,1.0096134,0.8546495,0.98662883,1.200203,1.0418997,1.0577998,1.1059387,1.1185749
gum,0.65597236,0.96999145,0.8566743,0.92714816,1.1491038,1.0257648,1.347197,0.7573072,1.3361967,1.1524422,1.0425119,0.99413234,0.83566844,0.72533154,1.2315732,0.78311616,0.9604689,1.0153728,0.6912966,0.8835682,0.81710327,0.64373535,0.97988445,1.4127526,0.6668879,1.2802693,0.82843137,1.1818628,0.6345063,0.59506947,1.4052889,0.788707,1.2112917,1.2380208,1.3110694,1.3665707,1.159882,1.342983,0.46952468,1.1538568,0.7780342,0.8797153,1.0743084,0.8698355,1.0211809,1.1508541,0.83454,1.0427212,0.0,1.2063112,1.0990969,1.1344563,0.88878393,1.1580241,1.0311817,0.93473434,1.0050371,1.1073024,0.8449778,0.93206745,0.9624803,0.59746337,0.6575234,1.140045,1.3259729,1.3281376,1.1741737,0.6516041,0.8400519,0.6829544,0.7579386,0.98308355,0.7677143,1.2480052,1.0422827,1.3864666,1.0852548,1.2507913,1.1566875,1.2615602,1.0165677,1.1167402,0.7921598,1.3051497,0.7991926,0.7898754,1.0098604,0.74619925,0.9605113,1.018688,1.3641703,0.648219,0.8025417,0.9717248,1.0493388,0.8988358,1.1168828,1.0634875,1.0860401,0.9876691,0.7949525,1.105086
hair,1.1001143,0.9799195,1.0584522,1.0363708,1.0831435,1.0547923,0.82273364,1.1719562,0.9858028,0.90310735,0.93806463,1.178964,1.1169631,1.1414793,1.0551027,0.98532784,1.2315505,1.1902056,1.1200349,1.3037829,1.0731733,1.1577373,1.0461854,0.9298206,1.1505725,0.8567985,1.0438457,1.0672585,1.0647681,1.2594842,0.8670489,1.0960963,0.9220965,0.6542716,0.82696474,0.8685036,1.0573213,0.7712934,1.0185733,0.8634114,1.0638977,1.0410119,0.9693229,1.175329,0.98815024,0.9333176,1.1527967,1.0423704,1.2063112,0.0,0.90680426,0.888421,1.137623,0.99057263,1.1322844,1.125282,0.90526605,0.81014764,1.0415123,1.1869884,0.98102,1.0599611,1.1491716,1.2217234,0.7285814,0.8945864,0.9616258,1.1708351,1.1076635,1.1902397,1.1209669,0.9929687,1.1497998,1.023173,0.96297264,0.9580333,1.0810071,0.91088593,0.8613391,0.83711743,1.0856054,1.0022507,1.1730454,0.8678608,1.2326539,1.1334432,1.0219749,1.1779634,1.1234382,0.8760594,0.7846649,1.1770583,1.0684838,0.9663719,0.9147761,1.1896014,0.92722344,0.94493824,1.0175959,1.2972505,1.0901752,0.9720912
hand,0.802003,0.76183766,0.8538133,1.0877523,1.07628,0.84018356,0.87654966,1.3201191,1.0192121,0.43874145,0.94640625,1.3770709,1.4134369,1.353987,0.9568391,0.9119619,1.3421493,1.2583215,1.1325468,1.4666033,1.3475842,0.96930116,1.2154233,1.0296538,1.245434,0.98822844,1.0763581,1.0814002,0.84668565,1.3414645,0.9711365,1.3841858,1.1530696,0.8692053,0.53006923,0.91404504,1.0485356,0.8900269,1.070363,0.612726,0.46649015,0.79097265,1.2352464,1.3272136,0.9158829,0.7075755,1.3713298,0.7390206,1.0990969,0.90680426,0.0,0.7620218,1.4237537,1.0628004,1.3738142,1.3236381,0.5639801,0.37019265,1.3374935,1.2334948,1.2208488,1.1436542,1.0028572,1.3773944,0.66404307,0.7893023,0.9082736,1.2969799,0.6912862,1.1643846,1.2895906,1.2898493,1.1206167,1.2260671,1.0885532,1.111908,1.2352772,0.5185562,0.6314285,0.8612405,0.8012524,1.0967721,1.3221412,0.784731,1.2028923,1.3501348,0.6281351,1.2637975,0.89243704,0.99202436,0.82416,1.121494,0.77469677,0.5004889,0.79145145,1.2785059,0.7412547,0.5514399,1.2247965,1.4775825,1.3828453,1.1664255
hat,0.8597126,0.80204654,0.8832234,1.096048,1.1977369,0.8903038,0.893008,0.9236635,1.1385627,0.74387133,1.0206008,1.2450942,1.0327282,1.0884656,0.8598412,1.2475358,1.2402536,1.2125719,1.0918245,1.2364085,1.2597146,0.9367374,1.0029877,1.094394,1.1791162,0.9125011,1.0364761,1.1917746,1.0696962,1.1311877,0.9590224,1.021273,1.1322309,0.9779163,0.65297455,0.94453114,0.9992152,0.9611654,1.1799512,0.77406526,0.9953772,0.7962457,1.2666066,1.1889529,0.9188057,0.8115338,1.0453331,1.0796946,1.1344563,0.888421,0.7620218,0.0,1.217138,1.1958308,1.2396493,1.1563667,0.73441076,0.5505017,0.9847956,1.1028576,1.1461565,1.0081302,1.0772088,1.2779899,0.82333136,0.86490846,1.0727291,1.0851444,1.0898905,1.1623425,1.0998524,1.3309811,1.1243854,1.0125462,1.0314432,1.0804651,1.2002736,0.7544593,0.80228215,0.83967096,1.0427108,1.0282383,1.0341729,0.7831477,1.0577141,1.078577,0.74322236,1.1040876,1.001636,1.0981442,0.89692086,1.0228692,0.88551384,0.82940036,0.91720665,1.0908651,0.6412048,0.66777056,1.2584233,1.2937468,1.0399394,1.1023436
knife,1.119593,1.3321751,1.2160091,0.9282904,0.961255,1.3607018,1.4281236,0.6384119,1.1903452,1.3969637,1.2162349,0.5383515,0.25703603,0.39479315,1.250328,0.94246686,0.8338827,0.8359597,0.94038755,0.6130301,0.6645519,0.99434143,0.79182416,1.2336838,0.78620374,1.2573893,1.0383443,1.0966808,1.1598105,0.4195397,1.3744226,0.34126103,1.0000019,1.1755056,1.3331447,1.3973198,1.1921501,1.3093044,0.9112748,1.2713394,1.1190852,1.2352533,0.7700913,0.44584978,1.0795664,1.432029,0.2995178,1.0165068,0.88878393,1.137623,1.4237537,1.217138,0.0,1.0866882,0.67013574,0.83234394,1.405489,1.4587601,0.3701765,0.77505076,0.70976484,0.79254746,0.70605254,0.6590268,1.3363346,1.3604681,1.0870918,0.47395563,1.1532773,0.90165585,0.4700365,0.73053014,0.8083242,0.99763775,1.0090259,1.2082961,0.9195661,1.4019556,1.3809669,1.2268342,1.1227639,1.1074561,0.4495449,1.4138067,0.53065324,0.43136144,1.2460558,0.5381656,1.026026,1.0878417,1.4565127,0.8534732,1.0214112,1.2883148,1.3709592,0.6970146,1.2446953,1.4418192,0.8961455,0.7089622,0.39958352,1.0733188
ladder,1.129375,1.071605,1.1522435,1.2026613,0.94580144,0.8939444,0.82760763,1.1982381,0.5826359,1.000796,0.78562486,1.078708,1.1896074,1.1712489,0.78610635,1.1413941,0.982734,1.0276432,0.9717444,0.946129,0.98749846,1.1992569,1.0548908,0.6296501,1.0866699,0.7144802,1.0081524,0.66546625,1.0274234,1.2625899,0.70180035,1.202694,1.0382575,0.931663,1.0395422,0.55100685,0.7098031,0.9401746,0.98865354,1.0419917,1.1301031,1.0107758,0.9219681,1.0896295,1.1783524,0.8523984,1.1718855,1.1523566,1.1580241,0.99057263,1.0628004,1.1958308,1.0866882,0.0,0.82619643,0.9675491,1.219934,1.0093931,1.1892391,1.1880229,0.97101957,1.1357943,1.2547874,0.7578939,0.9570032,0.9349716,0.8776648,1.2521267,1.1050127,1.1196399,1.0664756,0.95237416,1.1099299,0.9848695,1.0090462,0.5974577,1.082211,1.002636,0.9798958,0.9479603,1.082147,0.7581896,1.0942118,0.83684784,1.2725828,1.1576024,1.1143192,1.2630093,1.230814,1.0554171,0.8459971,1.206652,1.2918725,1.1673269,0.8671806,1.1010908,1.1495427,1.0178039,0.97828776,0.9682639,1.224272,0.58990574
lamp,1.1878494,1.1533688,1.1158811,1.0115509,0.89307266,1.1116209,1.1077244,0.9186404,0.9531,1.2948513,1.0411644,0.813131,0.73244464,0.744684,1.0175443,1.0663776,0.73939085,0.89208764,0.95165354,0.7862245,0.79214764,1.1246574,0.9570571,0.9608842,0.82759356,1.098284,0.9151329,0.94590473,1.144523,0.85549283,1.0217934,0.77482176,0.72473776,1.1543207,1.2576427,1.0935863,1.0376791,1.1685284,0.98359245,1.200471,1.21455,1.1192958,0.7122569,0.8045807,1.1110828,1.2413659,0.76353085,1.1466583,1.0311817,1.1322844,1.3738142,1.2396493,0.67013574,0.82619643,0.0,0.9258139,1.2858653,1.357864,0.8382281,0.9550196,0.807758,0.9365524,0.9721497,0.7465792,1.2841434,1.2604908,1.0482318,0.86585605,1.1426227,1.0060694,0.87302697,0.720532,0.89134586,0.9413911,1.085334,1.0179145,0.69007754,1.3018377,1.2507136,1.1393541,1.1153662,0.8836726,0.70962983,1.1227224,0.9273517,0.7729291,1.1922569,0.8566782,1.0169885,1.0647306,1.1478717,0.9280153,1.190767,1.129889,1.1734877,0.93847245,1.1937444,1.2523017,0.84018654,0.6640102,0.7554089,0.8663143
leg,1.0996108,1.2068825,1.1474185,1.2001297,1.0200393,0.93193203,1.1267385,0.6043869,0.91488147,1.3471631,1.0489303,0.77298087,0.80513203,0.88845253,0.72437775,1.1430415,0.49683404,0.74217343,1.0292525,0.32707405,0.8062626,0.9600342,0.9829073,0.90156335,0.93826336,1.1108438,1.0221256,0.94373554,1.1185384,0.73989457,1.0490894,0.8709632,1.0967691,1.1687214,1.2898769,1.0345633,0.7690368,1.0285611,1.0006526,1.2217282,1.0896496,1.2492268,1.0674238,0.8464967,1.2923642,1.0282575,0.7817486,1.0110385,0.93473434,1.125282,1.3236381,1.1563667,0.83234394,0.9675491,0.9258139,0.0,1.2513865,1.2004997,0.8722427,0.8490935,0.78363234,0.85826135,0.9865249,0.7563881,1.2499646,0.9872028,1.08684,0.7968461,0.97581375,0.80974114,0.94748354,1.0214893,0.9913501,1.0579705,0.88236153,0.96816534,1.0387046,1.3366444,1.2210208,1.1308185,0.9204512,0.99682957,0.84533167,1.1568923,0.7034451,0.96439916,1.0886276,0.9039918,0.8753547,1.2172098,1.1567956,1.0601112,0.9974986,1.2588925,1.001276,0.6089676,1.2950549,1.2501193,1.0509803,0.45304358,0.86462134,0.9218538
melon,0.61137474,0.7610909,0.7456097,0.88543147,1.0055268,0.9099279,0.9572768,1.152516,1.1004742,0.79874784,1.0161918,1.2853581,1.3091513,1.2794397,0.9395474,0.9174398,1.1345911,1.1730237,1.1062088,1.3278043,1.3375623,0.7534733,1.225625,1.1000068,1.12605,1.06197,1.040822,1.1686904,0.7619509,1.1400422,0.9753401,1.2842278,0.980624,0.9876402,0.7831534,0.8925189,1.072632,1.0176235,1.0195879,0.8386994,0.6770636,0.8275695,1.2450658,1.2861074,0.8344352,0.7789993,1.231051,0.9728026,1.0050371,0.90526605,0.5639801,0.73441076,1.405489,1.219934,1.2858653,1.2513865,0.0,0.6581409,1.2611381,0.9118389,1.2605765,1.1219136,1.0104442,1.3282497,0.92135036,0.8468028,1.0615908,1.1910148,0.81071335,0.9648662,1.3148426,1.2815839,0.9383568,1.1662991,1.0632086,1.1571635,1.1048996,0.79161555,0.8224013,0.9952316,0.9509577,0.9700782,1.2369711,0.8990023,1.1407743,1.233838,0.8505226,1.0263715,0.6812562,0.9452802,0.8957585,1.0848517,0.70650184,0.48435915,0.88783497,1.1445847,0.69557226,0.5527666,1.233791,1.2690703,1.3189373,1.1460648
mitten,0.785545,0.73921096,0.85163987,1.0767308,1.0737584,0.6991285,0.7868667,1.3002907,0.9864948,0.64553994,0.81298876,1.3578675,1.4966313,1.4157615,0.8468206,1.0047516,1.3990517,1.2170191,1.0400351,1.3991299,1.2791892,0.9712052,1.1513077,0.9210773,1.2695382,0.9571432,1.080983,1.0607889,0.7886076,1.4157834,0.8960805,1.4089047,1.144177,0.83977944,0.7176058,0.87113357,0.93024504,0.86403054,1.0336032,0.8389206,0.7344369,0.80306196,1.1793338,1.2964551,0.9114839,0.74874425,1.4207501,0.8054352,1.1073024,0.81014764,0.37019265,0.5505017,1.4587601,1.0093931,1.357864,1.2004997,0.6581409,0.0,1.361887,1.21106,1.1339829,1.1290442,1.1373847,1.3633742,0.7629212,0.759057,0.8663429,1.3537668,0.7878298,1.1725898,1.2891104,1.2334441,1.0402814,1.0478727,1.0697958,1.0184871,1.1921611,0.67470765,0.6770909,0.8371466,0.93258023,1.0162594,1.3244138,0.7896443,1.3483686,1.4070928,0.4994396,1.3893251,1.0409884,1.1308781,0.6578952,1.0936054,0.99378204,0.5736678,0.7304214,1.1681347,0.7234735,0.51134974,1.1708838,1.508791,1.436058,1.0413718
