,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,knife,ladder,lamp,leg,melon,mitten,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
comb,1.0360622,1.1060042,1.0638067,1.0456095,1.0324287,1.1164838,1.1621974,0.9085856,1.1804241,1.1092982,1.0764261,1.0249099,1.0149616,1.0728998,1.1606917,0.96518195,0.96725374,1.1315762,0.7219147,0.984183,0.7285612,0.92962676,1.0006298,1.2008964,0.8958905,1.1593,0.0,1.0443518,0.9356379,0.908774,1.1359041,1.0501838,1.0229286,0.98571825,1.0655923,1.1016494,1.0595745,1.1017486,0.919022,1.0432808,0.95578754,1.0323192,0.8873446,0.8142304,1.0522377,1.1071688,0.9660152,1.0932957,0.82843137,1.0438457,1.0763581,1.0364761,1.0383443,1.0081524,0.9151329,1.0221256,1.040822,1.080983,1.0559034,1.0507085,0.9248838,1.0480399,0.99305594,1.0636402,1.0894191,1.1820683,1.037926,0.9252455,0.9874719,0.96692175,0.9307109,0.8954779,0.91685677,1.1026634,1.1151179,1.2298423,0.99729913,1.0783554,1.0312446,1.0987043,1.0980397,0.9619203,1.069149,1.0865867,1.039227,1.0119903,1.0269434,0.97604334,0.97282493,0.7884793,1.172229,1.035037,0.9429814,0.94354457,0.9212648,1.031537,1.064273,1.0481004,0.74267036,0.9978531,0.9165203,1.028283
couch,1.184903,1.060815,1.1288288,1.111118,0.6525381,0.9270491,0.726519,1.2371382,0.38757336,0.9957729,0.78065467,0.8550885,1.2696753,1.1953845,0.61220104,1.1737646,0.9392359,0.74470353,1.0228683,0.9671363,0.9616244,1.1329943,0.9932497,0.40045518,1.1758504,0.9328802,1.0443518,0.0,1.1224293,1.2711511,0.7067919,1.2575155,1.0880362,0.8881686,1.0348879,0.86065185,0.7376747,0.92157555,1.100489,1.1585908,1.159033,1.1268821,0.87752384,1.0749904,1.0830103,0.9116033,1.2817345,1.0298648,1.1818628,1.0672585,1.0814002,1.1917746,1.0966808,0.66546625,0.94590473,0.94373554,1.1686904,1.0607889,1.2558821,1.093306,1.0875797,1.2912986,1.2095948,0.5460698,1.0068091,0.8977321,0.89809215,1.2107073,0.97553355,1.0489666,1.0331227,1.0188658,1.0605832,0.74458665,0.77228665,0.6093817,1.0215149,0.94063324,0.94664466,1.0154072,0.9372512,0.9353549,1.1160226,0.857854,1.2143713,1.2102113,1.0539434,1.2530757,1.2675807,0.9585928,0.7334907,1.2227237,1.2559633,1.1395793,0.84786856,1.0882752,0.88898915,0.9279064,0.9419085,0.86474717,1.2269839,0.68652797
cracker,0.62259835,1.0510399,1.0024613,0.7374195,1.1314914,0.8182957,1.099557,1.0496389,1.1391339,0.8670919,0.8203356,1.1988051,1.1746812,1.1391938,1.1406325,0.67471224,1.1031636,1.114717,0.82633436,1.038526,0.97155017,0.7268338,0.98196375,1.1577166,0.9588437,1.1585288,0.9356379,1.1224293,0.0,0.89881045,1.1875199,1.163204,1.1537702,1.0753787,1.2296112,1.1629367,1.048153,1.1339278,0.6138007,1.1464915,0.75332147,0.9849438,1.0761406,0.9364442,0.82808906,0.8111062,1.0651582,0.9166067,0.6345063,1.0647681,0.84668565,1.0696962,1.1598105,1.0274234,1.144523,1.1185384,0.7619509,0.7886076,1.1826572,0.81672907,1.0864551,1.1358185,0.8633331,1.1857551,1.060515,1.0856822,1.137532,1.014005,0.9131088,0.6961627,0.9660001,1.0442092,0.60346246,1.2329427,1.0343506,1.186976,1.1558656,1.0374377,1.0449333,1.0969982,1.0315995,0.9391673,1.0919971,1.1082089,1.0434065,0.95892924,0.88520277,0.925297,0.9437173,1.1168039,1.0453213,1.0103824,0.8954403,0.8705319,0.85690355,0.9519128,1.1545572,0.7367902,1.15928,1.1868355,1.13553,1.022817
crayon,0.7808809,1.2990239,1.1150054,1.0075191,1.1508543,1.2609494,1.4969362,0.49232548,1.4351017,1.4609553,1.2268872,0.64382684,0.30071306,0.4578086,1.2810194,0.9079352,0.6294963,0.8928513,0.7914115,0.51841044,0.7567256,0.4608208,0.93798685,1.4379054,0.7786797,1.3709899,0.908774,1.2711511,0.89881045,0.0,1.4915966,0.35427666,1.1050241,1.3060288,1.46575,1.4695549,1.1802104,1.3951747,0.7709777,1.3175651,0.8715021,1.2178159,0.92725277,0.5483558,1.1997054,1.3036623,0.26464462,1.0658548,0.59506947,1.2594842,1.3414645,1.1311877,0.4195397,1.2625899,0.85549283,0.73989457,1.1400422,1.4157834,0.31058866,0.698337,0.71675545,0.7771357,0.39330804,0.9644313,1.4742472,1.3354653,1.2350259,0.31334853,0.90944344,0.60158956,0.54995,0.95010436,0.76170623,1.2646158,1.0443825,1.4197335,1.0054327,1.4855723,1.3664579,1.3037796,1.1213025,1.1841532,0.56506485,1.4575884,0.4793114,0.3257749,1.1716539,0.4117815,0.793328,1.133496,1.5867238,0.883221,0.68337846,1.0748186,1.2502328,0.5732735,1.3332434,1.3278271,1.097894,0.6369933,0.37463337,1.1926619
crib,1.1577436,0.9363009,1.1156952,1.2152117,0.80306894,0.6817477,0.3203839,1.3097187,0.501199,0.7686386,0.6834593,1.1834852,1.3285253,1.2127174,0.68175614,1.3965497,1.0997446,1.1802127,1.2690988,1.1822753,1.1765336,1.3688195,1.2539635,0.5618007,1.2295332,0.32947612,1.1359041,0.7067919,1.1875199,1.4915966,0.0,1.2749081,0.9987301,1.0449756,0.82622737,0.27269745,0.69335055,0.66353476,1.3511128,0.9770155,1.2982178,0.84596944,1.2089288,1.4674869,1.1001242,0.57766163,1.4500806,1.2526629,1.4052889,0.8670489,0.9711365,0.9590224,1.3744226,0.70180035,1.0217934,1.0490894,0.9753401,0.8960805,1.3172148,1.3928092,1.2301233,1.2360929,1.2869798,0.96431357,0.71286803,0.71722746,0.7753458,1.4795828,1.0127168,1.3303164,1.4982699,1.1588838,1.3899821,0.96641964,1.1733725,0.46432567,1.1442349,0.6877157,0.6577361,0.7170546,1.0678078,0.6539402,1.0510677,0.26421607,1.4595234,1.2454803,0.87541014,1.4234114,1.2859707,1.2490413,0.4989156,1.2499079,1.3748701,1.0183067,0.6857108,1.397063,0.93321955,0.73161703,1.0625018,1.1201595,1.2915716,0.821192
cup,1.0413659,1.1919461,1.1608831,1.066376,1.1125035,1.2283384,1.323029,0.5984571,1.2729474,1.3357651,1.2050948,0.6058248,0.1110847,0.1604011,1.2633113,1.0300391,0.8546827,0.9073415,1.0248243,0.65529835,0.8346791,0.93174845,0.9502718,1.3536177,0.91080606,1.1441683,1.0501838,1.2575155,1.163204,0.35427666,1.2749081,0.0,1.0928057,1.2656043,1.2864602,1.306085,1.1887935,1.246032,0.9024054,1.2349643,1.1789584,1.1274426,0.97541803,0.70486975,1.1863878,1.2847261,0.2980091,1.1563294,0.788707,1.0960963,1.3841858,1.021273,0.34126103,1.202694,0.77482176,0.8709632,1.2842278,1.4089047,0.1984359,0.88544106,0.71091443,0.77813005,0.6026199,0.8873794,1.297893,1.2980661,1.0976177,0.47742027,1.1886741,0.98222893,0.5354273,0.90283936,0.93634766,1.1873488,1.1225913,1.2402194,0.9985697,1.35323,1.3204865,1.1762258,1.210779,1.1143249,0.24652779,1.2861902,0.56280196,0.23280835,1.2369945,0.5296134,1.0768905,1.1959878,1.3991448,0.7149863,0.9328681,1.2463938,1.3162309,0.70784944,1.2091738,1.3443011,0.9798201,0.7481573,0.20001686,1.1271147
deer,1.1323462,1.0279757,0.9956087,0.79474777,1.0339212,1.1774956,1.0326936,1.1486442,1.0594605,1.1119459,1.1128715,1.0585401,1.0488726,1.0732937,1.1535336,0.9405453,0.9713948,1.0037296,1.0449678,1.080141,1.0280335,1.1001667,0.7999527,1.0329043,0.9055841,1.0438507,1.0229286,1.0880362,1.1537702,1.1050241,0.9987301,1.0928057,0.0,0.98320717,0.9336947,1.0234857,1.1611793,1.0144655,1.1090115,0.91731596,1.0797414,1.0900418,0.755082,1.025588,0.8069955,1.1260288,1.0331497,0.90152216,1.2112917,0.9220965,1.1530696,1.1322309,1.0000019,1.0382575,0.72473776,1.0967691,0.980624,1.144177,1.0626442,0.88156235,1.0319295,0.9927361,1.1541563,1.0293422,1.1173297,1.1103085,1.0695689,1.0650373,1.0881976,1.051347,1.1266783,0.8273141,1.0041094,0.7602239,0.98215985,1.006463,0.3305608,1.0559283,1.0601994,1.1481436,1.0884113,1.005255,1.150496,1.1113224,1.0989752,1.079951,1.2268438,0.9279971,0.8032205,0.8232002,0.9887861,1.0263151,1.08028,0.97339827,1.1589494,1.0566666,0.89799845,1.1552083,0.82526064,0.93434936,1.0837417,1.0603669
dog,1.1256247,0.9598259,1.0225531,0.9113064,0.9556172,1.085114,0.92364335,1.2069478,0.92783666,0.7842628,0.9989446,1.1252416,1.2859871,1.2898381,1.1223727,0.9280518,1.2406597,1.0520859,1.0682462,1.2462023,1.1010227,1.0763599,0.8697077,0.86338615,1.1207069,1.0447954,0.98571825,0.8881686,1.0753787,1.3060288,1.0449756,1.2656043,0.98320717,0.0,0.8036145,0.9716322,1.1011007,0.85374385,1.0778582,0.9062029,0.99358964,1.075439,0.91790444,1.0885701,0.8277045,0.9577887,1.1543494,0.8142793,1.2380208,0.6542716,0.8692053,0.9779163,1.1755056,0.931663,1.1543207,1.1687214,0.9876402,0.83977944,1.1808875,1.0548676,1.0214635,1.1710804,1.2011563,1.0356609,0.735165,0.801575,0.9899708,1.1855468,1.1258128,1.0650147,0.96494395,0.92692375,0.99027264,0.89334476,0.86860055,0.84709936,0.9837644,0.8244968,0.837175,0.9851519,0.9899484,1.0549116,1.2803855,1.001758,1.2034872,1.2169331,1.0089722,1.1636095,1.0605997,0.6329353,0.83437085,1.19086,1.057838,1.0452968,0.88720596,1.1197141,0.9274062,0.97261626,0.932139,1.2020632,1.2394714,0.90234655
doll,1.0667506,0.79704434,0.93881726,1.0316293,1.0714102,1.0663631,0.6991254,1.2455487,1.042009,0.39792937,0.90493745,1.357944,1.2970045,1.3435731,1.0392271,1.1717956,1.3809259,1.2560067,1.187456,1.450019,1.3094435,1.2511072,1.0659956,0.93192315,1.2355769,0.864372,1.0655923,1.0348879,1.2296112,1.46575,0.82622737,1.2864602,0.9336947,0.8036145,0.0,0.82940453,1.1332022,0.78865254,1.2344824,0.25992584,1.037844,0.9343855,1.1446106,1.3819647,0.79301363,0.74000204,1.355799,1.0387396,1.3110694,0.82696474,0.53006923,0.65297455,1.3331447,1.0395422,1.2576427,1.2898769,0.7831534,0.7176058,1.2487423,1.236728,1.1848859,1.0107298,1.2478619,1.2843146,0.45345354,0.8011553,0.93842804,1.3667305,0.99947155,1.2683105,1.323159,1.1172282,1.2942138,0.9314517,1.0681883,0.92208207,1.0784063,0.33577168,0.6171316,0.7841844,1.0258688,1.1438439,1.3396924,0.5849281,1.3569865,1.2903596,0.9363593,1.3797114,1.1072947,0.79425466,0.71113765,1.0153829,1.0845301,0.8792566,0.9365584,1.311779,0.5264642,0.73584163,1.0430286,1.3682438,1.3009069,1.0614742
door,1.1360161,0.97440064,1.1253976,1.2421348,0.93403685,0.75926495,0.55066097,1.3208504,0.5634057,0.82588714,0.8728333,1.2364672,1.3255105,1.2930508,0.65839493,1.2699476,1.01805,1.2079941,1.2779133,1.12819,1.2059374,1.2308519,1.2458272,0.6424239,1.1663439,0.38926786,1.1016494,0.86065185,1.1629367,1.4695549,0.27269745,1.306085,1.0234857,0.9716322,0.82940453,0.0,0.6909306,0.6342602,1.3035452,0.9495374,1.1772656,0.8909823,1.2334276,1.4119931,1.1499722,0.6096893,1.3988736,1.1873682,1.3665707,0.8685036,0.91404504,0.94453114,1.3973198,0.55100685,1.0935863,1.0345633,0.8925189,0.87113357,1.331216,1.289374,1.174807,1.2098262,1.2948711,1.0325861,0.7189069,0.55407214,0.77842396,1.4611928,1.0092281,1.2948334,1.461995,1.1957784,1.3575469,1.0663463,1.1319308,0.44515765,1.1822412,0.7411305,0.7329569,0.7622739,1.0243751,0.5704346,1.1344042,0.47818363,1.3989636,1.2750068,0.9626119,1.322998,1.1308831,1.1361119,0.63255894,1.270437,1.2275546,0.9458714,0.71383,1.2775364,1.0298964,0.7837445,1.1203352,1.101395,1.3564973,0.7469784
