,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
bench,0.8311129,1.3199527,0.80348104,1.168622,1.5244964,0.95077133,0.70798934,0.4733615,0.34844863,1.4871242,0.0,0.7117648,0.9758309,0.66736704,0.8439677,0.91254634,1.5644569,1.0110555,0.39176047,0.87737066,0.7687399,1.4103336,1.3031458,1.4746261,0.8765161,0.49569672,1.417259,0.7779639,0.8895861,1.2627802,0.33068013,1.2308873,1.4995093,0.45617682,1.2495492,1.0087364,1.1593838,1.0783933,0.91944385,0.8730141,1.2472185,0.9546756,1.315011,0.773276,1.3786007,1.2023191,1.2377731,1.0440245,1.3126793,1.2537775,1.003398,1.3652399,0.7319685,1.0348868,0.8852575,0.95605445,1.5662632,1.1802298,1.1615973,1.0413464,0.8690395,0.6985754,1.2912451,0.613088,1.4378369,0.594287,1.0387796,0.5945384,0.9750448,1.2609088,1.4835051,0.5226513,1.4521984,1.3094349,0.6647283,0.7138274,0.5374398,1.1988448,1.2745017,1.3908806,0.79241663,1.1397551,1.1684154,1.3101965,1.3072132,1.3541434,0.7933151,1.2087197,1.2774839,1.3519514,0.7206911,0.9482589,0.78701365,0.39634,0.65997785,1.6004084,0.9055637,1.5489926,0.8033159,0.8850877,0.6703558,0.3296337,1.3037202,1.4941788,0.85167074,0.8988959,1.100148,0.30890518,1.1830387,1.2116859,1.4917797,0.8111667
bib,0.961588,1.1814812,0.6954062,0.90447617,1.3604251,0.92436874,0.9442779,0.7029819,0.5411646,1.2371894,0.7117648,0.0,0.9590079,0.70383984,1.0027727,0.83302546,1.4098077,1.1153553,0.66097367,0.9147835,0.95914245,1.3878512,1.2454747,1.3612218,1.0181755,0.7971802,1.2661914,0.94319683,0.7823245,1.2098699,0.5929303,1.1745979,1.3997099,0.5872222,1.2654393,0.9786231,1.1206534,0.9303373,1.0130314,1.0096824,1.0655423,1.0515753,1.271686,0.8413296,1.191491,1.2452052,1.2452639,0.8572653,1.2627919,1.024901,1.0288726,1.2281282,0.8134875,0.9632763,0.85514075,0.8874484,1.4130373,1.1313487,1.1932973,0.8522217,0.83315027,0.7507769,1.2409694,0.7911684,1.4320164,0.7577411,1.0139174,0.7043619,1.0898436,1.1523554,1.3598894,0.89606816,1.2816087,1.2744327,0.29104996,0.8147454,0.5963305,1.2226996,1.2828536,1.2726696,0.8075485,1.1714872,1.0245577,1.2598987,1.3467221,1.3579566,1.0798535,1.2168235,1.2446073,1.285782,0.37786138,0.78842527,1.0464411,0.66967463,0.69596505,1.3935149,0.79474866,1.392225,0.93929064,0.9394118,0.6041192,0.565578,1.1193732,1.3104053,0.9142657,0.8863481,0.9919809,0.779851,1.1199073,1.3455324,1.2158859,0.88610667
bird,0.8129427,1.120331,1.0327865,1.1778054,1.0244709,0.96306074,1.0336448,0.8490164,0.9135673,1.0408068,0.9758309,0.9590079,0.0,0.93656206,1.0892289,1.097943,1.0918608,1.1499146,1.04523,1.1774898,1.0217842,1.0992644,1.0063745,1.0992259,0.54607904,0.9393727,1.1116524,1.0610135,0.82900125,1.1101012,0.93235517,0.89080924,1.0961201,0.9551708,1.1318914,1.0312583,1.0598816,1.0332044,0.97490877,1.1649437,0.8606065,0.9146055,1.1351464,0.7300353,1.1649404,0.93668604,1.0671675,1.057243,0.9451382,1.0591855,0.8853493,1.0823058,1.0095558,1.1769295,0.9696177,1.1491264,1.1345314,1.07531,0.96186495,0.86315453,1.0160787,0.94675773,1.103403,1.1243436,1.0235133,1.0028783,1.1250126,1.0122201,0.92741984,1.0481575,1.0899811,1.0015925,1.0226138,1.0733703,0.9204833,0.9830442,1.0098681,1.1245148,1.1444017,1.0223123,0.90736455,1.0740896,1.1761653,0.9576883,1.0410721,1.0283834,0.9655874,1.1031361,1.1571077,1.1766943,0.6517443,1.1052883,1.0806365,0.92633796,0.78766453,1.1390042,1.0539858,1.0943496,1.0674747,1.0857309,0.7728267,0.9776437,1.1378775,1.1684467,1.0910642,0.79089546,1.1531765,0.98192835,1.0225312,1.0032967,1.153101,0.89714026
blanket,0.9061138,1.2549663,0.85014915,1.0591697,1.3656443,0.9122629,0.75064147,0.8473252,0.3102883,1.217124,0.66736704,0.70383984,0.93656206,0.0,0.85387516,1.1068043,1.3560861,1.2092216,0.9683546,1.0293918,1.0882299,1.2372999,1.2368222,1.3101053,0.8418952,0.6160826,1.2924987,0.70083666,0.815311,1.2035508,0.48279858,0.9370031,1.282918,0.7055322,1.296059,0.99218005,1.1576306,1.0168953,0.9800296,0.9698953,1.0066609,1.0056204,1.2240081,0.687338,1.2048088,1.0663311,1.3553042,0.92348367,1.1497068,1.1537759,1.1426691,1.2224884,0.7002995,1.209134,0.9613647,1.1026292,1.355777,1.1690042,1.0827342,0.8223264,0.9241476,0.69366,1.0784621,0.8906245,1.2958956,0.79487854,1.106006,0.6219653,1.0675347,1.1789007,1.2896107,0.5455642,1.1039861,1.1713374,0.6940725,0.79186785,0.8456239,1.179386,1.1852291,1.1837268,0.15782982,1.1598672,1.2228482,1.1248075,1.1263423,1.1912408,0.9109857,1.341423,1.1326817,1.2615094,0.76807714,0.791118,0.9818923,0.88333446,0.9511243,1.2307603,0.7750054,1.2383763,1.0837971,1.0132813,0.81728345,0.85775256,1.210632,1.2731414,1.0393281,0.5127536,1.254819,0.9831059,1.1211672,1.12246,1.1834606,0.8950073
boat,0.5590388,1.1902078,0.9685931,1.0921643,1.2029567,1.0007209,0.93907726,0.82447517,0.83752334,1.0988449,0.8439677,1.0027727,1.0892289,0.85387516,0.0,0.97347355,1.2193117,1.0562066,0.91101456,1.042289,1.0675153,1.2937866,0.8661298,1.2458433,1.0406412,0.92218554,1.1006155,0.9170671,1.019226,0.9654914,0.85903037,1.0035089,1.1370702,0.93668884,1.218395,0.9708797,1.0135323,1.1230766,0.9140904,0.94856644,1.0804689,1.0718373,1.1285324,0.70763373,1.1740851,0.8981677,1.1285375,1.0013349,1.0991306,1.036039,1.0413897,1.1117373,0.92642,1.023087,0.9216407,1.0799123,1.2300751,1.0184113,0.95809644,1.0268588,1.0274568,0.8888155,1.1129916,0.99539083,1.1083405,0.941166,1.1003178,0.87983346,0.8830172,1.0433779,1.1821526,0.95248604,1.1777918,1.1617382,0.9426507,0.9553434,0.8435558,1.0690793,1.0564183,1.17307,0.9628586,0.96684897,1.0836604,1.2358721,1.1181269,1.1207417,0.9479223,1.1478944,1.0568826,1.1292027,0.9797357,0.9539746,0.73051286,0.85313934,0.96710044,1.1533798,0.94245106,1.1475523,1.0708349,1.0632852,0.92337704,0.9219605,1.053924,1.1891501,1.0381744,0.9760984,1.0513251,0.8556284,0.85955334,1.0739671,1.0650955,0.7893335
book,1.0774417,1.0145614,1.0073358,1.0220026,1.1006742,0.9755149,0.8604679,0.84724414,0.80470467,1.0304327,0.91254634,0.83302546,1.097943,1.1068043,0.97347355,0.0,0.9277349,1.008203,0.4148212,1.2168849,0.793791,1.0312593,0.77171814,1.132016,1.216056,0.9634521,0.9819832,1.1566814,1.2430685,0.95905244,0.8326099,1.177393,0.9867519,0.59175956,0.9206033,0.9738382,0.85758233,0.9087965,0.966562,0.9309834,1.1514579,1.1633801,1.167848,1.2274277,1.1507397,1.0870482,0.9661031,1.111467,1.2420425,0.76133466,0.95747787,1.1764332,1.1844388,0.55846375,1.1116753,1.0149547,1.2266567,0.8762514,1.0371333,1.2008605,1.0321274,1.2184889,1.1657692,0.63465375,1.0937607,1.183947,0.7180015,1.1368393,0.9703546,0.98684084,1.1384734,1.0560694,1.1849082,1.0445244,0.9638509,1.10658,0.43334872,0.8291359,0.94249856,1.069777,1.1676466,0.93675923,0.93360746,1.159661,1.0793413,0.90778846,1.12516,0.9039288,0.91367024,0.97595984,1.0747263,1.1659807,1.1513233,0.8705311,0.8826935,1.2261118,1.2358184,1.1092237,1.0880487,1.0194284,0.97038627,0.6217104,0.93667823,1.1951898,0.95081526,1.2895257,0.6165308,0.76306933,0.8870143,1.135515,1.13768,1.0392698
bottle,1.2763221,0.6814361,1.2392273,0.98633975,0.36787438,1.1472715,1.1286948,1.3959311,1.5069184,0.44722784,1.5644569,1.4098077,1.0918608,1.3560861,1.2193117,0.9277349,0.0,0.78731835,1.3310966,1.266446,0.9487574,0.45062327,0.5376438,0.45256746,1.2704818,1.3950382,0.48588002,1.2087138,1.2492279,0.88042146,1.4924862,0.88719577,0.33513403,1.4197807,0.42345476,1.023027,0.88944906,1.0415541,1.0921245,1.0650388,0.9569686,1.1974957,0.71030116,1.4024298,0.79999673,0.91211563,0.7209525,1.0625513,0.8467078,0.94568276,1.0135597,0.7211871,1.4216964,0.87422097,1.2664843,1.2245983,0.5001008,0.84988254,0.9020039,1.1706228,1.0561383,1.468239,0.7685844,1.2773848,0.4464994,1.3975078,0.68713355,1.5541463,1.03252,0.87212145,0.30660927,1.2804778,0.5297375,0.6728651,1.4014704,1.4131176,1.370039,0.7036603,0.69128484,0.5945848,1.2670951,0.91262454,0.83788145,0.82867587,0.59099436,0.44139206,1.0358112,0.7074701,0.7916736,0.73456824,1.4151013,1.2745866,1.1810086,1.4432701,1.2242482,0.46949422,1.3185264,0.5734488,1.1406202,1.2322409,1.4485778,1.4414352,0.5997445,0.58030736,1.0701972,1.2042034,0.71110433,1.3437927,0.78372896,0.7698419,0.57585824,1.2292067
bowl,1.0960468,0.6553666,1.1471593,0.71572393,0.72414124,0.8787153,0.76774645,0.97940266,1.1873276,1.1285299,1.0110555,1.1153553,1.1499146,1.2092216,1.0562066,1.008203,0.78731835,0.0,0.8205819,0.8416083,0.6065223,1.0433555,0.9394931,0.9176576,1.2593241,1.1438737,0.84757376,1.2052718,1.2709725,1.1468898,1.1761703,1.124567,0.97209835,1.0760037,0.38555795,0.7049581,1.0817835,1.0746888,1.0556049,0.88754416,1.2161065,1.0394062,0.80942357,1.2340335,1.0842015,1.1406524,0.87387496,1.1024336,1.2326933,1.0386509,0.7109662,1.0896165,1.1017182,0.4649918,1.203248,0.9900977,0.9055282,1.0444082,1.0990613,1.2290001,0.9856599,1.2661922,1.1267592,1.101958,0.8568611,0.85584986,0.85428226,1.1634773,1.1529531,0.89065844,0.91536725,1.0721277,1.1440523,0.83368796,1.2023381,1.2372783,1.098337,0.96724516,1.0081322,0.9156492,1.247202,1.0237707,0.38211018,0.9746406,1.1368551,1.0404724,1.1289157,0.78407466,1.1928295,0.90625304,1.2234249,1.0811468,0.8360883,0.82994586,1.0038481,1.026167,1.1465882,0.7711196,0.777727,1.0579754,1.231665,0.93166745,0.46118647,0.972615,0.87435436,1.2911135,0.65331984,0.7298647,1.0836574,1.16738,1.1040648,1.197142
box,0.97062445,1.2457943,0.93475914,1.1235735,1.4474127,0.95640785,0.7445543,0.655022,0.5590498,1.358464,0.39176047,0.66097367,1.04523,0.9683546,0.91101456,0.4148212,1.3310966,0.8205819,0.0,1.0191423,0.5763883,1.2236197,1.0728177,1.367389,1.1071864,0.56383616,1.3050387,0.9510706,1.0964562,1.182646,0.48784256,1.281611,1.3554521,0.2351945,0.9761248,0.92170984,1.123937,0.93013406,0.901271,0.90711427,1.2433989,1.0453395,1.3137448,1.0114846,1.3102573,1.2751805,1.2047297,1.0695872,1.3952196,1.0126439,0.99824935,1.3505561,0.8975481,0.64136803,0.9516135,0.96227777,1.537939,1.1306539,1.1925516,1.0910048,0.84314317,0.91904444,1.3370683,0.46699047,1.415514,0.89385676,0.8702041,0.8088522,0.9310342,1.205927,1.4244995,0.9560795,1.4298203,1.2594805,0.76399344,0.9089482,0.40746862,1.0450042,1.1877837,1.2978743,1.1455543,1.1052473,1.0494082,1.2526981,1.2578421,1.2324606,0.96519566,1.1464927,1.0630152,1.1823475,0.85876596,1.0418634,0.8939402,0.48968422,0.58416045,1.5324655,1.0708947,1.4174685,0.8887422,0.862222,0.78422034,0.32072556,1.1089047,1.5075974,0.82239246,1.1399443,0.6907099,0.23112583,1.0264722,1.2025771,1.4211882,1.0081521
bread,1.0985467,0.84499043,0.8444358,0.7560271,1.0743115,0.7484423,1.0843776,0.9393179,0.9861696,1.1899117,0.87737066,0.9147835,1.1774898,1.0293918,1.042289,1.2168849,1.266446,0.8416083,1.0191423,0.0,1.136777,1.1933057,1.3611642,1.0350409,1.0664634,1.0753359,1.122133,1.006437,0.98507375,1.1159425,1.0011014,0.99988216,1.2344853,1.1032063,1.1069553,0.9810286,1.1853204,1.0884602,0.9764496,0.8366157,1.1478491,0.72328484,0.71020734,0.9818817,0.5932337,1.2236354,1.2313921,1.0407453,0.98577565,1.1374798,0.94632256,0.8242075,0.8159348,0.8705207,0.79052603,0.46520674,1.0163264,1.1893961,1.2378587,1.1316116,1.0219554,0.70878696,1.1277312,1.0499812,1.2020973,0.4475633,1.2093253,0.71559775,1.2038586,1.0693842,1.0002953,0.90494746,1.1627201,0.84172606,0.9444982,0.6700591,0.9769033,1.2161169,1.1327354,0.9158013,1.0414063,1.2349424,0.7188069,0.84935045,1.3379893,1.3254485,1.1636676,1.1618564,1.1828482,1.0811093,0.93290824,0.8111857,0.9326335,0.82676744,1.1050327,1.0223857,0.7731067,1.108334,0.9592471,1.0502357,0.99735564,0.94908667,0.9810614,0.8063625,0.87031895,1.0646125,1.1734048,0.9387338,1.2679074,1.3228034,0.9149652,1.1109343
bucket,1.1114348,1.1085801,0.82964313,1.1703702,1.1552072,0.9888956,0.7487873,0.901564,0.99972564,1.1508712,0.7687399,0.95914245,1.0217842,1.0882299,1.0675153,0.793791,0.9487574,0.6065223,0.5763883,1.136777,0.0,1.0380384,1.1037103,1.1816826,1.1854405,0.8169081,1.1047336,0.99151075,1.0945966,1.0834669,0.91386867,1.1959038,0.97985375,0.73198533,0.30890977,1.0454373,1.1560128,1.0797921,0.9173923,0.97463065,1.0592632,1.1828839,1.2264563,1.1264298,1.3018126,1.0744463,1.018499,1.1357329,1.2139802,1.1845695,0.8096665,1.2439548,1.0151689,0.8399699,1.1422465,1.0924344,1.2743561,1.137488,1.0047758,1.030575,0.81364965,1.1309636,1.0019753,0.67696,1.0547231,0.99531007,0.67599416,1.0710763,0.9395282,1.1441758,1.2880024,0.9005679,1.2093602,1.151059,1.0210961,1.0418605,0.78934467,0.72632337,0.85819894,1.1716666,1.115705,0.9320332,1.0184587,1.1864765,0.98143053,1.0157323,0.83647764,1.0009886,1.0239941,1.0837567,1.0229727,1.1148415,0.6628563,0.8351084,0.9219649,1.3095322,1.0705947,1.1238251,0.8229704,0.9591486,1.1017267,0.7111564,0.937582,1.3060206,0.6270911,1.0634999,0.97466624,0.5654318,1.0490623,0.9177006,1.2521706,1.0466652
can,1.3571745,1.0056167,1.3136986,1.1181424,0.67954606,1.2240956,0.9630532,1.4565444,1.4353824,0.4091528,1.4103336,1.3878512,1.0992644,1.2372999,1.2937866,1.0312593,0.45062327,1.0433555,1.2236197,1.1933057,1.0380384,0.0,0.74158496,0.4711178,1.0649693,1.0421952,0.64462507,0.997297,1.1054432,0.9148043,1.3391142,0.81881595,0.50252545,1.1622821,0.68465835,1.1334475,0.93157035,0.7902285,0.9817883,1.016588,0.73326766,1.0761784,0.882964,1.2738585,0.6540061,1.0231779,0.9371681,1.0173285,0.66032875,0.83318144,1.1511774,0.5422872,1.2208828,1.1702166,1.1690291,1.1191707,0.5319172,0.9010303,1.0304,0.9690036,1.2051548,1.2598331,0.7516072,1.0290262,0.6264436,1.4958838,1.0848618,1.3607602,1.0304278,1.0636586,0.47833902,1.2512603,0.41836268,0.838457,1.3741952,1.1537503,1.4732275,0.871975,0.8054328,0.5699519,1.0413496,0.9836469,1.090594,0.67025703,0.4074024,0.55284953,0.99517006,0.8910532,0.57632124,0.65908206,1.4109578,1.1639038,1.1444823,1.4993252,1.2243459,0.39132833,1.2217953,0.7299508,1.2221558,1.0793005,1.3965998,1.482209,0.9441786,0.66435736,1.1838075,0.8923889,0.84470844,1.3120545,0.8617796,0.52050567,0.5223179,1.1367913
car,0.9483032,0.84442705,1.2533776,1.0312601,0.5753264,1.0455072,1.0159456,1.2688241,1.2698693,0.66826093,1.3031458,1.2454747,1.0063745,1.2368222,0.8661298,0.77171814,0.5376438,0.9394931,1.0728177,1.3611642,1.1037103,0.74158496,0.0,0.694125,1.167726,1.2089913,0.65401614,1.257345,1.2712977,0.8976899,1.2555851,1.0277113,0.57384694,1.1495991,0.8222429,0.94427687,0.669729,0.8892713,1.082201,1.0683913,0.9435005,1.154643,0.9146429,1.2440621,1.057802,0.9227051,0.69091976,1.041914,1.0232521,0.6069807,1.1181026,0.9201669,1.3501102,0.78065693,1.2476544,1.2408644,0.73659855,0.6616617,0.9232693,1.1403205,1.0957007,1.4659957,0.97521603,1.2112797,0.6869024,1.3911229,0.9403381,1.4331021,0.90997756,0.79911536,0.6520264,1.2878175,0.8803239,0.8115754,1.2604697,1.4425297,1.2247465,0.7461997,0.82754326,0.8193439,1.2449758,0.93427956,0.9617726,0.99253494,0.7880214,0.6287509,1.2352953,0.6676768,0.8901124,0.6628272,1.3025174,1.245522,1.2786475,1.2952471,1.0689744,0.68885803,1.3302065,0.6988168,1.1952285,1.1576113,1.2706401,1.2466998,0.6763334,0.81840765,1.1667699,1.2310978,0.39866263,1.1297247,0.49552852,0.9240472,0.77584815,1.1208439
carrot,1.2310314,0.63190895,1.1826178,0.8425292,0.49573112,1.1439518,1.1528542,1.4074602,1.5014412,0.5410023,1.4746261,1.3612218,1.0992259,1.3101053,1.2458433,1.132016,0.45256746,0.9176576,1.367389,1.0350409,1.1816826,0.4711178,0.694125,0.0,1.1332436,1.3868812,0.7519478,1.2498273,1.149195,0.9052651,1.4941009,0.78708804,0.3950311,1.413142,0.73180515,1.016783,0.8994565,1.0069517,1.1411617,1.0924966,0.89117324,1.0532799,0.5970913,1.2972798,0.51150215,0.9704725,0.68231773,1.084508,0.67021006,0.83200026,1.0322069,0.6044606,1.333825,0.95218176,1.1936235,0.9375268,0.5082507,0.86961937,1.007187,1.092996,1.1901797,1.2981515,0.66447115,1.2943654,0.6586743,1.2945597,1.1556151,1.4138248,1.1621169,0.9023725,0.34378684,1.2371343,0.5109035,0.5278075,1.3840452,1.2499149,1.4647245,0.7643725,0.7294267,0.5753756,1.2243454,0.99890786,0.85252756,0.5600498,0.7179419,0.76162934,1.1996195,0.656456,0.80403525,0.5550458,1.3752472,1.2476623,1.2366804,1.4341047,1.243452,0.4229539,1.1957408,0.5482917,1.1266665,1.2312168,1.3708365,1.4822447,0.8120018,0.47741073,1.0774782,1.1204127,0.8350351,1.371218,0.89874065,0.8550693,0.5133666,1.1803216
cat,0.7745453,1.232572,1.009023,1.1220973,1.1992629,1.0555054,1.0096864,0.8754189,0.8543166,1.0906775,0.8765161,1.0181755,0.54607904,0.8418952,1.0406412,1.216056,1.2704818,1.2593241,1.1071864,1.0664634,1.1854405,1.0649693,1.167726,1.1332436,0.0,0.73603415,1.1882812,0.8008943,0.7846585,1.0587682,0.8546725,0.8031034,1.2339265,0.97953194,1.3617051,1.0758423,0.9624908,0.76673985,1.01031,1.2669318,0.93227595,0.8101187,1.1638668,0.64800304,1.0442984,0.962634,1.1894898,1.0164331,0.86872107,1.0827435,0.9447788,1.0032713,0.8462622,1.2417198,0.70284534,0.9689409,1.0923643,1.06764,1.0410156,0.8136895,1.0603477,0.7626346,0.9712865,1.075913,1.1366135,0.98141426,1.2380012,0.7859693,0.9120922,1.1492455,1.1649055,0.924882,1.0174166,1.1241475,0.9180449,0.84385407,1.0733199,1.1900765,1.1940002,1.0819151,0.76438546,1.0257058,1.2277691,0.8822862,1.0766388,1.0216954,0.83937335,1.3290992,1.0799755,1.1858637,0.81234276,1.0122521,1.0691366,0.9140545,0.8308633,1.1206878,0.9796655,1.1341968,1.0240027,0.98490983,0.7488967,1.0302424,1.3193907,1.1681551,1.1573056,0.70318574,1.2745074,1.0499085,1.1154443,0.95181566,1.1952312,0.7400881
chair,0.91958874,1.5081748,1.0383883,1.3062813,1.4731686,1.0533054,0.7481192,0.72061163,0.48561734,1.2669817,0.49569672,0.7971802,0.9393727,0.6160826,0.92218554,0.9634521,1.3950382,1.1438737,0.56383616,1.0753359,0.8169081,1.0421952,1.2089913,1.3868812,0.73603415,0.0,1.4219049,0.48169696,0.77082235,1.2471572,0.32255602,1.1119958,1.4182644,0.34951484,1.2014639,1.1186055,1.2226614,0.78869265,0.8383727,1.100253,0.9795789,0.9910195,1.4490225,0.74560153,1.3114337,1.1892747,1.3897233,0.98174506,1.1677927,1.2003955,1.0764862,1.2761537,0.5955193,1.1599617,0.91211903,1.1166558,1.4391134,1.2447054,1.1535088,0.6880956,0.92952824,0.6725953,1.2203969,0.5152563,1.4061513,0.95357674,1.0480156,0.59811926,0.8710693,1.323124,1.4368858,0.84122396,1.2341821,1.3490343,0.72567236,0.6882462,0.8103198,1.2078774,1.3207692,1.2659478,0.6159697,1.0776602,1.3684635,1.1343236,1.0019192,1.1217108,0.75598395,1.4017568,0.983617,1.2521884,0.8359731,0.9446461,0.8434204,0.7296097,0.6817595,1.4344685,0.9543382,1.4567654,0.96652514,0.71910036,0.77545923,0.63532805,1.274409,1.5193726,1.0461425,0.52348125,1.0842068,0.6170241,1.0682701,0.8560617,1.3923517,0.9084461
clock,1.1235309,0.7551459,1.2683247,0.9168903,0.41709125,1.136184,1.1059645,1.236674,1.3679516,0.5754738,1.417259,1.2661914,1.1116524,1.2924987,1.1006155,0.9819832,0.48588002,0.84757376,1.3050387,1.122133,1.1047336,0.64462507,0.65401614,0.7519478,1.1882812,1.4219049,0.0,1.2953329,1.3719119,0.9079436,1.3976294,0.99075305,0.58161604,1.3326954,0.7343532,0.9255946,0.64392674,0.9997998,1.1145706,0.8676792,1.0292667,1.0180639,0.7503537,1.2739681,0.90656805,0.9222158,0.72651285,1.074337,0.9125091,0.71853375,1.1069036,0.7310928,1.3629657,0.98530525,1.2249682,1.2596996,0.4529239,0.6124045,0.9232784,1.2654488,1.1372111,1.4167192,0.9968075,1.26646,0.31759083,1.303127,0.9154347,1.4608498,1.0847998,0.7622216,0.50505483,1.3066177,0.7127599,0.79069555,1.3544017,1.3613579,1.2251861,0.8613224,0.7845764,0.7589584,1.2616808,0.97904897,0.70015734,0.9275809,0.76752675,0.66020364,1.1927736,0.579304,0.9298528,0.7400554,1.3385679,1.233356,1.1887149,1.25228,1.2261413,0.58683145,1.2819928,0.6299637,1.1384152,1.0716108,1.2948174,1.3009449,0.6209172,0.5800184,1.156229,1.3262829,0.73820764,1.3314078,0.83430266,0.8809065,0.64954346,1.1209887
closet,0.9628374,1.335398,0.98954517,1.2874002,1.3125448,1.1245828,0.91985965,0.99263704,0.75494725,1.1336808,0.7779639,0.94319683,1.0610135,0.70083666,0.9170671,1.1566814,1.2087138,1.2052718,0.9510706,1.006437,0.99151075,0.997297,1.257345,1.2498273,0.8008943,0.48169696,1.2953329,0.0,0.77231336,1.0943605,0.650036,0.91901726,1.2818859,0.8055543,1.1646394,1.2056986,1.1591748,0.92605454,0.8048612,1.052105,0.9029282,0.9107537,1.2537223,0.8173712,1.156726,1.1345809,1.2070979,1.0130365,1.0498688,1.2573524,1.0888604,1.0729234,0.6556253,1.197879,0.7802012,1.0526874,1.1978525,1.1914226,1.1654929,0.6921483,0.9526243,0.7076756,1.0123428,0.8399694,1.2597805,0.8970025,0.9922816,0.7332223,0.9072021,1.2228099,1.2468164,0.7916105,1.0074415,1.2228367,0.8974501,0.65542084,1.0118468,1.2092836,1.2105764,1.2222761,0.5902157,0.945605,1.3300952,1.1456317,0.8764139,1.0294831,0.55284905,1.2370298,0.9332824,1.3386908,0.9313365,0.8779196,0.860054,0.9960397,0.9861438,1.2385756,0.9239179,1.2768853,1.04118,0.71628326,0.888407,1.0167159,1.3313794,1.2806189,1.0708919,0.49377537,1.3362908,0.9075692,1.0938146,0.7509001,1.2608001,0.8998917
coat,0.95990413,1.2165262,0.7956575,1.1133564,1.231219,1.0029945,1.0836622,0.89184666,0.8665195,1.1456333,0.8895861,0.7823245,0.82900125,0.815311,1.019226,1.2430685,1.2492279,1.2709725,1.0964562,0.98507375,1.0945966,1.1054432,1.2712977,1.149195,0.7846585,0.77082235,1.3719119,0.77231336,0.0,1.0561168,0.8558351,1.0571722,1.2327379,0.95758873,1.2645972,1.0775926,1.2241901,0.88399893,0.8465653,1.152801,0.6207317,1.0892489,1.2341669,0.79789466,1.03977,1.0980202,1.144489,0.9555839,0.978701,1.2477472,1.041383,1.0891135,0.8616861,1.278867,0.862797,0.8441884,1.1665057,1.2374214,1.0834006,0.41178405,0.94741064,0.5989475,0.8202787,1.004202,1.2638901,0.8806088,1.100043,0.77366334,1.0208046,1.1167994,1.2445318,0.8106809,1.0079706,1.1869118,0.6990215,0.7318591,1.0025192,1.1717689,1.1433833,1.1349652,0.773198,1.045926,1.2548015,1.0670869,1.0169412,1.1856447,0.8486399,1.2177279,1.0881165,1.1995721,0.6525907,0.8755043,1.0008307,0.9930671,0.981736,1.2113676,0.79713255,1.1966771,0.93089193,0.96963644,0.64412534,0.99357873,1.2918357,1.2519281,1.0123533,0.55981004,1.3424559,1.0553993,1.1655053,0.95722526,1.10765,0.87923837
comb,1.044526,1.0289315,0.92633206,1.137996,0.959731,1.0194298,1.0224599,1.2274615,1.2828952,0.79812586,1.2627802,1.2098699,1.1101012,1.2035508,0.9654914,0.95905244,0.88042146,1.1468898,1.182646,1.1159425,1.0834669,0.9148043,0.8976899,0.9052651,1.0587682,1.2471572,0.9079436,1.0943605,1.0561168,0.0,1.2815903,0.88410145,0.6723741,1.1826489,1.042068,1.232844,0.95130104,1.083271,1.050775,0.8866348,0.96280384,1.143487,0.9405926,1.1615305,0.8655503,0.78888834,0.8774375,0.93730056,0.8133005,0.98793846,1.0209693,0.8753221,1.0493306,1.0179058,0.9328235,0.97818166,0.78300035,0.9041471,0.78608584,1.0691445,1.0897584,1.1326823,0.77168465,1.0495652,0.8584013,1.1364325,1.0387896,1.1053077,0.9449525,0.91123354,0.86824656,1.0708638,0.7946283,1.0197227,1.2085636,1.1493814,1.0600694,0.7607453,0.65781534,0.9318859,1.1172991,0.7518835,1.0961753,1.0261996,0.82815844,0.9023271,1.0501145,0.90427136,0.7785505,0.85793054,1.176051,0.9827256,1.0703844,1.2582637,1.2084942,0.6564675,0.8748263,0.84131926,1.1837666,1.0641104,1.144222,1.2284776,1.0819091,0.7288594,0.9570435,1.1398546,1.0911368,1.1518865,0.97617537,0.7982632,0.7862656,1.095622
