,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.1702709,0.98598146,1.0828371,1.162395,1.0867468,1.0265218,0.80415213,0.7860612,1.1288959,0.8311129,0.961588,0.8129427,0.9061138,0.5590388,1.0774417,1.2763221,1.0960468,0.97062445,1.0985467,1.1114348,1.3571745,0.9483032,1.2310314,0.7745453,0.91958874,1.1235309,0.9628374,0.95990413,1.044526,0.7863343,0.94282687,1.2176282,0.96275014,1.2918231,1.1001066,0.81385255,0.9904029,0.95630527,1.0597112,1.0152943,0.9638456,1.1713312,0.36312222,1.2656744,0.88628507,0.98435384,1.0946784,1.0755761,0.82818747,1.0841267,1.1737441,0.8497725,1.1260546,0.9323204,1.148397,1.1729623,0.841239,0.96554947,0.94554514,0.99829644,0.9456892,1.2596655,1.0830101,1.134287,0.89669305,1.1523167,0.89041686,0.83573806,0.9138508,1.1917431,0.9551869,1.2145975,1.1709919,0.879405,0.97976124,0.85302544,1.1906489,1.2038254,1.2288157,0.96427083,0.9321856,1.2106913,1.1470137,1.1698202,1.1193671,0.9971104,1.0791132,1.2115335,1.1574227,0.84214866,1.0893391,0.72463346,0.86047256,0.93185854,1.2393873,1.0937461,1.1613045,1.0368707,0.93817663,0.7638873,0.93496954,1.147858,1.2409567,1.2044075,1.000658,1.1220487,0.91213965,0.94065356,1.1910979,1.3017236,0.78942317
apple,1.1702709,0.0,1.1315445,0.4010731,0.38940936,0.7209307,1.1088275,1.2153249,1.3478601,0.9380267,1.3199527,1.1814812,1.120331,1.2549663,1.1902078,1.0145614,0.6814361,0.6553666,1.2457943,0.84499043,1.1085801,1.0056167,0.84442705,0.63190895,1.232572,1.5081748,0.7551459,1.335398,1.2165262,1.0289315,1.4093775,1.0215015,0.8010678,1.3966306,0.72165,0.70084226,0.9385065,1.055511,1.0516214,0.96977514,1.0705438,1.0716379,0.33088964,1.3161653,0.7975696,1.0350496,0.60368097,1.1011117,1.077751,0.9093451,0.76500547,0.9534896,1.3187083,0.69920594,1.1898283,0.94408935,0.7010262,0.9089969,1.0261642,1.1759175,1.1346034,1.3515557,1.0116934,1.351572,0.7001511,0.8992672,0.90448207,1.3247797,1.1386757,0.69637316,0.6723569,1.1364307,0.9209031,0.33920193,1.2974001,1.2924587,1.2122327,0.9378216,0.91110986,0.5718903,1.2211598,0.9380317,0.56447124,0.7620278,1.0990938,0.9381951,1.2307951,0.63263685,1.1334288,0.8315346,1.2766808,1.1656239,1.171594,1.1911511,1.2635612,0.8328475,1.2232893,0.5383418,0.9764525,1.1218781,1.258023,1.264484,0.5760132,0.6393307,1.0364968,1.3114897,0.77753794,1.2694474,0.98452896,1.2188139,0.90574855,1.2142967
arm,0.98598146,1.1315445,0.0,1.0967383,1.3043935,0.9201808,1.0345867,0.8790061,0.8519926,1.1547555,0.80348104,0.6954062,1.0327865,0.85014915,0.9685931,1.0073358,1.2392273,1.1471593,0.93475914,0.8444358,0.82964313,1.3136986,1.2533776,1.1826178,1.009023,1.0383883,1.2683247,0.98954517,0.7956575,0.92633206,0.88089556,1.0749875,1.1003189,1.0264307,1.0775633,1.1450032,1.1639632,1.1093668,0.9852518,0.8652687,1.0748518,1.0162317,1.150817,0.96542346,0.9911296,1.036291,1.1298614,0.9940473,1.0656062,1.1681178,1.0069152,1.1762248,0.7820938,1.0615271,0.9423611,0.649006,1.2633706,1.1813394,1.0359633,1.018358,0.9486406,0.75070393,0.92440635,0.9142793,1.2016318,0.7670018,1.0577837,0.71813923,0.9401252,1.1038809,1.2844088,0.71698296,1.1570754,1.1143194,0.7222027,0.7933068,0.7621355,0.9364175,0.93511903,1.2714798,0.82639,1.0130885,1.0919868,1.2245072,1.195563,1.1549886,0.9023911,1.1613936,1.1518017,1.2154269,0.7543965,0.8030626,0.8401017,0.8793541,1.0568657,1.1514077,0.57122934,1.2939504,0.9173228,1.154013,0.8922267,0.8039977,1.2000709,1.0331138,0.8020843,0.9655335,1.2310622,0.89095974,1.1486621,1.1422544,1.0795358,0.9364252
ball,1.0828371,0.4010731,1.0967383,0.0,0.72566915,0.91083115,1.005509,0.9918732,1.1235117,1.1430833,1.168622,0.90447617,1.1778054,1.0591697,1.0921643,1.0220026,0.98633975,0.71572393,1.1235735,0.7560271,1.1703702,1.1181424,1.0312601,0.8425292,1.1220973,1.3062813,0.9168903,1.2874002,1.1133564,1.137996,1.2146597,1.112921,1.0569028,1.2107043,0.958264,0.6747478,0.9736971,0.9946358,1.1503748,0.9464042,1.126975,1.0159202,0.47634488,1.0673356,0.7968324,1.0750549,0.8750376,0.97572684,1.101826,0.9115712,0.83955836,0.9450314,1.120441,0.73651594,1.0667752,0.84093153,0.84270626,0.9527642,1.0744314,1.1623636,1.0452833,1.1074159,1.0759135,1.2270695,1.0406309,0.8916122,0.9997675,1.0851038,1.1322199,0.7930156,0.83824724,1.104383,1.0507135,0.684875,1.0194086,1.1139162,1.0703712,1.0900613,1.0892198,0.8882181,1.1238515,1.0704979,0.5726751,0.71255505,1.2080332,1.1160815,1.2750397,0.88460374,1.2455258,0.8558802,1.0733054,0.96621144,1.1444157,0.9778626,1.1129233,0.9200253,1.0084087,0.7274177,0.9600406,1.040214,1.0340716,1.0890958,0.67739695,0.73539066,1.0721805,1.2057195,0.81331813,1.1686404,1.1695313,1.2817831,0.88946086,1.0840031
balloon,1.162395,0.38940936,1.3043935,0.72566915,0.0,0.9385648,1.1484557,1.2750804,1.4880836,0.62732863,1.5244964,1.3604251,1.0244709,1.3656443,1.2029567,1.1006742,0.36787438,0.72414124,1.4474127,1.0743115,1.1552072,0.67954606,0.5753264,0.49573112,1.1992629,1.4731686,0.41709125,1.3125448,1.231219,0.959731,1.5098938,0.97733235,0.53968406,1.5081773,0.6438532,0.87267804,0.78878725,1.0510433,1.1110299,1.0694957,0.9431857,1.1050683,0.4779119,1.3476229,0.8751508,0.9301479,0.519417,1.1285255,0.9002969,0.8030343,0.9042395,0.79892933,1.4773028,0.90446806,1.2671562,1.2435142,0.35344374,0.7434,0.9252426,1.1349474,1.1290295,1.4974968,0.96658087,1.4423529,0.32616615,1.180748,0.89068913,1.5791878,1.1668622,0.59837365,0.4374907,1.2879195,0.66211784,0.43299896,1.4049406,1.4400282,1.4135189,0.9063097,0.84923214,0.51684827,1.2785277,0.9192227,0.6585702,0.7664884,0.8167108,0.6369804,1.2236784,0.48136514,1.0222502,0.73623264,1.3626975,1.3426529,1.2526317,1.3519405,1.2530367,0.59997624,1.3888805,0.42548728,1.0708666,1.1774915,1.395053,1.4365547,0.49386948,0.5190059,1.2060766,1.2586992,0.73945343,1.4334049,0.8720371,0.9520134,0.7306725,1.199454
banana,1.0867468,0.7209307,0.9201808,0.91083115,0.9385648,0.0,0.9593255,0.94227964,0.9970608,1.1874838,0.95077133,0.92436874,0.96306074,0.9122629,1.0007209,0.9755149,1.1472715,0.8787153,0.95640785,0.7484423,0.9888956,1.2240956,1.0455072,1.1439518,1.0555054,1.0533054,1.136184,1.1245828,1.0029945,1.0194298,1.0828276,1.1474597,1.1615037,1.0035839,1.0397905,0.69924116,1.1554112,1.1250484,0.875448,1.0599563,0.9276177,1.0657119,0.8506703,1.0981315,1.0943147,1.0313197,1.0231998,1.0945821,1.1397967,0.9888915,0.95155954,1.2019516,1.0575869,0.82182723,1.0850542,0.9096643,1.0846277,1.1538037,1.0201073,0.9333437,0.9310984,0.9895059,1.1389396,1.0301472,1.0195019,0.6248779,0.96703315,0.92102087,1.0781443,0.89507335,1.1422833,0.8914407,1.2137563,0.6226001,1.0706291,0.98992866,0.9179308,1.0996319,1.07322,0.5348723,0.96162295,1.096391,0.79605794,0.94287276,1.2263732,1.1822284,1.1421497,1.0507964,1.1940318,1.0408362,1.0103134,0.9910533,1.0878284,0.8565229,1.0156939,1.1646408,0.989368,0.9906259,1.0324197,1.0879558,1.064595,0.9543774,0.8591225,1.0340433,0.87207234,0.9761748,0.9733112,0.96337897,1.1056752,1.2339871,1.2342625,1.118583
basket,1.0265218,1.1088275,1.0345867,1.005509,1.1484557,0.9593255,0.0,1.0396556,0.86338735,1.1161687,0.70798934,0.9442779,1.0336448,0.75064147,0.93907726,0.8604679,1.1286948,0.76774645,0.7445543,1.0843776,0.7487873,0.9630532,1.0159456,1.1528542,1.0096864,0.7481192,1.1059645,0.91985965,1.0836622,1.0224599,0.85988295,0.9436878,1.122627,0.70619833,0.9254195,0.99679756,1.148992,0.95189553,0.8764589,0.83761513,1.125314,1.1411111,1.190402,1.0758617,1.1788726,0.99710983,1.0087411,0.8228831,1.0809102,1.0652716,0.9016556,1.212614,0.91143847,0.8264131,1.1965433,0.9678565,1.1790123,1.1536682,0.96924907,1.1004162,1.1217847,1.077031,1.0756668,0.79454064,1.0811203,0.85060537,0.99130255,0.95929825,0.99103475,1.1435989,1.243468,0.7447609,1.111577,1.149074,0.975143,1.0366278,0.9559807,1.0508244,1.1355271,1.1205248,0.6710958,0.948977,0.8998941,1.0773782,0.8445733,0.98182464,0.9256727,0.991608,1.1710804,1.073339,0.9754971,0.8997652,0.9152518,0.992592,1.0128074,1.1625291,0.98162335,1.1388583,1.0152321,0.98043656,1.0169712,0.9422683,0.9567416,1.2235388,0.9800208,0.8761921,0.89186317,0.7887596,1.0937887,0.8535783,1.1097801,0.88922036
bathtub,0.80415213,1.2153249,0.8790061,0.9918732,1.2750804,0.94227964,1.0396556,0.0,0.44630897,1.4080104,0.4733615,0.7029819,0.8490164,0.8473252,0.82447517,0.84724414,1.3959311,0.97940266,0.655022,0.9393179,0.901564,1.4565444,1.2688241,1.4074602,0.8754189,0.72061163,1.236674,0.99263704,0.89184666,1.2274615,0.5273472,1.2515132,1.3905008,0.6561984,1.2132312,0.9113878,1.1559179,1.1459092,1.0565758,0.94412124,1.22076,0.95147073,1.248696,0.6817136,1.3320059,1.0928544,1.1634691,1.1603,1.2592198,1.2010846,0.9216769,1.3529097,0.9629229,0.99117136,0.8932512,1.0243454,1.3576972,1.1698874,1.0960246,1.0114768,0.8750129,0.7651292,1.3080933,0.742857,1.257358,0.7685847,0.9752478,0.77434444,1.1180482,1.1021423,1.3440192,0.7476665,1.3282032,1.251612,0.6756466,0.80524665,0.52350533,1.2271003,1.2541033,1.3188722,0.98998046,1.1460092,0.92468244,1.2241256,1.4335847,1.2729381,0.9095047,1.1137106,1.3038064,1.3003286,0.6758817,1.113726,0.96363395,0.19527078,0.55254173,1.5199723,1.0247889,1.3903388,0.8545576,1.0113938,0.5869781,0.27637732,1.0430417,1.3289299,0.94045585,0.9892196,1.0907621,0.62140256,1.223151,1.3105776,1.4669008,0.80489373
bed,0.7860612,1.3478601,0.8519926,1.1235117,1.4880836,0.9970608,0.86338735,0.44630897,0.0,1.42307,0.34844863,0.5411646,0.9135673,0.3102883,0.83752334,0.80470467,1.5069184,1.1873276,0.5590498,0.9861696,0.99972564,1.4353824,1.2698693,1.5014412,0.8543166,0.48561734,1.3679516,0.75494725,0.8665195,1.2828952,0.10211247,1.1838785,1.4767679,0.3936255,1.3769977,0.9925057,1.103343,1.0462185,1.0087348,0.9305538,1.230587,0.9760311,1.3337374,0.61087024,1.3562196,1.2226663,1.3344136,0.9751219,1.3317268,1.1333082,1.1361791,1.3497105,0.7802625,1.1233153,0.823741,1.089161,1.5699844,1.1266629,1.1886923,0.98548204,0.8540118,0.68665445,1.3334396,0.6558965,1.4550896,0.7565531,1.0587424,0.5706768,1.0610921,1.2530978,1.4163275,0.7103539,1.3544528,1.3195593,0.46668398,0.78205085,0.5189396,1.2896252,1.3298042,1.3819815,0.5109583,1.1280911,1.2148726,1.309557,1.3568256,1.2836344,0.85666716,1.3172252,1.2227651,1.389866,0.56062305,0.9036988,0.95970994,0.48532724,0.58897394,1.5301154,0.906636,1.4695966,0.9935223,0.9364842,0.55033106,0.36033463,1.260205,1.4654202,1.0247239,0.8472464,1.1211342,0.6253327,1.1304634,1.3003733,1.4148725,0.7705687
belt,1.1288959,0.9380267,1.1547555,1.1430833,0.62732863,1.1874838,1.1161687,1.4080104,1.42307,0.0,1.4871242,1.2371894,1.0408068,1.217124,1.0988449,1.0304327,0.44722784,1.1285299,1.358464,1.1899117,1.1508712,0.4091528,0.66826093,0.5410023,1.0906775,1.2669817,0.5754738,1.1336808,1.1456333,0.79812586,1.3784714,0.7869773,0.3441217,1.3461652,0.8217534,1.1657786,0.90751696,1.0230645,1.1252704,0.97099304,0.88258386,1.1255406,0.8753557,1.1419435,0.6512037,0.87641376,0.8329203,1.0701847,0.6056351,0.8494612,1.1437153,0.63100505,1.2906791,1.1674081,1.1728388,1.1579337,0.5832168,0.8581369,0.90713906,1.0778431,1.1585836,1.1858555,0.7504396,1.195742,0.55331594,1.4651232,1.0999608,1.3878425,1.0156059,0.96755296,0.45622396,1.2356107,0.38040316,0.78020895,1.2312534,1.1030605,1.3444521,0.7898723,0.6546708,0.61546206,1.0783362,0.98037803,1.0837424,0.7269224,0.5850998,0.49293286,1.1438861,0.79048264,0.6995895,0.6442489,1.2488139,1.2246355,1.1396804,1.4927156,1.2880257,0.42352724,1.2000589,0.7223858,1.3170148,1.2221625,1.3130028,1.4862008,0.98549867,0.60803163,1.1346152,1.050351,1.0120075,1.3597744,0.85681266,0.7225635,0.5098918,1.1645433
