,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
muffin,1.3634415,0.7120512,0.9203725,1.325464,0.9943619,0.90874827,0.6294713,1.170903,1.1828022,1.1972122,1.2703688,0.5031284,1.1797017,1.3018088,0.6159591,1.2658662,1.0929703,0.6549744,0.86716545,1.227583,0.8844842,0.90902954,0.99768,0.51381,0.80976087,0.6725821,1.1095791,1.0605847,0.8026014,0.7034151,1.0383302,0.75011295,0.95616615,1.0580375,0.9443452,1.2266113,0.95578146,0.52723825,1.2253568,0.6612087,1.2208112,1.0621285,1.1592245,0.9755801,0.9149403,1.1707525,0.8631828,1.1753476,1.1611,0.71376276,1.1195823,1.3242242,1.2346312,1.1316558,1.1416478,1.3583629,0.67200744,0.9517565,1.1118709,1.1146828,1.220312,1.1508728,0.82035977,1.0612723,1.2630836,1.2421173,0.97936535,1.1197171,0.826512,1.1776756,0.924307,1.1098552,1.0901811,1.1770985,1.2513605,0.9291194,0.0,0.657943,1.0524328,0.6830809,1.173075,0.8491075,0.74463105,1.2247493,1.2547679,1.1636704,1.2644902,1.0538828,0.77985644,0.7151787,0.48810625,0.85486996,0.88748413,1.0251137,0.9006634,1.2336154,1.0395064,0.7245928,0.9048663,1.2063938,1.0936912,1.17419,0.53735614,1.0273004,0.9658872,1.2638483,0.99024945,0.9047898,0.68449783,1.221324,1.2875457,0.6222023,0.67420655,1.1064668,0.8015992,0.945947,1.1213497,0.5593996,0.5227081,1.2499133,1.3249143,1.3045199,0.7157154,0.6450933,0.47676158,1.226766,1.073362,1.211068,1.1984572,0.6739194,0.7633569,1.0650158,1.1623775
nail,1.5389562,0.81453407,0.69987214,1.3676274,0.7570087,0.6801574,0.44469178,1.2537024,1.378818,1.1637156,1.4182909,0.21152818,1.4814725,1.5019165,0.5439048,1.4694653,1.1904967,0.49102104,0.8814422,1.4317374,0.8905728,0.95338565,0.8708388,0.51837677,0.689273,0.59507644,1.1960195,1.3243507,1.0233468,0.40374136,1.0054619,0.7705345,1.2268816,1.1418169,1.0487881,1.3924866,1.1414303,0.2528298,1.3976315,0.45502853,1.2544825,0.9611418,1.1584692,1.2122589,1.1347928,1.3108697,0.5811515,1.1376395,1.0457997,0.63742757,1.1636761,1.4472766,1.251189,1.1219456,1.2179755,1.3816497,0.24130154,1.0997385,1.0311791,1.124989,1.2548691,1.1722791,0.50612545,0.91388714,1.328145,1.3899286,0.9442036,1.2634664,0.688098,1.3670487,0.7673468,1.2982056,1.1889884,1.3232765,1.291271,0.77582014,0.657943,0.0,1.1730598,0.46538442,1.0305383,0.58865106,0.91298425,1.2453268,1.3780248,1.356827,1.4177005,1.1500782,0.4077059,0.46396166,0.5020986,1.2050087,0.96682227,0.9716669,0.9791655,1.2634611,0.9584186,0.61897635,0.7765353,1.3501256,0.88056076,1.2734071,0.430848,1.0534976,0.8308393,1.3629011,1.0349892,1.1093134,0.7343831,1.3835105,1.3237677,0.28998762,0.495471,1.1580979,1.0494789,0.83889884,1.2198232,0.50493205,0.1864847,1.3353477,1.3732672,1.3849273,0.59067905,0.3644541,0.42402476,1.2300398,1.2059174,1.1479315,1.2552706,0.6019744,0.14090067,1.1976081,1.156626
napkin,0.9688523,1.1817734,1.0563865,1.0922589,0.9530112,1.0290055,1.0106162,0.92454076,0.981929,1.0620487,1.1129042,1.1154534,1.0765195,1.0536327,1.0881478,0.9329299,1.0901233,0.9790094,0.74464595,1.0760753,0.8157789,0.86691487,0.93140787,1.0041655,1.1994059,1.1703682,1.0636189,0.8519759,0.47504961,1.0879234,0.88548315,0.9698678,0.97161365,0.8678648,0.76134586,1.1152015,0.7491809,1.099249,1.2178787,0.84307265,0.93441015,0.9712683,0.92550194,1.0057814,0.9921498,1.087145,0.9278235,0.99229383,1.2537258,1.2009718,1.1052269,0.92904985,0.97734225,0.9680909,0.9303649,0.97703135,1.2486866,0.59297705,0.8101939,1.2394364,1.0198263,1.1260076,0.8486215,0.96190864,1.0078572,1.0590116,1.0052649,1.2355201,0.7821432,1.2625299,0.9124516,0.97209406,0.82591987,0.89812005,0.96421653,1.2012458,1.0524328,1.1730598,0.0,1.1200594,1.0799958,1.0653871,0.9711292,0.5916123,1.1923962,1.0983368,1.0435311,0.8412714,0.9933424,1.0719783,1.1024612,0.77690876,0.88675463,0.89197624,0.72339034,1.0305578,0.7595372,1.0041257,1.1343877,1.0568737,0.8356701,0.9846313,1.0608963,1.0587817,0.9583499,1.2162389,0.763504,1.2173429,1.0050111,0.8709856,1.2404257,0.99544394,0.8861691,1.0827105,0.98367685,0.76393354,1.0226781,1.0723987,1.1005336,0.9979806,1.1817412,1.0328207,0.96408284,1.1472006,1.0416961,1.0038834,0.13196278,1.0129217,0.7237187,1.1611238,1.096729,1.1500437,1.1464198
necklace,1.4794618,0.6555602,0.8514639,1.2903026,1.016064,0.8630189,0.56430936,1.1047126,1.4449468,1.1233113,1.5237508,0.4348606,1.4488101,1.4637132,0.5084821,1.4376203,1.2751995,0.50486946,0.7871323,1.4584239,0.98719436,0.8253484,0.82259274,0.48384655,0.85573584,0.4975838,1.1778369,0.9976754,0.8878099,0.7262219,0.9832328,0.80138195,1.0648413,1.263264,0.95790565,1.4507431,1.166032,0.3335588,1.3432679,0.5575192,1.3369131,1.0108016,1.1540879,1.1430383,1.0199953,1.1526564,0.86084515,1.2220547,1.0805769,0.6059664,1.3157151,1.456704,1.1398227,0.843629,1.2625272,1.3620175,0.3914613,0.9661429,1.1125586,1.1669824,1.3378568,1.0432884,0.5044476,0.95343375,1.2331648,1.287322,0.91729945,1.3063474,0.5235025,1.2538193,0.7891817,1.4099634,1.1623259,1.2360841,1.3425554,0.6909615,0.6830809,0.46538442,1.1200594,0.0,0.8964305,0.8041531,0.7361671,1.1254641,1.3870852,1.3178742,1.5010831,1.2803608,0.35661733,0.33235216,0.6723523,1.0845431,1.0948286,0.81881845,1.0434288,1.2829335,0.7028283,0.7270902,0.64484584,1.3321079,0.84556013,1.3223767,0.709037,0.7548416,0.61535287,1.3374138,0.9257856,1.1997048,0.51465327,1.3406987,1.3807417,0.436244,0.80415416,1.1132137,1.038793,0.6395807,1.067448,0.35518903,0.44130474,1.0519652,1.3622255,1.5215843,0.7608354,0.47507322,0.5207019,1.0913227,1.0808879,1.2465407,1.2070836,0.47789407,0.33579683,1.0794452,1.1632211
nose,0.85908616,0.78585136,1.1125243,0.7388413,0.9976293,1.1019516,1.1163464,1.2356334,0.94582057,0.897551,0.991109,1.1904702,0.97243273,0.8275876,0.9948669,0.9610198,1.137751,1.2421471,1.2850561,1.0496321,1.0577985,1.2857146,1.2269849,1.274837,1.1832634,0.83839345,0.911436,1.1006448,1.1191739,1.1453273,0.9699042,1.1169723,1.0790772,1.0301464,1.2786968,0.95705426,1.0273757,1.1938801,0.9789801,1.2727047,0.9481639,1.1069716,0.8984916,1.0746263,1.1937534,0.89903635,1.0528282,1.0017986,0.55130696,0.71814764,1.1053302,0.8123925,0.96294516,0.8981524,1.072581,0.8779855,0.84439814,0.96010476,1.2561667,0.77191675,1.000294,0.6509978,1.1054848,1.139852,0.9253102,1.05088,1.1206683,0.88370305,1.1554523,1.0132478,1.1358225,0.8585747,1.0110782,0.8635966,1.1296158,0.6261805,1.173075,1.0305383,1.0799958,0.8964305,0.0,1.069346,1.238426,0.9644178,0.8410733,0.8632915,0.9886805,1.0446277,1.1084788,1.076423,1.1189891,1.0874747,1.0869889,1.1689519,1.2205937,0.91305655,1.2147329,1.2629571,0.6897559,0.9706143,1.1975442,0.9303453,1.1195567,1.0222955,1.1573293,0.8443935,1.1546432,0.9368818,1.1984763,0.8956804,1.0221416,1.1922938,1.1636649,0.92444247,0.98443353,1.15334,0.93510604,1.0798862,1.0796496,1.1187048,0.8861145,0.9807812,1.2527201,0.74464834,1.0493224,0.90737104,1.1400357,1.1512125,1.0907823,1.2198783,1.0139366,0.91026396,0.98326737
orange,1.4605324,0.93250656,0.30620956,1.3554112,0.30271018,0.24463856,0.54551905,1.1239622,1.3512756,1.2463722,1.3899238,0.69295096,1.493036,1.3964146,0.7548822,1.405973,1.1198756,0.66158843,0.79187906,1.342432,0.71264255,0.916837,0.88259697,0.7591344,0.8898006,0.72981507,1.1926835,1.3055677,0.9574055,0.6971632,0.9060975,0.57816076,1.0955848,0.85423243,1.0125293,1.375252,0.9661288,0.67364216,1.3843682,0.65669405,0.97308666,0.868005,1.0938942,1.1676744,1.0784198,1.2661178,0.10700184,1.1879703,1.1558768,0.914023,1.1959755,1.3369215,1.1557792,1.1948235,0.9676859,1.160667,0.7977195,1.1561902,0.8712197,1.180011,1.0581213,1.2255019,0.6057522,0.81672746,1.2137632,1.4064746,0.9772968,1.2840135,0.8410466,1.3642949,0.8177331,0.9030719,1.0210949,1.286359,1.2719696,1.0054532,0.8491075,0.58865106,1.0653871,0.8041531,1.069346,0.0,1.0000256,1.1750149,1.3963902,1.3930197,1.373725,0.880207,0.7887019,0.81016386,0.39438546,1.1720665,0.7275401,0.86046565,0.84044623,0.84081674,0.9475733,0.6428682,0.93893015,1.3040893,0.83832973,1.1660596,0.69636697,1.0467553,0.92497116,1.381068,1.042283,1.0640508,0.9265528,1.244182,1.3312624,0.60823786,0.66423833,1.1975117,0.8922095,0.90800846,1.1943502,0.77544594,0.7552434,1.2737598,1.3984807,1.3327549,0.4407667,0.7585424,0.7921613,1.2243013,1.1328635,0.94545114,1.025645,0.89087033,0.66545886,1.2557352,1.2252084
oven,1.2617128,1.0415598,0.9961864,1.1562368,1.1936059,1.0251267,0.8996116,0.9220155,1.1950899,1.0697548,1.1380965,0.7374755,1.0381222,1.3022497,0.91458833,1.1810081,0.9670901,0.5382657,0.6993482,1.0954537,1.1015596,0.5262919,0.9920946,0.3486461,0.8419138,1.0619018,1.137661,0.6802793,0.916507,1.0071847,1.1466919,0.94502974,1.0176755,1.1626021,0.8211446,1.0480491,1.1811643,0.79361945,0.9344194,0.53149635,1.3203654,1.0099778,1.084643,0.6362773,0.5953096,1.018357,1.0338188,1.2395597,1.2484396,1.094497,1.0114707,1.3179991,0.9881867,1.0353129,1.2998381,1.2029717,0.92860204,1.0093087,1.0436596,1.1049808,1.2308087,1.2303197,0.7632762,0.9438456,1.1271882,0.97249895,0.699955,1.1960988,0.7906785,0.8926671,0.8291497,1.2930608,0.8577186,1.2559857,0.9675478,1.0817771,0.74463105,0.91298425,0.9711292,0.7361671,1.238426,1.0000256,0.0,1.134186,1.2060559,1.1036777,1.2483884,1.125538,0.8183681,0.8785272,0.9104996,0.89491796,1.133362,0.7785835,0.916077,1.2593639,0.6954689,0.664253,1.0379205,0.5832875,0.81216997,1.2046045,0.99067223,0.9079049,0.9913912,1.163552,0.8867475,1.1866457,0.7645652,1.2288854,1.1144187,0.839975,0.9329613,1.1322197,1.1066408,0.85228443,0.9311898,0.7446496,0.77801013,0.76538444,1.1363368,1.2206755,0.8869253,1.0224353,0.8392732,1.1391609,0.93541664,1.0987232,0.9957522,0.6018453,0.82571423,0.8178185,1.1288831
owl,0.8026783,1.1835309,1.0825095,1.0750852,0.9987637,1.0752436,1.1752417,0.86392224,1.0797516,0.89962393,0.90191704,1.1885699,1.0488853,0.75661355,1.0466151,0.7932658,0.88345444,1.138834,1.072872,0.92903894,1.0769612,1.0164818,0.7936952,1.190363,1.2434492,1.2322766,0.91619194,0.958299,0.87048066,1.0760235,0.834088,1.0119127,0.9734295,1.0055214,0.913581,0.9655407,0.96889937,1.2119774,0.9549122,1.0977035,0.88486254,0.95003676,0.80064666,0.98611915,1.0516264,0.93656456,1.0796888,0.80891156,1.1290435,1.2639263,1.0920744,0.86904234,0.9271976,1.0083929,0.52136064,1.0391495,1.2611812,0.88414,0.8159733,1.1472533,0.8143896,1.1494247,1.0143125,0.9370487,0.89726347,0.8570071,1.0800196,1.0888033,1.0525303,1.0957602,0.82105374,1.0514318,0.9212803,0.8840712,1.0642072,1.1552296,1.2247493,1.2453268,0.5916123,1.1254641,0.9644178,1.1750149,1.134186,0.0,0.8883022,1.0589744,0.87229985,0.9650986,1.1394236,1.1751728,1.2775052,0.83043945,1.0656363,0.8567749,1.0056618,0.9714733,0.8097695,1.0661709,1.1019243,1.0462874,0.96104,1.0209541,1.2019713,1.0146238,0.9378392,1.0118352,0.85425097,1.1926306,1.1164593,1.0026221,1.0443537,1.0907012,1.1095719,1.0590092,1.0291837,1.0119544,1.0104784,1.2481176,1.2266986,0.97006935,0.8863054,1.0330483,1.1617441,1.2501957,1.2407353,0.9563608,0.55507076,0.84221387,0.8926258,1.2196778,1.181352,1.0149355,0.8997329
pajamas,0.3565439,1.0356499,1.378571,0.47030628,1.265218,1.404359,1.4616405,0.9882202,0.6188351,0.7276666,0.3843755,1.3732529,0.48384368,0.26429677,1.3812164,0.41902542,0.94840324,1.419035,1.4247823,0.6792964,1.3452162,1.3241543,1.1493975,1.4337095,1.2478484,1.3223846,0.7885198,0.9781466,1.239297,1.3745055,1.092094,1.4130088,1.0186,1.1416003,1.1963508,0.41991603,1.1693019,1.4886677,0.6364056,1.5086429,1.0162705,1.1593288,0.90813124,1.0180739,1.2034376,0.46379972,1.4054667,0.75073236,0.717082,1.1602709,0.8897133,0.5270616,0.8569736,1.0439702,1.0138451,0.7351283,1.2937585,0.9332867,1.1802807,0.68171954,0.88571507,0.81286526,1.4710913,1.165316,0.8124444,0.45357573,1.1103828,0.3683412,1.4299959,0.6933879,1.2861564,0.85712075,1.0196694,0.64294887,0.8719984,1.0444326,1.2547679,1.3780248,1.1923962,1.3870852,0.8410733,1.3963902,1.2060559,0.8883022,0.0,0.3790453,0.5545634,1.0866233,1.4109558,1.4113717,1.4544096,0.7808093,1.2705741,1.29548,1.3610818,0.7990129,1.2035779,1.4251812,1.1742518,0.68836534,1.2755485,0.91660404,1.4005651,0.99718773,1.3567033,0.14868844,1.157453,0.69264615,1.3139887,0.91951966,0.61433077,1.5560249,1.3479156,0.7401383,1.2133143,1.4029821,1.0298843,1.3811758,1.3729618,0.9254838,0.22381252,0.5216605,1.5026872,1.2910006,1.4102361,0.9085333,1.087664,1.0342784,1.0856917,1.3140168,1.4045182,0.8445934,0.6161799
pants,0.42261302,0.8915839,1.4029155,0.56507325,1.2851434,1.3860986,1.4264338,1.1742034,0.58900917,0.6936251,0.37540597,1.2893642,0.35190254,0.47597414,1.3591535,0.3230723,1.1260921,1.3853533,1.3208871,0.8917913,1.3102486,1.2921668,1.2986263,1.3588992,1.251775,1.257716,0.7614011,0.8216612,1.0772637,1.3729746,1.147869,1.3943908,1.0429971,1.1737591,1.2096881,0.33792377,1.1367416,1.4577982,0.7613299,1.4540067,1.0194697,1.2155421,0.87432015,0.88593864,1.099334,0.5383788,1.4046162,0.77176476,0.8145318,1.0284648,0.9975455,0.6182449,0.8851077,1.04319,1.1914539,0.8292621,1.2407783,0.68440765,1.3460431,0.7694388,0.95826405,0.7456389,1.4392728,1.2192693,0.9019209,0.4910974,1.1793723,0.17211866,1.4186418,0.78795,1.2980199,0.7791021,1.0650996,0.4928351,0.8853859,1.0445442,1.1636704,1.356827,1.0983368,1.3178742,0.8632915,1.3930197,1.1036777,1.0589744,0.3790453,0.0,0.7498993,1.1422666,1.4022863,1.390379,1.4077044,0.51498735,1.2947962,1.3373418,1.3242145,0.85614145,1.2013004,1.4527365,1.0726897,0.75745857,1.2857572,0.89204824,1.3261731,0.96479905,1.4519674,0.3901682,1.0929111,0.50024724,1.2243168,0.8305065,0.7868675,1.521093,1.2466934,0.6292026,1.071034,1.401875,0.9801653,1.3161813,1.3653882,0.8165819,0.38214612,0.6768427,1.5035958,1.1719451,1.2795634,0.97242427,1.0150813,1.2733152,1.1515521,1.2221262,1.354429,0.7833526,0.5716149
paper,0.46594346,1.2421532,1.2693863,0.5402687,1.1865221,1.3051674,1.5011885,0.85952073,0.44099796,0.84539056,0.50567657,1.502247,0.5052692,0.47326314,1.3716444,0.6054175,0.5238918,1.5156981,1.2878745,0.44885272,1.2264562,1.2793235,1.1639749,1.4671446,1.1775818,1.3189528,0.87800175,0.8750343,1.2275867,1.2705232,1.0439605,1.2643843,0.93148315,0.9904543,1.082054,0.64279246,0.98783857,1.4272071,0.68187815,1.4408431,0.8486731,1.0880116,1.0362537,0.8650343,0.9425957,0.8225249,1.3371584,0.7195429,0.8480216,1.2128493,0.8026198,0.45286763,0.8983799,0.8523071,0.872614,0.67149484,1.3644065,1.1323094,0.8787421,0.81855226,0.8425461,0.74976337,1.5149043,1.1172471,0.79089725,0.7702965,1.1217328,0.7418795,1.2551053,0.68278176,1.1958157,0.73865837,0.89237106,0.7731715,0.85010815,1.1094692,1.2644902,1.4177005,1.0435311,1.5010831,0.9886805,1.373725,1.2483884,0.87229985,0.5545634,0.7498993,0.0,0.988772,1.3144426,1.2791622,1.4894848,0.9777519,1.1715578,1.2435911,1.0858446,0.7191528,1.2532246,1.4263958,1.2269324,0.72649646,1.2786834,0.8274206,1.3460685,1.1000246,1.1358508,0.6093045,1.1958106,0.90845686,1.3074509,0.6727568,0.6128981,1.5175256,1.348817,0.88293386,0.997405,1.1692132,1.0098408,1.4370791,1.3947059,0.98214453,0.6256772,0.40363026,1.3897438,1.3808049,1.3964462,0.7129333,1.0397395,0.8719878,0.909423,1.4079807,1.4858212,0.9319445,0.8131852
pastry,1.0582278,1.0584527,0.9718396,1.1097903,0.9372954,1.0158554,1.0635531,1.0050714,1.1193466,1.1771281,1.1308852,1.210717,1.1902379,0.96937037,1.0418228,1.1128536,0.94691646,1.2204429,0.93172514,1.0015792,0.30362582,1.1507378,1.0909564,1.2373308,1.2131944,1.1274959,1.1217748,1.1187801,0.8474645,1.0276078,0.8910521,0.9354596,1.1136978,0.068446875,0.9981166,1.1418679,0.41183138,1.2281888,1.0715299,1.1230175,0.8932011,0.9623302,1.0191015,1.0201294,0.97593343,1.0693526,0.8520218,1.0350273,1.0798216,1.1131074,0.95884824,0.9785931,0.9339233,1.0677444,0.8890568,0.9900849,1.1856294,1.0974214,0.9659307,1.0176636,0.80689573,1.0461574,1.0611488,0.98309296,1.1055837,1.1469469,1.1722369,1.1552339,1.1492357,1.1104391,1.059784,0.91371447,0.9850345,1.1719964,1.0142108,1.0499372,1.0538828,1.1500782,0.8412714,1.2803608,1.0446277,0.880207,1.125538,0.9650986,1.0866233,1.1422666,0.988772,0.0,1.2471597,1.232579,0.90171653,1.2087111,0.19183278,1.0391598,0.6113859,0.8692863,1.1190228,1.092957,1.0206698,0.9423082,1.1274817,0.6043045,0.9585836,1.0843446,1.1863623,1.0753928,0.9817237,1.0792965,1.2123622,0.8655509,1.1749455,1.1344231,1.0494827,1.1127218,0.8410804,1.0664252,1.0706984,1.1837716,1.1862608,1.0446614,1.1459783,0.892438,0.953209,1.1237721,1.1124659,1.0414053,0.9235302,0.9642177,0.6207821,1.304148,1.2098303,1.1461279,1.2058071
pen,1.451149,0.96782935,0.8037016,1.232829,0.943974,0.8101254,0.5643771,1.090584,1.3704337,1.094879,1.4681666,0.38350588,1.4528248,1.5647762,0.5542165,1.482298,1.109002,0.5062777,0.7510637,1.3670913,0.9688097,0.8248544,0.79978085,0.513769,0.7800888,0.6410035,1.2724338,1.11447,0.9820954,0.6511623,0.93113065,0.83950734,1.0875461,1.2381289,0.8980371,1.4574605,1.1903979,0.19788593,1.359627,0.5099877,1.3283536,0.9897923,1.1469663,1.1424068,0.9688567,1.3400059,0.78134793,1.1101916,1.1753645,0.6667868,1.221246,1.3887049,1.1605744,0.64131975,1.1611432,1.2937722,0.5598647,0.9620775,0.87375516,1.2421037,1.3287191,0.9781921,0.5787193,0.9056017,1.2650648,1.4029742,0.8834182,1.333322,0.19075227,1.2628162,0.7545015,1.3953885,1.0660744,1.303098,1.2100501,0.9369804,0.77985644,0.4077059,0.9933424,0.35661733,1.1084788,0.7887019,0.8183681,1.1394236,1.4109558,1.4022863,1.3144426,1.2471597,0.0,0.07050294,0.7278704,1.2034062,1.0917789,0.7594304,0.92199945,1.3494666,0.79767346,0.64601916,0.9159049,1.3184958,0.74926025,1.249625,0.6794622,0.9879113,0.4454912,1.4044466,0.9100399,1.2820895,0.52225655,1.3640667,1.3233654,0.41535938,0.6729858,1.2584462,1.0624527,0.3493973,1.1031005,0.4808373,0.43311208,1.1161824,1.4265056,1.408689,0.68395966,0.57265913,0.6058457,0.88577104,0.991,1.1151581,1.1250732,0.48468697,0.3446381,1.1725882,1.2220755
pencil,1.4440746,0.90016687,0.860477,1.180283,0.9765384,0.8655939,0.5801345,1.0917562,1.3585202,1.1265047,1.451686,0.46612543,1.4473546,1.5404701,0.5030933,1.4601946,1.0843152,0.59774125,0.79781055,1.3218172,0.9076866,0.9129852,0.85390943,0.574635,0.80521226,0.5823271,1.2952635,1.1100926,0.95238924,0.6696338,0.9227866,0.7975062,1.0563399,1.2050929,0.93251,1.4424851,1.1123213,0.1576401,1.3113922,0.5978396,1.3069658,1.0207233,1.1546644,1.1330991,0.94773453,1.325989,0.8238033,1.1246095,1.1447573,0.60344183,1.2055945,1.3796964,1.1808546,0.6252487,1.1488228,1.3466709,0.55152684,1.0362477,0.95981044,1.216782,1.2832835,0.9299057,0.66252524,0.95151645,1.2291197,1.4164169,0.9654343,1.3278415,0.21073717,1.200068,0.8060888,1.3535265,1.1085966,1.2914555,1.3011199,0.87950635,0.7151787,0.46396166,1.0719783,0.33235216,1.076423,0.81016386,0.8785272,1.1751728,1.4113717,1.390379,1.2791622,1.232579,0.07050294,0.0,0.7162359,1.2231619,1.0550871,0.7835011,0.9407915,1.3159314,0.87234116,0.71912456,0.9074916,1.3397541,0.8494312,1.222509,0.63387144,0.95098007,0.43908894,1.4007524,1.009218,1.2448412,0.4158969,1.3323191,1.3106186,0.47068584,0.7567003,1.19944,0.99815106,0.38677812,1.0659478,0.44617844,0.46321177,1.1508029,1.4413611,1.3942595,0.70349073,0.541612,0.57445306,0.87982047,1.0530032,1.1108522,1.1252233,0.44251758,0.41544902,1.1723684,1.2210168
pickle,1.5509436,0.7630862,0.5024696,1.4190483,0.63185996,0.5470344,0.23882735,1.1734825,1.437296,1.28562,1.5033674,0.45982242,1.5097932,1.4454008,0.56661385,1.5077014,1.2033697,0.6372588,0.76824653,1.403976,0.6591966,0.929524,0.9257932,0.63963544,0.7315195,0.51312304,1.1607981,1.3098506,0.8507134,0.6687505,1.0118482,0.59611094,1.0653858,0.88575673,0.95763934,1.4487537,0.8862584,0.53842384,1.384719,0.6666167,1.0988387,0.94485503,1.0583171,1.1597395,1.1234069,1.3272196,0.526093,1.2990599,1.1190939,0.7045478,1.1867064,1.4443661,1.1135427,1.2033457,0.9337827,1.3006245,0.6153666,0.9458048,0.9585711,1.1351345,1.1397711,1.1373811,0.5836483,0.9395052,1.2132119,1.3995936,1.0443102,1.3136263,0.8651985,1.3118215,0.9343105,1.0183712,1.2020361,1.2179366,1.2656178,0.92467654,0.48810625,0.5020986,1.1024612,0.6723523,1.1189891,0.39438546,0.9104996,1.2775052,1.4544096,1.4077044,1.4894848,0.90171653,0.7278704,0.7162359,0.0,1.0887082,0.63929653,0.84401524,0.77561355,1.096849,1.0468606,0.57496095,0.78867304,1.3276575,0.9253703,1.1463017,0.49721628,1.0423187,0.8946934,1.4164616,0.93390256,1.0061514,0.8126891,1.2839814,1.386589,0.45674598,0.51035345,1.1175233,0.85110843,0.9472935,1.1995106,0.56989604,0.5624555,1.286017,1.431274,1.4054055,0.45677435,0.60268956,0.55141735,1.3035276,1.1685419,1.0644904,1.0767615,0.779153,0.6120012,1.2301432,1.3086714
pillow,0.67574555,0.9091312,1.1108183,0.9715353,1.1292965,1.1106026,1.0274618,0.9522971,0.896592,0.8204974,0.5416527,0.9794315,0.6286089,0.8038951,1.200067,0.3202318,1.0254053,1.0633276,1.0267985,1.0715286,1.1948593,1.0000099,1.0406075,0.99966496,1.0280379,1.0251292,0.85064656,0.80429643,0.80628306,1.2390144,1.0543734,1.1872624,0.82044834,1.2521966,0.9250415,0.51620245,1.0662225,1.1484293,0.9282719,1.140324,1.1505024,1.1740878,0.87301207,0.9668979,1.0341488,0.7351443,1.2384276,0.85413885,1.1115412,1.0832522,1.2168808,0.8146914,1.093762,1.1192168,1.0698166,1.138715,1.1859064,0.5751732,1.0509217,1.1768029,1.0149891,1.0960073,1.1937993,1.1542147,1.0038359,0.6232146,1.189847,0.6505701,1.1181859,0.96273243,1.155554,0.8082856,1.041891,0.52720493,1.0890995,1.1628463,0.85486996,1.2050087,0.77690876,1.0845431,1.0874747,1.1720665,0.89491796,0.83043945,0.7808093,0.51498735,0.9777519,1.2087111,1.2034062,1.2231619,1.0887082,0.0,1.2011495,1.146636,1.1306372,0.98898727,0.9716962,1.0459238,1.0987273,1.0825657,1.1796595,1.1038592,1.0838856,0.87215537,1.2236298,0.8781769,0.93271387,0.80303276,1.0568149,1.0295731,1.0483444,1.0618534,0.94333196,0.86338395,1.0627873,1.1611273,1.0617023,1.0041717,1.1385045,0.9569168,0.8144715,1.0858908,1.1120191,1.1467069,1.0189168,1.1035395,0.62115395,1.1815734,1.2231697,1.0789245,1.1970587,0.8879805,0.59824485
pizza,1.2084498,0.93997884,0.87305194,1.2432185,0.9498747,0.9616307,0.7537895,1.1277713,1.2609572,1.2436545,1.3240503,0.97513586,1.3694851,1.13573,0.8401929,1.2631185,1.027897,1.122603,0.92200154,1.2112527,0.11344385,1.2025049,1.0149493,1.1139435,1.0397655,0.89874524,1.1209532,1.2923722,0.71095747,0.856405,0.8445146,0.82781136,1.0427858,0.12119621,0.94873095,1.3124053,0.3094616,1.0018994,1.2352347,1.0608369,1.0142316,0.9110381,1.0694348,1.1517944,1.0342562,1.2119135,0.7822988,1.1111188,1.069247,1.0080984,1.0592864,1.1631281,1.0623895,1.1063852,0.8574296,1.1519,1.0099581,1.0828961,0.9992681,1.1201721,0.8492796,1.1240307,0.9262275,0.9362477,1.1938581,1.2354369,1.2312322,1.2509292,1.0211874,1.2109846,1.0646377,1.0195018,1.1353894,1.2565343,1.1113006,0.972047,0.88748413,0.96682227,0.88675463,1.0948286,1.0869889,0.7275401,1.133362,1.0656363,1.2705741,1.2947962,1.1715578,0.19183278,1.0917789,1.0550871,0.63929653,1.2011495,0.0,1.0311154,0.51892745,0.9662944,1.1627457,0.91053474,0.9436662,1.1303642,1.0473536,0.6294507,0.6787637,1.0082841,1.0591125,1.2355462,0.9716602,1.0876648,1.0993575,1.0142664,1.2779367,0.8797439,0.87206453,1.1577473,0.7536126,0.9841095,1.0778111,0.97107655,1.0261387,1.0833218,1.3160341,1.099801,0.81616426,0.9734094,0.9078704,1.129931,0.97932214,1.0566305,0.60018855,1.1709404,1.0426924,1.2256491,1.2543119
