,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,carrot,chair,chips,clock,coffee,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,finger,fish,flower,fork,frog,glasses,glove,gum,hamburger,hand,hat,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,soup,spoon,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
can,1.3053181,0.5912438,1.2028048,1.2687416,1.1063446,0.65311337,1.239177,0.6688914,1.1005142,1.4461199,0.5262444,1.310542,1.2074063,1.4301322,0.5776995,0.23671323,1.2770703,1.248754,0.94805694,0.46954358,0.0,1.0600044,1.2071531,1.0801842,1.2849865,0.5153164,0.9903448,1.4060547,1.4106215,0.45522654,1.2377359,0.55890685,1.1932471,1.202374,1.2382451,1.163257,0.90369326,0.7027788,1.1389304,0.83067316,0.7153139,0.5396591,1.175033,0.86050713,0.56649774,1.1438602,1.1942339,1.3984894,0.53237736,0.7389633,1.2171493,0.46197772,1.2169162,0.62008786,1.1107332,1.386744,1.0109822,1.3583846,0.71119016,1.1502266,0.84885913,0.97191674,0.8531213,0.74079835,0.5243434,1.3755815,1.0220745,0.5984958,0.5881916,1.2053927,0.63449734,1.045969,0.73249364,0.92744565,1.2665784,1.2825006,0.5586653,1.0042353,0.7480589,1.4765773,1.2667632,0.9261159,1.2695922,0.6842559,0.59685695,1.3259184,1.2774441,0.5425417,0.69039625,0.8714948,1.4580249,0.72888315,0.72029865,1.3364208,1.5209186,0.48076296,0.7308823,0.73313224,1.1367847,0.9577421,0.68788123,0.43517244,0.49276447,1.0818849
car,1.0739887,1.0003095,0.8359766,0.8414851,1.0906084,1.0897019,1.0275981,1.0181303,1.0266788,1.0314037,0.9713989,0.9635666,0.9249428,0.947429,0.8618574,1.0913095,1.1054345,1.1060852,0.99923736,1.1618532,1.0600044,0.0,0.85217804,1.0075411,1.1271268,1.0482383,1.0916877,1.0721154,1.0419444,1.025605,1.0316694,1.1949943,1.1333827,0.91472024,1.0863045,0.8913813,0.9420171,0.9636791,0.83911693,1.0130416,1.0817567,0.9240027,1.0389191,0.8888055,1.0533066,0.94269735,1.0352952,0.88668764,1.0230347,1.2113268,0.9163209,0.9004213,0.97424275,1.2090931,0.86124516,1.0330327,1.1238108,0.8649066,1.1574982,1.0715612,0.82118994,0.9191761,0.92125773,1.0256697,1.0845146,0.89522874,1.0744617,0.93495166,1.0921357,0.9505299,0.95493776,0.88897884,1.1934457,1.0425243,0.7367348,0.939594,0.8587669,0.9840094,1.2279001,1.0457997,1.1751883,1.1341361,0.9277828,0.973492,1.0620526,1.0264952,0.9756095,0.94096434,0.93459344,0.9630313,1.0964878,1.0021021,1.1528859,0.96840644,0.9673588,1.0626541,0.9307009,1.0457138,0.90879667,1.1345141,1.1247934,1.0363469,0.97730637,1.0439641
carrot,0.94683456,0.9313041,0.7679742,0.9760815,0.99924743,0.8883133,0.9520516,1.3263459,1.1113522,1.05394,0.90343344,1.1209514,0.9910162,1.0355428,1.1838741,1.2284303,0.8507242,0.9721471,0.98193675,1.2920041,1.2071531,0.85217804,0.0,1.2089686,1.0777941,1.0806347,0.81362534,1.0964503,0.9306945,0.9186435,1.0582044,1.2085061,0.93424785,0.99437624,1.0670536,1.0854591,0.9047387,0.6819278,0.64750326,0.8671762,1.1190159,1.0766866,0.8470715,0.95751053,0.9888606,0.86402625,1.0476499,0.81429803,1.1541426,1.3057976,1.0949059,1.1038432,1.003717,1.2068692,0.9956617,1.0128177,1.2024864,0.95294076,1.2627333,1.0266296,0.6588832,1.2166731,0.8864493,0.63711244,1.1771839,0.96628433,1.2075887,0.9661915,0.9304759,0.7112589,1.2690662,0.7274716,1.2078955,1.0170914,0.94798785,1.0309641,1.1117517,1.2509414,1.0126519,0.99159074,0.9114825,0.80831873,1.0788287,1.0820434,1.0349591,0.8799582,0.98639333,0.9565673,0.95162046,0.9168582,0.95232856,0.976111,1.2695175,1.023476,0.99095845,0.9398608,0.7450261,1.0654877,1.1900538,0.9321927,1.124397,1.139088,1.0901043,1.119765
chair,0.9170132,1.4587147,0.98378766,0.886547,1.1059421,1.4411497,1.333753,0.74588597,0.6326538,0.5795187,1.3769808,0.41893923,0.677835,0.5914712,0.95956445,1.1724135,1.1059245,0.5670419,1.2977985,0.8813101,1.0801842,1.0075411,1.2089686,0.0,1.1549824,1.2656125,1.0080112,0.48435748,1.167921,1.3486896,0.3517326,0.9652419,1.0703112,0.8166854,0.76999664,0.7008312,0.93790376,1.3326731,1.2522504,1.1997771,1.2314703,1.2366455,1.4290333,1.246844,1.1719555,0.978373,1.0223911,0.9837842,1.25572,0.9313985,0.7669286,1.239607,0.59480083,1.1043911,1.0597626,1.187705,0.71904194,0.80601656,0.75172573,1.174763,1.393475,0.75572824,1.0251423,1.2878376,0.85518634,0.7060871,0.7744923,1.3129413,1.3088669,1.3925104,0.92120373,1.2704926,1.1017226,1.417149,1.0839356,0.63075405,1.1098171,0.64511764,1.2979027,1.1490989,1.0500088,1.1130756,0.75665736,1.1078007,1.1526214,0.92884177,0.54988533,1.3730824,1.439363,1.1575303,1.0376114,1.0808161,0.65883577,0.74170077,0.76130253,1.273232,1.3212426,1.1939496,0.7003293,0.84882426,1.088293,1.1859825,1.287545,0.8005874
chips,0.7812692,1.2060988,1.0934489,1.0381551,1.1108587,1.1819751,0.4334221,1.1298908,1.044818,0.92474043,1.2427684,1.0114121,1.0531702,0.9415464,1.1613681,1.2435322,0.59101546,0.92355484,1.0910982,1.1430886,1.2849865,1.1271268,1.0777941,1.1549824,0.0,1.2807972,1.0528148,0.9671074,0.5566568,1.2120233,1.0210887,1.1382557,0.71479446,1.1373051,1.1457584,0.99582446,1.0887309,1.2331645,1.0444497,1.1076587,1.126257,1.2277051,0.68272036,1.1570197,1.2707899,1.0493916,1.0696906,1.0717865,1.2547623,1.1072766,1.0446993,1.2393926,1.0290651,1.2172724,1.0348953,0.35325104,1.0217541,0.94234115,1.0743463,0.77458906,1.1748093,1.0799897,1.1302981,1.1564616,1.1653864,1.0443543,1.0013776,1.2840731,1.1997838,0.632772,1.3311001,0.9755901,1.1663604,0.66247046,0.9711044,0.9735829,1.236855,1.1019236,1.0085965,0.26155305,0.7899998,1.1391789,1.0343922,1.2516818,1.1768036,0.8527301,1.0078126,1.241262,0.9464197,1.0994574,0.6153407,1.2688402,1.0680588,0.9515915,0.77042943,1.2226193,1.2289004,1.168512,1.0289127,1.0410428,1.0066612,1.207486,1.3226447,1.1090486
clock,1.3806067,0.34222245,1.126739,1.2577982,0.87298083,0.40725803,1.2096205,1.1022387,1.1923338,1.4381173,0.47640967,1.3743103,1.3255217,1.4285736,0.7786036,0.47415024,1.1733158,1.3508353,0.66699654,0.90459937,0.5153164,1.0482383,1.0806347,1.2656125,1.2807972,0.0,0.8938581,1.4254112,1.2553543,0.4211861,1.3646073,0.832268,1.2188002,1.1268147,1.2724144,1.2275559,0.9978573,0.5160279,1.0743624,0.6342097,0.73009306,0.4391592,1.0810887,0.68288386,0.69145787,1.1031097,1.0100691,1.2768055,0.36820507,0.99408525,1.2843035,0.41676426,1.3051289,0.5241556,1.188904,1.2933404,1.1818401,1.3929793,1.012153,1.12905,0.6724494,1.0670412,0.9479672,0.60847324,0.9527266,1.3486731,1.0241882,0.4964841,0.54308283,1.1607252,0.8611589,0.9459418,0.82514757,0.88815296,1.0740663,1.4342568,0.75320166,1.1367486,0.7119515,1.3883655,1.1712997,0.9468117,1.2238964,0.70519185,0.67299676,1.1289884,1.3358665,0.4539935,0.6382997,0.82957244,1.331429,0.7844831,1.0570186,1.2817413,1.318559,0.5428448,0.7767208,0.87148106,1.2000997,1.0727153,0.8365962,0.48101616,0.47596037,1.0779018
coffee,1.1332877,1.0857177,0.8272712,1.1275709,0.75481033,0.8672819,1.0043736,1.0317323,1.1193786,1.1627007,1.0856218,0.99267304,1.0164968,1.0847441,1.0661845,0.9765163,0.8961819,0.9345365,0.7726287,0.7904578,0.9903448,1.0916877,0.81362534,1.0080112,1.0528148,0.8938581,0.0,1.1486518,1.0273174,1.0669302,1.0816737,0.7880346,0.8810288,1.0787779,0.97391754,0.9979383,0.90364397,0.9233403,1.1465858,1.0413263,0.979214,1.043099,1.0529745,1.1793337,0.9588317,0.9668482,0.72729236,0.97932935,0.92820454,0.9251994,1.1665477,1.120453,1.0412937,0.85779,0.97298497,1.0665891,0.8925147,1.0365067,0.92791337,0.99341184,1.0165597,0.87975556,1.0584707,0.98355293,1.1058924,1.2205607,0.98812485,1.0929748,0.99333596,1.0051503,1.1110476,1.0969492,0.94359696,1.1072291,1.0762049,1.045671,1.0056635,0.95363224,0.8968609,1.1344293,0.9692808,0.87306917,1.1303897,1.1845316,1.0728654,0.885813,1.104613,1.0984098,1.103626,0.9651762,0.96569276,0.93540454,0.954727,1.0570434,1.1031038,0.7842227,0.9678977,1.1758904,0.933121,0.84822404,0.9755091,1.0772732,1.0963079,0.9563629
couch,0.7992111,1.4140308,1.0756248,0.8994057,1.1557108,1.3978953,1.1354978,0.9800036,0.58451736,0.054686546,1.4278016,0.50541115,0.61719316,0.2192725,1.2087882,1.3704305,1.087588,0.63255876,1.3676713,1.154501,1.4060547,1.0721154,1.0964503,0.48435748,0.9671074,1.4254112,1.1486518,0.0,1.0187486,1.4483285,0.38885033,1.1937869,1.0895162,0.51517636,0.76470554,0.736011,1.0412098,1.2987026,1.2296576,1.1633106,1.2944798,1.4309008,1.1813705,1.2455939,1.2313974,0.953738,1.1224657,1.004975,1.4346142,1.1326075,0.7199035,1.315056,0.65389454,1.2119395,1.0245836,0.9789209,0.8881339,0.7687771,0.92187005,1.0994705,1.3664212,0.9094694,1.2004217,1.2992629,1.0956573,0.52194524,0.9027915,1.4905976,1.433766,1.192384,1.0366287,1.1601478,1.1371952,1.3214138,1.021995,0.6235973,1.2049783,0.7676103,1.3012004,0.8912751,0.87471163,1.2111431,0.7118939,1.2442393,1.3158512,0.9768855,0.56170785,1.4414212,1.3438902,1.2559752,0.88067114,1.3335688,0.88940877,0.54261076,0.6458843,1.4882717,1.3635066,1.2826867,0.7724202,0.9329348,1.1942084,1.2847996,1.386758,0.8395968
cracker,0.83891463,1.2374679,0.8418069,0.8232132,1.0441672,1.2245636,0.5653469,1.1936835,1.1328206,0.9256438,1.3177826,1.039819,1.0174179,0.9232064,1.2841282,1.3294946,0.6463023,0.9808677,0.9145664,1.2467111,1.4106215,1.0419444,0.9306945,1.167921,0.5566568,1.2553543,1.0273174,1.0187486,0.0,1.2562878,1.0707481,1.2062429,0.7168691,1.0896125,1.1515638,1.0038364,1.1257162,1.1938426,0.88750565,1.1079417,1.1724379,1.2660565,0.66096306,1.1513909,1.2475439,1.0418746,0.84218085,0.7456072,1.234216,1.1543559,1.0412176,1.2552766,1.0745072,1.2578111,0.9358333,0.5633174,1.0781206,0.7707971,1.2353776,0.66719735,1.107558,1.0950967,1.1385676,1.1846515,1.2913612,0.9928982,1.062908,1.1652683,1.1744373,0.63831484,1.35966,1.0654777,1.2631896,0.81176865,1.0014031,0.9639042,1.2367806,1.1041106,1.0049711,0.46014333,0.7457012,1.0746322,0.9899,1.220548,1.1784534,0.7603444,1.0205877,1.2121419,0.86355114,1.06493,0.5169331,1.1707697,1.241261,0.9159866,0.7262857,1.2368454,1.0948144,1.111326,1.0509446,1.1711196,1.0822815,1.2506839,1.2742164,1.1430814
crayon,1.2701621,0.35418558,1.2810133,1.2118356,1.073589,0.60123533,1.1966815,0.9650691,1.188649,1.4324276,0.3417334,1.3880303,1.396502,1.4719167,0.7869351,0.50841844,1.2800397,1.353504,0.8300772,1.0047853,0.45522654,1.025605,0.9186435,1.3486896,1.2120233,0.4211861,1.0669302,1.4483285,1.2562878,0.0,1.3361388,0.9691911,1.2705785,1.2114972,1.278943,1.3228226,0.8644122,0.4261105,0.8177974,0.61004627,0.6792585,0.39078015,0.9889395,0.6189554,0.74211335,1.0963639,1.1902188,1.2169001,0.6673443,0.9928937,1.2603835,0.37727094,1.2524492,0.6551891,1.0357189,1.3385167,1.3153449,1.4093744,1.1480868,1.0484829,0.5033934,1.2761865,0.7564932,0.45468992,0.7723205,1.3791051,1.1064296,0.18527675,0.15111876,1.0500673,0.8021697,0.8595985,0.8623585,0.8949306,1.1077673,1.4076405,0.8281966,1.3165852,0.82061815,1.3838037,1.2741771,0.73498744,1.3396356,0.79410326,0.39029932,1.3001263,1.2718854,0.2882806,0.5179991,0.7023179,1.4370464,0.6873786,1.1714444,1.3528556,1.4654734,0.55749166,0.50108194,0.63336015,1.3653667,1.0658641,0.89284253,0.42351615,0.44706297,1.1372218
crib,0.9084979,1.4084626,1.1003735,0.9528458,1.2010441,1.3698457,1.2360501,0.77375287,0.53371507,0.4899115,1.347245,0.42795366,0.7734037,0.6625416,1.0896955,1.28775,0.9903575,0.37687045,1.4169779,0.9341317,1.2377359,1.0316694,1.0582044,0.3517326,1.0210887,1.3646073,1.0816737,0.38885033,1.0707481,1.3361388,0.0,1.1149366,1.04282,0.83370715,0.9018203,0.7880454,0.9230103,1.2741207,1.2239228,1.2815083,1.212719,1.305703,1.3095782,1.2858157,1.2763146,0.86151606,1.1608392,1.0206218,1.3825607,1.0127993,0.83567035,1.2772475,0.46423656,1.2254655,1.0666946,1.0419097,0.7627277,0.930742,0.8093023,1.1717494,1.3235705,0.9912122,1.2123094,1.2760098,1.0467108,0.6591766,0.8297359,1.3843051,1.2948309,1.2823664,1.2150639,1.2218004,1.1256508,1.2908173,1.03781,0.5343923,1.1973361,0.7842604,1.2424833,0.97521836,0.85095614,1.1615264,0.75484693,1.2477006,1.2376884,0.9134335,0.5136468,1.3979611,1.3721064,1.26683,0.86685306,1.264972,0.77122664,0.62508833,0.6225075,1.3408012,1.3521333,1.206172,0.886812,0.75620407,1.131677,1.2377167,1.3538165,0.87272906
cup,1.1642655,0.92710245,1.0281553,1.133943,0.8238746,0.917125,1.1144108,0.8499378,1.0463572,1.2596626,0.9675474,1.1168664,1.082011,1.2096432,0.76999897,0.58642304,0.8791517,0.9951334,0.8371434,0.32660866,0.55890685,1.1949943,1.2085061,0.9652419,1.1382557,0.832268,0.7880346,1.1937869,1.2062429,0.9691911,1.1149366,0.0,0.93764347,1.0195937,1.0608258,1.1543332,1.0285513,0.98505473,1.2170216,0.9706404,0.8490829,0.88828015,1.1388825,1.0768999,0.88036346,0.9751659,0.79049003,1.0983478,0.84637517,0.7282561,1.2145443,0.8205137,1.1358244,0.7538168,1.1333418,1.1274334,0.8205707,1.1779596,0.73737794,1.1750554,1.1310863,0.7222248,1.2275541,1.0585768,0.89078987,1.2505374,0.7784281,1.0139196,0.9770713,1.2344338,0.8933837,1.2073702,0.75791615,1.0142858,1.2372799,1.0487285,0.809772,0.8761391,0.9246135,1.187443,1.0023881,0.9803299,1.0959135,0.89398146,1.0229973,0.9287349,1.2133434,0.98323226,0.99441886,1.1503268,1.0425746,0.82139754,0.78659874,1.1675625,1.1004905,0.7420458,1.0373495,1.0227557,0.8684943,0.8167624,0.7798063,0.8188811,0.77860165,1.075742
dish,0.8889649,1.1665219,0.6641322,1.0886853,0.9823745,1.0496774,0.7249857,1.0718392,1.111029,1.0759807,1.2010926,1.0089647,1.050489,1.075774,1.0131027,1.1895797,0.24909383,0.92558044,0.86386335,1.0129526,1.1932471,1.1333827,0.93424785,1.0703112,0.71479446,1.2188002,0.8810288,1.0895162,0.7168691,1.2705785,1.04282,0.93764347,0.0,1.1105337,1.1366177,1.0446932,0.9942499,1.2762082,0.98358136,1.1155694,1.0656896,1.0951577,0.7373173,1.2443777,1.141195,1.0132532,0.9201744,1.0161587,1.1141789,1.0280676,1.0758764,1.2447615,1.1402303,1.1610699,1.0642908,0.66907316,0.9369598,0.9155377,1.1713119,0.6380841,1.2173879,0.98297393,1.024494,1.1309077,1.0814092,1.0584276,0.9860118,1.2218797,1.1993558,0.6115725,1.2141991,0.73881805,1.0894182,0.5137714,1.05286,1.1016297,1.1661068,1.0943573,0.9260513,0.6884871,0.7903997,1.0044702,1.1151696,1.2577587,1.1937706,0.478464,1.093581,1.2300535,1.208438,1.1374327,0.5441483,1.0077587,1.175216,1.0943516,0.8072438,1.099791,1.2015914,1.1609889,1.0241095,1.063457,0.77210426,1.2994918,1.3479028,1.0023321
dog,1.0210823,1.1757268,1.0143588,1.0361351,0.85292506,1.1242243,1.0567936,0.958826,0.8576206,0.5260834,1.2233808,0.8886005,0.8850225,0.39192897,1.0476571,1.209244,1.1151556,0.9301888,1.1771431,1.021832,1.202374,0.91472024,0.99437624,0.8166854,1.1373051,1.1268147,1.0787779,0.51517636,1.0896125,1.2114972,0.83370715,1.0195937,1.1105337,0.0,0.87486225,0.9156576,0.9188507,1.0941975,1.1916986,1.0685371,1.0939472,1.180167,1.0116543,0.98798114,1.0880665,0.9618556,1.1331263,1.1197413,1.0859965,1.0578148,0.9444547,1.1585293,1.020697,1.0905919,1.026913,1.0478822,0.98575544,0.99955064,0.94488096,1.0535486,1.1279653,0.8788613,1.1354108,1.1207691,1.1472465,0.7363712,0.9374281,1.228158,1.221334,1.1154386,0.8844444,1.0754107,1.005223,1.200733,0.9595849,0.90730745,1.0006318,0.87175536,1.0785,1.0448351,1.0488509,1.0272253,0.8891239,0.899252,1.1140862,1.0329522,0.9717834,1.1520907,1.1244361,1.255156,1.0236638,1.1623508,0.92232,0.886869,0.90093404,1.1300367,1.1707953,1.1643902,0.84658825,0.9753578,1.1472225,1.1262039,1.1345065,0.9699911
doll,0.87346166,1.1949524,1.1013874,1.0217757,0.82679296,1.1997826,0.9680243,0.89955145,1.0777674,0.84888357,1.158773,0.76209176,0.6167985,0.72535396,1.1448219,1.211662,1.2890631,0.80621177,1.0875078,1.0356647,1.2382451,1.0863045,1.0670536,0.76999664,1.1457584,1.2724144,0.97391754,0.76470554,1.1515638,1.278943,0.9018203,1.0608258,1.1366177,0.87486225,0.0,0.8919543,1.0045239,1.12217,1.0430177,1.1946924,0.9994401,1.1637949,0.9212122,1.1073979,0.94208354,0.9764658,0.94249195,0.8345983,1.1389977,0.81939197,0.691651,1.2666088,0.94203526,1.0587748,0.92217934,1.0771036,0.82420707,0.8574507,0.8621115,0.94610715,1.1692016,0.7858652,0.9227102,1.2032903,0.95357114,0.8101209,1.0424242,1.1809952,1.2043494,1.0966172,0.7590066,1.0976573,0.90676236,1.2980328,0.8684193,0.83098716,1.1656836,0.92715544,1.0821466,1.1252668,1.2411911,0.7517364,0.85725796,0.9594548,1.0960462,1.2372274,0.9739979,1.170321,1.2109435,0.97273934,1.2046852,0.8796408,0.8244105,0.9301003,1.1322404,1.0959204,1.0525271,0.86941254,0.7373756,0.68355757,1.1985081,1.1815954,1.123358,0.8973929
door,0.9178548,1.2922478,0.93571496,0.863037,1.167908,1.2436053,1.0502628,1.0212549,0.6230111,0.72691035,1.3873384,0.6886845,0.83226216,0.73428535,1.2190753,1.1741885,1.0578024,0.85515124,1.1164821,1.058419,1.163257,0.8913813,1.0854591,0.7008312,0.99582446,1.2275559,0.9979383,0.736011,1.0038364,1.3228226,0.7880454,1.1543332,1.0446932,0.9156576,0.8919543,0.0,0.9860198,1.259757,1.1875489,1.1595627,1.1875315,1.3116126,1.1645619,1.1782908,1.2555752,0.9424521,0.9319552,0.94910747,1.2435925,1.0664601,0.8304595,1.1985933,0.6865276,1.0559362,0.941327,0.9417696,0.9292168,0.6957121,0.8765482,1.1793871,1.2875407,1.0088706,1.0661954,1.2902822,0.91397375,0.77026486,1.0245444,1.328185,1.3172351,1.1430225,1.1407369,1.162473,1.0409693,1.2288679,0.9772647,0.8281292,1.138315,0.6636407,1.2056617,0.90006363,0.97862345,1.2468666,0.75394654,1.2935183,1.2343206,0.9597577,0.65789545,1.3678833,1.3360877,1.0992457,0.8906428,1.2259425,0.90945786,0.6679746,0.8283783,1.3720467,1.2692815,1.127938,0.9388743,1.1328883,1.1583253,1.1749063,1.2901709,0.62082446
drawer,1.0280224,1.0103483,1.0789727,1.0419219,0.90830123,1.069909,1.1075853,0.6765608,0.9294128,1.0353451,0.91674536,0.9506671,1.0858674,1.082524,0.8183054,1.1032996,1.080004,0.8410316,1.1890268,0.9103657,0.90369326,0.9420171,0.9047387,0.93790376,1.0887309,0.9978573,0.90364397,1.0412098,1.1257162,0.8644122,0.9230103,1.0285513,0.9942499,0.9188507,1.0045239,0.9860198,0.0,0.95847803,0.92945445,1.0885941,0.93259585,0.8758786,0.95925117,0.96988237,0.97788733,1.0015554,1.2956731,1.1040359,1.0700994,0.9534287,1.1501272,1.096504,0.92995566,1.0911537,1.0806354,1.1346433,0.9475803,1.1406189,1.0637579,0.86345285,0.9157284,1.0544746,0.9190867,0.9016501,0.8572508,1.1665195,0.9039626,0.83436894,0.79001206,0.9552688,0.8633569,0.8097879,0.9489083,1.018581,1.0838448,1.0122205,0.81733125,1.0756606,0.92423713,1.1489812,1.246123,0.76891017,1.2292099,0.8661033,0.9205843,1.1619468,1.0407425,0.84952956,1.0096887,0.99491405,1.2311262,0.99696994,1.0083303,1.1060917,1.2023478,0.7915914,0.8625636,0.9396007,1.1278083,0.792382,0.9483417,1.1115448,1.027829,1.0382329
egg,1.2798715,0.33470428,1.1392841,1.2230681,0.9264529,0.5871976,1.1646854,1.1165802,1.1560684,1.2996844,0.42583203,1.3366922,1.2766724,1.3195957,1.0023326,0.61477053,1.2407318,1.2947574,0.7662713,1.1208645,0.7027788,0.9636791,0.6819278,1.3326731,1.2331645,0.5160279,0.9233403,1.2987026,1.1938426,0.4261105,1.2741207,0.98505473,1.2762082,1.0941975,1.12217,1.259757,0.95847803,0.0,0.7586842,0.71308434,0.8947173,0.73396033,1.0420921,0.55812657,0.74282324,1.0725967,1.0826876,1.121567,0.67678523,1.1326927,1.224115,0.51066065,1.1865504,0.76880574,1.130927,1.2911558,1.3026729,1.326059,1.1158574,1.0815828,0.36072904,1.2605386,0.883728,0.41192538,0.9464547,1.2704449,1.236544,0.5113908,0.59316903,1.0796103,0.909093,0.9981261,0.99180084,1.0343187,1.0420998,1.3266592,0.8318894,1.2411387,0.8210427,1.3193865,1.1747476,0.91828763,1.2756981,0.7571846,0.8417711,1.1906985,1.1684608,0.504463,0.48685527,0.70998585,1.355157,0.78480065,1.1477678,1.2506366,1.334275,0.5962325,0.519956,0.8849016,1.3119256,0.98947895,1.094207,0.4906603,0.4071018,1.1353314
finger,0.81963855,0.89689577,0.85473907,0.6794766,1.1189963,1.0497551,1.0512844,1.1826081,1.2244071,1.1258723,0.79968625,1.2583195,0.94791114,1.1514934,1.1031209,1.188109,0.9886992,1.2205682,0.9977826,1.3544984,1.1389304,0.83911693,0.64750326,1.2522504,1.0444497,1.0743624,1.1465858,1.2296576,0.88750565,0.8177974,1.2239228,1.2170216,0.98358136,1.1916986,1.0430177,1.1875489,0.92945445,0.7586842,0.0,0.7375709,1.0853617,0.94150287,0.9570685,0.6065794,0.80765826,0.9789221,1.068101,0.42549878,1.0762863,1.1707296,0.93470764,1.0707504,1.1296145,1.2736882,0.8659232,1.112394,1.2198477,0.9998732,1.336047,0.88867575,0.47739315,1.3093092,0.64346194,0.6880306,1.0519015,1.011163,1.2834685,0.6251149,0.7204317,0.76084524,0.921301,0.7056376,1.2423576,1.0599498,1.0387189,1.0944585,0.95174974,1.2832237,1.1630387,1.050432,1.0512881,0.81106067,1.1058519,0.91772354,0.91220933,1.0237443,1.122546,0.83037543,0.9531988,0.68763375,1.0953902,0.8672601,1.2828711,1.0950406,1.1842749,0.91461116,0.3598166,0.7202258,1.2848649,1.1472709,1.1569797,1.0703027,0.80871385,1.1242256
fish,1.0635679,0.6221993,1.0614195,0.7595818,1.1553595,0.8155983,1.0536665,1.2911198,1.1644816,1.1162777,0.6491921,1.2071062,0.9852584,1.0904455,0.9417107,0.7373169,1.092191,1.2397091,0.77635646,1.1666846,0.83067316,1.0130416,0.8671762,1.1997771,1.1076587,0.6342097,1.0413263,1.1633106,1.1079417,0.61004627,1.2815083,0.9706404,1.1155694,1.0685371,1.1946924,1.1595627,1.0885941,0.71308434,0.7375709,0.0,1.0154394,0.7735136,1.0132337,0.81605875,0.75727314,1.1249913,1.0329021,0.95313144,0.9654163,1.2206134,1.0544406,0.67810434,1.1880349,0.8781131,1.0490971,1.1111301,1.286546,1.0984826,1.1695975,1.0485848,0.82033443,1.1080277,0.86842835,0.54735994,0.9257841,1.0519577,1.18301,0.7183996,0.6796983,0.895779,0.9124613,0.788612,1.1079522,0.97811556,1.0714102,1.2139335,0.9262414,1.1682401,1.0807657,1.1329244,1.138138,0.95773923,1.0880628,1.0096856,0.8443384,1.1182846,1.160926,0.80878115,0.80891323,0.91851544,1.2360879,0.9269654,1.1554179,1.0621991,1.2171419,0.9170452,0.6996611,0.90859044,1.159486,1.1463602,0.9363566,0.7266842,0.73888785,1.0542732
flower,1.1552597,0.7701113,1.2090639,1.2741709,0.9604979,0.6786188,1.0320784,0.85944426,1.199753,1.3435638,0.64888537,1.2446516,1.2293203,1.342441,0.8138036,0.78408617,1.2216233,1.2356869,0.9951692,0.8487332,0.7153139,1.0817567,1.1190159,1.2314703,1.126257,0.73009306,0.979214,1.2944798,1.1724379,0.6792585,1.212719,0.8490829,1.0656896,1.0939472,0.9994401,1.1875315,0.93259585,0.8947173,1.0853617,1.0154394,0.0,0.5963954,0.8965081,0.99267066,0.8124397,1.0556107,1.1159831,1.2431128,0.69136643,0.8992994,1.2535543,0.72725654,1.1430546,0.6707204,0.94659555,1.1637805,1.1047652,1.3214221,0.9365779,1.0013859,0.9871318,0.9665287,1.0787274,0.9543906,0.88842213,1.3422914,0.948333,0.66179734,0.56208944,1.0607852,0.76895046,0.8701879,0.15905684,0.93285376,0.9987355,1.2240386,0.77339494,1.1368252,0.6565965,1.2554682,1.1881061,0.6980226,1.2454648,0.921185,0.55623394,1.2462734,1.2329371,0.80361706,0.8735067,0.9812149,1.2554774,0.8164939,0.99462456,1.2488055,1.3243399,0.8123177,0.930877,0.7491336,1.0820985,0.99102837,0.88020265,0.66052866,0.77712226,0.8742267
fork,1.262781,0.5490898,1.2089595,1.2269219,1.0295801,0.67449605,1.1419121,0.89707124,1.198066,1.4453523,0.430727,1.3453038,1.2435522,1.4152542,0.5803883,0.7051806,1.1633086,1.3568865,0.8377992,0.95662975,0.5396591,0.9240027,1.0766866,1.2366455,1.2277051,0.4391592,1.043099,1.4309008,1.2660565,0.39078015,1.305703,0.88828015,1.0951577,1.180167,1.1637949,1.3116126,0.8758786,0.73396033,0.94150287,0.7735136,0.5963954,0.0,0.9783257,0.7230863,0.64245397,1.1382891,1.1464946,1.1993302,0.5963605,1.0151875,1.220634,0.46191162,1.2764639,0.7137832,1.0747968,1.3340409,1.1993613,1.4067459,1.0608352,0.9616448,0.7271783,0.91327316,0.7831851,0.6458656,0.83520335,1.3319829,0.9464797,0.32832015,0.39616936,0.9848596,0.66869855,0.80643225,0.73971283,0.7991954,0.94751436,1.3523693,0.7804529,1.1794318,0.8612225,1.4234724,1.2948045,0.73352295,1.2981563,0.7356256,0.5854213,1.1421742,1.3081119,0.43937254,0.65410435,0.84932166,1.3950117,0.5729482,1.0918946,1.384218,1.4258683,0.5987099,0.7138318,0.7369313,1.065536,1.1100833,0.7455256,0.6891631,0.60788524,1.0253063
