,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,carrot,chair,chips,clock,coffee,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,finger,fish,flower,fork,frog,glasses,glove,gum,hamburger,hand,hat,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,soup,spoon,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.1956984,0.3292163,1.2137811,1.2153921,1.0331327,0.5928565,1.0791355,0.96279263,1.220423,1.4389038,0.0,1.4153464,1.2572765,1.4446793,0.7005934,0.5501338,1.2694652,1.3660177,0.8046703,1.1065793,0.5262444,0.9713989,0.90343344,1.3769808,1.2427684,0.47640967,1.0856218,1.4278016,1.3177826,0.3417334,1.347245,0.9675474,1.2010926,1.2233808,1.158773,1.3873384,0.91674536,0.42583203,0.79968625,0.6491921,0.64888537,0.430727,0.9556633,0.56059015,0.5657136,1.1921601,1.304396,1.274797,0.5834,1.0436319,1.1523093,0.38004506,1.291429,0.7677157,1.1584088,1.3169575,1.3341798,1.5038441,1.0931917,0.95679796,0.4891675,1.176909,0.66505957,0.42661422,0.7294258,1.2759471,1.2037067,0.36346304,0.39234972,0.90606403,0.70457345,0.7242561,0.8398285,0.87606406,0.984694,1.3997345,0.6190223,1.3544757,0.8644584,1.3961158,1.321903,0.8211854,1.2541711,0.68459135,0.5758265,1.3141122,1.3122115,0.3077836,0.56805646,0.7694583,1.4939014,0.6930702,1.0787687,1.3905609,1.5102167,0.51585627,0.6011857,0.7782334,1.2904382,0.98411417,0.7524599,0.4982865,0.36759007,1.1175028
bench,0.8445618,1.44722,1.0624892,0.81129926,1.0753021,1.445203,1.249581,0.7867563,0.60098696,0.5641623,1.4153464,0.0,0.80944276,0.65280765,0.9829258,1.3545158,1.018505,0.39906502,1.2660055,0.9980551,1.310542,0.9635666,1.1209514,0.41893923,1.0114121,1.3743103,0.99267304,0.50541115,1.039819,1.3880303,0.42795366,1.1168664,1.0089647,0.8886005,0.76209176,0.6886845,0.9506671,1.3366922,1.2583195,1.2071062,1.2446516,1.3453038,1.257583,1.3602123,1.3398068,0.93751884,0.85297465,0.87047106,1.4780262,0.99659324,0.7507686,1.290837,0.4814191,1.1754572,0.95816994,1.0478572,0.7867092,0.8146107,0.9059999,1.0724163,1.4317874,0.9494131,1.2112894,1.3138783,0.88549805,0.71269345,0.6943623,1.3662403,1.2967451,1.2895392,1.0405185,1.2249154,1.0944235,1.2699809,0.92064285,0.6085404,1.283016,0.7925953,1.3009616,0.96201706,0.9506651,1.0828737,0.78726894,1.3429008,1.2948875,0.87015194,0.50446784,1.4310862,1.4015987,1.1540775,0.9322751,1.1584057,0.88658494,0.6603691,0.656144,1.4031768,1.4175156,1.2270858,0.8472222,0.73612493,1.047096,1.3370613,1.47594,0.7168
bib,0.87559885,1.3275691,0.94877356,0.7669063,1.1324108,1.281465,0.96344167,1.0259387,1.0961784,0.64021397,1.2572765,0.80944276,0.0,0.5525627,1.1550573,1.2295605,1.1569288,0.9191425,1.1468191,1.1333659,1.2074063,0.9249428,0.9910162,0.677835,1.0531702,1.3255217,1.0164968,0.61719316,1.0174179,1.396502,0.7734037,1.082011,1.050489,0.8850225,0.6167985,0.83226216,1.0858674,1.2766724,0.94791114,0.9852584,1.2293203,1.2435522,1.0910449,1.1926715,0.75137293,0.9560993,1.0129745,0.7053784,1.2324584,1.1559628,0.5497936,1.2999392,0.97963285,1.2093148,0.7888009,1.0319326,1.0075897,0.6678405,0.9940304,1.073191,1.247871,0.6192252,0.9030736,1.2267998,1.0899726,0.5016426,1.0486813,1.3188299,1.3188944,0.9399765,0.81492853,1.1265345,1.1811668,1.3026054,1.0078535,0.6268829,1.1008791,0.9623554,1.2326505,1.0073876,1.0794519,0.9307962,0.61122614,1.0486647,1.2458953,1.1424392,0.9608186,1.326258,1.2769644,1.0912992,1.0557432,1.1138829,0.87720567,0.7586709,0.92937535,1.2026258,0.9869545,1.0996455,0.5736034,1.0107309,1.2287259,1.2202947,1.17491,1.0273625
blanket,0.7558088,1.4603071,0.951476,0.8157001,1.1169608,1.4038641,1.0333484,1.003727,0.78121895,0.17797166,1.4446793,0.65280765,0.5525627,0.0,1.2311163,1.4097722,1.0655806,0.8075973,1.2566707,1.222896,1.4301322,0.947429,1.0355428,0.5914712,0.9415464,1.4285736,1.0847441,0.2192725,0.9232064,1.4719167,0.6625416,1.2096432,1.075774,0.39192897,0.72535396,0.73428535,1.082524,1.3195957,1.1514934,1.0904455,1.342441,1.4152542,1.1345468,1.1947906,1.163564,0.992046,1.0429344,0.9165156,1.3972822,1.1548349,0.58910537,1.3801903,0.8505371,1.2566886,0.9217032,0.90833056,0.9627005,0.71090734,0.9920132,1.0611632,1.2905838,0.79969645,1.0482744,1.2782116,1.1661042,0.4379555,1.0043583,1.4726629,1.4639733,1.080046,0.92238575,1.131532,1.2347131,1.3212858,0.9237437,0.5974232,1.1813884,0.8687068,1.3101366,0.8393743,0.9425527,1.2347349,0.7098495,1.171219,1.2826464,0.97156113,0.73360384,1.4309063,1.2984279,1.2063257,0.8792473,1.3110883,0.916748,0.6778639,0.7574562,1.468472,1.3002005,1.2945017,0.65760267,1.1151383,1.2414397,1.3457584,1.3840158,0.90703666
book,1.1360779,0.86791027,1.1834898,1.1133955,0.98834753,0.96527725,1.217184,0.668894,0.9959959,1.2335494,0.7005934,0.9829258,1.1550573,1.2311163,0.0,0.76016843,1.0849493,1.0649468,1.0000914,0.6954009,0.5776995,0.8618574,1.1838741,0.95956445,1.1613681,0.7786036,1.0661845,1.2087882,1.2841282,0.7869351,1.0896955,0.76999897,1.0131027,1.0476571,1.1448219,1.2190753,0.8183054,1.0023326,1.1031209,0.9417107,0.8138036,0.5803883,1.134813,1.0041971,0.868015,1.1318047,1.1222842,1.2122989,0.8542495,0.99956566,1.1543441,0.56785727,1.0939121,0.8721632,1.0211126,1.2132545,0.9730261,1.2933868,0.8506631,1.023039,1.0702128,0.70489055,1.0586048,0.955114,0.6641052,1.2270485,0.50545216,0.6931977,0.7824408,1.157421,0.6388674,0.9546725,0.8294475,0.80095434,1.1396025,1.016228,0.70503867,0.9311294,1.0127538,1.2827525,1.1655408,0.9471856,1.2180564,0.789904,0.88049674,1.077365,1.1853403,0.70653653,0.9582541,1.0783211,1.2857575,0.7575523,0.8409538,1.2779454,1.2252516,0.83719957,1.0390447,0.92283005,0.795121,0.858013,0.40494496,0.85171354,0.81729305,1.067345
bottle,1.3158271,0.44392073,1.1558268,1.2619845,1.0391796,0.5963127,1.1847029,0.88372374,1.1452067,1.4222968,0.5501338,1.3545158,1.2295605,1.4097722,0.76016843,0.0,1.2513794,1.2877795,0.768126,0.56747586,0.23671323,1.0913095,1.2284303,1.1724135,1.2435322,0.47415024,0.9765163,1.3704305,1.3294946,0.50841844,1.28775,0.58642304,1.1895797,1.209244,1.211662,1.1741885,1.1032996,0.61477053,1.188109,0.7373169,0.78408617,0.7051806,1.1434299,0.85069734,0.6374031,1.0431365,1.0664711,1.3435061,0.5177886,0.7298875,1.255373,0.37960714,1.2628545,0.46374273,1.1172773,1.2785189,0.94874847,1.2401025,0.7898827,1.1956816,0.8715012,0.9445358,0.97144866,0.7171601,0.66920596,1.3650304,0.99432546,0.68112934,0.6897383,1.2455945,0.8166516,1.0739443,0.77500296,0.92584985,1.2481886,1.3269563,0.7326175,0.99334973,0.7721164,1.3764553,1.1385694,1.0577426,1.2089478,0.76887596,0.72878504,1.2673112,1.3135676,0.63659674,0.6823828,0.9103288,1.3165977,0.7958214,0.84173656,1.2815382,1.3471434,0.6103374,0.8288518,0.8632504,1.0976626,1.0233676,0.78731084,0.2881313,0.40373075,1.1229047
bowl,0.8480776,1.1423718,0.65940255,1.0473393,1.0085477,1.0893297,0.75871116,1.2006235,1.054225,1.0466536,1.2694652,1.018505,1.1569288,1.0655806,1.0849493,1.2513794,0.0,0.79442966,0.8254294,0.9892658,1.2770703,1.1054345,0.8507242,1.1059245,0.59101546,1.1733158,0.8961819,1.087588,0.6463023,1.2800397,0.9903575,0.8791517,0.24909383,1.1151556,1.2890631,1.0578024,1.080004,1.2407318,0.9886992,1.092191,1.2216233,1.1633086,0.886535,1.2178292,1.3177295,0.9067126,0.81368303,0.96854085,1.1897624,1.0900232,1.1258894,1.2295341,1.1162428,1.215092,1.1709912,0.57084775,0.9540809,0.8943066,1.251045,0.8418284,1.1752937,1.0813788,1.1356156,1.0981755,1.2532393,1.0321577,0.9501754,1.2801169,1.2366557,0.7099028,1.4096382,0.8263045,1.257083,0.4273978,0.9812773,1.0330753,1.2164448,1.1698861,0.9651871,0.5340126,0.5456301,1.1668394,1.1114832,1.2781698,1.2861512,0.18924141,1.0216988,1.2628258,1.1393986,1.1858909,0.2913854,1.1173228,1.2523744,1.002433,0.57385105,1.1167614,1.2510784,1.2540318,1.0634094,1.1000111,0.786013,1.3124114,1.3617611,1.1288271
box,0.83584553,1.3691373,1.0689478,0.9641827,1.0201746,1.3149257,1.103638,0.83988017,0.7548838,0.73506737,1.3660177,0.39906502,0.9191425,0.8075973,1.0649468,1.2877795,0.79442966,0.0,1.3433173,0.827027,1.248754,1.1060852,0.9721471,0.5670419,0.92355484,1.3508353,0.9345365,0.63255876,0.9808677,1.353504,0.37687045,0.9951334,0.92558044,0.9301888,0.80621177,0.85515124,0.8410316,1.2947574,1.2205682,1.2397091,1.2356869,1.3568865,1.117651,1.3129305,1.3647158,0.7660156,1.0274913,0.9359396,1.4145592,0.9515447,0.9123713,1.3239824,0.57594407,1.1726649,1.0737926,0.9739819,0.7280148,0.8640938,0.89378643,1.1184747,1.3548937,0.989863,1.2961663,1.2670509,1.0599595,0.80937195,0.7768594,1.4247184,1.322451,1.1934881,1.2940214,1.1579684,1.1652715,1.1391429,1.0105443,0.627163,1.2452079,0.87866354,1.1393588,0.88520676,0.8247605,1.0061396,0.8342692,1.2797563,1.317251,0.79637337,0.6396401,1.4108645,1.3352879,1.2598675,0.7298275,1.1980109,0.9013956,0.7599106,0.67271346,1.2622354,1.3873777,1.1987036,0.8877821,0.4510641,1.023944,1.2825814,1.4166849,0.97306144
bread,1.3063326,0.5097077,0.6240884,1.0900114,0.6770241,0.69519985,0.8303165,1.1748765,1.271752,1.371868,0.8046703,1.2660055,1.1468191,1.2566707,1.0000914,0.768126,0.8254294,1.3433173,0.0,1.0399133,0.94805694,0.99923736,0.98193675,1.2977985,1.0910982,0.66699654,0.7726287,1.3676713,0.9145664,0.8300772,1.4169779,0.8371434,0.86386335,1.1771431,1.0875078,1.1164821,1.1890268,0.7662713,0.9977826,0.77635646,0.9951692,0.8377992,0.9101938,0.9960123,1.008126,1.2018379,0.42517668,0.9047538,0.7773895,1.0262805,1.2586362,0.7109596,1.3445427,0.8276607,1.0365721,0.9326122,1.152176,1.0071487,1.1688907,0.8510781,0.9136428,0.95923334,0.93544286,0.8157675,1.048441,1.299,1.0159945,0.8028599,0.8405496,0.80253136,0.97171813,0.91777694,1.0052258,0.7362511,0.9411238,1.2745631,1.0322567,1.1651881,0.99436706,1.0416719,0.9780125,1.0760745,1.1853206,1.0317918,1.0736877,0.76638925,1.3565669,0.7830937,0.78366095,0.79183984,0.965648,0.78576756,1.2182357,1.1650558,1.1083269,0.86246026,0.9275357,1.0525657,1.0939833,1.2448477,0.88616353,0.9163354,0.85594296,1.0905764
bucket,1.157145,1.0815488,1.1022985,1.1953664,0.92102236,0.96295017,1.1903888,0.58449495,0.9584049,1.2392349,1.1065793,0.9980551,1.1333659,1.222896,0.6954009,0.56747586,0.9892658,0.827027,1.0399133,0.0,0.46954358,1.1618532,1.2920041,0.8813101,1.1430886,0.90459937,0.7904578,1.154501,1.2467111,1.0047853,0.9341317,0.32660866,1.0129526,1.021832,1.0356647,1.058419,0.9103657,1.1208645,1.3544984,1.1666846,0.8487332,0.95662975,1.2428341,1.2101834,0.98152953,0.7883354,0.90936285,1.2136239,0.8490493,0.4578473,1.2212005,0.9410753,1.0191907,0.7994357,1.028349,1.1616955,0.42063928,1.0826337,0.56626165,1.1810914,1.2761505,0.72872007,1.2502308,1.2145407,0.842814,1.302634,0.7057166,1.0780228,1.0290357,1.3524204,0.9256854,1.2577715,0.74544674,1.019189,1.2566168,0.9311784,0.85363775,0.81871635,0.8294295,1.236545,0.97770005,1.0117335,1.124351,0.93868244,0.9826138,1.0354187,1.1338525,1.0926399,1.0879726,1.1587453,1.0466095,0.94488364,0.6149492,1.1293914,1.1359639,0.7948617,1.1520662,0.9232116,0.8296169,0.7311715,0.8397708,0.86933714,0.9325411,1.060056
