,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,purse,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,1.227908,1.178276,0.7411206,0.91373754,1.0650884,0.6884408,1.2207081,0.7160103,0.84657276,0.8706062,0.0,0.83938146,1.3166063,0.8570145,0.89539355,1.3723435,1.0818876,0.73732555,0.7954322,0.9591829,0.7971169,1.4261923,1.2410321,1.0081954,0.67167735,0.8298013,0.6928998,1.4176202,0.7628953,0.671982,1.1510724,1.1022633,0.67794126,0.6978294,1.1643697,0.8110121,1.2296616,0.9904889,0.9216938,0.84916526,1.0406162,1.0085545,1.2576985,1.0451523,1.0340605,1.2314115,1.2135115,0.9823368,0.9678094,1.1715295,1.079551,1.1230735,0.860944,0.8502933,0.86872077,0.7486595,1.2491717,1.00517,0.90051323,0.8264712,0.5569194,1.3659251,1.0036194,1.2574344,0.84977746,0.9915484,1.328444,1.0673333,1.2265971,1.2777799,0.723377,0.8059391,0.768803,1.0676076,0.8059102,1.204018,1.227008,1.2006435,0.5417292,0.9558332,1.3194947,0.82697827,1.0438018,0.7023878,1.2295027,1.0654992,0.71197885,0.7957213,1.2442628,0.6457002,0.89832306,1.1188245,0.91340715,1.2632332,1.0388619,1.1596305,0.8854094,1.2122024,1.2488534,1.2709508,0.928093,0.88938063,1.150207,1.150452,0.915917,0.76789767,1.2678235,1.03637,0.83250487,1.0289978,1.1375602,1.3207865,0.997399
bib,1.155561,1.0413533,0.6211151,0.964721,1.1134534,1.216702,1.1492174,0.9442152,0.6317947,0.8982123,0.83938146,0.0,1.2891847,0.52181756,0.8573823,1.3381433,1.2788085,0.7330215,1.1058912,1.0389786,1.0705087,1.3695607,1.2778413,1.0608802,0.9663542,0.82518864,0.95116955,1.2901795,0.7944928,0.80386925,1.1592574,1.2741488,0.7309562,0.96227235,1.3059146,0.98346597,1.3286512,1.0057285,0.8013872,0.95459974,1.1526412,0.8592025,1.2280332,0.8996339,0.8855069,1.3521394,1.0196621,0.762675,1.0256433,1.1219248,1.0679623,0.967616,0.85031354,0.96554863,0.7932811,0.6285595,1.2218329,0.8184187,0.7717599,0.7142769,0.8978904,1.2525053,0.98425984,1.2159746,0.8267535,1.0175569,1.3345323,0.9388964,1.0360206,1.0963012,1.1847266,0.97727185,0.5311567,0.9617293,0.69741696,1.1953979,1.178943,1.1691989,0.7401029,0.6160451,1.2387941,0.9139452,1.0603278,0.88570035,1.1937444,1.2603894,0.90842,0.697214,1.093987,0.9413027,0.7598744,1.0991871,0.9788894,1.190624,0.9648535,1.4139972,0.90347135,1.0598917,1.1397415,1.2320317,0.8108096,0.74559593,1.4224427,0.91310257,0.93471533,0.8113421,1.3109702,1.3648986,0.7312803,0.9021775,1.2591248,1.1803691,0.865214
bird,0.8582579,0.86830944,1.2762471,1.1517181,0.99357957,1.0438712,0.8048972,1.0181494,1.2730873,1.0455328,1.3166063,1.2891847,0.0,1.3083291,1.1185887,0.7656818,0.9469054,1.2875171,0.97602355,0.9992141,1.1427232,0.114082575,0.91192967,1.0528853,1.1859514,1.2220519,1.2396567,0.7897754,1.1828394,1.2412621,0.78144866,0.83397174,1.305604,1.0827847,0.76271784,1.1260434,0.8296479,1.0453268,1.1536448,1.0579268,0.82902366,1.1582963,0.7184452,1.1174568,1.0493824,0.521448,0.91781986,1.168077,0.8982099,0.80823654,0.9314317,1.0488168,1.1522542,1.0908616,1.208891,1.3043429,0.88514245,1.2186028,1.1986284,1.1932483,1.2691083,0.5732602,1.0597637,0.78909874,1.1900121,1.0815096,0.81400037,0.8705955,0.8978034,0.92447716,1.038151,1.1322818,1.3707864,0.99206895,1.1664889,0.81534874,0.83902246,0.72544384,1.2673534,1.1505299,0.7275968,0.9959545,0.993862,1.1786962,0.6875613,0.8390311,1.2142789,1.3100028,0.9395052,1.2499082,1.122481,0.9095258,1.1715434,0.8081827,1.0390499,0.7901343,1.1727176,0.7743984,0.881085,0.92496264,1.2162652,1.2096901,0.83152205,1.0136505,1.0826491,1.2327359,0.7882032,0.926127,1.2721326,1.0024506,0.75889516,0.8312662,1.0584211
blanket,1.1620111,1.4990318,0.35851622,0.93172675,1.4001405,1.0696393,1.4020834,0.7774749,0.09870607,1.37058,0.8570145,0.52181756,1.3083291,0.0,0.6494707,1.3455817,1.323309,0.4246452,1.417162,1.1652514,1.104481,1.3378526,1.4820555,1.0773066,1.1081783,0.6720084,0.91330636,1.1981108,0.93979675,0.93911487,1.3554924,1.1350162,0.32368815,0.9335643,1.5605714,1.0224012,1.4684106,0.86035556,0.5944512,0.96749604,1.3391619,0.678894,1.3228482,0.92277896,1.3192241,1.350199,0.81709665,0.8674291,1.2331753,1.142983,1.0726066,1.2544014,0.97889864,0.9541454,0.9058924,0.68651676,1.4636157,0.4758749,0.64749116,0.62958014,0.8071396,1.4662573,0.84973276,1.2735085,0.7549155,0.8676553,1.488594,1.2708994,1.434866,1.3756006,1.1278968,0.9495206,0.5189341,1.2188889,0.42938387,1.4759008,1.3853495,1.2387974,0.89263463,0.25921714,1.4181657,1.3806968,1.1710503,0.7652824,1.245764,1.2318721,0.8628688,0.5241388,1.1712052,0.84237087,0.5020443,1.3520985,0.7319813,1.5278022,0.9209509,1.4308835,0.8952069,1.369479,1.2642905,1.1555201,0.45905852,0.21797866,1.2970595,1.359163,1.1470232,0.6041652,1.366646,1.1615926,0.62596107,0.70986235,1.3856082,1.4459103,1.0460167
book,0.77891123,1.3613319,0.84605384,0.9078363,1.3755491,0.88502675,1.115691,1.0611889,0.61187875,1.2289374,0.89539355,0.8573823,1.1185887,0.6494707,0.0,1.2129107,1.1630554,0.22853136,1.1487099,1.1861908,1.0412182,1.1967453,1.1703513,1.147649,0.80543983,1.0646228,1.0128119,1.1301864,0.99086905,0.96129745,1.1425582,0.89040947,0.87332016,0.71880394,1.183216,0.9560789,1.1445905,1.0853683,0.7704976,1.0496291,1.0305786,1.0132732,1.2042118,0.9978688,1.1327454,1.3324276,0.9703789,0.8931038,0.93633616,0.90672225,1.1458311,1.2591472,0.9465546,0.28541684,1.0940793,0.734938,1.3377681,0.8785596,0.98795307,0.6090871,1.0403409,1.2762542,0.9119172,1.1632172,0.88144135,0.9968307,1.3247701,1.1494544,1.3841473,1.3113728,0.98191357,1.0215224,0.9732737,1.2060704,0.20439172,1.2610853,1.0840452,1.0137309,1.1268463,0.6592585,1.2403738,1.095912,1.1226798,0.8674825,1.0187085,0.93452543,0.79717714,1.0198302,0.9910191,1.1765661,0.72890615,1.2950733,0.7319107,1.3989503,1.1548499,1.1581316,0.9645159,1.2076576,1.1006907,1.0721712,0.6996788,0.61775404,0.97748345,1.2765228,0.9762554,0.5320038,1.2224133,0.7467104,0.7126351,1.0818769,1.2180628,1.3329167,1.0493064
bottle,1.0196748,0.70225537,1.4005473,1.2339792,0.8054552,1.2137358,0.73795134,1.2504852,1.2922693,0.89075863,1.3723435,1.3381433,0.7656818,1.3455817,1.2129107,0.0,0.5602075,1.4100652,0.90575576,0.9533959,1.1856956,0.6126338,0.52725214,0.89480484,1.1678752,1.292347,1.1539261,0.25142026,1.2257004,1.2490534,0.8704443,0.94291794,1.3497505,1.2878807,0.3808099,1.1010504,0.18402469,1.1308501,1.3374045,1.1155909,0.92395115,1.2255645,0.76987123,1.116014,1.0474333,0.42178476,0.7100588,1.2635925,1.1299167,1.0193073,0.85495484,0.7611885,1.3271966,1.120966,1.1908046,1.4814162,0.34354067,1.2368066,1.2841105,1.3849933,1.29603,0.4419421,1.2171537,0.4951501,1.4583127,1.0899011,0.3197117,1.0054085,0.57163393,0.67496526,1.0615075,1.1616418,1.3091242,0.88047814,1.4157692,0.41245437,0.50717616,0.9705125,1.3538231,1.2367845,0.31749034,0.9636068,0.98839957,1.1721315,0.956479,0.68856096,1.3162558,1.3575168,0.88947403,1.234833,1.2057451,0.83389914,1.2433696,0.5082843,1.1951914,0.6585939,1.3076988,0.93082076,0.8136797,0.80318433,1.2676373,1.2531341,0.7237891,0.91196024,1.1282147,1.3407323,0.2983284,0.8238374,1.342306,1.1260729,0.69467694,0.34676176,1.0441341
bowl,1.0541039,0.77452385,1.2823951,1.0195352,0.5749938,0.9201479,0.8195832,1.0679832,1.2540002,0.8260972,1.0818876,1.2788085,0.9469054,1.323309,1.1630554,0.5602075,0.0,1.2235601,0.82838106,1.1973817,0.4359011,0.89477336,0.6158551,1.0182132,0.9566914,1.1573498,1.0889485,0.62584525,1.317234,1.1401469,1.0222167,1.0246161,1.2256932,1.1371275,0.5815129,1.0298712,0.3962006,1.1912506,1.1584781,1.2482432,0.8826011,1.1524708,0.689224,1.1465178,1.0266255,0.5967248,0.89625293,1.2288781,1.0469685,0.93144345,0.8796149,0.8612182,1.0170821,0.9645741,1.2252145,1.26228,0.5087887,1.1692333,1.2227912,1.2145982,1.0983138,0.85649574,1.1936619,0.8530278,1.1639396,1.1121163,0.49141294,0.8203926,0.84697956,0.7741686,0.91228443,1.10306,1.16817,1.0894396,1.3142475,0.6169891,0.74148583,1.023207,1.2001822,1.3282609,0.72861826,0.5776777,1.0640373,1.213476,1.0255423,0.8253186,1.0696129,1.287007,0.8355392,1.2124085,1.0982155,0.8552201,1.0595063,0.624007,1.1584169,0.7342261,1.1458099,1.1030798,0.87727976,0.95818067,1.198823,1.1798136,0.6067867,0.96157193,0.9970751,1.1583151,0.69128567,0.6548635,1.055692,1.1920127,0.99843353,0.6882814,0.97248197
box,0.932869,1.4656851,0.6324345,0.8622329,1.3352528,0.8750083,1.2339041,0.89282525,0.4323706,1.3142097,0.73732555,0.7330215,1.2875171,0.4246452,0.22853136,1.4100652,1.2235601,0.0,1.2849348,1.1388552,0.89728403,1.3792768,1.3137351,1.0676917,0.8265832,0.93315434,0.86127436,1.2881835,0.9480827,0.82380503,1.2906743,0.9453508,0.66974384,0.7759715,1.4081868,0.9020627,1.3863854,1.0305095,0.6677065,0.95610034,1.1911622,0.8732892,1.2679375,0.9598221,1.2594163,1.4574411,0.9487713,0.89694583,1.0714257,1.0126991,1.0560555,1.3378812,0.905691,0.46226764,1.0511997,0.6748338,1.4858599,0.8057267,0.817672,0.58544695,0.8237284,1.43288,0.90781283,1.2733867,0.7835808,0.859079,1.4854267,1.2109227,1.4857614,1.3948162,1.0098176,0.9055873,0.7802314,1.2020986,0.23719257,1.482336,1.305361,1.0289762,1.0245372,0.52729553,1.4277723,1.1655636,1.1053784,0.7617483,1.0506643,1.0769025,0.69247603,0.7996751,1.0791919,1.0231117,0.6805382,1.3523619,0.67891335,1.5706024,1.1095306,1.316004,0.9467407,1.3132597,1.1738478,1.1107681,0.6496811,0.40427506,1.116604,1.4072036,0.9633445,0.43122888,1.3803058,0.8164903,0.5240464,0.95137644,1.3291261,1.541906,1.014652
bread,0.9996374,0.65225995,1.328825,1.169341,0.8151108,0.88255125,0.91596174,1.1675777,1.3737775,0.4711553,0.7954322,1.1058912,0.97602355,1.417162,1.1487099,0.90575576,0.82838106,1.2849348,0.0,1.0912648,1.0352129,0.9677721,0.82123953,1.1330384,0.64449817,1.1079975,1.1425593,1.038099,0.98806804,0.9534055,0.6680099,0.9413994,1.2928449,0.6876242,0.46282196,1.058835,0.6399009,1.1612141,1.2782836,1.1343353,0.8010678,1.2181798,0.94404405,1.2370162,0.7914759,0.7953624,1.1510704,1.1480691,0.84978914,0.95297337,1.0852324,0.9055299,1.047421,0.87273335,1.0875413,1.1620941,0.80084866,1.2878375,1.1655543,1.2449961,1.0160042,0.9172603,1.2352622,0.7665782,1.2604585,1.230747,0.75623,0.86101544,0.7234532,0.8462943,0.7332736,1.0517112,1.153862,0.795012,1.2853374,0.56745815,0.7009476,1.0141177,0.8926251,1.359047,0.81213635,0.4924255,1.0624423,1.1369011,1.0332648,0.83480656,0.9773572,1.2962041,1.0313166,1.0537643,1.2570115,0.63542676,1.2147882,0.6277919,1.1342864,0.6231663,1.1115627,0.8860765,0.9788871,1.1619058,1.2916305,1.3366108,0.92136526,0.7884066,0.8678027,1.1530832,0.81781304,0.88452816,1.1066039,1.1290579,0.88725674,0.72570413,0.87159556
broom,0.95002645,0.89452183,1.1150439,0.99552375,0.9390135,0.99678326,1.0224434,0.8731817,1.1979568,1.004454,0.9591829,1.0389786,0.9992141,1.1652514,1.1861908,0.9533959,1.1973817,1.1388552,1.0912648,0.0,1.108638,0.9090204,0.83990824,0.920155,1.1401279,1.1212585,0.89805883,0.9499286,0.7945964,0.9815534,1.0052935,1.0302379,1.1024605,1.0678867,1.0119749,0.79726595,1.0653706,0.98920035,1.1195804,0.44893527,0.9240886,1.1242998,0.9236722,1.0277909,0.98125553,0.97583586,1.0140809,1.0315905,0.844859,1.1594696,0.9823292,1.1062342,1.1801981,1.1416143,1.0647156,1.1710082,1.1273654,1.165349,1.0871881,0.99195737,1.0395548,0.69289607,0.9378829,0.8871863,1.2123553,1.0009717,1.0233892,0.8158393,0.9913604,1.0383902,1.0721171,0.8676988,1.1049707,0.88018334,1.1958286,1.0270911,1.0193685,0.94421303,1.044582,1.1102933,0.9796477,1.0408269,0.8287927,0.75105894,0.93296295,1.0472395,1.203391,1.0535157,1.1163273,1.0411358,1.0875139,0.97275925,1.0298046,1.116651,0.9743188,0.9554838,1.1247605,0.8538675,0.9842901,0.8197852,1.1075649,1.2348075,1.1263022,0.9596987,1.1212182,1.13957,0.7923983,1.2731538,1.195666,1.0691986,0.4608599,0.99773765,1.0343964
bucket,1.0589943,0.97508436,0.9870976,0.8617187,0.5587188,0.79099816,0.9366499,0.9346806,1.0964122,0.9866465,0.7971169,1.0705087,1.1427232,1.104481,1.0412182,1.1856956,0.4359011,0.89728403,1.0352129,1.108638,0.0,1.21093,0.80799985,1.1561155,0.86185014,1.0036066,0.77932215,1.1495326,1.1150578,0.9872784,1.156658,0.98666155,1.0212953,1.0168084,1.1533395,0.9662397,1.0316597,1.1039147,0.8097813,1.0606757,0.99391454,0.9585114,0.8104637,1.081744,0.965739,1.2050213,1.0417805,0.88290936,1.0254705,1.0938585,1.0523343,1.0868642,0.71174777,0.9275706,1.0919149,0.90333223,0.9810453,1.0017977,0.9811873,0.9343528,0.92512614,1.2087584,0.9842742,1.1410825,0.7292112,1.1014307,0.98682433,0.7855358,1.121912,1.0758812,0.87853736,0.9355184,0.9484671,1.0792898,1.0256326,1.2043252,1.2383934,1.0638894,0.92880595,1.2266679,1.1938194,0.7024595,0.9599395,1.06764,1.0487063,1.0371624,0.8444624,1.0138531,0.99997,1.0116922,0.9684532,1.0653043,0.88037103,1.113478,1.0793358,1.0754464,0.81335837,1.1671095,0.9785933,1.01343,1.0175848,0.9941426,0.8916898,1.0459223,0.7144313,0.9176196,1.1386663,0.7687377,0.76643014,1.1083902,1.130769,1.2075527,1.0385462
butterfly,0.81375533,0.8224703,1.3609633,1.167342,0.98204345,1.0636793,0.7779527,1.069226,1.3033793,1.0635138,1.4261923,1.3695607,0.114082575,1.3378526,1.1967453,0.6126338,0.89477336,1.3792768,0.9677721,0.9090204,1.21093,0.0,0.82718265,1.0146811,1.238889,1.2204664,1.2524633,0.65684456,1.2228588,1.2681371,0.7170588,0.83300877,1.3384477,1.1406913,0.64067566,1.1182926,0.6992992,1.0210205,1.2311517,1.0761117,0.82663256,1.1777534,0.7305168,1.1312722,1.0743475,0.38375574,0.8172661,1.2463374,0.9038117,0.76985884,0.85787326,1.0261616,1.2390976,1.1376157,1.2463824,1.4170891,0.77884996,1.2459879,1.2350916,1.2790565,1.294765,0.44380957,1.1122632,0.7069222,1.3111353,1.0987715,0.68110967,0.90962845,0.844462,0.87707925,1.0580778,1.1775064,1.4106784,0.9868521,1.2690983,0.7039,0.7610165,0.72992337,1.3256712,1.1734467,0.62463516,1.0199579,1.0233525,1.1991379,0.69632614,0.7954126,1.2523422,1.3609226,0.87584275,1.291162,1.1765726,0.86676687,1.2202917,0.7080564,1.0914577,0.7131061,1.2309002,0.7716263,0.8033348,0.84102315,1.2368653,1.2470888,0.7486521,1.0209495,1.1550483,1.2957212,0.6534223,0.8930768,1.3512769,1.0186695,0.6555946,0.6911684,1.0664006
can,1.0062712,0.65587354,1.4719448,1.2012392,0.6090855,1.1098454,0.6491049,1.1943779,1.4439237,0.60837233,1.2410321,1.2778413,0.91192967,1.4820555,1.1703513,0.52725214,0.6158551,1.3137351,0.82123953,0.83990824,0.80799985,0.82718265,0.0,0.9099932,1.1926956,1.1856103,0.71896887,0.68542206,1.112891,1.1626884,0.8671378,0.9338689,1.3722985,1.2590324,0.56442714,0.7118315,0.48883218,1.105569,1.3003333,0.91539574,0.64170474,1.2514471,0.6981918,1.2260082,0.90251654,0.84613204,0.9977312,1.1487291,1.0653276,1.0461324,0.99711025,0.9797466,1.190521,1.1226845,1.2562449,1.4645503,0.5905504,1.3234956,1.2807341,1.3874985,1.2823133,0.49800456,1.1528358,0.55890965,1.3752742,1.168254,0.53354883,0.6481571,0.6508341,0.73407483,1.1542002,0.9078529,1.2736666,0.6911716,1.4416447,0.6755593,0.7011593,0.9219872,1.090919,1.452926,0.5728733,0.71958584,0.81292206,1.0187465,0.9081048,0.73180485,1.2938534,1.393642,0.73731357,1.2309582,1.2603742,0.62210226,1.3091928,0.5015699,1.141047,0.7567464,1.1978592,0.90438694,0.77793413,0.53533715,1.3170214,1.4176111,0.7614537,0.80882573,0.9517998,1.4631934,0.5695056,0.835537,1.3381315,1.301718,0.53874576,0.63155,0.9940288
car,1.0316496,1.1357962,1.0223864,0.9112483,1.1524487,1.0495602,0.9660945,0.814314,1.0799042,1.0689269,1.0081954,1.0608802,1.0528853,1.0773066,1.147649,0.89480484,1.0182132,1.0676917,1.1330384,0.920155,1.1561155,1.0146811,0.9099932,0.0,1.1923571,0.9381911,0.7308126,0.91834843,0.91155463,0.8928286,1.0365974,1.1293032,1.0155001,1.1459028,1.0790474,0.6632045,0.9496259,0.87087744,1.0807395,0.79305387,1.028275,1.121329,1.010964,0.90270376,1.1476727,0.9003916,0.97452784,1.1553526,1.1083337,1.0017895,0.80269176,0.9342668,1.1299793,1.1621265,0.8992794,1.1162015,0.9000811,1.0499367,0.9755476,1.0817302,0.8456572,0.81341124,1.045781,1.0435293,1.1518575,0.4085158,1.0794678,0.8956921,1.0158318,0.9753271,1.1429234,0.74396235,1.0741032,0.9680879,1.1275878,0.95442176,0.8976382,1.0058961,0.9827226,1.0596707,0.96681076,1.0587062,1.0906088,0.73864096,1.016404,1.186119,1.1030425,1.0159636,0.86320794,0.9023869,1.1131579,1.0002187,1.0579098,0.91933507,1.0920078,1.0918633,1.166354,1.0555888,1.0904489,0.6466235,1.0707123,1.0688467,1.0184482,1.1298542,1.1521442,1.1271385,1.0985036,1.0770926,1.156804,1.0153219,0.873868,1.0200706,0.96364266
carrot,0.9564766,1.0170316,0.9876226,0.9306939,1.1216738,0.6815934,1.0973165,1.14991,1.0968206,0.9357327,0.67167735,0.9663542,1.1859514,1.1081783,0.80543983,1.1678752,0.9566914,0.8265832,0.64449817,1.1401279,0.86185014,1.238889,1.1926956,1.1923571,0.0,1.0133764,1.0734777,1.2384615,0.937967,0.8315304,0.84057593,0.8322022,1.070822,0.48734713,0.9369384,1.1468221,0.9798123,1.1088078,0.8812959,1.2391733,1.0550483,1.1118076,1.0704157,1.0429039,0.75319093,1.1071708,1.081818,0.99374425,0.92166036,0.8882304,1.1285844,0.96595967,0.72035,0.568784,1.0354663,0.64286494,1.098513,1.073376,1.1457111,0.80152845,0.935517,1.3399317,1.0928904,1.2637366,0.8569031,1.1386082,1.068536,1.0966932,1.0170302,0.9784187,0.4571501,1.0463476,0.96062964,1.1515571,0.85769457,0.98156756,0.95333344,0.9844953,0.917649,1.064463,1.0593518,0.8120664,1.135915,1.1411812,1.0171049,0.9722222,0.7263815,1.1111372,1.0299611,0.9638826,1.1199633,1.1773899,0.9625174,1.0629045,1.1479788,0.8609097,0.85424435,1.1032182,1.0925174,1.2299675,1.0525537,1.0221567,0.9090771,0.9083571,0.8318324,0.7799139,1.1703854,0.74238825,0.7906571,1.1041387,1.2899171,1.0347521,1.0583944
cat,1.0766617,1.1713588,0.7299852,0.7985756,1.1942052,1.0806739,1.2688358,0.9006145,0.7818104,1.0394202,0.8298013,0.82518864,1.2220519,0.6720084,1.0646228,1.292347,1.1573498,0.93315434,1.1079975,1.1212585,1.0036066,1.2204664,1.1856103,0.9381911,1.0133764,0.0,0.80038846,1.2609007,0.85628617,0.9111023,1.0384141,1.2731285,0.5521724,1.0192175,1.3523772,0.84090763,1.2784956,0.27541596,0.7710386,0.98491514,1.2457312,0.89901346,1.2394103,0.988741,1.0771846,1.1558206,1.0951091,0.8869786,1.1852396,0.9031832,1.0378835,0.9866466,0.81763726,1.1513617,0.7470397,0.8283019,1.118867,0.9395629,0.6232799,0.81410867,0.7696031,1.2415366,1.0350707,1.2783096,0.7513835,0.9497055,1.3254986,1.1016538,1.0960026,1.043614,1.1379141,0.76329017,0.7979846,0.823148,0.9332767,1.242825,1.2365878,1.1295543,0.3438908,0.9245242,1.1655549,1.1196966,1.0864781,0.7715494,1.1682198,1.2334546,0.89444655,0.7319611,0.8824344,0.6832607,0.9016249,1.1140435,0.99719286,1.0001935,1.0286552,1.3331456,0.8954438,1.1562676,1.1358476,1.046893,0.9462499,0.9350421,1.2281946,1.1274362,1.0611522,1.0210382,1.3265266,1.2520823,1.0118695,0.6683593,1.2364274,1.1957617,1.0290608
chair,1.1911792,1.2152529,0.8292124,1.0368828,1.0887139,0.9747986,1.0571291,0.8357049,0.8875458,1.0422068,0.6928998,0.95116955,1.2396567,0.91330636,1.0128119,1.1539261,1.0889485,0.86127436,1.1425593,0.89805883,0.77932215,1.2524633,0.71896887,0.7308126,1.0734777,0.80038846,0.0,1.1445799,0.7975266,0.9420218,1.1677536,1.1065784,0.642285,1.1009318,1.2904032,0.67208177,1.1808007,0.89134157,0.94864184,0.67761683,0.9596339,0.80430317,1.1508281,1.0243055,1.0733765,1.3092079,1.1501651,0.9415392,1.2282555,1.235405,1.0956899,1.1345476,0.9879041,1.1775999,0.92046607,1.0122726,1.1387955,0.9652985,0.84010005,1.0115288,0.8493114,1.0684496,0.9484349,1.1450936,1.0007122,0.7633459,1.2356826,0.93180525,1.1359645,1.1409833,1.0622125,0.6860288,0.7813529,0.95509416,1.0086646,1.2793713,1.2616829,1.1473626,0.62244266,1.1113625,1.2025423,1.0591229,1.0221741,0.6319419,1.1170301,1.1788951,0.8802873,0.76933694,0.8656814,0.74947953,1.0131747,1.0645747,0.96054494,1.0887483,1.0047094,1.2422119,0.93388784,1.2568369,1.0656474,0.48115057,0.8997574,1.0044037,1.0752804,1.1176184,1.0439358,1.1417853,1.1784706,1.0366017,0.99939734,1.1065482,0.8299944,1.2639766,1.0442427
clock,0.9354509,0.855371,1.284456,1.1674775,0.79808676,1.0929713,0.85651785,1.1050805,1.1803315,1.0590813,1.4176202,1.2901795,0.7897754,1.1981108,1.1301864,0.25142026,0.62584525,1.2881835,1.038099,0.9499286,1.1495326,0.65684456,0.68542206,0.91834843,1.2384615,1.2609007,1.1445799,0.0,1.2137828,1.2289264,1.0055825,1.0048391,1.2364166,1.2716699,0.60958815,1.1080558,0.41288137,1.1479357,1.2762725,0.97845894,0.91232026,1.1233039,0.70003676,1.0467675,1.2051017,0.5009111,0.7994442,1.2558271,1.087076,1.0145117,0.8289449,0.8746958,1.469322,1.1468043,1.18939,1.4105208,0.52654576,1.124986,1.1241637,1.3021377,1.2374059,0.5286346,1.1554406,0.589947,1.4091108,0.99654514,0.5011836,1.0565298,0.8165763,0.871644,1.0231079,1.0563077,1.2999265,0.9402099,1.226789,0.5944846,0.64485,0.9758951,1.3837385,1.105898,0.47463274,1.0279703,1.0264401,1.0858808,0.9523738,0.86698884,1.287987,1.2479588,0.95688933,1.1825732,1.1205202,0.954689,1.109762,0.7639731,1.121351,0.70132667,1.3419633,0.9786913,0.85123116,0.82795537,1.163401,1.1626941,0.7742279,1.10635,1.1674454,1.1781058,0.47987926,0.9392465,1.2056468,1.0266659,0.7306122,0.5655872,1.0242143
closet,1.0601058,1.1677725,0.8007403,0.96577823,1.1832871,1.0440205,1.1175745,1.0483674,0.97148335,0.9430491,0.7628953,0.7944928,1.1828394,0.93979675,0.99086905,1.2257004,1.317234,0.9480827,0.98806804,0.7945964,1.1150578,1.2228588,1.112891,0.91155463,0.937967,0.85628617,0.7975266,1.2137828,0.0,0.8324889,0.9270314,1.1944207,0.7932875,0.9072592,1.2542889,0.76423895,1.1952213,0.83924437,0.95404387,0.663965,1.0579698,0.914056,1.2232215,0.79270136,0.95752054,1.217664,1.1582055,0.8736725,1.0150523,1.1480877,1.1164228,1.0275776,0.9076953,0.96407074,0.76229167,0.82723665,1.2396653,1.0604175,0.84465146,0.8691201,0.7936741,1.179147,0.90765506,1.1844498,0.93604136,0.9436127,1.2850916,1.0008582,1.0613871,1.106443,0.97036517,0.8068263,0.8066508,0.9062425,0.9481865,1.1129729,1.1165804,1.1291121,0.68260276,0.95404357,1.1374327,1.0831461,1.0520169,0.669035,1.15535,1.1833637,0.9845986,0.6948393,1.0908772,0.7133171,0.9488958,1.1057688,1.1004187,1.1512014,1.0510046,1.2021775,0.9040835,1.0257657,1.1487602,1.0590467,1.0009562,1.1054008,1.2546091,0.9866356,1.1204574,1.0772204,1.1817795,1.3178093,1.0768255,0.9827438,1.0214713,1.1647633,1.0201892
comb,1.0891647,1.1952811,0.8465107,1.0389338,1.0835452,0.9481311,1.060379,0.86563206,0.9763184,0.9269831,0.671982,0.80386925,1.2412621,0.93911487,0.96129745,1.2490534,1.1401469,0.82380503,0.9534055,0.9815534,0.9872784,1.2681371,1.1626884,0.8928286,0.8315304,0.9111023,0.9420218,1.2289264,0.8324889,0.0,1.1617132,1.0583676,0.88741374,0.83126956,1.1711085,0.656656,1.1906338,1.0051928,1.0116262,0.88904136,1.1185019,0.9907335,1.1963557,0.8740929,1.0826666,1.1727666,1.1700262,1.064627,0.7391421,1.1319783,0.9152863,1.0395665,0.9540236,0.86684704,0.8446816,0.7986876,1.2041235,1.0019436,0.91603667,0.7885499,0.59616864,1.1705574,1.1297491,1.1901469,0.9312893,0.89469427,1.31778,1.2021612,1.1049997,1.1251259,0.9135046,0.759252,0.8306019,0.9403252,0.82995343,1.1002343,1.1430621,1.1036088,0.7991119,0.94411284,1.1707258,0.93827164,0.98821926,0.70555645,1.1595607,1.1153296,0.6888777,0.85755354,1.1110082,0.8018334,0.98324835,1.0342206,1.0786486,1.2162659,0.9879219,1.2540855,1.1126723,1.0791197,1.1904712,1.1414899,1.0019696,0.9961829,1.1967977,1.1608906,0.88244045,0.6974821,1.2273281,1.1758952,0.85616404,0.9382147,1.1184458,1.2161052,0.8269117
