,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.4534011,1.5062078,0.8017716,0.6527712,1.4418433,1.4471263,0.9966449,0.982278,0.7113413,0.817953,0.49508208,1.5521591,0.7518608,0.6432446,0.94049567,0.48329312,0.6750822,1.0084059,1.5991185,1.3988621,0.8431443,1.3338658,0.98379236,1.3653886,1.1643922,1.5452003,1.0637465,0.83818734,0.46356976,1.0534865,1.2323188,1.4713333,0.85961086,0.8084816,1.2759082,0.8569794,1.1046714,0.7624354,0.55348533,0.88516176,1.5850177,0.6310638,1.6387109,0.9403944,0.50765747,0.8199684,0.8208779,1.014157,0.72153133,1.2969981,1.5472305,0.8151236,0.7841847,1.405418,0.8563752,1.3100706,0.83707476,0.8598457,1.4563545,0.6969749,1.2809253,1.3875701,0.98319936,0.73412377,1.1545936,0.76848984,1.0981566,0.9241414,1.4418521,0.8278795,0.80417645,0.75227386,0.6676674,1.0126871,0.6365074,1.3641381,0.69615906,1.4289489,0.5381049,1.1369637,0.96437335,0.8560122,0.40871537,0.94859624,1.2730184,1.2087208,1.4921048,1.2170069,1.4658797,1.4187915,1.5302625,0.8448427,0.61939883,0.61548895,0.6983088,0.76204,1.585131,1.5894794,0.977751,1.0821391,0.91141987,1.105013,1.0298613,0.77878785,1.3662992,0.8598902,1.1941797,1.0481521,0.88679564,1.3799008,0.8925293,0.7865952,0.8508086,0.82641405,0.6534428,1.2174859,0.6411617,0.87173533,0.87882674,1.5096724,0.70343965,1.1122547,0.58601487,1.5536928,0.7396958,1.588283,1.1659287,1.0591937,1.5696554,0.97202075,1.3133594,0.72060126,0.5994246,0.5969328,1.414376,1.4605501,1.2877452,0.9657978,0.99147314,1.2546487,0.8816296,0.79970247,0.84437704,0.8382449,1.5740663,0.76507664
ankle,1.4534011,0.0,0.52320284,1.1062008,1.2599928,0.72030425,0.62759835,0.9999103,1.1459292,1.3986284,1.1134514,1.4315078,0.44707775,1.2380427,1.2355866,0.93393296,1.253128,1.3326952,0.96306616,0.6109927,0.8702514,1.2467724,0.83690697,1.0187838,0.71536654,0.7638024,0.5535946,0.8709967,0.9084411,1.2796656,0.9785896,0.7925192,0.77474844,1.2544311,1.148134,0.84645134,1.1486862,0.96636695,1.2088637,1.3369584,0.9286678,0.48337936,1.3994963,0.58883446,1.300747,1.202363,0.85516405,1.3165929,1.127845,1.2632675,0.61000973,0.51107925,1.1288404,1.1588622,0.4768985,1.2131982,0.5814786,1.2331216,0.8872113,0.7763636,0.83120406,1.0168148,0.5754223,0.50883,1.3728814,0.7227293,1.2014799,0.9472779,0.96267813,0.39587283,1.2357877,1.1180612,1.3054612,1.3807703,1.0550293,1.2516841,0.8422981,1.376514,0.74422956,1.2031261,0.89540243,1.0956959,1.2652029,1.1459496,1.1353167,0.6633761,1.0418311,0.59825397,0.7107187,0.41303408,0.626415,0.5648175,1.3674008,1.192769,1.3596914,1.2027261,1.3178892,0.5164139,0.5163882,0.92113787,1.1375655,0.97823405,0.5820756,1.1061455,1.2021426,0.84692436,1.0462373,0.6799307,1.0551512,0.9721882,0.5898979,1.3447642,1.2998531,0.90769005,1.3004917,1.3282593,0.82095575,1.3594671,0.8752493,1.0292239,0.51070464,1.4733241,1.0368001,1.3684114,0.31969643,1.3022561,0.5783626,0.49691796,0.9397296,0.5790132,0.88593227,0.6617372,1.1345141,1.402497,1.4940763,0.69126296,0.39994633,0.60982156,0.9089481,0.84644985,0.7225188,1.2799726,1.3346709,1.0522636,1.2419606,0.4300654,1.3104297
apple,1.5062078,0.52320284,0.0,0.9791493,1.4133207,0.392047,0.38276196,0.7069681,1.1506963,1.5438354,1.1065202,1.5363835,0.5618458,1.4743733,1.3743237,0.8197319,1.4555387,1.369202,1.075862,0.4775226,0.7138443,1.399534,0.47721756,1.1996135,0.82813513,0.7541859,0.74884015,0.95730036,1.0813856,1.3010877,1.2317684,0.5958936,0.58393186,1.3893125,1.1805388,0.9761838,1.2976972,0.96154183,1.2550678,1.4498649,1.0174105,0.3940581,1.5375441,0.49105382,1.1585742,1.1859432,1.0432178,1.3820871,1.2882487,1.2994533,0.6368717,0.2108506,1.1829237,1.0832424,0.57358575,1.1625378,0.6028363,1.1637763,1.182406,0.7461747,0.7959017,0.77923954,0.58208126,0.8029934,1.2873366,0.7580471,1.1741502,0.7600211,1.1322803,0.40711117,1.3025329,1.1200631,1.3600817,1.388586,1.1190517,1.4058799,0.8239719,1.4590075,0.71887153,1.3981196,0.96278965,0.8384368,1.2336657,1.2814313,1.0787421,0.63298404,0.67159665,0.34620786,0.83662844,0.5394851,0.5487381,0.1406284,1.4067395,1.2366078,1.4630146,1.3400934,1.448054,0.529216,0.50087273,0.8327436,1.0004199,0.99180984,0.8947459,0.9435201,1.2249217,0.7847306,1.0947368,0.7030737,0.8130191,1.1346848,0.6227472,1.4513025,1.3462055,0.82817805,1.2093362,1.4027947,0.9648501,1.4215549,1.1568054,1.2557874,0.6576057,1.406569,1.2330112,1.4616768,0.3152361,1.3659317,0.32856673,0.994511,0.756216,0.57294667,0.9935614,0.43717426,1.2670391,1.4184477,1.5014921,0.53812104,0.45428205,0.66472,1.1720129,1.0145261,0.5333961,1.3323523,1.2674389,1.2034559,1.3687018,0.3357697,1.3571308
applesauce,0.8017716,1.1062008,0.9791493,0.0,1.0639191,0.9509636,0.9386704,0.602204,0.7651211,1.1401296,1.1412592,1.1293772,1.2763603,1.1190401,0.9687868,0.98194057,0.98397624,1.0650735,1.0661942,1.142313,0.6295364,1.0628346,0.63323754,1.0786108,0.9236964,1.0903076,1.2666453,1.1725423,1.006326,0.873759,1.1705976,0.86275864,1.1331352,1.0584912,1.0863951,1.0561602,1.1987531,0.95599467,1.0874264,1.0914673,0.93175536,1.257079,1.1007009,1.0736549,0.5630306,0.7941086,0.83479047,1.1457437,1.1988184,1.1078625,1.218207,1.0330786,1.2128656,1.0231948,1.1633846,1.1102775,1.0118238,0.8136233,0.99831766,0.9747998,0.842556,0.93745273,1.2218164,0.9761827,0.9837629,1.0117562,1.0938483,0.77823573,0.9925519,1.2214191,1.0827792,1.1431729,1.1131339,1.1270096,0.7822765,1.1624973,0.9767344,1.0047737,1.0444342,1.0207468,0.9930881,0.59414303,0.91244066,0.7689965,0.984663,1.1107078,0.6257994,1.220618,0.9254512,1.203456,1.1346005,0.8562212,1.0713376,0.8887296,1.07907,1.1660198,1.078264,1.2737846,1.2255975,1.1698564,0.705804,1.0680699,0.9921093,0.5765735,0.9183808,0.68875027,1.0827173,1.0162978,0.5995371,0.9460722,1.1569743,1.1417686,1.0753179,0.91451466,0.7823179,0.9901726,1.1649733,1.0681586,0.9567849,1.0972196,1.0701627,1.1617621,1.0947986,1.1457394,1.2238543,1.1389103,1.0120863,1.0808604,0.5992834,1.0381025,0.9814136,1.0862128,1.0069507,1.100566,0.9360833,0.93465567,1.2100194,1.2347519,1.0636541,0.9560056,0.9509315,0.83774394,1.1238995,1.1796432,1.0979824,1.2575274,1.108182
arm,0.6527712,1.2599928,1.4133207,1.0639191,0.0,1.4340982,1.468327,1.1823379,1.2019799,0.5634264,0.9684793,0.5960903,1.3936483,0.7345604,0.42299372,1.2436603,0.78794974,0.7952511,1.1466401,1.5235374,1.4460251,0.92901117,1.4198132,1.020084,1.3838847,1.3099116,1.3841044,1.1849661,0.8023288,0.87030387,0.9945355,1.3818078,1.3931074,0.89746016,0.72079253,1.2661781,0.82216394,0.96016216,0.8356346,0.68309337,0.96911407,1.4545797,0.79803467,1.5309391,1.0517706,1.0415726,1.0299501,0.71419513,0.86871773,0.3977487,0.97842336,1.4040018,0.79401684,0.7193229,0.90485096,0.8791299,1.4652144,1.1086137,0.7961196,1.3983548,1.337729,1.2335188,1.1702383,0.92029154,0.85264707,1.2686238,0.69571495,1.2198213,0.38163006,1.3975317,0.76836145,1.0238628,0.75906,0.503437,1.1675344,0.40307522,1.2822068,0.73346204,1.3593495,0.3446697,1.2240164,1.1213202,0.92233634,0.6440641,1.1209509,1.0395547,1.3901045,1.309958,1.3786051,1.1644286,1.2653041,1.4048774,0.6478771,0.93123865,0.4212451,0.50310713,0.7065133,1.3888808,1.3553832,1.100016,1.1391704,1.1934077,1.349263,1.2212403,1.0723273,1.3780859,1.1119523,0.9708881,1.1859074,1.0886363,1.423955,0.70003283,0.7649679,1.2715148,0.8219999,0.63193256,1.2376919,0.3271562,0.9766569,0.59998715,1.3500807,0.6792991,0.9419264,0.5155502,1.3861301,0.7577322,1.4746917,0.9966666,1.2023346,1.4794846,1.1158664,1.1587707,0.89550143,0.39702618,0.6000666,1.4166931,1.0666285,1.0901554,0.6488648,1.2313325,1.5079079,0.8865912,0.8192233,0.9284358,0.82313055,1.3797882,0.7559381
ball,1.4418433,0.72030425,0.392047,0.9509636,1.4340982,0.0,0.111748815,0.7847456,1.0573404,1.3807297,1.0956376,1.3806889,0.6960633,1.4331427,1.3537966,0.8006112,1.3010112,1.1806724,1.0137402,0.58105326,0.6385074,1.2761372,0.6442772,1.1850882,0.7844643,0.7651601,0.8306955,0.9113693,1.1224077,1.2135185,1.2283407,0.68707174,0.46876502,1.3252243,1.2814791,0.7943637,1.2596765,0.9765833,1.2622958,1.3818989,1.2271465,0.53154707,1.3963962,0.5292045,1.0304842,1.1323496,0.9565904,1.3379173,1.2502,1.3418365,0.92732114,0.36745685,1.1532022,1.1970278,0.8536061,1.0998068,0.60053563,0.9304377,1.1816362,0.768233,0.8452152,0.77594364,0.8718472,0.9616013,1.1974957,0.66709626,1.2445832,0.9394809,1.2221718,0.5631704,1.2303102,1.0543097,1.200871,1.3694332,0.9708197,1.4320309,0.86347735,1.4301215,0.5562698,1.3835613,0.8449439,0.7874952,1.2029443,1.1899924,0.9851185,0.9028554,0.68617606,0.49620628,0.881022,0.8889424,0.57044756,0.33098894,1.4054189,1.0829786,1.4365442,1.4340069,1.2711856,0.64919156,0.63232315,0.9831914,0.87044185,0.923202,0.87953603,0.9135367,1.1268257,0.75417876,0.9757564,1.0243981,0.74857557,1.1197882,0.71920097,1.4422171,1.2051188,0.9014741,1.1054893,1.3349426,0.8725603,1.4424615,1.0577387,1.2726476,0.847172,1.3349199,1.1196482,1.2979398,0.5867233,1.266491,0.37104023,0.95357347,0.90029514,0.67843586,1.0376284,0.6570401,1.2744093,1.4196515,1.3475738,0.5475247,0.72953,0.8975924,1.2245125,0.9796506,0.43165994,1.2037071,1.1373217,1.1734556,1.2912791,0.5685326,1.2642076
balloon,1.4471263,0.62759835,0.38276196,0.9386704,1.468327,0.111748815,0.0,0.7894534,1.1118273,1.3703866,1.1329899,1.4423395,0.68610257,1.3863311,1.3591824,0.8087629,1.3812864,1.2080803,1.0519104,0.6053796,0.6356942,1.2626041,0.6518159,1.1634078,0.68465483,0.710831,0.75849706,0.9353891,1.069065,1.1991894,1.1437201,0.69970876,0.42116094,1.3132935,1.2473562,0.7722565,1.2841983,0.9376313,1.2814322,1.3832705,1.1954914,0.57181215,1.4027189,0.5254403,1.0629388,1.102848,0.9257173,1.2952186,1.1703848,1.3520977,0.90013105,0.39084345,1.2252733,1.1855531,0.8290715,1.1659226,0.5672514,0.99254006,1.2183411,0.7494767,0.7567285,0.7671851,0.8245461,0.93495953,1.2237802,0.70913094,1.239716,0.9859931,1.2310169,0.548967,1.1979636,1.0670601,1.1900396,1.4033706,1.0115008,1.4505711,0.85071146,1.3971475,0.4858743,1.39854,0.8271073,0.80046403,1.2230619,1.1545273,1.0202193,0.87984955,0.7064874,0.5777832,0.87064624,0.8341345,0.53456485,0.32451952,1.4048389,1.1252127,1.44274,1.4223014,1.31613,0.65832204,0.6437505,0.95937383,0.9110973,0.8638704,0.8515501,0.94314814,1.1579765,0.71905476,0.9426082,0.9582813,0.7479472,1.0519428,0.6658295,1.4130545,1.2883328,0.8505297,1.0799384,1.415474,0.8837473,1.4435586,1.1075933,1.2616999,0.7496834,1.3570416,1.0143696,1.3445256,0.6006613,1.3162837,0.42078274,0.9493689,0.8886229,0.63482165,0.9638705,0.63752115,1.2702723,1.4412959,1.3857105,0.5058317,0.7259997,0.88387424,1.2410469,1.0071249,0.40387076,1.1760387,1.2216142,1.1558402,1.2753911,0.588797,1.2882051
banana,0.9966449,0.9999103,0.7069681,0.602204,1.1823379,0.7847456,0.7894534,0.0,0.9117103,1.2793837,1.1119753,1.3243601,1.1050339,1.3393413,1.1253755,0.98983884,1.2118304,1.1681342,1.0313013,0.94970906,0.6740849,1.1313186,0.5173519,1.176302,0.9055388,0.85757756,1.1003377,1.1299369,1.0721059,1.152021,1.2930595,0.67671645,0.98722285,1.2309513,1.1839021,1.1045228,1.0776982,1.101775,1.0470728,1.2945831,0.93234736,0.9510138,1.2452233,0.9567258,0.78864515,1.0904812,0.9502152,1.2529223,1.2112918,1.2437344,1.0936007,0.9048409,1.1840588,1.0528181,1.0685412,0.98461896,0.93016076,0.8182986,1.068998,0.7808989,0.72736263,0.9627297,1.1508931,1.0092278,1.1339698,0.9151399,1.156407,0.83515537,1.05277,1.0480467,1.0835677,1.1010833,1.1545898,1.2161624,0.9738435,1.266419,0.7388096,1.0763034,0.9495333,1.1926132,0.96076,0.08516419,0.9652398,0.9662639,1.0785811,1.0528457,0.6643991,1.0451996,0.86985266,1.1334025,1.0843563,0.66595405,1.1912984,1.0847474,1.2075137,1.2853395,1.1475493,0.9879377,0.9458605,1.105833,0.61453235,0.99571586,0.9387378,0.7049637,0.88896894,0.6733009,1.0533462,1.0427752,0.15725881,1.0249896,1.02721,1.2230369,1.1863563,0.977682,0.9265504,1.1285642,1.0111883,1.2173915,0.994133,1.229704,1.0626874,1.2229007,1.1825737,1.1737208,1.0272678,1.2458099,0.859312,1.0690145,0.59905684,0.8413348,1.0147152,0.8885829,1.1383061,1.2384565,1.1468067,0.83119464,1.0586709,1.1285181,1.0372452,0.94398636,0.71909046,1.0325505,1.1067337,1.1868701,1.1725477,1.0721548,1.1997955
basket,0.982278,1.1459292,1.1506963,0.7651211,1.2019799,1.0573404,1.1118273,0.9117103,0.0,0.95201606,1.0573592,0.88913435,1.1961148,0.9202375,1.0815662,1.0860898,0.71746516,0.9848833,0.8774223,0.97529787,0.4650572,0.6368464,0.7535139,1.0897038,0.6932303,1.1422119,1.0038744,1.1196352,1.0921383,1.1033727,0.8845932,0.9940493,1.0690855,0.8227249,1.1862969,0.78468657,0.9991278,1.0175192,1.0319747,0.9679531,1.0189327,1.2235732,0.72542596,0.89409983,0.7470144,1.035913,0.9286987,1.1012833,0.9867378,1.2249733,1.3287898,1.1364406,1.053883,1.2290149,1.3087583,1.0256232,1.1548572,0.81604576,0.8143006,0.8571346,1.0637573,0.88380706,1.2716539,1.1279094,1.0995797,1.0701501,1.2264872,0.92659587,1.1754274,1.1497694,1.1723536,1.0769696,1.0478008,1.1736537,0.66050154,1.2239408,0.9320791,0.99538106,1.0209945,1.0548251,0.9611394,0.8519467,0.7486809,0.9834955,0.8639473,1.2455921,0.67212915,1.2622726,0.68602586,1.2659374,1.222433,1.0332323,0.95109725,0.7220348,1.1297847,1.2737077,0.8814686,1.2014741,1.1920815,1.2799075,0.742665,1.0483481,0.75663555,0.7264186,0.8796194,0.7271911,1.0785865,1.0369554,0.7151419,0.6913879,0.94520247,0.9487123,0.8908588,1.0166799,0.82800573,0.9314832,0.94657725,1.1802129,0.7103163,1.1615114,1.094166,1.1008272,1.008637,1.0749471,1.2093105,1.0341969,1.0640965,0.9076175,0.96140504,0.97893405,1.0798562,1.1491505,1.0027317,1.1739159,0.85394275,0.725007,1.28885,1.2370222,1.2269131,0.6848699,0.94828445,0.60964346,1.080105,1.1093055,1.0046172,1.2578664,1.098824
bathtub,0.7113413,1.3986284,1.5438354,1.1401296,0.5634264,1.3807297,1.3703866,1.2793837,0.95201606,0.0,0.83346546,0.30985308,1.3268844,0.43451583,0.6980848,1.3074582,0.6740659,0.39580554,1.020807,1.4879856,1.1760145,0.6674523,1.4654838,0.98925346,1.165146,1.3219981,1.2770357,0.96434265,0.9703087,0.85031366,0.7463205,1.4282254,1.3043059,0.80352163,0.9199422,1.140945,0.8341278,1.092661,0.8427655,0.54009616,1.1336589,1.451849,0.4344628,1.4096532,0.9618618,1.0552378,1.21257,0.5620816,0.59717363,0.7107037,1.321662,1.4711149,0.64888406,0.9090874,1.3410577,0.8504105,1.4004422,1.0289665,1.1577417,1.2827402,1.280884,1.1637259,1.3757854,1.4102573,0.6874001,1.3049731,0.9273777,1.2212025,0.98548627,1.5408006,0.6132502,0.9415009,0.57451034,0.6204418,1.1739914,0.6273731,1.1957,0.5707427,1.1417596,0.65100217,1.155096,1.1928897,0.8905644,1.0192996,0.9573846,1.2799469,1.4148867,1.3594909,1.2472754,1.4691043,1.3919137,1.4672972,0.43106335,0.8094935,0.59953344,0.69844645,0.570561,1.3963504,1.4157262,1.2059422,0.9958251,1.1621726,1.3023448,1.1689968,1.0708659,1.1464769,1.0559412,1.3143525,1.207526,1.0996217,1.3046718,0.48596162,0.5240946,1.410137,0.656539,0.7563039,1.1613593,0.6338703,1.1209133,0.919113,1.4522543,0.3747282,0.4430465,0.31944656,1.5248487,0.46002245,1.4927682,1.2149178,1.2099004,1.381269,1.2322049,1.3593608,0.93464506,0.6087507,0.32293475,1.253528,1.4442034,1.2518016,0.86024314,1.1316876,1.3567762,0.6503647,0.6798658,0.73658967,0.73333764,1.5034186,0.63725054
