,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,face,finger,fish,flower,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shorts,sink,slide,slipper,soap,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
mitten,0.94926786,0.82648695,0.9040888,0.89721847,1.0199547,1.236381,1.0482198,1.0203984,0.7828608,0.77558386,1.1509943,0.70822316,0.94004864,0.71282333,1.2161844,1.2499944,1.3179095,1.23684,1.0592002,1.1555046,1.2485088,1.2238057,1.2283788,1.1860565,1.0250835,0.9120757,1.2554553,0.94507533,0.8266194,0.8724207,0.7897647,0.6255433,0.97658396,1.3780459,0.85754645,1.2661438,0.99867696,1.1501793,0.7785443,0.9072005,1.0874604,1.0206478,0.95090777,0.8987317,1.3334677,1.0392475,1.2504143,0.91255,1.1550696,0.9706274,1.0763682,0.9252881,0.8382776,1.2406285,0.82452893,1.0384434,0.7695831,0.75667834,0.92869216,0.89696455,1.2222687,0.0,1.0698731,1.2487884,1.138065,1.0545948,0.94603246,1.115782,1.252744,0.8007654,0.7363091,0.973197,1.2755907,1.2064503,1.039472,1.0593089,1.4202796,0.9599884,1.2596743,0.9954641,1.0270196,1.1321698,1.1376078,1.009709,0.88027734,0.95857584,0.82168734,0.6290054,1.211048,1.1555501,0.89605165,1.1518724,0.97868496,0.8491161,0.8457339,1.2985923,1.1729487,1.0083596,0.9165652,1.0678065,1.2784829,1.0615257,0.94375336,1.1445976,1.2226918,0.93151116
motorcycle,1.208971,1.0277328,0.99729234,1.1306275,1.0796094,0.98304987,1.2630193,1.0192082,1.1664075,0.96378326,1.0513372,1.1083808,1.1527007,1.0927677,0.73192215,1.1271759,0.8240558,0.8849443,1.2119573,1.0650425,0.8343674,0.8613882,0.42923504,0.9320103,0.9830023,0.8933152,0.82190007,1.0557528,1.2487271,0.9607901,1.0495757,1.0639651,1.1693665,1.022767,1.1211274,0.8651093,0.94270444,0.91986156,0.9620254,0.8966043,0.906463,1.0971271,0.9735359,1.1880985,0.9511979,0.86219484,1.1018691,0.7373491,1.0674576,1.1160202,1.193144,1.0811659,1.2290679,0.9376522,1.0981143,1.0417113,1.0884095,1.2073436,0.9499492,1.0987513,0.85057807,1.0698731,0.0,0.89333445,1.0520699,1.2642933,0.9618258,1.0131707,0.7730118,1.2213547,0.96147853,1.079331,1.0905405,1.119424,0.92333543,0.8626778,0.8963685,0.83344364,0.96223974,1.0090895,0.8835654,0.6280986,0.87123364,1.2320759,1.1537971,1.2365448,1.0121782,1.0053333,0.9076734,0.93198216,1.1096991,1.2324739,0.7449074,1.0355494,1.1471965,0.9581463,1.0565821,0.83708644,1.2421643,1.0632012,0.9647965,1.0447686,1.0206443,0.88302666,0.9836907,0.8113481
nail,1.3741424,1.1167247,0.8065118,1.2083905,0.78395295,0.384189,1.0898266,1.087349,1.4748554,1.45736,0.6927414,1.4167455,1.2598709,1.3560323,0.54116917,0.8889754,0.32271963,0.4577859,1.2600636,0.93415904,0.54613245,0.6243918,0.6239347,0.3702551,1.0856017,1.1728125,0.41088486,1.2963161,1.231457,1.4189404,1.2770479,1.3862011,1.1393259,0.30754822,1.3922799,0.452407,1.2351658,1.1291106,1.2904348,1.3113148,0.9450019,0.8870949,1.1136755,0.949601,0.48795426,1.1104659,1.0225312,1.304699,0.512181,1.006031,1.1379986,1.1267345,1.1991558,0.33336174,1.1949195,1.2041144,1.301241,1.4042953,1.1019233,1.3152257,0.6885854,1.2487884,0.89333445,0.0,0.6648567,1.1794987,0.9573857,0.7047756,0.6374919,1.3776143,1.3101249,1.1755419,0.5340152,0.6147522,0.8449787,1.1682885,0.4742689,1.2725368,0.6342807,1.1095499,0.9703601,0.78726673,0.9512886,1.2092285,1.2553992,1.142398,1.3392451,1.2843914,0.25571668,0.516273,1.0603396,0.80488074,1.1351876,1.29005,1.3964875,0.5430357,0.45567572,0.77968013,1.3334087,0.7496218,0.8674599,1.2044585,1.2138351,1.0847375,0.3380884,1.2009102
napkin,1.2782431,1.0633346,1.0736998,1.1296269,1.1610464,0.6037092,1.0878437,0.9462778,1.3443911,1.2484821,0.6972065,1.1972942,1.0610467,0.82335305,0.77966565,0.8263929,0.5572675,0.72816277,1.0422461,0.72117144,0.8129227,0.32913542,0.84549564,0.6491773,0.9569854,1.0936977,0.44553393,1.1557627,1.1197457,1.3893164,1.1057583,1.2820241,1.0038258,0.55931175,1.262109,0.6840349,1.2294793,1.1928536,1.0039877,1.080376,0.7177005,0.8696348,1.2292098,1.0567995,0.84977365,1.0778704,1.0082695,1.2029682,0.8283489,0.8829641,1.0905246,1.2024548,1.2062986,0.70400226,1.2976184,1.0079321,1.3701003,1.3181652,1.0387808,1.0466615,0.57833624,1.138065,1.0520699,0.6648567,0.0,1.0665275,1.0145537,0.81764656,0.37245047,1.3766786,1.1892327,1.1762283,0.66147166,0.70379853,0.8733866,1.2125736,0.64296806,1.2725472,0.96453196,0.93739367,0.8532355,0.7185793,1.0286317,1.1256734,1.3287942,1.0214833,1.0710535,1.1713175,0.56015813,0.7236508,0.8079511,0.9480855,0.97587615,1.4101794,1.3448279,0.8483963,0.65085554,0.9347606,1.2032377,0.18342221,1.0899255,1.0650626,1.3626684,0.869712,0.65119815,0.99419445
necklace,0.56961584,0.9863713,0.8389771,0.9201839,0.9317641,1.1358734,0.7554263,1.0204294,0.8047924,0.9171965,1.058888,0.93748194,0.90906453,0.7594265,1.1988722,0.79797727,1.1604476,1.1496567,0.73956406,0.9296717,1.2484105,1.1832733,1.2224387,1.2061588,1.1105628,0.9862625,1.2276027,1.0609207,0.87984204,0.91190803,0.93334544,1.0581669,0.9332316,1.0425267,0.8314667,1.2239116,1.092874,0.9600989,1.0681739,1.001803,1.1465937,1.0631794,1.1376054,0.9769536,0.9168386,1.0237604,0.5285752,1.0732138,1.1483238,0.7967637,0.5771352,1.0574061,0.7903371,1.2600906,0.98194927,0.9250614,1.0599964,0.8972814,1.0067859,1.0072191,1.1460772,1.0545948,1.2642933,1.1794987,1.0665275,0.0,0.9209727,0.93997467,1.2874751,0.8373002,1.0340196,0.84290963,1.0100464,1.0093597,1.165629,1.0007392,1.0185009,1.0482063,1.130167,1.0254257,1.1329503,1.2735522,1.0068058,0.8747158,0.950307,0.9833271,0.90672666,0.9773621,1.2249808,1.1859837,0.9917984,0.9877602,1.178291,1.01985,0.8052141,1.0346156,1.212749,1.1264966,0.6863107,1.0349783,0.9827623,0.8531177,0.9378752,1.139682,1.1465999,1.0900004
nose,1.1109614,0.76510507,0.5625074,1.1089026,0.5130584,0.7320516,1.1726893,1.0707562,1.009969,1.1442921,1.0234665,0.97775185,1.1709151,0.9819553,1.0847868,0.9412925,1.1165196,0.8823398,1.0816156,1.0461851,1.0421156,0.99391776,1.0098517,1.086952,1.123882,1.0284519,1.057464,1.153641,0.9503961,1.0372862,1.0332319,1.0976262,0.8998312,1.0366206,1.1692923,1.0205439,1.0467185,0.90944743,1.0438838,0.8009534,0.99142903,0.96451443,1.1001247,0.8880252,0.9944559,1.0740068,1.0204903,0.95331234,1.0430769,0.7894492,1.0003245,1.1124716,0.9185959,1.1229513,1.0218445,0.8437596,1.1882668,1.1309104,0.95759076,1.0900099,0.995055,0.94603246,0.9618258,0.9573857,1.0145537,0.9209727,0.0,0.66149366,1.0194285,1.1442816,0.96805614,1.096566,0.9995186,0.9004898,0.98033357,1.089955,0.9187166,0.93449354,0.8684956,1.0640081,0.94793427,1.1390698,0.95790887,1.0309149,1.2221458,1.1322815,0.77072847,1.1124084,1.0218608,1.074746,0.8029262,0.9619916,0.9632229,1.0824802,1.1679792,0.77335215,1.021366,1.0763625,0.9862133,1.0644307,1.0949675,1.0851955,1.1247269,0.99707973,1.0135447,1.0359205
orange,1.050679,0.87250483,0.54413843,1.0137634,0.53956604,0.5352137,1.1349094,1.0095646,1.1838189,1.1967664,0.89964825,1.2208577,1.1413709,1.1343613,0.85329115,0.95598847,0.7730669,0.863449,1.0840802,1.0354663,0.8609966,0.8084882,0.9804999,0.70702475,1.1174126,0.9749832,0.7338503,1.1800075,1.0930147,1.2923898,1.1950353,1.2472765,1.123498,0.7941756,1.154499,0.8450668,1.0741004,1.0270383,1.0591753,1.0205103,1.1224291,0.9850981,1.1274233,1.0625224,0.8857517,1.0602977,0.99378395,1.0942478,0.90768826,0.98854,1.128886,1.159608,1.1031816,0.9133704,1.0411803,1.044774,1.2551367,1.2538407,1.1795697,1.2333245,0.81222296,1.115782,1.0131707,0.7047756,0.81764656,0.93997467,0.66149366,0.0,0.8419018,1.1514846,1.1895834,0.9940575,0.94351965,0.91800094,0.9799323,1.0752915,0.7740598,1.0437902,0.39521205,1.2260375,1.1220765,0.92621374,0.96909934,1.1525295,1.1766701,1.1335893,1.1197902,1.10951,0.807328,0.7948036,1.0011036,1.0683221,0.92722994,1.2328126,1.2166426,0.78766274,0.96556157,0.93990266,1.088641,0.99787545,0.9621604,1.1646076,1.0593026,1.012418,0.85748553,0.99102503
oven,1.3853388,1.1774997,1.1174421,1.237804,1.2061125,0.60571736,1.2790041,0.85894287,1.3231287,1.2229477,0.76842475,1.2777282,1.22191,1.1667001,0.64350516,0.8722829,0.4496709,0.67328453,1.0952437,0.6753125,0.6781697,0.25000405,0.6112583,0.626262,0.9571448,1.056479,0.3896531,1.0737637,1.2715812,1.3237295,1.2502524,1.3159922,1.1003149,0.61224174,1.2194991,0.5250253,1.1775296,1.0900582,0.8505379,0.90045124,0.6666904,1.0160544,1.2118249,1.1848445,0.8369443,0.8866832,1.1520536,1.0806471,0.97959316,1.109465,1.233917,1.3251691,1.378823,0.73123556,1.2251813,1.0255408,1.3875263,1.4402342,0.96370673,0.99985313,0.38145262,1.252744,0.7730118,0.6374919,0.37245047,1.2874751,1.0194285,0.8419018,0.0,1.4371561,1.1259522,1.277568,0.73494244,0.78725374,0.8035693,1.0344179,0.5386231,1.2148701,0.85316277,0.9255076,0.70174223,0.3873449,0.8370832,1.1827836,1.4094042,1.1377343,1.1658602,1.198057,0.6130455,0.7255512,1.0313205,1.1251026,0.81382847,1.3869338,1.3024625,0.73358,0.7701758,0.9266759,1.387315,0.48628306,0.901366,1.0950117,1.2216315,0.65405333,0.7356261,0.835284
pajamas,0.6359707,1.1610568,1.0869315,0.62048435,1.1138463,1.4031777,0.8699062,1.0416852,0.694504,0.68039924,1.1598638,0.7414503,0.7207755,0.86061716,1.2852994,1.1104851,1.3906181,1.3535185,0.79088974,1.2443211,1.3211415,1.4670429,1.3878534,1.3757768,0.97422063,1.0150108,1.4261357,0.88326234,0.65551585,0.71103746,0.8519006,0.59179926,0.98694223,1.3340256,0.67266965,1.4192514,1.0049046,1.0016739,0.82024693,1.0683762,1.3760369,1.2536483,0.7364013,0.9753124,1.3619673,1.1119859,1.0131254,0.9312561,1.2030677,0.9357343,0.81347543,0.8818103,0.6825491,1.3701146,0.8641915,1.0414232,0.46103197,0.5462026,1.0467476,0.9029626,1.4681001,0.8007654,1.2213547,1.3776143,1.3766786,0.8373002,1.1442816,1.1514846,1.4371561,0.0,0.89583325,0.69594383,1.208454,1.1149051,1.3547362,1.0538495,1.4337393,0.9501305,1.232976,1.1037755,1.2234665,1.3590362,1.3267181,0.8576181,0.53443563,0.86881745,0.9841653,0.7042093,1.3978368,1.2247645,1.1197122,1.067417,1.1663831,0.49858993,0.53436863,1.3347024,1.3168368,1.1156597,0.68887335,1.3700681,1.16535,0.8778813,0.812763,1.2091819,1.4077994,0.98287624
pants,0.89665216,0.7956363,1.0455406,0.94166523,1.1574163,1.2963398,0.9371501,1.1121908,0.8693869,0.86117405,1.1767371,0.8595046,0.881641,0.87476563,1.1992233,1.2644813,1.2810175,1.1771243,1.1441475,1.1795578,1.1449552,1.1940992,1.1783326,1.2618272,0.7531526,1.0748746,1.328088,1.0186269,0.9317224,0.7856275,0.7745453,0.8178774,0.9151318,1.3354813,0.9762409,1.2773759,0.835951,0.9706077,0.8726219,0.8155762,1.0566761,1.0109015,1.0168003,0.8860549,1.1406769,0.98397523,1.0297781,0.87680846,1.2157971,0.84748244,1.0453299,0.8614289,0.801435,1.1430697,0.8973899,1.0521713,0.8906562,0.746788,0.94240296,0.97320545,1.2248583,0.7363091,0.96147853,1.3101249,1.1892327,1.0340196,0.96805614,1.1895834,1.1259522,0.89583325,0.0,0.9804745,1.2179703,1.151147,1.0875117,0.937663,1.3075192,0.9062909,1.1832898,0.8125286,0.9815571,1.142897,1.0595726,0.90927017,0.9024468,0.8965781,0.8226483,0.8890329,1.2695016,1.1826444,0.86696213,1.078942,0.901623,0.8411683,0.9716785,1.2421384,1.1694052,1.066332,0.9241805,1.135319,1.131845,1.1395934,0.943823,0.9643527,1.2322142,0.9234047
