,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,face,finger,fish,flower,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shorts,sink,slide,slipper,soap,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
paper,0.7513664,1.1352673,0.9923759,0.7331817,1.1408262,1.2983491,0.90090895,1.0151714,0.824703,0.88713527,0.99976176,0.9305474,0.8146604,0.882519,1.0863986,0.9001831,1.231283,1.2373457,0.82526416,1.071278,1.1108098,1.2459383,1.1859789,1.2161229,1.0758159,0.84493935,1.1789011,1.0974945,0.93724936,0.9161704,0.96400905,0.9536453,0.92353666,1.156044,0.79660755,1.2075026,1.0306962,0.90702444,0.9849212,1.0010453,1.1836764,1.0866977,1.010111,0.82310086,1.092059,1.0452113,0.91537786,0.9109512,1.002664,0.9353271,0.7916994,0.97419745,0.6645702,1.1965168,1.0220143,1.0342838,0.91246593,0.8700588,1.1038804,0.9843468,1.2154828,0.973197,1.079331,1.1755419,1.1762283,0.84290963,1.096566,0.9940575,1.277568,0.69594383,0.9804745,0.0,1.0179425,0.99621093,1.0234839,0.96455646,1.1943228,0.9469709,1.1011748,1.1544532,1.2525368,1.0758103,1.2166187,0.9355869,0.8204979,1.0650442,0.9137373,0.9545063,1.2199365,1.1214867,1.1849217,0.9871299,1.0559483,0.9651468,0.7939083,1.2841831,1.1670908,1.0838645,0.7648262,1.2211825,1.0006106,0.8396187,0.8929545,1.1948582,1.1677319,0.9257771
pen,1.323457,1.1174423,1.0142796,1.1161848,1.0518516,0.7255556,0.94973373,1.0417855,1.4100771,1.4338353,0.51337385,1.3101528,1.1507885,1.3248916,0.81373596,0.5722246,0.52866095,0.5085338,0.93869936,0.8685331,0.8794121,0.70365727,0.705101,0.64545894,1.0985135,1.3241934,0.7297739,1.3497543,1.1798837,1.3814795,1.1776142,1.4649205,0.8844783,0.18982881,1.3313041,0.58424985,1.2563826,1.0241222,1.335904,1.2877122,0.92621255,0.9317951,1.2555081,0.68652713,0.47168088,1.1438286,0.80262595,1.3703403,0.6907076,0.59338343,0.7243066,1.1960576,0.7806776,0.6225239,1.2899292,0.951612,1.3471189,1.3310324,0.98723507,1.1644506,0.82760453,1.2755907,1.0905405,0.5340152,0.66147166,1.0100464,0.9995186,0.94351965,0.73494244,1.208454,1.2179703,1.0179425,0.0,0.19066775,0.9280234,1.1664433,0.6036079,1.2799214,0.8422942,1.0030289,0.854787,0.9219169,0.9817418,0.79434097,1.33361,1.1516815,1.2114638,1.2640413,0.52450657,0.7413155,0.91042054,0.61532354,1.2254629,1.3540361,1.233397,0.5498898,0.52141225,0.92142797,1.0288826,0.7021519,0.82300365,0.8717938,1.2740054,1.1174699,0.48411334,1.2560248
pencil,1.2904776,1.1732411,0.8934814,1.1647549,0.9540912,0.67815316,0.91163903,0.9983016,1.3268601,1.4043564,0.670702,1.2188447,1.1782331,1.2213562,0.90724623,0.5853356,0.5534814,0.58391863,0.9188561,0.9487551,0.8923035,0.7888742,0.8058139,0.6691717,1.157777,1.2818329,0.77873755,1.357179,1.183344,1.246514,1.1335375,1.4393141,0.7462087,0.31996268,1.2261825,0.59736156,1.2156234,1.0073768,1.3118427,1.2053078,1.0534046,1.052132,1.1900519,0.723306,0.61451244,1.0585037,0.81211185,1.2994772,0.8313164,0.67147595,0.651628,1.2592256,0.7345779,0.73136,1.2427132,0.93999034,1.3120439,1.3891686,1.0249391,1.1596994,0.82348037,1.2064503,1.119424,0.6147522,0.70379853,1.0093597,0.9004898,0.91800094,0.78725374,1.1149051,1.151147,0.99621093,0.19066775,0.0,0.9547204,1.1252266,0.6716221,1.2106707,0.83340126,1.1526845,0.96083146,0.9213654,0.96040773,0.7634409,1.3368206,1.2341719,1.2218865,1.2522063,0.6061571,0.7701824,1.1097724,0.7000088,1.1591431,1.2538674,1.0604204,0.62352085,0.70286214,0.9499276,0.901033,0.76234883,0.76966274,0.90054345,1.2048383,1.1766683,0.66256475,1.2265675
pillow,1.2144513,0.8818206,0.9414281,1.131846,0.9167168,0.8178774,1.1088055,0.79686654,1.163161,1.254107,1.0407141,1.1153096,1.1631083,0.92679745,0.8891123,0.8518219,0.83874106,0.82478106,1.0871545,0.84538114,0.75997126,0.8720367,0.7291905,0.9073932,1.1889849,0.635361,0.7749923,1.2115805,1.2619369,1.2524054,1.2229439,1.1891832,0.8863916,0.9346073,1.209542,0.6050727,1.0269127,0.8509809,1.2719073,0.93078494,0.69720745,0.9422456,1.115307,1.0489844,0.74195576,0.76292,0.95059174,1.1712426,0.9692937,1.0113417,1.0476385,1.1734059,1.1980526,0.8834193,1.0547706,1.0038023,1.2232811,1.3397465,1.0592382,1.1733247,0.7263729,1.039472,0.92333543,0.8449787,0.8733866,1.165629,0.98033357,0.9799323,0.8035693,1.3547362,1.0875117,1.0234839,0.9280234,0.9547204,0.0,0.7925033,0.7457134,0.9937274,0.93251276,0.96427256,0.8459857,0.71059203,0.77791864,1.0050079,1.2295041,1.1556926,1.0618637,1.0891479,0.94814515,1.0583647,0.928803,1.009222,0.86694956,1.1774918,1.240907,0.73637265,0.8919572,1.1499738,1.2093478,0.8389136,0.531827,0.99698466,0.9245864,0.8841269,0.9009103,1.0677408
plant,0.8685821,1.0648365,1.0656382,1.0820473,1.0923487,1.1351167,1.1189555,1.0449021,0.9977032,0.97938883,1.2077886,1.1212573,1.0474998,1.0663257,1.0253823,1.1541858,1.065403,1.1975985,1.084898,1.0837601,0.96296185,1.1097916,0.89207786,1.0274187,0.9627327,0.84731936,1.017175,0.86790043,1.1023347,0.97716236,1.0588459,1.0564394,1.0209208,1.1741664,0.98002446,1.068631,0.87368023,0.65226734,0.9888881,0.9457303,1.048515,1.0887346,1.0693729,1.049036,0.8506181,0.19047916,1.0343726,0.8481127,1.1951619,1.2149774,1.1579002,1.0231904,1.1761706,1.1722353,0.9735891,0.97823024,1.0493466,1.1837915,0.8725481,0.89054483,0.91550505,1.0593089,0.8626778,1.1682885,1.2125736,1.0007392,1.089955,1.0752915,1.0344179,1.0538495,0.937663,0.96455646,1.1664433,1.1252266,0.7925033,0.0,1.0847782,0.83865154,0.9605565,1.0313841,0.97718006,0.89304304,0.7144791,1.0586895,1.0895058,1.1651769,1.1654625,1.0357143,1.1747292,1.1327096,1.1813191,1.2719328,0.85219425,1.0516171,1.0362356,1.149232,1.2140882,1.0905734,1.1299207,1.1806873,0.8684875,1.1833997,0.18375987,0.9612103,1.1808435,0.540477
plate,1.2997735,1.12363,0.9441868,1.2753359,0.8041015,0.38737285,1.022985,0.89146435,1.332531,1.4379506,0.7403662,1.3509283,1.2437587,1.2722801,0.6722245,0.6530336,0.42334926,0.450835,1.0224249,0.65927917,0.65290505,0.4502207,0.568246,0.62251174,1.053593,1.0894,0.43514824,1.3563745,1.258767,1.3383566,1.2485453,1.4695277,0.9868336,0.43200743,1.2999226,0.45414084,1.236158,1.0115409,1.23425,1.1278403,0.7558439,1.031229,1.1349832,1.0949358,0.5160208,1.0354607,0.7362982,1.3737416,0.86612374,0.95430726,0.94310975,1.2808329,1.2475054,0.5855847,1.3049004,1.106366,1.363934,1.4189768,0.9347437,1.3387604,0.64252424,1.4202796,0.8963685,0.4742689,0.64296806,1.0185009,0.9187166,0.7740598,0.5386231,1.4337393,1.3075192,1.1943228,0.6036079,0.6716221,0.7457134,1.0847782,0.0,1.2659023,0.7157827,1.0433671,0.76000226,0.7354503,0.94067913,1.136152,1.3158795,1.1402304,1.147778,1.2872113,0.5320051,0.6393266,1.0284626,0.8583148,1.1228546,1.3154653,1.2937313,0.42538506,0.7066717,0.90120023,1.2316487,0.6905544,0.7301369,0.9421435,1.2006936,0.9447341,0.6494445,1.1304133
pony,0.9499951,0.7999928,0.98730284,0.9864322,0.99684477,1.1984758,1.107769,1.0508345,0.88225615,0.94376135,1.2473769,0.93075466,1.0609725,1.0469496,1.0539635,1.1324842,1.2249893,1.3193715,1.0255744,1.1839877,1.0274771,1.2389274,1.0639307,1.1096331,1.0165718,0.79459333,1.235768,0.9765926,0.914834,0.85207903,0.9960386,0.9971503,0.9831628,1.296529,1.0120891,1.1884953,0.19169503,0.33304787,1.0637925,0.7520404,0.98079157,1.1075315,1.0524893,1.0872847,1.1679754,0.9411355,1.0186996,0.7382462,1.2287053,1.1383897,0.9950698,1.0242691,1.034807,1.2641951,0.7540187,0.99090886,0.9699903,0.96894926,1.1201407,0.9488567,1.1243589,0.9599884,0.83344364,1.2725368,1.2725472,1.0482063,0.93449354,1.0437902,1.2148701,0.9501305,0.9062909,0.9469709,1.2799214,1.2106707,0.9937274,0.83865154,1.2659023,0.0,1.0553844,1.0640714,1.0745318,1.076724,0.82952,0.8931303,1.0054828,1.0600117,0.99750304,0.99003035,1.2349786,1.1932846,1.0292379,1.2522284,0.68271744,0.87143195,0.94065267,1.2032939,1.2586248,1.1822282,0.960919,1.1843884,0.7560719,0.961277,0.9089327,1.0119389,1.2797521,0.9589859
pumpkin,1.1879872,0.9878317,0.7606555,1.1444505,0.6376701,0.6023004,0.9140923,1.0261074,1.249579,1.3354723,0.9416733,1.3183277,1.2242517,1.3296677,0.7690474,0.96088827,0.6812756,0.7463249,1.1795355,1.0638686,0.6730132,0.94418126,0.79699516,0.7367439,1.1811646,1.0066482,0.76495904,1.1735637,1.1101706,1.2998683,1.2641315,1.306429,1.0760407,0.70696247,1.214418,0.7131153,1.0498562,0.9725566,1.2390585,1.1575894,1.0318643,0.92881465,1.0137994,1.050522,0.715652,0.92936605,0.9537095,1.1158091,0.8662375,1.0961356,1.1584108,1.1121614,1.1622672,0.73550785,1.0781574,0.989157,1.1947858,1.267,1.1189957,1.1941401,0.78463244,1.2596743,0.96223974,0.6342807,0.96453196,1.130167,0.8684956,0.39521205,0.85316277,1.232976,1.1832898,1.1011748,0.8422942,0.83340126,0.93251276,0.9605565,0.7157827,1.0553844,0.0,1.114121,0.98334694,0.87215674,0.7847024,1.0988398,1.1823589,1.0991652,1.254681,1.2235543,0.7373409,0.8510514,1.1390841,0.96452355,1.0596735,1.141748,1.2711238,0.57996756,0.8235339,1.0005953,1.1133963,1.0314845,0.73618555,1.1569622,1.0270501,0.92503935,0.74409187,1.1295118
purse,0.97729754,0.9371015,1.2656875,1.023615,1.2724397,1.2138649,1.0012311,1.0298336,0.96324307,1.0000714,1.088656,0.8914435,0.89632,0.9019957,1.1022403,0.8779353,1.1463892,1.0174996,0.821211,0.8594744,1.1055418,0.984079,1.0725576,1.1448874,0.8901948,1.0296745,1.2066178,0.9191781,0.93297905,0.9514442,0.95889354,0.85589623,0.9522632,1.1049063,1.0225168,1.1208875,0.97688985,0.8866269,1.0139499,0.9115751,0.7865792,0.99206156,1.0828315,1.0184367,0.9904483,1.1188791,0.97254175,1.1045127,1.1279726,0.8611206,0.92100525,0.95909095,0.9745606,0.9804576,1.1452159,0.82951546,0.96046954,0.7996802,0.7593783,0.9575772,1.1835134,0.9954641,1.0090895,1.1095499,0.93739367,1.0254257,1.0640081,1.2260375,0.9255076,1.1037755,0.8125286,1.1544532,1.0030289,1.1526845,0.96427256,1.0313841,1.0433671,1.0640714,1.114121,0.0,0.50990903,1.0549362,1.08398,0.8993963,0.9945546,0.7270607,0.9222676,1.0215404,1.1418002,1.1848161,0.7331921,1.0643513,1.09274,0.9719974,1.0287862,0.94073725,0.99722296,1.1995914,1.1948153,0.7874237,0.997109,0.90519243,1.0947465,0.70699567,1.085682,1.0366795
radio,1.233015,0.95391417,1.0937244,1.1174052,1.0988426,0.95150936,1.0862849,0.895674,1.0309788,1.1203681,0.93018526,1.0516447,1.0781947,1.0272003,0.9187944,0.8223642,0.9097119,0.72640026,0.8705125,0.6950524,0.9524157,0.75000405,0.7521194,0.99115086,0.9804655,1.0020658,0.92582357,0.9974962,1.0968024,1.0880196,1.0358479,1.112148,1.0780783,0.94035107,1.069396,0.8234016,1.0389512,0.94130105,1.058467,0.9515369,0.8007677,1.0208714,1.1778926,1.1322461,0.9621197,0.99433345,1.0495868,1.215621,1.1176153,0.9077297,1.0217373,1.0801716,1.1628083,0.8570368,1.2316393,0.78955394,1.161596,1.0854179,0.94351065,0.99583673,0.8678147,1.0270196,0.8835654,0.9703601,0.8532355,1.1329503,0.94793427,1.1220765,0.70174223,1.2234665,0.9815571,1.2525368,0.854787,0.96083146,0.8459857,0.97718006,0.76000226,1.0745318,0.98334694,0.50990903,0.0,0.86068225,0.8965441,0.87639034,1.2056088,1.0017663,0.9336942,1.1195636,0.95594525,1.1566256,0.83599997,1.0823671,1.0479323,1.1493994,1.1218106,0.65307933,0.991641,1.1584195,1.2926891,0.7582278,0.8695789,0.98991185,1.1224899,0.6159905,0.91103786,1.0655655
refrigerator,1.2475731,1.1129278,0.9924647,1.1795713,1.1730375,0.80765414,1.280279,0.73894405,1.1945548,1.0963097,1.02884,1.1981854,1.2023399,1.1413043,0.71291125,1.0286195,0.60270935,0.87110466,1.2091591,0.7620116,0.6699024,0.59167343,0.59622854,0.6826865,1.1447754,0.8001783,0.4994532,0.9527879,1.3694091,1.2471002,1.2115268,1.2559652,1.1139313,0.85883904,1.0809648,0.5921153,1.0873227,1.0532933,0.9504428,0.86745167,0.7803205,1.0250952,1.1556512,1.2453945,0.966094,0.7221804,1.1747398,0.88509107,1.063274,1.2116911,1.2366802,1.1922237,1.3203547,0.85974455,1.0980682,1.0423108,1.2507586,1.4784721,1.0693153,0.94328487,0.44537455,1.1321698,0.6280986,0.78726673,0.7185793,1.2735522,1.1390698,0.92621374,0.3873449,1.3590362,1.142897,1.0758103,0.9219169,0.9213654,0.71059203,0.89304304,0.7354503,1.076724,0.87215674,1.0549362,0.86068225,0.0,0.71539676,1.117511,1.2778087,1.2733381,1.1177849,1.0477886,0.8160461,0.841723,1.2709212,1.293405,0.79170215,1.2921851,1.1589303,0.8155453,0.952172,0.96112365,1.2755253,0.8296318,0.79454094,1.0422227,1.0350051,0.8160667,0.8829616,0.80268884
rooster,1.0084641,0.91037077,0.8666894,1.1428539,0.95907,0.8493067,1.105366,0.9001516,1.1579641,1.2446048,1.139822,1.3220344,1.1570013,1.1962944,0.8692651,1.1358497,0.8537274,0.9831667,1.2974778,1.0153234,0.6863196,0.9119216,0.7238953,0.883941,1.179284,0.93211526,0.77478385,1.0380135,1.1831619,1.2153466,1.2456605,1.353468,1.0689558,1.000763,1.1666569,0.76467305,0.8377757,0.75071526,1.1803575,0.8330843,0.8042054,0.8535013,1.1971595,1.1032041,0.8741065,0.6318949,0.98020047,0.9018563,1.033244,1.1762191,1.1713996,1.1481655,1.210726,1.0061781,0.8251023,0.74647266,1.2841848,1.3722973,1.0114546,0.9294304,0.52391475,1.1376078,0.87123364,0.9512886,1.0286317,1.0068058,0.95790887,0.96909934,0.8370832,1.3267181,1.0595726,1.2166187,0.9817418,0.96040773,0.77791864,0.7144791,0.94067913,0.82952,0.7847024,1.08398,0.8965441,0.71539676,0.0,0.9349907,1.23572,1.2338192,1.1265761,1.1771344,0.96419525,1.0974865,1.1062534,1.0985055,0.57539153,1.2209492,1.2039702,0.82072306,0.9185804,1.1227348,1.1189785,1.0479789,0.7562959,1.1876228,0.99821544,0.8404137,0.84763217,1.0072285
scissors,0.9851717,0.92338353,1.0066751,0.87685245,1.0888468,1.1249148,0.8465868,0.89292574,0.84629786,1.0736022,0.9977953,0.8214517,1.0755248,1.0079303,1.178465,0.764952,1.0863341,0.9583814,0.73563963,0.9561611,1.1074396,1.1178877,1.1312349,1.0945545,1.205673,0.9439436,1.1756597,1.1018707,1.0019118,0.900345,1.0344578,1.0857973,0.7926362,0.9795467,0.83970374,0.9790827,0.94213516,0.8510537,1.200091,1.0001272,1.0216248,1.1506429,1.2317121,0.92677116,1.0357721,1.0914383,0.7623873,1.170554,1.1736825,0.84131706,0.5707653,1.1653789,0.8140988,1.1200796,1.0084314,0.7161523,1.1245803,0.98798543,1.0896465,1.0024943,1.0566084,1.009709,1.2320759,1.2092285,1.1256734,0.8747158,1.0309149,1.1525295,1.1827836,0.8576181,0.90927017,0.9355869,0.79434097,0.7634409,1.0050079,1.0586895,1.136152,0.8931303,1.0988398,0.8993963,0.87639034,1.117511,0.9349907,0.0,1.0493737,1.0713376,1.010233,0.94803107,1.1219759,1.1449726,1.0206075,0.92238694,1.065982,1.0630778,0.725668,0.9209546,1.1224083,1.2158444,0.87097365,1.0089252,0.71427894,0.81706583,1.0086536,1.0349218,1.1317457,1.2136495
shirt,0.71704143,1.0644951,1.1505169,0.7667524,1.1011469,1.3679247,0.73946893,1.1225021,0.827702,0.7153311,1.1491559,0.82123387,0.40424645,0.90701914,1.242455,1.2650429,1.3640317,1.320116,1.03031,1.3037461,1.2333928,1.4453675,1.2818205,1.278753,0.86026955,1.0262731,1.3247156,0.82991064,0.86800265,0.7603042,0.9447477,0.57538795,1.2624681,1.3553815,0.88031137,1.3431498,0.9040057,1.1181371,0.79549265,1.1320052,1.2838613,1.0294856,0.6055262,1.077096,1.276976,1.14814,1.1076376,0.9690438,0.9585148,1.1688446,1.0933404,0.64673316,0.9102642,1.1202434,0.73820597,1.1989,0.31862473,0.5310446,1.0660161,0.9778113,1.3766415,0.88027734,1.1537971,1.2553992,1.3287942,0.950307,1.2221458,1.1766701,1.4094042,0.53443563,0.9024468,0.8204979,1.33361,1.3368206,1.2295041,1.0895058,1.3158795,1.0054828,1.1823589,0.9945546,1.2056088,1.2778087,1.23572,1.0493737,0.0,0.6577987,1.0198139,0.7408617,1.2682614,1.1254642,1.0498005,1.0159329,1.2018585,0.51536316,0.7352582,1.320731,1.197279,0.9673918,0.89331657,1.3487213,1.157242,1.061609,0.8555855,1.2316376,1.1929632,0.94321775
shorts,0.92704594,0.8336201,1.230132,0.81926244,1.0575899,1.1699642,0.82554376,1.1610432,0.8988111,0.94276595,1.025844,0.8907918,0.7348318,0.9393244,1.1752287,1.1222718,1.2774626,1.1546866,0.9754215,1.0915818,1.2064797,1.1911768,1.2403069,1.225388,0.86312574,1.1210407,1.267719,0.92939305,0.6423878,0.9393436,0.9047257,0.68303794,1.1855761,1.1811855,1.0213286,1.2254417,0.9847076,1.0087472,0.8563137,1.1289474,0.96029663,0.9119019,0.8829068,0.9291243,1.1490326,1.2050015,1.137659,1.1484991,0.8956425,1.0638624,1.0784497,0.82353044,0.9423124,1.0215635,0.9578818,1.096529,0.71294785,0.47164303,1.0942932,0.98304003,1.2699722,0.95857584,1.2365448,1.142398,1.0214833,0.9833271,1.1322815,1.1335893,1.1377343,0.86881745,0.8965781,1.0650442,1.1516815,1.2341719,1.1556926,1.1651769,1.1402304,1.0600117,1.0991652,0.7270607,1.0017663,1.2733381,1.2338192,1.0713376,0.6577987,0.0,0.97813797,0.9352741,1.136272,1.1971295,0.689186,0.8400929,1.177599,0.77026343,1.0545884,1.1059084,0.9476284,1.0996785,0.9522935,0.99126613,1.2103808,1.0901192,1.0672874,1.031267,1.0501198,1.0883534
sink,0.84951097,0.8637413,0.97525275,0.9832056,1.0375566,1.2531013,1.0445704,1.0388422,0.5450356,0.7565532,1.095142,0.60393524,0.8863517,0.7090288,1.2350583,1.135773,1.4520962,1.0861443,0.9630744,0.7725433,1.2691045,1.038192,1.2066048,1.4281032,1.0538056,0.77825665,1.2930045,0.9528394,0.9610078,0.7190026,0.67283714,0.78072023,1.0050515,1.3736335,0.8674358,1.2920579,1.0798495,1.1106843,0.73160714,0.6676823,0.83431387,1.0211531,1.0205157,1.0170258,1.2992218,1.1617951,1.1279492,0.80540395,1.1633984,0.68327546,1.0531653,0.955859,0.8491206,1.2873945,1.0208869,0.82833946,1.002472,0.7754842,0.7857771,0.8546114,1.1159768,0.82168734,1.0121782,1.3392451,1.0710535,0.90672666,0.77072847,1.1197902,1.1658602,0.9841653,0.8226483,0.9137373,1.2114638,1.2218865,1.0618637,1.1654625,1.147778,0.99750304,1.254681,0.9222676,0.9336942,1.1177849,1.1265761,1.010233,1.0198139,0.97813797,0.0,0.91719186,1.290667,1.2340425,0.7362599,0.93875825,1.058797,0.98839223,0.9652676,1.1263173,1.1931674,1.0386026,0.7610539,1.073317,1.2897853,0.93174696,1.14149,0.90707165,1.2115142,0.9375434
slide,0.9458419,0.9237799,1.0519718,0.9221643,1.1220809,1.2867781,1.0733439,1.0219488,0.82520324,0.71406543,1.1064768,0.6137085,0.81774884,0.7516688,1.2575638,1.2445108,1.2473618,1.2019812,1.0851532,1.1751077,1.2792835,1.1748483,1.1923833,1.2003713,0.9513732,0.8321792,1.2109368,0.874047,1.0259202,0.83844954,0.8408965,0.55664915,1.1292038,1.3135338,0.86642694,1.2512722,0.986543,1.1512948,0.6924395,0.9885721,1.1445612,1.1022404,0.9837153,1.0750264,1.3099667,1.000304,1.2085874,1.0302489,1.204427,1.0281535,1.0933231,0.93439746,0.92676276,1.27422,0.7866004,1.0656621,0.6762125,0.6609589,0.9447216,0.93863857,1.2191031,0.6290054,1.0053333,1.2843914,1.1713175,0.9773621,1.1124084,1.10951,1.198057,0.7042093,0.8890329,0.9545063,1.2640413,1.2522063,1.0891479,1.0357143,1.2872113,0.99003035,1.2235543,1.0215404,1.1195636,1.0477886,1.1771344,0.94803107,0.7408617,0.9352741,0.91719186,0.0,1.2265506,1.1076057,0.99028224,1.1946392,1.0438758,0.71594495,0.7640766,1.206045,1.2445234,0.9662136,0.9955343,1.131022,1.2483842,1.0351317,0.86105883,1.040517,1.2589616,0.8167737
slipper,1.4248025,1.1031095,1.006815,1.2074697,0.95811754,0.52479637,1.0511582,1.1506088,1.4596227,1.4090458,0.4649396,1.4094236,1.3014266,1.3322644,0.5803614,0.9427542,0.27890265,0.40095836,1.2774692,0.97581655,0.6480737,0.52450067,0.637889,0.32921505,0.96794856,1.2325735,0.37576342,1.2861726,1.2183346,1.4047565,1.2469274,1.4331694,1.2028893,0.26470208,1.4275682,0.46854222,1.1525818,1.1549877,1.2451597,1.2985804,0.8971129,0.9779794,1.0988698,0.9700821,0.58140486,1.1366379,1.0988019,1.3054984,0.4985236,1.067757,1.2209426,1.1204624,1.2743939,0.24050319,1.1779494,1.1392097,1.3604908,1.392138,1.0767559,1.2764724,0.6993229,1.211048,0.9076734,0.25571668,0.56015813,1.2249808,1.0218608,0.807328,0.6130455,1.3978368,1.2695016,1.2199365,0.52450657,0.6061571,0.94814515,1.1747292,0.5320051,1.2349786,0.7373409,1.1418002,0.95594525,0.8160461,0.96419525,1.1219759,1.2682614,1.136272,1.290667,1.2265506,0.0,0.32763308,1.0448534,0.8350667,1.1312406,1.3369322,1.3904362,0.6484017,0.42738837,0.5225817,1.3654754,0.6609667,0.9557657,1.140844,1.2239642,1.1249968,0.28603888,1.1795589
soap,1.2872068,1.2323426,1.0726646,1.1259702,1.034388,0.6435008,0.98304695,1.071255,1.294585,1.1890929,0.5184376,1.2542958,1.1589624,1.1821358,0.6524438,0.9511181,0.4289689,0.62148386,1.1883682,1.0430529,0.7827104,0.59112775,0.79331577,0.41928685,0.88759625,1.2050276,0.51524216,1.1360887,1.28207,1.2164962,1.1719176,1.300288,1.0848973,0.43686163,1.2310201,0.6503594,1.0814974,1.1968642,1.122524,1.1877648,1.0263801,1.1119871,1.0338404,1.139281,0.6914366,1.0785707,1.0287008,1.1483786,0.76990265,1.1388701,1.1970086,1.1368619,1.2809491,0.5430994,1.0974668,1.1689701,1.21957,1.358154,0.95411617,1.2624799,0.8159364,1.1555501,0.93198216,0.516273,0.7236508,1.1859837,1.074746,0.7948036,0.7255512,1.2247645,1.1826444,1.1214867,0.7413155,0.7701824,1.0583647,1.1327096,0.6393266,1.1932846,0.8510514,1.1848161,1.1566256,0.841723,1.0974865,1.1449726,1.1254642,1.1971295,1.2340425,1.1076057,0.32763308,0.0,1.1737641,0.9774452,1.0704464,1.238654,1.197146,0.88133377,0.78114915,0.42709064,1.1645975,0.8516613,1.0513422,1.0646945,1.1150448,1.1853914,0.69591075,1.0273914
sock,1.0992068,0.380481,0.9644061,0.9641428,0.9414086,0.9713524,1.1293194,1.1856706,1.061374,1.0636332,0.8818337,0.90552264,0.9105474,0.89418554,1.0927986,1.0790589,1.1964662,0.86754996,1.0550385,0.91273236,1.1790841,0.93193,1.0814223,1.1923121,0.96026623,1.0986362,1.1320015,1.0916386,0.8693204,1.1563696,0.99602395,0.91752064,1.0748408,1.0310303,1.2314754,1.0975807,1.0035325,0.99095577,0.99644154,1.0046707,0.75937927,0.704297,1.1184216,0.7848629,0.99707794,1.2122215,1.0579512,1.0836661,0.9141896,0.6122189,1.0642581,0.8749474,0.8121565,1.0379525,0.96994966,1.010677,1.0001079,0.785609,0.9364068,1.0716623,1.1654879,0.89605165,1.1096991,1.0603396,0.8079511,0.9917984,0.8029262,1.0011036,1.0313205,1.1197122,0.86696213,1.1849217,0.91042054,1.1097724,0.928803,1.1813191,1.0284626,1.0292379,1.1390841,0.7331921,0.83599997,1.2709212,1.1062534,1.0206075,1.0498005,0.689186,0.7362599,0.99028224,1.0448534,1.1737641,0.0,0.8310116,1.1034995,1.043715,1.2543247,0.96651477,0.7483171,1.0916351,1.1001092,0.79972523,1.2368088,1.1057651,1.2406087,1.0129523,0.88012767,1.0577263
spoon,1.0238283,1.0320281,0.98073614,0.9786312,0.9116768,0.91186017,0.69706583,1.143039,1.1590588,1.2528636,0.8235172,1.1465014,1.0130808,1.150339,1.0065823,0.85040325,0.97508717,0.7309645,1.0290325,0.9251727,0.9815253,1.0479088,0.97851145,0.963001,0.9048041,1.2988064,1.0752747,1.2435535,0.9131364,1.1892672,1.0637472,1.181887,0.8419725,0.7017235,1.1938486,0.9040903,1.1568704,1.0982348,1.3124707,1.2951523,0.8941451,0.7168193,1.0278084,0.561463,0.72128075,1.25353,0.7921332,1.2805996,0.59941506,0.7080893,0.8072107,0.8793955,0.7206068,0.73655266,1.0950904,1.0164474,1.0982683,0.8791304,1.014695,1.2328868,1.1576264,1.1518724,1.2324739,0.80488074,0.9480855,0.9877602,0.9619916,1.0683221,1.1251026,1.067417,1.078942,0.9871299,0.61532354,0.7000088,1.009222,1.2719328,0.8583148,1.2522284,0.96452355,1.0643513,1.0823671,1.293405,1.0985055,0.92238694,1.0159329,0.8400929,0.93875825,1.1946392,0.8350667,0.9774452,0.8310116,0.0,1.247552,1.1510943,1.1486642,0.8085688,0.5094929,1.0208131,0.6282188,0.9254187,1.0163274,0.919495,1.2540691,1.0926559,0.62754524,1.3471465
