,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.3767402,1.3784813,1.2757057,0.7647598,1.2999961,1.3565975,1.0715525,1.1415877,0.73500204,0.7783256,0.41236997,1.4015943,0.6403056,0.7258057,0.9047716,0.4199329,0.75837576,1.0392717,1.4251151,1.3425286,0.8734357,1.1804222,0.9789539,1.1936226,1.0661659,1.4203405,1.1741585,1.2616968,0.48638988,0.87384695,1.3697594,0.8418332,0.7635722,1.2063831,1.0206038,1.1097914,0.44218767,0.92947656,1.4509616,0.6677819,1.432594,1.2010596,0.7932096,0.5155052,0.78641796,0.838321,1.2404138,0.8448678,0.90463585,1.0772363,1.3211348,0.8763894,1.3339587,0.8274865,1.2987332,0.82102144,1.1221542,1.1013353,0.9192263,1.455041,0.85575247,0.84771174,1.1436071,0.820912,1.2981759,0.99858385,0.84372854,1.2194765,0.8468753,1.1142334,0.9680028,1.292948,0.892535,0.909013,0.71751696,0.7698444,0.9499891,0.6839616,1.3832635,0.8035952,1.4324323,0.71191347,0.9730455,1.0247186,0.61252546,1.0216216,1.2970161,0.86268187,1.4070374,1.0610952,1.4252434,1.2474248,1.3417702,0.90541553,0.7012559,0.6494335,0.73682153,0.9432253,1.4530046,1.4394724,1.0993166,1.152662,0.7113225,0.90604204,0.78530955,1.1381227,1.3607057,1.2058657,1.3452195,1.3497629,1.10571,1.3537819,1.2929465,0.8771928,0.6993481,0.9442917,0.97330564,0.7908078,1.0140189,0.7402347,0.778758,0.97263306,1.059343,0.87765115,1.0464981,0.6774957,1.4700032,0.85082567,1.2168671,1.3396357,1.1609491,1.393682,0.8559035,1.2294494,1.3074067,0.9751908,0.6859159,0.6550536,1.3068486,1.2363104,1.3941821,0.99230605,0.9988014,0.99690205,0.77586186,0.84920347,1.1979042,0.87723243,1.5247574,0.6949131,1.2428032
ankle,1.3767402,0.0,0.60420203,0.9038947,0.9563334,0.9036688,0.7587547,0.7904732,0.99813217,1.3504446,1.2042959,1.3582746,0.66427916,1.2559562,1.1245178,1.0737003,1.3340858,1.3680038,1.1303899,0.8124954,0.97624165,1.2729855,0.7171345,0.8526163,0.9973405,1.0904402,0.6343825,1.0586691,0.45438528,1.2401031,1.0262668,0.99912745,1.1729062,1.0748196,0.90158886,1.145714,0.96268475,1.2720959,0.99966085,0.7317741,1.4136198,0.84167796,0.74972856,1.2160591,1.2524815,1.0047005,1.1467842,1.0120304,0.98877037,1.2331482,0.6457775,0.62227,1.1691467,0.78641677,1.1681037,0.4477092,1.3260063,0.8653097,1.106573,0.84501106,0.88700956,1.1570601,1.1892215,0.9183688,1.3635342,0.7155479,0.6971221,1.2954841,0.9975395,1.0930691,0.8209003,0.83469105,0.6987567,1.2462469,1.0512309,1.3100417,1.1739383,1.0397515,0.97800565,0.82639056,1.2054744,0.89878976,1.0932629,0.9996795,1.1367115,1.1039329,1.1761551,0.6929007,1.0719721,0.76346195,0.82963943,0.4266082,0.6693941,0.60908985,1.2483336,1.192709,1.1665347,0.97204936,1.1764319,0.76151526,0.7677384,0.9314131,0.59700507,1.1502407,0.9627271,1.3059933,0.93986094,0.95080245,0.79334193,0.5041108,0.53893787,0.97613776,0.9234785,0.6885266,1.2568554,1.2899886,0.9954522,1.0477023,1.00523,1.178219,1.1182766,1.1021761,0.67686635,0.96250063,1.2270898,1.231447,1.4000978,0.5826456,1.1967913,0.8812703,0.5666016,0.9233913,0.82335496,1.0591298,0.6887219,0.79583156,1.0456753,1.1617436,1.4396211,0.98068345,0.46310276,0.70931405,1.1520141,0.89431787,1.1215875,1.3265939,1.3250214,1.0055156,1.1416816,0.6240995,1.2914792,0.78725827
apple,1.3784813,0.60420203,0.0,0.7899337,1.3045902,0.37173796,0.37827045,0.5483863,1.1014518,1.5365914,1.1929451,1.4948168,0.6480921,1.5738703,1.3157988,1.0055825,1.4700764,1.392216,1.1130393,0.6072793,0.68252665,1.3971533,0.5104334,1.1575042,1.035541,0.8435011,0.7632563,1.0490615,0.46822524,1.2684817,1.3634157,0.7449376,1.3772535,1.3305178,0.9567189,1.2786394,1.0761986,1.4393032,0.97138387,0.4711355,1.6174562,0.6834078,0.855663,1.040024,1.2444127,1.1133205,1.4333277,1.0737245,1.2162726,1.1387464,0.7362141,0.15256584,1.2277567,0.5385099,1.035623,0.56143224,1.2741433,0.62447256,0.95403546,1.0797026,0.87003845,0.80010337,1.2178196,1.0858114,1.326155,0.5478851,0.98342526,1.2348977,0.7252014,1.0643561,0.6729014,1.0792017,0.4969967,1.2838221,0.9073411,1.3788309,1.3597102,0.8726287,1.3668704,0.9211846,1.387707,0.76821744,1.2298629,0.70425534,0.9848157,1.2284764,1.2013792,0.72995967,0.9615564,0.3230644,0.96779346,0.53805315,0.39498055,0.06561202,1.3640597,1.2529618,1.3649175,1.3050281,1.3466821,0.5974088,0.59527457,0.83833975,0.50561285,1.1271538,1.0766621,1.1506873,0.9171852,0.762725,0.7340267,0.40122998,0.2628851,1.144987,0.83602417,0.64942557,1.4757593,1.2320634,0.96010125,1.196038,1.2951115,1.1882515,1.314194,1.2358135,1.0747246,0.8685216,1.3130031,1.3013661,1.3856369,0.34398043,1.3701483,0.61443585,0.81311405,0.776551,0.77462685,1.1585999,0.8140294,0.46101314,1.2286972,1.2630405,1.5205972,0.6782499,0.525723,0.44358778,1.3088175,0.99169177,0.90362304,1.4134138,1.2214663,1.0444332,1.3946769,0.5256835,1.3544902,1.0961928
applesauce,1.2757057,0.9038947,0.7899337,0.0,1.4425385,0.69789314,0.7129104,0.98483646,0.74907154,1.3195345,1.1504785,1.333057,0.58346117,1.322566,1.4489485,0.80891526,1.287817,1.092034,0.9334038,0.47246325,0.5602921,1.2139604,0.79504853,1.1048827,0.8743132,0.6801752,0.56245774,0.87241024,1.0479609,1.1350796,1.0911996,0.7372307,1.2387123,1.3930585,0.8172764,1.1337394,0.8147022,1.369607,1.0289541,0.48502493,1.3738916,0.5700451,0.9092233,1.1706898,1.1250881,1.121195,1.1605725,0.948339,1.4343491,1.0327084,1.0160936,0.8235512,1.0970557,0.82317805,1.236938,0.9786918,1.2909758,0.49721956,0.7799399,1.1514479,0.6641125,0.7702831,1.0865941,0.9251647,1.2768717,0.96865684,1.1298298,0.9582936,0.8796478,1.2588838,0.94651717,1.2686886,0.7129889,1.181887,0.8238598,1.3057375,1.383878,1.1030301,1.4754269,0.6623479,1.1946926,0.5366143,1.2078768,0.94441813,0.8249598,1.4924655,1.1041951,0.61890376,1.1008002,0.5393406,0.6945009,0.8699248,0.80785096,0.8301754,1.2665725,1.1159506,1.4822803,1.4471333,1.1414526,0.46901333,0.5015259,0.8530896,0.99619156,1.2940656,0.81683624,1.0315714,0.6703425,0.69929326,0.80090684,0.9431653,0.69078386,0.9731069,0.7586053,0.89572823,1.2387131,1.0255986,0.8024696,0.8622415,1.3608946,1.2335069,1.4296365,1.2149262,1.3309294,0.91988754,1.1159656,0.97708225,1.2645236,0.56460595,0.9705466,0.7775594,0.81032926,0.6101573,0.6221614,1.0384622,0.96923107,0.7633028,1.2764213,1.4036402,1.36588,0.7238145,0.9253559,0.83028746,1.2495817,0.7002287,0.9450903,1.3007628,0.96417993,0.8014127,1.0935147,0.7002545,1.0637662,0.8986527
arm,0.7647598,0.9563334,1.3045902,1.4425385,0.0,1.3631899,1.4453803,1.2197415,1.303839,0.5273148,0.8746658,0.64860606,1.3941987,0.7075809,0.37022352,1.3934147,0.7356638,0.944557,1.1867278,1.459075,1.4919845,0.926136,1.2438824,0.9177824,1.3075963,1.3848281,1.4391673,1.2773206,0.893631,0.9183999,0.97309816,1.3501995,0.7379353,0.48402113,1.2666185,0.9610647,1.2372015,0.65172523,0.8063395,1.4592267,0.66336167,1.4735805,1.093967,1.0301511,1.000889,0.88598,0.6734978,1.0972027,0.37190253,1.1123292,0.9274871,1.1788183,0.8743156,1.2080506,0.7203242,0.80699325,0.7863115,1.4782028,1.2371004,0.8849791,1.3350873,1.4162319,0.92075264,1.1269902,0.6494516,1.0787041,0.95114344,0.9573111,1.3169675,0.6848989,1.2558043,0.33151227,1.4102445,0.95914155,1.1652869,0.745235,0.6880379,1.1140659,0.4127313,1.2278497,0.79492056,1.4846287,0.61323214,1.1245368,1.2321839,0.4876184,1.0544205,1.2704852,0.9275396,1.3031113,1.3704977,1.0595365,1.207942,1.2802567,0.74361366,0.803939,0.33493072,0.4615047,0.7808228,1.4254174,1.370527,1.371697,1.1121038,0.7079911,1.3231293,0.8907818,1.3539045,1.3944187,1.3531651,1.1312755,1.3209755,1.2509054,1.4077909,1.0987124,0.65961045,0.8782668,1.3318454,1.0038009,0.45726538,0.9340131,0.36654794,0.98944044,0.54589474,1.1451933,0.8052622,0.8841645,0.70223606,1.3500724,0.75327283,1.3444159,1.3207759,1.2937329,1.3267932,1.0770237,1.1226447,1.3680995,0.88178825,0.49731624,0.5785841,1.5077813,0.8448882,1.2209735,0.59161454,1.3929605,1.326396,0.8313169,0.9602223,1.2355224,0.9104312,1.3130698,0.84699446,1.1368725
ball,1.2999961,0.9036688,0.37173796,0.69789314,1.3631899,0.0,0.20948899,0.9281791,1.0251975,1.3793066,1.0618029,1.3423992,0.7838657,1.4589555,1.33536,0.945816,1.2493923,1.2138672,1.0418614,0.62233275,0.48878658,1.2596974,0.80883455,1.3446741,0.78225017,0.7694144,0.8411262,0.9991472,0.9367001,1.1803464,1.2729331,0.51269734,1.3954864,1.4085749,0.7240844,1.1167539,1.086828,1.3325546,0.991348,0.5907111,1.4591415,0.5789699,1.0574036,0.94606304,1.1498652,1.0669857,1.4036783,1.0170158,1.2688314,1.0168508,0.9441121,0.3187459,1.1527594,0.6272827,1.1436945,0.9009162,1.2926042,0.580081,0.7276404,1.1474808,0.89634037,0.80335677,1.130065,1.0377694,1.0972129,0.91422683,0.96714103,1.1177051,0.52592105,1.2128518,0.95277053,1.1977997,0.665939,1.1254164,0.9519012,1.2260195,1.2500409,0.93797207,1.4174619,0.9362678,1.3605311,0.6247188,1.2168605,0.60802925,0.89644647,1.1543967,1.0903986,0.88988465,0.9704047,0.5000634,0.9547342,0.93739384,0.53479207,0.4536667,1.3364984,1.0912888,1.3588357,1.4108467,1.1766387,0.67252487,0.69760305,0.8471241,0.95444125,1.1357231,0.9677081,1.0654563,0.94638485,0.6419281,0.83734536,0.8337652,0.6264856,1.1005837,0.7785851,0.67849284,1.4097235,1.0365005,0.9698107,1.0801591,1.2809715,1.0890393,1.3607657,1.1528896,1.2827463,0.56763923,1.2268846,1.089151,1.2419698,0.6470402,1.2106452,0.6396433,0.77796733,0.7996738,0.75381184,1.0685612,1.0242727,0.5552147,1.2089797,1.2839057,1.3167956,0.4366911,0.8743189,0.71110404,1.16306,0.8788283,0.6711337,1.2206302,1.1685568,0.91080016,1.39627,0.6480591,1.2836957,1.1223866
balloon,1.3565975,0.7587547,0.37827045,0.7129104,1.4453803,0.20948899,0.0,0.83330023,1.0518215,1.4249771,1.1877778,1.4618661,0.59952897,1.4115016,1.4359628,0.9137257,1.3898306,1.2583079,0.97955245,0.5774696,0.49929523,1.2214562,0.77309644,1.2045397,0.6910523,0.786497,0.6508081,0.9950214,0.86137784,1.2547594,1.1306674,0.64538115,1.4078999,1.4608225,0.64001787,1.1703795,0.98176855,1.3975214,1.077365,0.5162011,1.4830673,0.52403855,0.9945993,0.9893986,1.2090867,1.0919876,1.3458183,0.95134604,1.3707014,1.1146113,0.8871825,0.42293,1.2412786,0.69069695,1.2664604,0.8289925,1.3191967,0.5757784,0.77546597,1.1611762,0.83878356,0.7556187,1.1464505,0.9556836,1.2277251,0.86812925,0.9260708,1.1559553,0.61636484,1.28549,0.83739245,1.2048426,0.6438577,1.1548803,0.9685208,1.1976109,1.3229074,0.9067675,1.4450845,0.845786,1.2678659,0.5671324,1.2764356,0.5546434,0.9676068,1.2267668,1.072697,0.7064514,1.060878,0.5414797,0.87628007,0.76393104,0.535691,0.47447777,1.3183473,1.2570747,1.4653206,1.4297678,1.2352335,0.60794044,0.6390617,0.8043059,0.79394066,1.1042105,0.95623857,1.1622413,0.8487496,0.6328333,0.7592045,0.7759452,0.6097746,0.9802006,0.75396585,0.709822,1.369775,1.1445291,0.90082353,1.1091825,1.3730719,1.010101,1.4286716,1.1854426,1.2433751,0.73263633,1.270097,1.0736262,1.274237,0.5992082,1.3274472,0.64166135,0.5552006,0.6594385,0.7612792,1.0247877,0.9394067,0.39380288,1.1805212,1.4331573,1.3903363,0.44120747,0.85352135,0.6989002,1.2336372,0.8471811,0.57823986,1.2338022,1.1813849,0.85420984,1.250689,0.63371754,1.28993,0.90095544
banana,1.0715525,0.7904732,0.5483863,0.98483646,1.2197415,0.9281791,0.83330023,0.0,1.0701919,1.3926845,1.1703668,1.3841699,0.78889006,1.3996676,1.225255,0.94103605,1.2678723,1.3032804,1.0107104,0.87769294,0.9077364,1.2538451,0.58524215,0.9538272,1.1339936,0.86343473,0.8985888,1.1068063,0.6064831,1.2619703,1.3108935,0.93230116,1.222949,1.1949209,1.0695803,0.97207975,0.6976845,1.3568043,0.8710927,0.6631885,1.4265789,0.93897265,0.8443591,0.93930745,1.2047752,1.1775599,1.3297644,1.1046662,1.2093534,1.1495788,0.8576869,0.7298847,1.1470535,0.81103647,1.168026,0.73195016,1.1679077,0.70026344,1.0127436,0.7994387,0.7635516,0.58328986,1.1623757,0.9276163,1.2751142,0.82873344,0.7192476,1.2813563,0.8092912,1.1815429,0.40375727,0.99294776,0.8174466,1.3050774,1.0229653,1.2576532,1.2388678,0.81754816,1.163206,0.7734071,1.0696657,0.94091666,1.1334784,0.60741514,0.92288727,0.96514535,1.0742139,0.91947144,0.9772451,0.83175504,0.6684371,0.77242774,0.80152225,0.60837215,1.2388239,1.1264377,1.22045,1.1583874,1.1224973,0.7335516,0.7239344,0.88143164,0.15209973,1.1453216,0.807361,1.0375801,0.901877,0.7506181,0.7940318,0.74374425,0.57228804,1.0833881,0.9285078,0.9683592,1.3287351,1.220798,0.9675769,0.9901431,1.1420658,0.8603122,1.2725604,0.89407957,1.0751184,1.0292311,1.2747717,1.2212768,1.443192,0.65931225,1.2863855,0.71775657,0.86164445,0.7578244,0.7131181,1.0519344,0.70006377,0.76635164,1.0962936,1.2776711,1.4221469,0.8315175,0.7160413,0.59225905,1.0007259,0.7355577,1.0216218,1.1558355,1.2159598,1.1395931,1.17007,0.85425496,1.360966,0.9810703
basket,1.1415877,0.99813217,1.1014518,0.74907154,1.303839,1.0251975,1.0518215,1.0701919,0.0,1.1504426,1.1921399,1.0733857,0.96804684,0.9367563,1.1896497,0.86608726,0.92532533,1.203704,0.7012311,0.64516056,0.6659,0.61976224,0.8900628,0.9353925,0.5667964,0.855665,0.62264127,0.880323,1.0478671,1.1019042,0.72609323,0.7890682,0.9653509,1.2266155,0.8451365,0.90712863,0.76897454,1.081236,0.9703127,0.9260076,0.8689402,0.5538561,0.881131,1.1079675,1.0550829,0.91075885,1.0742165,0.8657428,1.2486551,0.9362081,1.1934842,1.0392809,1.2320881,1.0996317,1.3381344,1.1719496,1.156705,0.9652046,0.6732342,1.067592,0.7421261,1.0033672,1.0435368,0.9745554,1.1131827,1.2203285,0.92830527,1.161059,0.92866075,1.3017502,0.9566737,1.2844832,0.9347723,1.1259503,0.9518025,1.1239781,1.2203813,0.8181833,1.2863958,0.93065923,1.0607711,0.7690568,1.2424276,0.9734053,0.609495,1.2512,1.1035945,0.91760474,0.9816111,1.004513,0.53836846,1.1104839,1.0995266,1.0502212,1.0838552,0.9663294,1.2051644,1.2842741,0.9174626,0.92722297,0.91109717,0.87466896,1.1465366,1.2345257,0.48107797,0.95268697,0.70626956,0.8173661,0.8923141,1.0384254,0.91856086,0.4881363,0.5963973,0.9883893,1.1019676,1.0865815,0.8277403,0.81535393,1.1261593,1.1555892,1.2614622,1.0162151,1.1592326,0.8584164,1.1200333,1.0033752,1.2885271,1.0070287,1.093751,0.660218,0.8496362,1.0315626,0.8502571,1.0506703,0.996709,0.8218096,1.0899276,1.2217394,1.0877615,0.7099353,1.1812282,1.0938973,1.2158754,0.55361086,0.81190217,0.8749083,1.1824411,0.90652484,0.9101697,0.90433407,1.163501,0.83665144
bathtub,0.73500204,1.3504446,1.5365914,1.3195345,0.5273148,1.3793066,1.4249771,1.3926845,1.1504426,0.0,0.7607516,0.38522077,1.370905,0.39199865,0.5932055,1.3368433,0.57236785,0.5314816,1.125846,1.4424448,1.2605112,0.62730557,1.4561352,0.9991378,1.040376,1.3809521,1.2780358,1.037725,1.3990858,0.88748235,0.6924671,1.2657126,0.6662744,0.5846034,1.0990716,0.89399886,1.1436731,0.48958188,1.0480216,1.4849288,0.32059836,1.3344952,1.1952592,1.0328817,0.98672056,1.0812883,0.45619583,0.8278967,0.6549494,0.99113995,1.3278968,1.3972011,0.7033253,1.3419204,0.90044683,1.3338909,0.69288766,1.4650769,1.1795367,1.1223761,1.2628688,1.3883448,0.8180822,1.1861966,0.52946967,1.3282032,1.3552241,0.7448769,1.3645147,0.877908,1.3469503,0.9427837,1.5823267,0.7034508,1.3169501,0.5898034,0.57186747,1.127542,0.54600257,1.15107,0.6292551,1.3220162,0.7891245,1.171203,1.1624848,0.8367423,0.9891576,1.3005881,1.0812695,1.4194722,1.181667,1.3841805,1.423954,1.510497,0.48025334,0.7827438,0.48135024,0.5843884,0.6948095,1.4091574,1.4099455,1.3575702,1.3931355,0.7921332,1.1659359,0.7730273,1.311265,1.1447835,1.3993523,1.4058862,1.5885066,1.1341662,1.2398796,1.3064358,0.31806654,0.8079158,1.3385398,0.97971565,0.69102454,0.909726,0.6033412,1.024694,0.84657645,1.1031858,0.46945345,0.4442308,0.39998293,1.4973618,0.5098412,1.3372172,1.2768888,1.1907225,1.2888411,1.0402689,1.3151633,1.4457438,0.7389067,0.5742101,0.31731832,1.2812213,1.3764027,1.4407899,0.68223417,1.2125808,1.198349,0.641227,0.7901504,1.0252671,0.79776937,1.5685441,0.67265344,1.061147
