,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
comb,0.92106944,1.0944469,1.2595787,0.9143422,1.0514446,1.0253595,1.0831282,0.95468795,0.76050854,0.88305056,0.87219334,1.233212,0.94143915,0.8855023,1.2593112,0.8468075,0.8529344,1.1428394,1.2710252,1.2053691,0.9331974,1.1733875,1.0383313,1.1118234,1.2266996,0.99567395,0.87684804,1.1087099,1.1354983,1.0392317,0.9791414,1.0037743,0.9450029,0.0,1.096217,0.73373073,0.94379365,0.9328571,1.1218979,0.93635166,1.2376359,1.0915054,1.156528,1.2492892,0.99172634,0.99265695,1.0135586,1.2395017,0.9346462,1.2086895,0.79234326,1.0472528,0.920902,1.0530403,0.92001194,1.2201107,1.1097444,0.9702615,0.9489783,1.1580899,0.7329055,1.1061203,0.9643586,0.8893982,0.94235367,0.91970843,1.1182665,0.8810459,1.3321286,1.2539427,0.69753784,0.9708959,0.99009275,0.85459447,0.767501,1.0278087,1.2016561,0.88777554,0.81195366,0.80950105,1.0958958,0.9495674,1.2020005,1.0382059,1.1762764,1.0076133,1.2488353,0.88216674,1.0421648,0.8837848,0.9641585,0.8039423,1.0605065,1.056164,1.1856215,1.1795112,1.0666318,1.1289886,1.1319016,1.2490358,1.2577766,1.1967094,1.1500183,0.9507375,0.67176294,1.3271925,0.89614403,0.7218782,0.91559243,1.0117816,0.85674053,1.1076758,0.8872129,0.91678524,0.79666865,1.2261223,0.8399798,1.1885542,0.9392259,0.7958005,1.0689871,0.7936294,0.9697112,1.0748605,1.0808035,0.9441166,0.890133,1.2228341,1.1363324,0.80475354,0.6150806,0.9054168,1.2321063,0.9696563,1.0152524,0.94438237,1.1285455,1.2153679,1.0362563
cookie,1.0589283,1.0804446,0.9264941,1.1389196,0.82432604,0.86886126,0.94928664,1.0814718,1.0006721,0.9489074,1.0078381,1.0985613,1.208777,1.0667603,1.0403161,1.0809528,1.0390662,1.0338964,1.0691886,1.0703803,0.91975635,0.9024032,1.0655087,0.8784565,1.1593482,1.0539365,1.0645214,1.0672686,1.256678,0.8257364,1.0076689,0.99730366,1.1020039,1.096217,0.0,1.1248441,1.0614626,0.88555187,1.0741119,1.0080777,1.095721,1.0793412,1.0797387,1.0045093,1.0706491,1.09572,1.0044364,1.0016576,0.9301514,0.9417691,1.0193194,0.9311584,0.92367774,1.0545303,0.9608017,1.046041,0.994122,1.0836729,1.0828629,0.83705807,0.9528592,1.0017523,1.126343,1.0123953,0.93400013,0.97097695,0.9345051,1.0815209,0.9752828,1.0601687,0.93417364,0.9858222,1.0222945,1.0487301,1.0238043,1.0210762,1.0287089,1.0474079,1.0099485,1.0304177,0.97355086,0.88527304,0.9899689,1.1576307,1.0748333,0.7873806,0.9292625,1.0628649,1.0169041,1.1357999,1.0568966,1.074825,1.0984911,1.0996753,0.886479,1.1714984,0.8910211,1.0276309,0.90116966,1.0632181,0.97694725,0.9725865,0.9439645,1.066659,0.8327954,1.0518185,1.036492,1.0090463,1.0546404,1.0719652,1.072093,1.1576502,1.0490165,1.0944209,0.90975827,1.0128583,0.9599434,1.0033791,1.1558744,0.96260107,1.022685,0.94129056,0.95247316,1.0894892,1.0051498,1.0337243,0.9099741,0.9618149,1.0439056,0.91629916,1.1505868,1.2125926,0.91088915,1.0385909,0.9458056,1.0023898,1.0587817,1.0521426,0.9987406
corn,0.7441649,1.1295455,1.1935885,1.0240756,1.1442777,1.0928613,1.1271042,0.68121165,0.76379275,1.0585498,0.71739626,1.2619938,0.71672976,0.8612628,1.1064956,0.72014123,0.95077187,1.146635,1.2400669,1.1804926,0.8445006,1.0361235,1.0188072,1.0258371,1.1708441,1.1258577,1.0994716,0.86170244,0.8651571,1.243862,0.8172306,1.0575534,0.75350845,0.73373073,1.1248441,0.0,0.7478409,1.006002,1.2420691,0.7499589,1.2185134,1.116338,0.9046114,1.1022931,0.7654259,0.93992686,1.0470327,1.0159785,1.0637887,1.2612593,0.99466765,1.1566948,1.1126361,1.2248027,0.8904343,1.2629894,0.9919743,1.0315254,1.1762763,1.1228204,0.88924783,1.2091278,1.2221384,1.0302511,1.0965633,1.02189,1.08565,1.0618052,1.3302602,1.1828358,0.6855396,0.95084655,0.65200967,0.934393,1.1585138,0.8196956,1.2177429,0.7852977,0.9350961,0.8025321,1.1846541,0.945951,1.2531465,1.098397,1.2238522,1.1003238,1.2622516,0.9093567,0.94055045,0.87152976,0.96253246,0.9681041,1.2399998,1.2046957,1.1121372,1.0684624,1.0151601,0.9972223,1.1211008,1.193671,1.1473585,0.90165615,1.1380022,0.9640416,0.5660827,1.1524041,0.9900884,0.96314025,0.9976887,1.1078112,0.9304872,1.1805588,0.85084593,1.1020327,0.9251348,1.2392035,0.8578956,1.129779,1.0179741,0.7069485,1.2459188,0.76967967,1.1348226,1.0591205,1.0154048,0.88461566,0.7553039,1.207948,1.2477959,1.0512573,0.9599771,0.85441923,1.1455328,0.91612804,0.936762,1.1384811,1.1172303,1.2771912,0.96256465
couch,0.45826322,1.1801168,1.4150865,0.7077943,1.063793,0.9645957,1.3210415,0.954839,0.52882415,0.8924931,0.07632518,1.3695681,0.5915921,0.63040143,1.3452623,0.3035369,1.1080738,1.3252523,1.4411458,1.4518864,0.8209617,1.4577599,1.2365738,1.1212976,1.3442216,0.98467845,1.1629887,0.70591366,0.71712804,1.358942,0.6244054,0.8527057,0.7251041,0.94379365,1.0614626,0.7478409,0.0,1.2697046,1.491891,0.54944444,1.438168,1.011586,0.7598693,1.0928622,0.6769137,0.97446424,0.6438391,1.0894613,1.2452364,1.4154879,0.7979396,1.1871805,0.8564002,1.377096,0.81052697,1.4677477,1.0288568,1.0038673,1.5034506,1.3012302,0.72284985,1.2796621,1.204223,0.83367693,1.3886139,0.8294904,1.2278506,1.0417306,1.4832644,1.2123904,0.8167884,0.52563924,0.73983294,0.48897433,1.2805748,0.82296306,1.4536946,1.0738084,0.9432999,0.7913798,1.163451,1.02986,1.3636587,1.3676755,1.4237359,1.2171619,1.4058359,0.7489152,0.9387553,0.51058376,0.59634215,0.9594541,1.4862466,1.444171,1.3435087,1.0247529,1.0444388,1.0118874,1.2452192,1.2469916,1.3456582,1.1469374,1.3304007,0.72293925,0.81961775,1.2385414,0.8035953,1.0731623,0.57326823,1.212964,0.6693539,1.320081,0.56326944,1.1437547,0.5785183,1.4597205,0.6473019,1.2562649,1.1229519,0.85583055,1.4618335,1.1287814,1.296174,1.0830255,0.88794786,0.5341302,0.41303307,1.450803,1.4125333,1.2185222,1.1124525,1.0364056,1.28087,0.96880925,0.7918902,0.98097515,1.2409805,1.4713595,0.6801539
cracker,1.012618,1.0008621,0.8172699,0.949134,1.1916797,1.2236544,0.6320604,1.1421272,1.2179996,1.0021554,1.3416471,1.0479525,1.096029,0.9181224,1.0162079,1.2427326,0.9818238,1.0726717,1.0806924,1.1368775,1.2171904,0.65230215,1.190574,0.9779185,1.1000497,1.1665071,0.63854134,1.0235842,1.1060662,0.9989737,1.168572,1.063511,1.074426,0.9328571,0.88555187,1.006002,1.2697046,0.0,0.994334,1.2571597,1.2060618,0.80460566,1.0139873,0.9820757,1.0480887,1.0559822,1.1174818,1.003724,0.7176691,0.83718026,1.1787851,0.8600988,0.9803574,0.80301124,1.1434767,0.8694267,1.143049,0.96450806,0.67085075,0.7842292,1.1316159,0.8316884,0.74238646,1.0155289,0.8713895,0.947011,0.8563015,0.745912,1.0074674,1.0950763,1.1399575,1.185102,0.8900657,1.0922936,0.72793734,0.999158,1.0981188,0.820937,0.8966385,0.84696376,0.9916228,0.83747137,0.99740684,0.90953636,0.76285017,0.93862295,0.95400965,1.2284844,0.9156212,1.0169233,1.0457971,1.1500115,1.0098828,1.0051097,0.8181889,1.0738945,0.7104125,1.1239585,0.8204911,0.7580957,1.0006952,1.0574926,1.0103132,1.1941799,1.0037098,0.9199231,0.8440406,1.1273415,1.0758903,1.0494168,1.1014326,0.82601583,1.1940451,1.0391089,1.3565997,0.9591491,1.1238776,1.0530616,0.89913917,0.93607163,0.68013865,0.91251284,0.91605806,0.9251249,1.2402234,1.144987,1.1991986,1.0778438,0.8008697,0.7048434,0.89549613,0.9817108,1.1455806,1.1829388,1.2457248,1.0708864,1.1180489,0.94296366,1.1653477
crayon,1.5670433,0.89690274,0.39621204,1.3427033,0.94573367,1.0631192,0.7013738,1.0611472,1.4520853,1.2198467,1.5584011,0.37030053,1.347136,1.5085342,0.6895111,1.4099038,0.8787068,0.49043667,0.1803028,0.36582118,1.32237,0.6163062,0.7840516,0.9370403,0.4700669,1.036822,0.7295673,1.3315542,1.1336566,0.5490298,1.3243561,1.179419,1.3996022,1.1218979,1.0741119,1.2420691,1.491891,0.994334,0.0,1.5697553,0.3853042,1.1445556,1.3335083,1.0337561,1.3262168,0.9548198,1.427579,1.0587007,0.90014935,0.5586707,1.133952,0.7293422,1.2714324,0.6098648,1.2883866,0.42871326,1.0809358,0.9416173,0.50740224,0.740963,1.5430372,0.6242892,0.9749479,1.1683024,0.5974338,1.3388777,0.80808806,1.1915929,0.44757593,0.78436637,1.2706568,1.4474714,1.4510951,1.501772,0.6945984,1.2704871,0.39336973,1.0700576,1.1742504,1.4730941,0.9824037,1.273965,0.29895747,0.6005319,0.38674498,0.9281832,0.4364949,1.3624647,1.3052375,1.5267063,1.4367881,1.0922838,0.05480206,0.06649977,0.3926927,0.6992496,1.1379553,1.0932419,0.79647994,0.8163305,0.34015483,1.0657842,0.5386108,1.3478377,1.3149545,0.99756604,1.2614946,0.82482964,1.5243573,0.75609845,1.4518514,0.6593217,1.3760066,0.8022386,1.4163406,0.12064707,1.3817942,0.5447581,0.96114796,1.3601805,0.49658072,0.8282927,0.61296535,0.8413012,1.1368824,1.5172789,1.5943375,0.41212916,0.51045567,0.8360221,0.8913935,0.7949116,0.6854133,1.170762,1.2452526,1.1065136,0.6421566,0.23787928,1.2915344
crib,0.6850172,1.2645731,1.5508819,0.8364719,1.1659985,1.0428567,1.3251116,0.7379248,0.57076716,1.0355911,0.451499,1.4531834,0.40070838,0.6439066,1.3201649,0.73455787,0.9229076,1.0374017,1.473249,1.333037,0.32939565,1.4473932,0.9182769,1.1473246,1.2312379,0.5921224,1.3087015,0.89032114,0.6498372,1.4864962,0.5219891,0.8286717,0.5395591,0.93635166,1.0080777,0.7499589,0.54944444,1.2571597,1.5697553,0.0,1.3052797,1.066392,0.88244855,0.91181815,0.65956485,0.7992057,0.8161029,1.0541675,1.3268025,1.5754387,0.96605444,1.3893297,0.91915286,1.482091,0.6041205,1.497423,0.83130896,1.0867317,1.405752,1.2524443,0.55972373,1.4236903,1.3114305,0.88436353,1.1338702,0.9018008,1.1590725,1.036532,1.5210897,1.2042919,0.6204067,0.676597,0.71164733,0.7257292,1.2447008,0.6473318,1.4749224,1.0147929,0.9000905,0.8659277,0.9102737,1.0273906,1.5811346,1.3477834,1.5495515,1.1736344,1.5244555,0.6181983,1.0498636,0.63781786,0.8163712,0.76044273,1.5611811,1.5070891,1.4074224,1.2337161,0.95401174,0.83700854,1.0950235,1.3273323,1.4501445,0.6953311,1.2002167,0.6543276,0.8624783,1.1690807,0.9538102,0.86359954,0.7397454,1.2173195,0.78011215,1.2110857,0.73960495,1.1259177,0.53331596,1.6085446,0.73664916,1.2596709,1.2517416,0.8076931,1.4522109,1.2778585,1.2319044,1.1687716,0.53356564,0.6685876,0.31055272,1.3670297,1.6046287,1.142415,0.8926734,1.1375613,0.9229878,0.51674736,0.7225359,0.62525773,1.1378121,1.6116686,0.7111744
cup,1.5739377,0.7267816,0.6825359,1.3666778,0.97579956,1.0208454,0.95934296,0.7238646,1.3923078,1.2877901,1.4915295,0.4903046,1.1648531,1.4682436,0.61357903,1.3597646,1.0250154,0.48280287,0.18493092,0.24003911,1.02949,0.62108195,0.46507543,0.899391,0.28555107,1.0549766,1.1167521,1.2371866,0.89315635,0.5580312,1.1220671,1.1219639,1.1930933,1.2376359,1.095721,1.2185134,1.438168,1.2060618,0.3853042,1.3052797,0.0,1.1735642,1.2132744,0.94234204,1.1618798,0.91271365,1.4041318,0.8616019,1.071972,0.6735064,1.2329152,0.94636124,1.2785275,0.7918005,1.2080486,0.6159182,0.92996705,0.9555829,0.639465,0.90658724,1.35173,0.8807927,0.9995916,1.2754462,0.7243402,1.354385,0.7123827,1.2859371,0.48196316,0.6189586,1.30814,1.4082783,1.2867126,1.5595098,0.9786953,0.9898157,0.33625716,1.137332,1.326144,1.4401238,0.91059947,1.2547735,0.5171716,0.51496404,0.6617922,0.86727285,0.57390374,1.1024585,1.2232203,1.5352739,1.4832072,0.93761605,0.43486786,0.468243,0.609128,0.60448176,1.0879073,0.944208,0.7404294,0.8354863,0.5008136,0.77773607,0.46251476,1.0415424,1.2408106,0.78695816,1.403584,1.0299686,1.5051911,0.7516241,1.4328835,0.760741,1.297861,0.79866076,1.3322046,0.39926732,1.359757,0.76972187,0.8617989,1.221922,0.7351026,0.92546475,0.84477276,1.0199835,1.0281409,1.4467739,1.4037071,0.3357563,0.6550879,1.1322557,1.0985988,0.7587236,0.6022641,0.73921174,1.1767493,1.1568971,0.5597895,0.42245448,1.189682
deer,0.9030706,1.0215265,1.0759438,0.90448785,0.993281,1.0000808,0.9398228,1.1295602,1.1044743,1.0229541,1.0862026,1.0010302,0.96128744,0.86734736,1.0032036,0.9952484,1.0314435,1.1663811,1.1477067,1.2280083,1.1390781,0.99687165,1.1169758,1.1102948,1.0256816,1.0393823,0.8365398,0.78697467,0.88758004,1.1285741,0.98832387,1.1602184,0.931192,1.0915054,1.0793412,1.116338,1.011586,0.80460566,1.1445556,1.066392,1.1735642,0.0,0.7653965,0.8941406,0.9382504,1.0078793,0.91588014,0.95579994,0.75074875,1.0070305,1.0893106,0.9642318,0.9606958,0.9622376,1.1935117,0.9354077,1.0561378,0.9581719,0.9960021,0.9928679,1.1142191,0.86954147,0.7758908,1.06538,1.1538764,0.8633659,1.0794921,0.908743,0.7825501,0.9258676,1.1713659,1.1097211,0.9754185,0.90919924,0.99175733,0.9363855,1.0081706,0.9738846,1.0044239,0.84243625,0.9864098,0.9804681,1.1151338,0.9421745,0.8286083,0.8846179,1.1466874,1.0247382,0.86747265,0.9129524,0.85054827,1.1795175,1.1366904,1.142097,1.1521738,1.0062593,0.9880772,1.0151157,1.13733,0.6371548,1.1360648,0.88303584,0.9999358,1.0337055,1.1024953,0.7327266,0.85645187,1.0314668,0.9736994,0.7947978,0.9372676,0.83197486,1.0841779,1.1324595,1.2053583,1.101305,1.2021481,1.0598568,0.9289431,0.9928588,0.92484605,1.1569791,0.9816465,0.9209873,0.9903168,1.0439109,1.1596603,1.1616993,0.9559582,0.86018103,0.9899287,0.93717736,1.1550299,1.0793495,1.1776557,1.081812,0.8982847,1.0247749,1.0389497
dog,0.6089243,1.1008922,1.2451476,0.9809765,1.0492755,1.0211208,1.1994672,1.0496678,1.0010748,0.83509827,0.7969095,1.1192663,0.9105334,0.9431275,0.66524994,0.81111217,1.1412675,1.2037172,1.214809,1.2529266,1.0602452,1.0294781,1.1637555,0.8301941,1.1514465,1.0816323,1.1875116,0.10509837,0.97296095,1.2135947,0.97496027,1.034901,0.8155041,1.156528,1.0797387,0.9046114,0.7598693,1.0139873,1.3335083,0.88244855,1.2132744,0.7653965,0.0,0.8677453,0.9832374,1.1472939,0.8685775,0.69894075,0.8633074,1.233795,1.0050744,1.1549288,0.9263753,1.2430379,0.99820775,0.9912255,0.98518497,0.8741684,1.2327709,0.95083874,0.99553543,1.1723238,0.9871934,0.92700005,1.2887381,0.89338166,1.1165297,1.0963377,1.1074439,0.7622411,1.0121663,0.94534326,0.6975274,0.8795683,1.2639,0.93239045,1.1620591,1.0674013,1.0426342,0.8348684,1.0325382,0.91733736,1.2669263,1.1115159,1.2661011,0.8393253,1.2640985,0.98473346,0.5370086,0.9019873,0.87822,1.1440482,1.3107994,1.31725,1.0468338,0.9536433,0.9242244,0.9646704,1.1623659,0.70200515,1.1249683,0.9496166,1.1020312,0.9808602,0.92510486,0.5466144,1.0106554,1.177656,0.91974807,0.97429204,0.9445154,1.1202799,0.976952,1.1813593,1.0227162,1.23502,0.91973454,1.2414883,1.0326445,0.8862493,1.2618041,1.1298159,1.2631701,1.146169,0.95877343,0.8681432,0.921972,1.2858295,1.2012544,1.2027572,1.2204198,0.9803875,1.1226587,1.0822961,0.9508192,1.0359325,1.0947322,1.2077556,0.97282624
doll,0.9098156,0.9011766,0.9839311,1.0788995,0.98029405,1.0254724,0.88910514,0.9451466,1.3513858,1.1418214,1.1299973,1.0561539,1.0883381,0.9603905,0.8822489,1.0393194,0.9687988,0.79425335,0.9504831,1.0663714,0.9165128,0.80336475,0.8986742,0.82309103,1.0273753,0.9367285,1.0386629,0.981565,1.0150479,0.9805315,1.0626894,1.0085937,1.1177655,1.2492892,1.0045093,1.1022931,1.0928622,0.9820757,1.0337561,0.91181815,0.94234204,0.8941406,0.8677453,0.0,1.1930542,1.1446364,1.0625522,0.8599124,1.0376397,0.82421756,1.1647089,1.1019455,0.8355712,0.90564966,1.0432767,0.91091627,0.92228544,0.9761542,1.0434062,0.55529654,1.1129109,0.9565824,0.7962251,1.2191261,0.79939187,0.9226148,0.9036106,0.95065224,0.77066374,0.73170894,1.0673918,1.0598763,1.1259027,1.148262,1.2579126,1.0490614,0.99630934,1.1440431,1.1010991,0.8429449,0.6939162,0.74782944,1.0491606,0.9313797,0.9903872,0.8827959,0.9367545,1.2619295,0.9246955,1.0296425,1.1620746,1.1211231,1.0922773,1.0867499,1.0530161,0.8334353,0.9798074,0.94454265,0.9801375,0.8320516,0.9937052,0.76494044,0.8781649,1.2623425,1.1616108,0.59954864,1.0927014,0.8985581,1.1301959,0.8177074,1.2099229,0.9235855,1.1277204,1.3859679,1.1251229,1.0360545,1.1976339,1.0516558,0.90513235,1.1779516,0.921851,1.2204313,0.8602903,1.0659974,0.73156744,1.0662374,1.1136904,0.8879922,0.8932966,0.9801444,1.0357833,0.92286915,0.4938246,0.91156626,1.0695117,0.9941358,0.9539811,0.9804586,1.171016
door,0.88179946,1.1432192,1.3184187,0.82792914,1.214086,1.0671979,1.2328681,1.0536938,0.46705633,1.1102151,0.73315763,1.1712252,0.52740276,0.9108875,1.1669319,1.0237021,1.1409935,1.1964276,1.202493,1.2702084,0.78004456,1.264332,1.1643977,1.1310194,0.9241427,1.0349166,1.1045234,0.8939534,0.6324156,1.1755044,0.3092959,0.91691196,0.7799055,0.99172634,1.0706491,0.7654259,0.6769137,1.0480887,1.3262168,0.65956485,1.1618798,0.9382504,0.9832374,1.1930542,0.0,0.65973544,0.85673267,1.1114953,1.1181759,1.3261,1.1314182,1.1219347,0.9670444,1.2696183,0.81588626,1.394899,0.9593848,1.0732244,1.1558571,1.3829584,0.8274745,1.1938198,1.2857679,0.9464663,1.3248183,0.8707053,1.1700389,1.0259626,1.3129547,1.1857328,0.9141832,0.889948,0.70433056,0.7320664,0.9763701,0.48693448,1.0854764,0.96654737,1.1737826,1.0657938,1.1114397,1.1787964,1.2990706,1.161367,1.1618799,1.1802696,1.3231595,0.5405135,1.1596029,0.8401021,0.68977004,0.9377868,1.2886333,1.2759929,1.2901609,1.2530005,1.0581553,0.9179755,1.1642598,1.0436987,1.2413434,0.95982844,1.0272207,0.32130826,1.086037,1.1161383,0.90968966,1.120254,0.7378038,1.2849848,0.8428332,1.0279077,0.54152733,0.84861207,0.89655155,1.3390071,0.7817339,1.0874919,1.1433485,0.9585399,1.2510431,1.0523617,1.1670012,1.0756125,0.97700334,0.7270017,0.68350905,1.368354,1.2899817,1.1702105,1.0009402,1.1390148,1.3217567,0.9004918,0.9262175,0.955884,0.8096286,1.3144684,0.53586626
drawer,1.2012533,1.099988,1.0933853,1.0340555,1.1969578,1.0988718,1.02282,0.77552974,0.7210718,1.197969,1.052924,0.68238914,0.47016525,1.124224,1.1730092,1.1163963,0.88373566,0.75586164,1.0541925,0.77739584,0.5835449,1.1078254,0.9258083,1.1625671,0.5083916,0.97587085,0.9473742,1.160749,0.47235042,1.0604264,0.6597996,1.1694455,0.9269996,0.99265695,1.09572,0.93992686,0.97446424,1.0559822,0.9548198,0.7992057,0.91271365,1.0078793,1.1472939,1.1446364,0.65973544,0.0,1.0730118,1.1459764,0.99365705,1.1443162,1.2110108,0.98604137,1.1974953,1.0129715,1.0790696,0.97748774,1.115723,1.1361206,0.8507793,1.2149098,1.153353,1.0062205,1.0712755,1.0009029,1.07216,1.1750867,1.0223206,1.0712682,0.989352,1.2483319,1.0505677,1.1667045,0.9773382,0.9808903,0.73307824,0.7419044,0.9051481,1.0540653,1.1007075,1.3096433,1.1028306,1.1404661,1.1462039,0.77516335,0.8185802,1.231143,1.0835464,0.57454646,1.2057776,1.1150868,0.9243394,0.7475359,0.8647517,0.89620185,1.1235307,0.9339099,1.0284373,1.0821481,0.93533236,0.87924945,1.0998919,0.72315717,0.7236818,0.6877053,1.1868231,1.1835513,0.92866886,1.0127374,1.1038352,0.95442444,0.90279454,0.8206084,1.0192609,0.49649858,1.1533637,0.98546547,1.1366671,0.63638586,1.0363914,1.1785747,0.8538191,1.0435249,0.95570207,0.68176186,1.0058106,1.0960906,0.92029995,0.9068563,1.0480709,0.8850754,0.9829286,0.86992025,1.1229537,0.72041404,1.1397738,1.0052832,0.75427747,1.0778314,1.0544246
dress,0.6692128,1.0226954,1.2504697,0.5424961,0.97023267,0.91599786,1.2073499,1.2424716,0.7799398,0.90045285,0.6240759,1.3047235,0.90851456,0.5711141,1.3157139,0.80625105,1.1792963,1.3742414,1.3600905,1.4584064,0.9774743,1.4351542,1.2646447,1.1312861,1.3004471,1.0244132,0.9826634,0.8869313,0.9990709,1.3143308,0.9262898,0.8300457,0.90454364,1.0135586,1.0044364,1.0470327,0.6438391,1.1174818,1.427579,0.8161029,1.4041318,0.91588014,0.8685775,1.0625522,0.85673267,1.0730118,0.0,1.160428,1.1060154,1.1702735,0.9414208,1.0487515,0.68466115,1.1413901,0.8339112,1.452077,1.0877793,1.1932223,1.4482884,1.2856321,0.7176569,1.0273103,0.97841996,0.85382247,1.40158,0.5981313,1.2181859,0.78521806,1.2543114,1.180529,0.8985796,0.43304944,0.8020623,0.3648219,1.1826385,0.909734,1.4205425,1.0128671,1.0051069,0.8152422,1.0894582,1.0487553,1.2038126,1.344694,1.1580349,1.2683833,1.2229586,0.8406737,0.96016073,0.49485976,0.36804938,1.0314231,1.4007328,1.3926498,1.3179371,1.3674076,1.1603205,1.0585729,1.3520527,1.0280796,1.2621064,1.1478833,1.4316192,0.8531638,1.0069445,1.0975161,0.56782055,1.1487451,0.3002118,1.2117064,0.4407907,1.2038896,0.71476,1.218667,0.69824064,1.3581241,0.75266874,1.148039,1.0366805,0.9169466,1.3719957,1.118901,1.1518846,1.0135429,0.9859908,0.3873372,0.6701378,1.381326,1.1400586,1.1051077,1.1396621,1.2757978,1.3003561,1.1808085,0.88548094,0.9766209,1.2736213,1.2931985,0.88164383
duck,0.94106203,0.9443315,1.0139695,1.3021507,1.0606112,1.0880163,0.9687139,0.9072848,1.2198467,1.1315836,1.13451,0.9344671,0.95905817,1.2217724,0.44781935,1.0405184,1.0871568,0.90147877,0.95577097,0.884351,1.065329,0.7480408,1.0216761,0.64053845,0.9664084,1.1272795,1.177339,0.7226031,0.9713335,0.8839431,1.0997403,1.0216733,0.9612998,1.2395017,1.0016576,1.0159785,1.0894613,1.003724,1.0587007,1.0541675,0.8616019,0.95579994,0.69894075,0.8599124,1.1114953,1.1459764,1.160428,0.0,1.0629089,0.9846326,1.194447,1.1191142,1.1815267,1.1559782,1.13086,0.61657554,0.9258098,0.97491276,0.82090414,0.7496762,1.0968195,1.2346625,0.9086318,0.90902627,1.0085788,1.1677537,0.92352545,1.3322875,0.8990051,0.61805844,1.0881455,1.2279572,0.744774,1.2847124,1.0438032,0.82453024,0.7861657,0.9145534,1.0209426,1.0604714,0.8877176,1.0430735,1.0977638,0.817335,1.2183347,0.7310616,0.9757478,1.0819547,0.43118262,1.2365233,1.2373003,1.0558628,1.0717515,1.094459,0.93294567,0.69679844,0.7581984,0.93560547,0.8130237,0.8648381,0.9662689,0.82337713,0.9079189,1.0962784,0.909122,0.47274166,1.3006456,1.1492984,1.2595031,0.96368307,1.2578874,0.9364691,1.1281605,0.9359724,1.2054396,1.0014477,0.97986245,1.0052313,1.0142787,0.9895218,0.84595156,0.8598961,1.1537328,1.167372,1.0466719,1.1939666,1.102756,0.87791365,1.1091529,1.3200752,1.328193,0.906163,0.8664551,0.8125233,1.0769982,1.2128782,0.9331649,1.0203872,1.0109808
ear,1.0825254,0.95120716,0.80116343,1.082454,0.9045221,0.94412893,0.85285765,1.2002984,1.1840023,0.9384821,1.3285545,0.89333975,1.1579487,1.1199828,0.9792333,1.2193229,0.87968206,1.1001675,1.008579,1.0854589,1.2252572,0.9147382,1.1064316,1.0691086,0.96277976,1.1700922,0.67946064,0.88848305,1.0798799,1.0034969,1.198509,1.2331514,1.1013829,0.9346462,0.9301514,1.0637887,1.2452364,0.7176691,0.90014935,1.3268025,1.071972,0.75074875,0.8633074,1.0376397,1.1181759,0.99365705,1.1060154,1.0629089,0.0,0.7839166,1.0424601,0.6763704,1.0165952,0.61254233,1.2437102,0.8015492,1.1657274,0.9499863,0.9277195,0.96347135,1.1664877,0.673288,0.63428396,1.0811778,0.9143475,0.9717673,1.0615237,0.74654603,0.68455356,1.1022959,1.117904,1.2632875,1.0298954,1.056953,0.83809644,1.0731258,0.9704791,0.96144533,0.99320745,0.87493825,1.0914583,0.8415967,0.78287446,0.84182066,0.61851674,0.8534325,0.95269746,1.1640774,0.8904805,1.1610641,0.9786737,1.1230996,0.8794892,0.9424579,0.9306342,1.058222,1.1192739,1.1613684,1.1258388,0.78795075,0.983806,1.0912879,0.9673539,1.1883584,1.0454847,0.9059821,0.9471011,1.0639132,1.123378,0.72264874,1.0508916,0.8534955,1.1558846,0.99012244,1.2692498,0.8538685,1.2218475,0.9087671,0.8289618,1.1366856,0.8543812,0.9131308,0.86600256,0.693222,1.1824236,1.2014692,1.3308973,1.0182805,0.6036804,0.6155186,0.9033257,0.9253146,1.0952116,1.2732428,1.2575011,1.1224622,0.95151466,0.7887809,1.2607651
