,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
belt,1.4347024,0.49623287,1.3493891,0.99914545,0.78664553,0.90634906,1.0551538,1.234043,1.0422757,1.3242557,0.0,1.277518,1.2948077,1.0586628,1.3690677,1.043247,1.1153738,0.46004975,0.833726,1.1873552,0.8793483,1.0946189,0.782748,0.6978686,0.32371402,0.7870234,1.1972092,1.2775214,0.8571372,0.68428135,1.1636438,1.2438321,1.079477,0.96929306,1.255609,1.2529614,1.0360136,0.34401762,1.2384824,0.7051424,1.3446392,1.099537,1.2182585,1.1084204,0.96500885,0.772256,1.0073192,0.3730244,1.2257158,1.0154618,0.89789104,0.60148406,1.1201978,1.1606123,0.9169025,1.057909,1.3070467,0.81880593,1.2573185,0.92591226,1.0743599,1.2286835,0.36356676,0.81294566,1.2134184,1.1245973,1.2963023,0.8290218,1.1944526,0.92860144,1.2450503,0.822902,1.0937998,1.3098805,1.1671164,0.6002384,1.06457,0.69732773,0.74500394,0.53013086,0.8099626,1.1857584,1.2934668,1.062386,0.8285474,0.5573455,0.42785096,1.0858406,0.94117486,1.0707815,1.088546,0.97050834,0.95105726,0.975535,0.6441242,0.54663694,1.1427392,1.2425749,0.98942715,1.1228064,1.1882856,0.6133923,1.0591657,0.63936144,1.2094935,0.9507959,1.2725788,0.31695294,0.6201987,1.239005,1.1314582,0.95865476,1.2074568,0.7898532,1.2758163,1.1403332,1.3236691,0.79109156,0.801985,0.84315026,1.2923111,1.0383146,0.92425996,1.1429054,1.1325394,1.0315917,0.94807327,0.42009938,1.0436459
bench,0.5590211,1.582307,0.4072457,1.2618203,1.4737141,1.2990466,0.83833975,0.277923,0.8456816,0.19559354,1.277518,0.0,0.54725146,1.0304797,0.43963224,0.82371056,0.8261248,1.5308636,1.3085077,0.7697334,1.4911734,0.8289404,1.2592052,1.5745795,1.4482062,1.2136735,1.0192167,0.8581744,0.8014977,1.4040626,0.76973814,0.5692734,0.75190854,1.4856081,0.66466874,0.13590747,1.2313317,1.5768981,0.66072774,1.5186614,0.9412615,1.1566864,0.894328,0.48085922,0.82821286,1.2294276,1.1249654,1.491859,0.4517874,1.1255677,1.3101581,1.3374426,1.186584,1.0532306,1.1871967,1.2481767,0.6472616,1.3798256,0.8867307,1.3776127,0.91212726,0.9412951,1.5648702,1.5152538,0.55124915,0.6522524,0.41170597,1.2751138,0.73435485,1.1428568,0.7871091,1.1158059,1.0427984,0.8641611,0.8469372,1.4299275,1.1050843,1.4973079,1.1200014,1.5250316,1.2120253,0.9543211,0.41768086,0.58198273,1.0961087,1.4787292,1.4174268,1.1346879,0.8963957,1.2101498,1.2464252,1.013297,1.3934336,1.1458373,1.3974516,1.4575596,0.58022356,0.6152294,1.1087191,1.1534524,0.5808344,1.4073602,0.7121261,1.4172091,0.6551213,0.6561402,0.6046282,1.5436574,1.2106407,0.88425195,1.263129,1.4529333,0.8756702,1.492362,0.9223282,0.57761264,0.284284,1.4026552,1.3935007,1.2416304,0.935057,1.100773,1.3182553,0.9063354,0.88009596,0.96543384,0.9335232,1.4575839,0.6946951
bib,0.5836481,1.4305732,0.44960994,1.2587211,1.4281758,1.2747853,0.84391433,0.64180744,0.87874234,0.49530333,1.2948077,0.54725146,0.0,1.1235871,0.52433336,0.97592235,0.84848386,1.4761217,1.3492475,0.83471406,1.3576877,1.0827764,1.2943897,1.4919422,1.4732478,1.2580962,0.99748796,1.0186013,1.2417,1.2995443,0.8187909,0.93080646,0.74508023,1.2873343,0.7002219,0.53501004,1.0977328,1.499354,0.91832674,1.4571515,0.9016528,1.2507863,0.84627044,0.7746277,1.0541135,1.1655567,1.0939152,1.3961275,0.7288563,1.0183034,1.0241888,1.2089903,1.1506681,0.98219347,1.0050907,1.1438175,0.61318713,1.1403217,0.7463881,1.2963593,0.73631155,0.6673407,1.4086304,1.4401283,0.9016883,0.57440656,0.41620123,1.1248717,1.0660632,1.2336323,0.62964433,1.0630294,1.1555815,0.6617151,0.8006019,1.264428,1.0846963,1.1332861,1.0637673,1.4068435,1.3551356,0.90346175,0.2733804,0.49512875,1.1779597,1.4647616,1.4304041,1.0853548,1.0312907,1.1150994,1.2006553,1.0362661,1.3471303,1.1204818,1.4361699,1.3029535,0.88523525,0.71757734,0.9378675,1.04449,0.29613972,1.302237,0.5078374,1.2823784,0.8435353,0.85152316,0.8470503,1.4331942,1.2947176,0.7086669,1.1601529,1.3207155,0.8507429,1.2788851,1.0607847,0.49518752,0.6142369,1.3796582,1.0918335,1.0457871,0.7746424,1.0790008,1.3179891,1.0935084,0.9063611,0.93578535,1.2526498,1.328382,0.81532323
bird,0.87432885,1.178499,1.0644627,0.78670824,1.1445867,1.1500254,0.9964326,1.0113851,0.8473185,0.97569823,1.0586628,1.0304797,1.1235871,0.0,0.9467506,0.74509984,1.1082429,1.053512,1.0785496,1.1102315,1.0850543,0.87415665,1.0942966,0.75405097,1.002095,0.9108015,1.2098093,0.5666464,0.98144543,0.9773163,1.0057188,0.92834854,0.9966194,0.96881485,0.95530874,1.0147669,1.0990889,1.167175,0.8031798,1.0670891,1.1277245,0.5536286,1.0397648,0.98860836,1.0929464,1.0064346,0.9346998,1.1216509,0.9162828,0.98324126,1.3001245,0.81260765,0.7972072,1.0322908,1.1959337,0.90021014,1.1255279,1.1455886,1.0657597,1.1194462,1.1011189,1.2620999,1.0496126,0.5967737,0.82587034,1.0094872,1.0205942,1.2005855,0.95216286,0.9439075,1.2174579,0.96551466,0.97476846,1.147803,1.130513,1.2641108,0.9966589,1.1714431,0.9953808,1.1219001,1.0332652,0.6123233,1.1124644,1.1139886,1.1872386,1.1164804,1.1194714,1.0585476,0.96024334,1.0182365,0.7795528,1.2092782,0.59176236,0.9267633,0.8260821,1.1299976,1.012791,0.89429986,0.6630211,0.9320861,1.1729529,1.0354944,1.1326563,0.9585777,1.0102488,1.1455089,0.98777795,1.0628648,1.1356568,1.0728049,1.1537439,1.051114,1.1475835,1.2031624,0.7482341,1.1266234,1.0251526,1.0862948,1.2673211,1.1806173,1.240027,0.9630455,1.1248572,0.9973299,0.9006845,0.97303677,0.81354296,1.1106943,0.942865
blanket,0.448,1.5688581,0.39237928,1.1055868,1.4335077,1.2949573,0.5530169,0.5479237,0.680657,0.37633705,1.3690677,0.43963224,0.52433336,0.9467506,0.0,0.9517847,0.8276007,1.4979756,1.1666417,0.79471564,1.3413433,0.99793315,1.2045857,1.480042,1.4741379,1.2806325,1.0413842,0.81346744,1.0823319,1.360051,0.80472404,0.7575153,0.7243322,1.3681085,0.5099666,0.4360907,1.2477831,1.5144728,0.6575527,1.4290192,0.84222364,1.107284,0.87850475,0.8099474,0.9943927,1.2937756,1.0698494,1.4884248,0.5650556,1.0957153,1.2678052,1.1234115,0.98555064,0.97565967,1.1329254,1.1061345,0.72683996,1.327383,0.77974844,1.2624828,1.0244094,0.8886137,1.4979413,1.3706642,0.74294245,0.775764,0.5679412,1.1786141,0.8778115,1.1239774,0.8302915,1.1080809,1.0224612,0.7136204,0.89339143,1.4394095,0.8856137,1.4215126,1.2554413,1.5126679,1.2589931,0.71829814,0.49607086,0.8062217,1.0707403,1.4111305,1.3862556,1.0658128,0.73327714,1.0815227,1.0154985,1.0047398,1.2670599,1.0694814,1.3051913,1.46491,0.8561917,0.41843176,0.98486096,1.0662264,0.7542658,1.4215026,0.8563771,1.4116089,0.8150822,0.8821196,0.76926845,1.5636446,1.2932909,0.71761185,1.1810845,1.293926,0.90766406,1.4384222,0.78942215,0.80865777,0.6134655,1.286517,1.4008495,1.2966044,0.8288243,0.8114486,1.262808,0.84947544,0.9391157,0.99750566,1.1126518,1.4925742,0.88717514
boat,0.83910215,1.2104684,0.9965015,0.992855,1.1924753,1.1839365,1.0727522,0.7406746,0.8492045,0.7183628,1.043247,0.82371056,0.97592235,0.74509984,0.9517847,0.0,1.029004,1.1425877,1.1273255,1.0279458,1.2130996,1.0139085,1.1467412,1.044289,1.1936073,0.9036585,1.0612147,0.910338,1.1330278,1.0843902,1.1415536,0.89729106,0.88062394,1.203517,1.0187525,0.80660987,1.0987113,1.2093035,0.83095527,1.1901021,1.0152631,0.9751775,1.0302117,0.86618066,1.0576003,1.174044,1.0030458,1.1446694,0.77506745,0.903755,1.245146,1.0285068,1.191222,1.1364554,1.1804693,0.9338364,0.9033189,1.0964812,1.0499469,1.0769826,0.8731032,1.1161734,1.1261046,1.0397047,0.74559057,0.79822594,0.8485142,1.2735233,1.1012958,0.9666926,1.1223199,0.9463385,0.98546344,1.0597483,0.9615338,1.1653008,1.1144727,1.2313068,1.0832952,1.1558084,1.1547155,0.90463096,0.94342816,0.9669355,1.1615899,1.2100577,1.2183584,1.090477,1.2214618,1.0521038,1.1964254,1.0172552,1.0362278,1.1069486,1.0268492,1.1464645,0.96400404,0.88899994,1.0794392,0.82327855,0.8999928,1.1589181,1.0070714,1.1112349,0.9444223,0.96129715,0.83376825,1.14471,1.075128,1.151397,1.095026,1.2552327,0.88074553,1.1905558,0.98840874,0.845463,0.80803955,1.0230983,1.2348857,1.1084361,1.0831703,1.1379975,1.0152253,0.94659925,1.0158874,0.7893541,1.004438,1.1031793,0.88833314
book,0.7843887,1.2600452,0.8571295,1.044744,1.1812905,0.9227791,0.7174763,1.0246905,1.0960472,0.6499444,1.1153738,0.8261248,0.84848386,1.1082429,0.8276007,1.029004,0.0,1.1823386,1.0154542,0.3424521,1.1612829,1.1601845,0.9257816,1.1638503,1.1851718,1.0734836,0.89644253,1.05445,1.0990266,1.055984,0.7826042,0.8823479,0.86583304,1.1312809,0.76611936,0.64815474,0.77568173,1.0762151,0.8231889,1.0254028,0.8829739,1.0497777,0.78228086,1.0700865,0.7978109,1.1400506,0.9542209,1.263419,1.1117191,1.0115272,1.1554576,1.1271336,1.0761489,1.0778999,1.0970352,0.8264992,0.7370579,1.170705,0.8855893,0.75922173,1.0781242,0.9617985,1.2295786,1.107198,0.9940359,0.91645205,1.0192422,1.1047256,0.93068606,1.1393573,1.0046569,1.0307791,0.99750406,0.8349048,0.9073608,1.2676198,1.0081339,1.2914844,1.2113708,1.2290336,0.9782674,0.9841742,0.8570119,0.997057,0.54510754,1.0506343,1.0778601,0.89442945,1.0295701,0.90076596,1.1028577,0.84837276,1.0549748,0.8870305,1.1881604,1.2572676,0.99994,0.9533654,0.7830796,0.879722,0.9561279,1.1013869,1.0453353,1.2810676,1.0308187,1.0571046,0.9804324,1.2221242,1.0899146,1.0476665,1.2063158,1.1618183,1.010663,1.1577512,1.0751119,0.997695,0.8272157,0.9920999,1.2413316,1.1528687,1.001023,1.0512488,0.76317644,0.5918254,1.0429907,0.9325561,1.1188033,1.2272233,1.0617237
bottle,1.5682855,0.36141855,1.5021151,0.90227824,0.53303033,0.87221104,1.168706,1.4797955,1.1928618,1.5190098,0.46004975,1.5308636,1.4761217,1.053512,1.4979756,1.1425877,1.1823386,0.0,0.7007712,1.150145,0.74594957,1.082166,0.6652584,0.40575778,0.23889649,0.65412575,1.1573265,1.2072077,0.85858524,0.558455,1.1427026,1.2696843,1.2911413,0.81154144,1.3465338,1.4585637,0.9958052,0.2794255,1.3268253,0.2807241,1.3069525,0.86279005,1.1643648,1.2782297,1.1332114,0.7118485,1.14615,0.30058837,1.3299267,0.924418,0.9597709,0.7462928,0.9183711,1.1443286,1.0039266,0.9880768,1.4117088,0.7833942,1.398268,0.74673873,1.1632313,1.3479947,0.2871021,0.5024446,1.3382863,1.2899249,1.5513821,0.8226381,1.073159,0.7623904,1.331811,1.0830768,0.88356864,1.3964359,1.2855736,0.3895856,0.87631065,0.5988859,0.9989708,0.3754351,0.6065616,1.2598951,1.5354991,1.381233,0.82726014,0.47237343,0.4377463,1.1529864,0.9708558,1.0183518,0.8482317,1.0131701,0.67621535,0.7431128,0.4415453,0.46045196,1.1656948,1.3276904,1.1592673,1.0651124,1.4746356,0.6059571,1.336347,0.43403137,1.2310435,1.2140392,1.2714212,0.3218438,0.7852396,1.3244067,1.0322071,0.68933403,1.1085687,0.6110144,1.1146834,1.3649774,1.4527695,0.6134565,0.7854179,0.8499901,1.2414725,0.85757303,0.712939,0.986994,1.1328983,1.1305351,0.7938601,0.3143289,1.1593814
bowl,1.3133535,0.75446784,1.3138118,0.8511621,0.58162403,0.8385624,0.8612845,1.1906531,1.1129233,1.3056011,0.833726,1.3085077,1.3492475,1.0785496,1.1666417,1.1273255,1.0154542,0.7007712,0.0,0.8883944,0.6155553,1.0867832,0.35712516,0.76434284,0.6808485,0.9296432,1.1067438,1.0969155,0.83989155,0.7503525,1.1257493,0.96429867,1.3204194,0.7353747,1.1054393,1.2888077,0.92441344,0.7609853,1.0682945,0.3799194,0.67217743,0.9389551,1.1698762,1.2772294,0.85284793,0.9773258,1.0967753,0.6877379,1.3417519,1.0529549,1.1490015,1.0031865,0.94563574,1.0143509,0.9848603,1.0569239,1.1799681,1.0583624,1.2323779,0.71555436,1.3424323,1.2376357,0.8490362,0.78033435,1.3313583,1.294003,1.4929233,0.85476947,1.1019363,0.80888975,1.2401938,1.0785136,0.74353015,1.3047009,1.0352834,0.8766152,0.73439354,0.9739645,1.1254089,0.6442022,0.8501965,1.1550837,1.4425102,1.4275098,0.69038546,0.72837996,0.7023035,1.0670402,0.96003914,0.6886047,0.9231618,0.41299188,0.87291026,0.81867933,0.67053133,0.90319914,1.1334159,1.1297917,1.1938187,1.0367634,1.4395276,0.86275214,1.3647449,0.96260357,1.1078159,0.81124854,1.22107,0.7986785,0.87113965,1.230825,0.8120804,0.55892193,1.0250506,0.78177255,0.9927753,1.3670436,1.0702277,0.46405387,1.0738336,1.1157112,0.9522663,0.7765869,0.72091174,0.6849495,1.1095749,1.1455915,0.9888507,0.90268475,1.2242769
box,0.78136134,1.2827635,0.8941137,1.0608416,1.1306117,1.0081221,0.608042,0.9224943,1.1351448,0.7198677,1.1873552,0.7697334,0.83471406,1.1102315,0.79471564,1.0279458,0.3424521,1.150145,0.8883944,0.0,1.1720504,1.0336981,0.6731241,1.2620084,1.115725,1.1201022,0.9403266,0.9937823,1.0596879,1.0900458,0.77820325,0.7973764,0.9045011,1.1919203,0.7415378,0.7220125,0.8481926,1.2043512,0.76527184,0.90764815,0.8196807,1.0333936,0.81740177,0.9410476,0.70453864,1.1078479,1.134631,1.3159128,1.0631431,1.0277892,1.306231,1.3534315,1.0487019,1.1051779,1.1852114,0.9074206,0.81346285,1.2748604,0.9870141,0.75847465,1.0835583,1.0680498,1.3344223,1.1634748,0.95922506,1.0165431,0.9844649,1.256649,0.8548583,1.0424296,1.0572699,1.0694975,0.7235037,0.82044256,0.9050726,1.3257911,0.88121474,1.3445013,1.2618034,1.3098202,0.89861083,1.0710956,0.92500305,1.0599113,0.68685263,1.1878713,1.1730696,0.9813068,1.0297186,0.9664849,1.0757489,0.87792367,1.0811818,0.6552009,1.1404035,1.3112044,0.82995105,0.90044767,1.0218425,1.0107168,1.0074067,1.1356708,1.0903987,1.2928288,0.8900003,0.9949167,0.8766643,1.3162916,1.0918119,1.0588331,1.1616746,1.1913532,0.89863837,1.1365784,0.98162925,0.99712485,0.74170756,0.9186101,1.3222468,1.2976182,0.9617719,0.93178654,0.72544885,0.5475784,0.9799263,0.96567106,0.9151036,1.3640971,0.9983201
bread,1.3497703,0.5252682,1.3582993,0.88009584,0.49490356,0.6054742,1.1562641,1.4330153,1.1195458,1.5009154,0.8793483,1.4911734,1.3576877,1.0850543,1.3413433,1.2130996,1.1612829,0.74594957,0.6155553,1.1720504,0.0,1.1578484,0.7860321,0.6309124,0.76480496,0.9841399,0.99888754,1.1546665,0.9903738,0.80844665,1.185751,1.2130775,1.2302487,0.33534324,1.1417873,1.4951828,0.7301469,0.6971209,1.345052,0.6713173,0.7695959,0.9989514,1.066195,1.4264271,1.0717108,0.7559018,1.0049927,0.5506968,1.3475368,1.0379033,0.753129,0.8609175,0.9081868,0.932629,0.9226293,0.98899096,1.3427515,0.8283637,1.0456085,0.7198297,1.170322,1.0490074,0.6755895,0.7316653,1.3996396,1.3645054,1.4712176,0.77729523,1.1928897,1.004677,1.0661569,0.9475275,0.9017668,1.0686506,0.99526155,0.65460825,0.85557044,0.67986715,0.8978857,0.50774693,0.9558587,1.0778862,1.4882437,1.3861349,0.76738006,0.72151417,0.6316349,0.94142675,1.0116595,0.5678171,0.8676525,0.7862196,0.84175247,0.9945435,0.7736784,0.61514354,1.3169312,1.1978712,1.0943377,1.1176759,1.3490255,0.84505486,1.3079195,0.7922394,1.3355162,1.0807085,1.2847842,0.6697637,0.74249566,1.0850394,0.3995874,0.665547,1.1785403,0.6247111,1.1768085,1.3699639,1.3563671,0.7350622,0.63833094,0.92145693,1.0896552,0.8471454,0.8632435,1.0119102,1.0493186,1.1931624,1.172227,0.7624259,1.2596278
broom,1.0031877,1.1784701,0.9638718,1.0433972,1.173734,1.103227,1.1291474,0.79802954,1.1645613,0.88630843,1.0946189,0.8289404,1.0827764,0.87415665,0.99793315,1.0139085,1.1601845,1.082166,1.0867832,1.0336981,1.1578484,0.0,1.1072098,1.0182843,1.0629206,1.0571005,1.0846225,0.8647887,0.924745,0.9699332,0.73970854,0.8240391,1.1071969,1.1408459,1.020566,0.87905645,1.0439217,1.0873362,0.82515126,1.1233842,1.0829933,0.8967118,1.0256877,0.61526674,0.8540912,1.0615036,1.1863886,1.1637703,0.8155012,1.0550977,1.1643795,1.1913937,0.75307775,1.0760366,1.0415642,1.0312556,1.1024805,1.0966899,1.3013214,1.2588006,0.9740531,1.1405984,1.2075415,0.9893443,0.80031663,1.0869496,1.0019317,1.0958776,0.41802478,0.729705,1.0863264,1.15577,0.84043014,1.1127589,1.1555012,1.1570017,1.0565798,1.0881383,1.08627,1.1885488,0.94293106,1.053605,1.0585942,1.0300683,1.0413914,0.94290626,0.962764,1.1128734,0.9446884,1.0875226,0.74468315,1.2345135,0.98688555,1.0188335,1.0695467,1.0940076,0.7115153,1.0090736,1.1296477,0.95878816,1.0634649,1.2053457,1.048162,0.906513,0.70516527,1.0252032,0.7943187,1.192368,1.1001377,0.96055543,1.1335499,1.0230062,1.0246662,1.1242546,0.88896346,0.90480655,0.85113627,1.2115545,1.1252296,1.139899,1.0328001,1.0647736,1.2151275,1.1334829,0.9000913,1.0014409,0.39416265,1.1737024,0.8189244
bucket,1.3696144,0.82872486,1.3309166,0.9015175,0.6842164,0.8859253,0.77172005,1.2599497,1.1950489,1.3570242,0.782748,1.2592052,1.2943897,1.0942966,1.2045857,1.1467412,0.9257816,0.6652584,0.35712516,0.6731241,0.7860321,1.1072098,0.0,0.93060845,0.48822737,0.8920579,1.0664539,1.2043107,0.7467654,0.73386633,1.0632076,0.96232027,1.156784,0.8640452,1.1397896,1.307146,0.8589891,0.7636304,1.0750457,0.35555416,0.8589208,1.0507842,1.1580958,1.1607783,0.78888774,0.7517894,1.1173896,0.78547347,1.3689952,1.0739006,1.1659566,1.1424382,0.9656043,0.96117234,0.91844535,1.0657719,1.1345986,1.1039594,1.1231385,0.6072725,1.3006635,1.2160233,0.8541542,0.8729668,1.3497247,1.2468941,1.4144429,0.9198449,1.0052913,0.7994083,1.2247616,1.0735251,0.47597057,1.1865488,1.1113106,1.0174929,0.6914559,0.95010126,1.144,0.76097226,0.6642774,1.2237097,1.4048021,1.3269453,0.7245924,0.8078572,0.8066833,1.0496097,0.8839739,0.9854687,0.93504417,0.6466756,0.9546329,0.64084727,0.6803911,1.0422186,1.0396395,1.2622145,1.2306883,0.9835785,1.4115425,0.66332734,1.2778425,0.9760767,1.165156,0.8179562,1.0806134,0.7961679,0.8918271,1.0986974,0.83459806,0.67256474,0.9388749,0.830459,0.9952356,1.3651294,1.1096921,0.42357254,1.085354,1.183548,0.9564477,0.72251487,0.5449012,0.6232164,1.0600425,1.1022017,0.78392315,1.0396903,1.1513356
butterfly,1.3554685,0.53788394,1.5292761,0.78180623,0.6072935,0.92139155,1.2681146,1.46194,1.1085943,1.5058829,0.6978686,1.5745795,1.4919422,0.75405097,1.480042,1.044289,1.1638503,0.40575778,0.76434284,1.2620084,0.6309124,1.0182843,0.93060845,0.0,0.5475805,0.70421696,1.2533518,0.9430285,0.99567044,0.54777443,1.1659669,1.2478557,1.2723972,0.64696497,1.2635151,1.4660532,0.83498573,0.5326464,1.23829,0.53916144,1.1520072,0.6211404,1.0566764,1.3483927,1.052085,0.80763495,0.958648,0.51346153,1.361102,0.95333886,1.0002064,0.6407429,0.8283881,1.0838604,1.1077378,0.7628295,1.3856859,0.87470245,1.2838756,0.80714023,1.1668613,1.3609949,0.47185355,0.19257808,1.2833216,1.2985225,1.5427351,0.96899205,1.1395559,0.7681869,1.3432178,1.096998,1.0557992,1.3161323,1.2592813,0.67158043,0.89731157,0.69905007,0.90272784,0.572716,0.7264984,1.0460919,1.5532851,1.392143,0.83909786,0.58014995,0.57588184,1.0747677,0.9298276,0.85408556,0.76261294,1.0790644,0.3741418,0.80300987,0.44813383,0.54271346,1.2946535,1.2798082,0.8811925,1.0235435,1.4610872,0.7500736,1.3360829,0.5047587,1.265906,1.2899063,1.3370731,0.51847565,0.8285094,1.344639,0.93536127,0.7840898,1.1527666,0.63855696,0.9434937,1.3504493,1.4878983,0.73566407,0.85647345,0.8956223,1.3823438,0.8916092,0.8332037,1.1079327,1.1126405,1.0905282,0.92329955,0.53076494,1.1911396
can,1.6360528,0.44548225,1.4414831,0.90474564,0.62397915,0.8098985,0.9962049,1.436435,1.1765367,1.5716925,0.32371402,1.4482062,1.4732478,1.002095,1.4741379,1.1936073,1.1851718,0.23889649,0.6808485,1.115725,0.76480496,1.0629206,0.48822737,0.5475805,0.0,0.6153481,1.1961825,1.2424672,0.7015526,0.56032044,1.0572717,1.229003,1.1835017,0.82763684,1.3564669,1.4492575,0.9527473,0.3312381,1.329809,0.35642672,1.3859308,0.9233359,1.2571298,1.1239824,0.93816006,0.5850216,1.1565661,0.3905437,1.3913932,1.0281452,0.94646525,0.8379695,0.94642806,1.1237292,0.9462803,1.074702,1.441596,0.77063465,1.3591313,0.80880755,1.2271011,1.310992,0.30175412,0.57014763,1.3925118,1.2539091,1.493542,0.80559844,1.0029415,0.802366,1.3221102,1.0076581,0.85844123,1.4041045,1.3295312,0.60162127,0.83270144,0.53933513,0.93789935,0.45814824,0.43859744,1.2858845,1.4973936,1.2268314,0.8141598,0.46605724,0.44023192,1.1323938,0.8314277,1.0627625,0.8803467,1.0041511,0.781723,0.6322213,0.4009884,0.5839297,1.0556809,1.3806686,1.136698,1.1344976,1.4450454,0.40161252,1.1714779,0.42526388,1.2452636,1.030267,1.2760555,0.2396282,0.76536036,1.2881117,1.0516135,0.71639395,1.2949011,0.71254015,1.0586067,1.3749031,1.4736772,0.62990624,0.74433714,0.8881297,1.3368745,0.80025697,0.7737314,0.94450694,1.1216565,1.1058208,0.67230314,0.44899964,1.0812088
car,1.316702,0.81698626,1.3257254,0.89048195,0.89241546,0.86848235,0.9623696,1.2360636,1.0757961,1.2959083,0.7870234,1.2136735,1.2580962,0.9108015,1.2806325,0.9036585,1.0734836,0.65412575,0.9296432,1.1201022,0.9841399,1.0571005,0.8920579,0.70421696,0.6153481,0.0,1.1440318,0.9895275,0.81756866,0.74565166,0.9515202,1.0570035,1.1718388,0.9111976,1.298154,1.197334,0.9493778,0.75610495,1.2176813,0.7485982,1.2490203,0.8183947,1.0450606,0.9538998,0.98764455,0.8529578,1.0327405,0.6962603,1.308397,0.8803993,1.0917468,0.8096125,0.9200556,1.1413139,1.0078354,0.9369184,1.2541275,0.8836617,1.2412472,0.93222886,1.0650909,1.2512277,0.67914605,0.59596443,1.2659519,1.121146,1.242292,0.9891819,0.95478356,0.87045604,1.1998141,0.99501336,0.96582806,1.2305863,1.2214265,0.9196707,0.8369485,0.84520245,0.9429013,0.7553727,0.60433024,1.1579643,1.2716476,1.1545703,1.0654632,0.7932606,0.84133744,1.0789742,0.7240745,1.0398325,0.86368865,1.0696665,0.735939,0.78960276,0.4035529,0.97179204,0.94604933,1.2485839,1.0702121,1.0822341,1.2640965,0.7865046,1.1202723,0.875951,1.1064148,1.0014824,1.121431,0.72350335,0.94689894,1.382992,1.0911412,0.9255259,1.2679183,1.0060085,0.85361713,1.2344422,1.2919414,0.9193306,1.0432222,0.994216,1.3075802,0.8057009,0.9018624,0.9029555,0.8151973,0.6526945,0.83530027,0.7242072,0.76388687
carrot,0.95789677,1.016628,0.84577197,1.1622641,1.1082662,0.7332911,0.99445343,1.1567945,1.0799412,1.1078994,1.1972092,1.0192167,0.99748796,1.2098093,1.0413842,1.0612147,0.89644253,1.1573265,1.1067438,0.9403266,0.99888754,1.0846225,1.0664539,1.2533518,1.1961825,1.1440318,0.0,1.0715622,1.0902948,1.2558119,0.9910082,1.0385184,0.96062833,0.97906,1.0371335,1.0642608,0.90839684,0.9130246,1.1110647,1.102743,0.9167888,1.1594874,0.8303017,1.0790747,1.090281,1.0557746,0.7485975,1.181246,1.125378,1.0752329,0.7648596,1.0693536,1.0248607,0.82301927,0.78488636,0.98948044,0.9216366,0.952537,0.74516034,0.81032217,0.98469037,0.7082938,1.160475,1.2688798,0.99729514,1.0130286,0.96550816,0.7970732,0.9886311,1.2315153,0.701269,0.79239637,1.0531553,0.73606724,0.82156914,1.0563966,1.0888995,1.0155275,1.0020473,0.9835364,1.1438223,1.0844624,0.94778925,0.9240957,1.0851504,0.9485995,1.0567752,0.36040336,1.1184125,0.9049392,1.0514951,1.0374196,1.172076,1.1127448,1.2594824,1.1429768,1.0255214,1.2078416,1.0547549,0.7726531,0.96853036,1.0520201,0.9240358,1.1026037,1.0825628,0.9970785,0.9677908,1.0919935,0.9070722,0.81375265,0.90676856,0.8868314,0.9576971,1.083689,1.0274578,1.0646518,1.0193818,1.0077362,0.8804749,0.91741586,0.7163611,1.0910856,0.7899848,0.9581157,1.1098467,0.95759076,1.0965089,1.0891633,1.1123258
