category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist
crayon,266,5,5,4.477608772185909,1.5076292846873482,4.096728654844924
hand,266,5,5,5.479517013459406,1.8668839519575222,5.045924964230132
toe,264,5,5,5.802794940620633,2.5996615764330286,5.024281688524615
slipper,266,5,5,6.160180046414717,1.6402817321154053,5.900387551073221
chair,266,5,5,6.273122138643119,1.8369975169578245,6.096746422185767
glasses,266,5,5,6.306640825356125,2.4244646217761465,5.85046933743194
bottle,266,5,5,6.376768663599198,1.9620414371557289,6.040065024008462
cup,266,5,5,6.455068498685167,1.959730703667814,6.023854667827138
lamp,266,5,5,6.925580089891406,2.42355394158566,6.574227358052157
pillow,266,5,5,6.975967352929426,2.3669697137636523,6.447694834948985
toy,266,5,5,7.030256175586873,2.5734618738199377,6.408180633847269
can,266,5,5,7.07035808896208,2.4019522517245964,6.5934898601721965
nail,263,5,5,7.133958245595887,2.755785684276231,6.139006353219807
hat,266,5,5,7.204777661270761,2.120227460758874,6.710282841755804
watch,264,5,5,7.258993291518471,2.4752412505606194,6.713418287588377
finger,263,5,5,7.286271560780845,3.6792941423922967,6.1664585229749775
book,266,5,5,7.422181726764711,2.9182409754514405,6.683762806324166
door,265,5,5,7.897160621234475,2.8029050887813076,7.191736191644895
pen,265,5,5,8.03382144772356,2.9966652077749885,7.09772448658196
bowl,266,5,5,8.184504824814145,2.4226790303511185,7.518914030190455
towel,266,5,5,8.221937686475332,2.973061726230712,7.367102909253154
napkin,266,5,5,8.2254379066537,2.529437676496511,7.6681382846012855
bucket,266,5,5,8.380177676106612,2.6390394712684655,7.564928966693726
glove,265,5,5,8.627675670955428,2.8709903790688682,7.944775445444568
couch,266,5,5,8.789141890113289,2.999412992587678,8.178442191962347
cat,265,5,5,9.048529512588022,3.9586389193379325,7.8244684326935685
gum,265,5,5,9.053650660825186,3.6470789997012294,8.094966534191576
pencil,265,5,5,9.120750864495944,3.9372965775911943,8.0468864680123
bed,266,5,5,9.389939871684609,3.696952264227979,8.717871117229738
sink,266,5,5,9.396204919268142,3.8733628359353283,8.689385031837677
refrigerator,264,5,5,9.42778723953422,3.5530028725899414,8.633729191367975
box,266,5,5,9.744227766018085,3.3126837703133676,8.825881931587812
bench,266,5,5,9.775773149881502,3.1644484777298976,8.96897286081514
vacuum,265,5,5,9.875844853078048,3.1519304567996844,9.072280571710726
belt,262,5,5,9.943757734715353,4.381958282998629,8.799108356717733
plate,266,5,5,9.980736014617502,3.1433975399333107,9.052918575804366
necklace,261,5,5,10.068846171901903,3.9767609794699674,9.15374299322845
frog,265,5,5,10.092303000839522,3.3216054597092377,9.322845785822508
apple,265,5,5,10.198751602089114,3.7192179555679545,9.14374957104496
crib,265,5,5,10.275552776658786,3.4959411887078713,9.36540921420922
table,266,5,5,10.299513267939478,3.148592536744263,9.497815622648242
blanket,266,5,5,10.329891040444062,4.138096676778172,9.357154248501878
knife,264,5,5,10.333967738080815,3.604504839489685,9.402093627451297
oven,260,5,5,10.341199460364956,4.0973794767628835,9.411135529659013
fish,263,5,5,10.396260343428398,4.484976587348749,9.203088197599996
window,264,5,5,10.414427686857618,4.322625484991102,9.658771990903936
hair,263,5,5,10.629049988016005,4.285969512999622,9.816409440912214
basket,266,5,5,10.65182567358552,3.515806661908716,9.77461620600955
shirt,266,5,5,10.712191712831432,3.696210614008246,9.83475145448239
spoon,257,5,5,10.801862991718597,4.586139518286173,9.543424476044043
dog,266,5,5,10.930461162503468,3.4928868973176748,10.162368733019356
car,265,5,5,11.107064505149634,3.9240270475520584,10.044052417878385
pants,256,5,5,11.180345029099785,5.291240071266762,9.615481736826975
balloon,266,5,5,11.211698750432815,3.1236803612836375,10.65321251031202
drawer,262,5,5,11.257756949745458,4.2101374937189,10.055038930424907
jeans,257,5,5,11.278296861894784,4.56695108774094,10.286411957261631
fork,253,5,5,11.512643954124398,4.222946117802663,10.254091308016816
toothbrush,263,5,5,11.523814410544084,4.381696076534815,10.362493409157922
ball,266,5,5,11.577916545221216,3.7675090611493527,10.502526228942148
doll,265,5,5,11.642808077088544,3.5918100027511604,10.948120553000352
mitten,264,5,5,11.727755218965548,4.796608093031763,10.490190420104966
tape,264,5,5,11.829798992807502,3.990633459502308,10.813562006881089
purse,266,5,5,11.945657680167491,3.9317354910905395,10.906907269620302
bathtub,262,5,5,11.96679313302433,4.39816788971264,10.645212496431007
bib,266,5,5,12.010150615113988,3.4025671040522782,11.23353368025982
scissors,265,5,5,12.417216507501847,4.161361744419309,11.557894868112456
paper,265,5,5,12.44087807935814,4.07292865681259,11.470140344789545
banana,260,5,5,12.521666275400175,4.242782551458897,11.399892908425361
plant,263,5,5,12.553395119161438,3.740745500017953,11.658691708007813
pajamas,262,5,5,12.554108036543717,4.077834529030082,11.504622428521877
flower,266,5,5,12.687197101242774,3.6697211999646155,12.113192754799236
orange,254,5,5,12.744092207739342,4.865376642819182,11.544052600490769
egg,246,5,5,13.08242036489984,4.290963222115126,12.190792908570813
clock,262,5,5,13.123596519507245,5.2554276666838735,12.048603745602065
shoe,262,5,5,13.292003892800304,5.014003822346973,12.013628154912151
ladder,259,5,5,13.447307949994265,4.73466002719242,12.431267377046073
alligator,260,5,5,13.509225661225491,5.275135166191932,11.634167950138453
bread,257,5,5,13.550064533047285,4.93140558394305,12.255662508561365
arm,256,5,5,14.250759997586716,6.2090891229337,12.549441824550623
carrot,235,5,5,14.320085097865187,5.202498220557653,13.275365770456705
shovel,248,5,5,14.33993658750278,5.8873945710771665,12.288819147307969
tray,264,5,5,14.363320387270981,4.523356035914663,13.433992604487592
shorts,232,5,5,14.41679804161532,6.541159900865353,12.107412626682077
