,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
tape,1.3794873,1.0652931,0.66384566,1.4271574,0.563892,0.38226295,0.72885317,0.70183194,1.2120689,1.4581965,0.74357116,1.2719698,1.394958,1.1970611,1.2476118,1.1711464,0.6622979,0.72744113,0.35691476,0.89607304,0.5383098,0.43692553,0.64145875,0.7305201,1.045317,1.2002189,1.345887,0.78191745,1.3266991,1.1058252,1.4861028,0.83761835,0.60564977,1.3216345,0.3839798,1.2528924,1.1090007,1.2909715,1.1478937,0.7452072,1.2575133,1.0372567,1.0754118,0.757965,0.73310435,0.93669504,0.5340518,0.7108668,1.133185,0.93323123,0.70450526,0.6649358,1.3359104,1.268567,0.6818116,1.1354494,1.4618275,1.3059788,1.5381849,0.44718528,1.2996001,0.58876956,1.1658027,1.2721964,1.2983611,0.70190465,0.71276796,0.6524017,0.8821605,0.6566098,0.98609155,0.86207527,1.5476712,1.4924698,1.0061163,0.5581027,0.64575475,0.7917366,1.1138945,0.63438344,0.66593975,1.20737,0.9715755,0.52678734,0.82538503,1.1666923,1.1691622,1.1406085,0.604979,1.4685445,0.98839206,1.2798705,0.5747293,1.2960345,0.9981769,0.5989735,1.1960733,0.6460685,0.6935362,0.5520917,0.9281756,0.88980985,1.3447382,1.1389601,1.278338,0.0,0.86512375,0.8261236,1.0395538,0.7736694,0.6175391,1.0245372,1.2101033,0.71194375,1.2347474
toe,1.1301495,0.5615239,0.8473195,0.8796801,0.8581197,0.82815766,0.79310346,1.0411206,1.3335514,1.3295579,0.8345037,1.2655503,1.1005168,1.0105189,1.2199669,1.2537564,0.9935467,1.0199119,0.9923872,1.1126624,0.89607185,0.9247455,0.8806511,1.0502031,0.8051298,1.1690576,1.2351923,1.0079832,1.2977692,1.1334583,1.159756,0.72335804,0.79187685,1.3551009,0.89456284,0.9906511,0.9659157,1.3283968,1.1543785,0.9674532,1.0434729,0.9966771,0.31932437,0.99410504,1.1851077,0.20995581,0.930987,0.91066444,1.2840636,0.7415108,0.57176757,0.8027025,0.91854155,0.38043642,0.8249527,1.1982589,1.3046464,1.0704939,1.0789624,0.88911057,1.3902731,0.9810105,1.2535353,0.8085215,1.0913342,0.98714274,0.62041634,0.9208811,0.6787363,0.8303435,1.1200111,1.0703137,1.1029888,1.0553548,1.1333275,0.81330824,0.8915433,0.9926738,1.282449,0.9227644,1.103073,1.092895,1.0429262,1.0086135,0.97116977,1.2399074,1.1357002,0.9327202,0.8963372,1.0840925,0.78001815,0.7958574,0.9602212,1.1847104,1.2549337,0.6727051,1.2092972,0.9732767,0.7819359,0.9423191,0.6766908,1.1767021,1.2026098,1.0861905,1.3391392,0.86512375,0.0,0.637173,0.9988553,0.91806334,0.97266704,1.1885897,1.3031553,0.6287692,1.2381501
tooth,1.320104,0.50700724,0.44832098,1.2291021,0.58440244,0.7515347,0.77772045,1.0661683,1.3846946,1.5117888,0.66577995,1.4559493,1.2844255,1.1829777,1.3240969,1.3297706,0.87712085,0.60354036,0.9662672,1.2432681,0.61505675,0.86205924,0.7038756,0.9713291,0.6052897,1.2172681,1.4343204,0.99156207,1.3831728,1.2134336,1.405848,0.6204853,0.3508569,1.461139,0.6260404,1.1623074,1.2248265,1.431621,1.2521186,0.5832385,1.2344109,1.033995,0.614868,0.658974,0.9438783,0.59904593,0.8622488,0.91222066,1.2584726,0.33150774,0.82760143,0.7494118,0.98646224,0.8918279,0.4546244,1.1886678,1.3716509,1.2318509,1.3161582,0.6608053,1.4636695,0.6483808,1.265926,1.1502346,1.1765847,0.8284939,0.35417253,0.94058084,0.41521478,0.42589462,1.2615786,0.99303526,1.3645456,1.2667739,1.2776206,0.6078265,0.54120505,1.0474094,1.2830575,0.6032376,0.90038204,1.203613,1.2007062,0.9582431,0.6066139,1.3510908,1.1285102,1.0602453,0.7355891,1.2912155,1.0485787,1.0461851,0.9269842,1.3378916,1.2134079,0.4746691,1.1465113,0.6853156,0.94644445,0.78348184,0.4993977,0.9496227,1.2896004,1.0964495,1.5015249,0.8261236,0.637173,0.0,0.8529309,0.93876714,0.94004416,1.2811956,1.3988779,0.32145792,1.2281094
toothbrush,0.9962346,1.0146854,1.0937308,0.84557724,1.1139327,0.99229157,0.8433066,1.1114868,0.82682353,1.0759859,1.030829,1.1182246,0.85282886,0.90465385,1.1462146,1.0861994,1.012539,1.1713845,1.0437144,1.0548464,1.0417043,0.9285291,1.1654265,1.1302077,0.28615606,1.0394319,1.1114104,1.0978496,1.1816012,0.9818287,1.0751001,0.4793619,0.90455306,1.0093645,1.0685846,1.0484314,0.92084146,1.1050292,0.9652741,1.1506685,1.0573255,1.0131193,0.90690273,0.9917659,0.8557346,0.9319031,0.9440848,0.8189591,0.9378581,1.1461543,0.7920903,0.82106423,1.0943141,0.845531,1.165236,1.1571602,1.0520171,1.0121092,1.0155247,1.1053214,1.0084167,1.0601485,1.009282,0.8878203,1.0642747,0.9494311,1.1474118,1.0461873,1.0974258,1.0020525,1.198738,1.0124836,1.0237511,1.0805018,0.95610636,1.0724763,1.0662811,1.110925,0.9227499,1.0932504,0.92754906,0.9457759,1.0249465,1.1571183,1.2068818,1.1125774,1.0518311,0.91547453,0.8151084,0.94193274,0.9676206,0.9369669,0.8841769,1.0568322,0.87165153,1.1386594,1.0859989,0.9768739,0.85258126,0.9699546,1.0195763,0.9833978,1.1482893,1.0614115,1.0417906,1.0395538,0.9988553,0.8529309,0.0,1.0579945,0.8377669,1.0030576,0.94125944,1.0589068,1.0762745
towel,1.1179227,1.0203193,0.89831525,1.2732768,0.7677902,0.737576,0.7193779,0.6175255,1.2386556,1.2500927,0.9777748,1.1037844,1.2270724,1.0828028,0.87254417,1.1274964,0.77987945,0.8317965,0.7532001,0.9044351,0.7605687,0.6103455,0.66307014,0.7791668,1.0618627,1.1596738,1.066017,0.9687685,1.1468213,1.1565683,1.1789739,1.0466553,0.83673155,1.2475652,0.7206412,1.175746,0.9335825,1.1657263,1.1653881,0.9425158,1.2125309,1.1845591,1.1201652,0.76565814,0.7500571,0.91399467,0.78182185,0.8166783,1.249879,1.0697289,0.55385727,0.998218,1.2877102,1.2224813,0.5926086,0.8818331,1.3483624,1.0459311,1.1682715,0.7437848,1.1507419,0.8018408,1.3132083,0.9553243,1.2699236,0.88350576,0.87211996,0.085626066,0.9367158,0.9005246,1.0036731,1.055473,1.1621435,1.1244683,1.1286491,0.76669496,0.8179339,0.33622026,1.0297548,0.5989518,0.89192504,1.3344953,0.71261936,0.70908165,0.9486741,1.0701901,1.161131,1.080401,0.77833456,1.2472411,0.9642246,0.9679665,0.71409255,1.273502,1.0355982,0.7992207,1.0917088,0.8857673,0.7122729,0.77873677,1.0528963,0.9315678,1.1732411,0.9851263,1.162806,0.7736694,0.91806334,0.93876714,1.0579945,0.0,0.7734716,1.1867402,1.0950017,0.95385355,1.1395724
toy,1.098392,1.2089406,0.899543,1.3340588,0.64547896,0.62411,0.90911865,0.8844253,1.1666901,1.1141279,1.1461551,1.3342927,1.1653091,0.97855735,1.0505002,0.9598506,0.60343796,0.8779409,0.68011516,0.8038371,0.8785918,0.7945888,0.9673734,0.92827386,0.95051426,1.0543449,1.2634015,0.7315355,1.2334981,1.0963067,1.2952513,0.8488802,0.84072876,0.9659025,0.70407605,1.0483187,0.6521771,1.2513043,1.1636372,0.93057007,1.1793349,0.7592846,1.1689746,0.8086303,0.62353265,1.1108587,0.88449955,0.3327427,0.9314668,1.2015823,0.83879614,0.68466693,1.1861308,1.1717478,0.77020645,1.0488291,1.2870135,1.1652741,1.4205937,0.8139556,1.1914542,0.9771076,1.2019736,0.94831264,1.1259983,0.8445758,1.004641,0.7574869,1.1250191,0.9213353,1.1960759,0.6403172,1.3649896,1.4096316,0.8849826,0.8797626,0.91405916,0.86535203,0.83542085,0.86441433,0.9427282,1.1734693,0.8666107,0.75433457,0.97313565,1.0965592,1.2314582,0.9828973,0.59151053,1.3267394,0.86751366,1.2823509,0.7902494,1.2326078,1.1785145,1.0169591,1.078753,0.8143034,0.88144517,0.8445107,1.0562514,0.970886,1.1752656,1.1863358,1.1120378,0.6175391,0.97266704,0.94004416,0.8377669,0.7734716,0.0,1.0380344,1.0264031,1.0037845,1.2121738
tray,0.8770586,1.132518,1.3065999,0.8939781,1.2501084,1.1592146,1.1237133,1.0833075,0.60436034,0.71498585,1.1752433,0.6726905,0.8410853,0.9307405,0.89547026,0.93877226,0.9342803,1.2775252,0.6885536,0.8066578,1.1924858,1.1123772,1.276283,1.3242477,1.1365927,0.92929745,0.8400923,0.98851633,0.86296713,0.69179106,0.7907787,1.2002348,1.3744178,0.7107823,1.2168678,0.9485783,0.874888,0.8786586,0.64533544,1.2658579,1.1078992,0.98539644,1.1450311,1.1605703,1.0542674,1.2617975,0.9265512,1.0561656,0.8208498,1.300176,1.2075814,0.97010875,1.0876834,0.9805798,1.3816586,1.0910518,0.88054425,1.003199,0.8846758,1.0116931,0.87401897,1.2476865,0.6453017,0.93861663,0.92409086,1.0797715,1.3490169,1.1947651,1.3270673,1.3045505,0.9404625,1.0100302,0.8676484,0.9244095,0.64692336,1.1222322,1.2672315,1.1705699,0.91543806,1.3698139,0.98405725,0.8390377,0.8778777,1.1685963,1.2694685,0.9191009,0.88501006,0.9661218,1.1545408,0.88082814,0.9938384,1.1478404,1.0619742,0.7735361,0.78028685,1.2529042,1.0155749,1.0709771,1.125075,0.9882271,1.1531172,1.0335863,0.91099983,1.0656459,0.31015587,1.0245372,1.1885897,1.2811956,1.0030576,1.1867402,1.0380344,0.0,0.7982236,1.3723292,1.0233661
vacuum,0.8119024,1.3477497,1.4551533,1.0116543,1.4122157,1.3136961,1.14564,0.8073776,0.8070518,0.7037513,1.3813815,0.63932645,0.89350235,0.8887121,0.92904943,0.92190015,1.1455381,1.2484028,1.092533,0.73313904,1.3634057,0.94649833,1.1784117,0.9885312,1.1725346,0.8345601,0.3545283,0.95470107,0.6728107,0.8922457,0.7199029,1.2774862,1.4308455,0.5755096,1.2239093,0.86533785,0.8828485,0.5497391,0.7002002,1.3713343,0.92302823,1.0064026,1.3300331,1.3372226,0.9371786,1.3724146,1.0837591,1.0737352,0.7584871,1.4686518,1.0762554,1.2201816,1.0443941,1.0784911,1.3324142,1.0439907,0.5690182,0.9376241,0.89542425,1.2102065,0.20629346,1.1969734,0.74545765,0.8707384,0.6914413,1.1851192,1.5032346,1.0822631,1.4887784,1.4932822,0.70745957,1.0572354,0.8826244,0.95559037,0.86646175,1.3068067,1.280422,1.0521287,0.91013944,1.1976613,1.1709737,0.9882912,0.60776085,0.9056743,1.2976323,0.4422902,0.9663272,0.92996436,1.0420687,0.94953275,0.87581253,0.97899187,0.9353599,0.83683085,0.93852544,1.424902,1.0567622,1.2847421,0.98766893,1.1923718,1.2962122,1.095166,0.49080443,1.1231823,0.46697783,1.2101033,1.3031553,1.3988779,0.94125944,1.0950017,1.0264031,0.7982236,0.0,1.4692898,0.79160357
watch,1.4260879,0.538691,0.19471502,1.1924001,0.494452,0.6376146,0.96098286,1.0329231,1.4152248,1.5458016,0.44475996,1.4042594,1.3985907,1.2221873,1.3027174,1.3048458,0.87156403,0.38643134,0.8720755,1.2369528,0.54424745,0.84817016,0.5308069,0.82684755,0.7808929,1.2978755,1.4360005,1.054132,1.3633363,1.2415508,1.4314141,0.7557634,0.16795373,1.503591,0.47482455,1.2941294,1.2744821,1.3840437,1.2293079,0.37238336,1.1623932,1.1626574,0.6312111,0.5887043,1.0693161,0.6070069,0.77958715,1.0888951,1.3611468,0.20249689,0.87269104,0.8216474,1.0795354,1.0024735,0.42089045,1.1406827,1.4049003,1.2475079,1.3673179,0.50235784,1.4723673,0.5271179,1.3694491,1.3046085,1.2786582,0.88193446,0.16927874,0.93779415,0.24905849,0.3055756,1.0840499,1.1142972,1.3824153,1.2951691,1.3644304,0.45390147,0.31380618,1.0235735,1.3107817,0.53305995,0.86642903,1.2855774,1.2956916,0.7959623,0.42156947,1.370188,1.2234232,1.1669619,0.69072104,1.3615067,1.1551032,1.0521125,0.91421384,1.3080946,1.2289696,0.28693432,1.1250048,0.7454281,0.97099054,0.68259394,0.6066036,0.8615888,1.3326337,1.1032764,1.5757415,0.71194375,0.6287692,0.32145792,1.0589068,0.95385355,1.0037845,1.3723292,1.4692898,0.0,1.2129163
window,0.8953068,1.1917238,1.2154572,0.94083077,1.2830777,1.2270416,1.2181492,0.9150498,0.7829002,0.7806215,1.062777,0.82182395,0.90679085,1.0955536,0.86459005,0.7819792,1.200502,1.1152692,1.1629997,0.94911253,1.2264082,1.0900329,1.0025009,0.8558558,1.1583965,0.85726815,0.7266631,0.9999106,0.64099205,0.91358364,0.8187892,1.234467,1.2415072,0.755425,1.1759117,0.950891,0.9924466,0.51805574,0.88852435,1.1680928,0.9124453,0.95992124,1.1725433,1.1194261,1.0875963,1.2446489,1.0578883,1.188144,0.81612104,1.1047108,1.2360891,1.2393278,0.87624013,1.049803,1.266438,0.94876313,0.8306331,0.82938457,0.9839139,1.1803887,0.60035634,0.8939998,1.0087467,1.0827364,0.99727976,1.209871,1.2034597,1.0969151,1.09346,1.251294,0.79532266,1.0303017,0.9307928,0.9687694,0.95899355,1.1888918,1.1152986,1.074962,0.9074725,1.1225883,0.93189424,1.0296723,1.0011624,1.0509685,1.1300306,0.7018707,1.0509048,1.0917962,1.1758956,0.9113985,1.1367648,0.985868,1.0457764,0.7534171,0.78149605,1.2285645,0.8830142,1.2435124,1.1439315,1.1101968,1.0625856,1.0416683,0.88582844,0.9746211,0.8238455,1.2347474,1.2381501,1.2281094,1.0762745,1.1395724,1.2121738,1.0233661,0.79160357,1.2129163,0.0
