,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
corn,1.0090908,0.9656802,0.96588886,0.94081104,1.0702271,0.8731123,0.9952198,0.7826716,0.97728807,1.1037612,1.1595774,1.0369809,1.1306065,1.0388366,1.0545698,1.0930647,0.9441259,0.9553094,1.0559964,1.0131929,1.02944,0.7022233,0.9417102,0.95991594,0.85200953,1.0986371,1.0616857,0.9587038,1.2366209,1.0991538,1.0290971,1.1407533,0.97570187,0.8960292,0.87624174,0.0,1.1407971,0.9663403,0.93374145,1.1316681,0.96812993,0.99349827,1.2185497,0.9058753,1.2140986,1.0640789,1.0136615,1.0409533,0.90032303,0.97153944,1.1134837,1.1510015,0.87752044,0.9540945,1.0262038,0.93076247,0.8027988,0.84910023,0.9282247,0.9928589,0.79738164,1.1797602,0.75946146,1.1180155,0.88140243,1.0245346,1.148289,1.0966862,1.1073103,0.8837647,1.0576782,1.0311933,1.0568148,1.1298074,1.0622255,1.0286869,0.80543214,0.9546266,0.8689283,1.0294777,1.0758625,1.0240451,1.080205,0.96284425,1.0287422,0.93075347,1.1195065,1.0434055,1.0591694,1.1042053,0.9683403,0.9473605,0.966194,1.1440767,0.8084044,1.1126902,0.9453573,0.99744517,1.0114971,1.0867833,0.90351576,1.0234315,1.0719529,1.1588275,1.0870636,1.0076928,0.9149097,1.1458323,0.9450601,1.0759284,0.9605945,1.1680108,1.2529047,0.88960904,1.0621943,1.1175008,1.0115842,1.0505066,0.8693561,1.1446778,1.0251633,1.1503308,1.121541,1.0801877,1.113486,1.0312583,0.9496646,0.88296163,0.8935122,1.0942864,0.86608815,0.96081555,1.0977216,1.029761,1.0435338,1.110713,0.9881108,1.184971
couch,0.86271966,0.982656,1.3930708,1.2188579,0.62003285,1.3623828,1.3963838,1.1366742,1.0609432,0.6086605,0.28727698,1.308407,0.56599057,0.7788409,1.3613257,0.42964423,1.0122933,1.2111757,1.3536297,1.3561896,0.6565794,1.1053606,1.1669762,1.3081012,1.266597,1.0138444,1.1689705,0.7729595,1.0215421,0.7253679,1.2857286,0.65290767,1.0409622,0.97389036,0.9729751,1.1407971,0.0,0.9439391,1.4281867,0.45259845,1.3624914,1.1488849,0.9564719,0.73522437,0.66019213,0.5145548,0.7642734,1.3088421,1.0059581,1.3033447,0.8675409,0.77613735,1.2431759,1.3694111,1.2893889,1.1870787,1.2080591,1.1634738,1.207557,1.4673716,1.1304233,0.8584717,1.3794625,0.82890594,1.0172269,1.3366367,0.9371911,0.7385416,0.57819736,1.0631994,0.61672413,0.7917616,1.0139188,1.3190525,1.0038891,0.8257215,1.0377895,0.9399866,0.7691778,0.998518,0.9470088,1.3955564,1.0085136,1.2977931,1.1341473,1.2651845,0.74007595,0.76527834,0.6561454,0.6674212,0.7700865,1.431331,1.3724959,0.8825574,1.3671281,0.54671055,1.017794,1.1433913,1.4175584,0.89496344,1.4070784,0.86114615,0.9559524,0.53841174,1.0016549,1.0148461,1.1522758,0.66197395,1.0269332,0.83437014,1.1262922,0.7878568,0.9074968,0.7920338,1.3942633,0.9759108,1.2720535,0.8936292,1.1148691,0.9460305,0.7235434,0.7468492,0.75065684,1.0785617,0.4088453,1.4027882,1.3259348,1.215313,0.8810077,0.92673,1.3602773,0.9170488,0.96223015,1.1914005,0.97995615,1.0598223,1.4140497,0.7296828
cracker,0.8529362,0.8421421,1.1595893,1.1868732,0.7873725,1.2665465,1.2489151,0.74119544,1.1126341,1.0213977,0.9289238,1.1767554,1.1024184,0.9114679,1.1144898,0.81078875,1.1748749,1.123499,1.2406957,1.2454635,1.0049224,0.6605497,1.2026738,1.3082242,1.130449,1.2760404,1.2018152,0.6244167,0.9644714,1.1524209,1.1910332,0.9361286,1.030543,0.98142266,0.85375786,0.9663403,0.9439391,0.0,1.1971247,1.0350538,1.23318,0.931142,0.9084983,0.90656847,0.87713706,0.8148085,0.9471369,1.2057619,0.9512666,1.0559154,0.8630008,0.8800671,0.85664976,1.158141,1.2127861,1.0316232,0.9706533,0.9901036,0.91721004,1.2205287,0.88997996,1.0305226,1.0907645,0.9050144,0.7961153,1.234507,0.94897586,1.0564173,1.0084498,0.8444873,0.91798335,0.9351274,1.1741048,1.2520595,0.8496399,0.77338886,0.706231,0.93327075,0.801555,1.188646,1.0059338,1.0990431,0.9459704,1.0462542,0.8844596,1.1720304,1.001671,0.7998307,0.87474966,0.90361714,0.8442576,1.2055706,1.1986601,0.88968825,0.9170139,0.940954,0.76677835,1.1404494,1.1877279,1.0229077,1.1496912,1.0869334,1.1322435,0.91318357,0.86875385,0.9881408,1.1490958,0.86688447,0.9993133,1.0538154,1.20861,0.8447615,1.0936635,1.1075752,1.211786,0.9116607,1.1217593,0.971028,1.0128047,1.1238202,0.8273245,1.1342065,1.007561,1.220807,1.0064871,1.2781993,0.9980679,0.8652066,0.97957885,0.95601255,1.2608705,0.6891,1.0843931,1.1867319,1.1927996,1.2715579,1.1422926,1.1131014
crayon,1.3333578,0.983337,0.29334772,0.9570965,1.5241176,0.64617115,0.42946178,1.0239829,0.6961817,1.4472314,1.5861593,0.36361384,1.188412,1.4937714,0.6226118,1.4771931,0.9418239,0.3284434,0.25034153,0.28766465,1.2067459,1.066798,0.7321394,0.49689257,0.62747574,0.66940963,0.9114762,1.2218128,0.96628565,1.1125478,0.6237709,1.0997214,0.895251,0.93456906,1.2242998,0.93374145,1.4281867,1.1971247,0.0,1.4967874,0.3628971,0.8663448,1.148813,1.2957672,1.2458369,1.4116853,1.4284134,0.672256,1.0997856,0.7939221,1.3580213,1.3779805,0.86678964,0.2324431,0.73985606,0.8580705,0.8171473,0.90528804,0.7471882,0.3289429,0.9692057,1.3047891,0.496306,1.3594245,1.2760832,0.60056955,1.2068,1.2732348,1.3559724,1.1914592,1.4938736,0.9874741,1.0304599,0.33817536,1.0892968,1.2494608,1.0535191,1.2223911,1.440294,1.0603043,1.3272467,0.21697742,0.8612318,0.6497646,0.9418748,0.5042775,1.0802495,1.287235,1.5155708,1.4155763,1.3652242,0.08538568,0.16298163,1.3296497,0.84558386,0.8714728,1.034572,0.9709897,0.23364305,1.2661898,0.45272362,1.3603826,0.6250955,1.353369,1.2923937,0.97445303,0.8343951,1.5242023,1.1819296,1.2293967,0.81684566,1.4313676,0.8117994,1.2927121,0.2406689,1.2269639,0.3592615,1.1550499,1.2258291,1.219058,1.2522495,1.3503807,1.3546647,0.92659754,1.584743,0.36719394,0.58527625,0.6895827,1.2717438,0.9025313,0.32149976,0.926126,1.2648346,0.78968275,1.1890597,0.7883228,0.38160443,1.3714201
crib,0.86111283,1.176011,1.4305217,1.2095648,0.7013432,1.3203003,1.4452472,1.1624963,1.0673662,0.536661,0.24532759,1.386266,0.6181208,0.7549783,1.2599955,0.55953515,0.9883123,1.3216313,1.3581016,1.3944204,0.682796,1.1226804,1.0331101,1.2854874,1.2097087,1.0326943,1.071672,0.87114686,1.0082994,0.63950086,1.2305932,0.77522224,1.071778,0.95361006,0.9445432,1.1316681,0.45259845,1.0350538,1.4967874,0.0,1.4077319,1.142087,0.9768587,0.7439544,0.7006246,0.5434748,0.82847184,1.2693396,1.0216564,1.3074244,0.7165148,0.77701926,1.332647,1.4394169,1.2122988,1.2788675,1.1802928,1.1698747,1.2117696,1.470185,1.319921,0.76746964,1.3876299,0.82600653,1.0483127,1.4048557,0.9166929,0.65753055,0.7952479,0.9922287,0.7265092,0.9556661,0.6164493,1.2880834,0.92037326,0.93554235,1.2302605,0.8945663,0.8936443,0.7974398,0.870764,1.4350165,1.1226196,1.4319929,1.1627775,1.3388367,0.84099305,0.7472681,0.73532826,0.846986,0.7708464,1.4492737,1.369483,0.89930063,1.3657815,0.92733735,0.99731636,1.0523386,1.4117354,0.6679459,1.4100218,0.8074434,1.1185902,0.5749381,1.0134876,1.184049,1.1360873,0.7151753,1.1032251,1.0088228,1.0503117,0.6900221,0.9588556,0.71140695,1.5063008,0.89688236,1.2798765,1.003353,1.039123,0.81159806,0.7956923,0.56881857,0.8414781,0.96263343,0.34393704,1.4056762,1.4387022,1.2967339,0.8466159,1.0564616,1.3698041,1.099937,0.7938689,0.90642226,0.9187793,0.94753635,1.4948075,0.5141952
cup,1.2932882,1.1401024,0.3350569,0.69403064,1.5129037,0.4940976,0.29589063,0.9076113,0.64834106,1.2629832,1.5184118,0.5593321,1.1882188,1.4396372,0.651332,1.3922286,0.9198853,0.47129595,0.27568805,0.15470529,0.9899535,1.0562216,0.9037431,0.16168714,0.6719761,0.50709057,0.9123157,1.333648,1.0411574,0.9930801,0.5269675,1.0019163,0.95853573,0.9835673,1.1196119,0.96812993,1.3624914,1.23318,0.3628971,1.4077319,0.0,1.0016139,1.2028402,1.1512251,1.1396683,1.293067,1.4276367,0.6955514,1.1708512,0.54914063,1.384083,1.3360938,1.022357,0.46194768,0.6962993,1.0233028,0.99058014,0.84061843,0.8988979,0.5879332,0.8557619,1.2841635,0.3419978,1.3674821,1.2999818,0.62636507,1.2866905,1.3593887,1.3064649,0.7634123,1.4807185,1.1094472,1.036819,0.4091822,1.2795321,1.1130477,0.94668835,1.1037496,1.3251538,1.1796904,1.3089244,0.49178994,0.7826228,0.8635044,0.98826194,0.52916515,0.8754788,1.2536317,1.4521024,1.4235017,1.377375,0.50036025,0.5312357,1.2750456,0.7616885,0.909047,1.1909637,0.8793473,0.31410265,1.3035238,0.49857634,1.2090151,0.6429514,1.1220143,1.2021705,1.0921131,0.9442775,1.4544698,1.1116635,1.2474041,1.0103884,1.3464806,0.63117325,1.2035463,0.42905557,1.2806027,0.5146518,1.0928419,0.98764956,1.1642815,1.343698,1.3368943,1.401902,0.92148507,1.4392054,0.21536493,0.8305629,0.92007375,1.2530273,0.8562772,0.30460012,0.95283806,1.2325454,0.87974036,1.1263363,0.90870386,0.60237026,1.270006
deer,0.9400131,0.8468585,0.9367778,0.9807216,1.1516869,1.0867964,0.8746916,0.9275705,0.97283566,1.2018733,1.3210146,0.7753433,1.012704,1.1731167,0.90300786,1.2665243,1.2908747,0.9705017,1.0458686,0.9671639,1.0897136,0.89677906,1.0341957,1.0039858,0.83034253,0.87580323,1.1396073,1.138683,0.56293076,0.94832176,0.9843929,0.80602604,0.809803,0.90052944,1.0132465,0.99349827,1.1488849,0.931142,0.8663448,1.142087,1.0016139,0.0,0.6671698,1.0032482,0.9893505,1.1076772,1.1509713,0.7120313,0.95379364,1.0542233,0.9829285,0.9948303,0.89960027,0.76027507,1.0012382,0.83222395,0.8682053,0.93658847,0.88059855,0.6793724,0.88663495,1.1775548,1.0638927,0.825478,1.0121932,0.61648613,0.6423904,1.2853769,1.0669469,1.0983586,1.1650478,0.98498714,1.0048541,0.86927503,0.8355719,1.1722091,0.875166,1.1728423,1.110548,1.0330753,1.27127,0.79094076,0.94235104,0.59154344,0.795851,0.99630624,0.8879109,1.0802151,1.1880995,1.0211345,1.1774935,0.8369851,0.87073004,1.166545,0.800055,0.90911263,0.90432113,1.0691032,0.9296664,1.0997205,0.9477144,1.2653178,0.7991981,1.0308653,1.1396512,0.85379744,1.2233523,1.0840477,1.1249387,0.91080964,1.1738737,1.176114,0.9422963,1.2788372,0.84436584,1.102961,1.0170262,1.2079597,1.039358,1.2488449,1.2832297,1.3385637,1.0316038,1.0889341,1.2526374,1.032701,0.75569206,0.8475596,1.1958091,0.9936339,1.0967433,0.6231288,1.1880945,1.0860682,1.0631267,0.96862286,0.6939961,1.1607318
dog,0.7287744,0.94859296,1.129051,1.0505518,1.0166832,1.0718486,1.0491095,1.0880586,1.0179964,1.0606377,0.9144211,1.0366892,0.97988003,1.0355524,0.91665095,0.7951069,1.1256822,1.1845994,1.1852446,1.1000311,1.1851913,0.8861748,1.1400445,1.1805623,1.0192459,1.0407382,1.088288,1.0110033,0.5090659,1.048833,1.1394491,0.8935844,0.94149727,1.1078473,0.89170474,1.2185497,0.9564719,0.9084983,1.148813,0.9768587,1.2028402,0.6671698,0.0,0.8957322,0.998474,1.1085896,1.0748081,0.8690453,1.0088313,1.0305362,0.81047153,1.0546277,1.0503621,0.9030868,1.0646095,0.9596297,1.0377588,0.84863734,1.145766,0.96902806,0.8512799,0.86662763,1.2018322,0.97508746,1.0364126,0.93775815,0.7404453,1.0349154,0.7147019,1.1597112,0.86028934,1.0704057,1.1028699,1.0708817,0.89994997,1.084659,0.9803446,1.184303,0.94673777,1.0772579,1.104969,1.0741102,0.7497979,0.9493691,1.0105025,1.1994272,0.96364605,0.7567242,0.9879841,0.8244877,1.0136983,1.1137167,1.1178988,0.9939248,0.9621409,0.83203197,0.9294221,1.0164242,1.1375622,0.93666446,1.1161182,1.0213234,0.97619754,0.9811492,0.8135594,0.9231112,1.1754569,0.9561477,0.9786478,0.87241066,1.0762804,0.99120843,0.9560042,1.0841365,0.9305511,0.9106358,1.0905774,0.9765253,0.9305241,1.1354156,1.0220234,0.82295597,0.8565685,0.99369663,0.9999887,1.165584,0.9980348,1.1015425,1.1828094,0.72866756,1.2098304,0.92867637,1.0447667,1.1110353,1.0087183,1.0690464,1.0219119,0.96881044
doll,0.8238152,0.8751208,1.2443607,0.8427837,0.7935691,1.1011509,1.2180703,1.059569,0.9496216,1.1140859,0.7564522,1.1101744,0.90916187,0.7370257,1.2153338,0.74125075,1.0476524,1.2181563,1.2457031,1.2491664,0.8799554,0.96947646,1.1960759,1.1619389,1.0681337,1.132993,1.0459025,0.95598537,1.17859,0.9259802,1.1834635,0.80447394,1.1300207,1.0448997,0.97450876,0.9058753,0.73522437,0.90656847,1.2957672,0.7439544,1.1512251,1.0032482,0.8957322,0.0,0.87594813,0.7516526,0.90418434,1.126992,0.9735322,1.138533,1.1475911,0.97470164,0.9109575,1.2352985,1.0069597,0.90417606,1.1541452,0.7411488,1.1071521,1.2166547,0.48231107,1.1042895,0.9768604,0.94573706,0.7112831,1.0622789,1.0465844,1.09198,0.8245598,0.9483001,0.7831506,1.1426526,1.0870814,1.2970281,1.0574424,0.7599865,0.81146616,1.0581284,0.563339,1.0813795,1.009541,1.3079205,0.91104347,1.107655,0.8875449,1.2255071,0.8581079,0.72219384,0.73869216,0.8987919,1.0140983,1.3304192,1.3675145,0.7962388,0.974138,0.88192046,1.1151577,1.053483,1.3159735,0.95630586,1.1617806,0.8533691,1.0733405,0.84036404,1.0584899,0.8912594,1.0676501,0.7337196,0.80611765,0.85766715,1.1850439,1.1605101,1.2018465,0.9949567,1.0956517,1.343919,1.3164568,0.7933332,0.8003875,1.0386205,0.9933061,0.7539573,0.9961626,0.8322705,0.8278239,1.2629502,1.0529903,1.1671954,0.9259933,0.89370084,0.9994557,0.90832216,1.1235379,1.0262123,1.0235491,1.0950098,1.1587564,1.0574919
door,1.0553316,1.0075202,1.1974161,1.1059849,0.80489933,1.2476952,1.1594038,1.17156,1.026758,0.84792066,0.7091658,1.113852,0.7788273,1.002401,1.2723691,0.82122505,1.2171669,1.1762483,1.1706929,1.211054,0.8139521,1.1835923,0.8747965,1.1283394,1.1425602,0.85261095,1.1578232,0.84605646,0.8029462,0.69415617,0.999701,0.5142505,1.0766753,1.0587894,1.0939816,1.2140986,0.66019213,0.87713706,1.2458369,0.7006246,1.1396683,0.9893505,0.998474,0.87594813,0.0,0.7402611,0.9679999,1.1339328,1.1235925,1.062693,0.8589272,0.9712343,1.0723414,1.2527959,1.1039407,1.1123836,1.0711384,1.1758642,1.1511598,1.2230227,1.2391497,0.8688895,1.2429558,0.97542995,1.0422431,1.2170273,0.8800126,0.8911089,0.96308863,0.94829243,0.97282374,0.85247266,0.7986784,0.9138111,0.97048366,0.87638104,1.0584601,0.93712276,1.1257541,0.8654951,1.0317438,1.1833433,0.98198456,1.0947123,0.97002095,1.1851107,0.600232,0.9600408,0.9248643,0.9084258,0.95299226,1.2059441,1.2362678,1.0476631,1.1539302,0.7857932,0.9983116,1.054548,1.2094686,1.0217876,1.1926473,1.0871778,0.9024404,0.3996992,1.0605239,1.2102426,1.1599567,0.8460356,1.1073077,0.906167,0.99865484,0.66647327,0.7107491,1.1347795,1.2611394,0.88772243,1.1595905,1.0442209,1.1622832,1.0229585,0.86390567,1.0219183,0.9947442,0.9810114,0.69228673,1.1884762,1.1740767,1.1620457,1.0316873,1.0142426,1.2867796,0.86097276,0.8939507,1.0248761,1.0195408,0.7720007,1.184065,0.6313214
drawer,0.89095455,1.0540034,1.3809606,1.0974491,0.67701405,1.3065853,1.3784363,1.0406169,1.0396243,0.48365617,0.45752883,1.3651742,0.6930837,0.8566101,1.3102494,0.6253435,1.007555,1.1371409,1.3108494,1.2721395,0.23608088,1.0218996,1.1560184,1.2032044,1.2510929,1.0555831,1.1453269,0.73302937,1.1070253,0.85203046,1.2921157,0.77690196,1.0679513,1.0639707,0.90837026,1.0640789,0.5145548,0.8148085,1.4116853,0.5434748,1.293067,1.1076772,1.1085896,0.7516526,0.7402611,0.0,0.84883606,1.2903423,1.0731025,1.1730808,0.8960233,0.84929717,1.2224619,1.3770318,1.1893278,1.2131608,1.138883,1.0866746,1.2282491,1.4138528,1.1418176,0.842033,1.294259,0.8816664,0.98907197,1.3529844,0.9398378,0.77386975,0.77682126,0.83715355,0.76555043,0.90696806,0.9780338,1.318841,1.1201293,0.7623335,1.0581616,0.79699767,0.8121604,0.9975856,0.91659135,1.3657074,1.1005732,1.3393149,1.0709023,1.3077497,0.7983788,0.81378025,0.7921165,0.8953865,0.6477768,1.3820896,1.3517559,0.8897395,1.2556393,0.8895367,0.9868499,1.0277762,1.3578402,0.97093153,1.3789952,0.7962903,0.99568784,0.61040854,0.97416973,1.1529748,1.1002822,0.80356944,0.9813574,1.0293682,1.0996625,0.85161674,0.92647046,0.711571,1.3810484,1.0108286,1.2355176,0.96822155,0.99079853,0.92376107,0.6882755,0.8045571,0.91460145,1.1105319,0.45862442,1.3225919,1.3423471,1.2304544,0.83836603,1.0522265,1.2642336,0.82607067,0.92262185,1.1806859,0.9938626,1.1072911,1.3726181,0.8307561
dress,0.87582326,1.0085266,1.3590398,1.1533259,0.48666108,1.2478038,1.3809478,1.0308008,1.2123739,0.7851696,0.6354237,1.2833102,1.0821692,0.23223776,1.3168817,0.70928246,1.0421802,1.3446101,1.3002313,1.4590478,1.033658,0.99026245,1.3175387,1.4134074,1.2254715,1.3493837,1.0961103,0.88479996,1.0209602,1.1734126,1.2073096,0.99967945,1.1021379,1.0681121,0.8926683,1.0136615,0.7642734,0.9471369,1.4284134,0.82847184,1.4276367,1.1509713,1.0748081,0.90418434,0.9679999,0.84883606,0.0,1.2551322,0.9552539,1.320199,0.76827955,0.7131288,1.136677,1.413782,1.2572542,1.1250572,1.1463583,1.174593,1.1144594,1.3587992,1.08948,0.9123712,1.3161016,0.698484,0.8780538,1.2550483,0.7272326,0.94673127,0.7628226,0.9714028,0.34616995,0.9667607,1.1817892,1.449322,0.9488702,0.80515057,1.0158814,0.8325877,0.7227079,1.1436542,0.8485596,1.348211,1.2649937,1.0478722,1.0314689,1.2615203,1.0458044,0.72220844,0.20638597,0.52291363,0.6690923,1.4086785,1.3962532,0.8386207,1.2598217,1.1340829,0.9043998,1.1545057,1.3553013,0.792807,1.3048244,0.8474298,1.2793291,0.8893209,1.0117215,0.76706517,1.0759611,0.31522715,1.0310234,0.699263,1.262954,0.7445172,1.2885041,0.77664274,1.4535543,0.82612586,1.2690282,0.9012117,1.0800523,0.9410201,0.8855598,0.73474085,0.5804868,1.1625988,0.6661004,1.4261432,1.2403767,1.0743953,0.7938217,1.2084202,1.3587441,1.1045319,0.8784607,1.1847985,0.9406287,1.3087053,1.276589,0.8777126
duck,1.1346738,1.1456621,0.73566145,0.77113587,1.291944,0.7224367,0.6163579,1.2122955,0.69231135,1.2989652,1.4055839,0.62479717,1.114246,1.2583327,0.6247573,1.3263093,0.9894365,0.6917347,0.68924713,0.6725756,1.0994687,1.0696578,0.82741183,0.6764878,0.7184176,0.62454575,0.89783657,1.3029773,0.8619938,0.9389498,0.7016709,1.0755743,1.0287305,1.0118103,1.1327091,1.0409533,1.3088421,1.2057619,0.672256,1.2693396,0.6955514,0.7120313,0.8690453,1.126992,1.1339328,1.2903423,1.2551322,0.0,1.0846331,0.8215889,1.1385401,1.2081048,1.054524,0.72780776,0.76101774,0.9586013,0.94004565,0.96505356,0.9449836,0.54438895,0.9611507,1.1998277,0.74452686,1.0413647,1.2028564,0.4762547,0.9158404,1.2661747,1.1847186,1.094781,1.3103253,1.1785917,0.87135994,0.55340177,1.1782866,1.2096982,1.127338,1.1541966,1.2876285,0.97030175,1.180194,0.7711653,0.81258094,0.72347236,1.0049165,0.8377477,0.94994056,1.2604396,1.3450358,1.2830398,1.2475162,0.6719202,0.6852244,1.231272,0.77481544,0.94478416,1.0304173,0.9001023,0.63119346,1.0812329,0.7237684,1.1791073,0.7559094,1.185758,1.0679379,0.98055005,0.95175123,1.3101659,1.015393,1.0467194,0.9175675,1.2529929,0.8157598,1.2371805,0.60107565,1.0932117,0.8440389,1.1502264,1.0388101,1.1489989,1.2883618,1.2329999,1.1591709,0.93592143,1.3645964,0.6384686,0.88080573,1.020228,1.30012,0.85281205,0.7089081,1.0334522,1.1267109,0.78032064,1.014537,0.8113006,0.64851457,1.1106557
ear,0.9561624,0.7155187,1.0833035,1.0386736,0.9393679,1.1011332,1.0789601,1.0063004,1.2338942,1.1133468,1.0394924,1.0253386,1.1231599,0.9365919,1.1575863,1.0602424,1.215578,1.2413116,1.1417154,1.1392041,1.2057518,0.88701475,1.1982701,1.2236415,1.0457301,1.2486527,1.1394691,0.98590237,1.0647318,1.1760578,1.129341,1.0169652,0.93215764,0.90485334,0.9271362,0.90032303,1.0059581,0.9512666,1.0997856,1.0216564,1.1708512,0.95379364,1.0088313,0.9735322,1.1235925,1.0731025,0.9552539,1.0846331,0.0,1.1491848,1.0302824,0.7984641,0.69927967,1.0719726,1.1181941,0.83770156,0.91338027,0.9807231,0.7700526,0.8437431,0.9514736,1.0822113,1.0808915,0.7846294,0.72361314,0.8854789,1.0382658,1.0381273,0.93188494,1.1002342,0.95087963,1.0452081,1.1424044,1.2061366,0.90960395,1.0284307,0.90618503,0.9635864,0.93963677,1.1480207,1.0090731,0.95736265,1.1211084,0.7106627,0.690596,1.0524604,1.0708115,0.9693066,0.9793137,0.8898361,1.0067028,1.0930653,1.1250417,0.8840847,1.0542169,1.1278181,1.0429417,1.0474215,1.1835486,1.0631163,1.0411701,1.0659847,1.1026962,1.0677084,1.0363704,0.80153126,1.0620208,0.9556303,1.0646104,0.97444165,1.1613932,1.025515,1.22277,1.1504633,1.1203498,1.046688,1.1305559,1.0386672,0.87843084,0.9728943,1.0631359,1.0573016,0.93626034,1.1795344,1.0721833,1.1645118,0.7519989,0.6368955,0.9373324,1.1171459,1.1804354,0.9650009,1.0366281,1.177028,1.0494187,1.20308,0.8657484,1.1149035
egg,1.1356065,1.0443113,0.6191679,0.64653784,1.2852271,0.47344005,0.5003517,0.886047,0.8991568,1.1749895,1.2900085,0.8198744,1.1751022,1.3417504,0.7822682,1.1784532,0.91846454,0.7996019,0.7898681,0.56563807,1.0087513,0.98799294,0.9317709,0.6174954,0.8613287,0.8618649,0.9296887,1.0500478,1.0302196,1.0018796,0.74996686,1.1950998,1.0140606,1.0340593,1.088225,0.97153944,1.3033447,1.0559154,0.7939221,1.3074244,0.54914063,1.0542233,1.0305362,1.138533,1.062693,1.1730808,1.320199,0.8215889,1.1491848,0.0,1.2534182,1.2293295,0.88708955,0.7753675,0.8837303,0.9860988,0.9881131,0.88085043,0.9453391,0.798519,0.88389134,1.1639441,0.58982253,1.2585766,1.1542673,0.7611633,1.2133261,1.2050822,1.2218839,0.8360882,1.3305492,1.1448678,1.0101945,0.7517282,1.1126013,1.0241584,0.86426324,1.0871967,1.231081,1.127116,1.1829344,0.78578764,0.72629696,0.956816,1.0022343,0.5547867,1.0612993,1.1595889,1.3403475,1.3448656,1.1625011,0.83786213,0.865493,1.2028594,0.57977307,0.9766994,1.162812,0.97481936,0.67496437,1.177266,0.6145402,1.0370948,0.9378493,1.2428291,0.946345,1.0893316,0.9236379,1.3665602,0.96139497,1.2390195,0.9380466,1.147136,0.8516302,1.1148039,0.72010773,1.0518274,0.8082442,1.0943787,0.8437387,1.1694478,1.1426796,1.1758461,1.2974002,1.0110817,1.2591558,0.45347607,0.87093824,0.99518895,1.1997833,0.8241166,0.63142514,1.0563371,1.1748503,0.88424635,1.0804224,1.0084062,0.78267276,1.1700504
elephant,0.8869618,1.0241553,1.2624843,1.1955162,0.66290885,1.2743695,1.3139908,0.9194916,1.2118034,0.7223822,0.71564996,1.2844071,0.93070817,0.8255773,1.1910977,0.90661186,1.1246101,1.3637184,1.2548482,1.3404446,1.0674495,1.0207818,1.1921163,1.3860521,1.2522182,1.1851372,1.1619604,0.8459374,0.58098567,1.0057842,1.272932,0.99546635,1.086955,1.1022383,0.982031,1.1134837,0.8675409,0.8630008,1.3580213,0.7165148,1.384083,0.9829285,0.81047153,1.1475911,0.8589272,0.8960233,0.76827955,1.1385401,1.0302824,1.2534182,0.0,0.80210793,1.0444049,1.2733127,1.2156984,1.0400575,1.1208698,1.2510717,1.1169016,1.306348,1.2727556,0.75342846,1.3791908,0.8100586,0.89919627,1.2832727,0.48006535,0.89540404,0.91964054,1.0779239,0.69202936,0.9065077,1.0278826,1.2961996,0.70977914,1.0918695,1.0894225,0.95353204,0.9536764,1.0463796,0.9086895,1.2103255,1.2783777,1.2188414,1.0997202,1.265364,0.9612653,0.8563821,0.7358786,0.6999525,0.88146526,1.3493241,1.2980841,0.8626806,1.0951093,1.2064466,0.5519866,1.1209917,1.3454111,0.5117248,1.244678,1.0818242,1.1860807,0.7174871,0.9866176,1.1171086,1.1780354,0.72247416,1.0824925,0.88344777,1.2133449,0.6259906,1.0283589,0.82420486,1.3629035,0.6417546,1.1092447,1.0096395,1.0877663,0.9454804,0.9130399,0.82844806,0.7276472,1.1184504,0.77537215,1.4035354,1.1513181,1.1103754,0.89557743,1.2681267,1.463445,0.963345,0.7163401,1.0649142,0.9935709,1.1459168,1.2626628,0.6836337
