,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.0391399,1.2977464,1.0307139,0.7982469,1.1061122,1.2437422,0.94001347,1.2140973,0.94351995,0.8101176,1.3295811,1.0269012,0.763358,1.0388023,0.7365314,0.9867438,1.2697138,1.2886709,1.2949598,1.0138139,0.84165514,1.0999383,1.2282159,0.9258957,1.2380913,1.0382907,0.87832475,0.99447334,1.0531294,1.1765666,1.0537153,0.98612666,1.1281294,0.8866782,1.0090908,0.86271966,0.8529362,1.3333578,0.86111283,1.2932882,0.9400131,0.7287744,0.8238152,1.0553316,0.89095455,0.87582326,1.1346738,0.9561624,1.1356065,0.8869618,0.89722735,1.0404698,1.0212253,1.0734316,0.97105736,1.0510916,0.644586,1.2358592,1.2872899,0.81099445,0.94784266,1.0969832,0.93948424,0.80327046,1.2303858,0.9645467,0.9007349,0.85494596,0.9309504,0.8190148,1.0627319,1.050048,1.3020569,0.97872436,0.9379434,0.9448534,0.99945027,0.57960075,1.014861,0.96250623,1.3456733,0.9491378,1.1575477,1.0867677,1.206579,1.119394,0.78927577,0.84563255,0.88722557,0.8438005,1.3257203,1.2898748,0.8927597,0.9776503,1.0226355,1.0191046,0.9179936,1.309736,0.86702824,1.2163389,0.8133877,1.2364802,1.000724,0.8918669,1.0571387,0.9908663,0.8118988,0.8495718,0.92591333,1.018244,0.9470683,1.2502134,0.85753775,1.2836392,0.9680708,1.2106038,0.87189513,0.81206644,0.8935464,0.868997,0.9374566,0.9573681,1.0993526,0.84024715,1.3019998,1.1567507,1.1888543,0.8507805,0.9197972,1.1319089,1.0440869,0.9513505,1.0747108,0.9922927,1.1477845,1.3505236,1.0020397
ankle,1.0391399,0.0,0.97251755,1.1855184,0.75285256,1.1940309,1.0644296,0.8408725,1.2746179,1.2341459,1.118765,0.84996235,1.1634666,0.9884473,1.2896302,1.1236638,1.3435328,1.1236877,1.1467673,1.1273094,1.1996126,0.98341465,1.237254,1.2610995,1.1880764,1.2369187,1.2315313,0.84630996,0.8773532,1.2324915,1.2863867,0.9302481,0.9175068,1.0322458,1.1175828,0.9656802,0.982656,0.8421421,0.983337,1.176011,1.1401024,0.8468585,0.94859296,0.8751208,1.0075202,1.0540034,1.0085266,1.1456621,0.7155187,1.0443113,1.0241553,0.7324265,0.39920783,0.98650485,1.197176,0.49947655,0.8052148,1.1716169,0.54453933,0.8384813,0.7706417,1.1216258,1.151848,0.7159338,0.48260355,0.84785056,0.97764057,1.1842183,1.0543114,1.1243432,0.94961023,1.0004115,1.275674,1.1890739,0.7432673,0.9906891,0.716715,1.145286,0.9325347,1.2222843,1.1135151,0.7591241,1.1030455,0.5814628,0.47666883,1.0048977,1.092659,0.9634605,0.97365636,0.8287662,1.0273403,0.95180184,1.0371,0.88250786,0.9693438,0.913776,1.0617647,1.198831,1.1526706,0.9946369,0.9935831,1.2257069,1.0203023,1.0841651,1.1519547,0.7618935,1.2687372,0.8928678,1.0684911,0.86626756,1.2427572,1.0989672,1.1394793,1.3071305,0.971793,1.1135957,1.0598469,0.9789956,0.97387236,1.176025,1.0524241,1.2046399,0.9691576,1.2001474,1.2009007,1.2120223,0.3512407,0.51287085,0.9878943,1.1277113,1.2597225,0.7696222,1.1611253,1.2719012,1.142546,1.2581465,0.63575304,1.2235719
apple,1.2977464,0.97251755,0.0,0.90363747,1.4776647,0.4167686,0.2969743,0.90703344,0.83147836,1.4420481,1.4809561,0.6156126,1.27804,1.423452,0.61065567,1.3959023,1.0359919,0.5541264,0.2256881,0.33052385,1.2478731,0.9794902,0.9747019,0.57299465,0.6204907,0.80706763,0.8866905,1.317824,0.94525987,1.2288957,0.6428844,1.1159616,0.88627386,1.063373,1.1827197,0.96588886,1.3930708,1.1595893,0.29334772,1.4305217,0.3350569,0.9367778,1.129051,1.2443607,1.1974161,1.3809606,1.3590398,0.73566145,1.0833035,0.6191679,1.2624843,1.1740563,0.9027145,0.3893392,0.66541386,0.9682797,0.9830324,0.8978518,0.7957877,0.4599539,0.9909309,1.1904908,0.42918426,1.1862601,1.2527819,0.5088225,1.1425594,1.3968039,1.330229,1.0674344,1.4627688,1.3134713,1.1249061,0.46299434,1.1538862,1.1877222,0.9269062,1.1858846,1.4122981,1.2363774,1.2559752,0.2082659,0.9488053,0.7932247,0.8559511,0.19639349,1.091545,1.2071761,1.4442899,1.3416054,1.36909,0.45713025,0.5169809,1.2987778,0.7285436,1.0157448,1.0660089,0.91657406,0.28725255,1.1885518,0.23021388,1.3092464,0.8220547,1.2674991,1.1244715,1.0800056,1.0913194,1.391228,1.2639959,1.2214597,1.0891429,1.3626757,0.92887414,1.3505462,0.42707062,1.2107437,0.30003774,1.2964008,1.1667013,1.2570175,1.3287517,1.282174,1.3134463,0.9178143,1.518942,0.3530035,0.6038101,0.7795735,1.3949636,0.97909266,0.34201288,1.0786662,1.1105382,0.93743247,1.1061677,1.0128336,0.4988041,1.3051479
applesauce,1.0307139,1.1855184,0.90363747,0.0,1.2283533,0.59869117,0.5969877,1.041205,0.93076324,1.0948452,1.2796264,0.921345,1.0721593,1.1487693,0.838186,1.178249,0.8041937,0.98463154,0.96301407,0.7495633,0.99208933,0.94757104,0.95041394,0.6803433,0.90695345,0.8740245,0.9120913,1.2324898,1.1679232,0.9612032,0.8271058,1.1139089,1.1369319,1.039382,0.9730617,0.94081104,1.2188579,1.1868732,0.9570965,1.2095648,0.69403064,0.9807216,1.0505518,0.8427837,1.1059849,1.0974491,1.1533259,0.77113587,1.0386736,0.64653784,1.1955162,1.1972094,1.0204768,0.8676906,0.78651243,1.0115271,1.0619568,0.68431944,1.0426958,0.8627205,0.6747321,1.2136292,0.64396846,1.188741,1.0649388,0.7630333,1.1310263,1.1014153,1.0697625,0.9306063,1.1742308,1.0937005,0.993974,0.9686541,1.2089554,1.1146733,0.9460843,1.0331402,0.86566114,0.96530277,1.0662078,1.0701059,0.89593905,0.95842206,0.9947995,0.7972932,0.99276555,1.228658,1.1719074,1.2367295,1.122053,0.9960429,1.0162022,1.0452698,0.733569,1.0769705,1.2102368,0.9792072,0.9218838,1.1233981,0.83881295,0.9099502,0.9412807,1.1392884,0.9924556,1.0315214,0.7520583,1.2247202,0.81756043,1.0660499,0.9154419,1.2062874,0.9828128,0.94253767,0.81777877,1.2040473,1.080279,0.92226833,0.5785073,1.0030777,1.1980625,1.1001089,1.1638107,0.87859017,1.1708941,0.6395086,1.0676564,1.0989187,1.0275308,0.93701506,0.6701329,1.0529346,1.1411824,0.8602481,1.0205092,0.90136063,0.93368435,1.1597232
arm,0.7982469,0.75285256,1.4776647,1.2283533,0.0,1.4444191,1.569883,0.93812156,1.4070529,0.71195006,0.485712,1.361342,1.0116959,0.5266377,1.4809426,0.66524744,1.1837072,1.3980647,1.4130487,1.5629873,0.9456598,0.9994104,1.2667089,1.5364105,1.3785079,1.3896692,1.2228631,0.5678638,1.0299429,1.0762215,1.4105452,1.0224278,1.1803098,0.97545034,0.89860153,1.0702271,0.62003285,0.7873725,1.5241176,0.7013432,1.5129037,1.1516869,1.0166832,0.7935691,0.80489933,0.67701405,0.48666108,1.291944,0.9393679,1.2852271,0.66290885,0.6439196,0.84546334,1.5192108,1.3730788,0.89802927,1.0427289,1.2745198,1.1322681,1.463903,0.9907606,0.8795515,1.4353387,0.66865975,0.52219874,1.428047,0.7948581,0.7987348,0.79710835,0.95164835,0.5029336,0.84893125,1.1803017,1.4876914,0.74078965,0.8337466,1.0038707,0.90132797,0.641658,1.0884703,0.80992585,1.412621,1.2435151,1.119659,0.983121,1.3762136,1.0227998,0.75827175,0.46276474,0.6286782,0.58237404,1.4511638,1.4569881,0.67119324,1.2431837,1.0801513,1.019082,1.218021,1.5556546,0.7285792,1.4278975,0.93050706,1.3212075,0.770478,1.0276247,0.90142703,1.058748,0.45458436,1.0260012,0.87264675,1.1842586,0.68084407,1.1893128,0.8475911,1.5175608,0.87427384,1.2853444,0.8544487,0.9108744,0.91559815,0.7054776,0.8155251,0.6987202,1.2564222,0.5683854,1.5805892,1.1102684,1.0437026,0.685804,1.2131919,1.5668421,0.9718744,0.87640685,1.2005496,1.0176057,1.263756,1.2701713,0.820544
ball,1.1061122,1.1940309,0.4167686,0.59869117,1.4444191,0.0,0.27312112,1.0737853,0.7688297,1.2959709,1.3374696,0.80007404,1.2380683,1.257112,0.69154024,1.2042565,0.8022715,0.7746194,0.57258177,0.4937498,1.1152047,0.96111757,0.95202243,0.5857228,0.7410842,0.8955599,0.7882025,1.320128,1.1056198,1.1525228,0.61011,1.2390231,0.9885258,1.0601149,1.0595336,0.8731123,1.3623828,1.2665465,0.64617115,1.3203003,0.4940976,1.0867964,1.0718486,1.1011509,1.2476952,1.3065853,1.2478038,0.7224367,1.1011332,0.47344005,1.2743695,1.2551541,1.0319166,0.6313301,0.72657335,1.0690953,1.0246811,0.75010765,0.98548025,0.66298366,0.88533753,1.1338196,0.45563853,1.2651621,1.2224004,0.61327845,1.232877,1.2374227,1.225815,0.9580061,1.3369784,1.3028635,1.0566233,0.6959704,1.2507637,1.1213388,0.8572005,1.0843058,1.2049271,1.1352322,1.094139,0.68065727,0.91044956,0.96786654,1.0589114,0.4493211,1.1771896,1.136361,1.3025329,1.3528451,1.2452381,0.7397871,0.77713454,1.2555418,0.6908158,1.0503857,1.1024437,0.86442375,0.55184317,1.1384958,0.39743257,0.9853091,0.94300514,1.3430758,0.90564734,1.152434,0.9002872,1.3636723,0.9716893,1.2013178,0.9308496,1.2526138,1.0779734,1.0422522,0.64062214,1.124431,0.67572343,1.0894649,0.9346684,1.1271591,1.2352561,1.0999389,1.3474293,0.8932509,1.3422627,0.3546242,0.90571946,1.0384737,1.2349688,0.92552704,0.3840223,1.286917,1.1007442,0.87534344,0.99072164,1.0071901,0.78705776,1.2504501
balloon,1.2437422,1.0644296,0.2969743,0.5969877,1.569883,0.27312112,0.0,1.0222089,0.7280226,1.3428369,1.5301372,0.59363526,1.207428,1.432672,0.64841366,1.362349,0.91814035,0.59629285,0.469985,0.29942024,1.1337264,1.0112239,0.94418436,0.4145155,0.6857982,0.6748627,0.9349906,1.3737239,0.9157106,1.120514,0.49226427,1.0333339,0.8254515,1.0418284,1.1247188,0.9952198,1.3963838,1.2489151,0.42946178,1.4452472,0.29589063,0.8746916,1.0491095,1.2180703,1.1594038,1.3784363,1.3809478,0.6163579,1.0789601,0.5003517,1.3139908,1.304235,0.9899141,0.3903463,0.6840403,1.0449239,0.9407074,0.8099732,0.88383484,0.51187336,0.90702784,1.215948,0.402852,1.3156081,1.3192145,0.4621889,1.2102534,1.3523641,1.2669439,1.0256712,1.4671198,1.200012,1.0610766,0.48821545,1.1976388,1.1895329,0.86621606,1.1576259,1.3000841,1.1492875,1.2549235,0.43692708,0.8067523,0.7642202,0.9220425,0.43123257,1.0426947,1.2352519,1.455164,1.4038904,1.3433702,0.5352377,0.5588145,1.3583134,0.7131151,0.8628899,1.1491275,0.93178743,0.34970784,1.2519306,0.42854822,1.1986988,0.70235527,1.2876034,1.0775379,1.1266085,0.98606855,1.4753133,1.088071,1.2134975,1.0241051,1.3167682,0.7691487,1.1843969,0.48228157,1.1565292,0.5764511,1.1576254,0.9766998,1.2350836,1.3745325,1.3036182,1.3751609,0.9070181,1.5038307,0.2591145,0.76570773,0.89935696,1.3372718,0.85783005,0.3851186,1.067907,1.1848761,0.912923,1.1175134,0.92086715,0.61701477,1.249
banana,0.94001347,0.8408725,0.90703344,1.041205,0.93812156,1.0737853,1.0222089,0.0,1.2744722,0.9260013,1.1296438,1.1399947,1.1955642,1.0435675,1.0934281,1.1314768,0.9446585,1.0955412,1.1061716,1.0132341,1.1254668,0.8527365,1.1469852,1.012517,0.8373611,1.2525518,1.0652604,0.8897355,0.9343636,1.2766054,1.1603129,1.1377827,0.9926112,1.0214627,1.028794,0.7826716,1.1366742,0.74119544,1.0239829,1.1624963,0.9076113,0.9275705,1.0880586,1.059569,1.17156,1.0406169,1.0308008,1.2122955,1.0063004,0.886047,0.9194916,0.88031566,0.7929559,0.94264436,1.2285696,1.0092322,0.96505827,0.7590186,0.9157998,1.134835,0.84147894,1.0220982,0.8296649,0.9023446,0.82348,1.0734909,1.0191298,1.0367198,1.0788423,0.7559582,1.0441366,0.8864397,1.2618649,1.2111127,0.91886544,1.0081382,0.56934536,1.0919878,0.77538776,1.176277,0.89215636,0.97318566,1.1644646,1.0277716,0.9318036,0.8830557,1.23731,0.98685056,1.0107882,0.9436004,0.98894745,1.0592359,1.056416,0.9061619,0.76531684,1.1483269,0.9316533,1.0572495,1.07768,1.0260253,1.0574204,0.98947394,1.0919169,1.1451286,1.0548905,0.9863518,1.0138136,0.9792608,1.1019595,1.1403133,1.1331964,0.98867196,1.0546392,0.8194015,1.1240163,0.92392397,0.9591347,1.0686011,0.9364493,1.0044239,1.0729424,1.0900059,1.0084257,1.2156503,1.1403749,1.0573647,0.8885393,0.7798737,0.80710846,1.2170116,0.97631466,0.8536306,0.9756867,1.2158043,1.1030065,1.2821925,1.0253936,1.1512679
basket,1.2140973,1.2746179,0.83147836,0.93076324,1.4070529,0.7688297,0.7280226,1.2744722,0.0,1.2118131,1.2162023,0.5180758,0.86438847,1.1938385,0.7641355,1.0840597,0.8931354,0.5453973,0.74674475,0.65157056,0.72241545,0.99241805,0.839241,0.5744276,0.8470442,0.48288995,0.93522483,1.2724762,0.9666381,0.7323748,0.65889883,0.82471526,1.04787,0.81195176,0.9843854,0.97728807,1.0609432,1.1126341,0.6961817,1.0673662,0.64834106,0.97283566,1.0179964,0.9496216,1.026758,1.0396243,1.2123739,0.69231135,1.2338942,0.8991568,1.2118034,1.3645712,1.2181737,0.7920644,0.7505912,1.0164298,1.160312,0.92984784,1.019173,0.7838383,0.9117482,1.2457976,0.7141434,1.3232378,1.3388059,0.7798785,1.1069562,1.3122759,1.0818752,0.98545456,1.2423728,1.0861584,0.77411294,0.60322297,1.1347106,0.98359734,1.0233951,1.1061909,1.2279899,1.0193461,1.232461,0.9217778,0.7001766,0.9116516,1.1927111,0.91404504,0.63840556,1.1245322,1.2648598,1.2903736,1.2948962,0.73151046,0.7463094,1.3179121,0.93142027,0.660597,0.8376094,0.8884171,0.6664043,1.0914258,0.78426516,1.006059,0.4608642,0.9685131,1.0348953,0.9674265,1.0117348,1.3317738,0.79294884,1.0241176,0.97963053,1.2651281,0.79842937,1.185996,0.5682503,1.2220697,0.8995377,0.91696894,1.1989427,1.2128891,1.2218972,1.1617812,1.2764384,0.8976145,1.2090166,0.6615602,1.0926683,1.1378152,1.3548198,0.7313654,0.6360661,0.9079625,1.1755778,0.7248534,1.0496479,0.786962,0.8061975,1.1075923
bathtub,0.94351995,1.2341459,1.4420481,1.0948452,0.71195006,1.2959709,1.3428369,0.9260013,1.2118131,0.0,0.525476,1.4586959,0.676174,0.82785404,1.2398055,0.70641375,0.7556367,1.26339,1.3264924,1.2231258,0.47825956,1.1430852,1.0870633,0.96579134,1.3011551,0.87982523,1.0503528,0.86263674,1.0029321,0.8626156,1.2624283,0.9616955,1.0842475,1.1350783,0.925568,1.1037612,0.6086605,1.0213977,1.4472314,0.536661,1.2629832,1.2018733,1.0606377,1.1140859,0.84792066,0.48365617,0.7851696,1.2989652,1.1133468,1.1749895,0.7223822,0.8899323,1.3237588,1.3797063,1.2641248,1.3106987,1.1628815,1.2238512,1.2968976,1.5238492,1.3427291,0.6808958,1.3615024,0.9195697,1.0964938,1.4210594,0.8966474,0.5704745,0.75309324,0.8995091,0.70261353,0.82896006,0.9266546,1.3643739,1.0318012,0.91269743,1.191777,0.8593279,0.84385324,0.8378786,0.7375223,1.4267724,1.1865889,1.414983,1.2777146,1.3215349,0.96157944,0.9403571,0.7110214,0.745429,0.6749677,1.4205525,1.3249078,0.8030712,1.3250271,1.0585293,1.0042974,1.0480683,1.3603187,0.8192762,1.4374986,0.7446585,1.1536368,0.69735134,0.85669637,1.1763822,1.0180887,0.7467843,1.0851924,0.96011436,0.97611475,0.6089647,0.8155869,0.3142919,1.4783561,0.6936729,1.2325975,0.96936506,1.0335445,0.72282726,0.7644969,0.68886554,0.7522741,1.1360784,0.45255357,1.2514436,1.457001,1.2549467,0.76416326,1.1520236,1.3436446,1.0771003,0.7506522,1.0558138,0.90109843,1.0554116,1.5016097,0.65079993
