,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
crayon,1.3155054,0.7404499,0.3778398,1.4236866,0.46902752,0.4200372,0.42622024,0.77704096,1.4771227,1.5331361,0.7438626,1.050796,1.4263421,1.1130413,1.3730481,0.937486,0.67775404,0.25751674,0.28441036,1.1733229,0.3525226,0.56370723,0.75744015,0.7603153,0.528246,0.76819307,0.37883127,1.2987953,0.99887145,0.48683363,1.2206115,0.75460446,1.4599665,1.284985,0.0,1.4931439,0.24980283,0.8802879,1.1050231,1.2292349,0.78889644,1.2213967,1.1497699,0.47897017,1.3438032,1.280924,0.931477,0.97067845,0.59794164,0.8814633,0.87647533,0.48998797,1.1200261,1.229679,0.46405864,0.64688146,1.3302361,0.6134655,1.3800917,1.2162969,0.805831,1.4764544,1.048814,1.3209693,0.9937905,1.5325997,0.7236417,0.8053671,0.2970624,1.3532113,0.61335987,1.0454606,1.3457844,1.2276758,1.1579844,1.2242817,0.3375988,0.50206614,0.6383345,0.4421065,1.2008343,0.7465366,1.5716019,1.4365532,1.3075016,0.611531,0.22937745,0.93164784,1.2370133,1.2243682,0.846477,1.1722792,0.94412935,0.38188136,1.197747,0.64187545,1.0515859,1.2793009,0.59877187,1.3774629,0.9499412,1.1317397,0.8728629,1.4920089,1.234375,1.3343248,0.9747348,1.356897,0.99281764,1.3297311,0.2609887,1.2147208,0.73860025,0.78925604,1.2746454,0.3653649,1.2169966,0.7325521,1.4301811,1.3524495,1.3612579,1.4729041,0.398888,0.6463791,1.0845435,0.92275393,0.6472447,0.3505435,1.0895156,1.2904869,1.3674104,0.94736147,0.65843475,0.39558208,1.4197056
crib,0.7351869,1.3621503,1.5139523,0.8092109,1.403464,1.448243,1.3225539,1.0680041,0.4929849,0.33876193,1.290592,0.678063,0.8848079,0.9494974,0.53322226,0.8521335,1.1505458,1.4545875,1.3819375,0.7274937,1.386157,1.0455674,1.0720619,1.2637177,1.1322929,1.0634943,1.3307348,0.9333613,0.6539768,1.357778,0.5033759,1.1779702,0.5112746,1.0014491,1.4931439,0.0,1.4447694,1.1606004,1.0745139,0.6859033,1.0144222,0.94793856,0.92692375,1.391987,0.8690982,0.896754,1.2904502,0.9634366,1.2454603,1.0617473,1.2974981,1.3072748,0.9873373,0.7383966,1.4451096,1.3696833,0.71649575,1.3372967,0.8899531,1.0773411,1.3254864,0.76194525,0.89162064,0.775117,1.1141596,0.71354264,1.1275659,0.72350585,1.3613024,0.8729796,1.3196962,1.0317419,0.9294374,0.7535951,0.7925736,0.938856,1.4452226,1.2938361,1.4380523,1.3829273,0.8338872,1.2714977,0.76698554,0.8358744,0.8482089,1.237155,1.4053994,1.1934416,0.92186373,0.92588466,1.020564,0.9103341,1.0448148,1.370276,0.9890942,1.4271036,1.01357,0.744362,1.3737649,0.61002517,1.1473522,1.0155965,1.0101426,0.84620064,0.9337126,0.9157852,0.8931109,0.76116645,0.8672508,0.66122556,1.5367165,0.9329772,1.2548045,1.3093609,0.9010022,1.394114,0.80024076,1.1586874,0.61245793,0.76279676,0.65143484,0.42383265,1.4358377,1.41085,1.1552722,1.0958319,1.0660355,1.3429866,0.89769655,0.80688417,0.6065389,0.9040711,0.9433927,1.5113472,0.4753726
cup,1.4248838,0.7455299,0.32221723,1.4817262,0.3544389,0.30401707,0.6039665,0.65124583,1.3965862,1.5331206,0.8357083,1.0920409,1.4269621,1.1257862,1.4319007,1.0649086,0.68903,0.10178429,0.11684364,1.0617546,0.41534758,0.7283443,0.55005276,0.74225104,0.36314338,0.6802901,0.3204953,1.2777596,0.9040023,0.3824427,1.3158159,0.7229934,1.4231826,1.2908683,0.24980283,1.4447694,0.0,0.77480537,1.0396032,1.1724911,0.7946577,1.2994637,1.1312342,0.5152482,1.2981654,1.2721082,1.043821,0.84801465,0.72061783,0.78540385,0.96811646,0.6716508,1.168016,1.1694384,0.43412352,0.62444484,1.3359503,0.65387684,1.3799012,1.3200281,0.6798899,1.4230816,1.2518656,1.3888202,0.9367481,1.5195384,1.056145,0.7579292,0.17595303,1.3786618,0.6412863,0.9730262,1.4425367,1.2370577,1.1818874,1.1898949,0.28621113,0.5040166,0.72739446,0.4971794,0.95048183,0.7047458,1.5651828,1.4598422,1.3544168,0.9605962,0.31124592,0.8431582,1.2847569,1.3301147,0.8021959,1.1742756,0.8917673,0.29732066,1.268904,0.56691045,1.0012653,1.1260061,0.66023904,1.1736708,0.8848129,1.1767626,1.0519712,1.4754217,1.2830795,1.321995,1.202271,1.3376412,0.8312862,1.416193,0.27037466,1.2312423,0.54329234,0.7548895,1.1744801,0.52240944,1.2660213,0.7675636,1.4040858,1.3529822,1.4215968,1.4501846,0.3208989,0.7006613,1.1144894,1.1697644,0.7096989,0.4172079,0.9892186,1.2500799,1.3434254,0.86579967,0.7137624,0.3724767,1.319624
dog,1.1899054,0.92851937,0.83896136,1.0746474,0.89875686,0.8213304,1.0184997,1.1137139,1.1640465,1.18593,0.9856529,0.9630994,1.071749,0.97721595,1.1018007,1.1688967,1.1829486,0.82321167,0.82996786,1.2856354,0.77257025,0.9199477,1.0171536,0.78633624,0.8542024,0.87137413,0.8124695,0.54390764,0.9466207,0.8823174,1.0832633,0.98407507,1.16167,1.0805516,0.8802879,1.1606004,0.77480537,0.0,0.9721069,1.1414005,1.0145342,1.0314099,0.92473406,0.8350222,0.96289665,1.1134646,0.9854665,0.9369036,1.0833409,0.94579667,0.84622717,0.94506526,1.1809006,1.0242498,0.68276346,0.624552,0.89823294,1.0776519,0.9825115,1.0515275,0.71832114,0.8549834,0.97196555,0.94907624,1.2068586,1.0309907,1.1616656,0.9412985,0.73547435,0.9665842,1.0591841,1.114674,1.1923968,1.1785393,1.1497765,1.0102457,0.6943604,0.7883091,0.77634203,0.93797433,1.1439469,0.9508362,1.1182436,0.94059604,1.2390939,1.1446456,0.82410336,0.55559325,1.1985201,0.78026766,0.9644387,1.3045311,1.0190612,0.9213898,0.86608183,0.859585,1.0472221,1.2089536,0.9388654,1.2264163,0.7544768,1.1526349,1.202452,1.0692375,1.2264018,0.8644418,1.0598536,1.1245724,1.0674952,1.2123072,0.68496484,1.0545521,1.0105858,0.93131596,1.0793295,0.9749673,1.1454036,0.81342256,1.1073122,1.0842707,1.0692804,1.105227,0.84710777,0.73560673,1.038515,1.2904382,0.9254496,1.042496,1.2516847,1.0444914,1.1477451,0.8046815,0.9871989,0.7426059,1.0952461
doll,0.9852167,0.88105786,0.9359323,1.0868955,0.93753755,0.98138434,1.0783255,0.9248986,1.227661,1.1110038,0.98497915,1.0320793,0.903376,0.94948226,1.0439669,0.9617657,0.9122536,0.9550655,1.0820932,0.98642623,1.1704334,1.1146377,1.0367937,0.9313013,1.1022615,0.9036417,1.1380104,1.0855547,0.96567357,1.0159997,1.1521308,0.94497305,1.0736793,1.1317599,1.1050231,1.0745139,1.0396032,0.9721069,0.0,0.97255516,1.1413054,0.99274856,0.947368,1.0712867,0.96551454,1.0090733,0.89237773,0.93925774,0.8311818,0.879001,0.8894527,1.1546003,0.84927183,1.1987094,1.113527,0.6835259,1.0773444,0.73337245,1.048978,0.8600996,0.94087577,1.0634366,1.0626556,1.2174933,0.83327043,1.1797814,1.1180134,1.0018823,1.0437305,1.0477738,0.9407179,0.9566933,0.87047863,1.0321023,0.85347664,0.7307105,1.0989203,0.8637358,0.93810076,1.09727,0.9690734,0.846262,0.96612877,1.1016701,1.0079314,1.0941814,1.117573,0.7230327,1.0956624,0.9751724,1.0656953,0.8415596,0.91415685,1.0274822,1.0506879,0.8489423,0.8637136,0.9767067,1.1144136,1.0072645,1.0756333,1.0030556,0.98029673,1.0460913,0.9102919,1.0158477,1.0656486,1.2637892,1.29022,1.049865,0.97171116,1.2512145,0.92108685,0.9032588,0.90372634,1.0195206,1.1583836,0.8635337,0.9360047,1.1656249,1.0363333,1.0220624,0.93464184,0.8717894,1.0083122,0.86962485,0.8525755,0.86044455,0.83164966,1.1532398,0.9889527,0.9946307,1.0726329,1.0568167,1.0740913
door,1.17782,1.085797,1.2357028,0.879067,1.2778941,1.2197113,1.3072622,0.99480975,0.86670977,0.7231188,1.0101402,0.87511003,0.99659973,1.1377698,0.9260506,1.2399288,1.0571673,1.1924891,1.204673,0.7904147,1.1086851,0.8311269,1.185287,1.0344971,0.8604523,1.1197159,1.0546032,0.99646616,0.7605533,0.99900657,0.76661,1.0964379,0.6606086,1.1785673,1.2292349,0.6859033,1.1724911,1.1414005,0.97255516,0.0,0.8238754,0.9514878,1.1538956,1.1972,1.0032152,0.9962901,1.102008,0.8520117,1.2622504,1.0061535,1.0245614,1.0490052,1.2662807,0.9646841,1.1924577,1.0859946,1.0009573,1.2594253,1.0394111,1.0651027,1.2648903,0.9712147,0.96639067,1.0625832,0.99884963,0.8616648,0.9204222,0.8105967,0.97724843,0.92231363,1.1908305,0.9806397,1.1172202,0.78309184,0.9793087,0.8707188,1.2143013,1.0228349,1.0626062,1.1681384,0.53589106,1.1325145,0.91129285,0.9083573,0.9941081,0.9029579,1.1874689,1.0207527,0.9944906,1.028874,0.74184483,0.97003055,1.0525099,1.1881719,1.1034145,1.2603163,1.1398307,0.9324046,1.1365415,0.41363108,1.1318982,1.062652,1.2296472,0.913314,1.0813438,0.92527384,0.9793407,0.6461952,1.0006646,1.1276681,1.2640109,0.84042937,1.0934587,1.0911132,0.98672324,1.1636422,1.0257375,1.0245663,0.91211104,0.9240993,0.90335464,0.8533439,1.2060244,1.1855489,1.0475551,1.0419235,1.0543765,1.3363364,0.89246327,0.8818048,0.874668,0.9601521,0.65651715,1.204827,0.54210234
drawer,1.2102408,1.0396123,0.9435905,1.1384485,0.9527726,0.9086722,0.92927593,0.7423649,1.0507821,1.1086795,0.89679277,0.79423136,1.2184341,1.0601733,1.1651336,1.0572014,0.7601975,0.83565533,0.8049924,0.80951476,0.64906406,0.7348409,1.031918,0.88563985,0.79144657,0.93822515,0.85750705,1.120466,0.8765806,0.6844707,1.0641705,0.94785285,0.9614047,0.94452757,0.78889644,1.0144222,0.7946577,1.0145342,1.1413054,0.8238754,0.0,1.1221089,1.0374782,0.9708857,1.2125552,0.99851143,1.1408863,0.8988604,1.0741159,1.0680385,1.0853608,0.79251474,1.174711,1.0470128,0.9153502,1.0360378,1.1277661,0.96400595,1.11643,1.2020354,1.093662,1.1732148,1.099052,1.2183197,0.96421796,1.1517909,0.79166657,0.7904589,0.6771499,1.0528592,0.935373,1.0424578,1.2034813,0.75780547,1.0352982,1.0142158,0.882308,0.915031,1.0239946,0.92427087,0.8322528,0.9521239,1.1896864,1.1995875,1.0155288,0.89566165,0.80023396,1.1056955,0.90836,1.1986974,0.8054878,1.0665652,1.1357684,0.7832755,1.1825176,0.98905575,1.0590843,1.0191749,0.9454317,0.9790788,1.0217068,1.0675375,1.0540076,1.2062652,1.0514166,1.1822821,1.0248964,1.0976738,0.8800715,1.1758201,0.88941044,1.1029978,0.9336344,0.9246784,1.0233052,0.86501455,1.0811887,1.0765119,1.0242296,1.1145405,1.0846423,0.9811269,0.82628953,1.0882114,0.9780485,1.1663398,0.94180745,0.92811805,0.905819,1.138221,1.0090785,0.89332294,0.7358695,0.9045018,1.0252848
dress,0.801389,1.1883042,1.2173811,0.818231,1.1923233,1.1774914,1.1175895,1.1656299,0.9411834,0.95192915,1.1179577,1.0680197,0.2660116,1.070088,0.8657093,0.88309294,1.2048438,1.2336583,1.3352685,1.1052073,1.200085,1.0687528,1.1435745,1.0369085,1.2405652,1.0981411,1.1947491,0.9450693,1.1834612,1.238148,0.92484915,1.232724,0.93989784,0.91136503,1.2213967,0.94793856,1.2994637,1.0314099,0.99274856,0.9514878,1.1221089,0.0,1.0524601,1.1361246,1.0458217,0.9342342,1.0127186,1.137843,1.0471369,1.1284473,0.9445331,1.2240052,0.9758543,1.0280588,1.2044954,0.96764946,0.9439213,1.1341864,0.78401566,0.8492511,1.0418931,0.9273642,0.9362436,0.8412771,1.010242,0.75273,1.1758399,1.1845309,1.3586966,0.84829813,1.1373533,1.0185794,0.66739374,0.94656134,1.0553843,0.9778689,1.2219262,1.1321652,1.005663,1.1331437,1.0494097,1.0511638,0.59330326,0.63351107,0.8363543,1.0757729,1.2040945,1.0064135,0.83764994,0.8379053,1.1358434,0.79199433,1.1412723,1.279298,0.9310565,1.2035813,1.144096,1.0810139,1.0877233,1.041571,1.186061,0.78041685,1.0963056,0.5511695,0.79149103,0.59637535,0.9475101,0.96030945,1.1930077,0.80990744,1.2376608,1.04671,1.1274092,1.027037,0.9192899,1.3193319,1.0240252,1.088111,0.93949026,0.87492,0.83754236,0.8990258,1.2895956,1.0758567,0.9895221,0.97417396,1.0823021,1.1673471,1.1465704,1.0243176,0.99433315,1.04025,1.1862364,1.2159852,0.98671365
duck,0.73115814,1.1505972,1.0998406,0.98618686,0.95201164,1.0185509,1.0435828,1.0281852,0.89261967,1.0000999,1.1628857,0.996381,1.0544306,0.100307226,1.0139558,0.940251,1.0771391,1.0569626,1.0914583,1.0364316,1.1419584,1.1366467,0.9259326,1.0717435,1.1830964,0.9894845,1.1967353,0.8685351,1.0358076,1.0086921,1.0359987,0.942667,1.0094008,0.91874355,1.1497699,0.92692375,1.1312342,0.92473406,0.947368,1.1538956,1.0374782,1.0524601,0.0,1.1906931,0.9823799,1.0470469,1.1941422,1.0852377,0.8825768,0.9415206,1.2963679,1.1814456,0.4377172,0.96464217,1.2357364,0.9487582,0.9544844,1.0082693,1.0140208,1.0938942,1.0776649,0.98988897,0.99665207,0.9860438,1.0053045,1.0421429,1.0248108,1.0182745,1.1261325,1.088763,1.0690011,1.0431058,0.93063205,1.0290396,0.81846774,1.0559667,1.1878824,1.1817678,1.25892,1.1521138,1.119393,0.89625835,1.0175784,1.0958047,0.94152826,1.2028048,1.1963133,0.88280374,1.0641484,1.0250722,1.2686712,1.0185062,0.8578237,1.0714556,0.9524056,0.9442806,0.8764406,0.98535746,1.2113212,1.0883398,0.8796971,0.89951813,0.78426075,1.0393631,0.9051095,1.0678921,0.93497115,0.9275973,0.93762004,0.9243053,1.16121,0.9290117,0.987395,1.0494144,0.82530564,1.1086183,0.5490472,1.1367223,0.9339985,0.9964543,0.9547785,0.9274782,0.9910541,1.1790448,1.094215,1.0614065,1.1009269,0.8920825,0.9747123,0.9390808,0.9671325,0.97241265,1.1058987,1.2037051,1.0280393
egg,1.3534828,0.5522057,0.40234238,1.2082132,0.650473,0.543303,0.8440622,1.0092078,1.4471226,1.3693504,0.789817,1.2044392,1.1874628,1.2061806,1.3727983,1.1848378,1.0841376,0.6145661,0.59226084,1.3189063,0.48843026,0.92387086,0.9739343,0.73168737,0.69646674,0.9452052,0.36468518,1.1217126,1.1634816,0.80668354,1.2307544,1.0792416,1.2617762,1.0227495,0.47897017,1.391987,0.5152482,0.8350222,1.0712867,1.1972,0.9708857,1.1361246,1.1906931,0.0,1.2094369,0.96190995,0.5568842,1.1180761,0.8995539,1.0402501,0.63428354,0.49794298,1.282985,1.1940708,0.24805844,0.7223478,1.2847548,0.8173655,1.0160125,0.91530555,0.5102923,1.2121884,1.2490526,1.2600935,1.0998105,1.2697695,1.0840127,1.050472,0.628067,1.0270244,0.76276135,1.1536723,1.2271532,1.1707697,1.2841401,1.0779055,0.21949309,0.7519867,0.3613454,0.40492022,1.0952629,0.87735367,1.3115381,1.1987762,1.2729175,0.82963973,0.5417347,1.0000486,1.1387428,1.049812,0.86825824,1.3146465,1.1645116,0.77651703,0.9179147,0.68011785,1.2117165,1.2045753,0.2769519,1.2829628,1.0226876,1.108825,1.1168766,1.2113612,1.2711684,1.0417755,1.2698061,1.2995563,1.1593466,1.3178444,0.32990354,1.1625893,0.984914,0.8817784,1.3300965,0.8110574,1.2809141,0.7986872,1.2701685,1.2156677,1.3148202,1.4265778,0.549284,0.3987552,0.8519428,1.1290023,0.9433143,0.8004391,1.300936,1.2690969,1.2334965,1.0354956,0.9773905,0.29595768,1.3588016
elephant,0.73629487,1.2371551,1.2649866,0.6541697,1.1796582,1.3149905,1.1668746,1.2191494,0.89998454,0.7174771,1.2806054,1.1395133,0.7959732,0.9609334,0.8218943,1.0036036,1.1589754,1.2716941,1.3089312,1.1401979,1.2931124,1.2085091,1.2576114,1.35131,1.3506986,1.1252621,1.203879,0.9856581,1.171171,1.251853,0.7780265,1.0915251,0.8819641,0.861882,1.3438032,0.8690982,1.2981654,0.96289665,0.96551454,1.0032152,1.2125552,1.0458217,0.9823799,1.2094369,0.0,0.8593684,1.0375952,1.0714861,1.3236221,1.0621825,1.1149131,1.2778485,0.970416,0.85984915,1.2479129,1.3279543,0.64684355,1.1303294,0.8502614,0.8922051,1.2619945,0.53107285,0.9633092,0.8099598,1.0280174,0.67025745,1.176621,1.1981957,1.2993648,0.7441074,1.3193531,0.9828699,0.9152129,0.9959433,0.96117985,0.968919,1.221485,1.4116783,1.2174827,1.1810784,1.0843939,1.1165216,0.6223368,0.7474756,0.7746594,1.2756929,1.2262088,1.1814343,0.9430442,0.707441,1.276197,0.9938919,1.0259486,1.3352497,0.67646116,1.0902467,1.2379495,0.9605474,1.1697628,0.88705546,1.0951549,0.99619323,0.95108175,0.7275368,0.86875266,0.9163397,0.89435625,0.85466796,1.0454015,0.7509964,1.2972336,0.833146,1.1264828,1.1646014,1.0244756,1.3119075,0.78207946,1.1628759,0.82261395,0.8912648,0.6155933,0.8528618,1.3196387,1.1163672,1.0128012,0.9794315,1.3915389,1.3194871,1.183851,0.7536781,0.8082856,1.1305237,1.251276,1.2908568,0.77987623
face,0.8599533,1.0133265,1.1027241,0.7964053,1.2100157,1.1621985,1.150698,1.2510594,0.92407113,0.84451693,1.1303694,1.13233,0.7624552,1.0499398,0.95616424,1.0289772,1.2313097,1.2955345,1.241879,1.1160948,1.1438284,1.180125,1.18722,1.1861417,1.2606028,1.1152519,1.0286586,1.0114448,1.2029533,1.3181133,0.9587205,1.1888431,0.90683204,0.81453824,1.280924,0.896754,1.2721082,1.1134646,1.0090733,0.9962901,0.99851143,0.9342342,1.0470469,0.96190995,0.8593684,0.0,0.8370012,1.1094587,1.1655186,1.135859,1.0030776,1.135483,1.008481,0.99391913,0.9281932,1.2570497,0.9451841,1.1509732,0.5042364,0.7702213,0.82759297,0.62240225,1.029595,1.0329385,1.0790212,0.83734053,1.1443762,1.1831484,1.305112,0.77353483,1.1797745,1.0689334,0.9120072,0.8890183,0.97608346,0.9198275,1.0410796,1.3499197,0.93234384,1.1200995,1.028767,1.0984582,0.75984377,0.8658781,0.91475904,1.1443601,1.2169375,1.1493526,0.9065592,0.9713181,1.1732134,1.0466578,1.1233906,1.3218,0.8897493,1.1791017,1.1864585,0.96025294,0.89647347,0.91043204,1.0788931,0.94216144,1.0091503,0.76741755,0.9990142,0.92335844,1.0204298,0.94826454,1.0559026,0.868379,1.1676774,0.961075,1.226434,1.2169257,1.0249064,1.2530285,0.90055585,1.2454056,0.82606244,0.7287502,0.8529574,0.93922335,1.2110586,0.92603827,0.9465621,1.0065745,1.3310117,1.2490582,1.1487911,0.94443846,0.8867326,1.1175354,1.219028,1.0734451,0.9198142
finger,1.2492591,0.58794034,0.783419,0.7728347,1.0897007,1.0056893,1.0388733,1.1813613,1.2528815,1.2012656,0.66405267,1.2096359,1.0320824,1.2119685,1.2364146,1.2516246,1.0383092,1.1117529,1.0688891,1.2114166,0.9091429,1.1316917,1.156641,0.7650566,1.1173627,1.184,0.85330343,0.95558673,1.2304486,1.1161314,1.2619843,1.1049352,1.1553226,0.86957896,0.931477,1.2904502,1.043821,0.9854665,0.89237773,1.102008,1.1408863,1.0127186,1.1941422,0.5568842,1.0375952,0.8370012,0.0,1.1566002,1.062459,1.1917219,0.37219197,0.7480715,1.2050134,1.155139,0.6131568,0.8148311,1.2200832,0.7165263,0.8261527,0.20543581,0.7325348,1.0332781,1.0845459,1.1505843,1.0331616,1.0086943,0.8756807,1.2252549,1.1118459,0.7398224,0.90544885,1.1125176,0.7757213,1.1488581,1.223561,0.80571747,0.74430764,1.0063642,0.43488097,0.8311274,1.0429752,1.1534395,1.0238141,1.0406107,1.0400978,0.6287806,0.89635926,0.9894494,0.92845154,0.6960534,0.98140174,1.1578704,1.1555529,1.075514,0.8328905,0.8754188,1.173569,1.1219232,0.56369865,1.1949787,1.0365716,1.14145,1.1550213,1.0562966,1.0784053,0.98340267,1.2201076,1.1599406,1.217685,1.2073076,0.6875664,1.085132,1.1346164,0.87746173,1.0533911,0.94221276,1.2444501,1.0423793,1.162493,1.1422627,1.2422622,1.2763379,0.9999216,0.2808106,0.61164707,0.6651876,1.1363157,1.1566331,1.1081339,1.2437181,1.1458497,1.198252,1.2034718,0.623972,1.2515905
firetruck,1.2481878,0.93478656,1.0193058,1.0940434,0.96926105,1.0012999,1.0527899,0.825121,1.1602961,1.1296041,0.91485685,0.79299235,1.1727678,1.0697552,1.0799854,1.1161001,0.8870967,0.8644676,0.9137057,0.9270395,1.0464469,0.84928644,1.038896,0.9840299,0.81184655,0.6265554,0.9616625,1.0130284,0.6526927,0.862353,1.0498987,0.69132197,1.0760715,1.2038151,0.97067845,0.9634366,0.84801465,0.9369036,0.93925774,0.8520117,0.8988604,1.137843,1.0852377,1.1180761,1.0714861,1.1094587,1.1566002,0.0,1.1237035,0.7760552,0.9261435,1.1108382,1.2005144,0.9379988,0.9493801,0.86645055,1.1345489,1.0418805,1.0870942,1.1523015,0.9838069,1.0525964,1.0698372,1.0926626,0.96729225,1.098311,1.0073546,0.6713093,0.77189195,1.1744372,1.0299432,0.9995693,1.1717097,1.0320201,0.83717376,1.0625364,1.0131414,0.8360963,1.0261016,1.0606921,0.84370446,0.9302132,1.0739338,1.139572,1.0905509,1.0888407,0.9345036,0.8574924,1.1397884,1.1451578,0.91954523,1.0869058,0.8782467,0.8487217,1.1876833,0.9764167,0.77786845,1.0360671,1.1821823,0.855365,1.0294095,1.1496091,1.0844105,1.1389172,1.0427245,1.1252557,1.0098988,1.0795662,1.0232857,1.2187192,0.94664353,1.1133678,0.89281714,0.9953315,0.99985594,0.83639693,1.2147726,0.8331655,0.8584941,1.0538228,1.0866437,0.96597034,0.9600631,1.0828974,1.1044092,1.0775685,0.9450663,0.9980243,0.90123415,0.98259073,0.903626,0.5774591,0.6967286,0.9537113,0.79442275
fish,0.86467886,0.8289368,0.7207674,1.3517947,0.6784223,0.53646547,0.6251111,0.90313977,1.0922804,1.3377658,0.9338507,1.0796319,1.2248846,0.8449683,1.0951908,0.6160774,0.7756602,0.65742815,0.6408418,0.9389159,0.81475997,0.96991915,0.55299497,0.8807151,0.8171971,0.94083,0.9602829,1.1322074,1.0673879,0.78693116,1.0983866,0.93842465,1.2736782,1.1775155,0.59794164,1.2454603,0.72061783,1.0833409,0.8311818,1.2622504,1.0741159,1.0471369,0.8825768,0.8995539,1.3236221,1.1655186,1.062459,1.1237035,0.0,0.9373531,1.021612,0.7902181,0.5974887,1.0944664,0.9620661,0.67113125,1.2229656,0.61816084,1.2884697,1.1161945,0.9110562,1.3839142,1.0678253,1.1436157,0.89498305,1.3802264,0.91986537,0.9728238,0.85092986,1.3609692,0.5114563,0.9763914,0.87536776,1.2576051,1.0244347,0.97480285,0.9133085,0.6548287,0.9432379,0.67620414,1.200436,0.8848759,1.375176,1.3296878,1.179857,0.9283429,0.84161043,0.8621299,1.077307,1.1312982,0.97389483,0.83534145,0.9663002,0.64918363,1.1224245,0.72586876,0.740314,1.075764,0.8881361,1.3120726,0.95464885,1.0060624,0.68968976,1.2762692,0.9803834,1.2496479,1.0394193,1.2121036,0.9811679,0.929089,0.7627554,1.1449686,0.82968855,0.8653485,0.91351837,0.790779,1.1372007,0.8768199,1.3166671,1.1257954,1.319009,1.2344015,0.6714115,0.962989,1.1135353,0.9007303,0.58930576,0.30163062,0.84041405,1.1730666,1.3215535,1.1114556,1.055204,0.93982047,1.3132397
flower,1.1886355,0.9918008,0.76954806,1.2584314,0.76198745,0.7632617,0.88157564,0.83015347,1.188726,1.2522014,1.1118395,0.866115,1.1588931,0.9242722,1.1717209,0.9774667,0.96967167,0.72343,0.85752434,0.98211676,1.0696276,0.8126603,0.8517743,1.0634918,0.81474924,0.7400007,0.90725267,1.079107,0.7482381,0.8096439,1.0845151,0.77128816,1.2619379,1.2508297,0.8814633,1.0617473,0.78540385,0.94579667,0.879001,1.0061535,1.0680385,1.1284473,0.9415206,1.0402501,1.0621825,1.135859,1.1917219,0.7760552,0.9373531,0.0,1.0691911,1.1006998,0.93229544,1.0022906,1.0075771,0.8716293,0.9541204,0.97591436,1.1422718,1.2002221,0.98375964,1.0363909,0.95524716,1.2396847,0.9224756,1.2562772,1.1657159,0.7188318,0.77441573,1.262723,0.950567,0.9331036,1.2297564,1.1363355,0.9173447,1.1539317,0.96718895,0.87400985,1.0615466,1.0077016,1.008376,0.66679925,1.2484808,1.2394347,1.1737537,1.1528941,0.97383094,0.84806013,1.3226326,1.1421815,1.1325914,1.0835776,0.35972953,0.85454834,1.2200699,0.82762194,0.94896466,1.0821601,1.1155574,0.9895711,0.8243606,0.9382441,1.037364,1.2010415,1.0611835,1.1627393,0.8902025,1.0410581,1.1440066,1.1671916,0.9294916,1.0923761,0.8651029,1.0276221,0.95688426,0.8626333,1.0203539,0.7437149,1.1692579,1.0666263,0.9937053,0.993232,0.8323474,0.9985467,1.3034391,1.0919712,0.9532419,0.7687466,0.9100321,0.49255764,1.1421809,0.7885396,0.8368676,0.9897651,0.90423983
