,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
couch,0.66366154,1.298157,1.4765526,0.85173535,0.42558706,1.3390307,1.2739627,1.4425988,0.9929733,0.6849905,0.055771112,1.432229,0.4679643,0.5120562,1.0962286,0.3028729,0.96909827,0.8495858,1.472011,1.4336058,0.7442343,1.4208152,1.2285863,1.3727586,1.181781,1.4374897,1.0885876,1.2124959,0.9246315,0.6810392,1.1244364,1.4207302,0.5786615,1.1770582,0.9351616,1.2144753,0.0,1.3111082,1.5043006,0.39505255,1.4649308,1.0262787,0.70617414,0.7272285,0.86079943,1.1623697,0.633541,1.2965965,0.78145045,0.7788253,1.324604,0.9642859,1.2468907,0.98022735,1.2706589,1.4207718,1.0809574,0.6993933,0.7358847,1.3120825,1.2713988,0.44692647,1.2206953,0.79054785,0.8930348,1.0078976,1.2962286,0.57240283,0.8160698,0.7846516,0.6319734,1.17076,0.56914526,1.3716061,0.59948474,1.3805647,0.90343904,0.96759564,1.2655578,1.0295074,0.8780141,1.1664368,1.2447292,1.3863572,1.2431256,1.4641293,0.95843303,1.3571225,0.86966586,1.2838051,0.36232972,0.71331,1.0333258,1.4497113,1.4812614,1.2894198,0.97747105,1.0287918,0.46722597,1.0617435,1.2804251,0.96412396,1.1521363,1.0105646,1.3103938,0.7857506,0.7862173,1.1904272,1.0201653,0.72130287,1.255309,0.5555885,1.3125991,1.0298036,1.3588381,0.5204365,1.0602207,0.60881186,1.4964201,0.90309495,1.4494624,1.1737216,1.0840342,1.3116107,1.2891614,1.3871269,0.71350574,0.59356844,0.33548546,1.4042239,1.384213,1.4126025,1.4225246,1.182325,1.0892353,0.76397073,0.93559515,0.7207844,1.0965496,1.1338605,1.4204973,0.8079868
cracker,1.1915039,0.68330586,0.7695223,1.007368,1.083956,0.8906313,0.9737365,0.5979961,1.1706531,1.2961187,1.3040813,1.0087563,1.155642,1.098862,1.0954819,1.1655232,1.0862397,1.1154711,1.0408564,0.98604846,1.1841,0.45640004,1.0265352,1.0573583,0.84759784,1.0276875,1.1428509,0.5144175,1.1433418,1.1918985,0.6847676,1.0855014,1.2289284,1.124928,0.9580245,0.6339152,1.3111082,0.0,0.91592723,1.3789952,0.9974766,1.0124286,1.1005837,1.102201,1.1880605,0.92712295,1.119704,0.8669816,1.071896,1.0619,0.6489481,1.2354264,0.9227876,0.92178607,0.66080135,0.95972085,1.1150577,0.99459815,1.2160976,0.76375055,0.78713083,1.2102556,0.7907189,1.0163677,0.85575116,0.6036316,0.9200821,1.2930994,1.1658146,1.2506983,1.2446839,1.0300378,1.0635698,1.048111,1.2030265,1.1008576,0.8812228,0.89850837,1.0383877,0.67295,1.3102546,0.746423,0.598468,0.8400701,0.9862926,0.7924632,0.79828274,0.6489709,1.2147952,0.89940643,1.1887676,1.0382504,1.0077678,0.95262897,0.9149004,0.75582397,0.5302696,1.0542483,1.1229107,1.029572,0.8911802,0.9951092,0.6394319,1.1242473,1.1625488,1.2675326,1.1209668,1.1007973,0.8667805,1.2017307,1.0883019,1.1679146,0.9781886,0.9057117,1.0041457,1.3385623,1.253939,1.2276808,0.8740468,1.1765347,1.0622287,0.771172,0.9438328,1.0732245,1.0115147,0.6722156,1.2992517,1.1484865,1.2735105,0.9938687,0.68269277,0.6367278,1.012308,1.0115744,1.0149146,1.0918282,1.0820738,1.1933329,1.0268147,1.2675793,0.86642325,1.1674283
crayon,1.4984905,0.7929361,0.39630395,1.3048092,1.5105951,0.62455684,0.74571216,0.67194587,1.0413673,1.320555,1.5261583,0.20700407,1.5324223,1.5166852,0.9597075,1.4706968,1.1063483,0.91982883,0.19658947,0.38003206,1.2307862,0.69688207,0.67756003,0.6541364,0.82336456,0.4335338,1.035475,0.9485693,1.0947543,1.2704604,1.1177505,0.47653735,1.4937685,0.89472353,1.1980206,0.78815424,1.5043006,0.91592723,0.0,1.5945961,0.4350469,0.9925396,1.3170353,1.2477341,1.2326539,0.7897522,1.4521134,0.7736887,1.252897,1.3284184,0.6184287,1.162176,0.45854867,1.0942444,0.79893625,0.5481167,0.95855784,1.2593453,1.4873121,0.62268317,0.717348,1.371171,0.6711305,1.2879546,1.3860216,1.2141961,0.6104978,1.4466927,1.3836683,1.3201407,1.348382,1.0041214,1.4499507,0.57318896,1.418134,0.40576982,1.1295155,1.062568,0.8577054,1.2966206,1.3119773,0.8525537,0.9913064,0.22890198,0.6969508,0.4205668,1.1807194,0.5994408,1.3058069,0.8300774,1.5062727,1.3980944,0.8851844,0.11230898,0.085567355,0.80683386,1.2267325,0.7562126,1.286536,1.0753107,0.68295336,1.1647506,1.0179514,1.0610152,0.5814186,1.3747303,1.1165648,0.79995865,1.1288618,1.2203308,0.6307574,1.525029,0.7195027,1.0459322,0.5280835,1.415618,0.91260153,1.4024042,0.20181614,1.1259452,0.37993622,0.9733682,1.2335205,0.6590035,0.6081093,0.5705832,1.4070221,1.4742469,1.5444627,0.49435985,0.49467474,0.4329158,0.19917321,0.7197435,0.8132137,1.2681756,1.0610063,1.3781358,1.1057872,0.91108084,0.19546497,1.2267473
crib,0.6060437,1.4062598,1.5396924,0.7922089,0.5809028,1.3790126,1.2638865,1.4629462,0.7309294,0.55937916,0.38606733,1.4523101,0.383214,0.54463947,1.1563118,0.5354512,0.82098466,0.90138614,1.5040741,1.4392443,0.4901753,1.5103936,1.135639,1.2413077,1.1827505,1.357124,0.7564028,1.2151059,0.9747008,0.48122108,1.1480929,1.4398036,0.43724692,1.1161644,0.83259964,1.334553,0.39505255,1.3789952,1.5945961,0.0,1.4247912,1.048291,0.8033537,0.84284556,0.7506297,1.0050018,0.7084678,1.3212794,0.8236338,0.8467777,1.5182903,0.79966193,1.3620366,0.8859898,1.3865483,1.4287326,1.125026,0.81759024,0.5888979,1.441724,1.3546997,0.503691,1.2536972,0.92703784,0.8345781,1.153606,1.3958738,0.46435356,0.69034946,0.6132568,0.6578486,1.0231872,0.65332156,1.32923,0.37957013,1.4097176,1.0948864,1.0363346,1.2043678,1.0170325,0.55215657,1.2913911,1.3004442,1.4970301,1.2571746,1.5603641,1.0388812,1.4213243,0.5735754,1.261738,0.53932524,0.71068335,1.0138365,1.5244895,1.5701867,1.2219894,0.91790897,1.2131835,0.7634196,0.9563338,1.3479068,0.9337,1.2181242,0.8526971,1.1980197,0.54777837,0.93301904,1.2548953,0.9608375,0.8447346,1.1299553,0.6650779,1.2052227,1.0519902,1.2952638,0.3589872,0.9891934,0.44203043,1.5572298,0.9347919,1.4693735,1.2179495,1.0742,1.3478358,1.2897431,1.4866526,0.33291173,0.6371702,0.30667007,1.3860586,1.5532105,1.5194937,1.4472259,1.2294977,0.98520154,0.5649668,0.95436037,0.5421,0.8854594,0.87356347,1.5100853,0.8314306
cup,1.4804481,0.98253155,0.5538595,1.074822,1.5444582,0.56594884,0.6205244,0.8139051,0.6808332,1.25924,1.4934709,0.552425,1.4366348,1.4283705,0.9236668,1.444054,1.2102044,0.8751916,0.24177372,0.18827903,0.8800344,0.7816384,0.8055847,0.10378361,1.1138244,0.4640513,1.1528641,1.0139984,1.2921114,1.0640233,0.97645646,0.43845385,1.3898666,0.5671645,1.3428528,0.7619824,1.4649308,0.9974766,0.4350469,1.4247912,0.0,0.8465367,1.4847322,0.94928163,1.1976013,0.8831495,1.4312251,0.60744745,1.3341658,1.3687091,0.8416566,1.1478196,0.7760273,1.1592603,1.020173,0.7181284,0.8960733,1.2679019,1.2520115,0.8981779,0.78510404,1.4706844,0.6077035,1.3833798,1.03837,1.2405926,0.7223932,1.4203981,1.5121715,1.3208824,1.4180607,0.49662054,1.5469544,0.7283008,1.3004926,0.46260524,1.2476711,0.98685503,0.4563526,1.1615407,1.2931948,1.0275495,0.84921825,0.5739282,0.5746545,0.5946301,1.3201863,0.69067186,1.1784211,0.88036937,1.5520426,1.5007367,0.8320215,0.5106598,0.5321481,1.0133088,1.0764875,0.72159284,1.3620816,1.1989462,0.53388953,1.1355495,0.94882995,0.8400074,0.4418381,1.1944286,1.2241446,0.7862631,1.1830046,1.1490183,0.74877155,1.5344433,0.822801,1.142482,0.5387102,1.339793,0.6823955,1.3369435,0.53677964,1.2483385,0.3511951,0.9694094,0.91476077,0.6170757,0.6801376,0.6490821,1.280408,1.5217772,1.3995194,0.27511275,0.7586541,0.7897156,0.4946649,0.60468805,0.6607384,1.0559272,1.123054,1.3361787,1.0786158,0.8658006,0.5610204,1.1917397
dish,1.0330813,1.1281931,0.96353567,1.014677,1.2025405,0.767338,0.7981478,0.9958379,0.79693514,1.1524973,1.0459913,1.0786685,1.1708268,0.934416,0.9274333,1.0114766,1.0405314,0.72297406,0.9410698,0.76429164,0.78062475,1.0087394,1.115166,0.81252897,1.1358174,1.0851165,1.1738853,1.0704117,1.1502146,1.0779883,0.84753454,0.7863945,1.1042986,0.65778023,1.1693394,0.8233191,1.0262787,1.0124286,0.9925396,1.048291,0.8465367,0.0,1.2862649,0.7812417,1.1796027,1.1010911,1.1411192,0.77020526,1.0923407,1.1536771,1.1331952,1.0664027,1.1182787,0.9488939,1.1648605,0.9982885,0.8867443,1.027739,1.0005571,1.1858461,1.0730212,1.154148,0.55776167,1.1958166,1.009897,1.1337703,1.0238886,1.1541657,1.2709395,1.1106503,1.1286062,0.8057395,1.2022952,0.9559657,1.1859069,0.98688596,1.1620339,0.8825489,0.8474032,0.9555493,1.0812157,1.1484686,0.8998371,1.0424924,0.8280039,0.9855465,1.2013785,0.9658002,1.1616145,0.9119953,1.0858451,1.2673416,0.8282517,1.0849738,1.0994604,1.1761682,1.0055095,0.95354265,1.064654,1.0768481,0.7246752,1.0674976,0.86242247,0.8341498,0.8283253,1.167551,1.0017338,0.9338806,1.0388631,1.0917044,0.9473582,1.2096647,0.98956656,1.1119398,0.8678347,1.0932062,0.97488785,0.9935507,1.0637143,1.1652571,0.8875482,1.0333613,0.89204156,0.80855423,0.8626892,0.94022924,1.0474476,1.1967909,1.0867469,0.6557606,1.1231474,1.147259,1.0776908,0.8202803,0.6455674,0.8523861,1.0462728,1.0878239,1.103842,1.0563865,1.0647092,1.1036927
dog,0.6113789,0.8165066,1.1915678,1.078557,0.71057767,1.2642263,1.2896153,1.3246278,1.3483455,0.89267445,0.6574753,1.0970846,0.72357213,0.70902145,1.1762099,0.68425643,1.0138547,1.323829,1.322215,1.5050488,1.320432,1.1708378,1.0962504,1.5158175,0.8677475,1.0862082,0.77991056,1.0664328,0.3927281,0.8795992,1.2282752,1.3782618,0.7473113,1.4274402,0.83554435,1.3565857,0.70617414,1.1005837,1.3170353,0.8033537,1.4847322,1.2862649,0.0,0.9198546,0.8654008,1.059561,0.66146475,1.2657123,0.87235653,0.78546417,0.9539959,0.85467005,0.99524134,0.9441372,0.8026657,1.1475161,1.1719389,0.93474466,0.94240355,0.86268294,0.83611757,0.6647512,1.4509048,0.53443563,1.0368966,0.83660424,0.79927576,0.85768855,0.5662557,0.881464,0.6714422,1.3531389,0.6393456,1.2557781,0.8474808,1.3064203,0.8237637,1.100239,1.3760715,0.8555391,0.79527605,0.98771876,1.1763495,1.1115031,1.1577231,1.096807,0.6801425,1.2119224,0.9333858,1.0523862,0.6579053,0.52485836,1.2586429,1.1635852,1.1803948,0.867487,1.1651736,0.9344462,0.7384484,0.8712545,1.4917774,0.75576437,1.0962791,1.1167003,1.331707,0.9394445,0.74379116,1.0939595,1.1683904,0.8739901,1.3161283,0.5546585,1.0183219,0.63919157,1.4336123,0.92324364,1.3081757,0.9036851,0.99803036,0.7274816,1.188907,0.8169526,1.1777928,1.3965716,1.2433152,1.1154184,0.7874193,0.5703856,0.8870542,1.499251,0.9341972,0.9557852,1.3106728,1.1417189,1.4172149,1.2513322,0.9759068,0.84212315,0.9115895,1.0864658,1.0608947,0.92719257
doll,0.8903932,1.0770677,1.117623,1.099182,0.8930285,1.0074246,0.93090236,1.1603961,0.7814723,1.2747277,0.7557008,1.3006468,0.8836962,0.7221729,0.9570506,0.7796262,1.118555,0.84441257,1.0871125,1.0726591,0.6917758,1.0382965,1.013817,0.8188019,1.1804624,1.115722,1.1753147,1.0957056,1.2836517,0.70027983,0.98408127,1.1186488,0.89923877,0.8986615,1.2284429,1.0436046,0.7272285,1.102201,1.2477341,0.84284556,0.94928163,0.7812417,0.9198546,0.0,1.1008434,1.0533195,0.7925608,0.96985185,0.9494641,1.0494404,1.0073833,1.0840336,1.0880252,0.7284268,1.0411426,1.0557356,0.89176655,0.87791514,0.9604484,1.1144412,0.68714833,1.070542,0.89209044,0.9821232,1.0119087,0.91244304,0.9499878,1.0639331,1.1936572,1.085985,1.0189149,0.8240857,0.9028789,1.1103532,0.79969513,1.131703,0.7953254,0.99496794,0.9114004,0.69870734,1.0103742,1.189422,1.0498914,1.2592874,0.8389996,1.0023623,1.0968463,1.2171329,1.1654532,0.98100835,0.82244384,0.98371655,1.0629114,1.2984779,1.29621,1.1625667,0.969826,0.78684753,0.94348323,1.0800419,1.1356833,0.7780769,0.9077071,0.7066428,0.9842459,1.1186601,1.159825,0.8924738,1.056844,0.8598937,1.0762104,0.89935964,0.9482314,0.75467116,0.95854294,1.0749338,1.1614172,0.8283312,1.2098466,1.3904473,1.0421715,0.7315653,1.0725961,0.981691,1.109018,1.0911691,0.7348894,1.0198674,0.98796904,0.98563457,1.0578865,1.174009,1.1929096,0.79183,0.7422897,0.93146586,1.1616182,1.0902817,1.0465406,0.9261084,1.2093847,1.0876131
door,0.9246188,1.0887027,1.3643883,1.116094,0.92704713,1.3830278,1.3074229,1.3184273,1.0577278,0.5070791,0.79610026,1.0815853,0.50901437,1.0218076,1.1302391,0.87068254,1.0567315,1.1732191,1.1154203,1.3167291,1.0492831,1.3040302,0.7850661,1.1799264,1.0048369,0.7355442,0.923363,1.1234018,0.7334869,0.5714019,1.1596042,0.97205937,0.45482802,1.1532375,0.9159679,1.2112725,0.86079943,1.1880605,1.2326539,0.7506297,1.1976013,1.1796027,0.8654008,1.1008434,0.0,0.7157408,0.8766055,1.3063927,0.99714345,0.9638966,1.2411761,0.79274285,1.3082979,1.1525546,1.1555239,1.0546794,1.2924225,1.1306328,1.0293936,1.1405143,1.227205,0.8771489,1.5154638,0.93766177,1.081282,1.1636349,1.1562005,0.6551702,0.7422191,0.7412916,0.8524209,1.1441324,0.91809875,1.1068541,0.45748115,0.7065209,0.88054836,1.2228371,0.94047475,1.2958903,0.817938,1.1060848,1.2864208,1.2030756,0.95849407,1.1802282,1.0300318,1.2962502,0.3190391,1.2157395,0.93995476,0.80448127,0.9814853,1.0859725,1.1277792,1.1043534,1.0571668,0.92192197,0.99272233,0.88833296,1.2514312,0.9027549,1.2521567,1.0816361,1.0257055,0.281852,0.9817766,1.1286464,1.0943737,0.92500156,1.1453154,0.791384,1.2117004,1.0221059,1.1836812,0.67101383,0.76775944,0.94059324,1.1927363,0.71725905,1.0364634,1.0144836,1.0806257,1.1551088,1.1069685,1.2117335,0.6825785,0.7838696,0.732004,1.2987692,1.2431939,1.2501241,1.0794568,0.9763275,1.414238,1.2330024,0.76194835,0.8076973,0.6643348,0.49323368,1.2329386,0.40465516
drawer,1.2252411,0.8466635,0.9881192,1.3629482,1.1951412,1.1653796,1.174498,1.0528238,0.85895985,0.9748509,1.1194124,0.5642965,0.7278307,1.2153757,1.1365292,1.0336077,1.02403,0.87485045,0.8748025,0.89075655,0.80879533,0.90102106,0.57669795,0.91958874,0.6319702,0.44850647,0.76871395,0.9314122,1.0568393,0.5521169,1.2488761,0.8364612,0.95323044,1.0639884,1.0387547,1.1158729,1.1623697,0.92712295,0.7897522,1.0050018,0.8831495,1.1010911,1.059561,1.0533195,0.7157408,0.0,1.1866655,1.1348052,1.2372491,1.2206819,0.9242613,0.991894,0.97598845,1.1802702,0.81736624,0.8118999,1.2362351,1.2219958,1.3626354,0.8917581,0.87441266,1.129523,1.1319065,1.1811646,1.1840494,1.0815094,0.89850795,1.0914373,1.1734788,0.9859694,1.1688291,1.1687067,1.076799,0.9483814,0.7920778,0.7027763,0.7939664,1.1172962,0.967775,1.1786234,1.0665885,1.0052611,1.1893884,0.9176346,0.6817439,0.7642908,1.0894336,1.0751332,0.6515682,0.9510817,1.2231543,0.96556765,0.65227467,0.6774065,0.6790713,0.7702058,0.9777561,0.6641135,1.2597787,1.1021827,1.0659394,0.9258409,1.0552999,0.9785089,0.64711267,0.84790456,1.1996969,1.1717143,1.0394647,1.1923213,1.0485927,1.1982443,0.79131854,0.86634636,0.8984711,1.1251789,0.8303484,0.9819111,0.65024495,1.0533159,0.81683666,0.8361161,1.2544695,1.0602913,0.98972046,0.8487624,0.9011895,1.1472055,1.0457605,0.9848374,0.89502853,0.7655678,0.91568995,0.7426531,1.1307199,1.1231052,0.98014253,1.1819081,0.80496156,0.5994177,0.84411645,0.94451153
dress,0.6722052,1.0493789,1.3833789,0.8370031,0.54874235,1.3934906,1.2954226,1.2444162,1.1251034,0.9084249,0.6494181,1.3825381,0.72149247,0.34747106,1.0454091,0.66402423,0.885826,1.0903913,1.3795278,1.5063899,0.97992766,1.3530719,1.0620832,1.3571575,1.2183802,1.3139244,0.96526235,1.0553647,0.8803538,0.8974064,1.054477,1.4228866,0.62546486,1.3082068,0.7825815,1.2230246,0.633541,1.119704,1.4521134,0.7084678,1.4312251,1.1411192,0.66146475,0.7925608,0.8766055,1.1866655,0.0,1.362942,0.7533245,0.76618254,1.2563455,0.7080989,1.1854544,0.86764157,1.071302,1.2621299,1.092017,0.95740896,0.775406,1.1628253,1.0446397,0.72207516,1.2921375,0.64036703,0.9186604,0.84556055,1.1983709,0.8007562,0.74421686,0.89082205,0.56329125,1.1404616,0.47381407,1.2515398,0.6887674,1.4375882,0.8383292,1.1584443,1.2205104,0.8733597,0.90323454,1.0850948,1.1662172,1.3617197,1.2702558,1.2497016,0.8227179,1.3015068,0.907619,1.1142431,0.35588932,0.50544524,1.1944,1.4255197,1.4394438,1.0821983,0.9686337,1.2940147,0.8484485,0.8646085,1.3436143,0.511473,1.1564186,0.96715194,1.3754381,0.84836876,0.94193417,1.067878,1.0352553,0.6021862,1.2134588,0.21958339,1.2652667,0.6165632,1.3380684,0.87806976,1.2497699,0.8197102,1.4066756,0.9723032,1.299095,0.8565402,1.1087043,1.3456945,1.3318764,1.2687247,0.8403632,0.4534105,0.6852565,1.4408898,1.2633874,1.2464671,1.3680713,1.1868343,1.1973739,0.8805393,1.0310283,0.8541785,0.92384243,1.1147945,1.3126793,0.9076136
egg,1.3008966,0.94686645,0.5218377,1.0688441,1.2677886,0.15881151,0.28986478,0.8522685,0.9947924,1.2478524,1.3127842,0.86773014,1.3367662,1.3013074,0.96303153,1.296081,1.0914015,1.050883,0.700286,0.5146233,1.0965763,0.7684949,1.0779186,0.6809063,1.1272717,0.9325661,1.1812863,0.8796942,1.2161031,1.24928,0.878714,0.60708296,1.3070052,0.68857336,1.3174562,0.7642231,1.2965965,0.8669816,0.7736887,1.3212794,0.60744745,0.77020526,1.2657123,0.96985185,1.3063927,1.1348052,1.362942,0.0,1.0542188,1.1751896,0.7941512,1.2185408,0.95242965,1.0515167,1.028339,0.86773676,0.9635814,1.1043432,1.0001099,0.9875095,0.9134318,1.2997322,0.6557157,1.1812167,0.89616215,1.0696757,0.8062418,1.2565019,1.2894467,1.3051593,1.2627974,0.84764147,1.4001018,0.8535786,1.3593161,0.79430497,1.1433555,0.8030777,0.73710346,0.988018,1.1883657,1.0334699,0.6851394,0.6774473,0.7567618,0.80167127,1.1035889,0.48464304,1.2759346,0.9187775,1.3976549,1.3545173,0.91624767,0.8601463,0.83659434,1.0896657,1.0969005,0.76293164,1.1873047,1.2167366,0.6004624,1.1187084,0.68095356,1.0643325,0.77770054,1.2683405,0.9914926,0.95765775,1.1322963,1.139985,1.0140773,1.3783574,1.0388234,1.2349983,0.73472536,1.1989061,0.93500435,1.255879,0.8380015,1.0997628,0.7286442,1.0778261,0.7543488,0.6926799,0.735129,0.66304487,1.2652887,1.3335004,1.2983963,0.48010832,0.83465433,0.81184757,0.83861685,0.80134076,0.8121628,1.0758705,1.1611032,1.2112787,1.2095201,1.177375,0.8636228,1.2497995
elephant,0.85755444,0.96185267,1.1949329,1.0500045,0.7171595,1.0940965,1.0648515,1.0691782,1.2274269,0.89106846,0.77291155,1.2312444,0.8847459,0.8264073,1.1309551,0.811993,0.95784545,1.141232,1.292033,1.340691,1.0787957,1.1238753,1.2537227,1.3049369,1.0372174,1.2613158,1.0454341,0.98840296,1.0214014,1.0450615,0.97125477,1.3016174,0.83180356,1.1933745,1.0666066,1.0449731,0.78145045,1.071896,1.252897,0.8236338,1.3341658,1.0923407,0.87235653,0.9494641,0.99714345,1.2372491,0.7533245,1.0542188,0.0,0.76940084,1.0533756,1.0659949,1.2621313,0.91259485,0.93029225,1.3219767,1.1541221,0.72999454,0.89326024,1.0954947,1.1317524,0.8474014,1.1379712,0.8694447,0.8803202,1.0007267,1.1711537,0.75958514,0.75333124,0.97748375,0.7098829,1.1942666,0.60297054,1.2608993,0.94184077,1.3402584,0.84989256,1.0445805,1.1944346,0.9777335,0.8665597,1.0311471,1.0288132,1.1806282,1.2242978,1.2580916,0.97802764,1.0416086,0.9661953,1.1314193,0.65138936,0.5706366,1.1629677,1.2741053,1.2721472,1.0808959,1.0194615,1.1909199,0.8259992,1.1777567,1.1894957,0.8735583,1.0571576,1.1091143,1.2698818,0.9478344,0.9170404,1.2096723,0.91658354,0.8671909,1.192277,0.7385206,1.0555217,0.7994194,1.2750908,0.72327435,1.1571857,0.9369641,1.2651249,0.9542853,1.2890806,0.90888834,1.08898,1.224465,1.1763937,1.1611686,0.8639383,0.73853683,0.8444422,1.298209,1.0700114,1.1297319,1.297785,1.1560451,1.1315821,0.9997227,1.1107843,0.7704685,1.1579299,1.1601818,1.2216676,1.0471734
face,0.8594707,0.9413041,1.1280756,0.87552637,0.7025214,1.1656506,1.2010928,1.1773689,1.2045583,0.97040725,0.8083327,1.2922524,0.89900756,0.7980617,1.0572146,0.9218341,0.89981025,1.0901527,1.3212527,1.3641593,1.0883399,1.1658466,1.3054371,1.3117039,0.9222142,1.3275547,0.96773016,1.1018617,0.9814815,1.0742167,1.0565898,1.2551843,0.7125895,1.1853557,0.91161895,1.1955218,0.7788253,1.0619,1.3284184,0.8467777,1.3687091,1.1536771,0.78546417,1.0494404,0.9638966,1.2206819,0.76618254,1.1751896,0.76940084,0.0,0.9589116,0.9201614,1.2264127,1.0012838,0.9582703,1.3091085,1.030289,0.89349306,0.7320119,0.6763247,1.278697,0.8906329,1.1909999,0.34612882,0.8832575,0.79650986,0.9632858,0.6946798,0.662511,0.95686483,0.6847639,1.1915672,0.77752304,1.2953585,0.91967076,1.3206654,1.0318699,0.91599846,1.232489,0.9985291,0.84776,0.6826561,1.0772501,1.102346,1.373943,1.2843988,0.7793983,1.092343,0.98920786,1.1933689,0.8037594,0.8063189,1.1315184,1.2927091,1.2869284,1.0633411,1.0334172,1.3386358,0.8846221,1.0497072,1.2420449,1.0299833,1.042779,1.111139,1.2734542,0.9536684,1.0632399,1.125792,0.94522613,0.49541807,1.2262063,0.6358609,1.2240803,1.0820677,1.3807049,0.74339294,1.199934,0.98222566,1.2431556,1.0630391,1.2814454,1.1976758,1.0357798,1.2353234,1.2221775,1.2104213,0.89328253,0.5209154,0.79656184,1.3192806,0.96174127,1.0869427,1.3254914,1.3770796,1.1066047,0.9645343,0.9724719,0.8076653,1.0489205,1.2512031,1.182161,0.8877477
finger,1.4318252,0.34021223,0.520815,1.2891395,1.0679454,0.736787,0.93073404,0.81101483,1.2927427,1.3577731,1.3405175,0.7010752,1.3145353,1.2650931,1.1494143,1.3237901,1.2274094,1.1511959,0.7673628,0.8844579,1.3639411,0.7021565,0.96436894,0.9718202,0.6471783,0.7388309,1.1507611,0.8075889,1.1066836,1.1980691,1.1578044,0.9080172,1.3481872,1.0840402,1.1986915,0.9630568,1.324604,0.6489481,0.6184287,1.5182903,0.8416566,1.1331952,0.9539959,1.0073833,1.2411761,0.9242613,1.2563455,0.7941512,1.0533756,0.9589116,0.0,1.2951481,0.87346053,1.0712835,0.287291,0.90241915,1.1783729,1.0737814,1.265684,0.3406756,0.49384028,1.3537486,0.8377701,0.84651345,1.1552184,0.38586748,0.50593096,1.3081396,1.0700998,1.3850839,1.1559374,1.1819532,1.1284537,0.9747965,1.3459837,0.89111894,0.75234056,1.0098606,1.0929174,0.8640847,1.3007631,0.48502457,0.9424934,0.5098755,0.91787046,0.52568924,0.72413474,0.7387689,1.3063319,1.0619298,1.2636482,1.0024184,1.1346524,0.62121266,0.56901354,0.7188349,1.0453141,0.8957817,1.0122448,1.1796694,1.0490438,1.0713507,0.90452474,1.1549973,0.935203,1.3849854,1.0993435,1.0753146,1.1591576,1.0928011,1.1289697,1.1686397,0.8271034,0.82374024,0.950145,1.328413,1.1720043,1.3577564,0.4722321,1.1900063,0.8130838,0.7579359,1.2179726,0.9892748,0.9687413,0.54349643,1.3186306,1.124299,1.4453418,0.9236022,0.12089944,0.37274426,0.7082137,0.9303105,1.0402396,1.2894263,1.146271,1.2649894,1.2160017,1.1630718,0.4660424,1.2286766
firetruck,0.9328987,1.1790197,1.2019601,0.81491756,0.9163357,1.2664211,1.1919664,1.14329,0.85211176,0.8799151,0.9672593,1.0764388,0.90220714,0.8358214,1.0578542,1.0058907,0.81414187,0.99309784,1.0729473,1.1848884,0.88060325,1.2877448,0.8939365,1.0996524,1.1250079,1.0367885,0.74931955,1.1554134,0.7147658,0.9366772,1.106434,1.0931832,0.68427426,1.0829751,0.6897423,1.2306417,0.9642859,1.2354264,1.162176,0.79966193,1.1478196,1.0664027,0.85467005,1.0840336,0.79274285,0.991894,0.7080989,1.2185408,1.0659949,0.9201614,1.2951481,0.0,1.1044078,1.0246667,1.1528256,1.0113469,1.0621508,1.0307442,0.8506799,1.1484329,1.2086992,0.8267267,1.206265,0.90295804,1.0781157,1.0931739,1.175815,0.7728392,0.7976733,0.9109893,0.9280046,1.0171795,0.9100222,1.0501266,0.7727021,1.0417368,1.0619467,1.2074842,1.0288203,1.1778233,0.787462,1.0436516,1.183479,1.1579581,1.1683869,1.1541833,0.91329694,1.2168813,0.88026255,1.0916129,0.8699888,1.0003635,1.0329441,1.1199474,1.1458054,1.1121373,1.0311319,1.1923872,1.0402459,0.7294956,1.1552278,0.88873696,1.2045727,1.0404788,1.0910338,0.85171735,0.9026209,1.0568942,1.0020424,0.95640624,0.99377716,0.76837933,1.0740309,0.97826993,1.153132,0.9467646,1.0038384,0.90329885,1.1455283,0.73636043,1.0634685,1.1035988,1.0410069,1.1519706,1.1211101,1.1659014,0.9423294,0.86900985,0.79273534,1.1631684,1.2410322,1.190949,1.0571516,1.1695279,1.0638713,0.8737235,0.8690233,0.9994319,0.68648016,0.90433854,1.1652203,0.8119823
