,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
closet,0.7455662,1.3125695,1.3931155,1.1935432,0.7849377,1.2785915,1.2448173,1.2129316,0.8549332,0.49897927,0.8239689,0.44710696,1.3332418,0.58408177,0.7925173,1.1452943,0.58808994,0.76080126,1.1576114,1.2853913,1.1761134,0.76393616,1.3972732,1.0425296,1.0835077,1.1691774,1.1823307,0.8650112,1.108446,0.94476914,0.6427273,1.0674236,1.2390827,0.0,1.2152746,0.9780378,1.0194422,1.2749802,1.1390762,0.50229186,1.1487006,1.41343,0.35061336,1.2845984,0.77389115,0.83864486,0.77753156,1.1351707,0.57358974,0.805378,0.8202945,1.2424632,1.2073182,1.3395774,0.8912377,0.93932533,1.34578,1.3456346,0.9295204,1.1568534,1.3343709,1.2530626,0.79017043,0.70075095,1.2726045,1.3086116,0.6745919,1.4673696,0.86152124,1.1169959,1.1194904,1.3634026,1.1296824,0.84092325,0.7904149,0.81500566,0.8295908,1.1584392,0.3921877,1.183553,0.9500282,0.94669604,1.1587547,0.8722141,1.0343739,0.7052257,1.1586694,1.1825196,1.318768,1.2446,1.3954866,1.2306404,1.4148548,0.70823175,0.97921777,0.68553936,0.8258004,0.98810947,1.4191189,1.4020557,1.3971171,1.0891917,1.2733138,0.9931732,1.1332849,1.099667,1.3494556,1.1458696,0.9391395,1.222594,1.3398602,0.4705366,0.9439665,0.99855065,1.0308291,0.97789735,0.84748924,1.2278448,0.77073675,1.2530715,1.0132232,0.9537311,0.6227286,0.8100103,0.6082768,1.4303998,0.88437057,1.1787217,1.2085955,0.96167207,1.3207283,0.87721074,1.284864,0.6424799,0.7383894,0.61527705,0.507314,1.3251526,1.3539948,1.3271937,1.2546498,1.1679145,1.1582142,0.84677684,0.9157445,0.7511744,0.78643984,0.69372106,1.3888221,0.64249593
coat,1.2283455,0.8215351,0.9538738,1.0855052,0.9844129,1.0585859,1.0050409,1.1360835,1.0962894,1.0347193,0.9465413,1.1843522,0.7436977,1.0509683,1.0917853,0.76486385,1.1168486,1.2132702,1.0028226,0.7982931,1.0172881,1.1744398,0.96603,0.98179394,0.9440911,0.93765676,0.7277477,0.952704,0.8682482,0.6845305,1.0285696,1.0975614,0.95637894,1.2152746,0.0,0.86879444,1.0659676,1.0281253,1.1301069,1.1686208,0.8971656,0.841205,1.1930373,0.8075076,1.1653177,1.2217947,1.1503462,0.98525935,0.90509886,1.0555742,1.097385,1.0146255,0.81047875,1.0112102,0.8101146,1.1476147,0.88001657,0.97500724,1.0986137,0.8024701,0.7865811,1.1922727,1.0266403,1.1048787,0.8429515,0.81550455,1.2802384,1.0376711,1.1276788,1.1050292,0.93421614,0.7314712,0.9296335,1.1287863,1.0822492,1.1455661,1.0525951,0.9587432,1.1776726,0.7485797,0.844792,1.0408983,1.0600832,1.0493442,1.0564922,1.1909988,0.9289317,1.0225846,0.81257504,0.83602035,0.7190372,0.9173496,0.93935204,0.9086536,0.87334204,1.1346831,1.0100969,1.0653868,0.7524736,0.8154057,0.8799032,0.988388,0.93069077,1.1022701,1.1354746,0.9731331,0.9965992,1.1036509,0.95645547,0.9135403,0.82139933,1.003386,0.84161437,0.95701087,1.1808345,1.1499656,1.1323407,1.0574617,1.0820098,0.7829303,0.88201153,1.0494174,1.0717605,1.1190181,1.1146816,0.78867555,0.91082114,0.9656335,0.785914,1.0915643,0.83595616,1.1953057,0.8845669,1.1670324,1.140511,1.2421837,1.3122631,1.014628,0.8417378,0.8245956,0.85923153,0.75162756,1.1210117,1.2530141,1.1298565,1.125927,0.97207797,0.96103704,0.7574916,1.0239682
coffee,1.3493972,0.9957687,0.89502245,1.0605669,1.2397029,0.89038426,0.7888156,1.1034374,0.67248327,1.2406868,1.1577626,1.1786832,0.7673917,1.102358,1.3033389,0.8419218,1.2451057,1.0668782,0.6396876,0.4359572,0.944844,0.7748221,0.82683504,0.86437666,0.5823297,0.8901019,0.5243671,0.9042088,1.3404367,1.1455201,0.85236835,1.207191,0.6823804,0.9780378,0.86879444,0.0,1.0348256,0.9560351,1.1491276,1.0887982,1.1356021,0.7716326,1.0213777,0.56399894,1.0822304,0.9754698,1.2907443,0.8352952,0.9934558,0.98754793,1.2265338,1.1076895,0.75549567,1.049398,1.2081454,1.150635,1.1791061,0.9275281,0.842957,1.1933167,1.0989149,0.9104512,1.0973736,1.2221189,1.0685883,0.89866954,1.2275388,1.027231,1.176798,0.9545502,1.3035245,0.78967,0.90607136,1.0597465,1.203374,0.83938205,1.3429538,0.8083446,1.1028305,0.65728664,1.1880835,1.3248355,0.974251,0.6951016,1.3356409,0.9541173,1.2058959,1.0161681,0.8651516,0.70031744,1.0413237,1.1091268,0.9179028,0.7826821,1.1958675,1.2714782,1.2700858,0.9335232,0.7502699,0.7640914,1.124373,0.98190427,0.903005,0.9200406,1.0698227,0.88817763,1.0232513,1.164397,0.6186056,0.43853557,0.9097176,0.8483497,1.2476187,0.8381773,1.1916767,1.224357,1.2778742,0.83171374,1.263139,0.77763665,1.316475,1.0462543,1.0725924,0.96475065,1.285672,0.8513277,1.2088377,0.6208432,0.89434373,1.2539234,0.7759236,1.2296755,0.84201074,0.83189607,1.2364469,0.9681837,1.1521854,0.7377707,1.0621929,1.1119088,0.8035109,0.7748227,0.7326073,0.86674154,1.0260667,0.959757,0.94447523,0.64729863,0.88087636,1.0885862
comb,0.8600346,1.077912,1.2846583,1.0939826,0.9199764,1.0790893,1.0725726,1.0076344,0.7907504,0.89480746,1.0218002,1.0454408,1.0780432,0.69899607,1.0657126,0.9046526,0.95237666,0.97133565,0.9033529,1.1211295,1.1146443,0.8401278,1.193561,0.6499313,0.9925166,0.97810197,1.0059606,1.0014704,0.9482547,0.93381757,0.86437464,0.98751897,1.0485843,1.0194422,1.0659676,1.0348256,0.0,1.1953224,0.54262567,1.0579778,0.9068147,1.0042955,0.9536681,1.0885739,1.018334,1.0096456,1.050814,1.1790898,0.96471775,0.79232085,0.9860012,1.0593011,1.1178334,1.1689171,1.0462773,1.0625317,1.1112982,1.0411636,1.0184027,1.031601,0.695133,1.0024296,0.78789043,0.9463028,1.1485891,1.0920161,0.99697316,0.86561215,1.0220873,1.212725,1.0074104,1.1395211,1.1968408,0.6810722,1.0014951,1.0189475,0.96702623,0.76103294,0.8646088,1.026165,0.92609787,0.9360266,1.0308623,1.030012,0.8477671,0.9497349,0.93635243,1.05197,1.2147343,1.002679,1.0808004,1.1404067,1.2202761,0.8189848,1.0775554,1.0230435,0.97279483,0.8722537,1.0280219,0.94540787,0.92178303,1.0769563,1.2555581,0.8491878,1.0560615,1.1806724,1.2104448,1.0020168,0.91108835,0.9734818,1.0916703,0.9278448,1.034198,0.93565625,1.0414248,1.0779626,0.8203284,0.6808077,1.0321288,1.1089538,1.0106583,0.7128404,0.9803982,1.0022469,0.9122997,1.1677734,0.9330635,1.0002618,0.99788165,0.9274652,0.8972645,0.7394078,1.0299728,0.9331891,1.0143844,1.032055,1.0308878,1.0718347,1.1816248,1.0548428,0.91537035,0.944275,1.0287253,0.98083735,0.93500125,1.0130873,0.98192585,0.8150139,1.2001317,0.916533
cookie,1.2745421,0.759457,0.5192996,0.41516805,1.2682128,0.7951894,0.8317762,0.7724868,1.1267735,1.3294687,1.2022083,1.3057445,0.90513754,1.3948648,1.2640494,1.1692055,1.2925315,1.1936641,0.9621547,0.85784954,0.7336476,1.1642917,0.30117756,1.2161965,0.9183949,0.9324616,0.94102144,1.2523522,1.1045014,1.1628095,1.141021,1.053445,0.72669303,1.2749802,1.0281253,0.9560351,1.1953224,0.0,1.0301415,1.2457005,0.742833,0.792066,1.4039308,0.7296516,1.1401378,0.83556426,1.1335886,0.82017,1.2157084,1.0356412,1.2688812,0.91176295,0.88802916,0.57651293,1.1664301,1.072767,0.7563776,0.92306906,1.1367184,1.0278411,0.8584481,0.7510419,1.284125,1.3663802,0.72821397,0.9350325,1.2586184,0.7547527,1.1144644,0.4922893,1.0330414,0.71893454,0.87191385,1.2514567,1.2945155,1.0262631,1.3133724,1.0334527,1.3726507,0.84221256,1.1365204,1.0042945,0.80754435,1.084213,1.1967973,1.2744038,0.97605276,0.5177847,0.7880336,0.8648598,0.75928783,0.8182997,0.50285435,1.1919311,1.1094207,1.3794086,1.2660146,1.1134937,0.810488,0.82107854,0.7456416,0.8961723,0.5410164,1.1511382,0.7889329,0.88863736,0.4378891,0.7469903,1.0003237,0.7859769,0.6993502,1.3153428,1.1400896,1.0776188,1.0429809,0.9984257,1.3549583,0.9797465,1.3137448,0.82343054,1.1902041,1.2499367,1.2350409,1.1003579,1.3519431,0.6969597,1.2241635,0.91111857,0.9829955,1.0864233,0.78421116,1.2054211,0.8267293,1.2543228,1.3078644,1.2021008,1.2267594,0.60751826,0.7044022,0.8155899,1.0722351,1.0018774,0.8116762,0.8935515,1.176944,1.2097735,1.2066168,1.2935603,0.70918936,1.2628996
corn,0.86280036,1.1597166,0.87167287,0.8180436,1.0148109,0.9803988,0.9653679,0.5507508,0.81897527,1.0170971,1.0289762,1.139105,1.0780678,1.0106698,0.97117615,1.0866629,1.0463679,0.87707645,1.0471082,1.1601098,0.8388572,0.9473296,1.0522761,0.89277196,1.0440707,1.050543,1.1282094,1.0775189,0.8283493,1.085809,1.2210044,0.6577052,1.045348,1.1390762,1.1301069,1.1491276,0.54262567,1.0301415,0.0,1.1556833,0.8641496,0.983469,1.1470616,1.1715004,0.99492615,0.9683217,1.0850513,1.2761967,1.221006,0.9883681,1.1304624,1.061293,1.1822586,0.7447949,0.9284554,1.1159079,1.0562766,1.036873,1.063537,1.1256082,0.7950555,0.764809,0.880954,0.9533754,1.146496,1.1457821,0.9447592,0.6791648,1.1180755,0.9772181,1.022756,1.1957434,1.1363962,0.87209845,1.1211503,0.9770292,1.0521159,0.8748182,1.1652426,1.1999109,1.2006679,0.91008985,0.6776945,1.0059214,0.8966657,1.1233615,0.9364883,1.0262767,1.1884937,1.1721328,1.0371982,1.1421951,0.85117364,1.1219985,1.0036724,1.1248482,1.095676,1.0655342,1.0904287,1.049367,0.61898977,1.1255683,1.0476819,0.87031984,0.73689985,1.1419107,1.0094227,0.8162688,1.1361824,1.0743315,1.0580081,1.13544,0.9180891,1.0996994,0.77920103,0.7297018,0.89874405,0.7880025,1.1262559,1.110158,1.074534,0.8319074,1.124606,1.0454562,0.8835059,1.1231469,0.9529881,1.0538741,1.1347386,0.6573873,0.93900156,0.7760159,0.89749366,1.1755046,1.1478176,1.0011853,1.0540897,0.80483127,1.1805236,0.9889977,0.9318335,1.2281414,0.8548373,0.8442211,1.0206248,1.146103,1.1234493,1.1455879,1.1743941,1.1214732
couch,0.527249,1.1718181,1.4369411,1.2262824,0.6599726,1.2043347,1.2345169,1.3014532,0.9869888,0.5665227,0.6345779,0.055655837,1.2947896,0.47995675,0.6318654,1.054328,0.19175589,0.80389315,1.1201662,1.3427573,1.2715924,0.83729184,1.3951058,1.1278955,1.2211144,1.1572163,1.2517675,0.88920236,1.0922266,0.93867844,0.68234706,1.1536669,1.2621851,0.50229186,1.1686208,1.0887982,1.0579778,1.2457005,1.1556833,0.0,1.2815185,1.4650484,0.39576244,1.3464497,0.85088676,0.96569246,0.52987033,1.0340891,0.706503,0.874378,0.7237207,1.1597869,1.2616156,1.3838043,0.9529878,0.9148779,1.3091763,1.2725356,0.92810404,0.9478386,1.3893881,1.2983115,0.8627246,0.71825254,1.2592237,1.0435196,0.55219305,1.4639103,0.8079282,1.1572039,1.0445629,1.2208412,1.1045648,0.89828396,0.59827375,0.94783956,0.61181355,1.2583102,0.5193475,1.272108,0.8985649,0.8040788,1.2468766,0.99852514,0.8261244,0.74751055,1.1680459,1.0937133,1.3258988,1.1166935,1.3956728,1.2056772,1.4371307,0.85634273,0.942303,0.4897107,0.6760796,0.87326676,1.4567301,1.4164054,1.3703616,0.6777594,1.3549457,1.096739,1.2289777,1.0798337,1.3649715,1.1407522,0.93225765,1.2864796,1.3886867,0.7089976,0.8470609,1.026315,1.0722617,1.0649097,0.7744862,1.3210062,0.62046653,1.0563322,0.81186974,0.9114122,0.74774045,0.92889225,0.54149663,1.3949852,0.8898308,1.3055289,0.9273147,1.064093,1.3886385,0.9662689,1.301385,0.7263917,0.58062047,0.79038423,0.56501687,1.3664112,1.3348377,1.3624017,1.3567572,0.9749845,1.247246,0.9859782,0.8833586,0.86183983,0.91755486,0.85449225,1.3952159,0.642485
cracker,1.0842139,0.93346345,0.84000134,0.8607466,1.1387424,1.2073612,1.1555957,0.89317495,1.0262971,1.12646,1.0664241,1.2654757,0.96289533,1.0925337,1.1107188,0.87506056,1.1521302,1.188832,0.8891475,0.9535347,0.92191625,1.0827758,0.6105151,0.91179466,1.0692135,1.0028025,0.9680087,1.0820329,0.82156,0.865402,1.0881836,0.9205382,1.0144987,1.1487006,0.8971656,1.1356021,0.9068147,0.742833,0.8641496,1.2815185,0.0,0.8509996,1.2568707,0.9429251,1.079263,0.9945103,1.0514457,0.9201208,1.0890317,0.91658443,1.0042486,0.9851401,0.98081475,0.8471558,0.81209326,1.0984612,0.88270843,0.8245331,1.1633706,0.9445604,0.61697084,0.8639406,0.9781704,1.0759388,0.85934216,1.0099721,1.2374473,0.7948043,1.1461016,0.8864614,0.92442197,0.97906584,0.908644,1.1428903,1.292086,1.1248968,1.1849897,0.9635228,1.1907626,0.9166853,0.97736543,1.0090274,1.0123962,1.1025223,1.0409569,1.3011383,0.92154133,0.81522214,0.91987073,0.9397305,0.77399075,0.8462634,0.7996336,1.1242492,0.82601345,1.2131898,1.1752784,0.97497654,0.84945947,0.9024644,0.64884406,0.8959544,0.6910185,0.9519873,0.93462086,0.97761345,0.7255833,0.8940942,1.1168114,0.95350224,0.8262286,1.1731684,0.8760614,1.0822693,1.08044,0.9413934,1.1421058,0.98178375,1.2239354,0.88729066,0.978993,1.0434861,1.2469803,1.2432338,1.2522159,0.83920777,0.88870025,0.89994717,1.0720655,0.85480446,0.88295585,1.0935264,0.8522105,1.2325821,1.2635373,1.266432,1.2462457,0.94372344,0.83876103,0.785286,0.90340847,0.8661225,1.0549259,1.0876083,1.1131284,1.1625748,1.0306082,1.1375219,0.88390136,1.1441036
crayon,1.619726,0.77601177,0.44715405,1.0880606,1.4431983,0.80866826,0.7329068,1.0084339,1.0041046,1.4627955,1.1915855,1.5328159,0.20400327,1.4026923,1.5871582,0.8160087,1.5357431,1.2996073,0.6080727,0.33564013,0.9213141,1.2390754,0.43763244,0.7809748,0.7989428,0.9200119,0.46507508,1.0068297,1.0961792,1.0318893,1.1229938,1.1718099,0.6653942,1.41343,0.841205,0.7716326,1.0042955,0.792066,0.983469,1.4650484,0.8509996,0.0,1.6165842,0.42150438,1.2603782,1.3194089,1.4892626,0.94518256,1.2476963,1.0796303,1.4345391,0.66761804,0.39348674,0.8029652,1.0974956,1.2395465,0.62123436,0.63131726,1.1161488,1.0820328,0.6511013,0.7552389,1.2320685,1.5364954,0.5392942,0.84253407,1.4003069,0.45627856,1.294338,0.9958696,1.1853354,0.56482124,0.9006406,1.250541,1.4431543,1.18984,1.443454,0.80447507,1.4818171,0.34891164,1.1191723,1.2329776,1.045095,1.169189,1.4489355,1.3817884,0.97461647,1.1579679,0.17655474,0.7551174,0.3291663,0.6689872,0.36985338,1.190847,1.1667646,1.5893593,1.3647579,1.0734047,0.06800246,0.07312369,0.67354,0.7477817,0.6376882,0.989672,1.065439,0.93018925,0.42661762,0.99991065,1.0376374,0.50154173,0.4980486,1.3807497,1.1999738,1.12008,1.2221935,1.3580251,1.4538862,0.671733,1.4988692,0.9113728,1.264126,1.2027438,1.266021,1.1602781,1.5174842,0.19904971,1.1540904,0.5335647,0.9428442,1.348073,0.65789413,1.3671777,0.45273256,1.3227108,1.5159628,1.2347369,1.5451082,0.5558312,0.44343626,0.42800224,0.31414354,0.73986995,0.6883901,1.1520394,1.1533381,1.2287945,1.1086876,1.0135189,0.19982839,1.3040316
crib,0.5191242,1.310734,1.587688,1.2662426,0.6785202,1.3179545,1.3380936,1.3059127,0.80591846,0.49742663,0.83014166,0.32334006,1.4244509,0.39316928,0.5806597,1.0481532,0.41776407,0.62076825,1.1517905,1.4294955,1.2814066,0.6771881,1.5992961,1.0370369,1.1779479,1.1172838,1.2505721,0.79625833,1.0578113,0.9498057,0.5025136,1.1553291,1.3387799,0.35061336,1.1930373,1.0213777,0.9536681,1.4039308,1.1470616,0.39576244,1.2568707,1.6165842,0.0,1.4302142,0.7549038,0.9049001,0.5963263,1.0969176,0.64325213,0.7032148,0.6192704,1.2538791,1.3820187,1.4852672,0.9924803,0.9155637,1.4523207,1.2963892,0.9347396,1.0832988,1.3625839,1.366766,0.73218167,0.5608283,1.3795764,1.1681384,0.5724448,1.5909075,0.8137712,1.1840186,1.0717999,1.3562025,1.164869,0.6520814,0.5711224,0.883992,0.6047179,1.1257999,0.2561065,1.3701916,0.9075753,0.8669936,1.217343,0.95027757,0.78638446,0.43398672,1.1892012,1.1439483,1.4682224,1.2180126,1.5183061,1.309463,1.6267818,0.5977538,0.9723032,0.48313385,0.65176755,0.90138423,1.5812457,1.5696342,1.517313,1.0248777,1.4539123,1.0236245,1.2087089,1.1365134,1.5428627,1.1537381,0.7772793,1.2519324,1.4615333,0.47802883,0.92765194,0.9466672,1.0480524,0.99943066,0.66644377,1.1917038,0.5966315,1.1300545,0.81091607,0.77100337,0.6035494,0.79686385,0.47689193,1.524165,0.8653063,1.3557782,1.1029873,0.96459883,1.3564901,0.758721,1.3642852,0.3745168,0.540134,0.6319943,0.46986502,1.4885261,1.5038408,1.4720876,1.3938323,1.1158369,1.232848,0.86935407,0.8884652,0.6098877,0.76274586,0.60479337,1.5474403,0.68740827
cup,1.6434245,0.80531317,0.64129245,0.9444607,1.4400138,0.7625994,0.69216985,1.0003743,0.7925185,1.357332,1.267027,1.4771978,0.5154867,1.3087559,1.5146058,0.9162742,1.538919,1.361871,0.6368576,0.1921475,0.48051643,0.99958557,0.5268243,0.88456714,0.2637111,0.8970883,0.3409835,1.0136154,1.2466111,1.1841178,0.9750656,1.1894636,0.48581588,1.2845984,0.8075076,0.56399894,1.0885739,0.7296516,1.1715004,1.3464497,0.9429251,0.42150438,1.4302142,0.0,1.2867569,0.9638267,1.5414426,0.9195214,1.1694629,1.0762575,1.3734536,0.8113305,0.52624035,0.7429215,1.2086186,1.2921929,0.8983195,0.7654736,0.9804566,1.1769056,0.8585333,0.87183285,1.188172,1.3363806,0.86202824,0.87078434,1.4711757,0.7073926,1.3642685,0.89818466,1.2760634,0.6404622,0.838544,1.2464281,1.4565772,0.8653435,1.5439208,0.87421227,1.4123094,0.3520248,1.18926,1.3647017,0.80307347,0.7413495,1.4560981,1.3114603,1.0820457,1.0192755,0.496271,0.50004995,0.73561203,0.94556993,0.58404684,0.98402345,1.1910799,1.5729743,1.4435196,0.9097552,0.41502118,0.44350022,0.93470144,0.82326376,0.7714801,1.0421828,0.7783922,0.8531289,0.68976784,1.1277604,0.8375953,0.405859,0.6925034,1.1289687,1.2804712,0.960643,1.1562289,1.1914246,1.4858682,0.87562585,1.501078,0.7827995,1.3579351,1.1876075,1.1904576,0.84801376,1.52768,0.5185554,1.2420757,0.44485962,0.8405738,1.1972499,0.5563962,1.3272418,0.6747005,1.2015963,1.4892566,1.1723893,1.3210626,0.41404372,0.73756856,0.7771801,0.56876624,0.6071524,0.69830984,0.94805235,1.1404583,1.1797948,1.0698788,0.9561225,0.5434359,1.2297673
deer,0.6813872,1.2036105,1.1916537,1.0982372,0.97697055,1.0717219,1.037549,1.0233506,0.9592742,0.91325885,1.0030644,0.83862233,1.2669898,0.9723929,0.813277,0.942002,0.878839,0.8521679,1.0843673,1.2819114,1.1466415,0.92156297,1.2083399,0.9310277,1.1285177,0.9477793,1.1894518,0.93117195,1.0824034,0.9624612,0.93290424,0.9095141,1.1639129,0.77389115,1.1653177,1.0822304,1.018334,1.1401378,0.99492615,0.85088676,1.079263,1.2603782,0.7549038,1.2867569,0.0,1.0631274,0.7042878,0.958129,0.9436338,1.041979,0.8528484,1.1163824,1.1993352,1.1975944,0.9719088,0.924314,1.2933472,0.9537832,0.8874576,1.1690578,1.0909424,0.8878575,0.86219764,0.8327678,1.172854,1.1245172,0.75821334,1.2153133,0.8695342,1.0285015,1.0918827,1.144657,0.860988,0.7967771,0.85544574,1.0297774,0.91630286,1.0349197,0.7621831,1.1388894,1.0999354,1.0857425,1.0893534,1.0748414,0.9116316,0.79972196,1.1104206,1.0327129,1.2730212,1.203443,1.2465615,1.0398979,1.2440665,1.038569,0.8896349,0.81276715,0.91405416,1.0118067,1.2692115,1.252551,1.1629658,1.1130958,1.0721855,0.540303,1.0614313,0.87791705,1.2608523,0.8102339,1.0031413,1.198455,1.2713027,0.8996804,1.0452905,0.8839135,1.0132424,0.9382984,0.78509367,1.0086441,0.8292495,1.1934932,1.0017384,0.84985626,0.99939513,1.1234983,0.8022321,1.3126545,0.9947529,1.270045,1.1211178,0.93987596,1.1480834,0.78057384,1.1493123,0.8023983,0.8171022,0.77969533,0.84418064,1.2050505,1.3088567,1.2825447,1.1816624,1.21732,0.99491817,1.0216742,0.97061497,0.90337706,0.882648,0.8593956,1.2892332,0.86541975
dish,0.9453242,1.1423125,1.0716836,0.6997225,1.0525111,0.9287174,0.9839245,0.7020851,0.81556624,0.9444075,1.1241636,1.0226254,1.347038,1.0266622,1.0426364,1.1916149,1.0676668,0.9511866,1.0566295,1.0545352,0.60427797,0.7486631,0.94731736,1.0410099,0.77224064,0.9682879,1.1596973,1.0492365,1.0485631,1.2666128,1.0483658,0.88098526,0.8399218,0.83864486,1.2217947,0.9754698,1.0096456,0.83556426,0.9683217,0.96569246,0.9945103,1.3194089,0.9049001,0.9638267,1.0631274,0.0,1.076712,1.011367,0.8913419,0.94892746,1.047579,1.1464944,1.0499438,0.7180005,1.1463754,1.0944213,1.2156291,1.0367438,0.9054183,1.1057928,1.1575216,0.94777554,1.0045795,0.8874856,1.3590899,1.2510784,1.0263299,1.1301095,1.1214638,0.74163914,1.0570521,1.307311,0.9815826,1.0469584,1.1550629,0.7008585,1.1936227,0.90652055,0.9704027,1.0718354,1.115198,1.1329716,0.64604163,0.6340518,1.0691158,0.9289127,1.1273116,0.7611445,1.3184863,0.89482194,1.4627135,1.2528142,1.0508872,0.8429539,1.1351682,1.1145219,1.2198644,0.8152566,1.3115828,1.2628024,1.000441,1.1834645,0.988058,1.002169,0.5544182,0.9673411,1.1022643,0.9708649,0.9851269,1.0575367,1.235769,0.77764237,1.1688654,0.79713833,0.84108686,0.68347555,1.1050749,1.0558091,1.149963,1.0647019,1.2373183,0.9726787,0.91344756,0.5717186,1.040726,1.4022852,1.1826832,1.0183922,1.127199,0.75971985,0.8324574,0.8673484,1.2340728,0.8840784,1.0812916,0.92789346,0.7548976,0.98946184,1.2945379,1.2827235,1.0965756,1.0258784,0.9590507,0.6111715,0.9312736,0.9847191,1.0834031,1.0530443,1.3728342,0.9441039
dog,0.4004783,0.9540291,1.3243551,1.0875037,0.59925795,1.1767178,1.2888949,1.219647,1.2566068,0.7444104,0.7850778,0.4612924,1.3181988,0.6623778,0.59511125,0.99715567,0.41416538,0.8672129,1.3437917,1.495641,1.43375,1.0858899,1.3002347,1.1924393,1.4318752,1.1265156,1.3387036,0.9837519,0.8826836,0.73798263,0.84812963,1.114919,1.4361525,0.77753156,1.1503462,1.2907443,1.050814,1.1335886,1.0850513,0.52987033,1.0514457,1.4892626,0.5963263,1.5414426,0.7042878,1.076712,0.0,0.8445219,0.8804312,0.9032799,0.6008044,1.1108675,1.3194939,1.3691076,0.9424907,0.76481944,1.0872914,1.0659705,1.034999,0.72466254,1.2217473,1.1273314,0.9470908,0.78189343,1.0832412,0.88993007,0.6408985,1.3746941,0.6133062,1.2453594,0.75512207,1.0894188,1.0151411,0.86406636,0.61240965,1.1493707,0.47550774,1.3120626,0.63000536,1.4849081,0.6564714,0.6276709,1.293682,1.1993785,0.4989879,0.68239397,1.0924187,0.93993014,1.3047156,1.32282,1.2115306,0.9007504,1.3477356,1.00667,0.7865218,0.4696623,0.51702154,1.0949063,1.4864676,1.4768991,1.210793,0.8513995,1.2321522,1.0399617,1.3460467,1.0140089,1.1504836,0.881164,1.0140526,1.3812187,1.2340828,0.92797786,0.8212333,0.921401,1.1230901,1.0905488,0.59022444,1.2622405,0.56286114,1.0473027,0.58070946,0.89950013,0.94234145,1.1563083,0.7158719,1.2296437,0.85639334,1.2966242,0.8843266,1.0690074,1.41779,0.8255874,1.3304795,0.7173299,0.5728639,0.93944263,0.77315736,1.4582714,1.1261829,1.2175208,1.4227775,1.1498048,1.297673,1.2111624,1.0444541,0.8539399,0.94319654,0.984825,1.3019983,0.9219553
doll,1.1371256,0.6066402,0.90269834,0.8526262,1.0959179,0.9040591,0.855375,1.1039389,0.9142982,1.4275128,1.1648294,1.1235627,1.0457298,1.2081031,1.0232439,1.0225668,1.1114837,1.160025,0.8253824,0.79765636,1.1763579,0.9114705,0.7910502,1.1097226,0.87299526,0.9274541,0.8263079,1.0674163,0.9763227,1.2567695,0.8079478,1.272064,0.93433034,1.1351707,0.98525935,0.8352952,1.1790898,0.82017,1.2761967,1.0340891,0.9201208,0.94518256,1.0969176,0.9195214,0.958129,1.011367,0.8445219,0.0,1.1335472,1.0054517,0.793833,0.827237,1.0365226,1.1052313,1.2454207,1.0166813,0.7302393,0.8573073,0.9117104,0.7397196,1.0086985,0.6984818,1.2487626,1.3200388,0.8557293,0.4682747,1.2078693,0.9039488,0.9808428,1.058055,0.74501806,0.60628414,0.7010219,1.2338016,0.9925733,1.0566926,0.99336535,0.99415714,1.0340741,1.004573,0.87113136,1.1311033,1.0420353,1.0539093,0.7623526,0.9479021,1.0746764,0.7494108,0.9985045,0.92620116,0.8537996,0.9356903,0.97169054,1.2090435,1.061904,0.9653189,0.97470486,1.0544846,0.8983663,0.97236425,0.9904831,0.8416902,0.80905163,0.8467143,1.2220623,0.7444306,0.78246117,0.7397068,0.7316873,0.83132374,0.8383088,1.2605081,1.3156303,0.72918314,1.3118341,1.3032012,0.91854906,0.9244417,0.9820327,0.65107507,0.79592705,1.0727569,1.2213436,1.3291247,1.2587194,0.79163,1.4248738,0.8547201,0.6669557,1.3084687,0.94935906,1.3155384,0.86599076,0.81821954,0.95142967,1.1785035,1.3317783,0.91105026,0.6890549,0.9574448,1.0105513,0.8375984,0.7182424,1.0882413,1.2088518,1.0650222,1.1700455,0.82743776,0.86271405,1.242978
