,owl,elephant,cat,zebra,alligator,dog,rooster,deer,pony,horse,duck,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,nose,ear,mouth,stroller,truck,car,sprinkler,lamp,hose,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,snow,tree,window,shower,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,broom,stick,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,raisin,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,applesauce,gum,carrot,potato,bread,cookie,pastry,meat,hamburger,pizza,cracker,chips,glass,comb,tray,box,book,paper,coffee,soup,dish,plate,bowl,milk,jar,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin,game
owl,0.0,0.9807090982685187,0.9750685055887776,0.9732047316078584,0.7828487974325624,0.74221642651418,0.7208716778551187,0.7739458567392701,0.9034098210997322,0.9659139261962825,0.7614093398064045,0.8372513690407604,1.069031226745249,0.7351710267093081,1.0063357735593987,0.9126426461056951,0.9573257786048809,0.9547916057614619,0.9880527098242109,1.3404490288255155,0.9435957365185688,1.2103742639959068,1.1346911230665024,1.1205453428222465,1.0646679600693867,1.1736878586700328,1.0187008522624104,1.1142686862796236,0.8978805380718189,1.0187432459451697,0.933225539976483,0.9604134957106647,1.014931202703553,1.0518462888594866,0.8020769134560849,0.8806726502828619,0.9440675978796759,0.9040527344829358,0.9542979662933916,1.0342801396335004,1.1997778605760971,1.1460701947905758,1.075454756387236,1.0231152637577243,1.0445148790533003,1.035623355608,1.0784037597311156,0.9541164701293976,1.047463807491005,1.0635815763281018,1.0682474690614532,1.0228370733046985,1.0505334378428381,1.1498830474385127,0.8150275550422086,0.7632150732993994,0.9055220849453212,1.0803645027396747,1.2448164432248363,1.0944290605727443,1.038752285417242,0.9513465294294347,1.0803088606949967,1.1272475439178562,1.1439247827617678,1.1509297428093745,1.218019196358415,1.062818136636004,0.9573650035530484,1.0852606820205608,1.0675663573729959,1.074759959118351,1.1610560873090126,1.0545713325956645,1.0913300949698466,1.1280852721794061,1.0029175824361785,0.9350571149730658,1.106772857994953,1.0053775828291631,1.1112784902621393,1.0808084508072107,1.1483311138212913,1.0540223932040491,1.1392286299013377,1.1550736072157095,0.9925936569185123,0.8644486420458873,1.1515588248407167,0.8828782351437764,0.9444855798867655,1.038866139749572,1.16514419312434,1.1114258717740337,1.062545108245612,0.8846655371118022,0.9438253819701892,0.8695005012367294,1.0072892416349362,0.992123658203195,0.9195129938240004,0.8995875945571299,0.9378302271386147,0.9392282573111285,0.8878084695187108,1.0947713000789823,1.0070930107924694,1.058876701858079,1.1080482914327199,1.0461291876141372,0.9424369074872627,1.0221848119794241,1.1784035003052913,1.050439854540745,0.8783153591745888,1.09263569291612,1.2383630333055284,0.9310042256936951,1.0887736376451909,0.9753800484326314,0.9608211670062838,0.6858090856363375,0.7951568996405923,1.0916224111283388,1.1281249317890092,1.124210538155083,1.0133280750471096,0.978153277348537,1.0395132522745505,0.8697322272233302,0.9073862308167274,0.8977847363191471,0.8174077835057074,0.9085881674746261,0.8852035810473757,0.8753580484680697,0.9057396043723851,0.9132565197020541,0.8693392228437622,0.9404488460112548,1.1252608647026625,1.047399221569249,0.9525462000371663
elephant,0.9807090982685187,0.0,0.6191149303826783,0.5922251455748591,0.9654699349417319,0.8683787831484456,1.1511391962039208,1.1343577892826744,1.1845695238376563,0.9211270053222657,1.0700383726479963,1.0857718978985316,1.0061000655937462,1.2423176062566366,0.9175663318381879,0.7667474280495856,1.051296159844258,1.005888593745338,0.8447799706034551,0.9824536994410435,1.0825121693344801,1.1437875597517824,1.102893639327359,1.1577835100515208,1.0243667695208207,1.1134371440103077,0.9780333307383169,0.9852309241364078,1.1719038244244107,1.0336342430912548,1.1443347871773337,1.0230904431850503,1.0595042101382237,1.0189654130412988,0.7686498888346864,0.9052035933431833,1.010728154609023,0.8207992903632119,0.9959495193559071,0.9156881310713305,1.0820327519078996,1.071665594853017,0.7876826551745005,0.8381595717029959,0.7714959201359586,0.9660080070383835,0.8525993780350329,0.4917494377188514,0.8050312695093703,0.8973670523931188,1.1396164763872447,1.0547494139272326,0.9181534437741561,1.0674255882763437,0.9297492415202764,1.0690065244751086,1.0576346923601991,1.1505501104575837,1.0915104441420704,0.9708196969447076,1.0436880910875115,0.935121620310634,1.07215670606585,1.1261001389581478,1.141700209591371,1.1275797552824147,1.0710241627979276,1.1298144514470443,1.221910593883574,1.097221480078032,1.0815208567519838,1.1509957836654023,1.211669456840534,1.20171203002857,1.166733981310664,1.1187326451025237,0.97883625776774,1.1246628760439275,1.1680080274962317,1.1593148918919984,1.1014134887960294,1.1622624596654862,1.1660223393139093,1.1226286537744032,0.9648503284766843,0.9812742966877251,1.1097044927319533,1.138214085728011,1.044471088899016,1.1006562110871627,1.0132397152363042,1.159482236883508,1.117822045564422,1.0618945095389105,1.0412307780711316,1.1288680255604935,1.0775906260393555,0.8350447970475606,0.992919175687973,0.9972767905094965,0.8895217642644322,1.0982862164963196,0.9470832985572283,0.7782908775031918,1.0955839223535884,1.244111269008173,1.2541439907363734,1.0674086571011498,1.2242770669199459,1.0954343036825378,1.0774765978588994,1.109884786549062,1.1880153438858576,1.0721063155628519,0.9732640912276024,1.1781884003388783,1.081704895049228,1.254197668217576,1.1150362062194223,1.05728374553767,1.146176924983249,1.2515877835991844,1.1677194607494317,1.0597407035626027,0.8308463933475956,0.8374679897620929,0.6390568140003839,0.7618512708031455,0.7106981440499769,0.7985892549056923,0.8611824800189918,0.7537536357846693,0.8198729828536067,0.7029565280900638,1.0171174746691938,1.1258650221227544,0.9606195183396431,1.0832666937832138,1.101885070373645,1.1151825630509598,1.1542592013713597,1.1821299379561871,1.0706215860247825
cat,0.9750685055887776,0.6191149303826783,0.0,0.9023555090475989,0.9055305217933489,0.45234481835552875,0.8246385701074324,1.0280775566210254,0.9322864750535861,0.7715881625857758,0.9158250515833879,1.129174092214237,1.0717636642270207,0.9926206606826882,0.8921594158843831,0.8274543871938278,1.0076933186469748,1.0515882494613769,0.9787291006153197,0.9184755211523726,0.9433309460762479,0.9622675162007976,1.0921426329113346,1.0907862635116787,1.1520038771725476,1.0932058607647275,1.0586389056193832,1.1190353490652771,0.9645284819978847,1.101591105920904,1.1379038454709454,1.0680741055401861,1.1235333812557033,1.0449508118358923,0.9681052726504108,1.025877572141259,1.013372586603916,0.8591215336081088,0.8612278498204743,0.8217607903487164,1.0804530683434526,1.1777421633869607,0.9101257707093882,0.8564061349448007,0.8226283834326396,0.970397126140603,0.8373773392001878,0.6995334067054928,0.8382926276798857,0.8726123397959085,1.0881551344625344,0.9881774540358799,0.8795716494962919,0.9188633747356338,1.1460061478733965,1.1441582416691825,1.1849094170717207,1.0273407359871667,1.0964867975732422,1.0029332372211814,1.1246566200958417,1.0693715728346036,1.1632685542739911,1.236813844795292,1.1622248244632638,1.2369791056238029,1.015597315022269,1.1446472123313405,1.241860882728541,1.1833053795410473,1.1537310066227378,1.234418107760517,1.235139384669171,1.1813567203556756,1.2221966112002538,1.1705969069647009,1.0375653241576626,1.1459592056661134,1.182094530840202,1.1892233818728262,1.189552378133256,1.1396397613193758,1.0382010321540642,0.9980368145801656,1.0322802728764344,1.07473554560277,1.1615277638389496,1.2316886479925397,1.1280864625650098,1.1664161584612502,1.1667411005389088,1.310028937483211,1.2173485634289751,1.1956590308555988,1.1536291303690795,1.1479880198863501,1.0163230152239981,0.8803525307676278,1.0579422788247492,0.9808217926589639,1.0245813556511925,1.1676342194070413,0.969507693210572,0.9050261288794668,1.2512153199114524,1.2210094125460402,1.270753823463742,1.138051946721362,1.0292971186951427,1.1709578527747297,1.228695609235545,1.2059863042774528,1.2328206493173157,1.1589936594398593,1.2024120209497027,1.2129400895047846,1.0929869688930314,1.203987260289455,1.2138648437199246,0.9824116545664566,1.0647031530386357,1.1930086404248836,0.9907811753732436,0.778904552733416,0.8084069362167883,0.8422712475687084,0.7324412902172242,0.8902957294919461,0.861136613372032,0.9079196721376978,0.909617653445168,0.8582444236996116,0.9811946467025675,0.7884824651441058,0.939082921877943,0.901679092640164,0.9102731547487791,1.0237263666373624,0.996981839885027,0.9026910023707932,1.17847622833505,1.2020355998927401,1.126397555948625
zebra,0.9732047316078584,0.5922251455748591,0.9023555090475989,0.0,0.8872593567850932,1.0421007657333556,1.18491063691893,1.1661434801070516,1.1493642012738583,0.9956074078033833,1.0163505547454943,1.0913556272628762,0.9341760514971128,1.1490700534409115,0.9039384725648442,0.9591515775254671,0.975196232150154,0.8812976104797094,0.6938114692580204,1.2026970710087064,1.076429217945212,1.1712507650713901,1.0897289391409943,1.1546355200723335,1.0805381963217873,1.1037490897901776,1.01774500275915,1.104127972293216,1.0592674205308288,0.9500825803590689,1.121038034038711,1.058023416471582,1.1438883982530568,1.0037534950126499,0.6064312168733523,0.780482975638245,0.8513727269949161,0.670498241152237,0.8847774487277986,0.8477407281663971,1.0895740027809957,1.0668034893078695,0.793889391908202,0.7981241037248616,0.75327919615672,0.9869250473259185,0.8642209996528342,0.7325671050549447,0.843810882684198,0.9940403175473143,1.1077056317404095,1.055378800314759,0.9491447073735887,0.9742587848754715,0.8576888422665383,0.967776692705918,0.9604958676605836,1.1721478500781246,1.140535323644792,1.1489015719112703,1.1253878421398704,0.9757733299684995,1.1612449948746462,1.1605118762209683,1.1756925010350905,1.1154765069820223,1.0912440237824408,1.1668224114909822,1.0991045458608397,1.2245877549401067,1.1385050234729621,1.1772313385549482,1.257715200562425,1.2001532352563786,1.2334122058461694,1.1934314010254428,1.208647226302309,1.0142393472580828,1.126280207412915,1.206197662077418,1.1384855844903556,1.1369239379925016,1.2280187660198747,1.1498162656808373,1.1354118776726407,1.1374845687699167,1.1370062970936923,1.1229325474722236,1.1835249583326128,1.1090744384215039,1.079276962208417,1.1197330203407456,1.2249482704889822,1.2204733557031893,1.228607688451472,1.2412699277124803,1.1071569199825892,1.058461260619221,1.000522908539619,1.1150702558959398,1.140840470411554,1.063150982718268,0.9151328996618102,0.7852247542592017,0.9238825154084885,1.1220302460939435,1.014881484736731,0.8567196255664875,1.2471372884986325,1.162999074765359,0.9398530539533112,1.0570789951584054,1.2508788010561231,1.0310746271619338,0.8765009304847058,1.1744707748637992,1.1533670952465709,1.1659319893144753,1.0973121224952862,1.0603809089909004,1.1589087364952606,1.0531502948301181,1.0771888596320192,1.1106093931107515,0.8288347221891958,0.721880351559089,0.5638217867239159,0.7740249593099819,0.6513925046543673,0.6498536305897444,0.7929932067614444,0.6275995332398348,0.6118349656571016,0.5933584527178165,0.9594412019857576,1.0386171503629684,0.8688277333553992,1.0073887590608088,0.9435779113444714,1.0385313830751721,1.2019054242959077,1.208460663130344,0.955830567013377
alligator,0.7828487974325624,0.9654699349417319,0.9055305217933489,0.8872593567850932,0.0,0.6730654944643808,0.8478218257539523,0.9663156470884481,1.0436654291205738,0.9873961272599716,0.8721199977106906,1.3076449579250098,1.0130173716634687,0.8605807541877045,0.8449249291518033,0.7060943542667784,0.7968486912925575,0.8307069187911043,0.6241534033039889,1.3776827208463667,1.159175670289216,1.4224619926105286,1.319270490447345,1.4287192435997107,1.4245966848342708,1.4314531102427637,1.1453779129362895,1.3787342334739263,0.8212889175958626,0.6760460518979232,1.3511081776325682,1.0618776289865364,1.4416679922987166,0.7452515025978079,0.503036486249146,0.5375919865238612,0.44918403262120266,0.5077333382821589,0.629272297194609,0.6263619438527854,1.0331011152470495,1.2766511569266847,0.7100574640224842,0.7937804841834519,0.8185993583636666,0.8715589201672593,0.7386803640948151,0.9806269842253786,0.7607377943765903,0.90668040466759,1.0662812047221677,0.8291084289663075,0.7200988974340975,0.8676608269980989,0.7335444372760584,0.8342382528541524,0.8623796812715437,1.2153845026216845,1.3494224063389253,1.2665681090691396,1.4273581326909763,1.366925239895073,1.4142299031983838,1.5315189934454843,1.565151004709886,1.525116982783041,1.4835312488458234,1.5200246457096935,1.365346373714478,1.4299987983432212,1.454951631927686,1.4817421858273885,1.4663435801569,1.2335486087655592,1.4768770582016701,1.2827563830956856,1.1120001763723102,1.0656361996126003,1.2933590301163922,1.275362743093204,1.5186786684421336,1.5852764220577586,1.643461862622841,1.3825408714406886,1.602615589478777,1.5572368598876878,1.1612235428254052,0.9536872558855787,1.3367660106308648,0.700909235933928,1.0182911081554051,0.9568264671882116,1.430237224640265,1.2594514417688716,1.2408287065084553,1.1466907090998317,0.9506741534544504,0.7010592847278829,0.8514969199718411,0.9492836695105614,1.0041380059611318,0.8606330458212385,0.4872764858313626,1.0077154921373963,0.5797757305561793,0.9697816200410194,0.8298174808494858,0.5724702398059867,0.9816603937494147,0.8663350771167667,0.8571523766516118,0.9163218551785073,1.5162448550165382,0.8694266312483239,0.753192800399115,1.3018961365684003,1.4621941200838928,1.2892098282398499,1.2897336945345805,0.8741078317957576,0.9159551984062563,0.7746282942056265,0.7737644759178108,0.8916085634903906,0.7733319630987732,0.6923544761258976,0.7119088715007934,0.6589554125731314,0.7016836379757444,0.6461237540846548,0.5686890075914726,0.5813066142329045,0.5195059629174885,0.5212676828573037,0.5354409480596873,0.9257704771314312,0.7699742060067285,1.0829135520492625,0.7696398057897187,1.0857507806486963,1.504573098228437,1.4315361184185083,0.6764866156450438
dog,0.74221642651418,0.8683787831484456,0.45234481835552875,1.0421007657333556,0.6730654944643808,0.0,0.6659337348198362,0.8590229471242858,0.8090163141357206,0.7618683391045129,0.8952213901255838,1.2638816465398315,1.1294176751372975,0.8926447287669423,1.0664081688782632,0.5284198584925022,0.8322835077828816,0.9088681046590759,0.8394897375608015,1.2180443731135213,0.9432278179791509,1.0609597013111867,1.1166161907862158,1.1182524951800836,1.2615974637396268,1.2088166903559268,1.001847412832234,1.1974630998394582,0.7323204352695927,0.9993897262523695,1.1454451941467843,0.9532663019691215,1.267434504460135,0.9941274161361591,0.9098480463332875,0.8645395343231378,0.7548427136829382,0.7971677401073476,0.7064724223549217,0.770330206077813,1.085163758176048,1.3438199365691244,1.062821002625922,0.9451029200370968,1.0334842126044392,0.9199805637623083,0.906260882152351,0.9671533971896739,0.8488753321087608,0.9166801734818364,0.9842113019120269,0.7729634180756128,0.7906387297392379,0.9144590759930751,1.0102700037071268,1.019797528788771,1.074488150860129,1.0579580251651963,1.197418123653129,1.1997322940285646,1.2996254105492502,1.1317154653899983,1.2723425198849354,1.4233361546714534,1.382065420063272,1.413153802900307,1.371607212481193,1.300568422549527,1.3050864959805453,1.365038907738667,1.3095319944706119,1.357195481777174,1.2946584156764958,1.2854527626907608,1.3618988198449347,1.2631078539745788,1.0195017858150843,1.1088530607059426,1.2424899681598192,1.2619550253936755,1.3125511596313362,1.3106712237954663,1.262521345393102,1.1679405640866123,1.2329526965170263,1.1988790243524796,1.1212618710330127,1.1368225168277521,1.3083382020978462,1.0548169520177952,1.0193813993473804,1.218170066122431,1.275866753705333,1.2731426364565093,1.1261366158328465,1.039991338771103,0.8786137350664305,0.6816720768471787,0.9123499858082226,0.9431224884653455,0.9664563453836688,0.9860095207536856,0.8059343305453868,0.9764103140541984,0.9634200970013493,1.0442847325402589,1.1053459552986353,0.9737866500958533,0.786408186883679,0.979317728562544,1.0840573646284684,1.1724762647460243,1.392797388628896,0.929099856693994,1.0079252398880034,1.1702383886546044,1.329765866097427,1.0705733146122278,1.1865386071097275,0.9305541085853525,0.8633646377679658,0.9434686568844078,0.5667826862854896,0.7838097392622327,0.7389982031382212,0.8011512018046025,0.7878240724971084,0.6729771857688766,0.7647095252185833,0.7330904660418027,0.6555233173822157,0.6824880041046273,0.7850239760912645,0.800950222585548,0.7659702022485209,0.8016545172554895,0.8719535938806834,1.000685241454028,0.865150286380413,0.9671591217663433,1.3187980758285671,1.279679972304471,0.9770242468984319
rooster,0.7208716778551187,1.1511391962039208,0.8246385701074324,1.18491063691893,0.8478218257539523,0.6659337348198362,0.0,0.432414852481412,0.4774180699621804,0.649291539751599,0.46244073965508314,0.8594200030889523,0.7549826147874719,0.4846384065129896,0.7275054947165267,0.9902241416850119,1.00241978999622,1.0712149034970984,1.2146500099804896,1.1502597800203742,1.0013047681177316,1.0081632149878137,1.0719676759886696,1.0571476005920306,1.0745766778035049,1.002484838399364,0.990213564508339,1.0929586683080499,0.7472614905688648,0.9867960705317834,0.8699266946742661,0.9050386733225689,0.9097319170819447,1.1515503269030922,1.1486048863066056,1.1021729929078234,1.0779883754305828,1.1133978811036105,1.16518329295958,1.1988537273612625,1.2700386892063253,1.2018502029864049,1.306911034387959,1.103293387297663,1.1005896121437622,0.9425186262733759,1.082783406787,1.202107968623298,1.149920128192822,1.1783995994266308,1.117075482233842,1.0977798918203612,1.1240258455476357,1.1876432776084007,1.0970192197628994,0.806049169392518,1.0827323443463484,1.062172610662281,1.0746586775184181,1.0949315680074754,1.0636503314625172,0.9989930937462955,1.0334344491193581,1.0404848562794695,1.0297089731768732,1.0688173805690964,1.1519851810609087,0.8872862666645126,0.85984351964771,1.017794786900062,1.0295131641078488,1.0067592556502987,0.9165269041343275,0.9533044358694268,0.9922879165045007,1.0290361598888624,1.0923544730486796,0.8724342443909757,0.8989226189743121,0.9421443745269461,0.9855658518890472,0.9839003969176935,1.0213067908999995,0.9227820506767658,1.0798730198063682,1.0327348988442715,0.9475633446461583,0.9755831771425519,1.1427600568974048,0.9651401905260909,1.0904741388904204,0.9944989344461256,1.0181973359376824,1.0756341003044292,1.0332036798037967,0.845424728809697,1.0911576594316104,0.9047948796673463,1.0737658591396548,0.8873324203346251,1.0111469421032786,1.0610767682118243,1.0447981818639187,1.0671369673007458,1.0453445256662304,1.0143357456534445,0.9473654437129633,1.1037187996163986,0.8577079617597873,0.9402614918699003,1.0002357132864965,1.0662740349222466,1.0869475444070145,1.0365960887297816,1.1086126566648116,1.0074922352764137,1.2134425795429207,0.8552685546969093,1.0714450810837475,0.8016386955822332,0.7328718843660053,0.6732650172037532,0.6585037383844103,0.8977782936511864,1.1767155505512905,1.251158353982996,1.1116849518220664,1.1360536333953362,1.1894874304067522,1.0480233954361595,0.9682190877738068,1.0965718969776022,1.10179112559802,1.1471517605284305,0.9345582532370287,0.905863433533517,1.0559577745299908,1.014262508907417,0.9306921888053128,1.0105145784185257,1.0374205349842276,1.0064766130163159,0.9321931417161692
deer,0.7739458567392701,1.1343577892826744,1.0280775566210254,1.1661434801070516,0.9663156470884481,0.8590229471242858,0.432414852481412,0.0,0.6140523270642368,0.7577871314422913,0.619878157301561,0.8741593075382269,0.8608480389283789,0.6998289210675844,0.9559284740772601,0.9981631530669376,0.9843726719823233,1.104864052911524,1.138956672398282,1.066593817758351,0.9559832279452024,1.0390805904763987,1.0447429488174242,1.0203506458237714,0.9950006719432076,0.9805985600671512,0.9311975921361266,1.0795995256515576,0.8088798945997836,1.0264707232565267,0.8788944609099691,0.6479298523703393,0.7251262769234481,0.9922928998958136,1.1219900654174564,0.9804506002241689,1.0659102505737887,1.1033692873066494,1.1156447719812206,1.0966750160020862,1.1211541975760022,1.0549327719928423,1.1174423125379784,1.0688079777124235,1.1019384317137213,0.810262755171177,1.0123398589374168,1.0773716023267363,0.9993171829106747,0.9492457941048049,0.9938518201470511,0.9668267458922861,0.9715313959604772,1.0837828253129471,1.0547246164190462,0.8879089557518492,1.0035481351417173,0.8818196703049569,0.8689532306407,1.0877669307220839,1.0004564498350537,0.9325525739548172,0.9153389088632489,1.033093714085378,1.0197832213251683,1.0465068248963643,1.135114077135192,0.8655642300587919,0.9364321344224655,0.969822851397815,0.9818711566872104,0.9730102815201752,1.0226578286445553,0.9100531888697138,0.9964161473684287,1.0490713957258773,0.9701116006977617,0.9226577292440499,0.9416609976304777,0.8846419369652554,1.0161861689561624,0.9798748504024649,1.0022448232273882,1.0231427103684434,1.000358965032793,0.9438316270022323,0.9901930716193591,0.9230935931713017,1.0257058563499297,1.0667654694458308,1.0036212671926836,1.0764372703424565,1.0287035383294376,0.9704272973512411,1.0082297811855823,0.8935510552842203,0.9665230398777735,0.9565926731893651,1.074940617086773,1.032631327429972,1.0250805417656044,0.9613946691265235,1.0016705600138462,1.0357669935043057,1.059761138104707,0.9394241400560955,1.062917752008878,1.1047706169407987,0.908835641830051,0.971806084148425,1.0520706583187225,1.0156141255073299,1.011123635736197,1.0589996570534135,0.9946237341957449,0.9328519300494771,1.0515480979374543,0.852527128099378,1.0204563550366992,0.7916338142599701,0.715794601675126,0.8390693962379048,0.8311848650331926,0.8359419337597436,1.1575663211357856,1.200791244509034,1.1517005561134463,1.1200670416076635,1.1384946651007846,1.0856356546681114,1.02206569400612,1.108412506722718,1.100483064479068,1.1683227283525248,1.0649855955848433,1.0276804869185687,1.1421776522415712,1.0202876131506213,0.9627977597511025,1.0768331065238714,1.0048991247751786,0.9610542345045426,0.9882773501130838
pony,0.9034098210997322,1.1845695238376563,0.9322864750535861,1.1493642012738583,1.0436654291205738,0.8090163141357206,0.4774180699621804,0.6140523270642368,0.0,0.34414183344451843,0.7582000368772881,0.7574659792954374,0.7589664531779425,0.6436148842380345,0.8120036323388394,1.113565220357995,1.0745853058769772,1.1770764025824927,1.2446258539930841,0.8817958000242858,0.9638608137698489,0.9291711991623843,1.022973738492221,0.9788958999115577,0.9257668587047089,0.930441491880439,0.9944878094507401,0.9053419004114495,0.9434059397690033,0.9830492682809183,0.7960453212562444,0.8854272989028784,0.9013579715231534,0.9845933993177949,1.2778735393717362,1.1837612864756781,1.1911841634036584,1.1695501621685713,1.1905055343651196,1.1657662560503201,1.0326734581284684,0.9582172175772695,1.1534276196949664,1.1020425477571447,1.1610070941645525,0.9904086680433382,1.1292754744750337,1.1822557872725554,1.1929090474005573,1.1165623616493343,1.0638050925176032,1.0448600885602677,1.2044466448934723,1.167736816777951,1.1796918132780876,0.9857659389014459,1.076232911173412,0.9801882403284383,0.8864582817343494,0.959549823367096,0.9415815883453317,1.0099049854955686,0.9106818957134633,0.9708898797096819,0.9564693562795957,0.9596371399341087,0.9422952265824281,0.8203526926993847,0.9691017482869614,0.9866721232114409,0.9870812094946347,0.9671517996562138,0.9145750317711017,1.030417743595401,0.9809379756331091,1.0486373611193487,1.0733967321178333,1.05447385438874,1.0077489027557216,0.9512554548454767,1.036896850434182,1.0077083816947494,0.8913833598382244,0.9989696328652827,0.9839301957651007,0.9679349515559755,0.9345977198286715,1.0629282316485522,0.9852963546318806,1.0928306302828292,1.1066820475414483,1.0503717474290937,0.94784915095751,0.8870731446236176,0.9963457100772907,0.8329468779837144,1.1496098647060478,1.0617033908704983,1.1484610913000761,0.9029958643078904,0.9764948120664426,1.0305406128463854,1.2196187720220528,1.0248216485376023,1.1570871150589022,0.9352773137687943,0.8863880301532674,1.0365437554317523,0.8984770996611272,0.9585455515843606,1.069473500995662,0.998585856075044,0.9249206257302994,1.0433918182614448,1.1369733742584434,0.97308362565879,0.9863729055969863,0.7892752195282752,0.8096435266440265,0.9466341386083377,0.9293097712256582,0.968462364607823,1.007636182582352,0.8992851243672195,1.1645639137678117,1.2335140019218973,1.135367001279369,1.172803256452619,1.1822891051979851,1.1760660090171984,1.1534783575760397,1.218935899380425,1.2050273132285871,1.2192039668798464,1.1743218180974777,1.0964539401593216,1.1394531240681918,0.9738090275708188,1.040828630220919,1.0368457586650668,0.957874784930253,0.9238755155971032,0.9627489451924542
horse,0.9659139261962825,0.9211270053222657,0.7715881625857758,0.9956074078033833,0.9873961272599716,0.7618683391045129,0.649291539751599,0.7577871314422913,0.34414183344451843,0.0,0.9228759650439498,0.9389719628826978,0.7329028403291855,0.7096371655347928,0.7785743497773974,0.9628305977101095,1.0446912222552653,1.147568260742653,1.0772371782904386,0.9015016950167716,0.9209255671355067,0.9364900611791366,1.0444317070011615,1.002053277783217,0.9592807845564756,1.0843960702324946,0.9472782234109897,0.9168087891588489,0.8551842632545976,0.9597850011825642,0.8700880854188859,0.8558634093145149,1.0928138670914933,0.9361282814346886,1.0990696103211763,1.1802300324849857,1.158281095904892,1.0095525981462299,1.0628776612491826,1.0141436362166991,1.0218258709500774,1.0959149643131079,1.0329567556239163,0.7849483913924801,0.9612638662376221,1.0330495499980121,1.0109944991800979,0.908815806030831,1.0243913807793934,1.0464719291578466,1.1728317581863847,1.0635788101840977,1.1417135678385522,1.0859443959509025,1.259927932690752,1.0683538186828756,1.1924950784801693,1.0367364729673838,0.9933893232211642,0.9039555684455602,1.043815689189418,1.1101117869822694,1.06369178266695,1.1507630315621413,1.1051638885048303,1.1413894114652656,0.9780979811881547,1.004074824290231,1.1761422814808284,1.1540346859000088,1.1422050861433535,1.1818031735283985,1.0771205073940215,1.1827591573746166,1.1979765792117814,1.183481509679875,1.0799496433914801,1.1752566851559787,1.1428286209970184,1.1406345261676751,1.130663577035065,1.1018174711452908,0.9007830240678638,0.9624923255366126,1.0015605326343304,1.005034958387097,1.07454023977529,1.1852950348549522,1.1508871531644524,1.2086965598283452,1.1232497070925012,1.2571307066357316,1.037439335666197,1.0590754878570277,1.0711894360505183,1.101205970295535,1.178447932436559,0.943454873498066,1.2052928714566145,0.8727236093944946,1.0526010421945418,1.0663552952896558,1.210287417047469,0.9463558122569269,1.244103547356675,1.0580099318299703,1.0498661386048327,1.0684695682537912,1.1144275849464622,1.145718567495048,1.1834935590637716,1.1239660724762366,1.1253471712832492,1.1279065028634174,1.2001951387288161,1.143791648198442,1.0904121239830518,0.9272484607670193,1.0217373429726198,1.0541522565095605,1.0962289992454664,1.1005813577151446,1.027860032476855,0.8252770644095344,0.8697605606612694,0.9133222905660761,0.7988745808227657,0.938848964398599,0.891741595594602,0.9635434869309686,0.9843259127414109,0.9925672660963484,1.0171909766404643,1.0050543173803554,1.0368818238803585,1.0168806457564048,1.0548514838351415,0.9404680056175272,0.9359504015034424,0.9852148405446962,1.0670986046383113,1.0347352754533172,0.9688614641059266
