,owl,elephant,bear,cat,zebra,giraffe,alligator,dog,pig,rooster,pony,horse,penguin,duck,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,eye,nose,ear,mouth,tricycle,motorcycle,stroller,truck,car,sprinkler,lamp,hose,swing,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,snow,grass,tree,window,shower,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,broom,mop,stick,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,raisin,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,gum,carrot,bread,muffin,cookie,meat,sandwich,hamburger,pizza,cracker,chips,rock,glass,comb,tray,box,book,paper,coffee,soup,sauce,dish,plate,bowl,milk,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin
owl,0.0,0.8158932609468447,0.7202236602627288,0.8966831333919733,0.847020248281618,0.9130052889018203,0.7187139936182132,0.7495306788828016,0.8983628924780492,0.957594077438945,0.8521701768205853,0.9429231126103874,1.062204306533132,0.6293126107774757,0.928019462584711,0.9530539915147651,0.6897147490125595,0.9859785119487647,1.0218321161585826,0.9412954147749053,0.901379927898059,1.0026638270992256,1.1974922293436407,0.9540506569821212,1.1767667603639151,1.071165245928941,1.1122467880657934,1.0955291103584885,1.0052917276431579,1.0314559360252016,1.0630879338670056,1.0318096974523754,0.9048159561080931,0.9756504901203512,1.03378475931802,0.9696635942527356,1.0586898199984218,0.8172527497645681,1.1852929431761168,0.8474535123695122,0.7881494808962761,0.8041553033767928,0.8156406122235638,0.9028495115866008,0.8270344654203642,0.9445070950637035,0.9415468532637328,1.0891509355954285,1.2838701843407843,1.0508406879173342,0.8053389317981052,0.7229322412310055,0.6734576698648782,0.880154006404503,1.0650234411795525,1.0216027882158916,0.9735298022938796,1.0958629951064296,1.1375230929493525,1.075645353615776,0.9912492256309156,1.0740094320747515,0.8428350208941442,0.8750254514960543,0.9109887400937083,1.084425301305085,1.0353713867111245,1.0755279776079818,0.9418298265663249,0.9665239603606958,1.1157765149880607,1.0582750540667192,1.0967512374575938,1.0981649734212913,1.0942356067059984,1.1473847840719735,1.1016108495299661,1.0592255794492027,1.1266257309133811,1.139968683131762,1.1538611579123144,1.0569256624563708,1.00198532108766,1.0839161138056213,0.962062092263763,0.8681800010731826,0.8404596090608047,0.8900185652589462,1.0297536673424574,1.167441490966212,1.1836573041164842,1.1309867766633679,1.1074522889901606,1.169800269497936,1.119928512247744,0.7718059561090121,0.816227695122907,0.9557414899806548,0.7295343566958059,0.9096046582885788,1.0053281942885641,0.5697559807306591,0.5113172276393756,0.6842103910440726,0.5420757429071492,0.6917831529726777,0.6839840261716547,0.6177341306804833,0.5885208941974989,0.8746932091230741,0.553120962046424,0.892425768882413,0.652345863251207,0.8201114376305946,0.9768674909523205,0.9874569660413725,1.0295859588680965,0.9333744125833773,0.9019159779435659,0.8721854782978709,0.9282147639170648,0.8985440842104376,0.9757009785432668,1.1299454657485366,1.088660141287373,1.1788217787673825,1.2262111817014776,0.8960166949030237,0.8945632511164548,0.8582180679924144,0.8139805473858928,0.7887268965040513,1.0521842591135795,1.0546848195409237,0.9753299738766072,0.872169497773545,0.9333474843426803,0.924390009011803,0.9758950475987016,0.6986017339703462,0.9502552388674069,0.8174551518269477,0.8876981274698204,0.730084270951161,0.6978768259483326,0.881331123797829,0.8205901781301768,0.9239027646555262,0.9349531038703396,1.033747273873499,1.1158037936209448,1.151518076563044
elephant,0.8158932609468447,0.0,0.6618534696583,0.6559358810866386,0.7288716165446454,0.8375219070592157,0.8888646413803309,0.921433185534114,0.6147782780038448,0.9649322814193317,0.6085383577471222,0.8371396904371167,1.1445809138541112,0.9986217885848193,0.9774651791735263,0.8438722790504751,0.9700640726559285,1.080867275206956,1.0350299385211519,0.9544278948299586,1.099487570440639,1.0391336625923928,1.188214920358508,1.0540404713580407,1.084847774976196,1.1041695479602005,1.1281851995304129,1.1375130508919562,1.0180548863709187,0.9508623925642468,1.1510714865096747,1.009606830701214,1.1038613207584589,1.0688633238749754,1.0781821183855977,0.9170088937445686,0.9927172238811506,0.9779639418779218,1.040424102079723,0.9737313493377641,0.960993331062625,0.9707626651796679,0.8980544241240354,1.0023071056146504,0.8497448171069008,0.9912126971267886,0.9442042553211888,1.125279953096525,1.055896036987613,0.8254837384834633,0.9591400262390942,0.5846147676916318,0.9104461882524412,0.9779348825170444,0.9924740323266394,0.8153833677923634,1.0383391122720809,0.9927259881040714,1.0622872185989187,1.0500680458799143,1.0289594955241708,1.106040272360959,1.0822521069379696,1.024557566015613,1.0482793072018979,1.1017881448057536,1.0460749451397406,1.0528390642588314,1.0934016768996626,0.9891521263326146,1.1331432597290187,1.0302658818459944,1.1668963381087907,1.1299455126094224,1.1505394601153092,1.0626227020566141,0.980803687059285,1.0754858763162936,1.141898951200336,1.1072210935244526,1.1261193570654606,1.096948156987228,1.0972393707095294,1.142022449470447,1.0561548623667292,1.1377390727863326,1.0332476886041588,1.0354735041171659,1.0157962388737072,1.108850213555358,1.1363055965599207,1.0769794944096278,1.10537311446858,1.1102479587270442,1.1025497134997837,0.9691924795225246,1.1156515921412944,1.1794576916076789,1.0118774097342667,1.1348982466882749,1.1820046197950305,1.1221780639634262,1.0397525674269932,1.0314890677849,0.9736307385698482,1.0289861723565488,1.0559995045697208,1.0787622969168371,1.0775289536773227,1.0243736333837272,0.9073114311868793,0.9439386161776351,0.7122726911087602,1.0929193055137465,1.1188842045986642,1.06574259130015,1.0063218101991838,1.011463601842774,1.0335308356694106,0.9813216265234835,1.0643809593645195,1.0262618121873492,1.1133006275354318,1.0522067448033536,1.1501399624924669,1.1123059277577334,1.0261746718017684,1.0393880437180494,1.0627362970492091,1.0983895796152088,1.0844596790806849,1.0573465009647394,0.9940298995711889,0.9205925665382132,0.962233911450801,1.003502468942601,0.9442619700881434,0.9498456295329072,0.9020624032878335,0.9952539141502824,0.9831771757458548,0.8951917151977795,0.9257979276994482,0.7754324547860613,0.9561010880097608,0.9991738874154406,0.8661105246500752,0.983674458181226,1.0367818677169693,0.9128579406987731,0.9932576205217043,1.049461236856862
bear,0.7202236602627288,0.6618534696583,0.0,0.5669905855324995,0.9111756084162109,0.5503218611047772,0.8520424081402115,0.9650659676791302,1.1502636948121776,1.172818603454082,1.0747665745212867,0.8760901201039687,1.058387264812946,0.9433539955648127,1.1133605431869444,1.0617305047694048,1.0593485657431831,1.0844953884377317,0.9178200143664837,0.921237908856358,0.9503054062839318,0.894420158301172,1.1151928045985642,0.9147814678931414,1.0298332993821289,1.0158041692966517,1.092911470241939,1.0937654947688131,0.9726096652191922,1.1028355846970044,1.0256576804988766,0.9849398805842353,1.0902936427086791,1.0516236795407845,1.0666929628569595,1.06468630988991,1.0364128310698082,0.7884616473353436,1.2292042967420573,0.7841677430698796,0.6980199480292762,0.6328621665087819,0.7735463323220311,0.8044702017026828,0.6951769534686534,0.8156683344028768,0.7451680800212226,1.1455097222799329,1.1347436799372623,0.7761335743640021,0.6807510902345333,0.4723593342112584,0.6314981540993772,0.8572100446390443,1.0127922088040107,0.8283602651840365,0.8836590042691725,0.9894843027851797,1.228594255019764,1.1179198720496797,1.031722313044669,0.928985525338216,0.8788026245544495,0.8296781899642915,0.8630090719802126,0.9897486933244707,0.9383829402443356,1.0069634747826182,0.9727603931901739,0.8650810119096745,1.1564896732330425,1.2087967377265538,1.1200493794795794,1.097913420291288,1.1198653695589607,1.062337977301291,1.1039349700157293,1.151663597090003,1.1743532873526528,1.1350342818671368,1.1767510200081854,1.1617184800239346,1.024621665287048,1.0906604428815898,1.0901497779000384,1.0345765236271283,0.9689922473025949,0.9998675270172929,0.9859706897706197,1.0651197135899655,1.0594591505608217,1.067330876820618,1.0642498723952774,1.1016828399603065,1.0732009297378169,0.8754533512050843,0.9801195974372726,1.054878990297169,0.8050620449396151,1.1038485165474556,1.0428792688457436,1.0646507114286423,1.0089322115895971,1.0952474493586313,0.8257945230496457,0.8099145978132365,0.9552814340645768,0.9982850697939477,1.0991877984501535,1.1239389256759713,0.8509707986512409,0.8287666733935283,0.5105379478123058,1.0590739370102118,1.0510585468141744,1.1625302516830858,1.0799388021154033,1.0008771357473323,1.070075044043519,1.0407926326151042,1.1659773544816248,1.1322280325773368,1.165855662411854,1.1743976642620857,1.1297134907153756,1.1367532679971344,1.1582020828285322,1.0915488506552116,1.082684786228348,1.1620797565801502,1.0594986569357208,1.0963815351081416,0.8945841186186341,0.7045577529757769,0.6564232825061839,0.8272896100153366,0.6684838969545065,0.7867228455464638,0.7245371874184046,0.85893542223389,0.8035895411202624,0.6666581814443411,0.7549388926742318,0.5716530494206427,0.7407037342665245,0.8545459427250409,0.7824963544958045,0.8195388974073282,0.8737617707947158,1.0056895265426082,1.0648391721449038,1.1748915166434073
cat,0.8966831333919733,0.6559358810866386,0.5669905855324995,0.0,0.7624003821029819,0.6342615930089737,0.983885873060428,0.921804382166699,1.0991781957909772,1.007819226686685,1.0899067553195279,0.7278738031187137,0.905648264987472,0.8264319750507616,0.9705094427603775,1.0885911315210226,1.1006983256579634,0.9298847767265426,0.8189287037650861,0.9368645182480647,1.1061172946485953,1.0076138062182654,1.0840814990732635,1.1839369520824836,1.1277581933022145,1.1155951487961113,1.14451129744428,0.9463413505381325,0.957985369540823,1.0471755941083274,0.801503829134165,1.0358158785061458,1.13658375888755,1.1199868048299673,1.112460944240834,0.9873340519133503,0.9758237994234925,1.0215530742927166,1.0152615995877035,0.9475026954257673,0.8702302147541287,0.8958857814015284,0.9168978667318628,0.9691941360464941,0.9056430183406865,0.9837400215483301,0.9275736474935119,1.2417900436481852,0.9666339236636862,0.7764714717781787,0.987380976765451,0.39518751800219,0.8022358877655635,0.9000502941253382,0.8640342988304691,0.8186761810405174,0.9753755729812559,0.8840025919313286,1.09321305830794,1.0340823926110962,1.0040332794506048,0.9944194423632187,1.1315467386260663,1.1223010636955628,1.1014756631458789,1.1167144576384835,0.9827961926777722,0.9892710906211498,1.0943907412814666,1.026373615272895,1.0477125579702002,1.0854502354363518,1.0756824051783997,1.0586831388503934,1.029085023156762,0.8696089115053125,0.989782287670625,1.237949466598197,1.0536783709280766,1.0807571901958832,1.0839798102177958,1.1388966546539974,1.0068901154176177,1.17090036342789,1.1629641455028823,1.083476002582599,1.0209219824710902,1.0403369894242527,0.9065749397617462,0.9668889466308028,1.028268748220372,1.1796051472286817,0.9562232703788324,0.9021761363579109,1.024201214780262,1.007085597057282,1.1598032986614977,1.1627328253321996,1.103027464470601,1.3196331842055704,1.0959030093907987,1.2161268387804736,1.0982051597313118,1.165122025315235,1.0503768517075533,0.9698009566473254,1.2195023385491588,1.0499492489787972,1.2484744343621406,1.1602795132004136,1.0041461664932838,1.035823423653352,0.7866126813895973,1.2235383100140025,1.178072157447189,1.3148463276778801,1.2165536262869117,0.9513006443720321,1.2361686607777191,1.0632548564868514,1.1227480515609034,1.1112438133009679,1.2504802949435792,1.1700514990266768,1.2348904799505207,0.9433257516825131,1.0353287130890523,1.1600932800477821,0.9557917643692441,1.0578936188426045,1.2391859633467668,1.2269506818587885,1.0357826078895003,0.789865258710357,1.0165451219270234,0.8863488104671814,0.8372796566076546,0.8797294935012331,0.8567235263316897,1.0670040133794458,0.9043043935462871,0.8891446936577198,1.023762391765453,0.8560626628728512,1.052170350510638,1.1596029380383148,1.0526968185777892,1.1790967885011452,1.1456933227842088,0.9908811026030022,1.0467690550135649,1.1356552495788752
zebra,0.847020248281618,0.7288716165446454,0.9111756084162109,0.7624003821029819,0.0,0.7916134374173529,0.7672294221150482,0.9155262296763729,0.9849588404028579,0.9588385673121106,0.9812390062563439,0.9220299449705551,1.1507378968709723,0.9382861643655037,1.0149146419815214,1.053977308486853,1.063876117562118,1.0988412205471325,0.8821112729333234,0.8627346344783007,1.0293059671287688,0.9773911226927163,1.1600168238334492,1.1278007022871834,1.2607702197072004,1.1359907769824265,1.197233560828178,1.1756673598113914,1.05974885970308,1.0324111562427019,1.0769502615465627,1.0166074438511474,0.9793029636207192,1.0334087801802008,1.025009805053082,0.9061258742389929,1.0251822311057164,0.7387564910807168,1.1032961334916176,0.6953479392408185,0.7767500856936775,0.7037042223732068,0.636851058113756,0.6913809250192389,0.6854320840868281,0.8987469226484024,0.7062780870754936,0.9695291509454025,0.9505267154708043,0.7640187722284666,0.8526715588091781,0.539190600457293,0.702476238640376,0.8204345525566852,0.8452177870170727,0.839615041518337,0.8347390293795316,0.9257464015211399,0.9889232441348272,0.9385673226532324,0.8147425772101845,0.8504290933933132,0.9384170469173138,0.8335046946524927,0.8350424749555398,0.8789618345532487,1.0157022373078919,1.0660165013072227,0.9763537293930308,0.8900302934567594,1.1605006803452387,1.0632605087028757,1.1695245166208834,1.1647585583872053,1.0873884062217913,1.1755668438571498,1.1742310080524005,1.1829367213505768,1.09892576211229,1.2040358018919357,1.213089844338517,1.2758304919205794,1.1978014630800784,1.2503968569141013,1.1783174296156185,1.1793586844160284,1.1482158654793981,1.166340830869103,1.0423610304222353,1.1880012068438452,1.2220901644908517,1.2426966364769036,1.1843089660422106,1.1703894243238713,1.273452844360012,0.9127038935645023,0.9316309722778273,1.1801239304492706,0.9927714258115539,1.1772749645516285,1.1046972917030733,1.1454087013356116,1.0999473460829141,1.1002063428061781,0.869373004480294,0.9865655383491653,1.0388628573898382,0.9816717752159131,0.9948567862282355,1.026614188484689,0.9815863624093449,0.8641426600667519,0.6460924591217635,0.8771142758579524,0.944423521591608,1.0460433838535264,0.9893277150191653,1.0027498193994748,1.1005857109121677,1.0521406534825424,1.0042164038233485,1.0926728704235606,1.1548591035669233,1.1675751042591243,1.1973681811691494,1.1675868264238234,1.1515613244384895,0.8988116115284492,0.993640119856474,1.094602635550135,1.0669828529762155,1.0861142326763111,1.1251391458439055,0.9876166498862865,1.0422096919516384,1.0030539026814695,0.9206899813906532,0.9198200375047293,0.8880796006600065,0.9354640659893451,0.9332908425852652,0.8922179585813237,0.965320378204512,0.7814570503793505,0.9264442739540473,1.156182903828354,1.062129438211405,1.0510164580157024,1.0339436244107922,1.1594369014734542,1.205938671732706,1.2620167976576826
giraffe,0.9130052889018203,0.8375219070592157,0.5503218611047772,0.6342615930089737,0.7916134374173529,0.0,0.9491429717173986,0.9305217686838014,1.1359827373370013,1.1635898649372711,1.1055909461663413,0.9571885734284683,1.0879741021485234,1.0331504903023008,1.1223806466112438,1.0557505277266384,1.1451374033486703,1.1426574957465463,0.9284945005735349,0.973308977563949,1.080388711346573,0.9915563904813612,1.1927423530754524,1.1793599111304256,1.1677595795289515,1.1879630848780398,1.2107002822624413,1.1806703967271468,1.1376860296867153,1.1454343833836833,0.8763761874414485,1.158343521865023,1.049050129111153,1.040989310293123,1.0493719982309868,0.9749012971855487,1.1110878998915126,0.9192347084923006,1.1416342217527633,0.9541994443841602,0.8872779054522079,0.7352767668045757,0.7189086926485456,0.6562924533869999,0.6127206852273979,0.7835235740949891,0.7515289656053283,1.0080404432303998,0.9869872490380829,0.7626381591829409,0.9683324178872021,0.3847758164569377,0.7125917387047436,0.900991088369034,0.893957748801601,0.7797013495015643,0.7911010091712417,0.8408328945099,1.0503285404364981,0.891442734421176,1.0365788291397426,0.8503922040192693,1.083787744220834,0.996599869172471,1.0500381821241014,1.0022285408265128,1.0198765073543419,1.0393401331299168,1.0978621934920012,1.082915488502573,1.2516508296207993,1.3037267537732995,1.235180365305526,1.2623857762369415,1.2546283835262777,1.1404480483968076,1.1400092066513436,1.2444613865916576,1.1418694964583818,1.162810592986672,1.1618982402180236,1.2370935576296476,1.1581899899912402,1.2392266981312674,1.2451859816408772,1.1722779215053427,1.1547532806208805,1.1926261779454392,0.9977075334735024,1.1336904263696461,1.1606406337656534,1.2531148336289153,1.1696029107917605,1.1507656761559641,1.1360318793757438,0.870966798569069,1.0473374614009499,1.1819155885449,1.0381404987012512,1.2520096686373625,1.2013435412890354,1.224927660832686,1.1633308837747043,1.240448963190338,1.0150726505805496,0.9885136736702523,1.1830125869079353,1.1472646795883605,1.2285338623539397,1.178787354287134,1.0811874488523576,0.933070590765455,0.7286249100686437,1.0608077892653713,0.9750952742114424,1.1597270484147548,0.9848434730139948,1.0224173961572185,1.193920697691267,1.0723657487312808,1.1948273675111176,1.1983852902334307,1.2197310983477714,1.0793903993785043,1.2056107983286508,1.1014225082620785,1.1233017104699552,1.040922600051029,1.0363369822473851,1.1677329442450701,1.131638221350586,1.155946091412757,1.0578623949710866,0.8401339616418375,0.8657738191882995,0.8918222255836867,0.7680004715558564,0.8693496498546428,0.776333699560753,0.9138810370502833,0.7872051303956402,0.7298784948279797,0.8333711653812248,0.6350289066403264,0.9882962205572144,1.1303934212049516,1.0441219516248526,1.1018284621638288,0.9710746191739194,1.048728910419346,1.0382689216892735,1.1771931988300186
alligator,0.7187139936182132,0.8888646413803309,0.8520424081402115,0.983885873060428,0.7672294221150482,0.9491429717173986,0.0,0.5580660456148829,0.783376654388958,0.8188947759752545,0.7523939171655347,0.8582071666011606,1.198054536143348,1.0852077861795306,1.1962392871220782,1.018045300856643,0.7320056184891411,1.225900546939138,0.7361081499800259,0.6599394886484266,0.6894419784640148,0.747859316603581,1.1620940388917296,0.9601511241521773,1.2080330262363201,0.9392063970235845,1.0716543747530474,1.2138754888547751,1.1117349734383148,0.8652297400355125,1.0423512288578385,0.9284333645687273,0.9954943548600261,1.0131404059868605,0.9892106006020062,1.1229097258529908,1.1783482593442312,0.6837710879973877,1.5240839707386495,0.7618827519073024,0.8193773503920156,0.6185326034534184,0.6455652360238098,0.7287266978313509,0.6270918702058143,0.73222969612963,0.7003612570674497,1.0244097819821665,1.3793760440621112,0.8564739136413544,0.7308683709460901,0.8118493363583499,0.7124603435082059,0.7866918489014477,1.0133282976061193,0.9857940390372134,0.8193530850376827,1.0394000001555288,1.2382911618878905,0.9968571529683599,1.062944815167519,0.9548673184588,0.7926649654594928,0.710658006832146,0.8200562183116825,0.878766585231173,1.086124868004665,1.1625357402260443,0.9211855980792024,0.9541931926994124,1.1764821158798688,1.1881494033639983,1.327653774844027,1.2830300735313789,1.3088805622064361,1.3759085592501703,1.4365933650524185,1.2956838821677215,1.3886317389544727,1.4159195211309923,1.4929750208688342,1.274908960406044,1.2483929447932378,1.1519753130168089,1.1098385094968828,1.086319622946072,1.2045898154104553,1.1974924506434779,1.1605600047551574,1.2951064100565302,1.311075823383137,1.2290514459684416,1.2699422767664286,1.2943055126476162,1.2686912631769784,0.7927613814038201,0.6998299343933826,1.0222542396236503,0.7341128943296005,1.0762931113531184,0.9016752346548785,0.8209077153929778,0.8566851286724204,0.9534108906196133,0.45396553243828697,0.7206697002380843,0.7415571895232831,0.7385893519772568,0.7798376560281677,1.116714640482804,0.8430727116933899,0.6984891587729146,0.7377096355131194,0.8145423586112568,0.8465495097048332,0.9453069735718154,0.8432499155353752,1.0559061839246726,1.062106201920345,1.0115128271615936,0.9476667063869997,1.2602361022702464,1.3147070079158727,1.3106984877278154,1.2537208344973243,1.3900320572268283,1.4586545742562937,1.1340641717656827,1.0487215914643164,1.1679077617764961,0.9210800472541135,0.6924286616676893,0.9010997447279873,0.7781055690058258,0.6591281098423282,0.7671604214358458,0.6493776296074949,0.6364643294919348,0.6413742008388845,0.46362978074273964,0.7232043348436071,0.5821765781019477,0.5790953432111883,0.5635176225830577,0.4910209430769019,0.8333356500204248,0.9029695268388489,0.8895881793956479,0.697354785989369,1.0908770272348416,1.1407886214474519,1.144718105045814
dog,0.7495306788828016,0.921433185534114,0.9650659676791302,0.921804382166699,0.9155262296763729,0.9305217686838014,0.5580660456148829,0.0,0.6912004388899934,0.6127118220496286,0.6213256271542784,0.7630890283374043,0.9083400782956154,0.9940456342083561,0.9023073874316532,0.9319999164785127,0.7756654319921589,1.0442377395928355,0.7731308274359473,0.8638213725403672,0.9696760369332917,0.9994724207638966,1.091172350844603,0.8859588301888337,0.998048607075978,1.1452829118181338,1.0533157828034327,1.2621248635278812,1.1363155970768486,0.9579719664252655,0.9397636840938086,1.2089426585148422,0.7998105812261325,0.7387168561913542,0.7030852555062952,0.9610910551979552,0.9158788253748193,0.8897781218744705,1.134794770147539,0.9538407408566058,0.907846922754856,0.8587450970439909,0.9093398738497317,0.9068194065574255,0.9104995272507055,0.7861169060151975,0.8389896889189135,1.149038692574412,1.250906326051557,1.10226130524765,0.9307439846559716,0.9555874970837983,0.8177502889587616,0.9735810622764107,1.0233341356512846,1.1952494349834415,1.000472521804422,1.0512885817601219,1.033159241628823,0.9742891501207084,0.9483649129266934,0.760097521568117,1.0757095144051279,0.9321732277640407,0.9589913586433715,0.8643867761010144,1.0493366897571412,1.0776014172470523,1.0721661892227623,1.1054336189694927,1.1779846945092172,1.0303690246711412,1.1641184830959608,1.1485705723414394,1.1907232046530027,1.1628248634797425,1.1438220180104892,1.0346760119489535,1.1834234701840556,1.0683962134848315,1.1703478283362247,1.0860918324133557,1.1073232900877328,1.1365365454548793,1.0760993077994425,0.8666343712831321,0.9624266041619574,1.0200030728507288,1.1073098687021687,1.2015410706171192,1.1814211708214217,0.9768909372303496,0.9107451841929297,1.0930193173871534,1.0748783856343702,0.9051738281724105,1.0436699641724791,1.0919524323850984,0.9207231436307832,1.0880336740394332,1.1046848011040247,0.8548682392140634,0.815092077583742,0.9710615367111576,0.7545090231599603,0.947169507334295,0.9431258573599494,0.8393623225402457,0.9069445686620221,0.9941240372002573,0.8933113265004953,1.0419492512855428,1.0057140625782521,1.04432443968527,1.0191130520839693,1.03690281681878,1.1124827546116804,1.1649877448056978,1.1951992770222823,1.1188267448754177,1.0984854806705602,1.2071326569653693,1.1514053756866534,1.0984845503198852,1.0273523654139711,0.9907410634240751,1.1021050491339948,0.9680947658686367,0.907348840731278,0.8469218340816995,0.8627399873843599,0.5424936321596336,0.8453035167870682,0.8803642677014702,0.8006856111430315,0.9002606232527468,0.7633258501077739,0.7790676149116429,0.8610258774683921,0.5795877926572841,0.8188025624873503,0.7820244927607907,0.8946092267559307,0.8059252030787453,0.6588678110735722,0.672424487634079,0.734995454452669,0.8850721315008048,0.7087716691548289,0.8775626005001141,0.976178397499038,1.0063063053375338
pig,0.8983628924780492,0.6147782780038448,1.1502636948121776,1.0991781957909772,0.9849588404028579,1.1359827373370013,0.783376654388958,0.6912004388899934,0.0,0.7775798142901649,0.17780200142664704,0.8374803192160454,1.0244037294731974,1.0281716909392622,0.8144888561782371,0.6642139246537889,0.6416525932177531,0.9280255035567525,1.0826564613284115,1.01412052010212,1.0877334543872594,1.2056234834105926,1.1581845131896813,0.9337230954317656,0.8900455166343152,1.0442825691244484,0.94604664073549,1.07959218967344,0.9941487342421161,0.9557888189957845,1.1456609938482774,1.0552278329733806,0.8443829612108786,0.816328229816124,0.8806980720180098,0.8518783532602361,0.8513184668661509,1.063648747368767,0.9154243526072824,1.0706540268532208,1.0305436235609846,1.1004524490094865,1.0909378326567583,1.128334527287847,1.1148047868632152,1.1287573889113431,1.1560683939602991,1.0728683794256206,1.133952949262742,1.1780862685238227,1.0817394752413823,1.0832658700548796,1.053927886405392,1.0779273716628,1.1133126035327652,1.174941829580675,1.1750889930762436,1.1869842240388646,1.0768640760417534,1.1298386665848554,0.9903239833805303,1.1048649736120886,1.0815625209891473,0.9808707513120515,1.0273530426858115,1.019438147382806,1.0003034689944494,0.9710676752371364,1.0293637075939195,1.0573185787385428,1.016256051353395,0.9121909035831838,0.9232056322043536,0.9386519904885723,0.9580380418329933,0.9876623537940066,0.8645630910150652,0.7630652783284745,0.9629620047684684,0.9023415970491965,0.9384592857254663,0.8299013187220927,0.9328290455356365,0.9240211148620986,0.768883463007974,0.7874505672012175,0.8366018995304643,0.8323701812383204,1.0412999442377668,1.0083407517559169,1.028957273226274,0.8953217706165092,0.9463577179299469,0.9832462689942654,1.0173557758826817,1.1086696083677867,1.044310452015306,0.99666100984145,1.0811625263801226,0.8567692642248077,1.020621491144528,0.8287826666049686,0.8962069020659273,0.8732433285488037,0.9682274026300203,1.0270714712259548,0.8897274914266851,0.9038986405297493,0.8990084146754099,0.8382120276916237,0.9360755526223986,1.078803373042066,1.1504513468799953,0.9663186067539457,0.9952057593621875,0.8133353298275052,1.0563890965614082,1.0241168329324972,0.9805216134024238,1.0943137798226412,0.9435996223676358,0.8958003460194593,0.9468302467405407,0.9934377468222417,0.8972280777070597,1.0065364051501302,0.9199573292200451,0.9111977593340161,0.9201706582294136,0.8170604248641715,0.7348341783976109,0.678803924610984,1.0696702071213902,1.192855001297746,1.10838283634325,1.0898438918987936,1.14123507673782,1.1144726926113742,1.1506977169320893,0.9650370436527563,1.1260112725325593,1.1669360744313222,1.1585256635681913,1.136081782520692,1.0553073504031931,0.9662838460845555,0.9478416454643375,0.9816088752094372,0.993955893508017,0.9541981362432391,1.0539200032200025,1.0428357170413722
rooster,0.957594077438945,0.9649322814193317,1.172818603454082,1.007819226686685,0.9588385673121106,1.1635898649372711,0.8188947759752545,0.6127118220496286,0.7775798142901649,0.0,0.7856534804505215,0.7265349062202027,0.8712686554731138,0.9853259238716252,0.8004805974214102,0.70732472160403,0.7193959045951667,0.9690893504577203,0.8482328221748956,0.9839120824497389,1.0566088799041162,1.1582368218100105,1.0604050474254947,1.0124936216527753,0.8932043264670485,1.0599529404856933,0.980936333336334,1.0868167811465088,0.9566675252804813,0.8835804551024903,0.8089238722239778,1.062993471048907,0.8630463967807487,0.8049124842462245,0.7799256443565601,0.9849607982682015,0.8792727975591649,0.9786310872579177,0.8439218770689882,1.028032016434868,0.9541720834080363,1.1197504229186526,1.123040202157099,1.1929329076243103,1.2328344215083586,1.089815310954432,1.1318527731433132,1.2040799553318804,1.2003777401527023,1.217705497036844,1.0757033678639263,1.104828943089046,1.1401321299815217,0.9619224660501783,0.9566963383374961,1.1872588106024105,1.1653470725604553,1.028107569091555,0.9633000095434644,0.9886212911137422,0.7704235015073252,0.876172711807278,1.119363709540687,1.0332586111332056,1.0175542077299335,0.8463746116826486,0.9503792662674521,0.9863398444708681,1.0500620186397907,1.0607082361326838,0.9032695649042564,0.7857857369606155,1.019322899359746,0.910246305954901,1.0516526331816245,1.0715374301736524,0.9198938897254699,0.9210480773742671,1.101757814290084,1.008036304267857,1.057430742214969,0.8454908740697784,0.9750497251972883,0.9464380825652339,0.9310994176096543,0.7439377394377612,0.9040275764502945,0.8530660726568622,0.8843299463814096,1.026934402205457,0.9721960329246037,0.917600841945681,0.8150464612564257,0.8818340151388676,0.8196012201263125,1.1309543681904328,1.0777282663546317,0.9671683463993233,1.052251469280459,1.0591147875315814,0.9661258967609659,0.899833836006633,0.9712391898740358,0.9997176878011054,1.1771278605489053,1.155234733896821,1.0009281383678992,1.0439519975125977,1.1720422449355778,0.865013531235767,1.0031779519711805,1.1563445617346377,1.208241375964065,1.2119169530276976,1.1806543969564678,1.0876734704828317,1.1658602381375847,1.1350691448658305,1.133195690036105,1.1059335098459373,1.1337226525082902,1.143337317640376,1.0946055346378336,1.0085381568383012,0.9463226257705397,0.9085237996400248,0.9468832796956543,0.9533819856492532,0.7420117681050756,0.6561448166921497,0.9767357776662874,0.6344452691744236,0.9280115269753009,1.08260418320145,1.0534059971284904,1.0752475432617474,1.019136216919171,1.025690594855831,1.0722087211324856,0.9085016923187756,1.0199628697796237,1.1015899771657165,1.133307943452961,1.159626091287029,0.928681606403125,0.8810873363049474,1.0172564521822305,1.008070664292097,0.881783536441323,0.9457483659380657,0.9607579266875791,0.969699561342673
