,owl,elephant,bear,cat,alligator,dog,pig,rooster,penguin,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,finger,toe,tooth,eye,nose,ear,motorcycle,stroller,truck,car,sprinkler,lamp,hose,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,snow,tree,window,shower,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,broom,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,raisin,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,applesauce,gum,carrot,bread,cookie,meat,hamburger,pizza,cracker,glass,comb,tray,box,book,paper,dish,plate,bowl,milk,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin
owl,0.0,0.6669620233907266,0.7579923678317062,0.6457402152601307,0.8176394655728437,1.007151208150543,1.0313092505489503,0.9617567762832905,1.1776929146002826,1.0902115478951384,1.0825637507207437,0.9644271580357243,1.0035625699278385,1.0350818319993669,1.0402125423380952,1.058643991887156,0.8511612256568455,1.0064376949397895,1.1152175480761972,1.1694537788561261,1.2055539300228824,0.9394732571870889,1.1631054502251936,1.147945671202851,0.8142227852136639,0.8665743820137632,1.1836849762485442,1.032083113498775,0.8658503908223121,1.0650646102768067,1.1007709203299365,1.0125380734638763,0.8096716263919611,0.8713907055095564,0.7478516204389657,0.7280608599082166,0.8950644535631923,0.9107311990561145,1.1625953555207778,0.8838447286837946,0.7057419361150614,0.8198988079456963,0.5406097689199749,0.6653293838152282,0.6288349416911874,0.7908597584411988,0.9228682618913898,1.0198231464088496,0.8950655910743535,0.903924576013446,0.8113043778839227,1.072492472268174,0.854028799185076,1.001488945720918,0.9185291769912701,1.1902671694669236,1.0670013699937657,0.9550680630872087,0.9884269141951124,1.077486433799358,1.1032689657385493,1.1081448712520943,1.2075631963502134,1.0280904040503174,1.110238887983207,1.1853330113271023,1.2728201844720868,1.1672836979822117,1.1487458088054365,1.1400621392041046,1.090490242939674,1.1273844456888116,1.1881732750080578,1.1531631280669952,1.0889262057693947,1.1195549000289327,1.101610521732454,1.135562272251962,1.1229701567591277,1.1034005723408031,1.0756779218729622,1.0642644931330025,1.1183119165152684,1.1235714871762186,0.9841438516115547,1.2101281404091755,0.9692242324599951,1.1647143999645848,1.1157721722153855,0.827420490938761,1.070119075510116,1.1397441488176807,1.1098218649152913,1.1573473271718755,0.639170408401401,1.1323229987655916,0.5800183021877074,0.821460429750175,0.8993929822481687,1.0411708062268956,1.0946959480079852,0.9142798899352855,1.0537155678269745,1.044589358925493,1.1096764131509151,1.1279552641156338,1.141874345268579,1.2069333774313733,1.1387457598728443,1.0556885819350732,1.1236452539809996,1.0591545085605096,1.1211716063675299,1.07196416438429,0.7136205616603006,0.7394601482056229,0.606938774488613,0.795783438713334,0.7576661099135586,0.9032787952320378,0.7968606252412722,0.6866481628174345,0.8653706489396905,0.6922324779734911,0.7019548324575079,0.6049778090649934,0.8973196421143893,1.0128963925310854,1.1360727412433946,1.1107998401568542,0.935816499044009,0.827429428907959,0.9810876589522899,0.969760544582501
elephant,0.6669620233907266,0.0,0.9622139741148362,0.6420024302627942,0.9238304780326786,0.9332783358256154,1.1525453206634033,0.969643727412503,1.098935912291399,1.0550286695066398,1.0325493658457667,1.0398784685802187,1.0409602916718774,0.9771802959176644,1.0405169368630385,0.9584509158337531,0.9026880695291924,0.9619813447771143,0.9209202461399202,0.926272373440604,0.9037934856857598,0.9343419176980632,1.0449924908409636,1.0455653509631073,0.9704557549474486,0.9747024635870534,1.0028346170865088,1.0552050934364465,1.0546988027863733,0.9802128672988222,1.0410848264883577,0.8874309579294035,1.019323170693594,0.8934084114462155,0.984231782175409,0.8979463623137511,0.8705475473575358,0.9277315475414479,1.0471462518526375,0.9672571441288934,0.9375695777595214,0.7593216782510592,0.7398979303002706,0.8719711898377438,0.8184058268357952,0.8947590197105884,0.8479351538725168,1.0103352837187487,0.9344666125255808,0.9300307997425831,0.8517672726853621,0.8457268744290961,1.0230723786867686,1.069952848919624,0.9285683603402577,1.00988603015585,0.9583687657648037,1.0840604328857983,1.025217838136499,1.0783327392799582,1.0410874902122538,1.0227431416528499,1.0937137068631566,0.838117841665843,1.1426182411309735,1.0900769296620032,1.0526292998306388,1.120961513704489,1.1522045504669238,0.9980623202903555,1.115699254498018,1.120732165330911,1.143403820761978,1.1192480021097817,1.187991330651995,1.1034025922703257,1.0947511575037487,1.0254232407843282,0.9943657913749181,0.9122261318316276,0.9994488181653096,0.9664578229804147,0.908356842213756,1.0841018632839567,1.0732303912507195,1.0516452279881845,1.1197598247598979,1.101218118123299,1.148958108881214,0.9384391179284984,0.9849237154762436,1.095366035068811,1.0629691947582571,0.9615281192038241,0.902960392462314,1.0520211712954672,0.8339340918938438,0.9515127807638318,1.0150080049115746,1.0709892919110255,1.168124067556319,1.0906519717654677,1.1330335821229878,1.0779170215603424,1.1935334385500305,1.0893712117751104,1.0187791487123317,0.9983398563679381,1.0606807408206391,1.152548753126398,1.0818940609942143,1.155361737299684,1.183258085869187,1.0287838928810804,0.6705348759281735,0.46444030788188617,0.7646532869797117,0.8526089126620002,0.7847979680439068,0.9168971827149845,0.758909316468839,0.833133990910949,0.8801375037528179,0.7677157165115853,0.8162084687051134,0.8051845706314351,0.9465089015485771,0.972346529692275,0.8495213155704833,0.9535784237167765,0.9345067128830241,0.5747083149031988,0.8836778507037715,0.8394467938842918
bear,0.7579923678317062,0.9622139741148362,0.0,0.8327205775065274,0.973582818769834,0.9264355955970511,1.1453296305352174,1.1280530086841773,0.969738150050517,1.052184103696302,1.1076932354161793,1.028291648205974,0.9846413506329846,0.9470012018611136,0.9856840645542022,1.1007192079481851,0.887459513620251,0.9279863455240668,1.0919102769261617,1.2541329998435358,1.2404407628324545,1.2061308806060465,1.1224730733596522,1.1805969622249897,0.9640805571930031,0.8367489409775788,0.9690035925061684,0.9755103270292244,0.855015216788567,1.0796025260028872,1.124075639102256,0.8860264050548039,0.8550450403435365,0.7175528487709587,0.7803337130184282,0.7784306853280343,0.8404454983672852,0.8559731120586038,1.1117947465692268,0.9375945226849082,0.7224536491249041,0.8017179452809102,0.699764497700686,0.8782577618698338,0.7458637354622601,0.7238517741071401,0.8419732067095619,0.9209923351567513,0.8834910100508592,0.8108161884182706,0.7689250151954488,1.0594744480659557,0.9929632856459013,1.1190256135420376,0.8866153921440936,1.1141384129030902,0.9320520790951341,0.9262888240005361,1.1058096350297548,1.1375862431919757,1.2255551289897402,1.1864095967299044,1.2152982469833207,1.1505872924733191,1.1655147651082831,1.1878615466549678,1.2210767444293522,1.1890616064544426,1.202460205543918,1.2667564149412547,1.2668236766828986,1.2459138983707874,1.1616519049785317,1.1843042519822833,1.0178511454791197,1.2005346877078542,1.0875232669455097,1.2217927198797933,1.2036298245746757,1.1619852446692314,1.2250761305113715,1.188534842534524,1.2000390137568144,1.1071472827077624,0.9874563798957758,1.0443142011803772,1.1187228205410922,1.137868453461316,1.1844304338055538,1.0678000981064582,1.1341857104679378,1.0442733770946804,0.9433398071310223,1.225741101424033,0.8358814970329665,1.0812854515494117,0.5847305874026241,0.9533902633887585,0.9638780549239195,0.999693362199717,1.0947085612474872,0.9545632118798593,0.9963293083548211,1.1410289003850718,1.0961498297747703,0.9816434500702655,1.2026059076592168,1.2352286724735408,1.0892633927701274,1.0420230510870847,1.0941702580589483,1.0843026512968605,1.1785452437384676,0.990539214763203,0.9412495382389183,0.9969626174323888,0.7848731631520951,0.9406091968611544,0.8200754830050963,0.8424924705821493,0.8477575508978971,0.9617972805128773,0.9522754904662679,0.8981429366996474,0.8913375425532173,0.8257242905922437,0.927503980332253,1.0161031111417822,1.184171665245343,1.0601051457835056,0.9832890920684395,1.06177414997607,1.2652555161992542,1.1286842014496132
cat,0.6457402152601307,0.6420024302627942,0.8327205775065274,0.0,0.7062113291112112,0.28069921849828927,1.0028895824007689,0.6834875153606507,0.9226179352325244,1.1258644253872356,1.0833915649567853,0.9300648907746296,0.9900862091855737,0.8485854963385574,1.044373119276174,0.8846172734974765,0.8718688238863214,0.9863239398115913,0.7137726211737754,0.8979233281827848,0.8781467346076851,0.9538824010866866,0.943709697872059,0.8934669199543376,0.6794770855966832,0.8008787640636357,0.8372000497208576,0.9406300786795044,0.8708113115562548,0.8977941548348266,1.083004110521177,0.8187600586545705,1.0189239239554904,0.6893321768379893,0.9845146311951474,0.7747100575949337,0.6655216953160376,0.8249318514640797,1.0237748767653287,0.9005429818804785,0.8741166200097098,0.8263319959753909,0.7374895239833035,0.6975823325832502,0.754297378165583,0.8005961558069576,0.8401691502444419,0.9185216400318241,0.7825011446709539,0.8544261160647828,0.7100921426096196,0.6971807667725676,1.0025053752212814,1.113003025256796,0.93528602757295,0.9856043674241235,0.8446943357474723,0.957001996242229,1.0475431855031858,1.2076728474505163,1.1019499848935592,1.0502370557973004,1.1262779003191807,0.7170479003947315,1.2586362793988077,1.1347041226705628,1.1659938555906415,1.18674868056965,1.106864540422036,1.0941827197313803,1.1395056072741006,1.2076138239856848,1.1701908988288783,1.1760982656104488,1.1275728273863246,1.1573573366325633,1.1003505447463482,1.0441256032190034,0.9880717787031004,0.7801680246788927,0.9648435086962173,0.8413762410198177,0.9037122693501944,1.2797728219663256,1.04829228905097,1.1005446382167043,1.0644421145639569,1.1520718083415709,1.1783846369213886,0.9375495316026264,0.9992598017066926,1.0262849078816791,1.1246705603220761,0.9942737210105822,0.8231522083380214,1.1256054110762843,0.7342779756789287,0.7502766226498996,1.067707939752824,1.062246182072698,1.158900204306854,1.06258279527108,1.1217844716503538,0.9868056017992984,1.1297893517303277,1.1218026718114085,1.0482240176192523,1.0388377007862712,1.0447174194204256,1.2591794002276275,0.9807467331559638,1.1181414507517093,1.2145602798883908,0.8528440823460581,0.5327079495248259,0.5579217568686721,0.7007593591933851,0.856623202644546,0.8679700041411379,0.9558233533603787,0.8124299033825952,0.7753889492255369,0.9563555202184189,0.7706819056448575,0.7816313796275769,0.6924659719307464,0.7535001187636342,0.6858251350182916,0.7666971492068364,0.8157546291321216,0.7257606975239785,0.31036408196877785,0.9164704750322727,0.7957847948216754
alligator,0.8176394655728437,0.9238304780326786,0.973582818769834,0.7062113291112112,0.0,0.7045215540696543,0.6727457175243433,0.4912542470529523,0.7178570778847471,0.8764711268933075,0.9083922926080135,0.41035684690317864,0.9680257258427292,0.8199433669792456,0.8849327324164061,0.8970625564543158,0.892002616902577,0.9809600140302598,0.9875707764227445,0.9804636596384511,1.0251755176839241,0.8120987286215189,1.0795613462118163,1.0911542235304046,0.7933032728753169,0.7378966911466027,0.9912292374647279,1.0530847718152265,0.8512246575735496,0.7994333216265409,1.1180651523663543,0.8787464321635172,0.7264407948841269,0.8690565581120485,0.7846765966926738,0.817651986968553,0.823607205406624,0.8716281787193695,0.9842107840239303,1.013664711919639,0.8818366648010075,0.8345005590227063,0.9012219841852657,0.9214530431464132,0.9833174328592892,0.9355060415723163,0.9644584355584565,1.0328548883935114,1.029936682173123,0.9861899405475029,0.8326646747469338,0.9510783613379074,0.6221933926335543,0.6146800664341948,0.8873918701512654,0.9263495408222844,0.8575479908030181,0.8484376937768376,0.7750778142342624,1.0598799025040098,0.9937595420288361,0.9964932612099006,0.9516972986956451,0.9217627675318235,1.1743803273430766,1.0545719766212445,1.0063457970866965,1.1624093394368418,1.0737883481872197,1.0387866106379535,0.9936412831311641,1.1177297565277333,0.9843558364109718,0.9704620186260593,0.883336620657476,1.0767013749957317,1.258696884028241,1.118166308856356,1.105954968653841,1.0276817386302732,1.029193636491712,1.0236870029314302,1.0652529111407838,1.0156592293463549,0.7128937042345718,0.8626556321733947,1.0489877486674548,1.084144403352635,0.8049054735960756,0.6849636930322215,1.0497353384376251,0.9668739423901986,1.009554052192831,1.0577977617892458,0.8105676273080576,0.8417230733020201,0.8840285986113183,0.805981136260431,0.8518363090665731,0.8247463221619298,0.7324891703630293,0.7108113336151805,1.108484760109326,0.9848039233774611,1.0596262379850605,0.9833470144164927,1.0095276719454134,1.2469175075064354,1.21417869924495,1.135538205315471,1.0510294583244018,1.0083445988789794,0.777115293354059,0.6417857273779517,0.8943936698603019,0.915183955095303,0.8851561177045708,0.9041964051703688,0.8295115554733615,0.9220186647480308,0.8657257280429754,0.6997195682996752,0.9348437538100081,0.8336758697804504,0.7205125485887542,0.7963501166570424,0.6166086100151705,0.7107579534835584,0.9383676359096241,0.8556079771250154,1.054559276658987,0.856612384106531,0.971257215503203,0.905894102024457
dog,1.007151208150543,0.9332783358256154,0.9264355955970511,0.28069921849828927,0.7045215540696543,0.0,0.8532599703710682,0.676407593474735,0.7206250540359829,1.0220307862428508,0.9690626438290839,0.8346448928376142,1.0082028404621122,0.8196063781313461,0.9547720804288039,0.9811978389259962,1.0513269271775862,0.9895896963623175,0.7519067584014074,1.018400187237236,0.9491760570825959,1.0854007593843717,0.9539445532070855,0.9356784619872827,0.7744640269041385,0.8543619159405096,0.7064923253439576,0.8328577571012639,0.9003878891851967,0.9250951720387213,1.0227900123651348,0.9127820859866804,1.0825742263356342,0.8309380855375913,1.1078621351178575,0.8999328430891592,0.7817984377771222,0.9614993103757951,1.1253272573594812,1.2112729675889518,1.1128059106862167,0.9905600723638365,1.0324187009428845,0.6888508531641115,1.0476858577306964,0.9596240342626491,0.9276814759282823,0.9604942575035822,0.9821403178573764,0.9596937579133631,0.9130223627885856,0.809616508281015,1.1414147336043594,1.157021912623349,1.0790642677360738,0.9339011419792428,0.8690234253378322,1.1318442244771678,1.1175945663361813,1.17859952632959,1.131454657020503,1.0863412732643263,1.0673211832817873,0.9569913156294823,1.1336549863329477,1.0660240663881588,1.1162679496893833,1.0393556689626093,1.1071664784587922,1.002697725334111,1.1157804105950013,1.1505027810938362,1.1489777437702247,1.0596062207590624,1.021424930693805,1.145562649154901,1.0515826742704357,1.07521712871917,1.005444073152236,0.8441896712136896,0.9595696666157605,0.9401355239635595,0.926349639161109,1.1878463649329765,1.1226152215611394,1.0406478906841756,1.1710589794911654,0.9999314611516651,1.1267776596350005,1.0619166148281918,1.0564378810772688,0.9102955466796344,1.0219738089892987,0.9843533925670097,0.9741860108259485,1.1230258211300317,0.9705316239951862,0.9686591800577065,1.18040262339934,1.131012047334219,1.0839037333132722,1.1218855040862004,1.1761027533318062,1.129723970387087,1.160082600853786,1.0624652230078575,1.0828324288004627,1.0564632383179984,0.945887964326777,1.13439451312606,0.8768938234594268,0.9089666422188729,1.0716440944646546,0.6627027434552702,0.8441952500602465,0.8450140360200082,0.934305777631601,0.9637061310496239,0.9991748701243195,1.0336329085388762,0.9558431942759681,0.8768575355908477,0.9510334163045437,0.9188906820578417,0.9170564721915747,0.8631062318448219,0.8631838863553981,0.7322952412322554,0.8885545499535593,0.749450600933518,0.8144167967561571,0.6635550470025325,1.0476629256913066,0.9699717148721786
pig,1.0313092505489503,1.1525453206634033,1.1453296305352174,1.0028895824007689,0.6727457175243433,0.8532599703710682,0.0,0.3542515399476962,0.816421983234738,0.6756899427995221,0.7121635284165875,0.581251863903806,0.9108806397930057,1.1566082579597183,1.0500098399026814,1.1316621668804576,1.305577294321592,1.1274943109485187,1.0891751745540044,1.0787424394049734,1.0257045543393222,0.9488328909430866,0.9383636339733148,0.8554602589159896,1.0304634686718432,0.9371204813588538,0.9709905197213305,0.9259120830605436,0.8396774167022873,0.7638281890876581,0.7264534099569857,0.9855941463912102,1.085638779665563,1.1319376613781584,1.0932201509551822,1.2084770496389206,1.2461985800926205,1.1505426395847416,0.945091582186121,1.008579502661541,1.093596939633306,1.2161326430102593,1.0158033407319433,1.0548430924116508,0.9813149869080152,1.0969123505644662,1.1314705818405377,1.037473220764898,1.0325693200083428,1.1109126182440088,1.123556046054733,1.110742719764184,1.0846579598950568,0.8743346279312021,1.1581250165994184,0.8226889279611835,0.9304104430725331,1.1656621278696058,0.8222230580637324,0.7854691657493842,0.8365452936484218,0.9382321561064739,0.9254716649760005,0.9937207626057548,0.7832007931262515,0.8078768825685395,0.7973376740218893,0.8598714768612072,0.8895448159480883,0.7075272139649027,0.7212156626430102,0.7407098327657959,0.8136924602885223,0.7267479530116004,0.7858308330432102,0.7460690869511675,0.9255207448224764,0.9180651743539284,1.0025169629170898,0.8639210023941463,0.9054963401264731,1.0245824067731881,0.9786357534722224,0.8166275438184645,0.9403947250322984,0.8208059561303174,1.0403202377701388,0.8558057914839803,0.8067043837188456,0.8890478375530668,1.0526922633976221,0.9443700261662494,0.9880656791003763,1.0220991781209585,1.122541270313713,1.0589663221303565,1.0416665432485905,0.962928908343301,0.9952810612437619,0.953746960895393,0.8454185962188114,0.9870490956937661,0.946895789283257,0.8172660827258306,0.9264037049865825,1.0888052591000528,0.9232120559204221,0.8644257771500465,0.825745852640332,0.8172938909889413,0.8440615116673831,0.704420073014023,0.6566508887109481,0.8197626937609288,1.2463245821348035,1.1986040747701807,1.246128611154712,1.139662332826716,1.2018115244679342,1.2131885331828618,1.2614160205239358,0.9833424286874276,1.2203210084437799,1.261743414969983,1.1620096174684318,1.1976882230385149,0.9881211624101373,0.8673240927488637,1.046052183376249,0.7522241677211139,0.8066367462633823,1.09639139045357,0.9038805408028229,0.9050892571110616
rooster,0.9617567762832905,0.969643727412503,1.1280530086841773,0.6834875153606507,0.4912542470529523,0.676407593474735,0.3542515399476962,0.0,0.7145688650906752,0.8601532936422579,0.8589695602171854,0.4974760201822702,0.9384849493434042,0.9245255624959374,0.8865680121956455,1.0256077972169215,1.213095557040063,1.1848888545753617,1.0146908889117934,0.9737249092514647,0.9210554618184633,0.8795699607118056,0.9214943562665526,0.7448329013827311,0.8386346181291193,0.8036498942100341,0.9338479048680141,0.8438387177344053,0.7307523990543153,0.8516568262298032,0.9007750214896504,0.9581363294851374,1.074273332297457,1.026985789436527,1.1188986169704376,1.1307097093936178,1.0725997386529351,1.0300899726446522,0.9044038249655296,0.9660708521962867,1.0935056270122396,1.0085053474857282,1.0410280169989103,1.004963483390545,0.9358075302103545,1.0973740023265641,1.075820329400363,1.068797350822948,1.0136320615569268,1.0251513775160972,0.9751935341092174,0.9553522130221287,1.027567554854012,0.8112864432855501,1.122496688299157,0.9011544627331496,0.9641893224028565,1.0947057388628274,0.9005202596357298,1.0304890075829918,0.8348970689415129,0.8963180438764745,0.8935276286738758,0.7520434271352916,0.9931753263599974,0.872696786674361,0.9199900386528994,0.955267527407635,0.9137251714391317,0.7434736457894314,0.793201538281553,0.8778879445208966,0.8514929877032809,0.8551506422685501,0.9290416227743621,0.9057110212057845,0.9998886843040116,0.9013896168721304,0.8888806139853344,0.7185107007175944,0.7778678499945562,0.8273940865652452,0.8582022709821622,0.9493495687058958,0.8592862917015766,0.8706858848295352,1.066795154758894,1.010189383539749,0.8651659325554872,0.7630541065941234,1.0776923895677009,0.9631489861517067,1.11055453278603,0.8913743767439047,1.089543035487361,1.0615257093350738,0.9246429778890943,0.8673244666282028,1.0008933755516067,0.9008399213056361,0.8868859744171335,1.0165295361700817,1.0560199313425997,0.8154994745032136,0.9830271807376894,1.06330503029081,0.9081882117552755,0.8974602662807954,0.9043560079675552,0.9836508951822416,0.8798841324724498,0.8486954157615941,0.7616094537593121,0.790957233520118,1.0129319892042057,0.9595251686849073,1.1297950573123066,1.1272853845931794,1.1266846981916419,1.1189294114503154,1.0829068335651293,0.856233283986235,1.1438765385110305,1.0896194313026617,1.0385233806827958,1.1125459776921465,0.84348898981813,0.767416013841816,0.9797009841103035,0.7555075356463146,0.8167065595752444,0.8100313525652234,0.9084382951305122,0.9036974693633844
penguin,1.1776929146002826,1.098935912291399,0.969738150050517,0.9226179352325244,0.7178570778847471,0.7206250540359829,0.816421983234738,0.7145688650906752,0.0,0.8797372805628434,0.9292939610358724,0.4920906177900415,1.0651670385100132,0.8851989821187833,0.8600295631231861,0.9783178740081561,1.1205200584110664,1.0649720245639325,0.9819110530048585,1.0088866196615298,0.9565266891080196,1.1280077085884697,0.9399301267501626,0.9659967846113168,0.8317333621648088,0.976242205145124,0.8942645161092591,0.928288037242425,0.9442150357226412,0.9662711360935615,1.0682104603148412,1.0175553142552491,0.9416699680308797,1.0371006741579027,1.0339530547662281,1.014844660375449,1.0069420442740917,1.118593357759077,1.0475097702117317,1.1681466265813758,1.1892988474141277,1.1010016094137733,1.1288061132213085,1.0286925184912672,1.1893860931185742,1.1118705669750018,1.1200579653212113,1.0827391967741788,1.1484134704670117,1.1031993268730593,1.0456134110944477,1.0635645969419114,1.0117998292689665,1.0152804647614686,1.074505301458318,0.9924762280559539,1.025506865035293,1.0245862928445437,1.056599611341828,1.042617804505417,1.0539932418396332,1.030511884235439,0.9063308523893405,1.0684726221217347,1.0210678390829138,0.8912783537125412,0.9987903348746966,1.021024035573278,1.0433372904818186,0.9749788147626381,1.015403078991843,0.996389406528566,1.0184234494909674,0.9174294625790332,0.7415103442987062,1.017362376569575,1.0811872027383673,1.0539820768035626,0.9962383252640331,0.9193951422424531,0.9413394576158362,1.0069994250304357,1.0364413456369783,1.0385316351772562,0.9020562238461498,0.8533824625791059,1.1475718177418084,0.7272909587161909,0.8990729796591774,1.0910895055895498,1.1369701150203806,0.9123752864451635,0.9047244914775479,1.0226388133358482,1.0139725219281863,1.0691818409304836,1.0460574845621966,1.161289535604355,1.091292932404047,1.0229535268151626,0.957149514906149,1.026079729739888,1.1040010263699584,1.0865766903374459,1.0520627889553231,0.9296145970262978,1.012687905330725,1.1003729528197104,0.9815623323829664,1.0353261036779826,1.048209240253822,0.9578604247864082,0.735134206084738,0.6367767350406661,1.196697621579617,1.137731710327683,1.177601347418326,1.1264356839997467,1.0320183572976553,0.9420745517602982,1.0143375643358323,1.0724892897162737,1.0610624280902299,1.0701083750967275,1.0179536459561975,1.0509820996997206,0.7688494014376026,0.6752272023262476,0.9701024412349432,0.7279749487560663,1.0677307750474385,1.1067968832617592,1.1261730772975658,1.0447832699913175
bird,1.0902115478951384,1.0550286695066398,1.052184103696302,1.1258644253872356,0.8764711268933075,1.0220307862428508,0.6756899427995221,0.8601532936422579,0.8797372805628434,0.0,0.09723839481898144,0.7345007038810784,0.49913575989186565,1.1760140490472848,1.1294220673777065,1.227300727135608,1.3173849769630785,1.1500787842395397,1.1238672568256758,0.9813707619623347,0.8879808526705115,0.7958995236536068,0.8232412355046727,0.7862909181802197,0.9952248625264347,1.1990248759940982,1.14959708000587,1.0515872114484521,0.9756726445284132,0.8265546810655389,0.5177708097144904,1.0643144753075329,1.2919985677986414,1.3283722590545737,1.2551852652470457,1.3248268888657835,1.3280868341861205,1.3748631062877217,0.90863508354149,1.008796673924639,1.2009067708808683,1.2897665901155557,1.0563217339752078,1.0745147677696805,1.0939110871219384,1.1749850226575367,1.253012084419539,1.1428844724545244,1.106475148551226,1.2449649124587092,1.1944088295165325,1.2654467560366025,1.208528528315711,1.0133988108383132,0.9918693553099869,0.7529575218996771,0.9825961812456359,1.1911949357690703,0.6691299040986356,0.836057749618428,0.6105474667152718,0.6358141210729092,0.7109706943432377,0.9412621467369051,0.5657074211135286,0.6736769253994218,0.6332783960424491,0.6437868497304318,0.7559339310337796,0.6214135615854417,0.6948862177089408,0.7897551765481245,0.9495843966002774,0.7603729003736417,1.1478687789291915,0.9971377694555191,0.7412227308852339,0.7451108314151831,0.7449862826643965,0.6486709140079107,0.7486172412433132,0.8338750980063706,0.8158115390963857,0.8195804548206649,0.9839036061354732,0.7489689499347969,0.9323210718387629,0.7563663488314298,0.9475741139429467,0.9842713961034744,1.0028649288228284,0.8915098040199553,1.0849734299008515,0.7888851010171605,1.266493403376914,0.983772076769924,1.1692258910991415,1.0772589548984504,1.2625072389602807,1.2568917219560674,1.0002767806548563,1.1569168301344332,1.0261155148028107,0.8718170375622569,0.9438331057511835,1.131066773920254,1.0538974692536311,0.782494098683046,0.6255150900716171,0.946597196911605,0.6430740265747468,0.6531759121774006,0.8941243124415986,1.1279136518940578,1.2991647595820974,1.285365608574876,1.4144234991022542,1.237424550846851,1.3344304501690702,1.2523078066032856,1.3124394607771648,1.1109092039535866,1.3062423040594346,1.41840966360111,1.3216178139030506,1.3388070283432947,1.2756396422408085,1.103977951815184,1.055558187717202,0.883083335684005,1.1396214093555677,1.0886766390329317,0.7134211353224197,0.8123452807452678
