,owl,elephant,bear,cat,zebra,alligator,dog,rooster,horse,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,nose,ear,mouth,motorcycle,stroller,firetruck,truck,car,sprinkler,lamp,hose,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,window,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,stick,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,raisin,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,applesauce,gum,carrot,bread,muffin,cookie,pastry,meat,sandwich,hamburger,pizza,cracker,chips,glass,comb,tray,box,book,paper,coffee,soup,sauce,dish,plate,bowl,milk,jar,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin
owl,0.0,0.6484858833312563,0.78567444620616,0.8323562744064358,0.7693814184602594,0.8405586440760406,0.9271627661285772,0.9269478414677274,0.9510363702871755,0.9603724294438266,0.809548237525935,0.7998757437755041,0.9173708524392479,1.1821998301244085,1.0565194964879807,1.1201840052041832,1.0659113522377184,0.8837958475577717,0.7324758418206745,1.149341352861884,1.2090255224253537,1.2408685128526664,1.1788707467127222,1.0100376069583445,1.0862404443425533,1.1164468940704804,1.0329282838901324,0.8614075419874603,1.0570138496453074,0.9840514560631337,1.1356343262577493,1.008086268710437,0.8777559697992204,0.8397828436332947,1.0014780249902493,0.8807690984656305,0.9372716422363423,0.795644712152838,0.849035409579963,0.9635616514499273,1.0668599425697194,1.0385115762265924,1.0230591287587263,0.9346130297634925,1.0227024191838285,1.0351454951506032,1.0797639119784959,1.196378153161283,1.0548558615676193,1.0185044110772652,0.9500303720834322,1.0858828884847809,0.9193360158813749,1.066674869909754,1.204141052321984,1.1862523396172338,1.092745505528561,1.0335708444363734,1.0428165273522194,1.181641233529666,1.1000301768801803,1.1038706957922535,1.1485791757046035,1.0255640712660157,1.106593631380793,1.1989758244940805,1.1748645177117154,1.1311129541788534,1.2108729020100135,1.1193944180065354,1.153954514438835,1.1674905653224812,1.0709000437578169,0.911089215461523,1.0649464567011353,1.042675363345042,1.222909136853722,1.159520526698706,1.1262346299151114,1.0684436329006788,1.2330794819871056,1.1624045243382992,0.8185090409418077,1.132807251082374,1.1973796279983522,1.041679713862776,1.1349045885099749,0.903495781032898,1.1733337191240385,1.146163646178325,1.0035018659483006,0.9417897141784791,0.9141526893494014,0.9336226842260934,0.988593580481736,0.8518809113119075,1.0099390913097308,0.9838748242687243,0.90404030097267,0.9641893542307056,0.9186722841673965,0.9583250302138117,0.9485943563182075,0.8507472307177047,0.717133884802404,0.9718688626492383,0.9524570059918921,1.0215829511051984,0.9470870330751189,1.0612804547907697,1.0988844161309053,0.9215876964563455,1.055634449274444,1.0724829562093072,1.2285625278666745,1.1792536292724227,0.8320807625374135,0.8913546102435657,0.8812970906634291,0.9244693989056395,0.8882142221244893,1.1795263439357944,1.0352321274421097,1.0461923428383852,0.7453451119041503,0.547669385781635,0.9415389892880031,0.962238010571153,1.0392287050687947,0.7400946068532736,0.8178087697599686,0.6434391761657575,0.7052071741532739,0.9882045731096323,0.8261662081128253,0.9627556564909784,1.0016289585363634,0.8509788134656884,0.8014685226504945,0.5644396764403729,0.5817490229026209
elephant,0.6484858833312563,0.0,0.40709430904773625,0.5362439995035485,0.4164933120613674,0.5756808936547496,1.0468631727588031,1.232929190062179,1.090947439778755,0.8414737133958127,1.0447239817268652,1.1648186305346828,0.9729431580237746,0.9869310501299658,0.8873558695016266,1.024485766454419,0.8641164854887808,0.9239461760110251,0.9307777685827208,1.1525038619143648,1.1741722364343268,1.3168234817285245,1.2833446906546435,0.9891902102216641,1.0183210713034552,1.0538948933585683,1.0566805370871901,0.984469879484415,0.8215200649994321,1.058540057547846,1.0237507417363574,1.0632715196082232,1.1554187835826923,0.992808727379797,0.6097663590567044,0.7066324583909263,0.7601867786125749,0.5080925800820271,0.5965680274803329,0.7727336323096261,1.188712826004001,0.860834961444406,0.6015713005247556,0.6834070596544121,0.8175459594965785,0.9922145696677657,1.0545700254343795,1.2622268145276545,1.0135154110948341,0.8326656689397987,0.9788347110597019,1.1686786497325456,1.1577373186753595,1.1482380814243947,1.2534836519367134,1.2509821110712576,1.2628078323593894,1.2297259918163217,1.3388408058947925,1.301322712558508,1.2652700447426912,1.2473231559564608,1.2577085288178789,1.2342239219613247,1.290135499626176,1.206202599809806,1.3481775674730343,1.31376431488322,1.2739686854567895,1.313109857455855,1.3213008020331234,1.3099344182393513,1.0348140236538972,1.1948707624473578,1.3047138108224015,1.1513971427362093,1.2887753360341325,1.2431198901623213,1.3216755542770036,1.3062088210185956,1.2197621400123189,1.2758695798581936,1.014335604825372,1.295871903196757,1.3101769825902219,0.9974472606633714,1.132190699763319,1.1642966379754847,1.3000761242991947,1.2596199074699965,1.3221239214052096,1.1983521517193219,1.1140088855252703,1.0124041652343467,1.006953177823699,1.0748355540620933,1.136935367380716,1.133368879641616,1.032544029420242,0.7627589750688285,1.1446268616962978,1.027668908934586,0.9357093669671407,1.0562109429567847,0.7933438131685211,1.2300425496018854,0.9999180637358371,0.9523825274932481,1.093581279884282,1.3103774891279194,1.240392547617095,1.1468140189804523,1.106064138870668,1.1903714747025989,1.329542008790781,1.2940890109076608,1.0757197838674424,1.1469628878011884,1.1980896184124261,1.13482513094785,1.030803528046215,0.8773695777323639,0.6943685906909041,0.6380485837791509,0.7681188024270795,0.38244061097196513,0.6595793788808714,0.675640346090884,1.0513158153342361,0.7558818436970898,0.5699387547257999,0.6588834912759028,0.5898539582096103,0.838807488956816,1.0104337658933256,0.9910990956012414,1.1630633110929747,1.0701154675802236,0.9236281385813772,0.8106045834082113,0.9605090717851648
bear,0.78567444620616,0.40709430904773625,0.0,0.5342636389152868,0.37094180243372954,0.7124517043992782,0.9995546316514201,1.1654395880397892,1.029952768709831,0.7604193158336968,1.083034241588016,1.1659964732035322,0.9305291318931762,1.0046106166330948,0.9103279750295639,1.0320697282630256,0.9056866232226326,0.8788621790518648,0.968320705460759,1.1402430580009062,1.1527010319514943,1.2080555542313773,1.2034004634755529,0.9681583062323723,0.9805791408840285,1.0861869154024881,1.0169954201789981,1.0283428213130161,0.8417838111898057,1.1046288539415536,1.0330032525174504,1.0005247804880457,1.0454468903587024,0.9404843928876157,0.6704393658660285,0.759129406825928,0.8127687763002127,0.6106661653239444,0.6497132420400052,0.7406358212845822,1.1787376292735252,0.8564265817231372,0.6724601809036479,0.7836953266221534,0.715348706484092,0.9761230069288862,1.0820913377969534,1.1018086189059055,1.0157171570117092,0.8645182360772745,0.9491036549347706,1.0836847086346129,1.0520187648691803,1.1087142356658906,1.1303468457532297,1.1087504026317627,1.139014013138386,1.0560991670560307,1.1636542349279337,1.2031011238559948,1.1576450251823185,1.136633967436182,1.176563577413427,1.1806084256427887,1.2166239975304565,1.1298498454610773,1.2247013208663717,1.2143650429797035,1.2073747780805597,1.2489481190405252,1.237851930439292,1.208528366768677,1.0699888638645199,1.1714589219777145,1.2190901754033616,1.1397142582350828,1.2151963850298255,1.1656999468298295,1.2362879930351982,1.213906115128664,1.097490500263766,1.1681529849269698,1.0985121199024404,1.2433317200619405,1.2905946182519643,1.0599667490411615,1.1365294018304897,1.1770388129269098,1.2247103385306028,1.2495874471357966,1.266258239094682,1.1622226586786175,1.1483843127960667,1.1506827366481396,1.1099274067548595,1.039102650306951,1.1818498747239805,1.1843493671278524,1.1156596677186812,0.7175651175546596,1.1647071804125864,1.0330418077155858,0.992916100207581,1.0586306156308296,0.8877913791869773,1.1785288349791372,1.0580070587960992,0.8889218601647235,0.9812753793202175,1.2011343232557106,1.1739710124830791,1.136464531676265,1.082483396501494,1.1340501503692013,1.2098886949759047,1.2368042587013703,1.0343085540882961,1.1051831291992114,1.1399011112071817,1.1262961368973496,1.0255098158081801,0.9137384165087562,0.8444199175367941,0.7374458155033399,0.8303987931702397,0.6750252105892368,0.7320396557669703,0.792009552154517,1.1293378964705612,1.0153452424663796,0.7291483736078509,0.8069952300050728,0.7546163791024045,0.9105883862170749,1.0400374554906682,1.0127907153727622,1.1550638352394467,1.065390890801958,0.9234721823926415,0.9472434706566671,1.0060207827720378
cat,0.8323562744064358,0.5362439995035485,0.5342636389152868,0.0,0.5564265582228025,0.5332585419392354,0.8363942580897021,1.1692902165006553,0.9506265211526348,0.7396216180791352,1.0547031807735818,1.0174393124309644,1.0122391963641644,0.8298340575351106,0.6401719776569337,1.016137776606067,0.8984735472994733,0.681482916941462,0.9196932259267592,1.15458581037413,1.2339522250486075,1.3855151498888383,1.3334551600846531,0.9580241801963914,0.8644288068487254,1.0901229562943655,0.9035456054142623,1.0256400472157445,0.7240960911781565,1.0924081889704853,0.9106730426401841,0.9564329760504783,1.2543017643293473,0.9849772658361995,0.6130200557958997,0.7296583365411433,0.8070593225478503,0.6348092011439965,0.6573268130325867,0.6583979265995672,1.3302353518752703,0.9205503405128708,0.64948239807862,0.8494440548963023,0.7144895885430627,0.853707297376999,1.1076289760563798,1.2352726217912884,0.9635807820636613,0.8005214524850852,0.9968087902308342,1.2467687616320833,1.156706163967315,1.2720843086759794,1.292408606011049,1.2595995166096179,1.3746208581049402,1.2602444494356662,1.405785838799063,1.4162739804834314,1.381589258326269,1.381149400895456,1.2826068861448308,1.3275262949273294,1.4050466688706507,1.2230850232549801,1.4652042814149953,1.4777790394405872,1.3730613088817412,1.31814382208301,1.3045848762339411,1.2172448890822507,0.8312491215429021,1.1688026914136476,1.3160968102948538,1.0206224165702944,1.3508845874370126,1.3468204132684458,1.3707561906566657,1.3415022874245575,1.2084763504782905,1.2828675153222524,1.0784892177018282,1.2153511852570293,1.1778407685963916,0.9471167409853752,1.0442960538445771,1.2722544822820834,1.2174629620056125,1.2405412294665803,1.212371459949337,1.1229957597210305,1.10640617901845,1.0305084263891233,0.9785864703652671,1.0010911374123035,1.0219763784666438,0.9862142439695367,1.062988827731267,0.7098157006006651,1.1962343732556697,1.1059161971228253,0.9909877321395417,1.1310755832854527,0.9345906806683691,1.1411492922357933,1.0143458900065978,1.0197369730822707,1.0561428481473403,1.3705814430264838,1.3236294833709383,1.2317386953485823,1.2038805520103335,1.3310837445600527,1.420365540548921,1.3237823284186852,1.153023126750452,1.1292127402389984,1.1321222047293802,1.1835816530859762,0.9474387874031028,0.8499679325220613,0.7314768245691103,0.6998386868471631,0.903011886346949,0.6114818593515323,0.6323074251094987,0.6717284511745246,1.1271648236012415,0.9130593431671347,0.6724232972362504,0.6775342182257076,0.6911901212313057,0.8032784439668781,1.0379929080815224,0.8983578784777099,1.1362484911586714,1.1401778256661452,0.9665502649417304,0.9527068255691817,1.0451334327261366
zebra,0.7693814184602594,0.4164933120613674,0.37094180243372954,0.5564265582228025,0.0,0.8009602729425761,1.004768118940464,1.2442749666321868,1.080941449163098,0.8047880027146614,1.0484878933309287,1.2331749623513386,1.0455852346368901,1.0044586892452319,0.937565355723806,1.0857170863440975,0.8562892234913477,0.8425468135394751,0.9221915683060833,1.0775358576657723,1.1375909337266001,1.1959144505911974,1.1840259856273687,0.96680082505153,1.0050825996542374,1.0298776766555957,1.1195389249217262,1.1114216065744673,0.8430726402469165,1.134814229361792,1.000738408725067,1.0123192999372286,1.054701688209466,1.0574890154179013,0.6639414235751818,0.7616132487207826,0.7787083330962686,0.4331042726624512,0.507416702897492,0.6217992758537945,1.1366099129543086,0.8833343075933727,0.6403516389279094,0.8033486566201484,0.7495532443596921,0.8582047227623427,1.1264632923930282,1.113129888233969,1.0550519779430028,0.9002782472550874,0.907286425646129,1.145498875459064,1.188207715664231,1.170701796027988,1.2060480718518147,1.139078713792547,1.2044565879129259,1.128672850945486,1.2426017877627724,1.2052803318379839,1.2234734720504492,1.2008980226327473,1.166636068694292,1.1445539679924122,1.2473177989304745,1.093071744322151,1.283261717165714,1.2674009737735894,1.1989047878888683,1.2274362898082583,1.2092986707427027,1.201522425494012,1.027160405447248,1.1131500363558642,1.216831152490542,1.0376847481507765,1.1727342288595963,1.1329825104206819,1.1946670203387924,1.2658903070698564,1.10734523010648,1.14250262488146,1.1114212181464518,1.257297068658967,1.2493621803914392,1.0071177691597488,1.0648215922626134,1.2571949670460927,1.2260053772250044,1.2391411439181341,1.302134301567204,1.167390677780833,1.179839521450011,1.0517606611305113,1.0844522176343612,1.0249484439817724,1.18072899313825,1.151271598410954,1.1729304804757619,0.8347726322127055,1.1669662041728428,1.148445767884386,1.026306866917215,1.1340229959785981,0.8993557538930387,1.1654329315181995,1.0857829356361173,1.0265400535265128,1.0452570638976173,1.2701954627583454,1.247823522202953,1.1572497492903442,1.0627537135791214,1.22114538226879,1.2584452182464316,1.265835224544464,1.038189436889782,1.150308754897334,1.2280075477492178,1.1797149350626042,1.125028604787263,0.8412120355158079,0.7189308826052103,0.6042934507491532,0.8356297603345675,0.6106435375898638,0.7149570528960174,0.7315090602876704,1.0727638092763303,0.8030416456147049,0.6446601469983368,0.7882645177880767,0.44300419074715824,0.8747641959964669,1.1073103345354802,0.8529325162636046,1.1362907242319833,1.138056440804961,0.6688912313825252,0.875609213316174,1.027741939212925
alligator,0.8405586440760406,0.5756808936547496,0.7124517043992782,0.5332585419392354,0.8009602729425761,0.0,0.9693700162405513,1.2502495546842392,1.1199256959467618,1.0375302651043423,1.1385464641722656,0.7642967917958036,0.7475452973392243,0.8741396059537367,0.6623738669379644,0.7920828502188556,0.6377960003723693,0.8219392195181751,0.872094942606338,0.9993888124795737,1.1739123942416116,1.4434009360514397,1.4338345547102307,0.9138595093073685,0.9010751273775175,1.0674863425861854,0.9350274686935871,0.9207579274479709,0.9574838156656849,1.1128222828633614,1.1012474124118579,0.9212532078558964,1.4251792159743533,0.9745888972974643,0.6887159806778871,0.6297233646017475,0.6314972379818558,0.513412137830788,0.48758292671996495,0.5674917373626388,1.1280477411348289,0.7637157787413151,0.6977111157555387,0.7967068154642846,0.8682485847815951,0.7655966346470319,0.9597582375164554,1.3306213321662586,0.9270695775436868,0.693623086469455,0.8445412043072864,1.1098113999044066,1.0741570994340812,1.1364940945819086,1.3797672555624088,1.364900954417654,1.4596824481575545,1.4315677869888799,1.3977953482415109,1.537014153402633,1.4367917491736768,1.4080703282678089,1.5126987389060822,1.5575461892889757,1.3524637789314176,1.3784553395652026,1.5442322464171103,1.4820585516499558,1.5358468546099227,1.3415623278803555,1.3963746856710189,1.3141523897698053,0.857401511169237,1.220958507319991,1.451775344230128,1.1290816277207705,1.5279962063869728,1.5411480589105393,1.5008844559872845,1.4464311446023317,1.3753955880117124,1.4864814076821582,1.0247239808489512,1.058411126632937,1.016999268891674,0.620491459591676,0.9825483989890668,1.1233754379374075,1.0856664669627047,1.0781709025615778,1.1865752128171234,1.017838942272223,0.9688557200812219,0.9072428824400052,0.6335687437438844,0.9031613224768126,0.9269463806594028,0.7853754195404412,0.7699716988473992,0.8319501991986535,1.1747814919064965,0.9160611984990059,0.7953168470008889,0.9923283119613485,0.7265943237393411,1.2477429908850175,0.7483818562642135,0.8877613463495195,1.0225182273008884,1.2485030178918877,1.1588545970530473,1.147396717620401,1.2430191066500875,1.2235275257450158,1.4877737514276452,1.489171401937846,1.006085663465683,1.1203553215692579,1.1180895699521425,1.053593056289601,0.7194015857287248,0.7275510136198872,0.5451019563646402,0.5593347841607732,0.8198918155804866,0.5704195152118153,0.6365042242418002,0.5929072165991043,0.9915059392191149,0.7185464357697977,0.544649096713377,0.5083995637665102,0.5452447250959926,0.41790087246223706,0.8454890654574911,0.8599743774656465,1.1393496089488837,1.1110470109583523,0.8685060792075706,0.7013497368014181,0.9132390471308077
dog,0.9271627661285772,1.0468631727588031,0.9995546316514201,0.8363942580897021,1.004768118940464,0.9693700162405513,0.0,0.43971473229107527,0.0709547072663338,0.9626419707651709,0.4551134108647068,0.6566104130207977,1.1857370279702415,0.9525460473255934,0.8663605831327444,1.25273073791547,1.2614412552388095,0.9911443222088231,1.0364294377708416,1.167233705741582,1.2387888990964233,1.0813592224411697,1.1091841072638284,1.0982948272005348,0.8295594211930342,1.0994846095496495,0.8648842861264221,0.8568194770772233,0.9910049217186612,0.8466533879796211,0.9153074336291913,1.0451927280522189,0.925871925585884,1.103032107228952,1.1286531503163424,1.0402146441325513,1.0718338424468286,0.918972753815736,0.8924262454109175,1.02681768898295,0.963368517251768,1.1661337497047264,1.094713741449135,1.0025859844835276,1.0115684702580894,1.0459390975201783,1.0591609363557468,1.0573701213410736,0.8953125556155207,1.100769022780671,1.0290954836397848,1.1263790816278803,0.8896186947691822,1.039992423999515,0.9788586991331468,1.0340085560681278,1.079203410130469,1.1210049719640736,0.9785933753135716,1.0305315051400952,1.0215189533749216,1.0404151147940925,1.0087817645518384,0.91190842727914,0.895261138385261,1.031234554341078,1.0246812262510434,0.9783872077226997,0.91912423524432,0.8879045815431107,0.9142686858072149,0.9357316695367733,0.9284000720098995,0.8259755819484492,0.8946982933902407,0.8801339685540479,0.9932496751049668,0.9528471816843684,0.95359065692094,0.7657548043656868,0.9279339908159028,1.158932754390399,0.9448151485802526,1.0000542727680164,1.0790980889709,1.1126935833641711,1.116771130970498,1.0119834630378681,1.1417130569446858,1.018989879423556,0.8480329856772829,0.987369904048319,0.9395247919224554,1.0283731021323728,1.1005591591004027,1.088138937481851,0.8975431578800439,1.1054154656480137,1.0323140645617042,1.1030255798189865,1.0996420588680413,1.082981848767426,1.0052421049993134,0.8632520612811481,0.9729484878546684,1.0357513621898762,1.1293556347401021,1.0732691153733673,1.0734717840779198,0.987962031638589,1.0384780506454694,1.0512981666626737,1.0619927447610105,0.9993180642034549,1.015913861145018,0.8883941450623014,0.9803294396658075,0.8783649797884576,0.8711076051373847,0.8203448407207402,0.7520235553403949,1.1441201386458115,1.1244522463514037,1.180022162030173,1.0700497525735757,1.0507245956097717,1.097463688349251,1.073177708889047,0.9436768554548135,1.0074688732040047,1.0394908512878713,0.9702415819254246,0.9373425721358587,1.1721031979279506,0.9838926015144046,1.2496685821116122,0.7834142871002919,0.863034448359609,0.9799119080901891,0.9927975128709841,0.873341159407979
rooster,0.9269478414677274,1.232929190062179,1.1654395880397892,1.1692902165006553,1.2442749666321868,1.2502495546842392,0.43971473229107527,0.0,0.3449228440165252,0.8755248204805167,0.3501703192369967,0.5925300612267901,1.2501286199315045,1.2137730236882474,1.1433227979342655,1.3432056411600608,1.4531902318401193,1.0620538756196336,1.1018820879860947,1.1684869587921929,1.1529425481575237,0.8737923332103801,0.9096861123350749,1.2963893808101352,0.9726884835292613,1.1727162593933869,0.8666915961459396,0.8701752118261259,1.0509648224268207,0.7539391109587807,0.9040219386743316,1.0419172667645067,0.70007124937217,1.036488390527391,1.3090325245006085,1.2626889683502402,1.2260327593365796,1.3101732250215319,1.2792816942781295,1.3134459916490882,0.8513010437082283,1.2315763655083116,1.2955274090324562,1.1036989758900921,1.1451545925854267,1.2515938071926027,1.120577843571532,0.8770376390134309,1.0612934287925138,1.2144321044635895,1.1563990778268216,1.011593095739328,0.6398108852891397,0.8595343318204538,0.7500797813389344,0.8972481680437111,0.8485890683506091,0.8802634840027286,0.6151279396252816,0.7315787710741791,0.7706394326206218,0.8034847525639028,0.7215484936315112,0.6184477053463591,0.6094957142468681,0.7677444276991228,0.7311807102859149,0.7122878360761238,0.6095322171752706,0.6028032981512668,0.7298284889222585,0.7946333563281551,1.0317630669805071,0.7661273475758892,0.5759759516709627,0.925451405125988,0.7345123567717498,0.7261141247094508,0.624348337832861,0.4545440601359072,0.9123848677251837,0.9444376448456203,0.8369953603711049,0.8049078728885071,0.8782513751785344,1.2295634613832318,1.157509312298593,0.9000234496431038,0.9459944809058194,0.9315917906196765,0.6793982480572206,0.8410445945872899,0.8496562731693456,1.0239122094672295,1.1472740450520085,1.0838650666569238,0.7998814600337565,1.073288653099429,0.9698738425730692,1.1493358595912921,1.0579537364337899,1.0439739671963515,1.1223706654255527,0.9077983422453295,1.159908269008767,0.8719267912918132,1.0620557335443297,1.0073431355779603,0.9681540938040911,0.6821685804086175,0.8376140836107304,0.9975781736016184,0.9057837524666917,0.831174895835096,0.7325358441728265,0.6112646177604969,0.9057138149048894,0.6727954235564149,0.5223461652948376,0.7276551740750821,0.8298559854974087,1.405910372749505,1.4180305239844817,1.4880510779372922,1.0493783454057568,1.2446917887328308,1.3194222965291444,1.3544372421217648,0.8452495299833063,1.1468728858654367,1.3756682719051598,1.2667600082604515,1.3597450627259158,1.4572620143054198,1.0397097023344941,1.297216785798971,0.6654954913536854,0.7374046563015172,1.1514834510802325,1.1312500134831192,0.9074818944422017
horse,0.9510363702871755,1.090947439778755,1.029952768709831,0.9506265211526348,1.080941449163098,1.1199256959467618,0.0709547072663338,0.3449228440165252,0.0,0.9218703673493205,0.3526315152347429,0.6932615659118115,1.2323115010142038,1.0411686430319842,0.9818389572552887,1.3012450393744195,1.3257536672981254,1.0162591317494696,1.0717492146483045,1.1919132549675622,1.2016009301341528,0.9761702679402886,0.9980736119873637,1.1467871899009308,0.9462329793830132,1.0859985014423248,0.9000208269302055,0.8994120085083797,1.0361410291848019,0.7929852806292516,0.9212933703952745,1.0773880723941576,0.809663662469541,1.0852095498509187,1.1838389554665139,1.1485482732101908,1.1644952747807964,1.0824500421977026,1.0653502815817553,1.172392368335407,0.937310597108186,1.2207052960066447,1.1701097876195545,1.0300277063245034,1.0665919076950847,1.1710341293199749,1.0943458330222868,0.9785214168960895,0.9567752704306656,1.1733686903786786,1.1011971764511501,1.0572048846347857,0.8201142050182855,0.9640534844275205,0.8623824711332178,0.9406729843321286,0.9355030664960715,0.9985117308978311,0.8192844256180358,0.8707231839850416,0.8823032688836621,0.9147554392328928,0.8790945740390432,0.773745015739475,0.7626246531898657,0.9247639600808211,0.8787703851366804,0.8440993939391139,0.7708679287668001,0.7648800928056325,0.802501066711718,0.8488896228111001,0.974514208889956,0.7729934918465189,0.7503812398864061,0.8633163885023508,0.8525833516021006,0.8036074707160522,0.8100250468407055,0.6315025787710092,0.8731006195065328,1.0541913904956186,0.9071810723399022,0.9485527460201346,1.0649891466820118,1.1978250544950528,1.15013685618435,0.9670611513410493,1.0927768462816227,1.0026562863166886,0.8190532244951292,0.9875347473854797,0.9500449113116936,1.0325689095601653,1.1863573852164326,1.1345818669264294,0.8960018300367687,1.1576312444120482,1.0624895789287991,1.1252548905645656,1.0292803491042426,1.1024958125280884,1.0739290207865846,0.9080618678789854,1.0589334956170362,0.9798593231306735,1.1673760154728123,1.0491110782772215,1.0704506067327269,0.9167494657865713,0.9915427087233604,1.0429471932084426,0.9997461520327697,0.9389731654160787,0.8852097632985096,0.7674058030089901,0.9715981617840082,0.8080334939523077,0.7876116185527522,0.7987083542933493,0.823794095916795,1.2651639279273967,1.279082881588077,1.319513356085938,1.0812644880203672,1.118847778651776,1.198935224880195,1.1915453426627214,0.9261214463990102,1.078970987346897,1.1667304842979653,1.099358790899788,1.1172505116652478,1.3054252111001972,1.030979602734849,1.2723104405070278,0.7557474995590506,0.8143917360464886,1.052773608493966,1.0832266103984727,0.9063828504855248
bird,0.9603724294438266,0.8414737133958127,0.7604193158336968,0.7396216180791352,0.8047880027146614,1.0375302651043423,0.9626419707651709,0.8755248204805167,0.9218703673493205,0.0,0.87091434572796,0.9304438857946623,1.091356639219118,1.0657904003088217,1.0401572381978836,1.177816416810478,1.1556555418294436,1.0311487649095072,1.0585290644320775,1.1185274731723245,1.0081594306627464,0.947089001722549,0.9387590692742366,1.095306495772815,0.9579926163168981,1.0870803160289946,0.9081574748811527,1.1468787504826854,0.6673257849861682,1.0033927163427299,0.6833990131547836,1.0958768059924133,0.9451862761497535,1.0072568931079908,0.935161501827088,1.0811368115221023,1.1316283322018932,1.1275745012709728,1.1423579685223706,1.1577759704794122,1.0772140530135066,1.1597877279500237,1.067258766244194,1.0736802944730832,1.0093000099897969,1.1599183413861496,1.081855492777041,0.8777255946954204,1.1927718747378206,1.0873619540247361,1.1832477456808412,1.0593895298418687,0.9913592846124283,1.046880423533437,0.9325440668359624,0.9076238417151479,0.9506765234080221,0.8509867430304554,0.9704872279593223,0.8113127784679597,0.9163826536173059,0.8856702759928946,0.7803010191511692,0.8588984246138679,0.993180688916274,0.8226171197452143,0.9019150889419265,0.9830399847324659,0.8870262148734991,0.8689282874211599,0.9668170888351666,0.9355623653891452,0.9102288588542236,1.0353345799687153,0.8594687016463305,0.9311032657457202,0.8902476717264373,0.8826801279026738,0.8591779309570782,0.9214633694911014,0.8933096158291126,0.8923621799765316,0.8577388804734145,0.8381455591128111,0.8857659261686818,1.0969730088580636,1.1149277117957437,1.0619517256032807,1.011759115928876,1.0923957100788977,0.9632719108136029,1.0598751092919763,1.0316533859562984,1.0109386127459081,1.126240989826961,1.100302096996824,0.9496902325522472,1.0708638547907041,1.0144607976842337,0.7794597315799476,1.114555712411055,1.1872975157323284,1.131073301859312,1.1313751612715643,1.1453451191770663,1.0340752088395677,1.1021617808438249,0.988076344239372,1.0757887002809157,1.001368782670385,1.1263355771360213,1.1442215223544068,0.9466879066814184,1.051398091423746,0.9037356612537933,0.9765211547805537,1.0612121145330478,0.9818263176190533,0.9166613042578746,1.0623068194829544,1.0473607173843449,1.116532988710939,1.0949566395472055,1.0831506142895637,0.9022626709871664,0.9428402995917452,0.9801025729634205,0.9360235566201769,1.0566869580423541,0.9424018923937736,1.060217728850148,1.1152910252745598,1.1255490448106495,1.2222814005941398,1.0643319985039803,1.0467072988320434,1.0458241785973457,1.0254588980896218,1.0126289241240904,1.0371422143572826,1.0279350446618023
