,owl,elephant,bear,cat,zebra,giraffe,alligator,dog,pig,rooster,deer,pony,horse,penguin,duck,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,eye,nose,ear,mouth,tricycle,motorcycle,stroller,firetruck,truck,car,sprinkler,lamp,helicopter,hose,swing,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,snow,grass,tree,window,shower,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,broom,mop,stick,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,raisin,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,applesauce,gum,carrot,potato,bread,muffin,cookie,pastry,meat,sandwich,hamburger,pizza,cracker,chips,rock,glass,comb,tray,box,book,paper,coffee,soup,sauce,dish,plate,bowl,milk,jar,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin,cloud,game
owl,0.0,0.6319778114131263,0.6862883192796851,0.4339554878889005,0.731360711171837,0.7090532969713743,0.5674103787189312,0.3494855857411494,0.7140688923224948,0.5905040735428718,0.6430764121241725,0.6728059740545842,0.6822021520236291,0.7682014691191885,0.6001802526097788,0.4415775228738268,0.6848821539782075,0.6882104318169943,1.1454189792426934,0.9596022565887111,0.8333838686977839,1.0443407055499565,0.9013426445469278,0.9066745885970537,1.2654891556518444,1.102811259988412,1.3261868345027716,1.2632920864748338,1.3117614087663811,1.0780855829384945,0.988532554761854,1.1536633026637149,1.204174966735569,1.0595977207199807,0.8951857386110984,0.8794364292522915,0.9620726059643223,1.0591895754262424,1.0218180152412866,0.8266205334327035,1.203269253009414,0.9392628480943537,0.9149147477256837,0.8491670073366413,0.8741867642850397,0.8551179465683941,0.8406991384733751,0.7870974815814903,0.8381290334154444,1.0569363534268434,1.1518524411406523,1.174664230503765,0.9046626583750824,1.045688150657021,0.7859955933976452,0.7689359941692786,0.9051180302289181,0.9262615353655822,0.9394577199471834,0.9307506903340301,1.0850958735046625,1.0863938498132961,1.0761638756559047,1.0756037819829594,1.1349021226465408,1.082431204362026,0.9679163658706741,1.1306463359937773,1.0709372590012152,1.1139474602435697,0.9836121991837327,0.9986112495499184,1.277258894285296,1.169990978236691,1.2022808729862122,1.3428134464803687,1.3289169124878137,1.293556159230119,1.3202261628404037,1.0441185429552076,1.0694430438713116,1.183086371844057,1.1896811835203345,1.178244824768759,1.138358935450002,1.0812575993642217,1.0067116111273342,1.0663973883571807,0.9528215382755986,0.8017229778561548,0.9075527816327953,1.11021905531781,1.2608609155879684,1.2897344490888059,1.2431343956333079,1.1156518489025558,1.1852492589869517,1.2642084015160258,1.0068742453932145,1.1086551675350547,1.098687379927381,0.8294559877368588,1.0299784015928202,1.0737408236381436,1.3368466194851627,0.9134435672752603,0.9064678130723207,0.6443796460380653,0.6792629977334882,0.6111226119444407,0.7054957017469097,0.6856827867030407,0.75480896013314,0.9689075541252166,0.7161341565752926,0.9014771951183403,0.6196807679286114,0.8175753903669551,1.0470625046483089,0.837780386973111,0.8978430475471997,0.9235232887673123,0.7740439102668284,1.1751794651678042,0.8952058847705744,0.8115386564744715,0.9249988821270532,1.0939667518280534,1.158356673065787,0.901649171561726,0.9446669403756237,1.161547494985618,1.1642044649137455,1.1212902713294846,0.9749413592527684,1.0008307189631378,1.0164229540728609,0.8236472272481327,0.5915202647074895,1.0673903029501721,0.9403040113851348,0.8743930285725214,0.8282125307827743,0.733875845597048,0.7874439068337435,0.8085083429537576,0.7394850470872567,0.8109695771960599,0.7535937651688762,0.6505440455577426,0.6339182645754352,0.6884403215410093,0.8982746863125745,1.001589105808206,0.7897936746954602,0.844368733501805,0.9697836127521327,0.9493841910564224,1.0140118725314995,0.992333401066656,0.9320651663296616
elephant,0.6319778114131263,0.0,0.39932868525622256,0.5456759006470041,0.6817377795626782,0.7245957862691894,0.6955401829409646,0.7193585828970834,0.7432003274273375,0.9907062064414934,0.8499162205775392,0.8300665499873543,0.6627280749526463,0.9978412045604085,1.0185071513502628,0.8420122374530308,1.0131007360995263,1.0561766977526723,1.174119277176589,0.9378757438002773,0.9723150470265459,0.91927547125062,0.7320252275433381,0.8604776975725321,1.163188933936004,1.1133302884994412,1.1243454029049755,1.197926017735172,1.159969281754638,1.0708184116411767,1.175396002260051,1.1052819604115376,0.9740755608245147,1.1334228261611234,0.9334086384826759,0.8575192685491668,0.7236284831266367,0.9813308471295618,1.0611311993140342,0.9008838384650563,1.3178301659197413,1.0773502261557912,0.7733349421713789,0.8145108869049287,0.6641602030480037,0.8645482694085731,0.814873805884193,0.6532418525975908,0.7361017677292123,0.7939926582427123,1.1705228777280043,1.0431386512701777,0.6640743038015601,0.8945896540476421,0.6026202723453156,0.6448633173814192,0.8161575448770133,0.7792425953170001,0.7788935565650036,0.8748926961967516,0.911736472876795,0.9234234755848347,1.0580390313943862,1.0618104263921997,1.0311343378101376,1.0480752830155788,1.1182267875479583,1.3010665456751072,1.1177039094852694,1.187475810334053,1.0808330476342132,1.0974691216878296,1.197839945756682,1.2419143590019959,1.3025221460578995,1.359488893518298,1.30417865497843,1.3001818170568078,1.2394340617620723,1.2905115481387806,1.3671062839242363,1.3927344490598763,1.3475554045385627,1.386338428571273,1.2437366657561197,1.314644421882805,1.2883728561239498,1.3106476863466006,1.1509841999948323,1.1705530892318459,1.1893065585855307,1.2148417422806201,1.2540254176378176,1.2767629910021092,1.3179210294569077,1.2475074621217495,1.1308204757080975,1.105123896510587,1.119297522849402,1.2674136531421953,1.232162481041055,1.0163630669128514,1.096562390071025,1.2118249871109643,1.1759950373559875,1.1254174059590756,1.107102915533931,0.9906428976375574,1.167657030116204,0.9339959397807834,0.8524885065624543,0.7023510924249124,1.0052132089469141,1.0734688289546215,0.9922565039148172,1.0892458761409944,0.4359063150144016,0.8973660252212265,0.9187623125411262,0.9580857026877178,1.022295978947159,1.0847105911844173,0.806031659353616,1.2560898267605645,1.1003257624283755,0.9133013028841197,1.1365739965122494,1.3296158338716282,1.392133163758318,1.1060609664436385,1.2060439012319897,1.355857506647286,1.2710371494527062,1.224111323917442,1.272102264286843,1.2209665459663266,1.2584066228261734,1.2268420978279735,0.98639302682447,0.6828474756586036,0.5766184270595797,0.48648361464698897,0.5769141763550912,0.4910128439965149,0.5906318378457847,0.5434229236736262,0.6339317781717008,0.6133458811026622,0.5906703398175908,0.6120991853749717,0.5974935313204783,0.7987838809851919,0.9965976052112737,1.006366658483186,0.991455218840187,0.9722710143041698,1.0563184479476682,1.0346173259367812,1.0727217640623625,1.0049438379466238,0.8789208709321179
bear,0.6862883192796851,0.39932868525622256,0.0,0.44034698860192956,0.7797532473554633,0.804792520444507,0.8118467182395664,0.7040585537813181,0.711959580871075,0.8906518307320492,0.8414577562647931,0.7590826704396971,0.655967113274302,0.8947776803593618,0.8920530550635976,0.7952871757293472,0.9650433844166498,1.0264973118169334,1.0485979777528003,0.9225557222426106,1.03449642032713,1.0521585565145775,0.9678248832908355,0.9497982189120556,1.1047970024763303,1.1445993544572242,1.0841871855083727,1.1029974929739055,1.0625909752719742,0.908630376772338,0.93874135374275,0.9471018098156274,0.9842542475338243,1.016024444917771,0.9980128970197572,0.9713000383091862,0.8593743785127631,0.9226411315575306,1.0006211601985031,0.9503927490896215,1.0825037233404402,1.0520156990412466,0.8796557299565468,0.9610543880871159,0.862341948366299,1.023272563988917,1.011541259362705,0.9007949252189658,0.937120499679868,0.9370541576008883,1.1226845599025352,1.0352339726187012,0.8310212619439192,1.011668176190536,0.6097958990772079,0.7398703437450647,0.7750605815137375,0.8498324888226177,0.944063099299199,0.9738702473109734,0.9148302363716175,0.9680157964139833,1.0205535298052713,1.0356493886752438,1.0122055998661081,1.1274533939988525,1.1586338083986125,1.2007742073325114,1.0643966666437148,1.1033629675063203,1.0710892751987036,0.9954050688365654,1.0982115065581348,1.1298903099714326,1.1594659038493813,1.1832024955899967,1.1643556059595999,1.1659616598111258,1.064944789873977,1.1031979500005769,1.2441938498860847,1.2064720165206948,1.176162970856633,1.2254771779663718,1.133232781682921,1.1660615597691664,1.1104108646302033,1.1891682598320297,1.0857911870657695,1.116425405908712,1.051176086689634,1.0362422433071288,1.0783615788963823,1.0750131904879159,1.1490964942070128,1.0687649293778632,0.9939842056913512,1.0265060916850917,0.9962339882589799,1.1837584421382243,1.129099237965801,1.0886997083416676,1.1048204566662427,1.2431519225985008,1.0879602479241108,1.1012499271731944,1.0598341934141484,0.9470624963994693,1.025046729263252,1.0057548375039453,0.9671617444999883,0.7654661225324915,1.0522699564870566,1.0879602992827642,1.0001138646496928,1.0807975887656625,0.6473444112814617,1.0140810101800293,0.9314318557560635,1.1324362825100815,1.1177941544855872,1.1403967077540347,0.9682888926072468,1.1550625320062435,1.070060444696722,1.0143486334570282,1.1160881391557886,1.2496353152907604,1.2541193438357294,1.0946273499119283,1.2385833176217116,1.250426495012463,1.126001276171012,1.161069181227027,1.2319377688114335,1.0575107126185985,1.1007663446358615,1.2054233248525292,1.060574334036654,0.9476009921088032,0.8328240319306377,0.8034277943417167,0.7761687244302157,0.7660188088042552,0.8269164254074065,0.8419923169579056,0.8440666325700692,0.875760504163578,0.905062451913661,0.9005046970299467,0.8594380771275059,1.0033580980697088,1.0845287367117296,1.1064007416622066,1.0810769094950146,1.0619006314564077,1.067816659604573,1.0653623610859042,1.074764846291877,0.8597537450652909,1.0535742068271805
cat,0.4339554878889005,0.5456759006470041,0.44034698860192956,0.0,0.8282010537162245,0.8964240159990156,0.5985529983808154,0.3466926371352963,0.8340113096129644,0.8807834752636018,0.8680455987686184,0.7610692057161652,0.722287814745917,0.9721115099028959,0.8583499452498002,0.7772652893806147,1.0104336632048547,0.9851631164407544,1.1452183142376402,0.8715230384593391,0.9003378573747824,0.9798197949581521,0.7742026895589323,0.7937149244630914,1.2385223138138608,1.238494585778636,1.279288191478357,1.2647314444279818,1.2543060088141027,1.0878121047470057,1.066219016692867,1.118199499904952,1.1758473423923983,1.1540017077176266,0.8755348463376282,0.882290772143933,0.7904375223210931,0.8302026520669707,0.9928372324787662,0.8905882231226336,1.13073011936679,1.0921872065963651,0.8065798247852827,0.8806597020601696,0.7356204231458763,0.8363320891826949,0.8026038328900753,0.6894720360768647,0.7411667440327654,0.7591309461982237,1.1072778715793,0.924494668332992,0.6245952958879663,0.9790228029064192,0.4950496467615847,0.651475611575391,0.7527589369157156,0.7242320011062547,0.7707774138290522,0.7733026414279387,0.7742862685184152,0.8713675283439326,0.8686563725058603,0.965904357082581,0.9330739036392721,1.0986136378837612,1.180958970109667,1.2183570328323552,1.006282726520622,1.1129695759848879,0.981351341167238,1.0466131487143366,1.204727330715056,1.2454423533439138,1.2832597911635324,1.3515667081957266,1.322728642767328,1.3067737589976878,1.1532982080073584,1.2168509813059758,1.3071338754295034,1.2806980643990524,1.2427197941983699,1.2711678253666356,1.313640645624671,1.2903452845323153,1.1975663953509301,1.2763722683056808,1.1382473992377948,1.140441026365815,1.1302355501560064,1.2080913036355394,1.2428572921126897,1.2204147005864874,1.279541261594685,1.1790010596718064,1.1337738280307237,1.256031006960388,1.0286070475602125,1.2387539790509057,1.222029366765649,0.9936208838471167,1.0763322952238208,1.3412193511410713,1.2516950721402007,1.1363967242366133,0.9582703363464016,0.8033892155650161,0.9770407649867233,0.7865657763100242,0.7341915101584393,0.6800111188328202,0.8867135209428998,1.019568891049778,0.8394587430945615,1.0013500274483533,0.6053264225260226,0.8545826030499049,1.0118990588384438,0.9744185398312836,1.0095153299130253,1.118608770953072,0.8783679518633031,1.1133449383524925,1.0424641827055785,0.9465188799364855,0.9991703564633895,1.2427447720586002,1.2772796227629277,1.0222605231107837,1.1505805139626868,1.2339950610213906,1.1117874367837666,1.1710475370095277,1.2000057953911378,1.0661907505598265,1.1372015872569359,1.1280711435451156,0.7961768423387814,0.9348819425657875,0.76859324836046,0.7100172391242183,0.7216943772386264,0.6814374047581316,0.6737525806909078,0.7124737118178267,0.7179087534527817,0.7803939404740485,0.7247345295834287,0.7063932388360881,0.619995848472857,0.773624940537842,0.9855666660141977,1.0456486763228212,1.0568127346903105,1.0448151851865406,0.9924406472446046,1.0553059824238402,1.0432462115500294,0.9286331505637178,0.9447085978016808
zebra,0.731360711171837,0.6817377795626782,0.7797532473554633,0.8282010537162245,0.0,0.30016752327480223,0.513495042444245,0.5891851529584884,0.43253791459936264,0.6501056342397433,0.41799554568570696,0.3947231141434344,0.3191028458745089,0.8110041613332777,0.8329880061399644,0.7057971161248395,0.8391044847892486,0.738310311652682,1.0583176403039403,0.9535326553719417,0.891904834693858,0.9586176764065039,0.9418180853645729,0.9583501080430386,1.0960718104528582,1.0277771541963325,1.0861845067130518,1.0844807150900653,1.1002288521266173,1.0482197588789834,1.0332817359782753,1.0660708088741861,0.9454666911892023,0.9111930608633343,0.9187039652134353,0.8365851941886978,1.0162903922621518,1.0178158640221706,0.8755190936578345,0.9081339325209768,1.0816735477702162,0.854218341327647,0.863096626395998,0.8502658367387312,0.8671199265378607,0.8854905249969092,0.8830060743304456,0.9305079713738854,0.9336622762088961,0.9918724351945822,0.998082941210535,1.0758222272394617,0.9639069750885406,0.9309765760036013,0.8426393022959789,0.9544293102022399,0.9205159993460073,0.961927481669817,0.9975611034226395,0.9595390010790936,1.0526019183854076,0.982337534933691,0.9815952762587222,0.9696201067803635,1.0281041042587242,0.9223160898503118,0.8365538825825722,1.081498325384546,0.9991194822497184,1.0054464658832856,0.8934269578153293,0.9587128931269184,1.0620073373971373,1.0361627205275694,1.0758700294495838,1.1192360230109704,1.0718632466269915,1.0567953481097243,1.147368082195557,1.0318874050008773,1.0610551600095446,1.1454957054090809,1.0796406341209646,1.0818106884370309,1.0508091323133626,1.0861583337985419,1.0809082861107475,1.0896331152412542,1.0855095613831502,0.8926132225526875,0.9353454480528314,1.1442229999759306,1.1455041615655217,1.1342745025931142,1.140955633311676,1.0958335098293563,1.0497167925604458,1.070843806662026,1.035833199968249,1.0869117362657128,1.1887725937987912,0.9645840952862658,1.1367610722887924,0.9304533644555991,1.1795950458687172,1.0833059551985087,1.0940785155480512,1.0082772554303163,0.9510496838863493,0.8333682895721516,0.8886405375387783,0.9218854689954946,0.9952654707065958,1.132963111198704,0.986464694548805,1.016098105608131,0.9726090084889343,0.9278315245125239,0.9209088952409552,0.8672858850683414,0.8285567350332819,0.7946559232694079,0.7223578125218757,1.1299030420724325,1.0548309749906533,0.9817147209227445,0.9689861231072324,1.0638559207505338,1.125128602120882,0.8632379447009525,0.9105489215796235,1.0416764062540036,1.0235343919900068,1.0611700387629635,0.9956519247258013,0.9308748877192724,0.9776026344621747,0.7946266575275283,0.7646737742232967,1.0388492743724058,1.0408226464184247,1.0102139897352154,1.018408987467181,0.955872631669528,0.9566277245337006,0.9589387280331029,0.9399132276713128,1.0027101199807844,0.9802294184508222,0.8953098886848585,0.9026601525920038,0.9488252908204438,1.0339295271332383,1.0567744996023898,0.9129840865241986,0.9821759216470065,1.02008372422458,1.026778050614781,1.0771632196472951,0.9577874074419611,0.9241384505417961
giraffe,0.7090532969713743,0.7245957862691894,0.804792520444507,0.8964240159990156,0.30016752327480223,0.0,0.4886720443945639,0.6520881481435465,0.5163277913738965,0.6507493022070633,0.43446479944678285,0.47929589636366243,0.41385618304782357,0.8466201556206192,0.8169384928912866,0.6936496649933425,0.7393661851391984,0.625616451773825,1.0049110227925158,1.002517455192988,0.9182320388537978,1.025676159347416,0.9446291508618698,0.996448189183981,1.027046634768431,0.9672424190116963,1.0773460849267007,1.0508778229300142,1.0542452875598445,1.0770488248880523,1.0596027139527948,1.0003755862784922,0.9836225817403256,0.9584079082665286,1.0251188378599507,0.8774881879955269,1.1286966972218193,1.0207405617549532,0.9193771758544237,0.9568721894141636,1.059427107629707,0.8384043745888881,0.9088223750347137,0.9485910886770793,0.8932255473631106,0.8799916682449686,0.9375517074621792,0.9624637891708974,0.9423523663184894,1.035700529631856,0.9833601210064321,1.100603186670843,1.0150548497873004,0.9370898760738434,0.9319219812711169,0.9725765742086376,1.0133346780562997,1.0627835028247723,1.0914738026335504,0.9906102702939372,1.0722902861429366,1.0559115720012933,1.0143460503734298,0.9379646904621455,0.9663859391801868,0.9541040743024592,0.7646008067198573,0.9836970399928838,0.9306252643015271,0.9934299110292192,0.955748871795547,0.9540634445333703,1.0390185693325669,1.0442801035122542,1.008902751347283,1.0393212343998777,1.0198432699836153,1.0017758356902189,1.0905584451878572,0.9822978346369864,1.0637922022000925,1.0870475520096736,1.050481401826558,1.1013772483522346,1.0242624454984286,1.1133763129134187,1.1028059502388772,1.092458437534334,1.0145016080586764,0.9765336278463285,1.0256779080711589,1.1480288129166318,1.1119299300357313,1.0563027442410746,1.0549593855970958,1.0118819412925673,0.9817172434950632,0.9134755729981493,1.0560615045223911,1.0050272279184553,1.1704351816767224,1.0563773022521754,1.1386510291750618,0.9515758809375807,1.0883231518985108,1.0904845709108106,1.0482832527380026,0.9827311600951533,0.8888950659040843,0.835651023501288,0.9473968245498412,0.9647573876188609,0.9712388421773609,1.0660425633025767,0.9315890765379691,1.0669570100273285,0.9485762331089133,1.0539444171552605,0.9659316107110794,0.889392597276057,0.8157556243312178,0.745906085319171,0.7581751549823905,1.1379881335566,1.0643787713801738,1.0459376416875996,1.034072326710756,1.0555851203623305,1.1223971459783475,0.8516558476985898,0.967868160928179,1.0290695601130853,1.0228719674457245,1.023188338753312,0.9178083126687545,0.9382537900332623,0.9728976325480978,0.786514778262355,0.7492087274538829,1.0726141409763656,1.0346899539456336,1.0295133550333853,1.0229541686259076,0.991749504910044,0.9904641121068353,1.0133246576246027,0.8827101532823273,0.976739069456322,0.9692965547273525,0.8529995595403372,0.9140181032129546,0.9432228087203574,0.9809863105986392,0.98775285866101,0.8293396171332421,0.9239621767983014,0.915115170770215,1.0231404711689422,1.0476501255835176,0.9707975246472389,0.9834989185616201
alligator,0.5674103787189312,0.6955401829409646,0.8118467182395664,0.5985529983808154,0.513495042444245,0.4886720443945639,0.0,0.37371419671104444,0.5640573229584789,0.6296379353223498,0.5886001593148615,0.4660073015813365,0.42878410734288286,0.9513452907512685,0.8154123028186526,0.5748098972450617,0.6705573811854973,0.46432471481545146,0.9028269348158645,0.9780114746936764,0.8856135861636943,1.0012692983634106,0.7778766654045246,0.9092452746761515,1.2064716174920027,1.1188341694834785,1.2729821816184381,1.264998073897479,1.2272890988824594,1.200994012783253,1.1468836346189306,1.2364898517924836,1.068626940688982,1.112922611931255,0.9734542215542251,0.8746125182220944,1.046258431715502,1.0807961698571067,0.9592995077921253,0.9859109905093356,1.201796453093511,0.8412727632043882,0.7669007755607193,0.8002841802841489,0.7200441734131776,0.8235492554311438,0.7750273878886184,0.7031843156052175,0.7219709034653601,0.8603650551245954,1.0052567263913852,1.018173689142537,0.849690248157815,0.793126594247938,0.8461803447475112,0.8599482926749676,0.9207711093179654,0.902259923464185,0.9447507334832794,0.9299348022937854,1.030841945072219,0.9893447929264532,1.037595816062918,0.9761490664397703,1.0576200758309708,0.9142747607326113,0.7803707550876509,1.0802439448572592,1.049915541786633,1.0172722578287767,0.9669482417293673,0.9630772027480222,1.0714913402733164,1.0961753736931765,1.1546580692658082,1.1715719259112238,1.1296084671773408,1.0481980934194233,1.1837021042468578,1.1402976984009474,1.1554010369752346,1.2158869019906438,1.25188831757354,1.2740273126024477,1.1779435694095677,1.2660258917496918,1.2726530068461566,1.1838637269660686,1.139907790877736,1.0418466684139005,1.153646181384043,1.267441224582228,1.3301243000368166,1.2838492933263406,1.2150678896012579,1.1844786433771004,1.2221994211011795,1.2437463234975001,0.9456093130380754,0.9580616579202715,1.1512198578418267,0.8507276525682954,1.1022025432158544,1.0134669292599738,1.1379769413100702,1.0966702898401937,0.9124354428790418,0.8524685596030119,0.9158348586018691,0.6342390156406468,0.7444145847383377,0.7640318407498615,0.793238774504576,0.9976455183607096,0.8081656135947541,0.9555638028675323,0.7295865641060788,0.9739755699136624,0.943585779790972,0.7843342567457295,0.8019521986676484,0.7448304560632035,0.6697159478818021,1.0988437999658205,1.0442593213877405,0.9319730058552913,1.0170358523671408,1.080039038660103,1.2175892441854317,0.9569871715458881,1.1003584723569104,1.2102378148963344,1.201903735985095,1.097751824002258,0.997129613907462,0.9813390999945607,1.0447514822148312,0.8269910744653736,0.6668192764703037,1.0031335145561966,0.9442385035744014,0.8704663863358187,0.9642753056576162,0.8496216594336071,0.8503671478497866,0.8790949882059658,0.7247711418461638,0.9310973673693009,0.8208620730854841,0.6866939347919789,0.6191657933794548,0.6918257955880915,0.8419862717926082,0.9486826750422299,0.8440944671414214,0.9201072167847952,0.7520064559765249,0.9806907228045826,0.9824123360179503,0.8945765007340427,0.893172493760996
dog,0.3494855857411494,0.7193585828970834,0.7040585537813181,0.3466926371352963,0.5891851529584884,0.6520881481435465,0.37371419671104444,0.0,0.4535414845874889,0.5473729206264286,0.5251476948093785,0.40084561786420514,0.43632273461762716,0.7693355464835914,0.6830777579974313,0.522141581783433,0.791152146656287,0.6051421512227694,1.1133299234089047,0.907501330678996,0.8081383085339657,1.009955226758415,0.8919161099663557,0.8999379221404323,1.2167285258988734,1.0868305262794167,1.2777344989177712,1.2044107000836566,1.2599102473011219,1.0984464373403406,0.9908737745943178,1.0898809049094171,1.1468063989607387,0.959780936049623,0.8480632151727414,0.7944828484170608,1.0261529823911268,0.996444451700597,0.912799873565005,0.869636215380213,1.1944615462062145,0.8703597514445055,0.9650727848736904,0.8526121850155944,0.8422968743914677,0.8194743169702581,0.8211688751271671,0.8136512081825771,0.8122696598917476,0.9987482749851563,1.1053593735598437,1.1829350887782684,0.9526797372775984,1.0095921837575335,0.8428776328035446,0.8836839739018582,0.947808859983573,0.942860137239926,0.9749333504925275,0.9826085660680954,1.0786777924230773,1.0427622939329948,1.0231700282578708,0.9963146195716088,1.0659654031012837,1.015609114618086,0.9302263743543354,1.0516419901948972,1.0280957851833996,1.1067658205184725,0.9966103975650199,0.9822002393011916,1.2508343612860986,1.2120726554316867,1.1699420225527715,1.2795902926030882,1.272424135086174,1.228036635150763,1.2742891726148209,1.0410797326337964,1.080157882623438,1.1735512194866717,1.1579800627361996,1.1587852593743724,1.1415091350907063,1.0915818731716174,1.058388738783611,1.0819585460698722,0.9685414061774651,0.8864923110403448,0.9971590507223146,1.1480827199701784,1.2489707418466747,1.2467043265656372,1.2157196473450327,1.0840865043453216,1.13747565133733,1.2550188472080164,1.0125859509542925,1.029651934400641,1.115382974447267,0.8832522603299346,1.0314588973557555,1.060092657484348,1.2566077987809168,0.9160528838964215,0.7920210008584561,0.651978117194799,0.7166179335358165,0.5933294871878942,0.6018403295273069,0.7807490134906101,0.7224537922056028,0.935716944647098,0.7126388230542077,0.8802602994510775,0.7968152321550546,0.9361788486848478,1.1913774249364195,0.830285614981825,0.8591602781848471,0.8702155379149469,0.8028644324087626,1.152460262732233,0.9927502189203051,0.9425446443391129,0.9486086959364161,1.0639407616835534,1.1310425991815451,0.9003735526242677,0.9564059520082481,1.1358899515674177,1.1441492891859053,1.0671662805162416,0.9489839674161568,0.9460409792351533,0.9801323229198815,0.7060309919010873,0.36220913494193985,1.0586654770767947,1.0051623087595558,0.9752258174857569,0.9485681580915925,0.8761101884023939,0.8583817043526953,0.9324264154334957,0.7526526526659628,0.9357378161101239,0.8695186077911222,0.7545134517649149,0.7267884852852264,0.6702908920672243,0.8735973356353286,1.0559996704407864,0.9141269381145072,0.8905707513381388,0.9375290521930553,1.004483529853179,1.0346068734510732,0.9594187175087208,0.8907271676691052
pig,0.7140688923224948,0.7432003274273375,0.711959580871075,0.8340113096129644,0.43253791459936264,0.5163277913738965,0.5640573229584789,0.4535414845874889,0.0,0.4199641777952239,0.21347589245541476,0.1435519263556374,0.14988994547885892,0.6392952350735118,0.5736546818803803,0.4665920332551792,0.6225745431495184,0.5204810261850554,0.8832594527367875,1.046367462557829,0.9514239768565171,1.0521864143661017,1.108423648719721,0.9922188238577857,1.0297394169707892,0.8818842425344139,1.0506897162313584,0.9781526435881616,1.0972217297814577,0.9677318653277077,0.8137918352262291,0.9680942814866218,1.0240025163309143,0.8031126527430165,1.0213297013101712,0.9859215047506931,1.06939709943864,1.0315709853155017,0.8013821927617214,0.9516723896779934,0.9402668198706241,0.7645137897213453,1.116036791823441,1.033408680038131,1.0496149117430864,1.0464665405466032,1.0575595361241976,1.1093671697586776,1.0887295382893662,1.1416317626827204,1.0351925436571572,1.1518482949604134,1.133717166669665,0.9690845733657975,0.9606602917481952,1.0287446702548662,1.0685811462470989,1.0846710654429643,1.1207241013808298,1.1234763972297799,1.1424923848996318,1.0863505563093412,1.0196642505860118,1.0443913076881572,1.019565367395501,1.0646649732306197,0.8074272155184625,0.8888519823992871,0.9895620039123533,1.0293217730166817,1.0094084159110415,0.8605521555814731,1.0133849164986526,0.9615429846591224,0.9043354895510537,1.0104354032864309,0.9858244010086804,0.9692956874266375,1.0632045485202746,0.8096230793621892,0.8349196083020436,0.9668997342128213,0.9652531243160651,0.9398766114064476,0.8291270915763767,0.8484854204854397,0.8574071123564421,0.87566358690925,0.8389028453855711,0.7676093559634704,0.7810147557245055,0.9977657153602092,1.0244142795746336,1.0285083500426964,0.9681065367318685,0.9217561509775666,1.0112500792440975,1.009267490746753,1.0164149380177927,0.9674612497726602,1.1072519089425013,1.0388142625514152,1.1453963941774796,0.9434388958825392,1.1067678405390902,0.8627900751501041,0.8994457423533715,0.9170205008421869,0.7942091738652812,0.8598726534662604,0.8575893669671217,1.078089138473718,0.9616849916324486,1.1029508183028172,1.0521863524291049,0.9970005355915147,1.0273997407433453,1.01762065722137,1.1594827584742884,1.0102792872835589,0.9492074503133877,0.8050484570028167,0.9085709150679628,1.0308255222377354,1.0220633755696855,1.007382338211069,0.996902573619064,0.9170852962397422,0.9470360498195999,0.9345765186233426,0.9426388853573181,0.9232160020481401,0.9918795754304744,0.9648536793863973,0.8560294466530824,0.8296657454007474,0.8107930468795771,0.7098073463416443,0.5881880731092064,1.1735255494626933,1.2046206504298613,1.2011923835701699,1.1540664268398642,1.12504215420433,1.1246266616593488,1.1671760647217675,1.1308961862953193,1.1456459186588777,1.156389629195589,1.0768339208212976,1.0734741349263588,0.9820664788915143,0.9313992226416229,1.0778871184016927,0.9305402059777419,0.9072219422395102,0.9726301801566157,0.9720339602576783,1.0033803446931235,0.8681810254633401,1.0016824443233057
