,owl,elephant,cat,alligator,dog,pig,rooster,deer,pony,horse,penguin,duck,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,eye,nose,ear,mouth,tricycle,motorcycle,stroller,firetruck,truck,car,sprinkler,lamp,helicopter,hose,swing,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,snow,grass,tree,window,shower,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,broom,stick,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,applesauce,gum,carrot,potato,bread,muffin,cookie,pastry,meat,sandwich,hamburger,pizza,cracker,chips,rock,glass,comb,tray,box,book,paper,coffee,soup,dish,plate,bowl,milk,jar,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin
owl,0.0,0.5367826564637186,0.610065296033895,0.7204846026968919,0.6592617021789389,0.8019210173285746,0.8230673890686998,1.19048230941402,0.7314517749889985,0.8352862748457658,0.8893242787130216,1.1220103376340533,1.0658822177111285,1.0126508505694647,0.9629209586649282,1.0068661105832184,0.9077413994050125,0.9294209434089151,1.0533109857248764,0.7623360621173751,1.2044018235509366,1.1138199993761073,1.247907074297472,1.192602449956564,1.2513128415492583,1.0942619920355214,1.1101276541923328,1.135968657011854,1.18017318099967,1.1350210979762676,1.1089277981934227,0.8847209649684609,1.1056697844283851,0.8896551926202981,0.9441915433595771,1.0809650402455995,1.1109802782371057,1.1060322960239248,1.2485080205510504,0.8650126649304237,0.8580577010751838,0.7848355581307491,0.9257882089452173,0.7624396647475888,0.639572058129739,0.9110706345965498,0.9012655324053469,1.1575967592854226,1.034637625254147,0.8412270477725782,0.7455640495477254,0.5557595757885636,0.6250722826545879,0.9959752623306621,0.8828554114287708,0.772627621972566,0.9478680224754519,1.1364713842682934,1.0950245497731368,0.9527127351597448,1.089259639950969,1.1693394200805687,1.1470239583791506,1.145950775500945,1.205958178852791,1.1642298783177942,0.8893136693737127,1.1984678821787864,1.1679268826330957,1.2131263762276685,1.2884190059298588,1.3334202029048856,1.3531194608749244,1.360041316436611,1.2801902584828813,1.1892099563961722,1.1366810515213184,1.0828868172401003,1.294163708464542,1.2633228421918308,1.1320644995062141,1.1936923662108576,1.1283862362100836,1.1695608695187811,0.966831827453441,0.9846508544734163,1.151984227678165,1.1919020532360993,1.2412677187328742,1.2949397026950653,1.0924411623826138,1.2398125072779242,1.2810847409093582,1.1810958210663376,1.1322608640334246,1.2741316190308114,1.0250992341921932,1.2091761894647162,1.1570006446893288,1.3672354632750086,1.1478291863565886,1.2507352495743405,0.9695537261877966,0.9021638322082451,0.9360120989791837,0.959857497911133,0.9166530470309757,1.0432666357706193,0.8561617174922147,0.9998508892290866,0.8787967566769779,0.5440671380090228,0.8204847092272924,0.8636813286801697,0.8452931985774023,1.0123635889367977,1.2374248974644813,1.0393247746496748,1.0394301238603638,1.1325573272281977,1.0246965093184641,1.111864021089738,1.1935595843882452,1.110076280160325,1.1691170410274847,1.157357460522154,1.3064336578231275,1.189735496953933,1.058524888610801,1.0945100307192994,1.1012999707599411,1.1554776252676031,1.057204035236899,0.9743887064000768,0.8287587439707238,0.748454691305298,0.5753853223457595,0.5864374732332478,0.63738298873076,0.6234624783391912,0.930917793323098,0.8850937742203702,0.6497422065585614,0.7520972903898705,0.580788088564608,0.771585611300044,1.0933869679656867,0.9959621630762233,1.0804358160733425,0.927820746001095,1.0467763842532811,1.1025274718861067,1.0595050681843015
elephant,0.5367826564637186,0.0,0.4927454884122915,0.753960807867204,0.7717094669015512,0.9772483459483071,1.0672383705362043,1.179726316435304,0.828006399355377,0.9427690789508195,0.9394969980037836,1.1151398759123607,1.1083582080970484,1.151892516599088,1.16736369940112,1.0757597039294156,1.0166984791806928,0.9817188573007207,0.988703903961616,0.7159529434958425,1.0489579683773214,1.1730307355074487,1.0798978834673383,1.1031905122109609,1.1896862780025335,1.0138098663149426,1.0402436268260538,1.153400081609112,1.0687541632833157,1.1060467729665235,1.0324299299123256,0.8911993630007674,1.1607820934731365,0.8199448285469115,0.9027456533485728,1.0020906493604917,1.1181199200141703,1.1394138513983338,1.1828472227001967,0.848109986928268,0.9582645483832419,0.768270718429091,0.936262295456186,0.7672327819393806,0.6057038111807762,0.6199311971050103,0.6656986207788126,0.9429018155171673,0.9155637197175499,0.8394298581789554,0.7533929342849961,0.5655908019963968,0.6204799053242198,1.0029715163357433,0.8517931026684316,0.6227199069172488,0.9292923386236192,0.9677608814876593,0.9440769156158392,0.7892348710391061,0.9292950799122086,0.8768459427280004,1.0256347894059843,1.0486082761112012,1.1863509257305704,1.0112080408952655,0.9919428332904654,1.0874412965439741,1.0030318204641107,1.102624500904307,1.239611897489636,1.2151918303179776,1.1597664292391878,1.1594505224063185,1.104633995500224,1.2507626100898468,1.2224573441968563,0.9865053348455037,1.2758071903864878,1.2736509968373475,1.244142654878733,1.2466623733744948,1.2156976352905366,1.1345736835418947,1.0680812494805936,1.195296788253735,1.203949384139657,1.2169953394462678,1.1511651089243837,1.2661523552265073,1.2174399843961587,1.1765216190989154,1.1719082719019318,1.2006002546426866,1.058529544051284,1.0701359831850417,1.1397283339860538,1.1245562403067921,1.3209728036033286,1.1740881007482025,1.140864573558678,1.2419967167633275,1.1840763705158386,1.1376339049532924,1.0338851982986499,1.0873016366284185,0.9356596506766222,1.2066725828007416,0.9661790314194986,1.0339163846529298,0.9715415104142906,0.6263034502464564,0.908146577626668,0.9519381285932655,0.9185125127242169,1.0283303205560568,1.142002614971129,1.0350885706012092,1.1503571846830114,1.1610861628025981,1.259175510696329,1.1752524676369602,1.2159439700273738,1.1616070056359857,1.3069840422872652,1.1529108325422723,1.1514850787249489,1.1687838904887295,1.1307523606794443,1.3005699789926473,1.3162259867138295,1.2579692081011218,1.2493794409662244,0.7746595542783578,0.6911247827094963,0.5936669926342404,0.7088044683706507,0.5863414827640357,0.7033964870287452,0.675502462803109,0.9248130492080517,0.9171856194471588,0.6913396622544752,0.817888325133418,0.5475511903816029,0.8738344540258927,1.0159724543826032,0.9274255833037306,1.1594034591046913,0.9793776141639212,1.014202252583225,1.0044749711108174,1.0237004001879646
cat,0.610065296033895,0.4927454884122915,0.0,0.8224090686241026,0.4977975476353713,0.833328209200947,0.8908560704553223,1.1308761530520455,0.9053608647783847,0.9612142815379765,0.7638951756968563,1.0719217256000217,1.0862661415922539,1.1486061664790512,1.2610278353265536,0.9966503824264313,0.8200762697212802,0.9328049624450012,1.0717326794796045,0.7985205950074847,0.9386275319438384,1.2565922673880554,1.140996855178369,1.1463771875794644,1.1587463066723993,1.0559171272788566,0.9725536348610254,1.048731631091966,1.0433515624828742,1.1007874662067567,0.7066586837928096,0.9426624913379424,1.1456672472666398,0.9633839293288841,0.7966482843997873,1.0413650769239102,1.206236865457681,1.0753581146647373,1.1454015423097499,0.9170861801274081,1.0580333235416222,0.9830626329202045,1.005943066980428,0.8419805320964524,0.75580070987186,0.7789406563262611,0.7401809328428051,1.048015904106595,0.9533970003362658,0.8834680603910816,0.9093290516396351,0.6136645495164725,0.5489963721206415,0.9971985568163347,0.7468453738896409,0.4988126494344386,0.8662760257837283,0.899804657572213,0.9159744335246677,0.7410573971135561,0.9666465511862223,0.9173646669195172,1.239157322445363,1.2993832318191088,1.2352707134015972,1.050073688721422,0.9079643358349777,1.0150149713806802,1.1873170881629582,1.2327443604860369,1.3269824129662635,1.2754283014876049,1.2287747972979128,1.2319832371219417,1.0201392664414441,1.124919122183088,1.3943936907510746,0.8785738127650535,1.301479859265581,1.2429590418879415,1.280116387900546,1.2667967644670663,1.1926549198773584,1.0778849438648905,1.1261222643183404,1.1886682142564906,1.187253854958139,1.1500450954046146,1.1849459651693683,1.2469278654509084,1.1295737145896088,1.0648395487026763,1.0904936244841545,1.2513153432799051,1.2437966298245366,1.1332777306132078,1.221482992291622,1.2029812987884003,1.4689552487458961,1.190800714660571,1.1004050838797745,1.2156479447010826,1.1822972979992314,1.1070076630143555,1.1354707894804932,1.129412715442844,1.0083148151702355,1.2839630394144104,1.0208005262208435,1.078987721477044,0.9885649008567108,0.663370302467813,0.9309358535353397,1.0186886942781805,1.0476781833500584,1.161317906062844,1.373466635620362,1.1469024863141712,1.061622010589415,1.1541177004828904,1.2371965884283103,1.2427472458781916,1.2444239042979341,1.1986353343692873,1.3671296557450705,1.183132252222524,1.0285483364604904,1.226039838398327,1.2607291036066635,1.170436364183527,1.2515686418414733,1.43583557751277,1.193281368678969,0.7576730691751641,0.7251893248624166,0.6728570820622459,0.7549406889905721,0.6683853022017866,0.7486821926262199,0.679583494960499,0.9793094564329468,0.8971142614167421,0.756771500156779,0.8750351198024133,0.7019629057679955,0.9581523290987952,1.151994727226306,1.0531890345010426,1.26386498169826,1.1027835542981594,1.0053828507748994,1.0760550259490052,1.1298309337743198
alligator,0.7204846026968919,0.753960807867204,0.8224090686241026,0.0,0.44826317584707287,0.5295465594866724,0.7405416218488989,1.0223136331911156,0.6268008705021731,0.9237892652856853,0.6530947532381521,1.3979260670544147,1.300565913151197,1.2491221447697016,0.8198974718117085,0.5627253341644162,0.6724889084393293,0.7316608534229875,0.7340049165076228,0.3541125075250948,1.3706787345184972,1.027793718068205,1.2005446012212775,1.1768643742482783,1.3202046573383326,1.0160315937977835,1.0739923427650395,1.1132972014354132,1.1837908282823133,1.0686051936460448,0.8078473864964887,0.6943074193260494,0.7965746125896976,0.7075105337102341,0.9768127204125093,1.30783643468956,0.9774693819740923,1.4491799244351031,1.37616353001443,0.522690377398749,0.8394034576902062,0.44310586886213943,0.6937501743755996,0.5290433205867566,0.4796434331660334,0.5899418595307675,0.583831650557968,0.9734618809537242,0.8470733090716622,0.6073328799316485,0.6026187952954171,0.7100786283084903,0.8586814377805808,0.840607907688522,0.9288765489542581,1.0144958076050574,0.7708168855265787,1.0081411738855748,0.8665687988844675,0.9206089171718136,0.7431291384084391,1.034740550225175,0.8298478607926411,1.0816497313758764,0.8829520451718856,1.21636096001582,0.8979651754689262,1.420377187308958,0.9936495582232343,1.2003605192792008,1.394324896538249,1.6104550240328601,1.5491713638352635,1.537838860300655,1.5783921406634178,1.6125092866069395,1.354437892324694,1.3717945118665886,1.6163262199022128,1.599448383634683,1.4602729046067129,1.3467744602714589,1.3623446426663355,1.3211757809825677,0.7867892346937926,1.2448053644607857,1.4053019653150496,1.5316347317112706,1.5102386666225731,1.6054164730878606,1.5450967590898224,1.5456954353326882,1.5488554093438154,1.0293583232821215,0.8146707228488801,1.2600301173107222,0.908724325678718,1.130636983521102,1.3053989269173472,1.3280405729710556,1.2241149153836197,1.2070211089160987,0.9440259177504179,0.8596497779811682,0.9007260012319109,0.6653346731590078,0.465608393953282,0.9499208061902887,0.6359869109981322,0.6659211746220955,0.518989302231679,0.8343695251438137,0.6385097779976452,0.6299301205311866,0.7354806092672653,0.8071476487351334,1.166845140070088,0.888818447953408,1.0196598041446379,1.0766215117144589,0.9616601822118949,1.2988382326670416,1.2666154372043075,0.9991560649895397,1.1205365921860735,0.9936842475727449,1.6010287575283229,1.3778037419271358,1.2154977468777994,1.2608252570248126,1.365568010500908,1.1501237246175566,0.8808117338618189,0.8380528194513375,0.5683345989388744,0.5114709741289282,0.49661212411126676,0.6955775464014806,0.45110837320368624,0.5613760974177299,0.669820608123521,0.7594156766986512,0.4550168070945222,0.488785046824584,0.43587412944917303,0.37170007712091135,0.9216343541575379,0.7477035666033989,1.0308567933337536,0.8606863069710475,1.1203871320435475,1.2038624492344667,1.0912472278929646
dog,0.6592617021789389,0.7717094669015512,0.4977975476353713,0.44826317584707287,0.0,0.5395436291278983,0.7480294870905235,0.9591469833023927,0.6937740250874054,0.8947517863847606,0.4276408959260023,1.287215313160025,1.136798960495386,1.1555829567483906,0.9484919229885199,0.6931525486492637,0.5969309607247941,0.7624183403311442,0.9122822289667138,0.6167154610512878,1.3277322457643124,1.0934353581632457,1.2353598225051872,1.2087948497256331,1.2712495188498865,1.0433573220597616,1.0570789681862442,1.0397401784341511,1.142906058497435,1.0478391738569914,0.5729648175362518,0.6946458506125475,0.8223049193529057,0.8227906374128271,1.0031328085561242,1.260818976400347,1.1248429216704356,1.413633786064809,1.3650928199995658,0.7029000291552038,0.9316147686685022,0.740192123808307,0.8017487339506633,0.6078758250294894,0.5321502298430942,0.6592903409646311,0.6123311906488994,1.0910670546632435,0.9831604512182904,0.7852618160968821,0.7084781045589118,0.6489275321906823,0.7384526906102296,0.8691403009051573,0.9860811879295724,0.9308126406905145,0.7520088974531335,1.0341454260067449,0.8629984339991614,0.8753193103393488,0.7613408700503661,1.0034900481801394,1.1011988691879944,1.2495151815007621,1.032223832156728,1.2264235365697007,0.8481542021435511,1.3263868195895068,1.1930715726715266,1.3288177444255154,1.4615589642619402,1.5590208551622382,1.503616180566659,1.5206871258905341,1.375334112693438,1.4031815760974324,1.4185489348804676,1.273890469587825,1.5063139349024854,1.531038368295784,1.439226379873353,1.3506489178227903,1.376072946942938,1.375560667708419,1.0436612651636314,1.240302275680717,1.4262916168970083,1.3745618756267992,1.3557638879993903,1.4353963257296418,1.2800390622715196,1.3286520865344462,1.3932983682196358,1.1931937690220789,1.1764390332098675,1.3795445266876984,1.197015721113166,1.2312248376049368,1.3831972655258489,1.3450735621627334,1.1418689383030265,1.2833646883784686,1.1297748437004047,0.9703551875561214,1.0487614789769477,0.7617348289786654,0.7408240358109,1.1340719587044865,0.8287020321475628,0.944250196249332,0.7912694620594951,0.7733820087754827,0.7568471450624956,0.8649545869433897,0.8645664877574807,0.9676172312561977,1.3132789066419421,1.0960394891154366,0.9998886176706314,1.2243548693092745,1.0224772630900263,1.3855103249723446,1.356023820955631,1.103988941081694,1.2223970975533318,1.1327371842112042,1.439081792771457,1.2877441659251088,1.2856329014217491,1.1577958294319297,1.2744729270075603,1.2619816175253253,0.7534587060776563,0.8386978396210437,0.5074117866877096,0.49053415169478587,0.5328225863715457,0.6375985345160131,0.47663477236852625,0.5522037690976315,0.6441988306655995,0.7165308080264359,0.454852704731734,0.5589850503387436,0.5175758564521659,0.5561104439654917,0.9444084183366184,0.9085196917510294,1.0189232531121222,0.8597702028622732,1.0797542667798155,1.2871539882511904,1.223644386461346
pig,0.8019210173285746,0.9772483459483071,0.833328209200947,0.5295465594866724,0.5395436291278983,0.0,0.8025367432385175,0.9822576131310192,0.864827469686099,0.9866614131997582,0.6951702631163992,1.1519350538211148,1.0747168576100041,1.0788055637578047,0.737684114554721,0.7389930553171232,0.7598850101494037,0.7356315819388788,0.9588549405904291,0.7944680286696054,1.247117099285518,0.988671501799318,1.2284521813126519,1.1592013208729055,1.199832445431886,1.0753175382312326,1.032323632663392,0.993677056326733,1.099620053387877,1.0734164968888718,0.8698557894512035,0.7903169472709062,0.8309566468459075,0.847215418731383,1.0255932762972855,1.1493674087178434,0.912950162044315,1.1552462224994762,1.2002125859332178,0.7073327832259162,0.7499465027236053,0.7182379105783336,0.8589354737789523,0.7636697650345279,0.784863677352333,0.893878569180089,0.9085005877668398,1.128574281652758,1.0324375361485756,0.8537967701498897,0.7731097149150536,0.8517168652701776,0.956112625224896,0.9146192520799968,0.9963675207040006,1.0887857078121663,0.848772586288485,1.04514664709505,1.0245883265515576,1.0465989577735142,0.9051768410330361,1.154490202311155,0.9882213520008716,0.9809650224749054,0.9326649873004936,1.1413045564113917,0.8680820840304543,1.2287889806787127,1.034670612071579,1.173991767941626,1.1531015976108983,1.3286553521764624,1.319239760824218,1.2955234032946399,1.309078779587637,1.1889030623971955,1.1689868090117417,1.1871091696347067,1.3010948104853055,1.2995844952464994,1.172707914381231,1.1489876911149448,1.124079706056244,1.1835710257082928,0.9305443288168693,0.9796943444139589,1.14454158886729,1.2164012273615512,1.2670930608986575,1.2992480354223848,1.1814897773708195,1.2316483067375628,1.2797450438273184,1.153864388804842,1.0643429945369622,1.3028182287870562,1.02199134141594,1.1095184709324957,1.1489543019770134,1.2897693993759252,1.1929630176543107,1.1506441801098697,0.951804226142009,0.8955865106032657,0.8635931880606496,0.8546392186331448,0.8875493527866292,0.947057633272796,0.9062225818707483,0.9100405852121084,0.8401873342205397,0.9794865106593768,0.8897596522396424,0.9062392775265462,0.8035324123352628,0.9300892622489283,1.1640359865008014,1.0628517960393864,0.9442042510573554,1.0394583017102847,0.9864787067320943,1.1069070960084795,1.1655236180727064,1.0619955508633274,1.0544688986620459,1.0484730164586098,1.3268099038827441,1.1016905159958963,1.1603581793213429,1.0672522216782412,1.0770312798464377,0.9089429268974599,0.7197906615640064,1.0707347367333746,0.9009151253387865,0.9078292730301272,0.5807223109110919,0.8970488648733314,0.7041246792777605,0.7918697487811622,0.8703910940753343,0.7940575876918698,0.7060151690737282,0.7281507278221779,0.8053119747663134,0.6101544331617412,1.0116831681003995,1.0840292213542444,1.0259583567339263,0.8987646589708231,1.1236952589346842,1.2043297154653327,1.1420594955697336
rooster,0.8230673890686998,1.0672383705362043,0.8908560704553223,0.7405416218488989,0.7480294870905235,0.8025367432385175,0.0,0.8789892164516955,0.8492844709032519,0.9017855345099661,0.9232566763046635,1.1999644177023037,1.1530902699659127,1.0716497482209706,0.881330983442516,0.9117576329548212,0.6821444707154578,0.9037875326190536,0.7739595091754594,0.7797085356195693,1.045392820848673,0.9035736358252809,1.0087105723792977,0.9415200602936075,1.013732763249368,1.081382455995683,1.0790159038785594,0.9688915960433624,0.9351436040247452,0.9389898376023037,0.8473311570259929,0.8799521000881394,0.7872563474308639,0.9716870984514318,0.9666179732982308,1.2109848598586725,0.891095959602709,1.102730951714686,1.2410263555843792,0.9101438830932154,0.787283146813549,0.9016540990284432,0.9723174959106916,0.9501267262627291,1.0020793218173452,1.080253008627252,0.9855343886628948,1.1701960216461609,1.1712522929558793,1.0100299777096804,0.9726253218769184,1.0276048297789113,1.0459661362433232,0.8987082044898036,0.9825038709781345,1.0355391618230456,0.9460215151139385,1.0059705660960852,1.015439844784438,1.059339210853874,0.9697754614776106,1.044835220121499,0.9711244082340602,1.003919042415591,0.9196277938627041,1.0482382364505838,1.0206685611954107,1.1331735243363354,1.0148277726700317,1.0501659579212665,1.172437420696706,1.2723410306210174,1.2228232367398957,1.2250807233596215,1.1777694665989626,1.216493478785619,1.2559538086760442,1.257895019123925,1.2613149891256048,1.2678444668720168,1.0951094484767705,1.2205258816471711,1.2858136842351247,1.2356891080356422,0.8886806115730679,1.1111350407565135,1.1765727106152002,1.2201077804524507,1.1062046651993511,1.2460431536322325,1.0269583068262,1.1188003134192108,1.012675130710652,0.9990633088490394,1.0390271409592016,1.1786189034388375,1.068521603810479,1.2264213430800246,1.123372682297393,1.1020194240187646,1.0430171270127508,1.0979874348754077,0.9879005317499061,0.8369416860303172,1.0143982495283754,0.7665623994091282,0.8909405821300939,0.9645020731460815,0.8744448956171349,0.8987504305352007,0.9364153257571411,1.0268196984881293,0.9734422715093104,0.8222043235388612,0.9914923949759327,1.0314191172361515,1.0891851030281798,0.9927572386073964,0.8966055964001951,1.1860733412267757,0.9867137686635039,1.2706649484079904,1.2795516613097453,1.0465285923518344,1.0203145817187578,1.0936519395318909,1.20252606263958,1.1285038409969488,1.0845414809771894,0.8880054744402497,0.9962958815878921,1.074182419506899,0.7624690576972626,0.8619689790802637,0.8692857887007793,0.8579125134146435,0.8019113604472234,0.8400025689867671,0.784113681449593,0.7846561065048877,0.7725810651294098,0.7931813129450446,0.8000289358540257,0.7792090655882866,0.9066514908088067,0.6561641468087367,0.783329363408429,0.8070096689200776,0.8992566735749571,0.8216234117581758,1.1452174377587614,1.115372100584457,1.130543777439653
deer,1.19048230941402,1.179726316435304,1.1308761530520455,1.0223136331911156,0.9591469833023927,0.9822576131310192,0.8789892164516955,0.0,1.1659705280258459,1.0679604255518684,0.8431320988309061,1.0978739755972369,0.836987765533106,0.9483343907098933,0.9165028248970242,0.772327556672612,1.1284433754459338,1.15762325578542,0.9706005770838827,1.1587692374398582,1.0342837954552297,1.0625068808036093,0.9217967979290076,0.986866856077833,1.0475855321602616,1.0253083028958474,1.1195462603095963,1.0000259687815984,1.0069300190391832,1.0239338759955128,0.8575341704390695,1.032161052362041,0.8083209400794271,1.0395260445435766,0.9428402211202621,1.0364317779776058,0.854221072579946,0.8449446651061626,0.923673998010853,1.0480621470396752,1.0595425661968496,1.229757471087847,1.0645781493190747,1.1854947965060683,1.2184185957995477,1.1306349371595714,1.1221650156514187,0.911112515596487,1.0167182047131709,1.151950988026174,1.1541213358935019,1.071595736406162,1.1420311524971996,0.960620650194468,1.0284708093476558,1.1954986146888311,1.1028784633860031,1.016981800054826,0.8909194925275631,1.0632904822213853,0.9368409235608511,1.0272857150721668,0.9547595147395569,0.8911462405227921,0.7168408244574312,0.9513641017304337,1.039200915981278,1.0187363874011461,0.9024129776361263,0.868642264862191,0.797518086277525,1.0187391319505807,0.869822121197809,0.8975776397727442,1.040434425408114,1.0597143794431403,1.0921711708004374,1.1053877428735606,1.1067281323141538,1.051435419625367,1.08741263779259,0.9231566997405359,1.0945833948382446,1.048238835805654,1.0222169118511912,1.1399662161110753,1.0614261796439157,1.1182731119387135,1.0935852057354474,1.0348241366076174,1.0964906782531938,1.0417501054671736,0.9917518339004758,0.7102481216082179,0.8522862998492162,0.8877585427705932,1.0369634933577723,0.843667328437399,1.0396229796612073,0.9172311557434435,0.9462632654457773,0.8935085818100265,0.9577859636392108,0.9688506977222084,1.052933032413078,0.8480321256287939,0.9152031330247976,0.921625921721723,0.9600168434886176,0.9840213010843665,0.9382297035852896,1.1074759120270286,0.9387382848153568,1.0740156413815831,1.2184251585978345,1.0852816389531312,1.0004586789628223,0.9881625575394559,1.1497954911754664,0.8155991461954778,0.8430526816673185,1.1759408319011102,1.017040593644382,0.9596568783584114,0.9085572752735949,1.0552373772475876,1.0845906746929974,1.018538674390026,0.9933699984065743,0.7864905043929664,0.9031389801744545,1.1278613524458878,0.9628626082354981,1.0874839176758415,1.1029407799150301,1.1720468903053278,1.1975787336653303,1.2100477174955206,1.1887636090314648,1.20638084465726,0.9885492662408766,1.1781909361829983,1.2149911880187234,1.15415033636272,1.1290339868713968,1.067159194671713,0.9717693740416072,1.0624550411046816,0.941497082756716,1.070623100206722,0.8566539173738206,0.9927845074168712,0.9688959812847335
pony,0.7314517749889985,0.828006399355377,0.9053608647783847,0.6268008705021731,0.6937740250874054,0.864827469686099,0.8492844709032519,1.1659705280258459,0.0,0.2785751616264105,0.8926940390732232,1.1621461889434286,1.1622646833834207,1.0857490930962337,0.9960456604409711,0.9250361321915832,0.6909439654353066,0.8388082115613662,0.9548326012084098,0.5977072988865246,1.254279145634523,1.1233234117428224,1.2137592774758477,1.1647284108634366,1.2287893107880112,0.9374106290562292,0.9726491232717154,1.0860630757607501,1.1666301984358296,1.0054216375342446,1.0129680430325574,0.7354006792045508,0.8728423721767786,0.7592820304279975,0.9287832542478279,1.138871721425206,1.016121391474791,1.2652634455911438,1.2590373957814247,0.5898138064260219,0.7440076211471507,0.550105536846697,0.8245112562993668,0.5592756471209219,0.601331890194734,0.8291347507778385,0.7502320622059191,1.064207037121791,0.9326702205750281,0.7027825469166776,0.5931902874380894,0.659047137665687,0.8369685524553756,0.930542225317002,0.8706786175572516,0.8414044004707426,0.7660749965646145,0.9715178821719985,0.9364644620284502,0.8667593387195952,0.8081663977574933,1.0434575548889176,0.8954176274360094,1.0146844099682362,1.0242325543488142,1.142959776719704,0.7442788374906517,1.2577560703359763,1.02728434229873,1.232334207786014,1.3359932910543684,1.3038754192174966,1.3112952681077483,1.30449234012463,1.3209953844145765,1.3311214186218705,1.2028357997920136,1.1084692778177307,1.3280665539971388,1.3295487303419113,1.2678435670809955,1.2475050824290346,1.2620573189294075,1.2054227575490988,0.9821250275356348,1.1568134355450226,1.2438248486476133,1.2580221700999343,1.278499558873445,1.3621898784131172,1.3141880564698931,1.2825219792471736,1.3544985610281683,1.1702564920242857,1.0675407600150224,1.2014923622971818,1.0683846667858918,1.1834046742175905,1.1673852311905295,1.225502390530511,1.1121307070205217,1.3142588724706714,1.1041538820270067,1.0665315091750167,0.9355374641464305,0.8680795669978792,0.9112000312034698,1.1329703790911665,0.8852436830492156,0.9338699399792749,0.8730061695661866,0.807264688571156,0.8231356010400549,0.7458178925130727,0.7355181412932039,0.8635168484351314,1.0956981946998292,0.9231196432648745,1.03894088310432,1.1449366271422297,1.0343929582323492,1.1431986897344766,1.2131173497452055,1.015369689815004,1.0822306925851781,1.009754429919239,1.3175852831714434,1.2121741518780553,1.1949940461069757,1.1757685173907833,1.2466744641765561,1.1226757659689355,0.9949302215700673,0.8923342188941614,0.730842225179505,0.5810971378407792,0.7093103880116849,0.7227889110251113,0.5796521555697398,0.6490650434289665,0.7808537686898507,0.7452702946810827,0.4906668157883731,0.7063539463865631,0.7492630570397094,0.7527887227076583,1.0623950902571595,0.819625143659814,1.0995834619789213,1.0259725736099938,1.2971810177809215,1.2799566873292103,1.2589388167169377
