,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
couch,0.6738213,1.4060996,1.4786384,0.6338209,1.2250817,1.3441193,1.3916485,1.0598041,0.5114726,0.116096616,1.160931,0.27581888,0.6623526,1.0819119,0.21903723,0.7938286,1.190232,1.5109738,1.3216877,0.6524485,1.3461369,0.9644653,1.3053973,1.2123059,1.2335184,1.2051044,1.0921545,0.7233745,0.43190557,1.1705663,1.472681,0.5901427,1.0043803,0.80503905,0.0,1.0069994,1.531116,0.4403901,1.5418723,1.1643783,0.5705039,0.9732284,0.53998876,0.8543515,0.7757854,1.1738515,1.5313723,0.9549883,0.7611999,1.2864257,1.1873149,1.5025096,1.2618053,1.5413026,1.2454425,0.7333084,1.2868801,1.0961374,1.3895508,0.7390011,1.415274,0.9130418,1.351543,0.68771166,0.70658004,0.42001748,1.0739807,0.46811926,1.2097532,0.5578316,1.4889932,0.97466916,1.1998687,0.99574584,0.67547756,0.9029706,1.1387846,1.4237717,1.3285531,1.3716998,1.0395476,1.470262,0.60409313,1.0052203,0.63418275,0.48100382,0.9523739,1.490639,1.4834685,0.9600444,0.9998469,0.530013,1.241664,1.2242613,1.322654,0.8680262,1.4655695,0.68866324,1.3132508,0.5678317,1.0588644,1.3744452,1.2896919,0.93864375,1.2296835,0.46378922,1.0687627,0.6193054,1.4332706,0.51720166,0.762699,0.5851104,1.5369736,0.95938814,1.4221034,1.0603906,1.315532,1.469046,0.7073348,1.5361749,0.8433056,0.49196714,0.30648428,1.5232512,1.4728096,1.3166035,0.8242208,1.3328178,1.2944062,0.69879174,0.81925404,1.1836026,0.98111135,1.4558797,0.583474
cracker,0.90939254,1.0056546,1.170232,0.9963502,1.2231435,1.0928217,1.1026647,1.1467819,1.0515699,1.0680015,0.8887643,0.98761183,1.1003582,0.8982632,1.021102,1.1002796,0.9196503,1.1355609,1.193548,0.90601265,1.1133356,1.0291388,1.0683355,0.83589584,0.99348336,1.3417146,0.38478875,0.9432852,0.9279751,0.96649015,1.1317047,0.98988,1.1306295,0.8922683,1.0069994,0.0,0.9469027,0.9877171,1.1212856,1.0496981,0.99198437,1.1356691,0.9582749,0.93768305,1.2306594,0.7199601,0.97845876,1.0786744,0.9328068,0.67471135,0.87550664,1.1258299,0.6519072,1.0047858,0.78163505,1.0414176,0.8673931,0.96579516,0.559353,0.9078753,0.8436502,0.79490745,1.1648744,0.8328366,1.015064,1.030442,1.1236161,0.81771094,0.7784118,0.9402742,1.1188989,0.9265715,1.1035303,0.9654326,0.9311796,1.1272787,0.78482354,0.94506717,0.97965807,1.0321203,0.8090371,1.023953,1.0757096,0.9374341,1.2185278,0.939959,0.77525294,0.8747353,0.91342455,0.5770308,0.96418124,0.9683728,1.192884,1.2703601,1.159324,0.7860311,1.1231239,1.1446582,1.2164642,0.9905946,1.1406938,0.85008556,1.1839787,1.2317663,1.1267715,1.0201018,1.0035317,0.95986557,1.1878804,0.95282865,1.0658973,1.1032888,1.1072729,1.0057366,1.0231265,0.8582423,1.2186993,1.0352502,1.0095581,0.9091867,1.1742709,0.99208003,1.0131751,1.0751777,0.8309164,0.6145015,0.76687,1.0364867,1.1817746,0.9650244,1.1564617,1.3395761,1.0621605,0.88343114,0.98883176
crayon,1.4706197,0.5912127,0.34502697,1.3493237,0.9119489,0.74408096,0.57966685,0.900818,1.4243175,1.5789241,0.42028522,1.4965688,1.4274166,0.9199499,1.5659701,1.1055624,0.6813161,0.2665285,0.8297877,1.3183635,0.94373983,0.930149,0.7890665,0.7297539,0.4773727,0.85617125,1.0144397,1.264058,1.2295115,1.0548043,0.33985615,1.4138155,1.0803809,1.0962722,1.531116,0.9469027,0.0,1.3272564,0.30027997,0.95828694,1.5138998,1.1998419,1.333889,1.1049528,1.3676373,0.7815378,0.32067823,1.2349069,1.2534668,0.6997413,0.61413896,0.4107368,0.6862123,0.29082483,0.6695375,1.4393888,0.5708907,0.95959723,0.62323844,1.3573974,0.48838538,1.3102146,0.524185,1.2920289,1.2907274,1.4322448,0.95240116,1.3383229,0.6646336,1.1715717,0.37518477,1.2131763,0.90028274,1.1899791,1.4981916,1.2017322,1.0537571,0.25222635,0.6015362,0.7512051,1.1687342,0.25020802,1.3793031,1.1715103,1.4408972,1.4428314,0.99219376,0.08357942,0.116855145,1.1184745,1.1582707,1.1116637,1.0436676,0.8272891,0.87157774,1.2215967,0.53312325,1.3496855,0.64478076,1.408232,1.1376114,0.6611803,1.0107905,1.2281262,0.70927566,1.4709607,1.1183255,1.3142861,0.5059363,1.4199077,1.4139905,1.2804669,0.15299559,1.2162708,0.4960428,0.79573107,0.9089321,0.5653642,1.3012028,0.30932546,1.2554297,1.444993,1.5998493,0.3716699,0.45292866,0.5255517,1.3078123,0.54690284,0.6114058,1.437375,1.2999829,0.88146466,0.69149655,0.24915904,1.3564527
crib,0.8985204,1.2793862,1.3840578,0.8968243,1.1703401,1.2983031,1.2559907,0.62404263,0.78800213,0.51956606,1.067248,0.42859954,0.8447598,1.0514274,0.54745233,0.93167955,0.9932918,1.3284277,1.2011353,0.52055967,1.2711581,0.88960326,1.1179073,1.1512232,1.0266622,1.201195,1.0950538,0.9348721,0.39949828,1.0638616,1.399636,0.6629456,0.9718625,0.68494177,0.4403901,0.9877171,1.3272564,0.0,1.3635519,1.0460428,0.91058284,0.976352,0.6849849,0.7223189,0.88795483,1.166009,1.4124727,1.0800523,0.8985546,1.2657932,1.2162982,1.3248892,1.2122505,1.3582523,1.13589,0.8500308,1.2379184,1.1081765,1.2928238,0.9244972,1.2645223,1.050573,1.21122,0.8845682,0.821609,0.67353266,0.88163936,0.71967244,1.1780876,0.05692613,1.2852716,0.9945198,1.0982069,1.0689249,0.9109643,0.83917475,1.1565832,1.4023045,1.1498026,1.2142498,1.0909429,1.4052567,0.6431254,1.0566996,0.80448157,0.70424885,0.94637483,1.2867836,1.2766552,0.9856789,1.0186363,0.62491435,1.1655511,1.0692593,1.212657,1.0296607,1.3658168,0.6212214,1.1189401,0.6815122,1.1471423,1.2110236,1.3011589,0.9526836,1.085251,0.74209225,0.9403189,0.7706797,1.2024297,0.68640757,0.914994,0.62562335,1.4054279,0.9720102,1.2691224,1.074286,1.2733096,1.352248,0.82723486,1.3946365,0.67149943,0.72706586,0.5829185,1.3323407,1.4011316,1.2567406,0.94528973,1.1240666,1.0339792,0.83187574,0.91017216,1.1425698,0.8015631,1.341205,0.65884787
cup,1.5133544,0.6230185,0.35360563,1.4723822,0.70818216,0.63197255,0.5913021,0.7754058,1.3818811,1.6042118,0.6152863,1.4581248,1.5040851,0.98142457,1.6457243,1.1712892,0.64123595,0.07514334,0.4677003,1.1123551,0.8227912,1.0067211,0.2733463,0.8305583,0.31587374,0.73500156,1.1496913,1.3477123,1.186525,0.9411825,0.30007356,1.3056928,0.8707952,1.2743795,1.5418723,1.1212856,0.30027997,1.3635519,0.0,0.8170351,1.575455,1.0873646,1.2476796,1.1032178,1.3851933,1.0206095,0.32811153,1.2869097,1.3338232,0.95747507,0.8284546,0.38702178,1.0022622,0.45724344,0.8092303,1.1949852,0.7550316,0.9318317,0.8618045,1.4976561,0.69956124,1.4056376,0.43649042,1.3477535,1.3332787,1.4866642,0.6963635,1.4812629,0.840894,1.2513344,0.25056744,1.2163798,0.87566745,0.89717644,1.542173,1.221298,1.1019436,0.4933712,0.51371264,0.90568674,1.27019,0.44101286,1.2013221,1.3290262,1.4086928,1.5235559,0.9132097,0.4036113,0.4480493,1.2639369,1.2476591,1.1082386,0.9152258,0.6290424,0.62892294,1.381234,0.5687845,1.1838756,0.51799303,1.2817124,1.0285116,0.68183905,0.69242465,1.2850652,0.74252874,1.5325692,1.079706,1.35287,0.39344805,1.3041985,1.1819332,1.3236709,0.29436892,1.1903281,0.43895853,0.741907,0.7237228,0.51478016,1.3896554,0.43993747,1.1054876,1.5127857,1.5295811,0.30510372,0.6515605,0.8436997,1.3863666,0.50070816,0.5221079,1.3442647,1.2926164,0.71270967,0.69426125,0.53893673,1.3308201
dish,1.2519203,0.8524424,0.970836,1.3181903,0.707597,0.715119,0.79116756,0.878898,1.0757172,1.1260296,1.0912662,1.0769738,1.1716756,1.0339385,1.1984793,1.0788374,0.75477624,0.91598165,0.31194222,0.8807349,0.8371416,0.89105463,0.70378995,0.94544613,1.0014166,0.9825849,0.9201172,1.3633221,1.1461825,0.9137741,0.82395077,1.1628295,0.9382133,1.0820365,1.1643783,1.0496981,0.95828694,1.0460428,0.8170351,0.0,1.3632597,1.06703,1.1964968,0.96318865,1.1821827,1.299619,0.77047366,1.1162325,1.1990186,1.239555,1.1660385,1.0639915,1.1574364,1.0169147,1.0688432,0.94957304,1.239664,1.1208264,0.81669104,1.356931,0.9640174,1.2217548,0.8899302,1.3367889,1.0391237,1.2712251,0.9148259,1.3400664,0.9200382,1.0826449,0.9228569,0.9579166,0.69744086,0.9967891,1.2161028,1.0384371,0.98168474,1.0571865,0.8889459,1.1962819,1.1864752,1.0189041,1.0554773,1.2351233,1.1487844,1.2438126,0.62829065,0.9763516,0.96887374,0.7798593,1.1264746,0.8593001,0.87572396,1.0367587,0.4711535,1.2414081,0.9187908,0.96917546,0.81265354,1.1456814,0.94888586,1.0941532,0.8021188,1.1141554,0.8747637,1.2929952,1.0403178,1.2167642,0.8995256,1.0742258,0.8437741,0.9488768,0.9201852,0.9679893,0.50192606,0.82416964,0.7273432,0.8168777,1.0445063,0.8911931,1.0059801,1.2086385,1.006546,0.4266914,1.1826328,0.906955,0.96464586,0.9702127,0.8050288,0.7371543,1.1467898,0.9508602,1.162111,1.091159,1.2156941
dog,0.2719035,1.23031,1.3335427,0.48986578,1.2171797,1.261012,1.3461049,1.3051912,0.6239241,0.48386753,1.35001,0.6445668,0.72605646,0.9302319,0.47112232,0.8202745,1.4241475,1.5138909,1.4830791,1.1027825,1.205995,1.076051,1.4932942,1.1552095,1.4769967,1.1956679,1.0349692,0.28744054,0.8824342,1.182442,1.458395,0.7545103,1.163453,0.932542,0.5705039,0.99198437,1.5138998,0.91058284,1.575455,1.3632597,0.0,0.8889649,0.7499766,1.1501628,0.7221154,0.8471674,1.4379952,0.6394441,0.65873194,0.9945793,0.8922316,1.3972952,1.0561556,1.4414301,1.1014742,0.800791,1.0688446,1.0275383,1.2269881,0.2802838,1.2933158,0.653107,1.3807528,0.46208167,0.74040043,0.5015044,1.230002,0.5581767,1.2395031,0.99408334,1.506769,0.8930985,1.2282,1.0999554,0.55006856,0.9549663,0.91183686,1.2290037,1.4508752,1.1266813,0.7407565,1.3121977,0.9379383,0.5828271,0.67448974,0.52739656,1.2549168,1.4686185,1.4582133,0.9875527,0.90238655,1.0955222,1.1771822,1.2361634,1.4669456,0.6335112,1.3184495,0.9878038,1.4187535,0.73754656,1.0600827,1.2216562,1.1917744,0.88546664,1.3102938,0.44374925,1.0897526,0.73239815,1.4912639,0.725573,0.8894007,0.7913754,1.451325,0.95169544,1.4398334,1.1366897,1.227266,1.4505424,0.74521184,1.4216325,0.99946946,0.5540011,0.59875953,1.5870972,1.1524056,1.2235093,0.848194,1.4211144,1.4597778,0.8636538,0.7700536,1.2071935,1.2080724,1.2930065,0.7004864
doll,0.9986971,1.0371221,1.0420623,1.0510064,0.8853976,0.9680695,1.0128996,0.9759838,1.1541052,0.98132074,1.1974697,0.97213906,0.9692197,1.0561262,1.0496662,1.0870595,0.8932501,1.0551945,1.0405499,0.9268504,0.958876,0.9634657,0.9776435,1.1840192,1.1306314,0.8493994,1.0933986,1.1044631,0.9917395,0.8564174,1.0764604,0.88548046,0.9108873,0.9609255,0.9732284,1.1356691,1.1998419,0.976352,1.0873646,1.06703,0.8889649,0.0,1.0023724,1.0673051,0.8901873,1.1180199,1.1541643,1.1363366,0.9352483,1.0672023,1.2229989,0.9831181,1.237577,1.1149871,0.8097622,1.0455747,1.100094,0.8561019,1.2060461,0.9859169,1.183111,0.92897516,0.99366647,0.9586362,0.9078363,1.0371685,0.8096932,1.1266677,1.1444778,0.9754336,1.0731412,0.9201479,0.9909878,0.984034,0.79981124,0.78248346,0.9952538,1.211751,0.94029534,1.0208286,1.0360148,1.1676195,0.97976583,1.1472694,0.8532443,1.0137293,1.1148131,1.170293,1.1096166,1.1029758,1.0499034,1.000779,0.9189962,0.84906226,0.9642799,1.0415084,1.0291872,0.8473203,0.9763255,1.0318632,0.90512353,0.8905957,0.8903651,0.996866,0.9722913,0.9562816,0.89990604,0.9250248,0.9832727,1.0604862,1.0599235,0.86154383,1.1320746,1.144327,1.0663002,1.0114594,1.011568,1.0504478,0.8804765,1.1590203,0.72015667,1.0186287,0.98645055,1.09769,1.1093673,1.3206593,0.99948674,0.96278894,0.71365976,1.043112,1.0125109,0.81501806,0.94149375,1.2410784,0.99854076
door,0.83138907,1.2009733,1.3408192,0.7787844,1.2463899,1.3166759,1.3625989,1.0207744,0.47592044,0.5733583,1.1403277,0.42835516,0.9364946,0.8826411,0.64938563,0.9191569,1.2475556,1.2459981,1.1945271,0.6856831,1.2990401,0.87822896,1.0690026,1.2038186,1.0099323,1.1448709,1.1406087,0.67174494,0.5682221,1.122799,1.2520866,0.17466557,1.0200068,0.9199863,0.53998876,0.9582749,1.333889,0.6849849,1.2476796,1.1964968,0.7499766,1.0023724,0.0,0.6776223,0.94429624,1.0868678,1.3771764,1.0775859,0.916771,1.2357546,1.1018654,1.2432065,1.2352135,1.2984003,1.1844369,0.8462064,1.1799741,1.1676224,1.3943799,0.8603756,1.3367532,1.0084091,1.3273878,0.76269364,0.7807253,0.5738669,1.0100042,0.73326313,0.9455728,0.7517454,1.1081091,1.0042535,1.2060232,0.9713671,0.9361729,0.9541954,1.1604874,1.2867901,1.1380826,1.2565787,1.0472796,1.3399374,0.4820975,1.0991786,0.87603676,0.69304925,1.0240241,1.2787365,1.288919,1.1008908,1.1719356,0.9330798,1.2167639,1.062732,1.2734065,1.0444587,1.3842286,0.9044626,1.1582701,0.26734805,1.1122838,1.1964068,1.1536411,1.061474,1.2598507,0.6742026,1.1911293,0.7649231,1.1805015,0.28420317,0.7052235,0.85301006,1.3977334,1.0309625,1.3431298,1.0256069,1.1804867,1.1724963,0.8267356,1.3334007,0.89605093,0.7383683,0.62769973,1.3914931,1.3351445,1.2644445,0.8110581,1.0651363,1.2588362,0.856117,0.797693,1.1059366,0.6919925,1.3400259,0.33519942
drawer,1.1257861,1.1329026,1.2380273,1.1264973,1.0348313,1.0789481,1.1708461,0.8167871,0.8776196,0.9473942,0.9082751,0.63491607,1.1174651,0.9034138,0.929738,1.0628929,0.9530713,1.1304824,0.96624815,0.5038423,1.0892437,0.9293827,0.9217997,1.070414,0.8412223,1.1462502,0.9747993,1.1483366,0.69579273,1.1009808,1.0864855,0.6494252,0.9510775,0.867194,0.8543515,0.93768305,1.1049528,0.7223189,1.1032178,0.96318865,1.1501628,1.0673051,0.6776223,0.0,1.1716173,1.0734403,1.1761181,1.1033468,1.0847319,1.0433803,1.2061142,1.196156,0.98589295,1.053806,1.0469196,1.0343417,1.0341682,0.9891356,1.0292969,1.1537579,1.0857992,0.99119616,1.0030888,0.990489,1.0103182,0.9437643,0.959819,0.9420387,0.93666685,0.7015748,0.9680785,1.0176955,1.073051,0.94690627,1.0971458,1.0112803,1.0323746,1.190764,0.98968554,0.91090596,1.0044917,1.2273449,0.5492897,1.0603721,1.1487166,0.9809804,0.8724314,0.99374944,0.99893856,0.98882365,0.944676,0.8441769,1.072864,1.0909948,1.0839475,1.0070041,1.2035011,0.76759726,0.77899504,0.67897606,0.98375475,1.0924228,0.98621225,1.1034712,1.0411359,1.0672785,0.93381965,0.9058058,1.0151069,0.8579747,0.78055423,0.9962769,1.137971,1.0856398,1.1175175,1.0618151,1.1390406,1.040903,1.0504788,1.1387694,1.0139949,0.9717246,0.91085017,1.086083,1.1280131,1.0338975,0.953753,0.9888461,1.0665803,0.90837145,1.1221848,1.1397418,0.8671064,1.0948955,0.85710853
dress,0.7364538,1.121682,1.2724074,0.42453408,1.1632429,1.2471126,1.2465776,1.1501925,0.7455447,0.65507025,1.2205116,0.90984917,0.1363064,1.2410806,0.5667805,0.78908706,1.2121348,1.3536446,1.3160179,1.1084728,1.2281022,1.1685555,1.3574343,1.3487155,1.3370377,1.0368041,1.1863955,0.79690224,1.0503109,1.0972605,1.29032,0.9568628,1.0771296,0.9894612,0.7757854,1.2306594,1.3676373,0.88795483,1.3851933,1.1821827,0.7221154,0.8901873,0.94429624,1.1716173,0.0,1.0782723,1.351845,0.70296675,0.9096926,1.1371397,1.1172022,1.1866196,1.123881,1.333581,1.17823,0.7918937,1.1960716,1.0739189,1.3440847,0.76096517,1.3119524,0.8663921,1.2993529,0.9041859,0.9288535,0.6908765,1.1683203,0.71470994,1.2302207,0.99018526,1.3187743,1.0761191,1.2205873,1.0905313,0.6886209,0.8710916,1.2278965,1.2721648,1.1761835,0.75115705,1.0231061,1.2696958,0.98421407,0.8048651,0.0944038,0.64661974,1.1356962,1.3878796,1.3643248,1.2176995,0.7785171,1.0080386,1.1383635,1.1273984,1.2123568,0.8721932,1.2276262,0.94101566,1.2360854,0.94724846,1.0035472,1.1711797,1.1540911,0.25975484,1.1782352,0.5401758,0.99353534,0.6980253,1.3096018,0.85145783,1.0059726,0.8306618,1.3002458,0.6274542,1.2665486,1.1015022,1.1813114,1.3512933,0.83453536,1.3166897,0.9333519,0.6606798,0.83462715,1.3673896,1.1861756,1.3017819,0.95701265,1.101785,1.237297,0.9493552,0.71041614,1.0308269,1.2179878,1.2393615,0.8432075
ear,0.92044926,0.85202837,0.8318994,0.9657932,1.2001401,1.0269212,1.1270981,1.1407297,1.2244118,1.2116348,0.74113333,1.2462403,1.029544,0.87245595,1.0694213,1.1879783,1.2695858,0.9856911,1.400374,1.3023658,1.1566434,1.1514478,1.15051,0.83159244,0.8587581,1.1838117,0.8006072,0.73731637,1.0753051,1.1528556,0.9041486,1.1145039,1.2397566,1.036703,1.1738515,0.7199601,0.7815378,1.166009,1.0206095,1.299619,0.8471674,1.1180199,1.0868678,1.0734403,1.0782723,0.0,0.8329938,0.98934644,0.822204,0.3798387,0.70034313,0.95023495,0.34493685,0.8389989,0.92163223,1.1871113,0.3135352,0.8309943,0.62611014,0.67906827,0.6279424,0.7721358,0.8710604,0.7696941,1.2207782,1.0019177,1.2619934,0.79113775,0.9536912,1.0789479,0.9817083,1.0546119,1.1408069,1.0529532,0.91208005,1.1522579,0.85716796,0.5376325,0.95563745,0.5671479,0.55203897,0.6327584,1.2429026,0.8649144,1.1306441,0.92835265,1.2178061,0.83895934,0.8755801,0.9231486,1.0045031,1.1694762,1.2246687,1.1927276,1.3565273,0.77996224,0.8327731,1.2245834,1.1949067,1.1476121,1.1354052,0.87856317,1.1591558,1.1070176,1.148553,0.95785123,1.0241281,0.85068756,1.0810682,1.1673055,1.332036,1.351678,0.82672226,1.1204673,0.99391705,1.1066035,1.1797718,1.0598035,1.1551335,0.7710046,1.2446193,1.0223773,1.3334123,1.0465344,0.34410322,0.7205477,1.0333585,0.8935055,1.2305976,1.3225286,1.1895525,1.2141788,1.0249932,0.4642393,1.0865898
egg,1.3606424,0.59875476,0.231125,1.3899567,0.6937767,0.4927411,0.5175778,0.94738257,1.4432015,1.5336825,0.75518155,1.529464,1.4678292,1.0241953,1.5828147,1.1970042,0.79301405,0.35990548,0.6427603,1.3276935,0.7527259,1.0181917,0.64572686,0.7329633,0.6433375,0.8759141,0.945144,1.310952,1.3643354,0.9043551,0.3044963,1.392526,1.1404703,1.3658617,1.5313723,0.97845876,0.32067823,1.4124727,0.32811153,0.77047366,1.4379952,1.1541643,1.3771764,1.1761181,1.351845,0.8329938,0.0,1.1723084,1.2183101,0.72618675,0.75813967,0.53573346,0.73572046,0.43336153,0.8091184,1.316684,0.7197932,1.0406874,0.6169348,1.352677,0.47560692,1.2664422,0.5431215,1.3295481,1.2963984,1.4699461,0.95920646,1.4406729,0.8810132,1.297061,0.47389305,1.1274056,0.8108295,1.1366067,1.3879131,1.2994697,0.80858386,0.33906162,0.62273955,0.8644457,1.0636771,0.2515074,1.3876095,1.2076102,1.3975015,1.4383771,0.94895273,0.43183446,0.46155345,1.1156259,1.1952479,1.1574256,0.9276666,0.9174803,0.6608885,1.1938622,0.42223662,1.4090757,0.7478334,1.4037857,1.090315,0.70838714,0.8206215,1.2665586,0.72642076,1.495182,1.1649439,1.301075,0.6177125,1.3607764,1.3353429,1.3590355,0.3223269,1.2970517,0.47139752,0.8212192,0.7000963,0.6229321,1.3100204,0.33262825,1.2886648,1.4122443,1.5111382,0.26486146,0.4450463,0.65519685,1.3164625,0.6382557,0.6560539,1.3005245,1.3245502,0.8838537,0.97625226,0.45934832,1.3955122
elephant,0.5067583,1.1180878,1.1823916,0.68502074,1.0463594,1.081938,1.1436278,1.2364048,0.7145124,0.8134028,1.2572619,1.0391392,0.71147937,1.1165166,0.8065597,0.8338147,1.1876383,1.2904974,1.2066331,1.1283268,0.9986435,1.1102135,1.3394299,1.1920018,1.4036674,1.1143125,1.0673045,0.6774841,1.2646263,1.1064574,1.1546613,1.0840665,1.114275,1.1036761,0.9549883,1.0786744,1.2349069,1.0800523,1.2869097,1.1162325,0.6394441,1.1363366,1.0775859,1.1033468,0.70296675,0.98934644,1.1723084,0.0,0.8891428,1.0670494,0.9322575,1.2606113,1.0095103,1.268246,1.1848469,0.74240875,1.1636436,1.2022716,1.1093218,0.7351782,1.1245407,0.9292111,1.2542673,1.0253894,0.8766268,0.909538,1.1323328,0.9174248,1.1861521,1.1515956,1.2577887,0.8791734,1.1034379,1.1272892,0.8923441,1.0404078,1.0221312,1.048177,1.3200568,0.95122254,0.89943576,1.0534432,1.084924,0.52400637,0.77360475,0.8818404,1.0959582,1.2503195,1.246291,1.0607413,0.7740315,1.180872,1.0028726,1.1786124,1.1109943,0.8276504,1.0877978,1.0700042,1.2112374,1.0229589,0.91105324,1.1610228,0.9946054,0.6215014,1.0197384,0.87467915,1.0280699,1.0577505,1.2523522,0.8978604,0.95248777,0.9294189,1.2090368,0.72416294,1.165996,1.1551754,0.98028934,1.2532054,0.9013084,1.2085398,1.2086968,0.86336696,0.85853755,1.2089717,1.1012894,1.0507169,0.9975752,1.3015649,1.2899516,0.86592275,0.78046536,1.1116183,1.3973935,1.132215,0.93368834
face,0.71474946,1.2595632,1.1384728,0.8442564,1.1184243,1.1162314,1.1892662,1.2128061,0.8414453,0.7561308,1.0613339,0.94215333,0.8904696,0.9707212,0.7626043,0.86613727,1.2028657,1.2876333,1.3267069,1.0239345,1.1635745,1.0317434,1.3156803,1.0400116,1.2948287,1.1023793,1.0934876,0.7543715,1.0166117,1.0778422,1.1910383,0.93192863,1.139579,0.9398789,0.7611999,0.9328068,1.2534668,0.8985546,1.3338232,1.1990186,0.65873194,0.9352483,0.916771,1.0847319,0.9096926,0.822204,1.2183101,0.8891428,0.0,0.9872111,1.0957977,1.2025557,0.93415916,1.237705,1.0077851,0.8774978,0.78006524,1.1896659,1.0649968,0.56151444,0.9689494,0.83106446,1.2053671,0.63766176,0.91609544,0.7559658,1.0848608,0.8790876,1.1894858,0.9454387,1.26203,0.85457456,1.0520428,0.99382234,0.854794,0.8870121,0.9113997,1.0584594,1.3680615,1.1061858,0.7266466,1.1157559,1.0034869,0.82976335,0.90076655,0.7687844,1.089785,1.2614541,1.259635,0.9934628,1.0174788,1.11897,1.1206901,1.2018161,1.2588539,0.90908694,1.1319695,1.0028661,1.2986987,0.89134204,1.0665698,1.1565169,1.1881858,1.0017213,1.1241682,0.64028007,1.0179312,0.91816306,1.4157368,0.8862347,0.97008765,1.0251837,1.2410059,1.020748,1.3333101,1.2113777,1.148485,1.3297837,0.8735587,1.2196985,0.98797554,0.6714897,0.77915144,1.2316552,1.1183434,1.1442227,0.921438,1.3646736,1.1704901,0.8851731,0.81633484,1.1080971,1.193244,1.0727677,0.840989
finger,1.0475178,0.7733522,0.80731833,0.94569165,1.0749497,0.89376926,1.0342735,1.189226,1.309541,1.2846674,0.8028294,1.3275404,1.1230961,1.0135487,1.235793,1.1395525,1.1866691,0.9519812,1.2930391,1.3237951,1.1210475,1.1615504,1.1007394,0.875512,0.89888215,1.1623353,0.57752776,1.0176867,1.2034054,1.1047995,0.92568964,1.2124896,1.2346554,1.0658727,1.2864257,0.67471135,0.6997413,1.2657932,0.95747507,1.239555,0.9945793,1.0672023,1.2357546,1.0433803,1.1371397,0.3798387,0.72618675,1.0670494,0.9872111,0.0,0.80844927,0.94051296,0.24858934,0.74987304,0.8205898,1.2595959,0.5072052,0.7330158,0.46300888,0.9040057,0.6001634,0.47880965,0.86992025,0.86965996,1.277709,1.157783,1.2472825,0.8768875,0.7836388,1.1618109,0.97411066,1.1891991,1.0655825,0.9488821,0.8592479,1.1939082,0.8457084,0.5114696,0.9435496,0.62782395,0.5195597,0.62536424,1.3589096,0.96076524,1.1706725,1.014577,1.1412307,0.7416908,0.7232555,0.7995971,0.8562701,1.2034954,1.217554,1.1449249,1.3156338,0.6708716,0.7153253,1.3205074,1.129533,1.3108314,1.0956169,0.8071049,1.1287359,1.1363261,1.1199274,1.1092755,0.939253,0.9292731,1.0391052,1.2375957,1.3182936,1.2250812,0.72126716,1.1473572,0.84133464,0.94899917,1.14879,0.9003943,1.2060245,0.6462437,1.2659822,1.1518632,1.390158,0.97513795,0.15248668,0.5259505,0.85794073,0.90736735,1.1385915,1.3367695,1.275753,1.1871341,1.1125628,0.45058572,1.2189378
