,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
crayon,1.62798,0.72658336,0.2428106,1.0204374,1.4233954,0.55881476,0.66674006,1.1754951,0.8907815,1.4021895,1.237346,1.5782486,0.18505138,1.3128345,1.5179706,1.1987988,1.5347382,1.0701025,0.98519516,0.22023475,0.42666662,1.3135186,0.45748657,1.0420058,0.56166226,0.82380074,0.71368706,0.7673987,0.62434876,1.2896802,1.1126066,0.37602395,1.3719928,1.1461526,1.0796952,0.97328067,1.2410812,1.50699,1.1114762,0.0,1.4430612,0.25688666,1.2180934,1.4761643,1.226781,1.3382366,0.9180979,1.4226531,1.1486856,0.5058799,1.2994573,1.2872726,0.5951248,1.3321545,0.24539328,0.9177581,0.9476096,0.40103054,0.89271957,1.2659652,1.4688432,0.71912515,0.8049059,1.2753258,0.52829576,1.3637168,0.5472897,1.2499002,0.53094393,1.2710917,1.4062033,1.1992584,1.4434528,1.2014327,1.4574935,0.55160683,1.1105493,0.43601888,1.38776,0.99124026,1.1052674,1.496105,0.8043748,0.99171776,0.4726817,0.22999209,0.6775061,0.49783605,0.7203647,0.3776461,1.0535212,1.4463897,1.5400555,1.4983007,1.3429112,0.13030434,0.10310125,0.8551366,0.5727235,1.388052,0.9507116,0.895842,1.0677431,0.6140497,1.3473594,0.54490656,1.086971,0.7045771,0.86736983,1.2393317,0.993875,0.44432753,1.1564763,1.1351212,1.4386151,1.1605399,1.4492285,0.87164855,1.4130212,1.1128376,1.0923858,0.26033688,1.4322822,0.74031764,0.6693176,0.3934673,1.2948526,0.6490935,0.8154377,1.3397688,1.4882579,1.3322797,1.5567508,0.42556882,0.5430697,0.43566227,0.2707706,0.54860824,0.63619804,1.4408507,1.2721393,0.9256641,0.8445578,0.19764096,1.4261434
crib,0.5747146,1.352745,1.4989555,1.1706595,0.8294759,1.4673444,1.4028839,0.7418767,0.5843395,0.59741855,0.91348666,0.39801955,1.3166035,0.514455,0.72647536,0.89276,0.49657965,0.8200102,0.7979057,1.4108472,1.3493515,0.44099808,1.4726756,0.75449216,1.1783952,1.200346,0.91141444,1.058314,1.1749952,0.89207,0.47259808,1.4786758,0.5156896,0.8727165,1.0781591,0.98850733,1.0861156,0.43887955,0.9586899,1.4430612,0.0,1.412262,0.9904673,0.80631936,0.88773596,0.61600035,0.8133303,0.66221726,1.030805,1.4261165,0.85549957,1.0017157,1.3998448,0.6272474,1.4557533,1.0834475,1.2065494,1.3713796,1.1074475,0.79226714,0.90807164,1.2831998,1.178688,0.8906372,1.3393778,0.9371182,1.3825513,1.049616,1.370518,0.86244726,0.9056358,0.9006359,0.6498877,0.96631575,0.7430464,1.2352524,0.1736337,1.2183224,0.82026005,1.1252925,0.9643437,0.788472,1.1474986,1.1292142,1.4323487,1.5310009,1.1547339,1.244314,1.2398014,1.460916,0.73868775,0.8436674,0.6353719,0.68871725,0.7542233,1.3796009,1.3768871,1.1986984,1.3343861,0.9701855,0.7584128,1.118807,0.99635106,1.3403687,0.8965442,1.4258685,0.740951,1.0332314,1.3477606,0.7104796,1.26583,1.3940866,0.87177306,0.80119526,0.7885368,1.0512315,0.73362935,0.9986729,0.75546354,0.9646205,0.74531174,1.4848542,0.67045873,1.2177293,1.2321013,1.4345422,0.8422662,1.3110156,1.2356712,0.47676158,0.7495119,0.8413127,0.47894096,1.3674031,1.478289,1.3731976,1.3751193,1.1742386,1.0882525,0.6421752,0.9125713,0.7817236,0.64511013,1.5105021,0.66202104
cup,1.6902573,0.7790089,0.30020803,0.9282906,1.5377085,0.484115,0.5665225,1.2632949,0.7967947,1.3137736,1.3201901,1.6160443,0.327456,1.2932044,1.6057788,1.2653202,1.5943432,1.1702983,0.98472714,0.062321305,0.18416262,1.1784279,0.38947594,1.0361358,0.23852968,0.8958695,0.43017066,0.6420072,0.98770297,1.3584524,0.9711001,0.30568266,1.3273892,1.1216915,0.9367613,1.0166569,1.1453514,1.5151777,1.2027237,0.25688666,1.412262,0.0,0.9437442,1.4697448,1.1187668,1.2418916,0.8727237,1.4126661,1.1972848,0.45712948,1.3961258,1.3120689,0.86766887,1.2610557,0.4217602,0.78475153,1.1092705,0.35735023,1.0134267,1.2505138,1.2285203,0.83150303,0.88779944,1.3404435,0.6100081,1.3992472,0.6915773,1.384893,0.49463618,1.2322536,1.5273614,1.2805748,1.5182724,0.88634646,1.6049354,0.6602725,1.1479533,0.31255746,1.3689067,0.9953393,0.8897977,1.5909641,0.7526347,1.10007,0.42127758,0.38633442,0.5843005,0.56959313,0.8751474,0.3956102,0.82481325,1.5146679,1.5650871,1.6037599,1.2919391,0.3498866,0.35276616,0.9559282,0.7596592,1.3925927,0.98690915,0.847276,0.9296435,0.4356864,1.5119919,0.49091548,0.95095515,0.5825119,0.92727625,0.99573714,0.90373975,0.5759809,1.2305238,1.2861505,1.5005934,1.1623467,1.5404832,1.0311422,1.3210254,0.9652027,1.1481872,0.30329394,1.4820904,0.4142661,0.7742385,0.33180487,1.3149791,0.78691953,0.79614407,1.1426243,1.4979408,1.3299353,1.5109996,0.23661035,0.74153364,0.7103022,0.46681798,0.53390664,0.65481424,1.3654029,1.2699058,0.9106635,0.7790991,0.2870884,1.3316371
dish,1.0301837,1.0095786,1.1441,0.9030022,1.1455355,0.9650906,0.9874287,0.9546777,0.86491114,0.96228874,1.110494,1.1397738,1.188673,0.99970967,1.1516439,0.9788236,1.1069753,0.9647713,0.95427585,1.0456283,0.8122997,0.85011816,1.0287607,0.9007427,0.83791196,0.99463457,0.9168637,1.0050131,1.2687706,1.1502396,0.91052485,1.0725322,1.0823175,1.1001968,0.6967267,0.82595885,0.9123446,1.0930798,1.0461015,1.2180934,0.9904673,0.9437442,0.0,0.902305,0.7722742,1.0955231,0.91973305,1.0859759,1.0046067,1.0356207,1.1377277,1.1003118,1.2119019,1.0031704,1.1135696,0.8103466,1.0816836,0.9188876,0.91722655,1.0762913,0.69299877,1.0909735,1.0623066,1.075631,1.0380256,1.1227051,1.0870714,1.0572889,1.1111642,0.9918015,1.2046431,0.9419672,1.1625259,0.6409849,1.1968243,0.9385798,1.0276473,0.98808324,0.8858783,1.0815911,0.815728,0.9148843,1.0664212,0.9812625,0.9499834,1.223943,0.96516293,1.0448923,1.155946,1.0986973,0.8916036,1.0722328,1.150138,1.1685494,0.9179189,1.1521516,1.1710585,1.0398563,1.0012399,1.0800135,0.9773913,0.8730938,0.8042059,0.7242564,1.171108,1.0506021,0.84614277,1.0218501,1.041081,0.87953436,1.1247511,1.1149638,1.1362262,1.0762906,1.1580997,0.8586197,1.0818288,0.9634947,1.0114075,0.8750178,0.9925154,1.1088133,1.1654819,0.82825935,1.1027175,0.86684906,0.9741971,1.0412706,0.91257036,0.8086625,1.130609,1.0058408,0.98030174,0.87570643,1.1880773,1.2222965,1.2467692,1.0476638,0.96991634,0.9017209,1.0141083,1.0757478,0.9686969,1.1684766,1.0439324
dog,0.45548028,1.0225569,1.3691158,1.0705252,0.6175156,1.2477767,1.2597431,0.89075017,1.1468563,0.8881826,0.52825767,0.5772081,1.4517756,0.8809974,0.7258117,0.84364474,0.587261,1.0622783,1.0517775,1.4377322,1.4410598,0.93156374,1.1432807,1.0059696,1.3934401,1.0285257,1.3234335,1.2158706,1.1760007,0.73091364,0.9948989,1.3656785,0.91578186,0.97165984,1.0229661,1.0655496,0.9024855,0.6125068,0.79987323,1.4761643,0.80631936,1.4697448,0.902305,0.0,0.5547751,0.89339346,1.1571335,0.82241607,0.7459705,1.3035176,0.7605289,0.87586504,1.2093519,0.92977893,1.3766648,1.0591071,0.8695852,1.3937442,0.8661088,0.94751596,0.82202584,1.1528461,1.0189719,0.85648763,1.3272715,0.77032256,1.2753826,0.8107373,1.2432541,1.0028512,0.6803453,0.8513504,0.7763504,0.9925438,0.6556729,1.1967338,1.0150377,1.400653,0.57491577,0.9554208,0.9785424,0.5396485,1.1284504,1.058404,1.1287209,1.3945775,1.1494266,1.3169502,1.1463658,1.3186648,1.1055747,0.6668715,0.6899706,0.66794866,0.8399437,1.4368417,1.4248872,1.0259104,1.3326688,0.57160556,0.9030722,1.1656687,1.0607461,1.3189244,0.79435575,1.2819848,0.95826644,1.260272,0.91625094,0.9372216,1.0587292,1.3345026,1.0167418,0.84923875,0.7652317,0.9527448,0.6265713,1.1061552,0.87935275,1.116904,1.0125827,1.3604,0.6600108,1.2358696,1.1047281,1.3535961,0.9459481,1.2025309,1.2235614,0.8804718,0.6852877,0.9073242,0.72934365,1.3745517,1.1644812,1.3216834,1.3353798,1.2028627,1.1084796,0.83529717,1.0172286,1.2164065,1.0795853,1.4164511,0.86608
doll,0.85755706,0.7593838,1.173501,0.92825556,1.1053342,0.97665775,1.015895,0.88408655,0.8565196,1.1321223,1.0053627,1.0099659,1.2258141,0.9894259,0.91587853,0.91809386,0.9638863,0.9051853,0.85903716,1.0915575,1.0957412,0.84794605,0.9715865,0.869628,0.9476732,0.9672784,1.0119169,1.0052272,1.2257167,1.2042321,0.82621175,1.1608998,1.0690318,1.134931,1.0943273,1.0036861,1.0205402,0.9992639,0.9838037,1.226781,0.88773596,1.1187668,0.7722742,0.5547751,0.0,1.1527847,1.0447387,0.84028274,1.0021269,1.0838138,1.1809696,1.1443243,1.1554465,0.8712261,1.1437633,0.85624593,0.92085016,1.0689106,0.67863864,0.95398337,0.9627362,1.0982629,0.754875,1.0169017,1.0616671,1.0050789,1.0771973,0.9810425,0.92210335,1.1337737,1.1970623,1.0032333,1.1149998,0.96651596,1.1232158,1.035785,0.92193216,1.0800341,0.8459033,1.0614896,0.82086205,0.7730872,0.9147495,1.1405747,0.98443073,1.2695872,0.82567215,0.94124794,1.2473662,1.136548,1.0881143,0.9733204,0.8595315,1.1027001,0.86918104,1.2534897,1.279471,1.047514,1.1844,0.99911076,0.825258,0.9508517,0.8824506,0.93770885,1.1211634,0.95957094,0.66039944,1.0276436,0.94930947,0.9918104,1.0769234,1.0762229,0.9189521,0.91308784,1.1490736,0.903898,0.98559564,0.9886556,1.0654591,1.0883851,0.83726203,1.0227317,1.0735254,0.9208211,0.8964855,1.0366278,1.0259899,1.0312464,0.9308293,0.6973739,1.0400833,1.0288732,1.0227168,1.0197083,1.0709748,1.27565,1.1814343,0.87290674,0.7012218,0.9461908,1.1642451,0.91336364,0.88628364,1.1634817,1.1197987
door,0.8672702,1.3311675,1.3232716,1.1273901,0.8114625,1.38448,1.2833884,1.0060569,1.0335684,0.33906567,0.90638745,0.5765641,1.2198029,0.7810443,0.88251406,1.0539896,0.72933125,1.074665,1.1170024,1.2692517,1.2830093,0.7796817,1.3071282,0.8991482,1.234476,1.0387325,0.9511618,0.9860107,1.0840802,0.72702074,0.774671,1.2560661,0.43279254,0.66610384,1.0848402,1.0964895,1.0083439,0.5360658,0.84443945,1.3382366,0.61600035,1.2418916,1.0955231,0.89339346,1.1527847,0.0,0.75718844,0.79132175,0.89354885,1.2977408,0.8137481,0.9128895,1.2272189,0.8147732,1.3502791,1.0868648,1.1949801,1.2592163,1.2239532,0.96875,0.8779278,1.1580396,1.3231761,1.0032159,1.3875186,0.8459946,1.3099549,0.99359995,1.2372873,0.7947212,0.81445724,0.93846864,0.7254106,1.0102655,0.79369247,1.1944271,0.7468195,1.0973469,0.9804672,1.1162568,0.9943232,1.0067021,1.0614616,1.1729194,1.3053339,1.2819233,1.2356786,1.2658287,1.0609604,1.3341069,0.65096724,0.89012456,0.7592163,0.7395243,0.9144006,1.2742257,1.2600868,1.13091,1.24134,0.960986,0.99266654,1.1377671,1.0470734,1.3157496,0.7907932,1.367399,1.0879704,1.0475569,1.1689231,0.4178655,1.1422144,1.2183973,1.0062723,0.96464497,0.7688561,1.1771945,0.767218,1.085022,0.438684,0.7208217,1.0546067,1.3878663,0.72873247,1.1148237,1.3030696,1.3016374,0.88947785,1.2102048,1.2809012,0.8654002,0.71249175,0.86854666,0.709651,1.3162282,1.2580881,1.2327316,1.1403934,1.2330946,1.3190148,0.82825935,0.85118353,0.9429288,0.8234662,1.3040371,0.48173726
drawer,1.3021777,0.96316504,1.1124707,1.0143431,1.181716,1.1403,1.0512507,1.1058657,0.6339807,0.75565976,1.172633,1.0900767,0.7303265,0.8816154,1.1558809,1.0562736,1.1102366,0.9121252,0.7802804,0.9599227,0.78908527,0.4706549,1.04731,0.8903985,0.7437005,0.959571,0.5999519,0.77956605,0.82218754,1.1423066,0.69471616,0.92705506,0.90213794,0.96212393,0.88242334,0.98319966,1.0944374,0.96785104,1.0917808,0.9180979,0.8133303,0.8727237,0.91973305,1.1571335,1.0447387,0.75718844,0.0,1.1497774,0.96728516,0.96764904,1.1912551,1.2073904,0.8969733,0.9741146,0.9924493,0.9964728,0.92491466,0.8141271,1.0782583,1.0882077,1.102694,0.9110443,0.9623083,1.3480294,0.95491284,1.2688236,1.0339278,1.0506531,0.9111901,1.1655476,1.329462,1.139627,1.0625076,1.0366216,1.1396905,0.7554867,0.7229043,0.81742656,1.1740599,1.2270175,0.9856154,1.1638547,0.84577626,1.0157616,1.0129094,0.98360026,0.8186846,0.9234379,0.9325591,1.1457326,0.37246227,1.2408242,1.2223902,1.1317183,1.00125,0.81032866,0.83039963,0.94886756,0.94302654,1.3576926,0.71521276,0.93815047,1.0699371,0.87116456,1.1207596,1.1461034,0.71567994,0.33019102,1.100602,0.6507459,1.2401731,0.93228906,1.029351,1.0640856,1.2047528,1.0567611,1.0206614,1.0696723,1.0549359,0.6995474,1.1305915,0.88871175,1.2763741,0.8804858,0.8811085,0.83811593,1.1875362,1.0955628,0.95362926,0.8316518,1.1978657,1.2166337,1.1005188,0.92442584,0.98299974,0.8569846,1.0197501,0.80840266,1.032869,0.97686213,1.267077,0.89835966,0.65563655,0.8965237,1.0746937
dress,0.66368,1.1270701,1.318872,1.126722,0.68446696,1.3278632,1.2903068,0.95464396,1.0165288,0.888792,0.94952667,0.61633253,1.3588063,0.8873359,0.42670512,1.0034572,0.60564274,1.0337669,1.0462831,1.3643951,1.4455626,0.88501984,1.3677642,1.0372279,1.3174357,1.0622368,1.1390175,1.2007817,1.0695575,0.8538642,0.94994557,1.4130187,0.60436773,0.71416,1.1717725,1.1898522,1.0810753,0.6604908,0.9376593,1.4226531,0.66221726,1.4126661,1.0859759,0.82241607,0.84028274,0.79132175,1.1497774,0.0,0.9084333,1.3834592,0.84242433,0.8461523,1.2015532,0.8133799,1.4087334,1.0445678,1.0610218,1.4342389,1.130302,0.76947266,0.8986723,1.1324334,1.0270739,0.8355769,1.2884785,0.65635246,1.208273,0.8912108,1.2350521,0.91175866,0.68993574,1.0409989,0.58642244,1.0398211,0.6183075,1.3690586,0.83375084,1.3498478,0.8170502,1.1268306,1.0590286,0.7586081,1.1417036,0.9827161,1.3392715,1.3761729,1.1843256,1.103563,1.0848424,1.2957599,0.9509113,0.81511575,0.13800603,0.55891156,0.87282985,1.4415665,1.4583796,1.1686182,1.1889893,0.78206176,0.98144585,1.0789733,1.0829196,1.3980508,0.6492108,1.2422701,0.9089765,1.2648146,1.1504158,0.85604906,1.1651483,1.2115895,0.61344534,0.9772791,0.5402163,1.0552751,0.60722035,1.1793921,0.8062346,1.1092205,0.8945278,1.3971571,0.7512251,1.2206991,1.0901669,1.4976403,0.96061844,1.2591316,1.0697204,0.86581254,0.5282146,0.865131,0.75292134,1.4236765,1.2125607,1.2865291,1.2821873,1.1818876,1.1869946,0.8459121,0.88551223,0.9146167,1.0382841,1.3965173,0.7494668
ear,0.9713337,0.97406983,1.072331,1.1400032,0.8922406,1.1456766,1.0879979,0.9715418,1.0485847,0.9837675,0.88904905,1.0078964,1.0048178,1.1845868,0.7687324,0.90970135,0.9220738,1.2464756,1.2057569,1.1866553,1.2249734,1.0752175,0.9488993,1.0201114,1.2222474,1.0217848,1.1009032,1.0616392,0.7895847,0.63117236,1.0705645,1.0652786,0.9453246,0.74206746,1.0106267,1.1337398,0.9463247,0.93333036,0.9275404,1.1486856,1.030805,1.1972848,1.0046067,0.7459705,1.0021269,0.89354885,0.96728516,0.9084333,0.0,1.0497323,0.8517203,0.8636649,0.746591,1.1865025,1.091882,1.0515736,0.7839994,1.1236954,1.0539105,1.1529408,0.839362,0.67270434,0.91574746,1.2063012,1.1018792,0.7280028,1.0377102,0.6782728,0.8797072,1.1739662,0.8914517,1.0530065,0.87374926,1.0673114,0.77564925,1.1444299,1.0241951,1.1573943,0.91233146,0.91602826,1.1540148,0.7569978,1.0736233,0.7564122,0.9370924,0.9492134,1.0871022,0.96229815,0.7189071,1.098412,0.9735769,0.96633005,0.87696326,0.83346504,1.1310246,1.1828022,1.1579368,0.90600014,0.9147963,1.0379866,0.86890435,1.0616819,1.1131986,1.1898413,0.6433213,1.1175401,0.97339463,1.1238245,0.87592745,0.97755533,1.195675,0.9313785,0.7987654,1.1003574,0.8578978,1.1033486,0.7072753,1.2903214,1.0654515,1.1494503,1.1660123,1.0905706,1.0779816,1.1938074,1.0462806,1.1348122,1.1587014,1.1307638,1.1939123,1.04275,0.85823363,1.145413,1.187494,1.1976204,0.75258577,0.8092168,1.0384377,1.0728921,1.2589936,1.2060046,1.1719204,1.0619916,0.98405784,0.9452813,1.0090764
egg,1.500641,0.7019899,0.44180787,0.8962287,1.342622,0.3472308,0.2934401,1.1442895,0.9736845,1.3006182,1.2049263,1.4760951,0.63570094,1.3471732,1.3534214,1.0902133,1.4676881,1.2106268,1.0929987,0.52704275,0.45767254,1.2688997,0.51359725,1.1820953,0.6472633,0.9104449,0.91029936,0.9814786,0.82434237,1.249672,1.2028258,0.3790233,1.3723698,1.1950679,0.7812745,1.0425788,0.7135643,1.4415417,1.1346264,0.5058799,1.4261165,0.45712948,1.0356207,1.3035176,1.0838138,1.2977408,0.96764904,1.3834592,1.0497323,0.0,1.206765,1.1832063,0.6805736,1.2983341,0.66942537,1.0402585,0.9731358,0.6745174,0.92154545,1.1901186,1.2092972,0.82574725,0.908789,1.2545578,0.4951082,1.3017201,0.58708984,1.1718614,0.6329933,1.2366767,1.3479096,1.1986778,1.398245,1.0689794,1.4083198,0.8846586,1.1975459,0.6481216,1.2901518,0.6504317,0.95127404,1.3137218,0.9814021,1.0363926,0.5090146,0.34346414,0.826366,0.7906287,0.7111067,0.36148524,1.0534767,1.3295077,1.444484,1.4153447,1.3154311,0.6603822,0.6231936,0.93035257,0.70126474,1.226142,1.0455257,0.9795111,1.1676874,0.5282923,1.2219443,0.4622184,1.1240025,0.84126794,0.6915439,1.2250236,0.9175604,0.59629935,1.1955451,1.1887347,1.3445106,1.1460624,1.3463348,1.1343272,1.2586927,1.0079755,1.2216119,0.5408612,1.4037237,0.63761747,0.7676704,0.6643122,1.2575569,0.88345146,0.69523156,1.3606622,1.3598385,1.2348714,1.4527268,0.29539454,0.621023,0.6402769,0.58896905,0.81231767,0.71196294,1.235962,1.306248,1.1419579,1.1434183,0.5240679,1.3953865
elephant,0.5972886,0.9904151,1.2702526,1.1624131,0.6139928,1.3474743,1.2687,1.081937,1.1743969,0.77930754,0.6511385,0.5171022,1.1430941,0.88525933,0.61798316,0.92421544,0.56087387,1.1736983,1.2449058,1.380368,1.3878173,1.1421187,1.2289762,1.1669062,1.3875115,1.0834231,1.291306,1.1451864,0.93155336,0.34569442,1.0737553,1.3230561,0.85779625,0.81996655,1.1233209,1.1288218,0.9152181,0.65932834,0.9005793,1.2994573,0.85549957,1.3961258,1.1377277,0.7605289,1.1809696,0.8137481,1.1912551,0.84242433,0.8517203,1.206765,0.0,0.8326203,0.94248044,0.98804486,1.2477804,1.2697599,0.85481757,1.2706244,1.2834884,1.036859,0.98283476,1.0377427,1.0583708,0.7613869,1.3867581,0.8050382,1.2101845,0.83092713,1.2233976,0.8177622,0.43994123,1.0201399,0.56101483,1.158323,0.43248558,1.2195075,1.018905,1.2902133,0.8832709,1.0650777,1.1870557,0.793356,1.1538006,1.0202456,1.2408798,1.138917,1.1767824,1.1824808,1.0404116,1.2373848,1.0650046,0.570887,0.6640168,0.43803453,1.0389074,1.3110328,1.2848525,0.9644984,1.1288002,0.5710085,0.9999776,1.2274868,1.2199594,1.3871003,0.6502068,1.3226485,1.1916994,1.276875,1.0896155,1.0236897,0.8433182,1.2417235,0.8719568,1.0697746,0.5601995,1.01275,0.5331498,1.2161827,0.8153511,1.0380225,1.0881498,1.2790911,0.52899873,1.2965539,1.0098501,1.3180336,1.0439959,1.0918835,1.3224154,1.1066669,0.599983,0.96487117,0.755354,1.3794091,0.97419363,1.0614464,1.1746771,1.1817634,1.4919636,0.9645476,0.8191347,1.1665022,1.2288041,1.2013505,0.72841704
face,0.782583,1.2111964,1.1179955,1.0838387,0.6095922,1.1857208,1.1522056,1.0895151,1.3452001,1.0136808,0.9518666,0.74643755,1.3054082,1.0773457,0.6765815,0.95713323,0.86527884,1.1103246,1.1643806,1.3180963,1.3564806,1.0891887,1.2301021,1.1535444,1.4065801,1.0823162,1.3536513,1.1957352,1.0559235,0.8488474,1.240067,1.1657785,0.9277569,0.79140115,1.0465418,1.0423095,0.97077113,0.7790184,1.0988296,1.2872726,1.0017157,1.3120689,1.1003118,0.87586504,1.1443243,0.9128895,1.2073904,0.8461523,0.8636649,1.1832063,0.8326203,0.0,0.9681433,0.90261245,1.3075871,1.108621,0.9468238,1.3462336,1.146527,0.9122672,0.8247454,0.72139096,1.3272793,0.82115006,1.2286694,0.2929784,1.1077536,0.7677396,1.0576446,0.8089931,0.50880605,0.9913945,0.6153128,0.98302436,0.73801863,1.2960678,1.1413316,1.2842503,0.86429244,0.925766,1.0182796,0.88667405,1.2528586,0.6859064,1.2143703,1.0445974,1.3841815,1.3145125,0.8122468,1.0935618,1.1692191,0.83256525,0.74136543,0.68566924,0.95781374,1.2557864,1.2084765,1.1036404,1.1420034,0.7214397,1.2834054,1.1681839,1.0816226,1.3495822,0.6001759,1.1663648,1.2863526,1.2838387,0.9729665,1.0477004,1.0796168,1.1459335,0.9504723,1.011397,0.51599634,1.0059332,0.7345855,1.1635237,0.81730336,1.1009991,1.1809363,1.3329519,0.83256197,1.2550716,1.2738272,1.3340319,0.91491866,1.1461875,1.1983705,1.1191418,0.47009903,0.86905277,0.83913493,1.2887429,0.9672288,1.0523405,1.1641487,1.3926964,1.2823932,0.93897766,0.8056543,1.2028081,1.2854557,1.2173938,0.82688093
finger,1.3328767,0.49482024,0.7165544,1.0527,0.91583616,0.91004,0.824915,1.1948076,1.1095599,1.2827427,1.14207,1.3449318,0.643202,1.3698938,0.98127025,1.0026042,1.3381361,1.2689672,1.2153797,0.8852789,0.92958075,1.3258057,0.7808906,1.1915025,1.0530522,0.9024861,1.0751941,1.0797924,0.3171966,1.0064367,1.2558491,0.8628435,1.3248574,0.9214982,1.1402864,1.0313067,1.0590938,1.3096704,0.98030084,0.5951248,1.3998448,0.86766887,1.2119019,1.2093519,1.1554465,1.2272189,0.8969733,1.2015532,0.746591,0.6805736,0.94248044,0.9681433,0.0,1.2293782,0.7784301,1.113222,0.46733046,0.8344154,1.130978,1.1960306,1.1274706,0.5259562,0.67715615,1.2403547,0.7171161,0.9789339,0.6994847,0.45590436,0.70560914,1.3095218,0.9418954,1.2979583,1.0951678,1.1733758,0.99772114,0.8996615,1.1582901,0.9539217,1.2530681,0.96789515,1.2120302,1.0027102,1.0993693,0.68044484,0.77333426,0.40698522,0.9829893,0.7633803,0.45821393,0.77183837,1.0388482,1.1290348,1.1812015,1.0715057,1.3163115,0.7500539,0.7025448,0.7999513,0.5469501,1.0312262,1.0310996,1.1128175,1.2525518,1.0374297,0.8175298,0.88483655,1.1990428,0.9651346,0.68636906,1.218195,1.1243278,0.58173543,0.9198921,1.2179265,1.0669755,1.1605449,0.9586127,1.2138318,1.2580547,1.1272007,1.2858474,0.7061327,1.3699224,1.0688047,0.5584263,0.843662,1.3419874,0.94440496,0.9214713,1.3767657,1.117275,1.2927691,1.4475329,0.93760216,0.097738326,0.28487414,0.56726915,0.91671455,1.1087248,1.3288713,1.2843549,1.0271653,1.1655061,0.532381,1.2940544
firetruck,0.7663915,1.2526753,1.282985,0.94952637,0.9037812,1.2583355,1.2727227,0.9207237,1.0300406,0.7929169,0.9371507,0.7812338,1.3122047,0.8407154,0.9051947,0.92224056,0.88812304,0.82324445,0.90474504,1.2668195,1.2944808,0.72260517,1.3325348,0.93220955,1.1632272,1.2232974,1.0193797,1.0118425,1.102861,1.025648,0.8286026,1.3125007,0.7477015,1.01214,1.1147783,0.9811042,1.0209132,0.7686614,0.92923105,1.3321545,0.6272474,1.2610557,1.0031704,0.92977893,0.8712261,0.8147732,0.9741146,0.8133799,1.1865025,1.2983341,0.98804486,0.90261245,1.2293782,0.0,1.4115266,1.0371345,1.2147771,1.3410192,1.0993893,0.80200607,0.8844495,1.1774969,1.2107428,0.80522466,1.2069128,0.8550002,1.2296185,0.9980353,1.261414,0.76925206,0.86534536,0.96553224,0.87126863,0.8826803,0.9264572,1.2729713,0.7381347,1.2391655,0.81663847,1.0947651,0.897904,0.90448654,1.0073822,0.9950828,1.3158762,1.3334651,1.2812804,1.2239527,1.1827459,1.2568135,0.88566786,0.75892925,0.81475365,0.8933079,0.8157146,1.2932143,1.3072985,1.1338996,1.2199283,0.8781485,1.1679972,1.0904578,0.9885704,1.2490206,0.95905316,1.2450085,0.99317336,1.0710665,1.1143354,0.75557184,1.1393378,1.2965951,1.0089544,0.8331635,0.88227385,0.99529266,0.9637459,0.96653026,0.78811103,0.9623405,0.7747145,1.3540742,0.82572335,1.1268626,1.2384586,1.3531625,0.82606876,1.1877748,1.1103956,0.69940794,0.9021199,0.7410113,0.67341554,1.296552,1.2848184,1.2484488,1.2677355,1.3230608,1.0155573,0.68764067,0.8393512,0.7058238,0.8738246,1.3490891,0.77555627
