,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,stick,strawberry,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.4218278,0.4660898,1.301625,1.3716407,1.1421397,1.0963088,0.69230187,0.5304786,1.3366683,0.730981,0.66327286,0.5877628,0.90090114,1.184345,1.4888693,1.4686232,0.88575375,1.2320436,1.0474533,1.5274148,1.3019459,1.4791585,1.4406769,0.879968,0.77620196,1.0212834,1.3975375,0.88484776,0.63480705,0.6765129,1.4781247,0.7344203,1.5474782,0.9788124,1.1299794,0.7496135,1.2175657,0.9936596,1.0400531,0.74602497,0.74121976,0.8229821,1.143423,1.141757,1.0056865,1.5087438,0.9819176,1.0804781,1.0266484,0.8779343,1.2878249,1.3810902,0.7135425,0.65872085,0.6836611,0.7946799,0.66863275,0.991527,1.0110623,1.3339375,0.5783886,1.3326811,0.76205754,1.3234366,0.85740083,1.1631956,0.49825925,0.81702393,0.9324995,1.2825912,1.3456548,1.3097068,1.0894533,1.3372271,1.1403857,0.6927724,0.7038727,0.8760771,1.3788173,1.36907,0.6280281,1.1038773,1.1609955,1.4346622,1.3840142,1.3343923,1.349069,0.9804372,1.098691,1.2744296,0.665745,1.3375831,0.5542604,1.3713255,0.8303479,1.0538064,1.449024,0.8841402,0.8711931,0.9487551,1.5283855,0.60262614,1.3309271,1.4303305,1.0707864,0.55724514,1.4152863,0.93951404,1.2263098,1.1152198,1.4047418,1.3193523,0.8124754,0.95218956,0.72663057,1.1680071,0.78844273
apple,1.4218278,0.0,1.3608384,0.2860495,0.3865553,0.69065344,1.1057594,1.4793739,1.4613829,0.761183,1.3993473,1.4537573,1.4128335,1.2309717,0.98598707,0.5653905,0.4415127,1.1625932,0.776136,1.1229503,0.60460603,0.5054245,0.81229067,0.71435285,1.2287507,1.259465,1.2724313,0.48761648,1.3951375,1.4457688,1.3461101,0.42327857,1.3358393,0.37621593,1.1485304,0.89261585,1.4230462,1.0334721,1.0833763,0.43854666,1.1544418,1.2414174,1.0941771,0.8577924,0.9964784,0.97452885,0.46095228,0.9490488,1.025954,1.1422112,1.0697162,0.63264704,0.38992143,1.3016796,1.2693108,1.3039389,1.0479455,1.336453,1.1145016,1.2221843,0.7515931,1.3902093,0.769038,1.3462002,0.82459044,0.85765386,0.9517612,1.37959,1.2190528,1.1652548,0.38891178,0.62677246,0.80893946,0.94637096,0.24505019,1.2339613,1.3024707,1.2780708,1.2306484,0.64176106,0.58964133,1.2312899,0.99708015,0.953576,0.48068678,0.31003088,0.8268763,0.85423255,1.2892567,0.83285284,0.8026483,1.3626523,0.78500044,1.3210016,0.8138937,1.3206593,1.0999702,0.5358856,1.1417158,1.1633668,1.0408502,0.45033413,1.334264,0.7830529,0.2975068,1.2441883,1.4801047,0.38816136,0.88575894,0.85215217,1.0229,0.5586448,0.5016662,1.1149259,1.0990944,1.3479557,0.79380584,1.3726442
arm,0.4660898,1.3608384,0.0,1.2596526,1.2861887,1.1875695,1.2475568,0.85685134,0.75978553,1.2875565,0.8801719,0.7544741,0.76936376,0.87837934,1.0435778,1.3249457,1.3833917,0.93408626,1.2964565,1.022291,1.3818038,1.2061282,1.3135499,1.2855127,0.7816341,0.8299822,1.0627686,1.3133435,1.1105381,0.8120835,0.7957789,1.2937713,0.9172274,1.4195864,1.0624746,1.2627873,0.98241657,1.1941993,1.1400356,1.1370195,0.5771189,0.8550396,0.7768917,1.1133188,1.1612076,1.0619912,1.3942645,1.0007771,1.0312077,1.0284958,1.0620364,1.1147474,1.3890116,0.7845831,0.7524876,0.6272129,0.90031534,0.662433,1.0389111,0.9903451,1.1752064,0.53660697,1.1410438,0.9305796,1.1939851,0.9054737,1.0232142,0.65875447,0.8923416,0.9261241,1.2158754,1.2296149,1.1983107,1.115436,1.3372598,1.1495239,0.62212074,0.65726376,0.79645777,1.1945043,1.1786324,0.86283183,1.125265,1.0984327,1.3521743,1.3721106,1.3045964,1.3421915,1.1228062,1.1626787,1.2228247,0.62214804,1.2563521,0.6468336,1.2493081,0.9117265,1.0025469,1.310177,0.8317809,0.86884385,0.99000937,1.3878803,0.8117058,1.20588,1.3584319,1.0409836,0.6233393,1.3779225,0.83649975,1.1602447,0.9750009,1.2799208,1.3834324,0.88948476,0.8565948,0.7585281,1.1028832,0.83465594
ball,1.301625,0.2860495,1.2596526,0.0,0.14037317,0.8793942,1.063166,1.4033169,1.3380065,0.9110027,1.2839519,1.3313549,1.3026049,1.1918042,0.996916,0.6956426,0.62570494,0.9901387,0.8714297,1.1164044,0.73884165,0.8370291,0.87323225,0.90375155,1.271579,1.2036839,1.2368222,0.57005405,1.2614557,1.3893907,1.2157186,0.7013121,1.2466727,0.6505128,1.0755986,0.95712316,1.2950994,0.9402653,1.0726724,0.5406852,1.1216366,1.2116616,0.98543584,0.89984167,0.9933356,1.019994,0.73534834,0.8704479,1.0258211,1.1408868,0.9138049,0.8772978,0.58920044,1.2379613,1.1466212,1.1570871,0.9421552,1.2751412,1.0008005,1.1486533,0.7605616,1.2570382,0.8876722,1.2378304,0.865663,0.78630763,0.83069074,1.1341641,1.1869776,1.1509453,0.7108234,0.8169324,0.87292194,1.0077475,0.39286,1.2275854,1.2278519,1.1913422,1.1439947,0.86599827,0.8258823,1.0743462,0.97749966,0.9945919,0.63284147,0.5725272,0.81967515,0.9319947,1.2266371,0.90254974,0.91485345,1.2721035,0.75041175,1.2155118,0.91486317,1.2760546,1.0859394,0.7327874,1.0418941,1.0280856,1.0031228,0.6725352,1.258535,0.8781512,0.574083,1.1901727,1.371908,0.47629672,0.9097545,0.92681694,1.0159073,0.7915508,0.5273662,0.9990261,1.1679722,1.2714568,0.85100657,1.3456532
balloon,1.3716407,0.3865553,1.2861887,0.14037317,0.0,0.95985734,1.0523133,1.3418691,1.4007103,0.8298118,1.2869599,1.3254616,1.3602242,1.2080741,0.9761936,0.6398068,0.5591152,1.0890145,0.85292286,1.186703,0.6539937,0.7703855,0.77697164,0.82860506,1.2563384,1.2129512,1.1743846,0.5961819,1.2369848,1.4091249,1.2007214,0.66895175,1.3099413,0.5908632,1.0587935,1.0227045,1.273788,0.8725517,1.0447953,0.61132854,1.1594765,1.2416902,0.9737271,0.88122004,1.0660104,0.96766776,0.6968558,0.88987285,1.0229126,1.0827643,0.9209785,0.8791964,0.6027049,1.2093599,1.1410879,1.1760708,0.87704545,1.2846754,1.0933273,1.1367975,0.756503,1.3039248,0.7991095,1.2853928,0.8245311,0.8411585,0.7490775,1.1737667,1.2381396,1.147763,0.628129,0.7147727,0.8891582,0.94657314,0.4858346,1.1250446,1.2693601,1.263696,1.1751387,0.8280807,0.7823504,1.0855405,0.99025106,1.0649265,0.5603976,0.56435275,0.80741024,0.85557425,1.1807504,0.86267304,0.9182198,1.3197002,0.7177229,1.2780495,0.8170161,1.189871,1.0912378,0.63011146,1.0331788,1.0316736,0.9530399,0.5595234,1.2877383,0.81522465,0.5669918,1.105756,1.4135597,0.47095305,0.90651107,0.8521962,1.0598968,0.6957269,0.66406363,1.1300426,1.198214,1.2572525,0.79177237,1.336319
banana,1.1421397,0.69065344,1.1875695,0.8793942,0.95985734,0.0,0.97133225,1.2772872,1.3363142,0.9591044,1.2018095,1.2147236,1.2005038,1.2136034,0.93241525,0.8624287,0.77800286,1.0496804,0.6036078,0.976207,0.8133237,0.8719163,0.9211428,0.9439218,1.0886607,1.2886164,1.1852351,0.8462833,1.2180107,1.3475592,0.9948347,0.81664145,1.2195772,0.7831098,1.0751044,0.68328834,1.290251,1.043177,0.98099047,0.7157864,1.1955439,1.1656325,0.9939067,0.7207629,0.8520546,1.0900478,0.7124935,0.86149645,1.0570375,1.1256309,0.7929194,0.95477206,0.723413,1.2565119,0.92595166,1.0348201,0.8939722,1.1935852,0.91576016,1.0883559,0.88531685,1.271965,0.8646781,1.2292584,0.9758747,0.84324133,0.97936285,1.0082123,1.1156495,1.0241477,0.9559036,0.7666736,0.95682967,1.0801133,0.6163375,1.0390188,1.2333603,1.1803691,1.1553018,0.8839252,0.9075904,1.0952642,0.8842888,0.8974652,0.7481209,0.738224,0.77289236,0.9392369,1.1128486,1.0294821,0.77622116,1.2688024,0.83203125,1.2869608,0.86217237,1.1519401,1.0225575,0.70521694,1.199851,0.974407,0.8792396,0.75882703,1.1871645,0.9837881,0.7954552,1.1186428,1.2811017,0.6307189,0.9397705,0.9478089,0.93440163,0.80899286,0.72491324,1.0192095,1.0213752,1.1828524,0.9216691,1.264571
basket,1.0963088,1.1057594,1.2475568,1.063166,1.0523133,0.97133225,0.0,0.91264874,0.7887292,1.0260923,0.69328445,1.2148682,1.0292441,1.067187,0.71758354,0.90945864,0.8902842,0.64730203,0.9213751,0.92719936,0.7123117,1.1267331,0.6667068,0.8866977,1.0937241,1.2138567,0.61973846,0.9553885,0.91412956,0.8950007,1.0445141,1.0453196,0.5908817,0.9576464,1.1211046,0.747558,0.91724354,0.8974714,1.2131778,1.1531748,1.314712,1.2483711,1.1857817,1.0343407,0.7444384,1.2581402,1.0501477,1.000061,1.0764889,1.2919037,0.80667675,0.9200845,1.0392169,1.2401731,1.0696111,1.1074697,1.1408774,1.280999,0.8431162,0.8850562,0.77524185,1.2650063,0.95865166,0.5459783,0.8656305,0.98773813,0.9188385,1.0451775,1.0076504,1.1419914,1.166643,0.95511085,0.98219365,1.240933,1.1284624,0.723041,1.2363933,1.1752584,0.99119145,0.9962214,1.0367106,1.120282,0.6846864,0.7351258,0.9691513,1.0920643,0.61719716,0.9786734,0.78381836,1.203974,0.7727664,1.2074805,1.0007007,1.1977848,0.92948943,0.8743326,0.9000143,1.0425719,1.1361353,1.0404812,0.9851806,1.023906,1.100642,1.0095878,1.1240382,0.6401018,0.9346335,0.9201533,1.2127526,1.0602775,1.014555,0.98244065,0.7197406,0.83242375,1.1008252,0.86943746,1.0735643,1.0028064
bathtub,0.69230187,1.4793739,0.85685134,1.4033169,1.3418691,1.2772872,0.91264874,0.0,0.6284276,1.2474684,0.65159595,0.7485373,0.71556175,0.78003544,1.0459718,1.3415184,1.2274492,0.6720539,1.2972033,0.9332905,1.2555679,1.3452902,1.2307163,1.2940142,0.96196675,0.87070787,0.8943553,1.3433894,0.7406412,0.6645132,0.8269746,1.4638646,0.708861,1.4406068,1.0410488,1.1751882,0.5940465,0.9849491,1.030882,1.2607719,0.99812376,0.84728783,1.1209892,1.1869881,1.0036546,1.1045252,1.3945416,1.005763,0.95396805,1.0331498,1.1264553,1.1970344,1.3870506,0.8479065,0.8391297,0.9532239,1.0561929,0.8364593,0.91245854,0.98776937,1.1516558,0.7498437,1.2592549,0.7205977,1.1044558,1.0588181,1.0309354,0.785203,0.70594823,0.953284,1.332202,1.3885028,1.3179091,1.1021453,1.4125402,0.7083604,0.88271356,0.77870846,0.85216844,1.2550428,1.2870139,0.8322525,1.1425422,1.0029038,1.2864878,1.4679203,1.1406453,1.0849268,0.77813226,1.1888041,1.1595709,0.7867534,1.2622287,0.8383545,1.2432175,0.32325733,0.8103632,1.4763477,0.8268935,0.9916788,0.8697183,1.4030436,0.5978521,1.1737009,1.4633979,0.81681514,0.5109178,1.3313336,1.3115064,1.1849991,1.1398706,1.4193277,1.2810035,0.7149089,0.88646317,0.72651744,1.3795178,0.71397626
bed,0.5304786,1.4613829,0.75978553,1.3380065,1.4007103,1.3363142,0.7887292,0.6284276,0.0,1.2418395,0.47295916,0.7166148,0.39186096,0.7026754,1.1012124,1.5085859,1.5006495,0.7386289,1.35692,0.9619176,1.4648911,1.4004085,1.3261204,1.3735045,0.9645059,0.78261983,0.5864222,1.3475701,0.6365973,0.2130605,0.82899934,1.5355834,0.16126943,1.5702604,1.0554994,1.1065071,0.5680289,1.0978419,1.1058389,1.3347762,0.9988064,0.82153296,1.2048463,1.358655,1.1052163,1.1454245,1.5653528,1.0503653,1.1131978,1.107657,1.0427792,1.2044902,1.4404294,0.7902037,0.91543645,0.9994854,1.1553825,0.742905,0.91095024,0.79205537,1.3059659,0.6115275,1.3858528,0.18218386,1.1799163,1.0428973,1.2069557,0.64513063,0.7291255,1.024285,1.3884147,1.4678671,1.2413085,1.1488287,1.4159992,0.9711323,0.65741974,0.60927343,0.8526856,1.4170351,1.4314612,0.8149646,0.81399864,1.0798525,1.5184357,1.449625,1.1461824,1.2270672,0.7590171,1.1976025,1.1836972,0.6137947,1.3288171,0.528915,1.4106247,0.8347409,0.86582613,1.5606954,0.83187205,0.89326364,1.0455393,1.5699444,0.6982057,1.3578842,1.4746935,0.7664601,0.4282297,1.4860116,1.3072888,1.3902768,1.2434348,1.4703677,1.1422346,0.7284289,0.8485837,0.6369847,1.363417,0.589851
belt,1.3366683,0.761183,1.2875565,0.9110027,0.8298118,0.9591044,1.0260923,1.2474684,1.2418395,0.0,1.2254567,1.0838897,1.1163766,1.1092576,1.0079559,0.92361647,0.79614824,1.2205755,0.74857646,1.1602933,0.85445416,0.6043049,0.6907652,0.71730375,1.0561181,1.0941588,1.0199971,0.813669,1.0902784,1.1680324,1.2409974,0.47368544,1.1248009,0.7412576,1.0632784,1.0817014,1.2191298,0.73227566,1.0015961,0.9685695,1.2309604,1.1637034,1.0687872,0.8896725,1.1039369,0.71085256,0.6900601,1.0982641,1.1449639,0.98442996,1.0483103,0.7037028,0.6003045,1.167858,1.2470075,1.1969814,1.1106238,1.251494,0.969335,0.9681216,1.0887917,1.1692426,0.70543224,1.1058254,1.0002836,1.0610408,1.1305119,1.3256456,1.2427912,1.0497314,0.7626788,0.63179487,0.6123716,0.660808,0.8203374,0.96864617,1.1977046,1.1378714,1.1447139,0.57160175,0.5997886,1.0872133,0.8534415,1.201775,0.78429604,0.7392239,1.0607499,0.5531344,1.1279827,0.85068035,0.9369479,1.1878299,0.96280694,1.1979837,0.78020173,1.2003324,1.1463606,0.63475263,1.1363555,1.1167194,1.117797,0.62437385,1.2072761,0.68341243,0.5652715,1.1698118,1.340685,0.7820241,0.9320064,0.5792513,0.86106944,0.5489799,0.8746554,1.2353709,1.2164358,1.2287505,0.8520387,1.2358952
