,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.2371013,1.2860518,1.1312981,0.98532933,1.1624689,1.1032287,1.0134542,1.0740684,0.91153467,0.9162994,0.88089687,1.2560594,0.9574205,1.0226693,0.822525,0.85158324,0.89665365,0.9432488,1.3375769,1.1910744,0.9541351,0.7193397,0.89704627,1.1412193,1.0936838,1.2265154,1.1332023,1.0956023,0.8004596,1.0511054,1.2255456,1.261763,1.0282339,1.1355685,1.0686194,0.8892108,0.5931463,0.80093324,0.9282722,0.5242604,1.2707007,0.88306844,1.358583,0.6062933,0.7979626,1.0749731,1.1312076,0.9511304,0.9645215,1.1787088,1.3478922,0.93525916,1.2286835,0.9185313,1.3183167,0.9530217,1.1589168,1.0517235,1.0852559,1.1645712,0.57712585,0.98934174,1.2650594,1.141584,0.9641524,1.2612197,1.046223,1.1112196,1.0721625,1.2929703,0.9124636,0.9832075,0.31223,0.8659972,1.0615224,0.9308426,1.0948446,0.9824935,1.2998478,1.0919353,0.6237049,1.0905467,1.1062694,0.85805327,0.9945096,0.7167933,1.3633242,1.2264768,1.2409968,1.2651751,1.3119949,1.1706947,0.84860766,0.9870495,0.97804314,0.69881964,0.54469174,1.2766712,1.2993386,1.0569497,0.9886774,0.9771483,0.94122154,0.56236273,0.9578545,1.0984206,0.8547613,1.2676069,0.9137697,1.2407236,1.1661317,0.8904668,0.82126033,0.72972995,0.9982718,0.91014504,0.9461916,0.99285823,0.9406572,1.0109373,0.88565713,1.0057086,1.1237954,0.7774766,1.313953,0.8893635,1.2549281,1.1560318,1.1834857,0.87409943,0.84880483,1.266341,0.9454271,0.99732846,0.89980596,0.9282418,1.1275235,1.3309122,1.2193441,0.91924274,1.2612022,0.9978366,0.90532845,0.91931593,0.9950805,0.98277026,1.0294809,1.3757274,1.0054036,0.951126
ankle,1.2371013,0.0,0.66809,1.1855919,0.9808425,0.76276946,0.75638014,0.7780715,0.8517397,1.3872198,1.0109801,1.3892059,0.5575696,1.289475,1.1998296,1.068489,1.284103,1.3852137,1.031961,0.7709907,0.8484533,1.219802,1.1442665,1.1674522,0.9161587,0.9084156,0.6621735,0.9005091,0.6726874,1.2506127,1.0971091,0.76492465,0.6716112,1.3819505,0.7586012,1.1545688,1.1758947,1.2264142,0.9099037,1.324001,1.2544096,0.5996547,1.444675,0.73777074,1.1657732,1.1121451,1.2605958,0.87942517,1.1354799,0.9422725,0.5273285,0.51448905,1.2799499,0.6418823,1.1524193,0.36171412,1.3278422,0.5978596,1.0289637,0.59500766,0.66470957,1.0659645,1.3805788,0.57322866,0.56218415,1.1496036,0.6461732,0.98294735,0.62253666,0.84468466,0.6684936,1.347132,0.9507606,1.207079,1.2021444,1.1322722,1.1578821,0.8088296,1.2077904,0.7068529,0.7384652,1.182424,0.8871627,0.96514237,0.9930057,1.2973623,1.2633888,0.5736468,0.57649547,0.4193803,0.6052215,0.588298,0.97581375,1.03244,1.1736131,1.1236752,1.3494973,1.249331,0.60552984,0.6324801,0.88174254,0.99349046,0.67418426,0.87850624,1.2695683,1.060816,0.9991851,0.9613075,0.43810868,1.1107609,0.7617002,1.16164,1.0759135,1.0517457,1.1984575,1.0827843,1.0846785,1.1854211,1.1950825,1.0155114,0.8220552,1.1643919,1.356918,1.0412562,1.2110033,0.474613,1.3219014,0.48254126,0.44353616,0.7259965,1.4212215,1.1039071,0.6936425,1.3340809,1.1780186,1.3651534,1.5112998,0.81678414,0.28426415,0.5176605,1.1067954,0.5503013,0.9767553,1.3306754,1.3061479,1.1405803,1.2485621,1.1833036,0.48914373,1.2779753,1.1260855
apple,1.2860518,0.66809,0.0,0.83682156,1.395968,0.1818223,0.36524773,0.3760227,0.90789187,1.5231056,1.1051366,1.5032513,0.652675,1.4278564,1.3469784,1.1816427,1.5117689,1.25494,0.9035761,0.40503335,0.5383222,1.2199417,1.075132,1.236371,0.87314504,0.69061226,0.7861451,0.7070866,0.7709383,1.2071638,1.3529428,0.4277864,0.35388756,1.3791813,0.9649651,1.1755464,1.2490139,1.1642556,0.7345959,1.4346923,1.2409886,0.40450752,1.5828097,0.41450036,1.1811035,1.0811996,1.3813995,0.97904354,1.4215621,0.8141164,0.7191278,0.19598913,1.3740904,0.5613312,1.2093275,0.7061552,1.2862701,0.37490427,0.71160555,1.1665049,0.703226,0.8412081,1.3057346,0.73852473,0.7792496,1.2149764,0.28388864,1.2497047,0.5495585,1.1958797,0.53556687,1.2742544,1.3115821,1.2336409,1.423662,0.9247667,1.423537,1.0135274,1.309909,0.55617607,1.2274212,1.2231408,0.3780998,0.97800845,1.3425713,1.2663797,1.1744478,0.3096497,0.62312424,0.7925085,0.5988,0.15833849,1.1332837,0.9460033,1.4587119,1.4129177,1.3101671,1.2054479,0.47024667,0.502467,0.81924593,0.7030313,1.0977781,0.9890314,1.2147715,0.90444916,0.5974132,0.9436606,0.31241024,1.2457563,0.7265794,1.24881,1.3381431,0.9200072,1.2605767,1.0601848,1.3109888,1.0204166,1.4040493,1.1010613,1.2980697,1.117043,1.3771689,1.1354206,1.1875874,0.41411233,1.2785196,0.3061971,0.9420432,0.6443697,1.4133136,1.3121514,0.44921553,1.4214056,1.3873088,1.1107377,1.4446672,0.35943508,0.5743131,0.7187,1.1705709,0.57891655,0.46064413,1.1856272,1.2302107,1.160294,1.1184258,1.3364149,0.49334913,1.3587427,1.3367547
applesauce,1.1312981,1.1855919,0.83682156,0.0,1.0000443,0.8342861,0.9173016,0.83068824,1.0686893,1.0625937,1.2061253,1.0971068,1.2912948,1.0878803,0.983907,1.0388203,1.1080762,0.95526826,0.88729584,0.9865841,0.76370275,0.9219411,0.64662236,1.152077,0.9010168,1.0219537,1.1631483,1.0770959,0.978565,1.0552251,1.1207036,0.9912119,1.063081,1.0317385,1.1990734,0.88500744,0.94658405,0.9388084,0.91866314,1.0634596,0.89500546,1.2139676,1.032352,0.89723146,1.0325621,0.8749833,1.0865898,1.0550287,1.0556844,0.9337288,1.0157213,0.95647216,1.0921926,1.1983254,1.0331382,1.0944105,1.1410842,1.08467,0.9240111,1.0132989,0.92401344,0.96354604,0.56565,1.2247765,0.9815497,1.0761292,0.8720554,1.1455841,1.0158844,0.8398702,1.1681644,1.0452614,1.1634755,1.1459415,1.2169116,0.6197179,1.1086621,0.98898727,1.0925626,1.1145656,1.0982168,0.9666061,0.6709889,0.8443928,0.9024867,1.0780089,0.71549237,1.1702046,1.1263032,1.1902556,1.2043321,1.0319054,1.0028484,1.0733936,1.0300002,1.0426699,0.905574,0.9287216,1.260243,1.2186799,1.0845059,0.566498,1.109319,1.0550646,0.85343397,0.9172044,0.5442391,1.1479639,1.0927343,0.9658588,1.0554762,0.9408611,1.111185,0.9865772,0.9685064,0.75758934,1.0464342,1.0428216,1.1008716,0.8808385,1.1271462,0.9247633,0.9858187,1.0344666,1.0379502,1.1583282,1.0890489,1.106583,1.0238266,0.8271672,0.9652487,1.073767,1.1304563,0.97316015,1.1715012,0.8097572,0.81213254,0.86824256,1.1809388,1.0408878,0.8396673,1.1949912,0.9244383,0.6699898,1.0181168,0.9664473,0.96984416,1.039249,1.1391696,1.0725551,1.1481308
arm,0.98532933,0.9808425,1.395968,1.0000443,0.0,1.3554896,1.3509498,1.2655524,1.3496233,0.78019345,0.97394294,0.5019656,1.3187487,0.85551107,0.47380722,0.9565376,0.50834787,0.8701982,1.2439698,1.4982461,1.4703557,1.0518137,0.9638185,0.9398917,1.4166689,1.3709747,1.4065524,1.4368728,0.88032985,0.92930096,0.96977204,1.405736,1.3942995,0.81222886,1.1658051,0.91963464,0.8227099,0.9822375,1.0867717,0.591958,0.8987179,1.4006734,0.7664954,1.5161467,0.9919084,1.0375625,0.8820773,1.1170375,0.588583,1.3499434,1.0634494,1.3378631,0.79480135,1.2743882,0.7321887,0.8856076,0.91864496,1.4590058,1.3233135,0.5598239,1.1449356,1.2699069,0.76870507,1.1244118,1.0145887,0.90103483,1.2947825,0.595734,1.2586435,0.38565367,1.4049253,0.89776534,0.5471771,1.0336803,0.6470834,1.1298105,0.33843553,1.0377334,1.0006819,1.5052794,0.51646763,0.8914022,1.3021743,1.1329165,0.59122163,0.9647133,0.96566796,1.323713,1.3977966,1.086989,1.1318383,1.3165249,1.2005112,1.2251678,0.38934308,0.41076714,0.83132976,0.93372905,1.3784735,1.3240095,1.3202382,1.007515,0.6364415,0.9635932,0.9250586,1.2696664,1.2903413,1.1169965,1.2016807,1.0093006,1.40874,0.98036236,0.6674866,1.1907673,0.74266946,1.1931558,0.78731775,0.97582954,0.33822697,1.109562,0.63365954,1.1464627,0.8054919,0.9952087,1.0307207,1.4241211,0.93467605,1.4650633,0.82580805,1.2596483,0.7756805,0.8432671,1.3267964,0.8632715,0.5997894,0.81693274,0.6197866,1.5230336,1.0190847,0.98065543,0.63711715,1.4199656,1.4379436,0.999858,0.8714247,1.0547302,1.0778551,0.8776244,1.3390379,0.78259766,0.7838489
ball,1.1624689,0.76276946,0.1818223,0.8342861,1.3554896,0.0,0.16878754,0.6644188,0.90726215,1.3958379,1.1495628,1.4399195,0.87905747,1.3450813,1.3105544,1.1709638,1.4487534,1.1117575,0.8473375,0.5582458,0.46772933,1.084973,1.0285888,1.1756694,0.7820572,0.70877707,0.894583,0.7600705,0.9515611,1.1843622,1.3319786,0.6803414,0.4369247,1.3022001,1.0783106,1.0418442,1.1189893,1.122415,0.8650297,1.4305797,1.1968778,0.67214704,1.4861524,0.4808494,1.1351489,0.97918415,1.3183104,0.9864013,1.3230194,0.80600905,0.85807484,0.28851032,1.355159,0.73905164,1.1915588,0.8676766,1.2900498,0.5052138,0.7516973,1.195045,0.8145193,0.8717538,1.072461,0.9510453,0.8638032,1.1876992,0.43105805,1.282321,0.5843559,1.1518428,0.6663171,1.2049611,1.312039,1.0360266,1.3954104,0.79302776,1.3995488,1.0767295,1.2667327,0.626718,1.2799284,1.2024237,0.38013315,0.9265309,1.2089486,1.1996914,1.1071688,0.51945066,0.7600161,0.9317074,0.8378496,0.4250527,1.1402026,0.9472355,1.3925657,1.3976463,1.1649426,1.1609986,0.7257281,0.73294264,0.83369195,0.8402128,1.0412284,1.056428,1.1746022,0.89381504,0.5590483,0.92407703,0.3858657,1.1556786,0.7984122,1.2324558,1.266061,0.87447846,1.1838206,0.942006,1.2588863,0.9907484,1.381233,0.9364824,1.2927158,0.93848014,1.312852,1.1260672,1.0409813,0.65942305,1.1923074,0.5570467,0.9665531,0.70753354,1.1875068,1.1894895,0.6023914,1.3691097,1.3717412,1.0066271,1.3318704,0.38565928,0.7743655,0.89094853,1.0880452,0.7634444,0.40259624,1.0282779,1.2165172,1.1022537,1.0058445,1.2709799,0.7047042,1.3199048,1.2695189
balloon,1.1032287,0.75638014,0.36524773,0.9173016,1.3509498,0.16878754,0.0,0.7135714,0.8828884,1.303911,1.1449531,1.396148,0.903823,1.296839,1.2423286,1.0863241,1.3501279,1.0035353,0.8768718,0.694695,0.52030516,1.0125282,1.0176117,1.1916386,0.7537229,0.7876297,0.8359546,0.8609381,0.83065677,1.1697205,1.2182907,0.7425895,0.5989999,1.2860183,0.8534412,1.0392503,1.1664395,1.1100639,0.906077,1.3575773,1.1860327,0.73337054,1.3437812,0.5847946,1.1205196,0.9596207,1.2482059,0.96322376,1.2758727,0.89094347,0.8074897,0.40436822,1.3297167,0.8612078,1.193159,0.8571868,1.2790556,0.4744929,0.8391708,1.1711925,0.7669976,0.8118435,1.0021077,0.9838896,0.82348704,1.2284666,0.42584074,1.2482615,0.6143439,1.1269276,0.7307138,1.2407901,1.3458922,1.0235778,1.2996831,0.83583796,1.3493283,1.091399,1.1591117,0.7261151,1.2707295,1.1825743,0.40416932,0.94157255,1.0553553,1.2203681,1.0915908,0.6699452,0.8071939,0.93113947,0.9416869,0.5510243,1.1404394,0.9806827,1.3364866,1.3612118,1.1651742,1.1570644,0.82859623,0.8466023,0.8604512,0.7829385,0.9805412,0.94089144,1.16556,0.9667169,0.6681563,0.8494887,0.38412333,1.0947244,0.8718155,1.1869588,1.2822832,0.868792,1.1469046,0.9374178,1.1383282,1.0839666,1.3379447,0.95353144,1.1893971,0.96619827,1.2620211,1.0814824,0.9132543,0.77474856,1.2218246,0.6880836,0.91634625,0.72170305,1.1454203,1.2337606,0.71178687,1.2476773,1.2818942,1.0266501,1.3104498,0.5001853,0.81046635,0.85107195,0.9759611,0.8289694,0.35873508,0.987734,1.239171,1.0798808,1.07403,1.2675712,0.796173,1.2708038,1.2356446
banana,1.0134542,0.7780715,0.3760227,0.83068824,1.2655524,0.6644188,0.7135714,0.0,0.96790576,1.3883853,1.0524594,1.4459203,0.70203084,1.4019511,1.2784419,1.158014,1.4013565,1.227516,0.92599446,0.7029159,0.75382674,1.2295985,0.91446644,1.1286896,0.9799519,0.91004103,0.83076984,0.9085039,0.5088208,1.2113051,1.2964408,0.47469807,0.64267784,1.3599632,0.7923412,1.2427945,1.1354632,1.0435175,0.35539055,1.3613641,1.001075,0.446321,1.4430387,0.7066398,1.1327482,1.0871836,1.3531247,1.0291657,1.4091747,0.926149,0.6486467,0.52458435,1.2961463,0.716586,1.2060448,0.68929976,1.292259,0.45782912,0.88696027,1.0277871,0.534406,0.65935093,1.2137743,0.783136,0.7570424,1.2107885,0.37816828,1.1667488,0.61390024,1.0312015,0.7836778,1.324106,1.2960238,1.0743704,1.35548,0.9805408,1.3277979,0.8323139,1.2028792,0.80100137,1.1110106,1.0238266,0.5304139,1.0185051,1.1781571,1.3036704,1.069031,0.65104,0.7107287,0.7733882,0.7510649,0.40332097,1.133477,1.0066487,1.4290284,1.3131728,1.2486193,1.0405518,0.5803312,0.60564363,1.0068287,0.43869764,1.1827621,0.88865536,1.0274489,0.9657841,0.67458713,1.0170438,0.6576979,1.2267743,0.89373535,1.241128,1.285495,0.9943012,1.1861253,1.0221568,1.2245263,0.9115875,1.368063,1.073576,1.195533,1.0247879,1.3374333,1.050631,1.0567987,0.56031334,1.3013829,0.45338535,0.8893912,0.54124236,1.3544236,1.1412803,0.6512638,1.3428829,1.3587542,1.089333,1.3786021,0.49293584,0.6754303,0.657964,0.8469417,0.66956776,0.59822994,1.110521,1.2291076,1.1597872,1.2159663,1.2810084,0.67164826,1.3674202,1.2752326
basket,1.0740684,0.8517397,0.90789187,1.0686893,1.3496233,0.90726215,0.8828884,0.96790576,0.0,1.1847165,1.1968614,1.2561237,0.7111048,0.95418847,1.2269757,1.2210066,1.2197819,1.1926439,0.72733593,0.6533278,0.64273936,0.6575647,0.9695299,1.0194871,0.500104,0.84302247,0.3373881,0.6904385,1.0187637,1.2873646,0.6386344,0.7781823,0.8932589,1.0974692,0.84252644,0.91045666,0.9119071,1.0785158,1.0813812,1.1369413,1.1344856,0.75383675,0.78339267,0.6410085,1.1912612,0.9535705,1.0218353,0.771165,1.0252398,0.7184022,1.1008257,0.95055616,1.1413263,1.0838493,1.3472073,1.021543,1.1247454,0.8488122,0.67990494,1.0462377,0.9139846,1.0494316,1.2428932,1.0182841,0.7268467,1.2211059,0.968808,1.3340495,0.879371,1.280882,0.75274336,1.2777374,1.3732924,0.96002614,1.1632298,0.86696553,1.3863904,0.95157707,0.6388085,0.649435,1.2610153,1.2284167,0.83554006,0.74099964,1.1868684,1.1309872,0.958547,0.95763534,0.5273589,0.8810177,1.0805203,0.95378673,0.5101365,1.0207483,1.1889647,1.3305042,1.2690157,1.1870686,0.8324388,0.7995771,0.8340999,1.1317089,1.1464676,0.72406375,1.2156782,0.7105336,0.92977357,1.079867,0.8577369,0.698046,0.5295706,0.8332037,1.3573128,0.9702798,1.2218347,0.7923355,1.0075608,1.1100954,1.3472853,0.79279345,1.0052851,0.92900836,1.1464056,0.96461916,0.97958595,0.7268716,1.2796981,0.77589697,0.7819732,0.8554684,1.3456206,1.070323,0.88161576,0.9099195,1.230601,1.2390869,1.2769301,0.6842368,1.0006088,1.1150719,1.2384195,0.55301833,0.7191992,0.91454387,1.142063,0.9854293,1.0794535,0.93183553,0.79066855,1.1756104,1.039625
bathtub,0.91153467,1.3872198,1.5231056,1.0625937,0.78019345,1.3958379,1.303911,1.3883853,1.1847165,0.0,0.85528314,0.4843536,1.4152732,0.46464378,0.8636563,0.9847378,0.5513315,0.49937248,1.2004342,1.4677343,1.0861145,0.6791762,1.0836546,0.7419766,0.8706343,1.3578601,1.1984428,1.2280872,1.2951005,0.90228146,0.6990132,1.4007766,1.4483049,0.46911883,1.1972754,0.7571112,0.8955878,1.0797096,1.187558,0.5022306,1.0221266,1.5005388,0.42996275,1.3631053,1.0700182,1.1802359,0.5006306,0.85752976,0.7590028,1.2694592,1.4021169,1.465584,0.7409569,1.3602759,0.8495647,1.4455633,0.68413794,1.4691918,1.2548406,1.0575844,1.3486067,1.3209974,0.5914476,1.3736066,1.4376293,0.7434708,1.5231069,0.8777503,1.4266495,1.0487789,1.4712619,0.6045511,0.78394115,0.78189623,0.67489123,0.9425405,0.6523489,1.0294589,0.7695774,1.3416231,0.8623183,1.0487204,1.3064116,1.0364615,0.88522106,0.6981204,1.0068076,1.4720281,1.4011818,1.4031734,1.3588413,1.5166235,0.93708384,1.1294131,0.73832774,0.6793161,0.81468177,1.0274647,1.4288306,1.4328138,1.2932656,1.2015454,1.0608573,0.9972713,1.0431037,1.0242583,1.1272372,1.2031552,1.4846122,0.8265694,1.1761267,0.7024354,0.7180811,1.1710706,0.91200054,0.96219444,0.96350896,0.96087253,0.7146605,0.9961124,0.93418276,0.8174193,0.40727222,0.5829128,0.6403342,1.5695534,0.63459283,1.527405,1.2412527,1.3063929,0.4994524,0.80649203,1.4261168,0.7060705,0.73000824,0.8463044,0.49594295,1.2952685,1.4894575,1.3882523,0.9539099,1.4559727,1.322531,0.71508515,0.6881752,0.76540595,0.75462306,0.7420276,1.5396651,0.55856943,0.8099676
