,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,face,finger,fish,flower,foot,frog,glass,glasses,glove,grass,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bucket,1.255975,1.0952884,0.8508173,1.2958956,0.7640377,0.7259691,0.88334805,0.675813,1.1503143,1.4040651,0.87501836,1.3076003,1.3035319,1.3822594,1.1826606,0.6971971,0.5233081,0.52497584,0.7283959,0.9547438,0.0,0.48300922,0.79100716,1.0075121,1.0175749,0.82252866,0.76756287,0.9304378,1.2831784,1.2231245,0.7142882,0.9307252,0.5652212,1.0824529,0.8330452,1.0495108,0.82235587,0.9366136,1.3186402,1.1384543,0.91088915,0.79337907,0.9182706,0.95418096,1.1061318,1.085512,0.8489234,1.1881696,0.6306173,1.2866197,1.2550619,0.748068,1.0878042,1.4411058,0.89606005,1.1856084,0.63605946,0.97889847,0.96724474,1.0415057,0.85481066,0.8916567,0.8958438,1.2156594,0.8163224,1.3495437,1.3629868,1.0340937,0.90043145,0.96890026,0.9067661,1.0180279,0.8433471,0.7213626,0.8458436,0.6738926,0.83969724,0.8841434,0.9085857,1.3765527,0.8956381,1.3128226,0.86187863,1.0248606,0.6845835,1.1263094,0.8604956,0.87394416,1.0311973,1.230456,1.2783805,1.2383101,1.3410866,0.666491,1.066522,1.0466952,0.8796002,0.5714148,0.92005587,1.0391526,0.67080945,0.9279261,1.0501382
can,1.1880445,1.0340079,1.0714182,1.1564091,1.1140218,1.1175671,0.73317575,0.6135994,1.1942818,1.3065987,0.8587466,1.1943163,1.2373071,1.2459785,1.2558051,0.725729,0.6930368,0.5021908,0.7459856,1.0015782,0.48300922,0.0,0.80835843,0.9648427,0.9249773,0.7568964,0.8216933,1.066529,1.1950105,1.2009583,0.9208931,0.9886424,0.63439536,0.7431402,0.65871793,0.93013114,0.6919787,0.9908949,1.3415475,1.122303,0.89351815,0.7198423,0.7660129,0.8646045,1.0540272,1.0404831,0.8001062,1.3121179,0.94241357,1.3059918,1.1971244,0.8267073,0.9125837,1.3341578,0.9957579,1.1253787,0.66106945,1.069396,0.9132407,1.1735322,0.6499026,0.9339618,1.2027094,1.1989772,0.7425885,1.2558932,1.2237314,1.1741744,0.96573657,1.0133728,0.5939139,1.0020319,0.70684576,0.759808,0.6539396,0.6359565,0.67217714,0.7941064,1.0923431,1.3268468,0.9948118,1.245729,0.78746045,1.282949,0.6967558,1.3050194,0.8364749,0.7853531,1.0172539,1.2073249,1.1651242,1.1394322,1.2866528,0.71588665,1.0780282,1.2262232,0.7439219,0.8532785,0.9381148,1.1163276,0.508368,0.9335165,1.0780711
car,1.2657969,1.0677145,0.93921286,1.2462484,0.8836026,0.9240293,1.0095122,0.75043416,1.1548781,1.3172092,0.768558,1.2291808,1.404378,1.3087488,1.1593193,0.78279686,0.65817314,0.6085947,1.0147082,0.95674497,0.79100716,0.80835843,0.0,0.9532087,1.1481218,0.81439126,0.751051,1.0909674,1.2294874,1.1137456,0.7735583,1.1503153,0.66506565,1.0590576,0.81599027,0.98038596,0.84743494,1.0442257,1.120861,1.1091275,0.9487211,0.6483303,0.94025874,0.8793848,1.1145666,0.88653374,0.77816725,0.987052,1.0117798,1.1739798,1.265,0.7301337,1.1048361,1.3524976,1.023447,1.1719663,0.72258717,1.1575049,0.6884666,0.9868556,1.0087924,0.90616924,1.0377393,1.2406657,0.76315033,1.3147527,1.2914199,1.2517601,0.69236207,0.8231975,0.92161673,1.0435328,0.7148446,0.7267491,0.8493933,0.512101,0.9861375,0.7721646,0.91357327,1.2878227,0.97914964,1.2539427,1.1056747,1.243473,0.60966337,1.1530911,0.87537783,0.9803591,1.0157818,1.2069376,1.1700425,1.1800389,1.3200109,0.7661636,1.0591667,1.2066075,0.9305922,0.69269156,1.1722169,0.8580921,0.93132657,0.88278,0.9481451
cat,1.11896,1.0560806,1.1115489,1.0671295,0.9527028,1.009807,0.9804724,1.0378371,0.97983015,1.1101953,0.8692198,1.1312633,1.1145849,1.0700935,1.0495124,1.1567324,0.84954506,0.98764986,1.1452043,1.0742564,1.0075121,0.9648427,0.9532087,0.0,1.0987344,0.9417955,1.0767002,0.9099721,1.134632,1.1816301,0.8919653,1.0641549,0.91948384,0.75489485,1.1106861,0.8353621,0.9689124,0.8784618,1.0327551,1.1108882,0.6500689,0.9585753,1.106172,1.0229939,0.84331214,0.96565515,1.0063127,0.94098383,1.1362739,0.9802653,1.1501081,0.89729434,1.0430346,1.0936978,1.016837,1.0745914,0.76144123,1.1807244,0.9378561,0.901907,0.92199516,0.87221706,0.9906224,1.0717043,1.1286818,1.095796,0.9161032,1.1901507,0.8107152,0.8132379,0.912128,1.159063,0.9731432,0.9494318,1.1406705,0.88936704,0.75060904,0.7897755,1.2278018,1.0722815,1.187183,1.0919049,0.85946643,1.156867,0.9735371,1.0573319,0.8152984,0.89221525,1.0376632,1.123323,1.1367912,1.0220499,1.1296835,1.0675994,1.0153409,1.0736978,1.0610373,1.0610974,1.0930694,0.9316719,1.0979301,0.9177696,0.86413574
chair,0.6604446,1.1147997,1.3925732,0.86849797,1.2618041,1.153383,1.1420184,0.90702724,0.6094814,0.43639195,1.4214199,0.3296821,0.80389774,0.44472587,0.90075856,1.2349669,1.4239037,1.2505517,0.85626554,1.2783794,1.0175749,0.9249773,1.1481218,1.0987344,0.0,1.2887187,1.1440532,0.7396787,0.51042014,0.9912801,1.5189692,0.3851837,1.3547311,0.97726446,1.0559174,0.7550957,1.101505,1.3579435,0.9477097,1.2382542,1.3450565,1.3479662,1.0875825,1.3827744,0.7395619,1.3640056,1.1682516,0.87183434,1.2690402,1.0612276,0.996488,1.3582422,0.77892435,0.65637827,1.0507461,0.52564824,1.4005096,0.98751205,1.0404439,1.4157596,0.9343666,1.4328887,0.87987494,0.8043475,1.3273572,0.72244054,0.66060233,0.7651809,1.4771302,1.4538159,0.9306915,1.0208496,1.1760944,1.3598416,0.7870159,1.3571827,0.82965916,1.3283504,1.0697906,0.7338681,1.0475305,0.76836276,0.8388132,0.48482168,1.4913123,0.7837593,1.4270482,1.2511106,1.1393092,0.86999816,0.75962055,0.7329653,0.45886064,1.254063,1.3850174,0.862802,0.99484086,1.4065809,0.9255823,0.8852431,0.6636784,1.4259801,0.6191286
clock,1.1758173,1.0159415,0.85865414,1.3372371,0.79035044,0.8516115,0.9846139,0.8964788,1.2786844,1.3475968,0.74091893,1.385498,1.2341235,1.3388225,1.1755447,0.7759192,0.72738254,0.71108425,0.9635567,0.84058386,0.82252866,0.7568964,0.81439126,0.9417955,1.2887187,0.0,0.73284817,1.1286061,1.2576984,1.2508423,0.79427296,1.2893889,0.64691037,0.94256866,0.86285347,1.0953091,0.9029311,0.97320676,1.0597507,1.131572,0.8721663,0.6577058,0.88674057,0.5975882,1.1550181,0.78705156,0.70905876,1.152996,0.98618585,1.1106958,1.2812337,0.5462048,1.1178707,1.3369405,1.1488252,1.205338,0.6665744,1.1265827,0.94685423,0.9066787,1.0243279,0.7778894,1.1058215,1.2561228,0.60657716,1.3567263,1.2922435,1.24332,0.78129655,0.7357601,0.9577252,1.045687,0.7716813,0.4363619,0.8741305,0.52729166,0.94264704,0.8692503,1.0763812,1.2676184,0.99062246,1.2564272,1.1429535,1.3556273,0.5522783,1.1462204,0.78372943,0.92690897,0.89270765,1.1718676,1.1539643,1.1495082,1.37794,0.69078064,0.96155596,1.2296045,0.9692204,0.6577536,1.1693313,1.1309998,0.9683842,0.77512395,1.222693
coffee,1.1363745,1.0474545,0.91483676,1.2762096,0.8412706,0.8212961,1.181645,0.74619603,1.0905111,1.2732644,0.9311042,1.1817889,1.3745177,1.2693605,1.081893,0.82727206,0.8238598,0.559644,0.8291155,0.85882556,0.76756287,0.8216933,0.751051,1.0767002,1.1440532,0.73284817,0.0,1.034216,1.1843768,1.1300268,0.8713144,1.1048846,0.5912479,1.1976612,1.0031145,1.1318431,0.8603237,1.1345285,1.1406895,1.1730553,0.9897064,0.7037707,0.9768678,0.9353056,1.1208218,1.0501469,0.9276839,1.0074587,0.96132076,1.2228645,1.2732189,0.8639453,1.1330733,1.2999468,1.0659854,1.1757588,0.89804894,1.064919,0.8987752,1.1098217,1.102034,1.0144956,0.98646855,1.1442834,0.6547911,1.2868572,1.3175328,1.1082844,0.8082379,0.86129683,1.0953661,0.90946084,0.9069293,0.3941779,0.6489269,0.7871368,1.234361,0.9552399,0.952466,1.3184426,0.9676496,1.2282197,1.1421001,1.0629772,0.69297814,0.91071755,1.0245205,1.1417156,0.8021169,1.1636055,1.209908,1.1490059,1.1691184,0.485281,1.1246084,1.0916476,0.98415095,0.6855884,1.0805595,1.053188,0.96825194,0.90846866,1.2019945
comb,1.100621,1.1411179,1.1416986,1.1444571,0.97165203,0.92593694,0.9190058,0.8432231,0.8865134,1.0065458,1.1428614,0.8221844,0.9507686,0.93701315,0.86072046,1.0083332,1.1488954,1.0972959,0.9653695,1.1555268,0.9304378,1.066529,1.0909674,0.9099721,0.7396787,1.1286061,1.034216,0.0,1.0445751,1.1445806,1.0495274,0.55638933,1.1411772,1.0780848,1.2660979,1.0740882,0.8474946,1.0137674,1.0623957,1.0955467,1.0105637,1.162206,0.91343856,1.2019348,0.6098111,1.2418042,1.0496134,0.80736893,1.0922037,1.1034535,1.0702589,1.1167351,1.0468308,1.059771,0.9792323,0.8569367,1.057773,1.1461868,0.9286736,1.1794118,0.87888575,1.0976946,0.80936503,1.0115362,1.0857172,0.96767384,1.1025506,0.88765,1.0570525,1.0396776,0.91121364,1.1490219,1.1477683,0.9621816,1.007589,0.9920937,0.96849674,1.0447533,0.9832233,1.0709106,1.0576029,1.0080338,0.8139831,0.8295473,1.165537,0.8465899,1.032318,0.957391,1.0555757,1.0543337,1.0555897,1.015054,0.90597457,1.0849977,1.166441,0.8947966,1.0475982,1.1547555,0.8394535,0.9399786,0.93407595,1.1406791,0.89806294
couch,0.4311849,1.1783359,1.3276362,0.80826616,1.2497797,1.2151204,1.124346,1.1836575,0.4753645,0.1579268,1.4024786,0.5252032,0.57770747,0.25514513,0.87766457,1.2499055,1.4400265,1.3528162,0.9444473,1.2991679,1.2831784,1.1950105,1.2294874,1.134632,0.51042014,1.2576984,1.1843768,1.0445751,0.0,1.0098041,1.5230031,0.62568295,1.3875186,0.9332202,0.9202342,0.83132297,1.2422116,1.3299692,0.76703864,1.2583448,1.3504,1.3957531,1.1552694,1.2051877,0.9707069,1.2680357,1.2286313,0.83955336,1.3389975,0.8767122,1.0323807,1.3771381,0.7354144,0.47329718,1.1393347,0.64063054,1.4288497,1.0204053,0.9880084,1.1774409,1.0237329,1.462706,1.0603144,0.6431837,1.3339818,0.5286307,0.6186919,0.6954049,1.4378114,1.3429233,0.9864092,1.076271,1.2441533,1.3605938,1.0414046,1.4380832,1.1473545,1.2827313,1.1964666,0.62893057,1.0411156,0.8001481,0.855566,0.6225642,1.4890766,0.7231095,1.3414512,1.3322123,1.1327521,0.8345359,0.49202943,0.7939111,0.28006548,1.2627637,1.3066614,1.0146054,0.9230706,1.3972518,0.883384,0.9975544,1.0685619,1.4709096,0.71199065
cracker,0.9448721,0.9610097,0.93153936,0.603747,1.1940393,1.160803,1.028951,1.0613666,1.0357535,0.90185964,1.208763,0.89311016,0.91355264,0.93988734,1.0689335,1.048886,1.164467,1.2273561,1.0069113,0.8942289,1.2231245,1.2009583,1.1137456,1.1816301,0.9912801,1.2508423,1.1300268,1.1445806,1.0098041,0.0,1.155837,1.1250331,1.2449152,0.97646195,1.0515292,0.9113641,0.99638224,1.02149,0.860508,0.71180356,1.017191,0.95998895,1.0955627,1.0035727,1.1881961,1.0610819,1.1746137,1.1091148,0.92044896,0.89530176,0.6157021,1.3062923,1.0585855,0.96857816,0.7931192,0.937083,1.1976187,0.8966246,1.1965253,1.0787612,1.0729975,1.0479437,1.050809,0.7725812,1.0982903,0.92002535,0.990576,0.8613404,1.1726729,1.1842569,1.0990051,0.7463763,1.0331942,1.1617601,1.0590183,1.2603166,1.1978173,1.0237554,0.8598156,0.8834149,1.0392778,0.94312537,1.0879819,0.9100884,1.2598435,1.084202,1.1454209,1.0846673,0.95942,0.82591534,0.82996386,0.9922866,0.9386134,1.1991165,0.9367949,0.7209344,1.1081636,1.1908846,0.9729071,0.9037525,1.0395064,1.1125126,0.91102636
crayon,1.3415251,1.010267,0.71167886,1.248357,0.6881583,0.8266459,0.85892296,0.82020307,1.4836462,1.6298381,0.30186665,1.5530851,1.5094955,1.6104165,1.2423375,0.7426394,0.34219193,0.6952779,1.1040804,0.8865246,0.7142882,0.9208931,0.7735583,0.8919653,1.5189692,0.79427296,0.8713144,1.0495274,1.5230031,1.155837,0.0,1.4169052,0.40461648,1.1938381,0.93885785,1.255439,0.7077408,0.55640954,1.3290193,0.8883944,0.49318337,0.6871088,0.77589214,0.8847256,1.1942271,0.62519443,0.72863376,1.217618,0.7823318,1.1633788,1.2823169,0.47398162,1.1771065,1.4526026,0.8866219,1.3963237,0.3214048,1.2180105,0.9247592,0.47163683,1.0084306,0.36559254,1.1027939,1.3585113,0.74632293,1.3867571,1.3386145,1.4710757,0.15531099,0.24734807,0.93317956,1.1574054,0.8872452,0.7255752,1.0472546,0.42404282,0.9030219,0.7250185,0.7935056,1.4480963,1.0313547,1.3838705,1.1803776,1.3604479,0.31886792,1.2729937,0.637903,0.6029182,0.9817631,1.238713,1.4386389,1.329731,1.665444,0.7102865,0.67210823,1.0085695,0.9947459,0.39388883,1.09898,1.2055907,1.0382493,0.32917452,1.398716
crib,0.86268586,1.264734,1.2923046,1.0614119,1.0561104,0.9507631,1.0950841,0.64531255,0.56696814,0.58574384,1.4114451,0.5197756,0.84910554,0.64139616,0.7457976,1.0540464,1.3479117,1.1703418,0.7066551,1.270618,0.9307252,0.9886424,1.1503153,1.0641549,0.3851837,1.2893889,1.1048846,0.55638933,0.62568295,1.1250331,1.4169052,0.0,1.2320385,1.0904808,1.1630316,0.75812835,0.98584616,1.3467283,0.9228572,1.32509,1.2857842,1.2961102,1.194063,1.3575978,0.56722796,1.3873429,1.2485385,0.6815221,1.1907442,1.1414672,1.0646886,1.3796428,0.9926231,0.84453595,0.9745961,0.5326804,1.3101348,1.0455632,0.9171489,1.392201,1.1594524,1.4398813,0.6951157,0.6903975,1.305654,0.7568105,0.93477225,0.66779006,1.4106523,1.3581204,1.1295916,1.0719551,1.1157999,1.2624071,0.9461553,1.2981151,1.0026602,1.2753534,1.0084717,0.90259993,1.0712947,0.9755453,0.85741234,0.5631774,1.4844706,0.80920506,1.3986467,1.3533607,1.1916816,0.99110126,0.8088844,0.8323487,0.50263786,1.086427,1.455918,0.8120328,1.2132264,1.2311991,0.7679591,0.79975975,0.7067246,1.451896,0.55139005
cup,1.3211217,1.1519741,0.8000468,1.2881434,0.68797034,0.7887474,0.99983525,0.7014648,1.3648859,1.5056801,0.3821746,1.4337909,1.5327127,1.5353421,1.1515472,0.65529275,0.21889627,0.47045684,0.9015692,0.85904956,0.5652212,0.63439536,0.66506565,0.91948384,1.3547311,0.64691037,0.5912479,1.1411772,1.3875186,1.2449152,0.40461648,1.2320385,0.0,1.2693808,0.8533466,1.0969064,0.8846037,0.8468046,1.2857915,1.1418841,0.64855254,0.58721316,0.9281269,0.91964084,1.0730426,0.7987296,0.7242956,1.1579785,0.89394724,1.3174052,1.3932033,0.54271173,1.2035537,1.5071242,1.1710721,1.227634,0.32306373,1.2451535,0.8149055,0.67866814,1.1327138,0.67113864,1.0656195,1.3522911,0.6761298,1.3958406,1.4799536,1.3065739,0.35470855,0.48266983,1.0773404,1.0884055,0.7170036,0.57813346,0.9125419,0.44656348,1.047367,0.81776726,0.8661926,1.4282018,1.1171407,1.4519614,1.2085273,1.3847357,0.36356568,1.2006503,0.81319547,0.9005371,1.0762964,1.343278,1.3848889,1.2415961,1.4921004,0.21728933,0.97104245,1.1411928,1.1217014,0.4298569,1.1087923,1.1076686,0.9161312,0.5244084,1.2695036
dog,0.98325056,1.0669965,1.0701234,0.98609793,1.157,1.1840506,0.7501849,1.1310793,0.93462014,0.9635319,1.112969,0.99775046,0.8123168,0.88610935,1.2003529,1.14348,1.1169692,1.038297,1.1377151,1.0594288,1.0824529,0.7431402,1.0590576,0.75489485,0.97726446,0.94256866,1.1976612,1.0780848,0.9332202,0.97646195,1.1938381,1.0904808,1.2693808,0.0,0.85478723,0.837632,0.9819887,1.0068554,1.0637925,1.0866395,0.95698154,0.9757358,0.91539395,0.79246354,1.087054,1.0106188,1.0733303,1.1272261,1.1648235,0.8004595,0.98620886,1.038438,0.8765659,0.9724825,0.89578795,1.0990219,1.0312955,1.0434494,1.0152817,1.0909468,0.62460554,1.0049781,1.0873759,0.9522611,1.1447713,1.0572398,0.77019286,1.0883613,1.1604025,1.0907177,0.60125864,0.9506914,0.84933066,1.0330309,1.041158,0.99095273,0.70527685,0.7399053,1.225302,0.99781436,1.0814534,0.86322975,0.6839438,1.1011816,1.1042587,1.169417,0.79630876,0.84534746,0.9098042,1.0164689,0.891045,0.97361,0.98112327,1.2748194,1.0606326,1.1841831,0.76138943,1.2218819,0.94772065,1.0651999,0.99845916,1.1431856,0.91938937
doll,0.9981261,0.890913,0.9395311,1.1108154,1.0525376,1.0613343,0.84450793,0.80749404,1.2279816,1.056326,0.8989176,1.1882395,1.0673602,1.0324144,1.3099942,0.77796024,0.8149972,0.760356,0.8246453,0.92842174,0.8330452,0.65871793,0.81599027,1.1106861,1.0559174,0.86285347,1.0031145,1.2660979,0.9202342,1.0515292,0.93885785,1.1630316,0.8533466,0.85478723,0.0,1.0370766,1.0732093,1.1246785,1.1334875,1.1294699,1.0849122,0.81341255,0.9041834,0.72659826,1.2245163,0.98497087,0.69001263,1.200538,0.9371871,1.1328943,1.1472474,0.8494772,0.8306197,1.0804886,1.1021317,1.1801615,0.9227861,1.0258054,0.7539568,1.0762761,0.8027952,1.0464045,1.1229849,1.1991638,0.90584743,1.1018704,1.0115784,1.1170145,0.9907263,1.0286522,0.7925064,0.9351877,0.87286437,0.9255085,0.7569865,0.84088457,0.89631253,0.9005632,1.0657101,1.0763717,0.87585104,1.0989872,1.1158355,1.2053258,0.7660464,1.1813879,0.89901483,0.8407959,1.0778153,1.0811241,0.8617822,1.0886966,1.1148807,0.8943249,1.0575048,1.280432,0.65854836,0.7467548,0.93073666,1.061797,0.83810884,1.0013151,1.1402391
door,0.83887076,1.1209029,1.1535636,0.9567218,1.1834747,1.1537167,1.067606,1.0137261,0.6475261,0.79181993,1.1877711,0.85121214,0.96991426,0.8697348,1.0717899,1.1749763,1.0910274,1.1619699,1.0252964,1.1457834,1.0495108,0.93013114,0.98038596,0.8353621,0.7550957,1.0953091,1.1318431,1.0740882,0.83132297,0.9113641,1.255439,0.75812835,1.0969064,0.837632,1.0370766,0.0,0.9410962,1.0718533,0.92819405,1.1340584,1.0439216,1.0727428,1.1281999,1.1990333,0.93060964,1.0706961,1.1647165,0.9319186,1.2199038,0.96368295,1.0179799,1.2462256,1.0121449,0.94630224,1.0463356,0.7203637,0.99215955,1.1657736,1.0177902,1.138777,0.9732483,1.2042118,1.0589437,0.89690596,1.1817483,0.8481405,0.92804193,0.95790076,1.1554427,1.153511,1.0323207,1.0223411,0.9796497,1.083252,1.124377,1.0907819,0.6278112,1.0661627,1.0304432,0.8573335,1.2048601,0.9997178,0.7592828,0.92722416,1.2847983,1.0424842,1.0668544,1.1046077,1.0991701,0.87055373,0.9373738,0.9393903,0.8530636,1.092907,1.1891372,0.8970143,1.1533669,1.2591085,1.1214391,0.9154355,0.8517206,1.2428249,0.5576508
drawer,1.0669687,1.0727718,1.1107078,1.1029204,1.0957888,1.1139268,0.8162331,0.68970585,1.0287124,1.2532934,0.9369806,1.2303352,1.1871026,1.2874093,1.0980768,0.71438426,0.87452245,0.81273127,0.84657764,1.1362749,0.82235587,0.6919787,0.84743494,0.9689124,1.101505,0.9029311,0.8603237,0.8474946,1.2422116,0.99638224,0.7077408,0.98584616,0.8846037,0.9819887,1.0732093,0.9410962,0.0,0.84559417,1.1926013,1.0446889,0.8859265,0.7973281,0.75086004,1.0599635,1.1153195,1.0649985,1.0345654,1.1974442,1.0783534,1.1555717,1.1520561,1.0129979,1.1536562,1.3442833,0.8232832,1.117103,0.67220396,1.1295415,1.0010859,1.047672,0.8222182,0.86480635,1.1671853,0.9089109,0.79853547,1.1556808,1.2550101,1.1199019,0.75731635,0.8059625,0.7372508,1.0985725,0.9076021,0.78978145,0.88509953,0.5501296,0.823395,0.80874974,1.0498012,1.2878854,1.079251,1.186461,0.71982825,1.2546852,0.8367179,1.1996118,0.9689121,0.75954175,0.91516304,0.9800608,1.2113065,1.2188762,1.2270842,1.0057504,1.0188513,1.0785124,0.9781258,0.9640045,0.8995805,1.0318501,0.7753736,0.9243349,0.9591925
ear,1.109199,0.79273474,0.74662673,1.042274,0.8707734,0.9774787,0.8723335,1.1107106,1.3191831,1.4134502,0.5355353,1.3673115,1.1142077,1.4403381,1.166505,1.0206687,0.7830565,1.0821711,1.2832537,0.93851334,0.9366136,0.9908949,1.0442257,0.8784618,1.3579435,0.97320676,1.1345285,1.0137674,1.3299692,1.02149,0.55640954,1.3467283,0.8468046,1.0068554,1.1246785,1.0718533,0.84559417,0.0,1.0861242,0.49839985,0.7451842,0.9447369,0.57013446,1.0374068,1.1487585,0.48833776,0.9356119,1.2531836,0.9157901,0.73998654,0.8499365,0.64520526,1.2010167,1.1985638,1.0609097,1.293206,0.56587344,1.1401654,1.1021725,0.450359,0.9017778,0.44348288,1.1049423,1.2550364,0.97781205,1.2112032,1.1365597,1.3434324,0.64608026,0.61362803,0.97534096,1.1132922,0.97721356,1.0049973,1.2756054,0.7959123,0.8679975,0.8793419,1.0555999,1.1436458,1.115564,1.0011275,0.9737281,1.3352234,0.7543415,1.286478,0.72801566,0.60995215,1.0953748,1.0813099,1.2828361,1.1793064,1.4762015,1.0173863,0.29179597,1.0933368,1.1222727,0.9403209,1.0994996,1.1641142,1.0252876,0.4422599,1.2061437
face,0.74625564,0.9624754,1.0785539,0.8677259,1.0870137,1.0703828,1.1871197,1.1891522,0.80282295,0.674169,1.2830387,0.8515829,0.66659796,0.7649237,0.8995987,1.1202656,1.2991095,1.2796416,1.0129606,1.0931123,1.3186402,1.3415475,1.120861,1.0327551,0.9477097,1.0597507,1.1406895,1.0623957,0.76703864,0.860508,1.3290193,0.9228572,1.2857915,1.0637925,1.1334875,0.92819405,1.1926013,1.0861242,0.0,0.99449116,1.2213273,1.1966232,1.1218262,1.1279011,0.9839641,0.9007808,1.1944741,0.88039136,1.1018841,0.5320549,0.8040558,1.1364031,1.086455,0.76439416,1.077446,0.8724408,1.3361831,0.9260109,1.1083142,1.0657023,1.2655692,1.2016425,0.9942696,0.87997055,1.22142,0.6148857,0.84775627,0.8320236,1.2679513,1.1761024,1.2277437,1.0111303,1.1211878,1.1789652,1.1719565,1.2796464,1.2494105,1.1484568,1.1764004,0.44496512,1.0400745,0.8363766,1.0786799,0.89030486,1.3583546,0.96128,1.1788324,1.254816,1.1376119,0.97295517,0.73959476,0.84165466,0.77005714,1.2225528,1.0267583,0.9517919,1.2213643,1.2313846,1.0731988,0.8341217,1.2515718,1.1991007,0.86219305
finger,1.1489524,0.55101293,0.6812126,0.65067726,1.0253993,1.0276482,0.9568811,1.190171,1.3004462,1.2436829,0.7795987,1.0955697,0.9860322,1.241574,0.9896502,1.0804739,1.1119417,1.207397,1.2383823,0.783938,1.1384543,1.122303,1.1091275,1.1108882,1.2382542,1.131572,1.1730553,1.0955467,1.2583448,0.71180356,0.8883944,1.32509,1.1418841,1.0866395,1.1294699,1.1340584,1.0446889,0.49839985,0.99449116,0.0,0.92299193,1.0601227,0.7468311,0.9502685,1.171102,0.6736227,0.9390404,1.1721303,0.8104645,0.72594464,0.28050828,0.9227426,1.0892584,0.99299806,0.97606474,1.1712006,1.0145944,0.8947329,1.2524831,0.70286804,0.9595943,0.6361417,1.0611526,1.1663728,0.89086187,1.0279828,1.0546752,1.2139864,1.0076911,0.99947953,1.0247838,0.8786225,1.0845155,1.126008,1.2277101,1.1211277,1.0901397,0.9869177,1.0599349,1.0025036,1.047893,0.89984405,1.1407661,1.2368392,1.0050324,1.1799445,0.9699046,0.7365453,0.97531617,1.0017406,1.1868314,1.0915025,1.2928178,1.0998702,0.1973868,0.96740705,1.0563338,1.1097912,1.033867,1.1345061,1.1470015,0.64463943,1.1709461
fish,1.2909964,1.0719439,0.85042,1.0359002,0.8577,0.9319945,0.8701518,1.00189,1.2997642,1.3628591,0.569404,1.2778538,1.3753998,1.364122,1.1582062,0.980992,0.58763486,0.8438885,1.2129939,0.8304027,0.91088915,0.89351815,0.9487211,0.6500689,1.3450565,0.8721663,0.9897064,1.0105637,1.3504,1.017191,0.49318337,1.2857842,0.64855254,0.95698154,1.0849122,1.0439216,0.8859265,0.7451842,1.2213273,0.92299193,0.0,0.7564405,0.9845636,0.87822413,1.1044444,0.83536875,0.93399227,1.1422806,0.92355466,1.1516151,1.1379474,0.75363374,1.0808864,1.3498554,0.9477596,1.2083126,0.47979438,1.1632317,0.9654302,0.7057369,0.90705955,0.61751294,1.021884,1.2173924,0.97795355,1.2399383,1.2457751,1.3528771,0.4746384,0.45176536,0.84155834,0.9881671,0.8660133,0.77077216,1.0674326,0.7595401,0.92423177,0.7304968,1.0015616,1.3139566,1.158325,1.3344543,0.9778501,1.3102988,0.6970242,1.1174946,0.64417005,0.73142433,0.9759605,1.187412,1.2795355,1.1949928,1.4024018,0.8507572,0.84658206,1.0016141,1.009002,0.82297194,1.0795393,1.1096232,1.0826885,0.7046808,1.1698198
flower,1.3256935,1.0099158,0.9894032,1.3079681,0.9293081,0.9476104,0.99860895,0.6496132,1.380666,1.5005033,0.73485106,1.3680329,1.4816377,1.4881521,1.2124995,0.66553307,0.5295548,0.6498938,0.96666735,0.79835343,0.79337907,0.7198423,0.6483303,0.9585753,1.3479662,0.6577058,0.7037707,1.162206,1.3957531,0.95998895,0.6871088,1.2961102,0.58721316,0.9757358,0.81341255,1.0727428,0.7973281,0.9447369,1.1966232,1.0601227,0.7564405,0.0,0.9681458,0.7133742,1.250871,0.9435215,0.8400903,1.0187873,0.88762724,1.202683,1.2166345,0.8229579,1.1672497,1.5406797,0.87149763,1.2126815,0.5548982,1.1490394,0.7400615,1.0058315,1.010047,0.7555873,1.1342602,1.2070101,0.5446349,1.3968683,1.4981779,1.2225797,0.63146234,0.7566811,0.99331933,0.87672585,0.26691258,0.70640457,0.7175829,0.60708547,1.0178168,0.50885487,0.8931845,1.4310639,1.0390375,1.4371034,1.2155938,1.4071672,0.5729147,1.2283192,0.70424914,0.99904346,0.92536026,1.2111796,1.2582865,1.1808671,1.4675597,0.7092416,1.0206982,1.1105993,0.99165744,0.6962886,1.2518376,0.85050905,0.83952844,0.8399453,1.0838988
