,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,face,finger,fish,flower,foot,frog,glass,glasses,glove,grass,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,1.3820997,0.9767076,0.74943686,1.2657794,0.79518175,0.92739165,0.8665458,0.8899744,1.4815292,1.5226392,0.0,1.4341865,1.4049058,1.5154692,1.161938,0.8092529,0.40726262,0.7236427,1.1667099,0.80479246,0.87501836,0.8587466,0.768558,0.8692198,1.4214199,0.74091893,0.9311042,1.1428614,1.4024786,1.208763,0.30186665,1.4114451,0.3821746,1.112969,0.8989176,1.1877711,0.9369806,0.5355353,1.2830387,0.7795987,0.569404,0.73485106,0.7385037,0.8977754,1.1426411,0.4708506,0.6612175,1.2323726,0.96611637,1.0763371,1.1561421,0.3858025,1.1509181,1.3487456,1.1298724,1.3398917,0.36140352,1.3181942,0.87571836,0.38965178,1.029178,0.31965983,1.124155,1.3875875,0.6708424,1.4011812,1.2598686,1.5306754,0.2742058,0.35090393,0.9512218,1.140833,0.81061447,0.75229007,1.0637797,0.49666202,0.8648711,0.79469883,0.9827908,1.3633577,1.150988,1.2034333,1.2190175,1.4881988,0.3743934,1.239248,0.68271184,0.7108412,1.1516939,1.2341781,1.3894947,1.3029668,1.5532484,0.6927405,0.5928185,1.2030325,1.0479922,0.6150085,1.0980619,1.2128056,1.0544536,0.2596445,1.3411751
bench,0.8058493,0.9873396,1.2860947,0.72627085,1.2636762,1.1750171,1.1712139,1.0684727,0.5962569,0.41633195,1.4341865,0.0,0.70106006,0.44763255,0.7901425,1.2282624,1.461037,1.3638512,0.94759923,1.1477909,1.3076003,1.1943163,1.2291808,1.1312633,0.3296821,1.385498,1.1817889,0.8221844,0.5252032,0.89311016,1.5530851,0.5197756,1.4337909,0.99775046,1.1882395,0.85121214,1.2303352,1.3673115,0.8515829,1.0955697,1.2778538,1.3680329,1.2189326,1.2653091,0.79070824,1.3230205,1.2051922,0.6811905,1.204911,1.0314859,0.7899965,1.5079303,0.92141527,0.558382,1.0252656,0.6261891,1.5210582,0.91815805,1.0295016,1.3330469,1.1525285,1.4239104,0.93409497,0.7419817,1.36332,0.58028495,0.6112967,0.6646024,1.4741405,1.4274328,1.0869066,0.86971724,1.2042027,1.3772538,1.0230807,1.4945346,1.1225872,1.3182985,0.9703029,0.63808036,1.0187155,0.74055696,0.9123419,0.5201293,1.5647612,0.71971124,1.3881223,1.3034856,1.1704012,0.8949679,0.69048613,0.622793,0.33821929,1.2581881,1.2905047,0.77036273,1.1104947,1.4205961,0.86226404,0.80325526,1.0294181,1.479051,0.67334616
bib,0.69287175,1.0329437,1.2146305,0.7283453,1.3113558,1.2889521,1.0950927,1.3667531,0.6982908,0.4744451,1.4049058,0.70106006,0.0,0.44268698,0.775458,1.2145083,1.4911731,1.4226533,1.0592554,1.1932936,1.3035319,1.2373071,1.404378,1.1145849,0.80389774,1.2341235,1.3745177,0.9507686,0.57770747,0.91355264,1.5094955,0.84910554,1.5327127,0.8123168,1.0673602,0.96991426,1.1871026,1.1142077,0.66659796,0.9860322,1.3753998,1.4816377,1.0464599,1.1267443,0.88536537,1.1089706,1.1666573,0.9682589,1.1306643,0.6809635,0.6757947,1.2974969,0.86236185,0.40173358,1.0687089,0.81529474,1.4540335,0.8638189,1.1336873,1.0918427,0.8978815,1.2792879,1.1011466,0.73739696,1.2921951,0.43525004,0.51376295,0.5920782,1.4916586,1.3789332,0.950985,1.059133,1.3196633,1.3203621,1.2273612,1.4019253,1.0314915,1.2766029,1.198236,0.42713344,0.9963851,0.43659872,0.82108057,0.7782662,1.5209908,0.86861646,1.2205284,1.0697461,1.1425532,0.71976286,0.6201844,0.78981024,0.5219498,1.3709269,1.0769649,0.99182636,0.96073204,1.5043232,0.81838584,1.0132283,1.1514513,1.3263661,0.86447626
blanket,0.579382,1.2146814,1.4326304,0.6742018,1.3562827,1.2750385,1.1596115,1.2620413,0.5020512,0.10217804,1.5154692,0.44763255,0.44268698,0.0,0.8284906,1.3201628,1.5036592,1.426271,0.9701253,1.3072913,1.3822594,1.2459785,1.3087488,1.0700935,0.44472587,1.3388225,1.2693605,0.93701315,0.25514513,0.93988734,1.6104165,0.64139616,1.5353421,0.88610935,1.0324144,0.8697348,1.2874093,1.4403381,0.7649237,1.241574,1.364122,1.4881521,1.2607358,1.2377545,0.85498554,1.3747442,1.1519704,0.8141457,1.2910137,0.9380319,0.9484879,1.4554363,0.53740764,0.31114912,1.1130575,0.599634,1.5857968,0.9656762,1.1261083,1.3172979,0.8707168,1.5046892,1.043745,0.6480585,1.4008763,0.36265212,0.43560898,0.58536965,1.5121691,1.4464707,0.83412886,1.0484312,1.2949212,1.4363629,1.0118421,1.5087174,1.0428537,1.3459964,1.2145742,0.54277647,0.9768029,0.6403045,0.86173874,0.51471776,1.5754592,0.5686232,1.3605111,1.3021588,1.1139009,0.78842545,0.44295812,0.6397067,0.20203722,1.397089,1.4010301,0.930937,0.76024204,1.5293895,0.88504845,0.99401873,1.0858653,1.5460527,0.75282
boat,0.9769342,1.0471319,1.185093,0.90474534,1.1270993,1.0796832,1.1774573,1.127965,0.7736554,0.7544457,1.161938,0.7901425,0.775458,0.8284906,0.0,0.9703037,1.2727727,1.1780999,0.9860158,1.1162176,1.1826606,1.2558051,1.1593193,1.0495124,0.90075856,1.1755447,1.081893,0.86072046,0.87766457,1.0689335,1.2423375,0.7457976,1.1515472,1.2003529,1.3099942,1.0717899,1.0980768,1.166505,0.8995987,0.9896502,1.1582062,1.2124995,1.0999511,1.2454355,0.76730585,1.2353662,1.207624,0.7788835,1.0429095,1.0320177,0.81526405,1.2062807,1.0346286,0.80200505,1.0550014,0.75466436,1.2520272,0.89024466,1.0722915,1.1529679,1.2074928,1.2105031,1.0079254,0.7009315,1.0277755,0.79895836,0.89804274,0.7564517,1.201495,1.1547601,1.1892079,1.0628681,1.1466455,1.1848607,1.0937704,1.2428417,1.125593,1.156227,0.9584868,0.90605,1.0887312,0.83303654,1.0245861,0.77789927,1.2568355,0.8774905,1.2413787,1.2548766,0.99378455,0.8976489,0.9185819,0.9066286,0.69664276,1.0324823,1.1674426,0.84006464,1.2225605,1.2477676,0.7612768,0.96899265,1.0820731,1.1513377,0.9283681
book,1.1880715,1.0186001,0.9772433,1.2575865,0.9913685,0.99067116,0.73530793,0.53412247,1.3214712,1.3374856,0.8092529,1.2282624,1.2145083,1.3201628,0.9703037,0.0,0.61902106,0.67299527,0.45459032,0.82935226,0.6971971,0.725729,0.78279686,1.1567324,1.2349669,0.7759192,0.82727206,1.0083332,1.2499055,1.048886,0.7426394,1.0540464,0.65529275,1.14348,0.77796024,1.1749763,0.71438426,1.0206687,1.1202656,1.0804739,0.980992,0.66553307,0.84123343,0.79537404,1.2515272,1.0055209,0.8378502,1.1081519,0.68377274,1.2545769,1.0832887,0.89536554,1.1427072,1.4701796,1.0142436,1.1995279,0.76730096,1.0011785,0.8626795,1.0139582,1.0583313,0.92313176,1.1046826,1.0516607,0.67121154,1.2260498,1.4541616,0.7199791,0.8285569,0.87935317,0.97531044,0.8982657,0.73180735,0.79760545,0.7952499,0.6169593,1.1642507,0.7769623,0.93487346,1.3566658,0.89721316,1.3363321,1.1553099,1.272765,0.6600771,1.2174382,0.93266153,0.9830162,1.1427066,1.2939435,1.1545523,1.282231,1.2392914,0.71096027,1.0794219,1.1522359,1.0157942,0.5911689,0.7729169,1.0223807,0.88050705,0.89194083,1.1826444
bottle,1.354135,1.09906,0.851625,1.2703826,0.7938409,0.8819222,0.92500913,0.790637,1.3984077,1.5365438,0.40726262,1.461037,1.4911731,1.5036592,1.2727727,0.61902106,0.0,0.52594376,0.9600173,0.9038769,0.5233081,0.6930368,0.65817314,0.84954506,1.4239037,0.72738254,0.8238598,1.1488954,1.4400265,1.164467,0.34219193,1.3479117,0.21889627,1.1169692,0.8149972,1.0910274,0.87452245,0.7830565,1.2991095,1.1119417,0.58763486,0.5295548,0.9678791,0.8358251,1.1932975,0.81476516,0.7579514,1.1380318,0.73198473,1.2651062,1.3538426,0.61469454,1.1437125,1.5263747,1.0663205,1.3016782,0.29550958,1.1385889,0.8310798,0.63013446,1.0494598,0.62702656,1.1098167,1.3709826,0.74245405,1.3860714,1.4593552,1.2625989,0.32610655,0.46710694,0.98690975,1.0907563,0.59600437,0.69770855,1.0085523,0.4401579,0.914257,0.64935863,0.82141775,1.4236724,0.9998739,1.4417734,1.1771946,1.3412771,0.37132245,1.1948847,0.561111,0.83499163,1.0864885,1.3247126,1.3251371,1.2224288,1.5281196,0.62145287,0.93988985,1.0840538,1.0136269,0.4383334,1.1634777,1.0810038,0.9716391,0.56126213,1.2093462
bowl,1.3192484,1.0461642,0.907261,1.2814245,0.9019104,0.9024174,0.88260436,0.67961186,1.1944911,1.4346766,0.7236427,1.3638512,1.4226533,1.426271,1.1780999,0.67299527,0.52594376,0.0,0.81499195,0.9362626,0.52497584,0.5021908,0.6085947,0.98764986,1.2505517,0.71108425,0.559644,1.0972959,1.3528162,1.2273561,0.6952779,1.1703418,0.47045684,1.038297,0.760356,1.1619699,0.81273127,1.0821711,1.2796416,1.207397,0.8438885,0.6498938,0.910929,0.87786704,1.064704,0.9413367,0.8047112,1.162922,0.7984177,1.2730144,1.3131242,0.5630562,1.056393,1.4669821,1.0056475,1.202308,0.7232039,0.95913386,0.84343445,0.9807474,1.0222251,0.9103816,1.1162429,1.1727557,0.67730975,1.425654,1.3972343,1.225261,0.6556654,0.783585,0.8534491,1.0452348,0.73980284,0.5104297,0.5852375,0.44270253,1.0145481,0.82561743,0.9010128,1.4364936,0.7876905,1.3485693,0.9387443,1.2416815,0.37877345,1.1704092,0.82530355,0.9483815,0.8748107,1.2696886,1.2353749,1.2633026,1.3658581,0.58078814,1.1022041,1.2709929,0.8926388,0.5370767,1.0185654,1.0992105,0.934151,0.7424779,1.2785614
box,1.0322398,1.0676812,1.0387688,1.1667484,0.9906105,0.88148594,0.80060476,0.49138623,1.0254409,0.9984251,1.1667099,0.94759923,1.0592554,0.9701253,0.9860158,0.45459032,0.9600173,0.81499195,0.0,0.9516336,0.7283959,0.7459856,1.0147082,1.1452043,0.85626554,0.9635567,0.8291155,0.9653695,0.9444473,1.0069113,1.1040804,0.7066551,0.9015692,1.1377151,0.8246453,1.0252964,0.84657764,1.2832537,1.0129606,1.2383823,1.2129939,0.96666735,1.0427535,0.9589133,1.0713094,1.2704198,1.0751352,1.0170053,0.74305665,1.2483506,1.032176,1.1402454,1.0309347,1.2027173,0.96498954,0.98311716,1.1649046,0.8999765,0.9952535,1.2815452,1.1490324,1.255535,0.91606206,0.8897363,0.94451344,1.0400329,1.2259737,0.59108317,1.2236521,1.2304747,1.1095263,0.83412737,0.9923422,0.97618484,0.7078664,0.97008866,1.1602843,1.0703785,0.9879451,1.1487237,0.9049353,1.1959223,1.1411185,0.91202575,1.0467323,1.0351696,1.2050891,1.1941991,1.1089693,1.1996047,0.8921335,1.0889388,0.8722711,0.8421296,1.3345647,0.913771,1.0546795,0.6561792,0.68274355,0.9345509,0.796264,1.2038792,1.0032784
bread,1.2750183,0.89286023,0.6031865,1.1340857,0.8264873,0.83616894,0.92029995,0.91779315,1.3488076,1.3407505,0.80479246,1.1477909,1.1932936,1.3072913,1.1162176,0.82935226,0.9038769,0.9362626,0.9516336,0.0,0.9547438,1.0015782,0.95674497,1.0742564,1.2783794,0.84058386,0.85882556,1.1555268,1.2991679,0.8942289,0.8865246,1.270618,0.85904956,1.0594288,0.92842174,1.1457834,1.1362749,0.93851334,1.0931123,0.783938,0.8304027,0.79835343,1.0166428,0.5382107,1.2151123,0.8614211,0.8412975,1.100376,0.6707598,1.081135,0.8629075,0.84858024,1.1423014,1.2646351,0.9451553,1.2653002,0.94329315,1.0259509,1.0329589,0.8674202,1.0372488,0.85679066,0.9336627,1.1892858,0.84910357,1.3134364,1.2974652,1.0612655,0.93745565,0.9679379,1.1138605,0.27963185,0.9074193,0.8060998,1.0165664,0.9515445,1.1609449,0.8798587,0.97876924,1.2669854,1.0464337,1.1482286,1.3125106,1.2620159,0.8576978,1.031884,0.7898923,0.9723716,1.0495389,1.1780906,1.1578666,1.2511076,1.2872151,0.78387034,0.8175472,1.0339161,0.9966779,0.7757267,1.0487093,0.9635929,1.1025213,0.8796836,1.2230878
