,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cracker,1.0339218,1.0270298,1.0875199,0.8450533,1.0122824,1.097755,1.182132,0.9490754,1.1731267,1.276943,1.2342944,1.1997955,1.2793535,1.0788674,0.82135713,1.1764206,1.1528404,1.0773722,1.1153891,0.91909283,1.1692206,0.5211478,0.9564176,1.2117058,0.91673344,1.2542939,1.2975724,0.72458994,1.152788,1.2653112,0.5137551,1.0764532,1.1597706,1.0451068,1.1903185,0.2259351,1.2754022,0.0,1.1290337,1.2841418,1.0530175,0.9896109,0.79601175,0.84732074,1.2373679,1.129862,1.1338854,0.84622127,0.8819959,1.1332045,1.0593919,0.90612763,0.879598,1.2029048,1.0868493,0.8247544,0.8633484,0.9489563,0.7705692,1.1559129,1.0492468,0.87636507,1.2331227,0.9948781,1.0980198,0.7365149,0.875086,1.0363733,0.8323874,1.1683674,1.2891649,1.0519073,1.1893159,0.90982175,1.0971727,1.1675308,0.5516141,1.0408072,0.9579518,0.7116052,1.0007439,1.0173634,0.3202302,1.029134,0.852987,0.98888063,1.0027903,0.9834634,1.1695579,0.95292705,1.1794859,1.1213567,0.97976077,1.0811648,1.0113027,0.75471264,1.0788296,1.0816349,0.36646938,1.0647929,0.5709441,1.0654962,0.81977427,1.0348941,1.101404,0.9825291,1.2606895,1.1118222,0.7359027,0.40767956,0.85108924,1.0291939,0.95737743,1.2052794,1.0006634,1.102529,0.99702066,1.237859,1.11634,0.99505174,1.0368707,1.1459713,1.0411777,0.9810417,0.63399285,0.89232105,0.96726096,1.1181648,1.135574,1.1011764,1.2142689,1.0935946,1.096957,0.9924994,0.919958,0.9100611,0.9995201,0.8557339,1.0927747,0.80387837,1.1055583,1.1957128,1.1549139,1.0905987,1.2455914
crayon,1.0125259,0.88380325,0.23755926,0.76315105,1.4180593,0.6311357,1.0374312,0.32628208,0.7823907,1.50408,1.5570061,0.3238597,1.4646095,1.5744904,0.95515716,1.5243921,1.1803938,0.9434832,0.21308422,1.0108161,1.2277577,0.43742037,1.3443583,0.9151366,0.7799955,0.48054487,0.8518672,0.7179997,1.3138716,1.2675734,1.001521,0.70006645,1.4103447,1.0772736,1.1764519,1.2410926,1.5043409,1.1290337,0.0,1.4525709,0.54981995,1.3950971,1.2177746,1.1394681,1.1999419,0.9754973,1.4014964,0.6812955,0.4032567,1.1990926,0.72990906,1.360244,0.6859939,1.2312586,0.3878743,1.0675378,0.7592401,0.46591127,0.8856791,1.5149982,0.58587337,0.89814854,1.2112743,0.7019341,1.3162853,0.5906995,1.346828,0.6061561,0.5154017,1.3280094,1.4313972,0.97620517,1.4425414,0.48581946,1.2137921,0.5638783,1.34086,0.34068644,1.0678065,1.556057,1.248337,0.7308892,1.382603,0.37419975,0.7526885,0.6304411,0.45656157,0.43356192,1.4486798,1.355418,1.6100507,1.4629339,1.4527888,0.15648139,0.19232649,0.35589856,1.3224332,0.9882819,0.66211545,1.2000955,0.58590436,0.7141607,0.6867128,1.3814653,0.6313436,0.86161137,1.4852843,1.2798473,1.0680904,1.1724396,1.2564232,1.3007803,1.0039958,1.5467215,1.003911,1.4888036,0.34723258,1.516031,1.3394392,1.1215435,0.24628389,1.2107157,0.17187893,1.0214117,1.3367941,0.5643002,1.1942534,0.41675675,0.30637735,1.3418831,1.4991617,1.3203931,1.5742937,0.32589656,0.548242,0.79762197,0.9805973,0.7454034,0.4571514,1.3424008,1.1406202,1.1335977,0.9033239,0.3037293,1.3817022
crib,1.0494103,1.1762807,1.4929886,1.2178375,0.8083948,1.2601962,1.0230407,1.407068,0.5959427,0.359205,0.36708218,1.3457018,0.3796265,0.64979404,1.2259499,0.46422672,0.5896178,0.8447677,1.4472582,1.0526208,0.47770756,1.4904191,0.7649484,0.86480594,1.1644489,1.2170169,0.8334285,1.3303759,0.79952455,0.45507586,1.1964066,1.1687844,0.6191982,0.8626478,0.69191575,1.0809717,0.41528153,1.2841418,1.4525709,0.0,1.3028727,0.7182016,0.94870245,0.9398385,0.69683284,0.66212654,0.85725045,1.4689673,1.5905209,0.8844805,1.2605627,0.9105831,1.4717762,0.8413352,1.3681586,1.0794399,1.360708,1.3751464,1.1786089,0.68056846,1.4030128,1.342406,0.65517247,1.1969897,0.9787855,1.3595228,1.0394685,1.3579865,1.3705007,0.56347704,0.56354415,0.97485846,0.7353469,1.3216221,0.64531773,1.1807745,0.97243255,1.3640275,1.0088956,0.8257196,0.8401492,1.3157641,1.0948011,1.5344095,1.1541917,1.4016037,1.4154752,1.4629874,0.50583845,0.92564434,0.6328436,0.8133365,0.6734199,1.4464405,1.4320669,1.4792161,0.81672823,0.9191078,1.44343,0.8639326,1.3848488,1.2610857,1.2708979,0.60180163,1.126189,1.2898836,0.47232985,0.64685845,1.1408476,1.1143099,0.92158926,0.78184533,0.84747857,0.7155366,1.0733938,0.8323299,1.423484,0.52869684,0.6502716,0.67165124,1.540925,0.8763281,1.5116265,1.0484756,1.0028906,1.3681062,0.9767314,1.2616079,1.4465412,0.7705451,0.7205365,0.7988082,0.49880767,1.4515512,1.5545237,1.298676,1.02736,1.1213765,1.1252227,0.6887754,0.8131716,0.91141456,0.9021016,1.5216633,0.49257696
cup,1.184306,0.84593356,0.61287296,0.9139857,1.4218732,0.812129,1.0841347,0.6721798,0.67818546,1.3536295,1.5218434,0.63117576,1.4490252,1.4641435,0.97049904,1.4838418,1.1784672,0.82053304,0.29086316,0.6140488,0.86186296,0.6851573,1.2109903,0.5251227,0.8487442,0.349761,0.8070801,0.98061275,1.3995411,0.989605,0.9188497,0.7985486,1.2696505,0.5370563,1.2910192,1.0667719,1.423774,1.0530175,0.54981995,1.3028727,0.0,1.2878922,1.077598,1.0136328,1.0103867,0.85209227,1.377998,0.837452,0.67963934,1.314203,0.9296064,1.3519945,0.910812,1.2189229,0.7071672,0.83940184,0.83988094,0.6102663,1.0142052,1.232075,0.8647209,0.8431227,1.3638526,0.79282284,1.333296,0.68379796,1.2801919,0.71768945,0.7358968,1.3192166,1.4486408,0.46969736,1.4849975,0.6228276,0.9063325,0.45756072,1.2078574,0.6787417,0.685755,1.3841593,1.201954,1.0262417,1.1828558,0.77811444,0.5017929,0.79275185,0.76809967,0.76847637,1.1971946,1.3535013,1.5094395,1.4402158,1.3879819,0.6339573,0.66526663,0.6922786,1.2795578,0.8474561,0.7415341,0.9723246,0.6487036,0.9582403,0.6144929,1.1241572,0.52089536,0.93116534,1.2387078,1.3360474,1.0972176,0.94846404,1.0206974,1.3053415,0.9990446,1.479255,0.84011185,1.3858223,0.47724247,1.3412572,1.0027156,1.1716359,0.48099422,1.3268425,0.5183861,0.912495,1.1220834,0.56284124,1.0275556,0.5342212,0.5802274,1.2776192,1.4563825,1.2546694,1.3522453,0.4694072,0.7689053,1.0443013,1.0742607,0.5532619,0.58188,1.1007653,1.1281734,1.0500792,0.76054925,0.6886389,1.2036176
dish,0.93596137,1.2281299,1.3148602,1.1175184,0.84688616,1.1362973,0.95861727,1.2483901,1.1603162,0.7236307,0.6396197,1.3744519,0.7916146,0.5929961,1.1274781,0.6788089,0.9142251,0.73970175,1.4015177,0.93657875,0.70917535,1.2356174,0.86770666,1.1347578,1.1080725,1.398282,1.2362032,1.1398056,0.8534343,0.99605566,0.92630935,1.0869591,0.926824,0.9406085,0.9959352,0.86201584,0.6879227,0.9896109,1.3950971,0.7182016,1.2878922,0.0,0.8738007,0.9402715,1.131079,1.1069858,0.8620298,1.1937109,1.3316345,0.9175559,1.1590507,0.8214582,1.2900137,0.81771725,1.2075938,1.0114753,1.3506712,1.2709018,0.90391487,0.74984664,1.2259533,1.2821946,0.77183187,1.0065802,0.8836968,1.2562509,0.9728518,1.2659283,1.2369206,0.8213798,0.75636184,1.0865954,0.8516412,1.2060649,1.0071355,1.3241005,0.8363475,1.2435682,0.93679756,0.8010504,0.87962854,1.0886937,0.7968656,1.3187053,1.3143599,1.287457,1.2363207,1.1487243,0.8561975,0.75956637,0.74045366,0.9076801,0.55198,1.3666236,1.3735807,1.255943,0.7810019,1.1989672,1.122374,0.8873047,1.0422505,1.1013609,1.0874472,0.77208126,1.1809893,1.1190999,0.89660996,0.8325266,0.9961079,0.901612,0.81420946,0.93580323,0.85821956,0.75961936,1.0817335,0.9116385,1.3041734,0.7718528,0.84024036,0.88298535,1.3826224,0.90087175,1.3558974,1.2173276,0.7537868,1.2004867,0.98225546,1.2697115,1.3354658,0.86998975,0.8052083,0.81822324,0.5375538,1.2970791,1.31848,1.1861644,1.0614921,1.2876337,1.1636302,0.66627777,1.0036799,1.0599782,1.1496843,1.3549422,0.9710252
dog,0.7625999,1.1454766,1.1619745,1.068517,1.0853574,1.0706654,1.0817511,1.0580816,1.0805199,1.1341163,0.9298674,1.1825234,1.0744665,0.9540602,0.6278074,0.9113522,0.96084976,0.83616835,1.1320157,1.1377509,0.8151922,1.0165216,0.8309293,1.0798981,0.7704998,1.124492,0.9083687,1.0898024,0.6573994,1.0158607,1.0033232,1.0854181,0.9125335,0.96837294,1.1296089,0.77100277,0.91956264,0.79601175,1.2177746,0.94870245,1.077598,0.8738007,0.0,0.54232657,1.1003404,1.0795941,0.9507945,1.0990251,1.1361402,0.95914674,1.0347724,0.7263404,1.2394168,1.0082754,1.0094063,0.680563,1.1348966,1.1504598,0.6804454,0.8797747,1.0209203,0.97242934,0.98439884,1.1223378,0.899167,0.9847472,1.10234,0.8302623,1.0850517,1.0256413,0.9945887,1.0069599,1.0713866,1.1331626,0.99520487,1.1567506,0.9288114,1.1552905,0.9838846,0.7581025,0.9931365,1.1012493,0.93303174,1.2237465,0.9638563,1.2047926,1.0802683,1.0762255,1.0625675,0.8038141,0.9471105,1.0518763,1.0540026,1.1794487,1.2125075,1.07369,0.9407518,0.94978637,0.97490937,0.8241619,1.1116017,1.0393718,0.9835668,0.81426793,0.9288657,1.0261576,1.0922502,1.0982175,0.64024174,0.97856456,0.9804793,0.8691042,1.0448213,1.0008718,0.9879446,1.100445,1.086585,0.928704,1.1333808,1.1194642,1.0898815,1.1015823,1.1766013,1.0846224,1.0156897,1.1669818,0.9172572,1.1616793,1.1339655,0.89915276,0.9862298,1.0112187,1.0292298,1.1000727,1.180731,1.185092,1.1780562,0.80700094,0.97394276,1.0240299,1.0156355,0.8428588,0.96658397,1.1896486,1.0003839
doll,1.0671118,0.8270596,1.085191,1.0702548,0.90683216,0.9820255,1.0433656,1.085357,1.003945,1.1598432,0.9458454,1.1716927,1.0458812,0.8962626,1.0448936,0.8800528,0.8453642,0.8022071,1.0809894,1.0987124,0.864722,1.0058132,1.0348772,0.93731064,0.9361376,1.1031998,1.1622626,1.1406837,1.1082948,0.92180574,1.0964415,0.89398116,1.1286705,0.8221828,1.2536398,0.87826157,0.83391464,0.84732074,1.1394681,0.9398385,1.0136328,0.9402715,0.54232657,0.0,1.1912259,1.00961,0.8793198,1.0406122,1.0160266,1.085511,1.2493509,0.84008133,1.0240794,1.161324,1.0489274,0.9040324,0.9789829,1.1335077,0.8499404,1.0152922,1.003364,0.8749312,0.9799737,0.97047365,1.0216417,0.8738119,0.92236984,0.6478133,1.1470184,0.95457846,1.146343,0.9462744,1.0544169,1.0737537,1.0187498,1.1538317,0.9005257,1.1766404,0.9798818,0.6858311,1.023481,1.0265974,0.97356695,1.1369069,0.9625925,1.0212975,1.095152,1.0760559,1.1376638,0.8653938,0.8643395,1.0894377,1.0367231,1.1382242,1.0823615,1.1003693,0.87617826,0.944395,0.9479999,0.94872427,1.0867337,1.2420858,0.91055775,0.786356,0.92704034,1.0556109,1.2526776,1.1289477,0.8653031,0.88544464,0.92387295,0.94609886,0.8236872,1.0157554,0.90605474,0.91825455,1.1702679,1.0879903,1.2037681,0.89662737,1.0164531,1.2177981,1.1845168,0.89066607,1.0258844,1.1099626,0.89231324,1.0434452,1.0159663,1.0473961,1.0181837,0.8489795,1.0621495,1.0380245,0.98596925,1.0921733,0.9875792,0.82002264,0.71924925,0.94562656,1.0750188,1.1124635,1.0156089,1.0742168,1.1309586
door,0.93989223,1.1487478,1.2807204,1.0487056,0.9921484,1.244898,1.1163007,1.2671254,0.89367384,0.5656924,0.7973703,0.91571826,0.8017638,0.99684894,1.006031,0.85777617,1.036434,1.1221703,1.1105751,1.1815265,0.8520718,1.3078573,0.8858939,1.069261,1.075906,0.78719366,0.79182684,1.2143443,0.7641407,0.6599906,1.1952767,1.1217498,0.20522106,1.0833392,0.8551573,1.1446512,0.7531846,1.2373679,1.1999419,0.69683284,1.0103867,1.131079,1.1003404,1.1912259,0.0,0.6651679,0.92045915,1.1501029,1.2818867,0.9717512,0.9563964,1.0389286,1.1701226,0.9441911,1.2604778,1.0284185,1.043738,1.086966,1.2561095,0.85709375,1.147047,1.197428,1.0300502,1.297688,0.9541719,1.32187,1.026629,1.2730825,1.0841696,0.7297647,0.78885937,0.9990203,0.83311564,1.1087118,0.46070862,0.7308593,1.1175969,1.2088451,0.86936975,1.1829164,0.97742987,1.194288,1.2320154,1.2291931,0.98785675,1.0851804,1.1546044,1.3440052,0.56346345,1.1002102,0.85609484,0.7453745,1.0229907,1.1285181,1.2163246,1.2834978,1.002062,0.76482916,1.3039029,0.8884918,1.2534282,1.10021,1.2736799,0.9938361,1.0964223,1.0302445,0.33265978,0.86758184,1.0530272,1.1992717,1.1484365,0.9994556,1.116335,0.8727847,1.1276431,0.8665377,1.0634167,0.45761317,0.72022206,1.0623754,1.2117611,0.95045495,1.2232281,1.0230663,1.184042,1.1587068,0.87758136,1.0529782,1.2007798,0.6797829,0.81999904,1.085978,0.852738,1.3002188,1.2270706,1.1145916,1.0435238,1.0457177,1.284933,1.0156924,0.8077005,0.6777618,0.7781104,1.2108285,0.416579
drawer,1.0686152,0.9964456,1.1096829,0.81618625,1.1141376,1.0602611,1.0297914,1.1915396,0.48462212,0.8648509,1.0184208,0.74921554,0.90506566,1.2095238,1.147809,1.0366498,0.91651106,0.8416598,0.9316138,0.8854411,0.5993312,1.0558155,1.0742462,0.80032563,1.0088177,0.6756894,0.8163894,1.072849,1.12229,0.6344211,1.1333483,0.9276294,0.88906467,0.81726545,0.9177393,1.0811409,0.93238354,1.129862,0.9754973,0.66212654,0.85209227,1.1069858,1.0795941,1.00961,0.6651679,0.0,1.2535737,1.1281055,1.1082339,1.165549,0.95022434,1.1760931,1.0357836,1.0700397,1.1455518,1.0722193,0.9463527,0.79857194,1.112501,1.1032131,1.0610431,1.0076061,1.1811606,0.9992976,1.2019871,1.1165619,1.092379,1.0696068,0.9066916,0.85675645,1.1341112,0.89900196,1.12863,0.7576283,0.7240457,0.7587827,1.0720773,1.1821517,0.9189046,1.1648318,0.9982863,1.1061107,1.2514335,1.1782728,0.7838044,0.85378075,0.9422148,1.233011,0.7213037,1.2216765,1.1846359,1.0675042,1.1428499,0.9209407,0.9361732,1.1519655,1.1325337,0.7708089,1.0710284,1.0284727,0.9269382,1.1672086,0.98845357,0.74545836,0.58263963,0.8052183,0.82406765,1.0734606,1.0674628,1.1675682,1.0131863,1.096179,0.8837206,1.2384177,0.93068373,1.0562708,0.9397478,1.0375224,0.7891089,1.0016178,0.91355926,1.168563,0.99919677,1.0030664,1.0963019,0.81388575,0.8742434,1.0517734,1.0826232,0.94742316,1.1897595,1.1231441,1.122864,0.8849787,1.1117175,0.93692124,0.9881813,0.8138069,0.9447314,0.8709412,1.0127922,1.0123132,0.77470875,0.9930283,0.84360385
dress,0.98055446,0.9980302,1.3128214,1.2516415,0.59730434,1.1828911,0.9575739,1.2771977,1.2883952,0.79822993,0.6442593,1.2671579,0.6334487,0.42103577,1.1204742,0.6828058,0.9821638,1.1339345,1.3668551,1.2664562,0.997551,1.3212641,0.8729823,1.1797916,1.1576014,1.298175,1.1550934,1.1084249,0.75923663,0.8967264,1.1896081,1.2080783,0.7654221,1.126521,0.92595434,1.1104255,0.54909563,1.1338854,1.4014964,0.85725045,1.377998,0.8620298,0.9507945,0.8793198,0.92045915,1.2535737,0.0,1.1113766,1.2414285,0.8567357,1.1494392,0.71478295,1.0357891,0.8923166,1.2880367,1.1572571,1.0565559,1.4464369,1.1969603,0.8011761,1.1003368,1.0272372,0.83434165,1.2376132,0.6879779,1.1907086,0.74371326,1.1493628,1.2956647,0.90786654,0.6427173,1.094001,0.46454442,1.4413729,1.0426856,1.362552,0.9173194,1.2615588,1.0954962,0.7619505,0.9414311,1.003203,1.004495,1.1667887,1.3736174,1.0629656,1.2644473,1.2305968,0.8178302,0.78618157,0.34282517,0.48948723,0.81907105,1.3913972,1.3700216,1.2831509,0.71582335,1.132706,1.2554045,0.9672758,1.3891618,1.048281,1.2609677,0.9765026,1.3650877,1.1465281,0.73270476,0.8564205,1.0763023,1.0308807,1.0173349,0.75937057,1.1662971,0.26862836,1.1413333,0.48840976,1.3974116,0.6745745,1.0616415,0.9914411,1.3827453,0.88035685,1.3850484,0.9717768,1.0527351,1.4471867,1.0729325,1.2140009,1.2679024,0.73237836,0.31165898,0.71387154,0.6596539,1.4335504,1.1022819,1.1102185,1.0062968,1.3278284,1.3265619,1.0635107,0.93164074,0.9421713,1.14456,1.2007213,0.82643753
ear,1.1277716,0.93266034,0.6460177,0.9456358,1.1213342,0.8917515,0.9784836,0.76411766,1.2106324,1.3782859,1.4139725,0.81682205,1.4024378,1.3124944,1.0018646,1.4362297,1.3134365,1.1893617,0.7138333,1.139662,1.3232424,0.66115,1.1889824,1.239273,1.00795,0.91309935,1.3191077,0.56794053,1.222003,1.3179653,1.0657092,0.94008994,1.2274635,1.2486715,1.1786168,1.0489049,1.3247025,0.84622127,0.6812955,1.4689673,0.837452,1.1937109,1.0990251,1.0406122,1.1501029,1.1281055,1.1113766,0.0,0.4870112,1.0943315,0.73222744,0.8574873,0.28134608,1.1626849,0.9589409,1.1045816,0.74230486,0.85243726,1.0204728,1.1982814,0.37931955,0.8409016,1.22049,0.9784924,0.78737676,0.8460424,0.81436276,0.6001199,0.7914563,1.2482356,1.2893391,1.0732441,1.1435719,0.93524677,1.2527013,0.9952625,1.1559312,0.8010567,1.0537508,1.1353457,1.2507752,0.31968117,1.0462719,0.31597102,0.99703944,0.4995619,0.49598122,0.60762125,1.3081945,1.0921022,1.3004904,1.0441216,1.2444112,0.7544029,0.6942966,0.63214177,1.1535431,1.2322859,0.75396466,1.2063291,0.86548704,0.8390564,0.93493664,1.3478066,1.0747249,0.5631273,1.3067822,1.2240351,0.8094733,0.96647674,1.1464823,1.2096751,1.1346463,1.2246091,1.0593873,1.0668775,0.77123535,1.3056345,1.2947128,1.196265,0.6200818,1.2026544,0.68672013,1.040409,1.075012,0.89063436,1.1285305,0.7778195,0.65471345,1.0783191,1.1519024,1.1886723,1.3789744,0.79500675,0.26984197,0.5337613,0.908514,1.0427549,1.0034105,1.2866342,1.2391441,1.1862488,1.1644177,0.41892695,1.3333097
egg,1.1227974,0.8103101,0.27071357,0.75150824,1.3362813,0.47497272,0.75673974,0.41683745,1.0440204,1.5015352,1.5072048,0.5956078,1.491254,1.5172241,0.9431143,1.5248812,1.3708874,1.1606526,0.45995784,0.9563966,1.3606389,0.40710378,1.3737338,1.0603347,0.92267764,0.73234403,1.1352584,0.7029189,1.2583008,1.3571419,0.8255498,0.7021108,1.3956683,1.1107703,1.3465557,1.0625212,1.4665878,0.8819959,0.4032567,1.5905209,0.67963934,1.3316345,1.1361402,1.0160266,1.2818867,1.1082339,1.2414285,0.4870112,0.0,1.1721923,0.6713313,1.115936,0.5194743,1.2345994,0.6385889,1.036206,0.73485005,0.69574696,0.943123,1.4494243,0.58254385,0.8954569,1.234855,0.87437344,1.1558092,0.6002751,1.1742623,0.5918093,0.6576681,1.405307,1.472234,1.0445951,1.4074593,0.75117904,1.3372331,0.6761485,1.1597885,0.4329567,1.0463642,1.3454138,1.3220845,0.6696954,1.0476372,0.26182145,0.8181592,0.6475626,0.46383095,0.3120969,1.5136559,1.1442697,1.5020282,1.3310115,1.391494,0.5068945,0.49556625,0.36169875,1.2289209,1.0315703,0.620075,1.3068864,0.57901037,0.74108493,0.64428824,1.4239614,0.80223966,0.66760194,1.5315325,1.255083,0.94941926,0.9687003,1.166476,1.3195066,1.1809297,1.4083169,1.099072,1.3156359,0.6129902,1.4529804,1.3336351,1.1747215,0.41695106,1.1204013,0.3470019,1.0890297,1.1311299,0.7037745,1.0691198,0.57987267,0.4136604,1.340308,1.3743234,1.2478179,1.5045662,0.36834478,0.42428255,0.8146292,1.1251495,0.9067415,0.6571504,1.3807361,1.2413718,1.2057712,1.144795,0.42495948,1.4378767
elephant,1.0108848,1.0660762,1.1422292,1.1393694,0.97843367,1.1497675,1.0022509,1.1808113,1.1231116,0.8226336,0.79301673,1.1335025,0.7685213,0.86156523,1.0453691,0.8178524,0.95800745,1.2345022,1.2703078,1.2406821,1.1445943,1.2061557,1.1144572,1.1636152,1.1845332,1.1852404,0.88437206,1.1451387,0.54373413,1.006059,1.1272677,1.1786959,0.9182637,1.2111301,0.75315475,1.0927632,0.90079856,1.1332045,1.1990926,0.8844805,1.314203,0.9175559,0.95914674,1.085511,0.9717512,1.165549,0.8567357,1.0943315,1.1721923,0.0,0.9349819,1.0072093,1.0616859,0.77843136,1.1672275,1.0540602,1.0461584,1.1991496,1.1462011,0.82264614,1.0907898,1.0520728,0.7214195,1.2716107,0.91063255,1.2036067,0.980373,1.045596,1.190277,0.972286,0.55137455,1.2004397,0.8143696,1.1833028,1.1420964,1.1657254,1.1111097,1.1575861,1.1837847,0.88732785,1.0287309,1.0823745,0.98097897,1.075617,1.1463752,1.0777451,1.0667186,1.1538004,0.9130041,0.44103718,0.79771876,0.8347249,0.94142306,1.1310214,1.1531465,1.2268168,0.7445619,1.0195576,1.244339,0.98617727,1.3112478,0.94677275,1.2064377,0.976014,1.0795878,1.0690432,0.8301362,0.6815553,1.1278045,1.0593255,1.0802749,0.78072727,1.0970587,0.7903111,1.0287106,0.98882824,1.2259657,0.78385437,1.0362321,0.95721805,1.1700464,0.59477514,1.2162113,0.9615112,1.1304144,1.23559,1.1406174,1.1051543,1.0539919,1.0026778,0.7252958,0.9879985,0.8757349,1.27108,1.1186816,1.1344571,1.1286886,1.1377684,1.2189295,1.1257005,0.8078858,0.7670721,0.9998611,1.118627,0.7570055
eye,0.8152299,1.0314152,0.8000364,1.0016092,1.0798569,1.0098464,0.9693814,0.94563895,1.077311,1.1313031,1.1814433,0.60902804,1.1862677,1.2981924,0.84154177,1.2205381,1.3272367,1.1908231,0.86385906,1.0449203,1.2022074,0.83997566,1.1162496,1.2840502,1.0938823,0.75319505,0.9342213,0.72010636,0.816507,1.2367263,0.9995902,1.0733352,0.9971897,1.2222912,0.9107198,1.0855689,1.1691885,1.0593919,0.72990906,1.2605627,0.9296064,1.1590507,1.0347724,1.2493509,0.9563964,0.95022434,1.1494392,0.73222744,0.6713313,0.9349819,0.0,1.0738872,0.64564174,1.027019,0.9580654,1.0570664,0.8140269,0.76394296,1.0692501,1.0999856,0.7829306,0.91979367,1.1359477,1.0485233,1.0032446,1.0981745,1.0270188,1.0093597,0.8178337,1.1842887,1.0920801,1.2471921,1.1244833,0.9230828,1.1020231,0.791601,1.1350157,0.9089359,1.0708699,1.2638555,1.1497763,0.76001644,1.147671,0.6256124,0.95746654,0.8236465,0.62200433,0.791909,1.0926665,1.0357728,1.2429029,1.0442377,1.1536336,0.65664005,0.7636049,0.7642748,1.102247,0.8625916,0.99903315,1.1535438,0.8921068,0.5277624,1.1576064,1.2972925,0.9469832,0.58246505,1.0817758,1.0475245,0.9845692,1.1693205,1.1258276,1.0733386,1.3236834,1.1668196,1.1623307,1.1173066,0.84645474,1.1070031,1.0807616,1.2944393,0.7714771,0.9262607,0.691283,1.047316,1.0589883,0.94519615,0.9941822,0.93424076,0.8761892,1.0504954,1.1452396,1.2007353,1.2115914,0.875529,0.7278781,0.75204915,1.1174245,1.0760474,1.1906662,1.29846,1.1800201,0.84721905,1.1639259,0.70244956,1.0417974
face,0.916819,1.1952308,1.1954247,1.2083629,0.7653556,1.0899241,0.98472285,1.1638774,1.2906661,0.8615921,0.80547065,1.3849523,0.9108186,0.7567222,0.95793504,0.8931618,0.9961068,0.9771931,1.3426075,1.1610332,1.0120342,1.1648233,0.83598775,1.2795594,1.0365175,1.4225403,1.2523669,0.99585533,0.91608024,1.176173,1.0438497,0.98442787,0.84511,1.141377,0.98562634,0.8304332,0.7845964,0.90612763,1.360244,0.9105831,1.3519945,0.8214582,0.7263404,0.84008133,1.0389286,1.1760931,0.71478295,0.8574873,1.115936,1.0072093,1.0738872,0.0,1.0383425,0.8634619,1.2381878,1.0327382,1.3098438,1.352062,0.8862051,0.77189875,0.80330336,1.2589588,0.9111216,1.1065513,0.4294262,1.1167045,0.8152248,0.9021073,1.186303,0.899882,0.89950484,1.1691506,0.86727846,1.3603325,1.0601856,1.3256172,0.81905365,1.1890478,1.0176399,0.8378139,0.92276263,0.7663673,0.8572656,1.0340043,1.4249072,1.1774843,1.0923227,0.9956869,0.96582085,0.78725207,0.7083502,0.8238634,0.81158054,1.3396711,1.3254613,1.193812,0.9844734,1.3325169,1.1206784,0.94601107,1.2188562,1.0354912,1.2079954,1.0406791,1.2948987,0.930357,0.90925676,0.9341583,0.6805127,0.94391656,0.9642787,0.9863496,1.0288751,0.59696525,1.2063806,0.8313683,1.3723239,0.7367537,1.0089852,1.0674933,1.3276668,1.0172359,1.2894635,1.2396202,0.90674216,1.3578057,0.9042055,1.2611008,1.2214458,0.79950845,0.6976158,0.8508203,0.7713935,1.22329,1.038417,0.9518708,0.9886339,1.3866432,1.1881238,0.9327474,1.0104272,0.9725296,1.1906794,1.2009381,0.9616662
