object,animacy
bucket,0
tree,0
park,0
beach,0
pool,0
shovel,0
clock,0
hand,0
nose,0
bottle,0
radio,0
pillow,0
vacuum,0
stairs,0
penny,0
lion,1
bear,1
monkey,1
deer,1
penguin,1
cow,1
giraffe,1
elephant,1
duck,1
cat,1
bird,1
butterfly,1
train,0
truck,0
airplane,0
firetruck,0
bus,0
car,0
bicycle,0
stroller,0
block,0
pen,0
doll,0
balloon,0
spoon,0
cookie,0
scissors,0
motorcycle,0
