,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,spoon,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
oven,1.358985,1.020104,1.2701902,1.2168934,1.0230235,0.7625587,0.8722216,1.2401888,1.2584271,0.47055608,0.9788375,1.3713114,1.0681828,1.3150992,1.1143843,0.43214977,0.7308948,0.7473486,0.98570347,0.5654841,1.0178226,0.48722106,1.2324113,1.2014444,1.3038421,0.5450683,0.7687483,1.0667145,0.92009777,1.0758203,1.2073258,1.2666575,0.6059306,1.0874351,0.36571318,1.0858588,0.90458345,0.7258748,0.4448949,1.2021761,1.2099706,1.1554807,1.2861242,0.8293939,1.1007385,1.2924867,0.86054033,0.64834034,1.4427998,1.123472,0.6993103,0.8041011,0.76815367,1.1211295,1.1949636,0.7683866,1.013065,1.2087177,0.5854333,1.1934317,0.7691271,0.96355015,1.0373809,1.2375144,0.70618325,1.2636318,1.0415534,1.1366107,1.2041276,0.71180695,0.8735944,0.6279683,1.2126768,1.2215866,0.0,1.1231999,1.3074782,0.94531155,1.2410822,0.78841794,0.8325094,1.129885,0.7353246,1.2469169,0.78461874,0.617492,1.2783895,0.74041116,0.64496213,0.93741477,0.94393116,1.2240007,1.2043488,0.79205364,1.2372822,0.9599243,0.6394129,1.2801515,0.51545286,0.77384365,0.90304935,1.072997,1.3658019,0.9278233,0.5740646,0.7497739,1.0267802,0.85062605,1.2380013,0.9385825,0.5424672,0.68653774,0.98558867
owl,0.7533638,1.1849755,0.91249275,1.1399658,0.975292,1.1648349,0.88835573,1.0321834,0.83492446,1.0746408,1.0434555,0.81519854,0.7586636,0.9517593,0.9156928,1.2223526,1.186311,1.1023655,1.0395956,1.2596409,1.0057293,1.241635,1.0266439,0.8768742,0.6267505,1.0677297,1.0039937,0.9029899,1.044158,0.99792683,0.89057744,0.87336457,1.0913494,0.8652618,1.2310406,1.0313152,1.0690522,1.08712,1.0922514,0.7690523,1.1587782,0.5421318,0.9197774,1.013186,1.0621449,0.91701645,1.0510379,1.0204412,1.0755233,0.9618293,1.0757657,1.0046382,1.0435705,1.1187463,1.0443556,1.1019683,1.094677,0.3935324,1.0896392,1.0056401,0.99158037,0.9843559,0.8219295,1.1598085,1.152873,0.95596385,1.1140684,0.9727721,1.1436753,1.1073266,0.91688097,1.1115607,0.9738251,1.1294906,1.1231999,0.0,0.92452955,0.92548466,0.9110361,1.0931821,1.038398,1.1777316,0.8965526,0.84059143,1.0893351,1.1951648,1.1315278,0.9249936,1.1100848,1.149862,1.0769265,0.9691753,1.0344167,1.179049,0.9713946,0.9445009,1.1724991,1.0160483,1.0166188,1.1402354,1.1395509,1.1210313,0.97506833,1.1799253,1.0832086,0.9662354,1.1270088,0.75084484,1.181705,1.0501668,1.1312606,1.0792693,1.0210263
pajamas,0.77149284,1.2414219,0.8359997,1.1271842,1.1921846,1.3157793,1.0457811,0.7369949,0.576257,1.3477986,0.7786502,0.716506,0.803385,0.7235444,0.793211,1.3417394,1.2214563,1.0253973,1.266418,1.2486061,1.1489989,1.2764505,0.6659489,1.0200857,0.78639424,1.1646574,1.3175538,1.0066979,1.0461105,1.146472,0.58133936,1.0433099,1.3744826,0.6146974,1.4006734,1.0648358,0.9867557,1.0623188,1.1748925,0.8799149,1.1342795,0.78414273,0.78494453,1.2472055,0.85778964,0.9664339,1.1910956,1.3821518,0.9674012,0.75357544,1.2573638,1.2526798,1.259748,0.8218918,0.8938765,1.0882398,1.136565,0.8057216,1.3143647,0.679674,1.2863384,1.1565051,0.8954315,1.0418785,1.1587721,0.88539976,0.9223114,0.93883115,1.1959736,1.3654656,1.1697867,1.3040674,0.9260271,1.0945946,1.3074782,0.92452955,0.0,0.82879704,0.75664395,1.2710305,1.2863097,1.0180393,1.164163,1.0210569,1.1126189,1.3656696,1.0004554,1.0927439,1.2934508,0.70916843,1.1702111,0.9865539,0.55395985,1.1808522,0.73476005,1.1672387,1.0850725,0.351613,1.4251297,1.3429987,1.2561305,0.7142235,0.66917396,1.2397034,1.3085266,1.3072722,1.0976593,0.98605096,0.95334655,0.84567344,1.1196059,1.3260618,0.92074096
pants,0.68781173,1.2683692,0.8292564,1.2742891,1.3156102,1.2029959,1.0764941,0.85674405,0.76730716,1.1444834,0.7233281,0.9601049,0.7092844,1.0103902,0.9460227,1.2463044,1.3074286,1.0404763,1.2076669,1.1853791,1.1961546,1.1611238,0.8999567,1.0483092,0.8139461,1.0440111,1.2579529,1.1311685,1.1930639,1.1311482,0.6794241,1.0030811,1.3272684,0.68940836,1.2830918,1.157249,0.8892355,1.1052557,0.8475802,0.81214285,1.2434027,0.5994234,0.82532597,1.0034031,0.8448785,0.9750223,1.2213469,1.3000399,1.133104,0.9171308,1.0854689,1.0300218,1.1495523,0.7746998,0.86482644,0.9174166,1.2369242,0.78815836,1.1819736,0.5399307,1.2732292,1.3082056,0.9798511,0.9093183,1.1971828,0.6962396,0.9534012,0.9320815,1.1838652,1.2675595,1.1556058,1.0799131,1.0339965,1.2100391,0.94531155,0.92548466,0.82879704,0.0,0.93128234,1.2007086,1.111854,0.880648,0.9060318,1.0154078,1.2172827,1.366154,1.1197181,1.0617149,1.1998929,0.8399895,1.0387498,1.1061854,0.50337017,1.037493,0.7876506,1.2497336,1.1016917,0.8821224,1.1174774,1.360803,1.2012373,0.6588345,0.87635875,1.2751527,1.0003239,1.0187151,1.259413,0.62653995,1.1499815,0.9159076,0.8555769,1.212931,0.8704736
paper,0.82876575,1.2845072,0.7014829,1.1427121,1.2590503,1.4285975,0.9056522,0.7926612,0.65663904,1.4247823,0.89725965,0.5773633,0.6609629,0.81517947,0.2519927,1.305154,1.0676944,0.7630602,1.2135494,1.2048159,1.2131598,1.2058599,0.8453589,0.86183393,0.9096979,1.0152217,1.3808929,1.060207,0.9806368,1.0372628,0.6697375,0.734782,1.3204277,0.7203786,1.406971,1.12243,1.0740016,0.8780936,1.1004633,0.68835235,1.1175436,0.9675834,0.8195405,1.2642928,0.91673225,0.7186798,1.1573642,1.393814,0.9570765,0.90706706,1.3992779,1.1262411,1.17288,0.94398403,0.8022149,1.171268,1.2340875,0.95293146,1.3555403,0.7876073,1.0849257,1.1004466,0.9887163,0.95247704,0.9931944,0.77086496,0.93399227,1.0288033,1.1734452,1.4504889,0.96691835,1.4307303,1.023842,1.0797172,1.2410822,0.9110361,0.75664395,0.93128234,0.0,1.1846093,1.1972986,0.8721033,0.93487346,1.1257408,1.0658503,1.1658933,0.99063796,0.8290602,1.3229082,0.7610371,1.2405152,0.84214664,0.7347297,1.235837,0.78105116,0.9556247,0.85716414,0.7684569,1.4232258,1.2256846,1.2493051,0.8145161,0.57399637,1.1663244,1.3827392,1.3690537,0.9094791,0.6811471,1.0062326,0.647715,1.0070035,1.4067897,1.0008868
pen,1.3607936,0.91779166,0.9735502,1.1165918,0.98091847,0.74638397,0.90462404,1.3550065,1.4085567,0.72678924,1.3537997,1.2861114,1.3374815,1.1946504,1.1142505,0.6440472,0.86228406,0.99586225,0.8039291,0.6316824,0.925897,0.6202194,1.3007209,0.85151875,1.259658,0.7787534,0.77718997,1.2686923,0.9950375,1.112133,1.4250376,1.0034568,0.3746431,1.3297938,0.578086,1.0533743,0.8693431,1.1005882,0.8805076,1.28454,1.0813402,1.1056552,1.3069437,0.51978713,1.23156,1.063789,0.8151944,0.51658416,1.1039238,1.2054776,0.6790652,0.6493416,0.7793665,1.2254287,0.7425381,0.9176651,0.9369459,1.0318978,0.6396341,1.3025204,0.4795981,0.9635247,1.1188134,1.2594417,0.90421784,1.1845751,1.2664733,1.061638,0.983867,0.5657573,0.8378486,0.64908946,1.0890697,1.1129445,0.78841794,1.0931821,1.2710305,1.2007086,1.1846093,0.0,0.14374447,1.152496,0.9613006,0.94635534,0.88418037,0.7269678,1.1730247,1.0335169,0.76910937,1.1311035,1.0332847,1.1090126,1.3614714,0.9057884,1.2079061,0.7064425,0.8459874,1.2138712,0.6280824,0.29448342,0.8613338,1.2742256,1.3049691,0.9210674,0.5875269,0.56626135,0.2867592,1.1165104,1.0388285,1.2205855,0.77750456,0.60308826,1.2698326
pencil,1.2507876,0.9385792,1.0102775,1.1205695,1.0438339,0.76438266,0.8468461,1.336776,1.3283324,0.7761866,1.3465236,1.2547102,1.2561773,1.1927241,1.1241479,0.8169993,0.9107455,1.0347055,0.80242956,0.7810794,0.9038173,0.7720392,1.3136988,0.8078517,1.2451715,0.8308143,0.7480252,1.210038,1.0492177,1.0418264,1.3408229,0.9387059,0.45283628,1.287069,0.73095465,1.0102165,0.874393,1.1635199,0.7864096,1.2337782,1.0902132,1.0805683,1.2018425,0.48414302,1.2643359,0.96672744,0.80874157,0.5082066,1.0593246,1.2489157,0.65686154,0.742869,0.82747465,1.1828554,0.74092996,0.8809118,0.9252842,1.0212528,0.69624037,1.2851998,0.46560442,1.0230147,1.1803485,1.2229135,1.0098735,1.091526,1.2600093,0.99007654,0.9506037,0.6362295,0.9124701,0.64957476,0.9900808,1.1064838,0.8325094,1.038398,1.2863097,1.111854,1.1972986,0.14374447,0.0,1.1147212,0.8877523,0.91143227,0.89791256,0.81710196,1.1339742,1.0796505,0.81744826,1.1835207,0.9423584,1.0774169,1.314611,0.9963917,1.2265384,0.711914,0.91924083,1.2347844,0.6530492,0.2910486,0.93915844,1.322551,1.2997327,0.9425468,0.5740489,0.53453434,0.4673261,1.0501133,1.0510261,1.3087621,0.83930826,0.69537586,1.2409496
pickle,0.7330734,0.7823362,0.97452986,0.8974855,1.1038642,0.859045,1.0217599,0.8631215,0.9811744,1.1688592,0.77153486,0.97709733,0.96354675,0.96411586,0.88996476,1.2509865,0.9673198,0.99868023,1.0023334,1.090715,1.1706085,1.1500502,0.92058927,0.90436196,1.0277187,1.1449037,1.175513,0.8936984,1.1623001,0.86058056,0.8848671,0.84446853,1.2180902,0.94731957,1.2231548,1.1291637,0.975768,1.0131801,1.0196117,0.93959254,0.9285995,1.1314356,0.9896441,0.98810655,0.9999154,0.83232343,0.8036262,1.2405283,0.52568364,1.0918108,1.2146816,0.94314575,0.87032795,1.0682328,0.83637244,1.1596177,1.1799133,1.138211,1.239985,1.0087095,1.0955632,1.1599752,0.9997237,0.6524868,1.1308959,0.74612343,0.8482455,0.97851896,0.9161014,1.2365551,1.0373361,1.1977977,0.9749923,0.86908555,1.129885,1.1777316,1.0180393,0.880648,0.8721033,1.152496,1.1147212,0.0,1.0082833,1.0798693,0.8742347,1.0196359,0.91419953,1.1221876,1.1655099,1.0116445,1.0339212,0.96115303,0.92545617,1.120866,1.0191064,1.0156986,1.0402625,1.0208933,1.1676749,1.1798937,1.0819434,0.9340206,0.8188728,0.9493408,1.1171733,1.1324809,1.0751667,0.90019834,0.85014343,0.96335316,1.0444661,1.3143427,1.013576
pillow,0.8242614,1.0669991,0.9567175,1.1490352,1.031631,0.9271196,0.88678294,1.1602088,0.8890307,0.9450738,0.86265135,1.1434382,0.64673084,1.1946226,0.91329104,0.91250014,0.89376825,0.938311,0.9721379,0.9850319,1.2136083,0.92058694,1.2249275,0.6773802,1.0623282,0.8592975,0.95439506,0.99767387,1.007044,0.8931297,0.86836153,0.8392407,0.8681984,1.0066754,0.946238,1.1819568,0.96571267,1.0154159,0.8420241,0.8474141,1.1624156,1.0482333,1.1451886,0.85135704,1.1511879,0.6931896,1.0387063,0.8750155,1.0549762,1.2505826,1.0423591,0.70388913,0.8829187,1.1975753,0.8793554,0.9069181,1.2166015,0.99000204,1.0216922,0.9738693,0.7357045,1.126725,1.0209568,0.8236111,0.7803508,0.81711674,1.1244671,1.0886296,1.1397005,1.0195229,0.76185304,0.9056169,0.98834735,1.1570299,0.7353246,0.8965526,1.164163,0.9060318,0.93487346,0.9613006,0.8877523,1.0082833,0.0,1.1847456,1.0812526,0.8715298,1.1831332,0.8498031,0.99127877,1.1660655,1.1301106,1.1505415,1.124543,0.98950666,1.0334879,0.8117939,0.89118075,1.1401001,0.8025283,0.8748139,1.1319797,1.1465431,1.1734724,0.98623115,0.91172594,0.91631615,0.9884794,0.69814074,1.1672606,0.95643765,0.9060079,1.0676749,1.0193914
pizza,0.7612305,1.073375,0.9612958,1.0737675,1.033212,1.0831152,0.9907907,0.94680953,1.041297,1.0853319,1.1158892,0.89214844,1.0584272,0.9861445,1.191742,1.1592683,1.1037432,1.1196854,0.46169198,1.2024562,0.8886234,1.1694449,1.0271817,0.9569644,0.7571582,1.1678671,1.0429528,1.0500028,1.0662119,0.9902325,1.0958947,0.5685141,1.08646,1.0607171,1.1711795,0.89698154,0.9889683,1.1542976,1.2528467,1.0480481,1.0471568,0.8996345,0.8081529,0.9748434,1.020407,0.97893435,1.140914,1.0742166,0.9947185,1.0558729,0.9985171,0.971843,1.1722791,0.9259117,0.9654283,1.034181,0.8825929,0.8747921,1.0861826,1.0097388,1.1254203,1.0602655,0.8196033,1.0492218,1.1585727,0.9612359,1.0864975,1.0147886,0.5427351,0.97820973,1.001193,1.0208858,0.9733455,1.050838,1.2469169,0.84059143,1.0210569,1.0154078,1.1257408,0.94635534,0.91143227,1.0798693,1.1847456,0.0,1.1357962,0.97987396,1.019088,1.1193595,0.9892181,1.0625132,0.9621684,1.0207477,1.0001222,1.0652623,0.989686,1.0976636,1.1726352,0.9823469,1.0397568,1.0256433,1.0369585,0.93940985,0.9775108,0.9785112,1.05759,0.9341218,1.0167603,1.1082146,1.1010994,1.2674131,1.2094579,1.0088732,1.021756
plant,1.2373406,0.8607631,1.2385852,1.01236,1.0614256,0.8643393,0.870277,1.0817927,1.1833607,0.9385762,1.0516938,1.0736401,1.1753923,1.1067972,1.0247265,0.8221544,0.6381525,0.8995873,1.0766577,0.7788487,0.85584915,0.7076349,1.1420254,1.0317183,1.1619234,0.6854825,1.0121896,1.0878363,0.83693296,1.1030568,1.1287377,1.1803358,0.8419856,1.060866,0.7862381,0.94429696,0.8475815,0.7663102,1.0248182,0.9614062,1.0350139,1.10647,1.1865635,1.0902286,1.1477885,1.1491228,0.41984677,0.83692056,0.9944028,1.0596256,1.1043489,1.0338774,1.0072024,1.060514,1.1646686,0.9718564,0.8762243,1.1468652,0.9494179,1.2895497,0.7641983,0.6676322,1.0523311,1.2275083,0.8750692,1.1948932,0.7597792,1.1452477,1.1836468,1.0171168,0.81627923,1.0392051,1.1285892,1.0267781,0.78461874,1.0893351,1.1126189,1.2172827,1.0658503,0.88418037,0.89791256,0.8742347,1.0812526,1.1357962,0.0,0.9171289,1.0947053,0.812633,0.89446586,0.8744165,0.9756934,0.89063275,1.2218289,0.84321064,1.2369243,0.75286305,0.80239207,1.0865694,1.0303521,0.7004401,0.92620766,1.0610868,1.1433197,1.0159662,1.127429,1.1255324,0.88802916,0.93561774,0.92845523,0.9896309,0.7591075,1.0360578,0.8006189
plate,1.355643,0.7831757,1.3281,0.99578744,0.7045835,0.673425,0.86753726,1.3370776,1.3603675,0.5589947,1.1316878,1.3031849,1.3069134,1.1144979,1.1048248,0.5682116,0.4801963,0.95424736,0.58745754,0.6154964,0.893451,0.6559691,1.207737,1.1025958,1.4267962,0.7657478,0.52684486,0.9699531,0.8984438,0.79636997,1.3794419,1.0133605,0.5320796,1.4275849,0.42011046,0.9438887,0.96566635,0.91739523,0.76080394,1.2175866,0.97218573,1.3910097,1.380422,0.943983,1.1024704,1.1699423,0.78333116,0.50400525,1.0790637,1.1656983,0.81284696,0.6723977,0.72047526,1.318439,1.285461,0.9543524,0.90228456,1.320876,0.65628064,1.4711771,0.6046868,0.8804196,1.0664898,1.1106656,0.8313423,1.3665189,1.0828227,1.2480222,0.8013901,0.62937623,0.64929974,0.75838566,1.2385601,1.0446322,0.617492,1.1951648,1.3656696,1.366154,1.1658933,0.7269678,0.81710196,1.0196359,0.8715298,0.97987396,0.9171289,0.0,1.1933074,0.8537224,0.4372493,1.1431092,0.91650844,1.1835145,1.4055002,0.71493393,1.4078416,0.70906,0.6995597,1.3197672,0.5898982,0.51122713,0.7115727,1.2096667,1.2199713,0.59234536,0.7852724,0.85137224,0.8289474,1.14386,0.9985505,1.0115812,0.9108144,0.6636313,1.2975267
pumpkin,1.0118345,0.64503884,0.9575153,0.22013867,0.8312967,1.0611017,1.1523368,1.0488613,1.016945,1.225363,1.0405031,0.876537,1.0755866,1.0355412,0.96493113,1.1547766,1.1352931,0.98623985,1.0503477,1.1092696,1.0374871,1.1286764,1.0826254,1.0108268,1.085485,1.2439034,1.0916492,0.8900357,1.0602701,0.7855825,1.0330775,0.9936559,1.2044495,1.1184986,1.2005137,0.9548857,1.106449,0.99972945,1.0909232,1.0683535,0.187513,1.1507409,0.94089556,1.0730313,1.0830462,0.9979986,1.108483,1.230633,0.67905974,1.1500499,1.1386758,1.2088611,1.0896447,0.98733425,0.9977074,1.1119282,0.935011,1.0762973,1.1778873,1.0574437,1.1495209,0.8926962,1.1341219,0.70088136,1.0648906,1.052487,1.0553463,0.92817366,0.71051663,1.0497463,1.1369631,1.1277899,0.95175964,0.17183828,1.2783895,1.1315278,1.0004554,1.1197181,0.99063796,1.1730247,1.1339742,0.91419953,1.1831332,1.019088,1.0947053,1.1933074,0.0,1.1217766,1.2080051,1.0108441,0.98045456,0.99474263,1.0612308,1.1563983,0.97842085,1.0504057,1.2176074,1.0646256,1.2730725,1.1826761,0.88703966,1.1557578,0.84565187,0.8677627,1.1586864,1.1692922,1.0009241,1.2180405,0.5968461,1.0759283,1.1272864,1.1902344,1.0545778
purse,1.1440936,1.0542151,1.1799395,1.0900971,1.0644437,1.0877069,0.7530189,1.1309525,1.0525781,0.96973956,1.0076338,1.0486577,0.8646462,1.1499399,0.7255398,0.83060783,0.6724899,0.63011837,0.9959475,0.75287277,0.8184627,0.743246,1.153866,1.0716863,1.1330009,0.7113025,1.047165,0.9778521,0.78317225,0.99070156,1.0761003,0.99452096,0.9995573,1.0028471,0.83637965,0.83180165,0.733485,0.8695041,0.9208501,0.8948872,1.0550455,1.1139026,1.1591004,1.2428391,1.0838768,1.0520886,0.916165,1.0535254,1.086408,1.0598615,1.2279074,0.9050893,0.9160643,1.1962985,1.1993448,0.9450224,0.8294372,1.0798428,1.0479308,1.1682754,0.86591244,0.8486856,0.9241319,1.2240742,0.8374072,1.1060103,0.9883995,1.2028253,1.2276136,1.0768914,0.7405691,1.1080635,1.1277926,1.044838,0.74041116,0.9249936,1.0927439,1.0617149,0.8290602,1.0335169,1.0796505,1.1221876,0.8498031,1.1193595,0.812633,0.8537224,1.1217766,0.0,0.7109028,0.96626586,0.93506825,0.9461349,1.1125128,0.8843834,1.1429402,0.8048828,0.83010644,1.1694016,1.0059018,0.9154124,1.0354648,1.0864992,1.1889757,0.91705954,1.1648418,1.1582152,1.0054221,0.7817423,1.0442597,0.81229997,0.6878017,1.124633,1.0342718
radio,1.3364677,0.7799239,1.3404083,1.0320774,0.77513343,0.70090234,0.85772806,1.3235106,1.3839724,0.5779061,1.1347446,1.3394552,1.3428102,1.1740228,1.2131188,0.63130367,0.5750041,0.9571367,0.6832093,0.60212445,0.82622457,0.6311061,1.2659245,1.0918691,1.2574613,0.7473873,0.6272091,0.81990516,0.86890924,0.8461678,1.3498986,1.0594718,0.6074128,1.3886162,0.45959598,0.8524698,0.93921757,1.04715,0.85104185,1.253938,1.037757,1.2356827,1.2204695,0.98393595,1.1586622,1.2069298,0.8458045,0.61459124,1.0963116,1.180491,0.7813063,0.78687453,0.7390438,1.2456422,1.3162117,0.90815383,0.7902285,1.1671134,0.6994164,1.3747573,0.6797752,0.93262136,0.9045364,1.2259464,0.91500366,1.3567624,1.0093852,1.2301089,0.90423155,0.63239527,0.83419055,0.7616657,1.1809132,1.1030475,0.64496213,1.1100848,1.2934508,1.1998929,1.3229082,0.76910937,0.81744826,1.1655099,0.99127877,0.9892181,0.89446586,0.4372493,1.2080051,0.7109028,0.0,1.1948776,0.88587034,1.1290693,1.3951701,0.6385095,1.3511574,0.7563653,0.832554,1.3501002,0.61254156,0.5922333,0.70760745,1.262844,1.3234124,0.6460501,0.7604862,0.8517405,0.97008467,1.2522557,0.98438,1.1461741,0.74836946,0.641081,1.2144122
refrigerator,0.9460507,1.2443881,0.9521229,1.1923983,1.2503299,1.30123,0.95487344,0.8885357,0.84351075,1.3001144,0.9804356,0.9493115,0.942181,0.99843913,0.7462689,1.0759234,1.0312446,0.86572826,1.1510174,1.070588,1.034985,0.9932688,0.9386879,1.107171,1.0495209,0.83772725,1.3002023,1.0981995,1.0076275,1.2076768,0.7809325,1.0182004,1.2992086,0.6608562,1.1651485,0.9511705,0.796329,0.64334595,1.0557072,0.9592476,1.1278923,0.96496654,0.8543569,1.1987519,1.0344988,1.0698944,1.1815635,1.300674,1.0758682,0.85075974,1.2182617,1.0943278,1.3176259,0.6308025,0.87911475,0.8685155,1.0090535,1.0903859,1.1640188,0.8017919,1.1585609,1.0037088,0.968671,1.0404772,1.0055134,0.91462183,0.8451344,0.99279565,1.0714146,1.2944636,1.0423495,1.200205,1.0511509,1.1148635,0.93741477,1.149862,0.70916843,0.8399895,0.7610371,1.1311035,1.1835207,1.0116445,1.1660655,1.0625132,0.8744165,1.1431092,1.0108441,0.96626586,1.1948776,0.0,1.0102035,1.0024691,0.6575396,0.9872249,0.83328843,1.0568827,0.9651312,0.8193251,1.3639264,1.1713265,1.1290538,0.7069589,0.78084886,1.2817609,1.2340016,1.2401515,0.94666487,0.85943854,1.0775352,0.83053935,0.87104416,1.2469494,0.7749386
rooster,0.993009,0.87250644,1.2940325,0.9573597,1.0094934,0.823638,1.1276761,1.1319103,1.1591282,0.79443854,1.051791,0.9946085,1.1956455,1.1265367,1.1022123,1.0492138,1.086683,1.0033937,0.8922496,1.0449392,0.2841997,1.0844799,1.1148853,1.1446793,1.0496505,1.1327882,0.8774106,1.1278454,1.1950655,1.0372891,1.0944183,1.1078273,0.9737355,1.1674256,1.0272344,0.32951415,0.71866196,1.0961639,0.9468833,1.0456105,0.9770362,1.1172302,0.8962855,1.0734098,1.059068,1.1317255,0.89727795,0.9320617,0.81486475,1.067723,0.8775436,1.012428,1.0149021,0.9706813,1.267595,0.88854986,0.4167155,1.14135,0.89079714,1.2604823,1.0100281,1.0356611,1.1044775,1.0621212,1.1901354,1.1565835,0.9888166,1.0851165,0.8101828,0.8756032,0.82950205,0.94937545,1.105899,0.9736837,0.94393116,1.0769265,1.1702111,1.0387498,1.2405152,1.0332847,0.9423584,1.0339212,1.1301106,0.9621684,0.9756934,0.91650844,0.98045456,0.93506825,0.88587034,1.0102035,0.0,0.9223124,1.1321065,0.9067797,1.2627864,1.015529,1.2610581,1.2308178,0.79565835,1.0004611,0.86733866,1.1550702,1.188417,0.9556017,0.94609725,0.90622956,1.1523341,0.9948053,0.8625521,1.3167546,0.97697794,0.90342855,1.0998558
scissors,0.94258225,1.1221805,0.9022315,1.0184156,1.0659429,1.1543416,0.98410225,0.819054,0.93171036,1.1118201,1.0299032,0.799592,0.9823858,0.98694474,0.92174566,1.1686583,1.0307821,1.038917,1.1921128,1.1174822,0.9008805,1.1107955,0.98884773,0.9602281,0.7923423,1.0856345,1.1030079,1.052084,0.9469305,1.0032613,0.9540054,0.98622036,1.0479679,0.8925366,1.190492,0.9018887,0.9707664,1.0127058,1.236532,0.9043077,1.0456474,0.9780943,0.92260516,1.2191367,0.9976249,0.9056221,0.8883622,1.0409315,0.916957,0.97130424,1.1638812,1.1145298,1.0753853,0.90977174,1.0540327,1.0335832,0.94042796,0.9835291,1.1112381,0.95553136,1.0031673,0.7818823,0.9907955,1.0306473,1.0885259,0.8730185,0.93472093,1.1042373,1.0858964,1.1855667,1.0204908,1.2085116,1.0298423,1.0341754,1.2240007,0.9691753,0.9865539,1.1061854,0.84214664,1.1090126,1.0774169,0.96115303,1.1505415,1.0207477,0.89063275,1.1835145,0.99474263,0.9461349,1.1290693,1.0024691,0.9223124,0.0,0.9376996,1.0464551,0.95585185,0.9734047,0.96887875,0.8944219,1.150583,1.0090187,1.1494032,1.0317183,0.8992611,1.0778327,1.1979514,1.2623838,0.92994326,0.942232,0.9530856,0.89714754,0.8607583,1.1019714,0.8511362
shirt,0.6217934,1.3623568,0.65901077,1.2399433,1.2645352,1.3277118,1.1824465,0.57528716,0.68807036,1.2984859,0.7260083,0.7839589,0.70040405,0.94220895,0.9051187,1.3698289,1.3211575,1.1292231,1.2294143,1.3924022,1.2196327,1.3708873,0.7316355,1.0105001,0.71822643,1.2025805,1.3084757,1.0537655,1.1862271,1.1812751,0.6572643,0.941589,1.4895427,0.6277359,1.4595109,1.0936899,0.91630495,0.9965305,1.1367286,0.829648,1.2478935,0.8017479,0.6318717,1.1671495,0.77170515,0.844513,1.2075412,1.3983185,1.0725349,0.7831396,1.163873,1.1888912,1.2679458,0.49767,0.7922544,0.9553875,1.2459426,0.90751123,1.3486723,0.3769169,1.4163616,1.2318953,0.97642446,0.8401566,1.2086301,0.581518,0.7909065,0.8492355,1.1602014,1.3980573,1.2419304,1.1758289,0.96703255,1.2190514,1.2043488,1.0344167,0.55395985,0.50337017,0.7347297,1.3614714,1.314611,0.92545617,1.124543,1.0001222,1.2218289,1.4055002,1.0612308,1.1125128,1.3951701,0.6575396,1.1321065,0.9376996,0.0,1.2183174,0.62206316,1.337876,1.0580225,0.7176754,1.3551571,1.4723988,1.2776136,0.3895166,0.6670754,1.426097,1.1888661,1.2150502,1.240915,0.724192,1.190818,0.86508787,1.0613637,1.3294992,0.7527978
shoe,1.1660597,0.89169437,1.3060834,1.0195642,0.8801715,0.87553877,0.9947807,1.1386381,1.1439251,0.73595744,1.1404552,1.3003042,1.1459258,1.0384042,1.1861932,0.76756865,0.7813971,0.9309871,0.8699517,0.74372876,0.78665274,0.67508924,1.1030487,1.1750284,1.1535761,0.79696625,0.89208126,1.102034,0.94106936,1.1276827,1.1529319,1.1873294,0.7800045,1.1719629,0.70703936,0.8268197,0.89977443,0.97378063,0.99664325,1.0344374,0.9962464,1.1254139,1.1133454,0.9656161,1.0864195,1.2177899,0.95315444,0.8094079,1.1108158,1.0933049,0.93853605,0.75092226,0.8445691,1.1156006,1.1596435,0.82473594,0.7799004,1.2285146,0.87290996,1.1014655,0.90287757,0.9645838,1.121355,1.1305554,0.99044234,1.2046325,0.9759053,1.2515018,1.0051113,0.8085326,0.7576313,0.8983223,1.1603783,1.0158154,0.79205364,1.179049,1.1808522,1.037493,1.235837,0.9057884,0.9963917,1.120866,0.98950666,1.0652623,0.84321064,0.71493393,1.1563983,0.8843834,0.6385095,0.9872249,0.9067797,1.0464551,1.2183174,0.0,1.136175,0.9319528,0.8305556,1.1915355,0.7599564,0.8144867,0.87687886,1.0877823,1.1871347,0.85159695,0.90352654,0.98127127,0.9384096,1.0771296,1.0084336,0.9895388,0.79410416,0.7757391,1.1106472
