,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jeans,knife,ladder,lamp,leg,melon,milk,mitten,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
orange,1.0523123,0.6749901,1.2422385,0.490628,0.7362502,0.7189752,1.0887868,1.1834505,1.2576847,0.9281013,1.3643162,1.2212397,0.91348875,1.2913711,1.0199097,0.9705801,0.8086845,0.6069153,1.1286021,0.6056447,0.9939664,0.90929973,0.9383715,0.7998667,1.0540963,1.2353592,0.81728876,1.27955,1.2486727,1.0595543,1.2770299,0.7428539,1.2528,0.7477689,1.3023497,0.8710478,1.3206743,1.1909534,1.2294617,0.99165624,0.32201976,1.1136953,0.86195785,0.77889216,0.91252416,0.9644243,0.8382523,1.1183094,0.8750636,1.2940552,0.7259809,1.2326657,1.152643,0.7823373,0.7846185,1.3094823,1.2506407,1.0016441,1.2442005,1.0024573,0.99600154,0.41567636,1.0353979,1.2914873,0.72027457,0.9164537,0.771049,1.0267287,0.0,1.1074029,1.1850071,1.273642,1.280751,0.91365486,0.8195041,0.8439122,0.551867,0.99788487,1.2020513,1.0409836,0.61417085,1.127861,0.8223642,1.301995,1.2709106,0.9927035,1.2785358,1.114409,1.2123759,0.9367896,1.1634133,0.7708315,1.1687415,1.103667,0.9268284,1.0066828,0.8443796,1.0771917,1.2958981,1.2836318,0.620615,0.82325476,1.0471107,1.137707,0.8150977,0.67626095,1.1526623,1.2384206,0.9103814,1.0536349
oven,1.1396558,1.1968544,0.92845345,1.3027091,1.1898445,1.3098588,0.8658731,0.92152655,0.9068493,0.9175998,0.6214204,0.96716106,0.9955204,1.0286785,0.9242772,0.95155585,0.87187123,0.98689044,0.8205463,1.0922129,0.9056972,0.8594603,0.9791445,0.87683326,0.980339,0.5432405,1.1546595,0.7302164,1.1370476,0.9357244,0.6855725,1.1301467,0.6158923,0.85818976,0.9749918,1.0540136,0.7387432,0.60489875,0.9901813,1.0323384,1.2827744,1.0065893,1.1082289,1.0498794,1.137798,1.0985591,1.2260143,0.8580299,1.0560747,1.0698762,1.2814088,1.0813878,1.1026675,1.111272,1.1872338,1.1875035,0.90903753,1.0607456,0.6386876,1.1777763,0.9303887,0.96278477,0.8922217,1.009355,1.168832,1.1023155,1.1248865,1.0412071,1.1074029,0.0,1.1390527,1.0128459,0.8900809,0.97552943,1.0715522,1.1397399,1.1669507,0.8570229,1.0534387,0.975304,0.9575129,0.8735615,1.0369145,0.37135178,1.1308422,1.201081,1.046735,1.0389957,1.0010887,1.0293378,0.9355324,1.0607095,1.0234834,0.9674724,1.0663258,1.004964,1.0609455,0.91426605,0.9351747,0.83541054,1.1947998,1.1393206,0.9797878,1.101175,1.0834858,1.2374531,1.0261351,0.8252986,0.99155676,0.9912897
owl,1.2296473,1.1630354,0.7002641,1.133362,1.098806,1.166219,1.0529913,0.8115735,0.67373747,1.1598605,0.98477674,0.8140203,1.141628,0.40325958,0.91640276,1.2417265,1.2521968,1.2306167,1.0269363,1.1162987,1.0445793,1.2040782,1.0212818,1.2803944,0.62638265,1.029067,1.215749,0.94368106,0.696494,1.0687213,0.8886486,1.2996378,0.96124554,1.2754234,0.5540498,1.0948298,0.9837967,1.0172212,0.9120894,1.0015553,1.1014506,1.0394744,1.0945481,1.1884767,1.1787212,1.0847888,1.2022473,1.1212907,1.2293825,0.86091006,1.1768222,0.9141281,1.0226102,1.1002904,1.1585724,0.56699055,0.5903735,1.0695338,0.9796389,1.0387313,1.0839643,1.2039659,0.98484975,0.8162223,1.1915585,0.96965593,1.1778234,1.0919527,1.1850071,1.1390527,0.0,0.5663303,0.76365596,1.1379173,1.2489268,1.2666304,1.2702192,0.92480636,0.7339467,1.1126511,1.2524248,1.1044714,1.1628406,1.0115769,0.7138686,1.1618347,0.62849164,1.0284907,0.7498507,1.0718497,0.8204875,1.2392074,0.91966635,0.8756235,1.1291347,1.0965015,1.1974585,1.1118219,0.7606039,0.8430697,1.1484672,1.1195577,1.0776303,1.078272,1.055846,1.2735817,0.9854548,1.0240809,1.1872233,0.97512084
pajamas,1.0869889,1.1643668,0.31540185,1.3141148,1.2455585,1.2352382,1.2303537,0.78615355,0.4914022,1.2910337,0.7421863,0.80541205,1.2374742,0.39181077,0.7414427,1.3874633,1.5130289,1.4986871,1.038826,1.3197805,1.0828875,1.4258332,0.9821255,1.2520518,0.77830344,0.8530557,1.395201,0.7120201,0.34464276,0.854209,0.6231741,1.5029416,0.8440505,1.538341,0.49504846,1.077695,0.7044004,1.0487996,0.61426073,1.0723429,1.2660767,0.7421112,1.1450313,1.2838242,1.3679596,1.2944492,1.3254249,1.006926,1.41558,0.7986163,1.3936093,0.66034585,0.94412327,1.3845729,1.2789819,0.26643348,0.24037862,1.3471123,0.78345823,1.2895967,1.3032283,1.3402581,1.0012076,0.6904032,1.2830902,1.2571195,1.4206125,0.9802778,1.273642,1.0128459,0.5663303,0.0,0.30377173,1.3067609,1.4765071,1.4969119,1.4481015,1.0052768,0.706815,1.2682823,1.5306218,0.9461034,1.2523048,0.7716586,0.70895135,1.2759523,0.291178,1.1382064,0.4517944,1.2190771,0.8891905,1.4302822,0.70994115,0.9135897,1.3686233,0.9692334,1.3903382,1.1125587,0.17830306,0.6089009,1.3448801,1.2140555,1.0195892,1.0523138,1.4581381,1.3931539,0.9082135,1.0817914,1.3683386,1.1668346
pants,1.147252,1.1042368,0.37052274,1.3967782,1.3042501,1.1929057,1.2853589,0.9094671,0.6971564,1.105658,0.70434815,0.7274445,1.201628,0.57724804,0.8305479,1.3339236,1.4522753,1.4876411,1.0042446,1.3657773,1.1275156,1.3614924,1.1157713,1.0443943,0.7806321,0.66854835,1.4644353,0.7984553,0.46255922,0.83410656,0.598302,1.46912,0.92797095,1.4618645,0.5453539,0.9981369,0.8076381,1.1202953,0.65957665,0.92780346,1.3531003,0.75533044,0.9503226,1.1824204,1.4097474,1.3620756,1.3085859,0.9671635,1.3522053,0.6342404,1.4361134,0.7255825,0.75274026,1.3112397,1.2992702,0.46963406,0.122122526,1.3991612,0.68776786,1.3710898,1.1032395,1.257766,1.0431767,0.56674546,1.278242,1.2432464,1.3431494,0.9116805,1.280751,0.8900809,0.76365596,0.30377173,0.0,1.1323395,1.4223573,1.4180286,1.3464301,0.85741115,0.7801667,1.267077,1.5025524,0.77943385,1.2053827,0.8190026,0.7715225,1.316396,0.41132784,1.0878603,0.2832551,1.1516722,0.9975587,1.4108284,0.8644767,0.69155335,1.4197719,0.98116267,1.4334562,1.123966,0.3239643,0.67279214,1.3823775,1.0309385,1.0391281,1.0156037,1.2921638,1.4523845,1.0013602,1.1408697,1.190475,1.1893508
paper,0.8476479,1.1161152,1.2028239,1.1320915,1.0877318,0.9869802,0.84538543,0.88504845,1.1945217,0.80553514,1.0822785,0.8031603,0.8159981,1.2105693,1.0650858,0.46385825,0.9077091,0.91031504,0.74150467,0.8441997,0.9379223,0.88886136,1.0891178,0.83407086,1.1653992,1.005912,1.1287197,1.180685,1.2950461,0.6947901,0.99504536,0.8598295,0.972548,0.92658806,1.2896268,1.0824436,1.135361,0.82537913,1.1223868,0.9767826,1.0756816,1.187612,0.92251617,0.7656175,1.1073505,0.9047816,0.7833009,0.970804,1.0700678,1.0300485,1.0510604,1.2403221,0.97273326,1.0804733,0.91773635,1.255646,1.216429,0.7786037,1.055642,1.0235902,0.7742198,0.8390815,0.8666215,1.1152656,1.0797296,0.7221364,0.8623954,1.1082686,0.91365486,0.97552943,1.1379173,1.3067609,1.1323395,0.0,0.76548755,0.79898036,0.8265053,0.75863695,1.2529778,1.0451487,0.87375396,1.0292034,1.0670778,1.103287,1.191339,0.8993454,1.2699591,0.9830948,1.1135788,0.8718709,0.9728515,1.0123312,1.0835403,0.87458444,0.86562693,1.1187356,1.0927856,0.9905993,1.269703,1.1312315,1.1291684,0.93884814,0.8733876,0.7382914,0.49210387,1.093224,1.0533444,0.9383323,1.0205164,0.90427375
pen,0.9865409,1.018556,1.3884152,0.7625495,0.8983627,0.7606135,1.1791193,1.1784399,1.4653466,0.39894444,1.4664937,1.2999899,0.47384655,1.496146,1.2981293,0.81921184,0.5366512,0.6194229,1.3769679,0.84738636,1.1959746,0.35876894,0.853683,0.6541338,0.96054506,1.2077274,0.57325876,1.3892806,1.338733,1.0395536,1.393611,0.18694043,1.4328063,0.5518641,1.4671664,0.9884979,1.3116314,1.1797434,1.3390346,0.96700287,0.78141195,1.2732742,0.81009954,0.38229346,0.7282642,0.8555531,0.7663993,1.061703,0.3023669,1.3588804,0.7689076,1.3504518,1.2472919,0.56721115,0.64309883,1.3901658,1.44716,0.7306676,1.2458864,0.80249894,0.8865385,0.7480252,1.1392934,1.5042502,0.43730003,1.0001541,0.39840734,1.1364124,0.8195041,1.0715522,1.2489268,1.4765071,1.4223573,0.76548755,0.0,0.108071685,0.36786014,0.85610193,1.3695362,0.9124869,0.49018228,1.1142623,0.7463389,1.2806383,1.3431803,0.8469125,1.486248,1.1534824,1.3533759,0.9605592,1.3123562,0.31227028,1.2979527,1.1650759,0.73593587,1.2162818,0.36145115,1.1175392,1.5068341,1.5579908,0.78080106,0.69170475,1.0714387,1.2644033,0.559137,0.6262668,1.3626223,1.0551339,0.50864196,0.8107246
pencil,1.0034863,0.9878189,1.3631746,0.72195065,0.854561,0.7423209,1.1757574,1.2696228,1.5186446,0.4332356,1.512022,1.2705927,0.49201608,1.5353652,1.3642151,0.87765634,0.560074,0.6989404,1.4329216,0.8854913,1.2007312,0.39936996,0.9661114,0.6255564,1.0682522,1.2500496,0.54647934,1.4120466,1.3105955,1.0892192,1.4774579,0.1912893,1.484245,0.58532196,1.4888045,0.96524334,1.3138988,1.2257812,1.3363068,0.86055315,0.7800925,1.205935,0.68561995,0.47561705,0.7537043,0.749774,0.8259744,1.1037596,0.24173617,1.3258629,0.72489405,1.286946,1.1463541,0.5326471,0.62598187,1.3821285,1.4374076,0.66754586,1.2149545,0.7835923,0.8183037,0.7579485,1.1819314,1.5102,0.3682829,0.9883305,0.42220855,1.0278608,0.8439122,1.1397399,1.2666304,1.4969119,1.4180286,0.79898036,0.108071685,0.0,0.40931058,0.9290682,1.3777301,0.94364214,0.59463215,1.1841985,0.6749187,1.3097506,1.3343823,0.7500286,1.4723297,1.1567298,1.3381,0.9042916,1.3777273,0.31510198,1.3467703,1.1476645,0.67866635,1.1633499,0.41702783,1.1261827,1.5059719,1.6140971,0.7861719,0.58587444,0.98452586,1.1921254,0.56766593,0.6515679,1.4034555,1.0466045,0.43350184,0.82295257
pickle,0.9916716,0.78616834,1.3530338,0.7075236,0.88575137,0.46692252,1.2090433,1.1975515,1.4365261,0.54389477,1.4085383,1.2424248,0.69221634,1.4589627,1.2386901,0.93085676,0.71316355,0.6301466,1.3655183,0.64159775,1.1947497,0.6742457,0.9255518,0.62675095,1.0595474,1.2702904,0.7137773,1.3601592,1.3362329,1.1123139,1.3974236,0.39052773,1.3840137,0.73189056,1.3889914,0.9384201,1.3760563,1.2437363,1.2517092,0.9116039,0.6980415,1.1735096,0.70042914,0.50488997,0.81690264,0.9594544,0.71067554,1.0386348,0.41338187,1.3057953,0.7779689,1.2871192,1.1121788,0.6233635,0.6826332,1.4026046,1.3794057,0.9223026,1.3182628,0.9093149,0.8962573,0.53048897,1.156813,1.3869023,0.46942055,1.0158622,0.48728895,1.0034395,0.551867,1.1669507,1.2702192,1.4481015,1.3464301,0.8265053,0.36786014,0.40931058,0.0,0.9081929,1.2481048,0.93496513,0.5262154,1.0771507,0.76737463,1.3733108,1.3201544,0.89969003,1.4296672,1.118263,1.29589,0.94847715,1.2321403,0.42606235,1.217034,1.1743599,0.8761552,1.1374545,0.4920991,1.0801558,1.4740148,1.477681,0.7446251,0.6114594,1.0873586,1.2964709,0.6924647,0.6471571,1.2916517,1.2601254,0.5748657,1.0430245
pillow,1.1988266,1.0589793,0.8693491,1.1896089,0.9111933,1.1192285,0.9905305,0.84385264,0.85435665,0.7986245,0.92755806,0.87948054,0.94247013,0.7242427,1.0624421,1.115902,1.011703,0.981521,1.0924653,0.91663134,1.1426586,0.8547045,1.213954,0.79995537,0.7762469,0.84420633,1.1907566,1.0460873,1.1044782,1.1066262,0.79668206,1.0226895,0.89617455,0.9632523,0.91185343,0.8556689,0.9075125,0.8802822,1.0941768,1.0337858,1.1359782,1.123448,0.8999592,0.758708,1.1421001,1.1719077,1.2043128,1.0808629,0.9649313,1.0281246,1.286817,1.128006,0.9336146,0.97024375,1.1369932,1.1051701,0.8318017,1.0479589,0.81252635,1.1358349,0.7822673,0.8115159,1.0667201,0.927626,1.0293075,0.92896914,0.98921883,0.9382759,0.99788487,0.8570229,0.92480636,1.0052768,0.85741115,0.75863695,0.85610193,0.9290682,0.9081929,0.0,1.0076647,1.0015243,0.90451306,1.0136325,0.9885897,0.8622228,1.0666959,1.294821,1.0483161,1.1234536,0.96170825,0.968038,0.9260755,1.0134305,1.0717828,0.8405234,1.0723001,1.1578683,0.948276,1.0458914,1.0725985,1.0594078,1.2839469,0.8918236,1.1001047,1.1434869,0.6336814,1.3125768,1.3318541,0.9941178,1.0319463,0.83789265
pizza,1.0043151,1.0284997,0.77912605,1.189356,1.164917,1.0389979,0.9115138,0.92956555,0.52530307,1.2589847,0.7821225,0.74715394,1.3304042,0.48041064,0.9003299,1.1803675,1.3201239,1.2480519,0.80176693,1.1618762,0.9951383,1.362519,1.0619426,1.1853671,0.9012315,0.94114286,1.2332829,0.80221653,0.74920493,0.9586229,0.7250422,1.347969,0.80888367,1.3325281,0.64280057,1.0695544,0.8936095,0.96795034,0.80030787,1.1858404,1.1515301,0.9404701,1.204119,1.2236766,1.0911046,1.2129822,1.1084604,0.9790608,1.3145924,0.75063694,1.1357083,0.85815763,0.9199321,1.3121206,1.2486788,0.7310875,0.7391592,1.2601206,0.89138985,1.1926072,1.124259,1.2003336,0.9673439,0.6732963,1.2994971,1.1549196,1.2745926,1.0068818,1.2020513,1.0534387,0.7339467,0.706815,0.7801667,1.2529778,1.3695362,1.3777301,1.2481048,1.0076647,0.0,1.032726,1.2819736,0.90555716,1.2127291,0.9326027,0.6840371,1.0375395,0.6785027,0.87496287,0.83164525,1.0723057,0.9130001,1.3138103,0.85073113,1.1016107,1.2535522,1.0362827,1.2527066,0.92719555,0.7101103,0.649511,1.1321833,1.2652826,0.89597285,0.88895243,1.3487614,1.1646998,0.70950323,0.9331062,1.27055,1.1324904
plant,0.7865803,0.92451686,1.2113698,1.0203837,0.85606194,0.8806023,0.78878105,1.0884904,1.1865432,1.1571134,0.96632993,1.0857201,1.0570521,1.1598244,1.1611193,0.89714766,0.8244544,0.88249725,0.9675628,0.94015396,0.9630413,0.9191145,1.0478657,1.1139451,1.1457793,1.0754128,0.75776047,0.93175983,1.1758503,1.1684312,1.091162,0.9764018,0.8637462,0.82544553,1.1024693,0.89695096,0.9933542,0.96204215,1.0876353,1.1307387,1.0308102,1.1412666,1.1893758,1.0647278,0.41523772,0.9438509,0.68340224,0.93039966,1.0177754,1.1284084,0.81426877,1.0486882,1.1192007,0.92872703,0.82378066,1.1627518,1.2536402,0.94685334,0.9740511,0.8072139,0.9487517,0.9794916,0.92833704,1.1211157,1.1074145,1.0065231,0.9813008,0.99115324,1.0409836,0.975304,1.1126511,1.2682823,1.267077,1.0451487,0.9124869,0.94364214,0.93496513,1.0015243,1.032726,0.0,0.95510244,0.9945313,0.9028157,1.0015839,0.8801436,0.919527,1.0982665,0.84264004,1.3093144,1.0378239,1.0707482,0.9982117,1.0512893,1.2168812,0.9366811,1.0552518,0.9171911,0.6830988,1.1372535,1.1100785,0.9862875,1.1820035,1.1867828,1.0922787,0.96382326,0.90229744,1.0391996,0.7655649,1.0808548,0.86753774
plate,1.1272334,0.92653465,1.5237412,0.69549966,0.8625731,0.65828395,0.93791664,1.1291763,1.3355742,0.81665933,1.3348439,1.2838907,0.7964023,1.4119668,1.0627649,0.701372,0.4718306,0.1932953,1.1374593,0.3570571,1.0668993,0.55728275,0.8938667,0.920523,1.1519283,1.118047,0.64323765,1.2938063,1.4514061,1.2443557,1.3431649,0.5523745,1.2051215,0.41318578,1.5435128,0.9106589,1.2986274,0.9721171,1.2943175,1.1930577,0.6781975,1.3005753,1.0491798,0.7562736,0.6749436,0.58022195,0.8947065,1.0942718,0.6558517,1.4833117,0.8110868,1.4657867,1.3133106,0.66926754,0.80550796,1.4734297,1.5268619,0.55467486,1.3178548,0.8764737,0.9118834,0.49350727,1.088987,1.478298,0.7623181,0.59432983,0.7401271,1.2148807,0.61417085,0.9575129,1.2524248,1.5306218,1.5025524,0.87375396,0.49018228,0.59463215,0.5262154,0.90451306,1.2819736,0.95510244,0.0,1.1215377,0.74170077,1.2089863,1.412824,0.9065031,1.5052747,1.009192,1.3370526,0.6279102,1.0412539,0.55378413,1.2318347,1.1663277,0.46157837,1.0933347,0.48682803,1.0104681,1.5167137,1.2333432,0.66622186,0.9743992,1.1575035,1.2028564,0.5945417,0.63257885,1.1473823,1.0970794,0.7220354,0.9317375
purse,0.874853,0.88845944,1.0078995,1.2148049,1.1898583,0.9240001,1.0041786,1.1089239,1.1198537,0.99060714,0.7447833,0.891978,1.1207529,0.9414493,0.9378744,1.0442784,1.1430917,1.0761615,0.9401401,1.1370456,0.8482303,1.2369561,0.96721375,0.8455297,1.0500469,0.90106344,1.0572875,1.0061384,1.0314848,0.7218882,0.88464046,1.19155,0.9413403,1.1325254,0.8856786,0.87201726,1.1290011,1.0521994,0.9659935,0.93700457,1.1795995,0.89498454,1.0193769,0.91027087,1.1158627,1.2013215,0.8381429,0.79762876,1.1217927,0.6830406,1.0910488,0.88108426,0.8832608,0.99117106,1.0655441,1.048792,0.86632895,1.2761759,0.93078685,1.2140601,1.1235193,1.1099072,0.95939803,0.7759379,1.1814225,1.2039362,1.0782169,0.9319569,1.127861,0.8735615,1.1044714,0.9461034,0.77943385,1.0292034,1.1142623,1.1841985,1.0771507,1.0136325,0.90555716,0.9945313,1.1215377,0.0,1.0133731,1.0647409,0.9565009,1.0168613,1.0355537,0.66038936,0.9308034,1.0054849,1.01716,1.031166,1.0659602,0.7395861,1.2221446,0.8795724,1.213906,0.8310889,0.8987375,1.0056765,0.98376215,1.0225476,1.0690408,0.96243167,1.153594,1.0475241,1.0000111,1.0180796,1.0130993,1.3434944
radio,1.0561229,0.84234476,1.1738302,0.74269956,0.9060608,0.8428395,1.0903779,1.3586246,1.3452646,0.8562083,1.2884198,1.2095118,0.84505165,1.3191922,1.2239119,1.0019931,0.65684664,0.83829623,1.2190982,0.89108646,1.1058773,0.6946801,1.0274711,0.8872352,1.1389905,1.100032,0.52699584,1.2172762,1.1004074,1.1261923,1.2476994,0.6332878,1.227755,0.68155587,1.220189,0.73355937,1.244875,1.282688,1.1899625,0.87596303,0.76987875,1.0008619,0.79993904,0.8726704,0.69169533,1.0490443,0.95895135,1.1237646,0.6253098,1.2172364,0.77524567,0.9444488,1.1215304,0.48647875,0.74712753,1.2260444,1.1773307,1.0845673,1.0064931,1.0037395,0.9660091,0.7706651,1.1726209,1.2594172,0.6116477,1.1464022,0.88611794,0.9696816,0.8223642,1.0369145,1.1628406,1.2523048,1.2053827,1.0670778,0.7463389,0.6749187,0.76737463,0.9885897,1.2127291,0.9028157,0.74170077,1.0133731,0.0,1.205501,1.1918727,0.96066445,1.2417036,1.0404114,1.2462869,1.0472931,1.3150363,0.5651546,1.2151734,1.1881255,1.0238299,1.123445,0.6875515,0.98875,1.1937155,1.3467219,0.8679293,0.74403733,1.0308824,1.2623259,0.93844676,0.68208396,1.2501569,1.0382452,0.69879055,1.0395898
refrigerator,1.0511881,1.4214127,0.6894178,1.4164035,1.134331,1.4289978,0.8617286,0.5555644,0.6114746,1.2130826,0.53619325,0.9617486,1.1927524,0.77773297,0.8584138,1.1732264,1.0560398,1.2109966,0.89245844,1.2199495,0.97667146,0.9853194,1.0395745,1.1693714,0.7805897,0.44644076,1.198043,0.35481012,0.910652,1.0345451,0.5362141,1.4042227,0.4451428,1.0335505,0.7964406,1.1210271,0.15660298,0.6077311,0.7570174,1.145164,1.4130998,0.9827263,1.3093317,1.2609311,1.2033004,1.1018021,1.3362192,0.8819411,1.264475,1.1530042,1.4809568,0.90926206,1.1639471,1.3003027,1.1641705,0.8662423,0.76456374,1.0882349,0.46850896,0.9773977,0.93844926,1.131583,0.9864018,0.944055,1.363241,1.0922321,1.3859191,1.0036213,1.301995,0.37135178,1.0115769,0.7716586,0.8190026,1.103287,1.2806383,1.3097506,1.3733108,0.8622228,0.9326027,1.0015839,1.2089863,1.0647409,1.205501,0.0,0.99245656,1.2537237,0.82139146,1.2161982,0.8824645,1.0175107,0.7167923,1.3761644,0.78513265,0.9689372,1.1049389,1.0081004,1.1983253,0.9697643,0.73821163,0.612729,1.3273892,1.3673723,1.0744708,1.0470966,1.1412171,1.4994872,1.0552626,0.6978197,1.3271563,0.6387324
rooster,0.78855836,1.0967664,0.7349113,1.2193003,1.1336775,1.151411,1.025065,0.9313168,0.735813,1.245717,0.85260916,0.691269,1.0952103,0.618021,0.8752948,1.1431763,1.3177922,1.345844,0.95263606,1.3107822,1.0395527,1.342514,1.0328301,1.2370031,0.78496456,0.9971388,1.2342783,0.85476804,0.773517,0.9930368,0.9095099,1.3434445,0.9062567,1.3231814,0.4952047,1.0557905,0.92469096,1.1251856,0.8158369,1.0858128,1.2071617,0.93247235,1.1717954,1.2349564,1.045257,1.2078567,0.99329937,1.0466646,1.234463,0.7425499,1.0407917,0.63820666,0.9143921,1.1942484,1.1617131,0.64909476,0.73716295,1.2506003,0.9713004,1.0047835,1.042745,1.3427026,1.0523682,0.71351445,1.2739093,1.2295467,1.0678933,1.078821,1.2709106,1.1308422,0.7138686,0.70895135,0.7715225,1.191339,1.3431803,1.3343823,1.3201544,1.0666959,0.6840371,0.8801436,1.412824,0.9565009,1.1918727,0.99245656,0.0,0.9831284,0.45646262,0.88479984,0.79550254,1.1450541,0.9984244,1.3347007,0.7944658,1.0563958,1.277609,0.9915852,1.2422209,1.0261506,0.69932246,0.7523994,1.2627532,1.2066988,0.9477787,0.88978165,1.3187873,1.2280431,0.8474591,0.9336363,1.2489539,1.0594364
scissors,0.9019731,0.9330831,1.2822009,0.8832972,1.087811,0.85309505,0.8251096,1.1017004,1.1676224,1.0730797,1.1760527,1.0314943,0.8037019,1.2166035,1.0612235,0.65013653,0.9605602,0.85111696,0.97933054,0.90487325,0.99267954,1.0683414,0.9061305,1.0098796,1.2439172,1.1693712,0.8974289,1.174017,1.1966883,1.0162367,1.186778,0.764294,1.1802359,0.9771562,1.1793187,1.0148895,1.2303555,0.9788241,1.1856551,1.0413424,0.92985725,1.2215424,1.0002275,1.0131319,0.752002,0.6233278,0.6142697,1.0296147,0.94358397,0.9213603,0.66564405,1.2015283,0.9833066,0.99832374,0.8756775,1.1426783,1.3799167,0.5876417,1.1689407,0.86087424,0.9627775,1.0428396,1.0801147,1.0530304,1.066645,0.9416232,0.81198585,1.2191684,0.9927035,1.201081,1.1618347,1.2759523,1.316396,0.8993454,0.8469125,0.7500286,0.89969003,1.294821,1.0375395,0.919527,0.9065031,1.0168613,0.96066445,1.2537237,0.9831284,0.0,1.2719431,0.8696884,1.1621662,0.8140675,1.0500988,0.9571854,1.0182832,1.0234989,0.70948505,0.9224697,1.0354248,1.0269485,1.2696005,1.1530676,0.76342094,1.0364369,0.8234251,0.5695878,1.0061859,0.7258508,0.85556805,0.89619875,0.9307486,1.0858057
shirt,0.9826777,1.1700991,0.47244322,1.3390671,1.1993184,1.2273214,1.1604421,0.8762411,0.6552279,1.2676401,0.76856434,0.66059947,1.2697778,0.5165023,0.85157466,1.3172836,1.3922199,1.4826796,1.0149163,1.3482589,1.1163329,1.3773586,1.02653,1.2384927,0.80270135,0.859436,1.3905883,0.72428507,0.43423676,0.99346405,0.7143539,1.5077585,0.8391409,1.4315882,0.5435127,1.0548967,0.74391294,1.1068499,0.5482585,1.053122,1.306256,0.666641,1.131211,1.3519734,1.226318,1.2664998,1.2648325,1.0238534,1.3638672,0.8092122,1.3354505,0.6257986,0.89794827,1.323624,1.3082017,0.3094818,0.36207676,1.3226705,0.79571617,1.1848975,1.1074644,1.3574333,1.0165831,0.7007745,1.30536,1.2378299,1.2713616,0.940289,1.2785358,1.046735,0.62849164,0.291178,0.41132784,1.2699591,1.486248,1.4723297,1.4296672,1.0483161,0.6785027,1.0982665,1.5052747,1.0355537,1.2417036,0.82139146,0.45646262,1.2719431,0.0,1.0907536,0.49240816,1.1520858,0.98208743,1.4487162,0.79512393,0.99842614,1.3342558,0.97968584,1.3504684,1.0957972,0.24398816,0.6242864,1.3817936,1.2147088,1.0500048,1.0775243,1.3665581,1.4073342,0.9095665,1.0070931,1.3128527,1.1051979
shoe,1.0120145,0.8419287,1.2203628,0.9494836,1.0292515,0.936212,0.68787456,1.2208279,1.0722686,1.1349101,0.72480947,0.9136117,1.1994896,1.0138971,1.014515,0.74260354,0.9695565,0.9671854,0.72970647,0.9782996,0.6025816,1.1303858,1.0924649,1.1106374,1.2597203,1.1146803,1.004496,1.039628,1.1498077,0.93838906,1.0657817,1.000167,0.86626947,0.9705727,0.96893114,0.91658145,1.2480907,0.9805055,1.1235273,1.0501417,0.99911535,1.1254971,1.1161703,1.0642439,0.81361866,1.026426,0.84928524,1.0091077,1.1713903,0.70191133,0.6836679,1.0762448,0.9668051,0.99518174,1.0461298,1.1773138,1.1664376,1.063526,1.1268346,1.0512263,1.1007338,1.08277,0.82769835,0.8869068,1.1483753,1.0302832,1.0081067,1.0699677,1.114409,1.0389957,1.0284907,1.1382064,1.0878603,0.9830948,1.1534824,1.1567298,1.118263,1.1234536,0.87496287,0.84264004,1.009192,0.66038936,1.0404114,1.2161982,0.88479984,0.8696884,1.0907536,0.0,1.0988681,1.0157951,0.9812228,0.8767666,1.0903643,0.859054,1.059872,0.99534714,1.101683,0.82765687,1.1694765,0.97399163,0.9140142,1.0890899,0.8560507,0.6295953,1.0379168,0.7381642,0.7001444,0.87122625,0.97661644,1.2180388
