,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jeans,knife,ladder,lamp,leg,melon,milk,mitten,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
ladder,1.1149293,1.2791266,0.6857966,1.3669335,1.1272004,1.3682579,0.94979286,0.8412804,0.76165533,1.1504157,0.5616131,0.88037777,1.1195469,0.82419205,0.9308316,1.1633525,1.0719252,1.3076303,0.8960263,1.3166378,0.98555803,1.0526457,1.204699,1.1128749,0.93475515,0.32710433,1.2103108,0.6203979,0.84684676,0.97605073,0.56021005,1.3060648,0.6224397,1.1013796,0.77461165,0.99531484,0.5503765,0.8626909,0.8403958,1.0479336,1.3552651,0.9993761,1.1646271,1.1481767,1.1668164,1.1864223,1.2861915,0.91733384,1.2265444,0.9805782,1.3630209,0.9159253,1.0463654,1.2225657,1.1516241,0.820702,0.59666175,1.1729963,0.0,1.089467,0.8666749,1.126457,0.97795343,0.877208,1.2685782,1.1817546,1.311193,1.0214303,1.2442005,0.6386876,0.9796389,0.78345823,0.68776786,1.055642,1.2458864,1.2149545,1.3182628,0.81252635,0.89138985,0.9740511,1.3178548,0.93078685,1.0064931,0.46850896,0.9713004,1.1689407,0.79571617,1.1268346,0.9225863,0.9929402,0.82541096,1.3191556,0.9050382,0.89038914,1.2199947,1.07906,1.2484589,0.92224467,0.74056566,0.6624479,1.3240541,1.2147098,0.9902896,0.970819,1.132592,1.4256134,1.1034888,0.7048802,1.1972879,0.8256639
lamp,0.87430316,1.1212574,1.2841632,0.81876314,0.6389074,1.045111,0.9129211,0.96440804,1.0757374,1.0835768,1.1139846,1.1469336,0.9186567,1.1538932,1.2123158,0.90027964,0.8169719,0.877734,1.1157836,0.97041315,1.0593814,0.80746967,0.9625648,1.2189109,0.92953235,1.0164207,0.65713054,0.94941115,1.172737,1.2445561,1.1823015,0.8885335,1.0323468,0.7892881,1.1716468,1.0694369,0.8799827,0.94351935,0.9931891,1.0440444,0.866417,1.1945832,1.1607685,1.0437303,0.75193983,0.6561525,0.94243914,1.0077049,0.837656,1.2902687,0.90671444,1.1319959,1.22924,0.84384286,0.7728883,1.0946015,1.3253932,0.680048,1.089467,0.0,0.90745956,1.0327041,1.0432482,1.2828124,0.9712273,0.8019351,0.84636855,1.1499133,1.0024573,1.1777763,1.0387313,1.2895967,1.3710898,1.0235902,0.80249894,0.7835923,0.9093149,1.1358349,1.1926072,0.8072139,0.8764737,1.2140601,1.0037395,0.9773977,1.0047835,0.86087424,1.1848975,1.0512263,1.2746798,0.92729765,0.9305233,0.97144794,1.100626,1.1730101,0.6250122,0.87318987,0.8069621,1.051425,1.2666036,1.1148164,0.8866104,1.1199453,1.1390462,1.0594754,0.8404101,0.95069796,1.0729337,0.70479375,0.98476505,0.51044446
leg,1.0128257,1.1354803,1.0602577,1.0016787,0.90679103,1.1803627,0.94253063,0.9176464,1.311637,0.8150309,1.1077043,1.000906,0.92121994,1.2745428,1.1501801,0.99942726,0.80512166,0.8914738,1.0773835,0.9695998,1.1867434,0.87004113,1.2311168,0.7873415,0.868222,0.9042063,1.0494311,1.1197463,1.1642925,1.1738837,1.2381368,0.9239307,1.0492398,0.8074762,1.0900365,0.84504724,0.96809393,0.8698494,1.0532484,0.9989529,1.1081071,1.1345327,0.72140354,0.8889326,0.9887488,0.9338245,1.1618026,1.0755597,0.8780124,1.0487266,0.98703045,1.0839087,0.8221286,0.9124234,1.0159053,1.1534418,1.1313568,0.8192322,0.8666749,0.90745956,0.0,0.8540157,1.0075032,1.0747205,0.97411585,0.9473398,0.8026617,0.9670859,0.99600154,0.9303887,1.0839643,1.3032283,1.1032395,0.7742198,0.8865385,0.8183037,0.8962573,0.7822673,1.124259,0.9487517,0.9118834,1.1235193,0.9660091,0.93844926,1.042745,0.9627775,1.1074644,1.1007338,0.99171454,0.7840463,1.0758164,0.9920244,1.2191229,0.8987904,0.8894708,1.1356463,0.97003216,0.9025576,1.2347986,1.237388,1.0957029,0.75739133,0.99242944,0.96819407,0.6398996,1.1878438,1.2581661,1.0222018,0.7918738,0.77646095
melon,1.1250782,0.86362875,1.2630093,0.7633034,0.82132244,0.7229532,0.92747664,1.0951862,1.287921,0.89367753,1.2198156,1.2159396,0.9227665,1.3391279,1.0377634,0.9661045,0.6051464,0.4786775,1.116252,0.5087434,0.8787487,0.7594583,1.0719777,0.8477976,1.1232501,1.0535481,0.8885089,1.2158817,1.2970569,1.1806953,1.1840543,0.7563079,1.0838993,0.54483795,1.3650652,0.84941745,1.1764847,1.101624,1.224308,1.0894804,0.70682395,1.1920369,0.86421067,0.9059894,0.9405375,0.9442207,0.9557262,1.0908046,0.83153284,1.3321484,0.94732976,1.296123,1.1243904,0.7799089,0.8500627,1.347055,1.2683517,0.93232626,1.126457,1.0327041,0.8540157,0.0,1.0228049,1.2761512,0.8105397,0.8648852,0.81512463,1.0501862,0.41567636,0.96278477,1.2039659,1.3402581,1.257766,0.8390815,0.7480252,0.7579485,0.53048897,0.8115159,1.2003336,0.9794916,0.49350727,1.1099072,0.7706651,1.131583,1.3427026,1.0428396,1.3574333,1.08277,1.1595474,0.8670398,1.0224838,0.7427324,1.222122,1.0255042,0.8855344,1.1071807,0.73713315,0.96771634,1.3537619,1.2374961,0.78906333,0.8473326,1.1195971,1.2010489,0.67155486,0.8261337,1.2311676,1.1339715,0.9108539,0.99534774
milk,1.0240643,0.98844117,1.0340166,1.1280643,1.100266,1.0779331,0.7729045,0.93850905,0.99629134,1.1537188,0.8982904,1.0140562,1.1017607,1.0272284,0.987353,0.76437575,0.95183164,0.9791954,0.60779035,0.88221014,0.78181636,1.0729991,0.9736434,1.1492141,1.1188533,0.9996733,1.0936544,1.0702276,1.0395973,0.9526383,0.8263836,1.1806084,0.7803451,0.98119664,1.0400087,1.1493943,1.0528479,0.72434634,1.0351111,1.1530527,1.10611,1.0399256,1.1438435,1.1267468,1.029995,0.9705023,0.98566425,1.0181222,1.2325671,0.94522744,1.0897796,1.0368224,1.0159507,1.1510445,1.1052082,1.0041082,1.0272806,0.9376085,0.97795343,1.0432482,1.0075032,1.0228049,0.0,0.9860458,1.264822,0.89163893,1.1911768,1.0231551,1.0353979,0.8922217,0.98484975,1.0012076,1.0431767,0.8666215,1.1392934,1.1819314,1.156813,1.0667201,0.9673439,0.92833704,1.088987,0.95939803,1.1726209,0.9864018,1.0523682,1.0801147,1.0165831,0.82769835,1.0335673,0.9508972,0.95425844,1.1751189,0.9826925,1.0295918,0.9986701,0.95464146,1.1740496,0.81957024,1.0191578,0.89603573,0.97641414,1.1885698,1.038492,0.9284718,1.0244737,1.0724156,0.85536504,0.9168386,1.0747081,1.1335527
mitten,1.0021805,0.9142351,0.7037479,1.2894206,1.2249405,1.0374972,0.9147336,0.90702593,0.7299801,1.2366858,0.67659026,0.6272578,1.3020272,0.6042372,0.8992563,1.1672654,1.4309864,1.4156463,0.72993714,1.2878793,0.8745893,1.414429,1.103562,0.9957251,0.91689867,0.87627196,1.4079533,0.9110486,0.72512496,0.9020659,0.64625156,1.4478981,0.8335129,1.4300601,0.5371101,1.021488,0.90378666,0.98356056,0.7422757,0.9717013,1.2273626,0.8925466,0.9799039,1.2620776,1.2714994,1.2490569,1.0253634,0.97384316,1.4388239,0.231749,1.1291652,0.7758762,0.53853476,1.3379536,1.321272,0.64719373,0.6736377,1.3061832,0.877208,1.2828124,1.0747205,1.2761512,0.9860458,0.0,1.3476729,1.0702202,1.2821382,0.9247878,1.2914873,1.009355,0.8162223,0.6904032,0.56674546,1.1152656,1.5042502,1.5102,1.3869023,0.927626,0.6732963,1.1211157,1.478298,0.7759379,1.2594172,0.944055,0.71351445,1.0530304,0.7007745,0.8869068,0.71535,1.0534413,0.86195946,1.4198717,0.94046605,0.65007776,1.324612,0.92699695,1.4520744,1.0425622,0.655751,0.6917397,1.2490044,1.078049,0.936886,0.6746874,1.2235712,1.2259938,0.6617956,1.0175513,1.2585261,1.2374129
nail,1.1766105,0.7223693,1.1559072,0.4747764,0.69953465,0.79248464,1.3414093,1.4015982,1.4199626,0.4079585,1.4601564,1.3050609,0.68503237,1.4164963,1.2962842,1.1379312,0.68156743,0.8972122,1.4388595,0.96124417,1.2015563,0.51340556,1.0227774,0.561622,1.0269433,1.3863028,0.63373685,1.3678916,1.1171887,1.0057,1.4951214,0.25219697,1.5267878,0.72614807,1.3115388,0.88072556,1.3551961,1.4342475,1.3256127,0.6861241,0.57663095,0.9192104,0.45608562,0.55654323,0.8670162,1.1062431,1.0419794,1.127433,0.25031018,1.1944598,0.5759749,1.0738887,0.98423886,0.48893368,0.77313375,1.3108062,1.2264799,1.1180148,1.2685782,0.9712273,0.97411585,0.8105397,1.264822,1.3476729,0.0,1.1428897,0.4996096,0.8088454,0.72027457,1.168832,1.1915585,1.2830902,1.278242,1.0797296,0.43730003,0.3682829,0.46942055,1.0293075,1.2994971,1.1074145,0.7623181,1.1814225,0.6116477,1.363241,1.2739093,1.066645,1.30536,1.1483753,1.2272598,1.195344,1.4063272,0.1874798,1.2787447,1.1485758,1.025099,1.1883771,0.38557923,1.1849594,1.3476391,1.5076199,0.79058325,0.31156313,0.8490633,1.3428888,0.78764147,0.52491736,1.3273382,1.2856494,0.3784938,1.0656633
napkin,1.0341996,1.0585797,1.3119371,0.9711057,0.8841472,0.9399291,0.8676107,0.8979816,1.0544522,1.1368147,1.1686199,0.9298541,1.0375202,1.0288752,0.9405269,0.750798,0.9216195,0.59680885,0.8910802,0.42018402,1.0035572,0.9642775,1.1472273,1.0977712,1.1698937,1.0619177,1.0052062,1.1783565,1.2415959,1.1706406,1.1424177,1.0541205,1.0738026,0.88877016,1.2392521,1.0650221,1.071983,0.7944337,1.0873389,1.0895861,0.9439395,1.1738596,1.1277612,1.1124232,0.92695224,0.32805562,1.064354,1.1035969,1.1202662,1.1271464,0.996739,1.2602046,1.0476264,1.1172596,1.0158677,1.2094536,1.2538838,0.33138442,1.1817546,0.8019351,0.9473398,0.8648852,0.89163893,1.0702202,1.1428897,0.0,1.0600272,1.1120477,0.9164537,1.1023155,0.96965593,1.2571195,1.2432464,0.7221364,1.0001541,0.9883305,1.0158622,0.92896914,1.1549196,1.0065231,0.59432983,1.2039362,1.1464022,1.0922321,1.2295467,0.9416232,1.2378299,1.0302832,1.1530318,0.53624874,0.76514786,1.1273606,1.0244918,0.84301984,0.28455943,0.9423503,1.0443151,1.0125719,1.273938,0.9259934,0.9357028,1.1243037,1.1730077,0.8690721,0.4492216,1.0534296,0.9903212,0.9965837,1.0760616,0.91025627
necklace,0.9441832,0.89338416,1.3443036,0.714591,0.886971,0.8313912,1.122151,1.3209229,1.4735394,0.4504825,1.3674436,1.070063,0.5724758,1.4328701,1.3189477,0.90594375,0.62762386,0.7791463,1.2638338,0.944897,1.2018223,0.6039208,1.0082476,0.6090605,1.0702626,1.2772738,0.8097577,1.3783808,1.2634526,1.1267743,1.4629332,0.39052296,1.4636089,0.6507009,1.3184301,0.82931167,1.3922815,1.2315153,1.249731,0.7752952,0.7972847,1.1159046,0.6307517,0.59680986,0.7876651,0.9322556,0.8102584,1.1326065,0.4124248,1.0831423,0.62216914,1.2354252,0.95646286,0.628409,0.80962366,1.3380988,1.4086876,0.8578686,1.311193,0.84636855,0.8026617,0.81512463,1.1911768,1.2821382,0.4996096,1.0600272,0.0,1.0927944,0.771049,1.1248865,1.1778234,1.4206125,1.3431494,0.8623954,0.39840734,0.42220855,0.48728895,0.98921883,1.2745926,0.9813008,0.7401271,1.0782169,0.88611794,1.3859191,1.0678933,0.81198585,1.2713616,1.0081067,1.3030568,1.074676,1.3551725,0.48271132,1.3007394,1.0161759,0.8489652,1.1512642,0.52779436,1.1343561,1.4157379,1.5625141,0.7123203,0.5228592,0.87034583,1.0809606,0.6285745,0.63044596,1.1635417,1.1300817,0.48165405,1.0167785
nose,1.0105097,0.80157095,0.87929523,1.0272651,0.8655741,0.9437605,1.1930562,1.1311214,1.10153,0.74923706,1.031825,1.0353518,1.1080257,1.0789396,1.0995861,1.274636,1.2078358,1.229039,1.1406704,1.1573029,1.0670955,1.0956689,1.1850263,0.7031219,1.0209394,1.1147233,1.0887351,1.0291349,0.91972053,0.99151,1.0688561,1.1331656,1.0761952,1.2042251,0.94502336,0.9858876,0.9558629,1.1176015,1.030145,0.57668245,1.0884526,0.5001514,0.57130027,0.89267653,1.2049327,1.1636226,1.06994,0.9200692,0.8073323,0.8882592,1.1222163,0.5790877,0.60889584,0.82852465,1.1455944,1.0313598,0.9047574,1.232361,1.0214303,1.1499133,0.9670859,1.0501862,1.0231551,0.9247878,0.8088454,1.1120477,1.0927944,0.0,1.0267287,1.0412071,1.0919527,0.9802778,0.9116805,1.1082686,1.1364124,1.0278608,1.0034395,0.9382759,1.0068818,0.99115324,1.2148807,0.9319569,0.9696816,1.0036213,1.078821,1.2191684,0.940289,1.0699677,1.0043648,1.0430516,1.1389205,0.99174947,1.0941213,1.0188429,1.165268,0.9605999,1.141045,0.9947681,0.9129453,1.1089443,1.1020029,0.603734,0.9424272,1.1300418,1.1292125,1.1868265,1.1424239,1.1583097,0.9126101,1.0824947
