,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,coat,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glasses,glove,grass,gum,hair,hand,hat,horse,jeans,knife,ladder,lamp,leg,mitten,motorcycle,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
door,1.0041046,1.162033,1.2174344,1.0699791,1.0928919,1.0680292,1.2028406,0.75827277,0.8187188,0.77690995,1.1205406,0.92413664,1.0379041,1.0562866,1.0525552,0.95169365,0.9361886,1.1397837,0.9403448,0.8336723,1.0679435,0.8341895,0.8112321,0.98304325,1.112552,0.697161,1.0244004,0.9720174,0.98875093,0.8918805,1.1517,1.1142185,0.58959246,0.92703706,1.0169417,1.2237809,1.0562067,0.0,0.9288788,0.96541804,1.0956836,1.0870967,0.9766007,1.2077568,1.0200806,1.1012099,1.1040946,1.0709552,1.0089488,1.0868546,1.1780789,1.1087022,1.1303353,1.151123,1.0032511,1.0674686,1.1492004,1.050519,1.1056271,0.9365663,0.73788977,0.7739116,1.0545222,0.9578893,1.0359282,1.0992785,1.1861258,1.0761393,1.1396989,0.9805337,0.8486226,1.049988,1.012324,1.017476,0.9720096,1.0731634,1.0727552,1.1608261,0.93777794,0.8679611,1.1297635,1.0501156,1.0952551,0.8217699,0.8758116,0.628399,1.1129992,0.93475705,1.0648847,1.057606,0.9726077,0.8621752,0.7465012,0.86022806,1.2500174,1.1454804,1.060971,1.0074295,0.9097925,1.0716747,0.8821526,0.97838175,0.84647846,1.0810672,1.2288774,0.998258,0.9713128,1.0476242,1.0007249,1.0093515,0.6203455,1.1710756,0.6076288
drawer,1.2630566,1.0593747,0.95595324,1.1981807,0.8176069,0.781537,0.962109,0.6223255,1.0648642,1.1876439,0.67582804,1.1454924,1.2212789,1.0353546,1.2955295,1.2322869,0.70717347,0.740088,0.5672394,0.8591212,0.9087072,0.8656951,0.6254724,0.82815224,1.1002095,0.77930444,0.69699734,1.1929201,1.0363503,1.1659502,1.2196329,0.7410884,0.8576601,0.6923567,0.81862813,1.1761667,0.82119787,0.9288788,0.0,1.1840278,0.86073184,1.17506,1.1681623,1.0301788,1.0713391,1.2272072,0.81018555,0.9663843,1.2342228,1.2311535,0.78616595,0.8938043,1.0933976,0.87525976,1.181812,1.1988716,0.8952083,1.2480505,1.3342749,1.249613,1.1160765,0.57153565,0.8907003,1.1631944,1.2057016,1.0505383,0.8394182,0.90006983,0.7292069,0.92468655,1.1677828,0.78952396,1.2341192,1.1331458,1.1131617,0.842889,0.78797066,1.1034888,0.54586077,0.66276824,0.7870748,1.2507198,1.0785543,1.0728445,0.9332748,0.9369385,0.7514602,0.860005,1.2426045,0.9559743,0.89013755,0.9202416,0.8952142,1.278519,0.7094754,1.0746518,1.2011905,0.677728,0.96923774,0.92793596,1.0065405,1.2549415,1.1744051,0.8038081,0.8970847,1.1609496,1.2139822,0.89838976,0.7863264,1.1218326,0.7363316,0.8632448,1.0858896
dress,0.9776229,1.0495887,1.1955153,0.9562483,1.2069747,1.2501255,1.1900926,1.134262,0.91137105,0.8556131,1.2605369,0.9141761,0.7760204,1.0213065,0.8324156,0.95814836,1.0964338,1.1913122,1.1564546,0.9227397,1.1066996,1.0374346,1.2087542,1.1194912,1.0467618,1.1104277,1.2161878,0.8101597,1.0395837,0.86000836,1.0419395,1.2539678,0.9548099,1.2372551,1.0762448,0.99294865,1.0243642,0.96541804,1.1840278,0.0,1.185805,1.0834353,0.8866053,1.1428776,0.93955785,0.92195696,1.1450922,1.0360761,1.0150845,0.8012223,1.2472129,1.1799426,0.96696675,1.0312397,0.81743515,1.005531,1.0921005,0.8111028,0.75288004,0.9585096,0.8648993,1.3021735,1.1191756,0.8336399,0.8246511,0.9624195,1.2351315,1.1596918,1.2925668,1.1331522,0.8477063,1.046242,0.4600227,0.8456738,0.9102675,1.2112658,1.259549,1.0349859,1.3149745,1.0507476,1.1808231,0.8098655,1.117134,0.8831668,1.0166696,0.88927096,1.2447095,1.2339829,0.78720033,1.0495561,1.0521222,1.1028587,1.0512613,0.7706578,1.2704562,1.0561606,0.8381294,1.3486869,1.1094521,1.1013904,0.9181493,0.6577504,0.74726295,1.1663857,1.1866726,0.8463218,0.9503816,1.1062168,1.0622535,0.83653456,1.215229,1.2173396,0.90301245
duck,1.2667077,1.0454962,0.9955419,1.1617482,0.8256073,0.3624519,0.93155295,0.84446025,1.2611449,1.2718527,0.5833582,1.2251484,1.334218,1.2995411,1.336252,1.2234328,0.84579957,0.26635987,0.7631699,1.1757116,1.0653899,1.1284788,0.68264544,0.7423903,1.0353811,1.0220207,0.53163815,1.1464062,1.1303297,1.1943005,1.0754169,0.37788463,1.1777022,0.25894332,0.9133806,1.2699311,0.95387733,1.0956836,0.86073184,1.185805,0.0,1.0484011,1.1375587,1.0421861,1.0935614,1.2893112,0.8383116,0.87823653,1.2481564,1.2420993,0.4758395,0.8372538,1.1000836,0.8823079,1.1778619,1.2713711,0.70654494,1.1985793,1.285651,1.2280757,1.2602005,0.62372124,0.7205336,1.285619,1.2072321,0.98061055,0.3124385,1.0595418,0.5450356,0.55841756,1.1927228,0.9060776,1.2819011,1.1913266,1.1862946,0.7677045,0.67051446,1.088952,0.6894973,0.9816094,0.7235087,1.2116091,0.9626261,1.1807038,0.9807545,1.1598418,1.0441805,0.7630568,1.3015678,1.0387385,1.0583676,1.2364569,1.0830312,1.2979409,0.53104484,1.1626165,1.2287445,0.76119304,1.020129,0.9027195,1.1311466,1.2363755,1.227836,0.72635317,0.8636672,1.1737841,0.8420001,1.0112242,0.8404262,1.1722699,0.83176875,0.61053175,1.1155962
elephant,1.0091366,1.0656593,0.9674457,1.0281769,1.1515338,0.94062793,0.8107457,1.1034135,1.1467412,1.0412378,0.9347616,0.98594034,1.0685664,0.97759885,0.914453,0.9916015,1.13045,1.048886,1.2416576,1.2084,1.0510278,1.1917096,1.0540528,1.0278156,0.5668402,0.9862062,0.95098925,0.9805593,0.90405226,1.0362827,0.87223846,0.9583506,1.1423088,1.029349,1.1314774,0.825749,1.1321911,1.0870967,1.17506,1.0834353,1.0484011,0.0,1.188576,1.0730954,0.775002,1.0031642,1.0368227,1.0534858,1.0345329,1.0884808,1.0503912,0.90094024,0.91401017,1.1895773,1.1954063,1.068841,0.9352906,0.99954027,0.88525045,0.77594006,0.9706423,1.0601808,0.9203677,0.9930033,0.97219485,1.065535,1.0338871,0.99543434,0.9962071,0.81746715,1.0360636,1.2171257,1.0875807,1.0820473,1.1312228,0.8541157,0.84891266,0.7548324,1.0668166,1.2134489,1.082303,1.0045851,1.0724838,1.1341231,1.0767263,1.0170414,1.1467625,0.79417706,0.9553,1.0517565,1.0223747,1.0075512,1.1566571,0.90076095,1.0142728,0.62761897,1.0703219,0.94210446,1.0204655,1.0003794,1.074065,1.0575017,1.0378157,1.0629143,1.1345416,0.9914483,0.9062213,0.90400565,1.1435583,1.0353636,0.92438376,1.0555921,1.0838388
face,0.88146347,0.9006944,1.0562375,0.88707954,1.1761429,1.2068424,1.0899366,1.2962365,1.0731679,0.8430426,1.2626106,0.7737056,0.70308065,0.95023644,0.8876611,0.9681897,1.223599,1.1919976,1.1662155,1.0545797,0.699113,1.1166921,1.2113271,1.1787528,0.9969781,1.1759806,1.0336969,0.88185674,1.0199125,0.7100439,1.0558969,1.2808205,1.0181754,1.1805047,1.0632129,0.8936376,1.0237099,0.9766007,1.1681623,0.8866053,1.1375587,1.188576,0.0,0.82659876,1.0485758,1.0004742,1.2676586,1.017142,0.7004519,0.9139524,0.9422249,1.3247303,0.9241288,1.1567274,0.25705373,0.7228801,1.0494925,0.93360233,1.0405114,1.0746149,1.0109035,1.1661583,1.1750048,1.0091648,0.98903346,0.9174558,1.0602933,1.1959201,1.0928257,1.2367631,0.9237499,1.2009035,0.77391493,0.7890077,0.96814305,1.1112342,1.2093141,1.1467121,1.243537,1.1165981,1.2546129,0.93263435,0.7837952,1.0129473,1.0163012,0.90898097,0.89937824,1.2687492,0.66512835,1.1658316,1.0450568,0.9746408,1.1532848,1.0340866,1.2710071,1.017377,1.0404235,1.1762917,1.1847464,1.2049699,1.0463854,0.76881564,0.9026885,1.2458487,0.8396548,1.0246197,1.0937762,1.241998,1.2987798,0.96058744,1.1496601,1.0488468,0.80884814
finger,0.846063,0.490461,0.71135044,0.8141618,0.8101208,0.9336062,0.67044413,1.2105165,1.3326735,1.4010295,0.79897094,1.2281823,0.9445599,1.1295822,1.2330623,1.297931,1.1577888,0.96523535,1.1242315,1.328458,0.6090653,1.2087855,0.9590582,1.2114754,1.0570437,1.0520816,0.8968648,1.2216688,1.0552558,1.2243414,1.053162,0.8379439,1.3729382,1.0065398,1.1374829,0.93134207,0.99848795,1.2077568,1.0301788,1.1428776,1.0421861,1.0730954,0.82659876,0.0,1.1788586,0.95321006,0.9370356,0.60566705,0.7379561,1.1756048,0.55574447,0.86657286,0.8236918,0.8713339,0.86766106,0.2947032,0.9761839,1.2039324,1.1235493,1.0914475,1.2605822,0.9986572,0.8541981,1.1711526,1.2464125,0.6865868,0.81454635,0.9311977,0.6045518,1.0656648,1.3023012,1.0825284,1.1922886,0.8266865,1.2348317,0.7451578,0.7977921,0.95215964,1.0086834,0.9595536,1.0772227,1.1997914,0.681455,1.1885064,1.1321609,1.3662014,0.56566083,0.99634737,0.9819089,1.1336732,0.6911417,0.9970275,1.3145943,1.319612,0.86417806,1.2037528,0.9603749,0.82462466,0.9306526,0.864156,1.2101843,1.209156,1.4217281,1.1160325,0.15192956,1.2763062,1.1582218,1.0009612,1.1806872,1.2824655,1.0890399,0.5127753,1.2842739
firetruck,1.0633996,1.1685624,1.0591906,0.9345287,1.3466158,1.1496725,0.92609346,1.098004,0.88044214,0.810302,1.2510105,0.90155596,0.96365595,0.97098875,0.8838085,0.63985443,1.0068283,1.1979516,1.0893115,0.77096903,1.1099299,1.1245371,1.3431888,0.9568885,0.98604226,1.0749396,1.2032677,0.8850376,0.8435611,0.89626366,0.7617074,1.1953866,0.78399134,1.2243612,1.0467194,0.98803353,1.0771521,1.0200806,1.0713391,0.93955785,1.0935614,0.775002,1.0485758,1.1788586,0.0,1.1387705,1.1075844,1.1374277,1.0233381,0.8865299,1.2664992,1.1950498,0.98253894,1.1144806,1.0337344,1.0701271,1.1555803,0.86363375,1.0076904,0.9117189,0.5586225,1.2877539,1.1972432,0.965707,0.55869794,1.0346156,1.1969141,1.2437135,1.2907066,1.0919514,0.82742345,1.2583921,0.95875114,1.1432834,0.7831845,1.1751157,1.1892693,0.85108036,1.3473839,1.2332807,0.9691228,0.85489416,1.1942072,1.026464,1.045344,0.79768944,1.2028606,1.1627945,0.8980536,1.0696301,1.1968404,1.0776231,1.0755575,0.57241356,1.2655271,0.77905786,1.0829041,1.2940735,1.1400242,1.1292223,0.7134415,0.94301325,0.66161567,1.1543559,1.3015578,0.9464151,0.9554726,1.2571037,0.8532483,0.5678605,1.1910526,1.2889873,0.9441789
fish,0.75138104,0.9369397,1.0481044,0.9343492,1.1483363,1.3645616,1.0627415,1.2508348,0.89497024,0.8379798,1.1763053,0.8744148,0.76359546,0.40050554,0.56126714,0.78958017,1.2382143,1.370909,1.1703062,1.0764183,1.1788015,0.9800817,1.2728114,1.2143434,0.8656018,1.2579564,1.3449764,0.84937906,1.0948561,0.96948266,1.0193753,1.357558,1.0367402,1.3572149,0.96249855,0.4739008,1.1135144,1.1012099,1.2272072,0.92195696,1.2893112,1.0031642,1.0004742,0.95321006,1.1387705,0.0,1.0813335,1.0792086,0.6354409,0.70701486,1.3041453,0.98463094,0.762187,1.0328062,1.0293874,0.77571696,1.2687591,0.8879623,0.72673506,0.8293003,1.0400013,1.2872456,1.2526261,0.7743593,0.8493681,1.10711,1.320285,0.5862683,1.309972,1.2268122,0.96089005,1.0756074,0.85880077,0.6244685,0.9054408,1.184072,1.2853919,0.9662256,1.0075046,0.9750012,1.3246496,0.89481366,1.1187762,0.9820468,1.157863,1.0800986,0.8504388,1.216354,0.8260706,1.0205184,0.97769946,0.6551794,0.92689705,1.0146434,1.3105541,0.7314864,0.63784903,1.1738276,1.100813,1.2035244,1.1915674,0.8821755,1.0318941,1.3060452,1.0318841,0.51422185,0.8179414,0.6661848,1.2905536,1.1277251,1.2395085,1.2242727,0.9242303
flower,1.2520754,0.87884444,0.7520057,1.1866355,0.49999464,0.57577664,0.9041989,0.8219352,1.2588038,1.3735738,0.73663247,1.3938481,1.3031933,1.0853852,1.3473417,1.2788633,0.7976034,0.6081305,0.9248271,1.1443174,0.9249307,1.1628317,0.888925,0.7485976,1.1688372,1.0689452,0.8015301,1.1679331,1.2228067,1.3934972,0.86535525,0.5689915,1.1548188,0.7209531,0.9060097,1.2108916,0.7146834,1.1040946,0.81018555,1.1450922,0.8383116,1.0368227,1.2676586,0.9370356,1.1075844,1.0813335,0.0,0.92983156,1.2754023,1.0986035,0.79350114,0.5904452,1.1345605,0.61295,1.2469468,1.1072724,0.72346735,1.2767172,1.0832114,1.1775976,1.2769239,0.7490018,0.76056576,0.9561098,1.1745174,1.0016314,0.62989783,0.90358096,0.6909007,0.88322103,1.3401349,0.57285887,1.2692026,1.213423,1.1336172,0.79849005,0.67087525,0.9055743,0.6942289,0.66120064,0.75346446,1.2895932,1.0923696,1.1578419,0.9194724,1.3567669,0.87096894,0.7647109,1.3325734,0.8467114,1.0273279,1.0504506,1.1841893,1.2930839,0.5492551,1.1214784,0.9890504,0.6294248,0.91594726,0.47244245,1.1113795,1.2389278,1.3661855,0.704205,0.84382874,1.1111971,1.1649091,0.88334537,0.6200065,1.1917229,1.0219698,0.85900617,1.2445102
foot,1.0370212,0.72689915,0.999674,0.8955513,0.8680921,0.7986585,1.0244454,0.85960126,1.2633164,1.2867856,0.7897113,1.2663585,1.1938231,1.2236481,1.2735592,1.2937409,0.89335394,0.726197,1.0762838,1.232159,0.95688504,1.1813374,0.8837856,1.0503043,1.1511853,1.0666285,0.9206811,1.1566006,1.0700526,1.2747948,1.2054118,0.69332457,1.2456272,0.7367198,1.087446,1.1906922,0.9502013,1.0709552,0.9663843,1.0360761,0.87823653,1.0534858,1.017142,0.60566705,1.1374277,1.0792086,0.92983156,0.0,0.9255976,1.1799743,0.7870081,0.69659555,0.8105824,0.86704886,1.0553836,0.69848883,0.8195214,1.1184074,1.1708269,1.1770933,1.2925713,0.7488712,0.8160551,1.1268557,1.2533867,0.7211045,0.7363236,0.89498353,0.76227176,1.0634215,1.1768105,0.8515263,1.220594,1.155385,1.1227285,0.8191997,0.770803,1.2102325,0.7914189,0.9725351,0.8326978,1.1236534,0.97666365,1.1061226,0.936748,1.2752107,1.0298465,0.80893123,1.2254417,0.9415586,0.89329475,1.224752,1.2419987,1.3125308,0.7006278,1.1575081,1.2024692,0.8599551,0.77267015,0.7510512,1.1642694,1.2716753,1.3339528,0.8048291,0.4810691,1.1529363,1.0653353,0.9175171,0.8752212,1.1908841,1.0226376,0.6026436,1.3282176
fork,0.8130555,0.91118705,1.1518033,0.8237555,1.2775583,1.3980714,0.99232644,1.1547787,0.96775603,0.8939197,1.308671,0.8543905,0.72385234,0.7250549,0.77425545,0.7641525,1.1666572,1.3522048,1.2762171,1.0497547,0.96363926,1.0771401,1.3174305,1.3654729,1.0424893,1.1823952,1.2713163,0.91755915,0.55939865,0.8981987,1.0927404,1.3247919,1.0716008,1.3066338,1.2280678,0.7597517,1.2483335,1.0089488,1.2342228,1.0150845,1.2481564,1.0345329,0.7004519,0.7379561,1.0233381,0.6354409,1.2754023,0.9255976,0.0,0.89130855,1.075223,1.2793481,0.79708904,1.0384065,0.7848989,0.5643698,1.251253,0.88705087,0.9651627,0.7625721,1.0131259,1.2197832,1.2603936,0.95400023,0.92069495,0.89934087,1.2315993,0.9264545,1.1598506,1.347437,0.779959,1.2659771,0.9394815,0.788163,0.86915994,0.99482536,1.2025504,1.0956109,1.2357256,1.0984083,1.231357,0.88436913,1.0680585,0.8915645,1.0680394,0.9663714,0.859124,1.0888014,0.78415364,1.1143657,1.0147427,0.7710696,1.0625819,0.9795794,1.3662572,0.8746879,0.90328777,1.2352076,1.095385,1.1023852,1.0699009,0.9229274,0.9331564,1.3217218,0.85860467,0.81411016,0.7584435,1.0727446,1.3915054,0.9679331,1.192368,1.033469,0.94384116
frog,0.8291684,1.0305749,1.0772799,1.0158523,1.1403124,1.3448987,1.2365987,1.3133347,0.9373164,0.78472865,1.3597221,0.8202335,0.8325299,0.73520887,0.718719,0.61186016,1.2448329,1.2736479,1.232741,0.8613751,1.0875211,1.1571476,1.3855481,0.9312674,1.0007753,1.311457,1.2911563,0.8704126,0.94600135,0.8368428,0.8180856,1.4341861,0.99484426,1.4348441,0.89752424,0.6191006,0.8201718,1.0868546,1.2311535,0.8012223,1.2420993,1.0884808,0.9139524,1.1756048,0.8865299,0.70701486,1.0986035,1.1799743,0.89130855,0.0,1.3513396,1.1546974,0.9100646,0.94296074,0.8393825,0.8267467,1.1117978,0.71628934,0.79532874,0.7844703,0.95334625,1.3984897,1.3294377,0.92462105,0.38082469,1.1568515,1.2801783,1.1963944,1.4902754,1.2520605,0.8120012,0.8941371,0.7600195,0.79377484,0.81651115,1.3053542,1.4160099,1.0244368,1.4255874,1.0840248,1.280385,0.7326615,1.0887921,0.94640553,0.9970603,0.9633773,1.0712796,1.1887232,0.87123793,1.0355222,1.1001313,0.8084942,1.0969185,0.8803296,1.3476727,0.9144625,0.7198591,1.3002589,1.146955,1.1429006,0.8738667,0.73640895,0.685467,1.2108595,1.2934623,0.9058565,0.9100486,1.2416414,0.98520046,0.78043514,1.289435,1.3154678,0.8571866
glasses,1.3148993,0.8577611,0.79711854,1.1535906,0.6507707,0.41553932,0.8017051,0.98476976,1.5168602,1.5548944,0.47581,1.3738832,1.1853545,1.2893401,1.5223105,1.4724814,1.0222423,0.36054605,0.943642,1.4225837,0.5697378,1.2127212,0.5375835,0.9145087,0.953393,0.85710955,0.3790753,1.3343105,0.9659443,1.303531,1.1058486,0.37956643,1.4132444,0.4336158,1.0384443,1.1382785,0.8355703,1.1780789,0.78616595,1.2472129,0.4758395,1.0503912,0.9422249,0.55574447,1.2664992,1.3041453,0.79350114,0.7870081,1.075223,1.3513396,0.0,0.75354517,1.1873474,0.8620652,0.909702,1.0011991,0.5741732,1.3202071,1.3125464,1.2886877,1.3772987,0.54634804,0.5971568,1.332351,1.3998086,0.799322,0.30087918,1.0469849,0.15563023,0.7370081,1.350786,0.8854687,1.3453267,1.1234722,1.447396,0.50148684,0.46489263,0.96378744,0.6682141,0.9086556,0.8073671,1.3217553,0.7619737,1.2133199,1.0585227,1.3352714,0.58951837,0.70539826,1.1495057,1.1400192,0.8183571,1.0735599,1.3409501,1.4262824,0.4156239,1.2680135,1.1985517,0.5392016,0.9572729,0.82262886,1.2240658,1.3398123,1.5021416,0.8617954,0.39041138,1.3916543,1.1303358,1.0535891,0.98979956,1.3923798,0.8368595,0.26134753,1.2986568
glove,1.0897033,0.8876143,0.7963076,1.039436,0.58047765,0.5655507,0.9515426,0.8120036,1.2565485,1.4955977,0.5638001,1.5030679,1.3462505,1.1274202,1.3641505,1.3446641,0.8483267,0.6167481,1.0554861,1.3192451,0.95396435,1.0838046,0.70570827,0.74208987,1.0899129,0.94307613,0.8462817,1.1752456,1.1699932,1.476481,0.9707283,0.5352775,1.222736,0.70910203,1.0138383,1.1765621,0.70074964,1.1087022,0.8938043,1.1799426,0.8372538,0.90094024,1.3247303,0.86657286,1.1950498,0.98463094,0.5904452,0.69659555,1.2793481,1.1546974,0.75354517,0.0,1.1056737,0.76047695,1.3362713,0.9756515,0.56168944,1.2116941,0.7756122,1.1469104,1.2641097,0.74950665,0.70553255,0.99503934,1.1865752,1.0169855,0.7119209,0.7687688,0.6676645,0.7899835,1.3226967,0.7630348,1.3586856,1.2282603,1.3216522,0.68192625,0.6014083,0.85621095,0.5978532,0.8993208,0.82783896,1.2341995,1.0344081,1.1421041,0.9205641,1.4102144,0.9321469,0.6771026,1.3517331,0.82678205,0.865876,1.1804156,1.1860251,1.2111671,0.45771194,1.2444991,0.8142743,0.59693813,0.7641134,0.74002784,1.067026,1.2694368,1.5179904,0.76417494,0.8105426,1.1316401,1.1204419,0.671877,0.63402724,1.3999405,0.92016464,0.65490454,1.3755692
grass,0.9355629,0.9022255,1.112033,0.88493186,1.1979579,1.2404957,1.0791073,1.1377505,1.0200583,0.8741341,1.1101768,0.99923295,0.9522029,0.9388789,0.8059803,0.9257752,1.1548855,1.1973138,1.1290858,1.0310035,1.0793054,1.1231818,1.234268,1.171661,0.7922139,1.2543751,1.1108993,0.91845876,1.0364923,1.0676844,1.0664536,1.2103026,1.0369122,1.1339108,0.9832934,0.71393526,1.1514987,1.1303353,1.0933976,0.96696675,1.1000836,0.91401017,0.9241288,0.8236918,0.98253894,0.762187,1.1345605,0.8105824,0.79708904,0.9100646,1.1873474,1.1056737,0.0,1.090491,1.0351026,0.6992279,1.1747394,0.92938006,0.95975745,0.9225991,1.0486286,1.1925586,1.0845017,0.97559124,0.94985616,0.9326051,1.150074,0.92264706,1.1674471,1.1198671,0.99453354,1.083413,0.9278828,0.9090575,0.85882723,1.1299554,1.1703373,1.0796101,1.166684,1.091943,1.1533673,0.9314316,1.0298723,1.0253081,1.0997925,1.0703208,1.0144737,1.1391184,0.9252493,1.0833069,1.041509,0.98895884,1.0724019,1.0597271,1.2444563,0.72377515,0.9884108,1.1310256,1.0218523,1.1061829,1.1673969,0.9551858,0.89745754,1.2075971,0.86587834,0.909191,0.87490046,0.98584896,1.2723548,0.90602416,1.1939876,1.0819204,0.95064044
gum,1.1171446,0.9048625,0.6862605,1.162909,0.60091144,0.76328254,0.78145164,0.8027798,1.0958283,1.4043845,0.95015323,1.3616489,1.2923898,1.1401186,1.3105767,1.2020018,0.59746015,0.60976386,0.9079903,0.9468925,0.86754894,1.0631393,1.1472378,0.83464384,1.3410919,1.2549415,1.0475117,1.2707962,1.079232,1.3956695,0.9290159,0.57591546,1.2393236,0.8385347,0.91964144,1.2305713,0.7913631,1.151123,0.87525976,1.0312397,0.8823079,1.1895773,1.1567274,0.8713339,1.1144806,1.0328062,0.61295,0.86704886,1.0384065,0.94296074,0.8620652,0.76047695,1.090491,0.0,1.1857057,0.9532588,0.8423965,1.2149483,1.0425601,0.97528404,1.2519355,0.9235493,0.9774321,1.0206472,1.111836,0.78520525,0.707943,0.9600988,0.8949715,1.0093496,1.202707,0.66103035,1.3409733,1.2422845,0.8844607,0.6552578,0.8033466,1.0034729,0.87898874,0.84074104,0.66521835,1.2360833,1.0618188,1.1158206,0.9549757,1.3345289,0.9182153,0.77235454,1.3980156,0.72324824,1.1480253,1.1516913,1.0738951,1.1901983,0.56990063,1.2808055,0.9783816,0.9359992,0.78908193,0.6569197,0.9753002,1.3303463,1.280173,0.527812,0.8473096,1.0735769,0.83095217,0.97165114,0.49032855,1.008634,1.2581499,0.7845225,1.3173374
hair,0.9106327,0.959225,1.0561563,0.86676294,1.1478565,1.2255173,1.092415,1.3393703,1.0614223,0.8848076,1.2256961,0.77335906,0.6406901,0.9262508,0.9459072,0.92148113,1.2106293,1.2284293,1.1848032,1.0483105,0.80894905,1.1073645,1.2040193,1.1802373,0.9648529,1.140068,1.0566682,0.88478065,0.98158,0.6595901,1.0100008,1.2965081,1.0495356,1.2375321,1.061966,0.8228132,1.0454028,1.0032511,1.181812,0.81743515,1.1778619,1.1954063,0.25705373,0.86766106,1.0337344,1.0293874,1.2469468,1.0553836,0.7848989,0.8393825,0.909702,1.3362713,1.0351026,1.1857057,0.0,0.76751864,0.9998291,0.7824679,1.0411156,1.0623604,0.9836519,1.2018956,1.1875067,1.0235794,0.9517368,0.90129095,1.1116749,1.2555804,1.1130883,1.237125,0.9312531,1.1287853,0.68166494,0.8545988,0.96180135,1.1342428,1.1983199,1.0837357,1.3263419,1.1204392,1.2702228,0.7780227,0.82514954,0.9830407,1.0805942,0.9328249,0.8481868,1.2678776,0.60452753,1.1846768,1.0538061,0.96248084,1.1676913,0.9787658,1.2832762,1.0401584,1.0082064,1.2423986,1.1932621,1.187053,1.0254815,0.6735086,0.8795976,1.2895424,0.8822265,1.0448524,1.0862772,1.3059728,1.296189,0.93037564,1.1887426,1.0569723,0.8213056
hand,0.75239646,0.6664555,0.9210633,0.73749244,1.0318929,1.2467186,0.9126537,1.269509,1.0352635,1.0587956,1.11724,1.0405385,0.7889021,0.93911946,0.9582742,1.0024132,1.1519006,1.2838365,1.2431815,1.1017876,0.8137636,1.1061902,1.2366059,1.2735834,1.09029,1.2042248,1.2092794,1.0061473,0.9882983,1.0400739,1.0243132,1.2411363,1.1160967,1.2934406,1.1588582,0.7990587,1.1263275,1.0674686,1.1988716,1.005531,1.2713711,1.068841,0.7228801,0.2947032,1.0701271,0.77571696,1.1072724,0.69848883,0.5643698,0.8267467,1.0011991,0.9756515,0.6992279,0.9532588,0.76751864,0.0,1.2132934,1.0122449,1.0412672,0.8797302,1.0765573,1.2654446,1.1825988,1.0126345,0.981787,0.88676715,1.1580333,1.0307214,1.095748,1.2201978,0.9644162,1.1825613,0.96360505,0.7839877,0.97800946,0.9920657,1.1556865,0.9857059,1.2872847,1.0671649,1.2800667,1.0059084,0.8990536,0.9908553,1.0635194,1.1684593,0.7791018,1.1136726,0.80934846,1.1316988,0.8590816,0.91086245,1.136626,1.071892,1.2814066,1.0368106,0.8563988,1.1008086,1.0213834,1.0225269,1.0589985,0.9359251,1.0716224,1.2701163,0.52532226,1.1060112,0.9480856,1.1287217,1.2695668,1.0516573,1.2304451,0.90591323,1.0485202
hat,1.2601001,1.0072768,0.9568152,1.1800361,0.62904763,0.5939651,1.0738925,0.8794997,1.3452246,1.3676083,0.6748954,1.3381217,1.2677833,1.2568225,1.3288782,1.2732859,0.92783207,0.45748508,1.0467051,1.3495991,0.8683942,1.1727029,0.77187467,0.7071527,1.0351965,0.9256527,0.691944,1.1898899,1.0655748,1.2947829,1.0021237,0.5485724,1.245069,0.58022076,1.001971,1.1945906,0.52392375,1.1492004,0.8952083,1.0921005,0.70654494,0.9352906,1.0494925,0.9761839,1.1555803,1.2687591,0.72346735,0.8195214,1.251253,1.1117978,0.5741732,0.56168944,1.1747394,0.8423965,0.9998291,1.2132934,0.0,1.1419905,0.9243178,1.2603468,1.3011205,0.6429392,0.78440964,1.0469805,1.0986552,0.88408464,0.51664007,1.0788645,0.6355003,0.8890758,1.2501805,0.68273115,1.2423432,1.2549262,1.2784786,0.76987827,0.706625,1.0279393,0.65884614,0.91817987,0.7104309,1.1764475,0.9166442,1.1081976,0.9567445,1.2870209,0.93723196,0.7230292,1.1917152,0.86280286,1.0536276,1.225486,1.2821891,1.3016999,0.44383997,1.1680881,0.9861928,0.70148283,0.97202075,0.7597841,1.1387283,1.1813389,1.3784882,0.6490756,0.8119166,1.2603674,1.2369248,0.9428567,0.66165984,1.273372,0.9307502,0.61023164,1.2246679
