,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
sandwich,0.67139745,1.1174428,0.9034389,0.89002144,1.0887054,1.1843265,0.18668681,1.1084632,0.99234957,1.0495392,1.1761223,1.1602333,1.0089943,1.1163497,0.8879437,1.0611432,1.1586491,1.1577208,1.0243994,1.0936972,0.4938056,1.0371494,1.3070111,1.2639127,1.1637939,1.1301943,1.0844563,1.2416834,0.48349214,1.1649216,1.1857097,0.8449361,0.69842684,0.5434376,1.1462815,0.5342562,1.1388583,1.1235496,1.1875119,0.99584395,0.8207329,0.9275454,1.0085467,1.2008017,1.092453,1.1161264,1.1048133,1.1149987,1.1925529,1.0967613,1.0969487,1.1099746,0.46819776,0.950228,1.0607018,0.9562365,0.8093674,1.0024596,1.1863085,0.92686737,1.124641,0.9769338,1.1032566,0.600435,0.9291187,1.0481386,1.0562993,1.0493817,1.0576475,1.0708238,0.98537874,1.1011169,1.2644271,1.0707345,0.6828674,0.9836962,0.8650667,1.1894099,0.7670285,1.1630263,1.0052261,1.1653318,1.1225711,1.029465,1.072463,1.0436769,1.0693064,1.056788,0.8675802,1.1379325,1.1428205,1.0628777,1.1794075,0.5356447,1.0133913,0.95177627,0.96473956,1.1201063,1.1387103,1.1329929,1.027818,0.9831656,0.0,1.136198,0.95211875,1.0461926,0.89405584,1.2131114,0.8837593,1.1296661,1.1333096,0.9023897,1.0816222,1.131677,0.9829239,0.9044832,1.0523787,1.177662,1.1043072,1.0575413,0.96106464,1.0646362,0.8993818,1.1357971,1.047704,0.7587534,0.9653703,0.98748165,0.99550706,0.9654813,1.0756546,1.1364766,1.2014441,1.1296114,1.1323447
scarf,0.9355416,0.93390334,1.1944257,0.8972236,1.1473467,1.1616796,1.1255747,1.1827478,0.88216954,0.8540748,1.2029063,1.0399225,0.56395113,1.165577,1.0022153,0.9101639,1.0457228,1.157229,1.1041442,0.9036927,1.1735951,0.9766371,1.0003394,1.2176309,1.1080482,1.1167678,1.1021975,1.08152,0.9925752,1.1562297,1.1148696,0.9600695,1.1590661,1.1132364,1.0198283,0.99859124,1.1805812,1.0136654,1.219188,1.0029465,1.0663108,0.9300242,0.8026762,1.1101608,1.0739449,0.77882576,1.0618008,1.1393193,1.0131587,0.7029121,0.9724913,0.8894889,1.1821291,1.1086543,1.081054,0.96640086,1.0893831,0.8063029,1.0910482,1.0596515,1.0200899,1.0728151,0.66087824,0.9600682,0.8184693,1.1492593,0.9313878,0.908674,1.096711,1.0197246,1.0368732,0.94244176,1.2195154,0.7708789,1.1668547,1.0316981,0.87513113,0.9117801,1.1510956,1.0397264,1.2127483,0.98931754,0.7470322,1.0586392,1.0481912,0.64212066,0.85364616,1.0563138,1.0163616,1.1573318,1.1656516,1.1309485,1.1382632,0.95431507,1.0197679,0.98445815,1.0477959,0.99103993,1.1569012,1.1212173,1.1896546,1.0859326,1.136198,0.0,1.0501338,0.81337655,1.0122617,1.0804003,1.054965,1.1844325,1.0973659,0.9743878,1.1339395,0.93050396,0.9812055,1.1365792,1.0355299,1.0129491,0.95536643,0.76148987,0.8712168,0.817486,1.1743947,0.99010295,1.0028119,0.93353915,1.2070583,1.0318767,0.8799658,0.8669286,0.8538962,0.96514475,1.1735212,1.1215644,0.9760563
scissors,0.83590275,1.2158561,1.1299539,0.7518572,1.1217823,1.0635436,0.8985999,1.2311705,0.64630127,0.9483784,1.2886637,1.0058656,0.96407175,1.1721585,1.0184381,0.7828471,0.91697496,1.201752,0.83277524,0.7579768,1.2724844,0.6909919,0.9296893,1.3471669,1.109654,1.2397178,1.1149069,1.1555799,0.9987016,1.2309005,1.0599425,0.73360354,1.091505,1.0987599,1.1507068,0.95814,1.088889,1.1125704,1.1923568,0.935538,1.0415834,1.0346826,0.9863288,1.0297927,1.0034661,1.236645,1.17216,1.2372892,1.0994862,1.0417892,1.1774249,0.91119504,0.9266792,1.0668274,1.0666981,0.9694777,0.617014,0.9394788,1.2946469,1.2251395,1.0938268,0.90129447,1.0701962,1.1127058,0.881526,1.3694757,0.4805292,1.0431623,0.94392425,1.0496976,0.4998703,0.951247,1.1310985,1.1289885,0.9541471,0.9651674,0.7801049,1.2640212,1.1241312,1.3070896,1.3066273,1.2162913,1.1218828,1.0860887,1.1711931,1.0265577,1.0060709,0.91155756,1.041487,1.0422044,0.97591364,1.1616714,1.3967185,1.0060496,1.0729563,0.7667513,1.0272225,1.0766312,1.0352381,1.0545892,1.2361722,0.9394787,0.95211875,1.0501338,0.0,1.0375513,0.919973,1.2536243,0.5528351,0.99969816,0.7997818,0.659892,1.2715435,0.9004921,0.85170066,0.62817335,0.49096662,1.03359,1.1772625,1.0244477,0.60438716,0.7724302,0.83475494,1.286195,1.3177973,0.5372794,1.2879087,0.711004,0.71760863,0.99557257,1.1519912,1.0626374,1.0165657,1.1457167,0.9929725
shirt,0.61772233,1.0132098,1.3775123,0.39290625,1.3837863,1.2679543,1.1334177,1.434751,0.7523794,0.5490461,1.3098087,0.9192447,0.3767553,1.400166,0.66826963,0.9030481,1.2747822,1.4530427,1.3357753,0.9976388,1.3762292,0.83885586,1.2180926,1.3078946,1.2424899,1.2325699,0.60738075,1.0292372,0.8448669,1.3910389,0.9081528,0.7921046,1.1939698,1.2623049,0.6586988,1.1366706,1.4703281,0.9782229,1.5024195,1.2233715,1.1807072,0.4918908,1.0927691,0.95126855,0.9134832,0.66704625,0.9268484,1.3228314,0.9582065,0.46573228,1.0029438,0.9542025,1.247586,1.3383002,0.8631272,1.0275578,1.2305212,0.81933534,1.1692533,1.1521246,0.7999851,1.343246,0.48433018,1.0513028,0.7148261,1.3169951,0.7790097,0.363518,1.355608,0.3509314,1.0582384,0.7496639,1.4194096,0.84399027,1.2469158,1.1871176,0.84068716,1.1943866,1.236505,1.3204781,1.3138456,0.9774527,0.844861,1.0635585,0.8309339,0.27944177,0.3085519,1.0626097,1.0361564,1.3707609,1.3770568,1.272949,1.109728,1.0355756,1.2337441,1.1484241,1.1959075,1.0324627,1.2934304,0.7073381,1.2502742,1.2195127,1.0461926,0.81337655,1.0375513,0.0,1.1907976,0.64514923,1.2334162,0.8231911,1.0188363,0.8364036,1.4014952,0.7728894,1.0549159,1.4138865,1.0502567,1.2682841,1.0849019,0.07715666,0.9728973,0.68095416,1.422028,1.1114752,1.2252169,1.016309,1.2783043,1.4018089,0.9074315,0.9230062,0.8558659,0.92024535,1.200305,1.2722344,0.7214831
shoe,1.092522,0.94101465,0.91955274,1.1428384,0.911295,1.0258899,0.9041795,0.92246866,1.0653032,1.1845651,0.96538675,0.9615334,1.0127584,0.96813,1.1570189,0.8990796,0.80336004,0.97399366,0.8596184,0.91781306,0.9139867,1.1132098,0.9891179,1.0827031,0.94811684,1.0061606,1.2567613,1.0403584,1.0614467,1.0335528,1.1585251,1.0921499,0.9151121,0.823406,1.1283336,1.0491943,0.95759857,1.1445107,0.97797954,0.90124965,0.95889395,1.1251086,0.8850068,1.1741929,1.094347,1.0116192,1.0322355,1.0862337,1.1022694,1.171454,1.0485212,1.0347486,0.92256415,0.84466213,0.7254812,1.0160887,0.7128441,1.0452936,1.0588834,0.72673345,1.1681703,0.7424268,1.1792535,1.0094109,1.0193241,0.92759824,1.142275,1.0442257,0.8648448,1.0901399,1.0146679,1.1598462,1.0630286,0.969177,0.910913,0.9210492,0.537226,1.0362774,0.9119983,1.0597283,0.97217965,0.9655072,1.0693147,1.0724593,1.1427743,1.1214681,1.1385386,0.96570146,1.0107977,1.0142941,1.055143,0.95356655,1.1291189,0.9307438,0.9260942,0.88494253,0.9123851,0.8214716,0.89802045,1.2695633,0.9691085,0.7950346,0.89405584,1.0122617,0.919973,1.1907976,0.0,1.0552408,0.8009121,1.239867,1.029936,1.0193309,0.7031198,1.1354301,0.9803745,0.88838947,0.93807113,0.9599722,0.9292775,1.1604456,1.069564,1.0783597,0.8124768,0.9820771,1.0582764,0.9484816,0.9647677,0.6656375,0.96501744,1.0664808,1.0156522,1.0904092,1.0556942,0.9206086,1.2736348
shorts,1.0402788,0.7582533,1.1433015,0.827875,1.2124617,0.96070856,1.1649328,1.0019748,1.2048433,1.0598831,0.83478034,0.8376051,0.87470466,1.1041092,0.9361341,1.2664769,1.133713,1.0280755,1.3073592,1.2737066,1.133714,1.183136,1.0241956,0.67520964,1.0716083,0.91964275,0.74368006,0.7247133,1.1319051,1.0717857,0.86034095,1.2360985,1.1426418,1.2240187,0.69837886,1.1631674,0.999751,1.0683944,1.0536997,1.1119367,1.1233001,0.85904306,1.0947336,0.8416512,0.9015389,0.7221491,0.67007816,1.0770123,0.8935046,0.92382735,0.77687085,1.2018605,1.1285913,1.1584357,0.63796055,0.80856264,1.3528223,1.1846031,0.7734971,0.78992355,0.95616233,1.2408583,0.8880672,1.09113,0.891489,0.8951688,1.1454247,0.582728,1.1723412,0.5123147,0.96327394,1.0331177,0.98032886,0.83208066,1.1670408,1.1519704,0.9845322,0.8137704,1.1469731,0.9880547,0.8000214,0.55927235,0.7975247,1.0118322,0.742869,0.8360272,0.59428495,1.1171662,1.1095415,0.9685113,0.9900897,1.0202054,0.6958389,1.0815154,1.1015303,1.3826876,1.159021,0.8159525,0.9981854,0.7366103,1.1533827,0.9696154,1.2131114,1.0804003,1.2536243,0.64514923,1.0552408,0.0,1.2374918,0.75742143,1.0338442,1.2805141,0.9326644,1.1718044,0.9553621,1.2791289,1.1077338,0.9071856,1.0287739,0.6106051,1.2842188,1.1900972,1.273998,0.7315521,0.8090383,1.1102282,0.8178476,1.3959024,1.3209069,1.0928787,0.76151836,1.1094495,0.8051783,0.7445206,0.9579796
shovel,1.0332961,1.2365407,1.1136144,0.95187515,1.0098678,1.0775447,0.8720673,0.9214649,0.85147655,1.136847,1.2466425,0.9298244,1.1214647,0.94856995,1.0942159,0.8739217,0.9311712,0.99531007,0.6351117,0.8816129,0.92405915,0.891856,0.7581295,1.2286749,1.0364935,1.2651054,1.2648445,0.9963637,0.9715152,1.1626033,1.0061933,0.8568257,0.9417665,0.8989983,1.125098,0.8863311,1.1190022,0.9787655,0.8130683,0.7729229,0.62857324,1.0823269,0.88917315,1.0402396,0.9460349,1.2601074,1.38685,1.1907225,1.3219976,1.2532533,1.268256,0.9698457,0.8268226,0.8449139,1.1847665,0.94193023,0.86671823,0.8776117,1.3603194,0.9282342,1.1782753,0.8855693,1.2418187,0.9165771,1.0227568,1.1758305,0.83648753,1.1277919,0.60535204,1.2726607,0.439906,1.0422359,1.0260875,1.0436229,0.859351,0.6945877,0.8656286,1.1596768,0.8625947,1.2910235,0.9579186,1.1913065,1.2800167,1.2057874,0.9975375,1.1570375,1.1802084,0.8452287,1.0771525,1.1012778,1.0656174,1.2095066,1.1751313,0.8581166,0.8725403,0.79518145,0.93055075,0.88260096,0.91727483,1.0389094,1.0839146,0.817462,0.8837593,1.054965,0.5528351,1.2334162,0.8009121,1.2374918,0.0,1.1263702,0.65525246,0.88093483,1.1904511,1.1240361,0.67515266,0.43762934,0.7868353,0.9927505,1.0462646,1.2018762,0.950573,0.9270051,0.8134501,1.3263571,1.3020756,0.6500346,0.97376716,0.85083205,0.9241947,0.98666966,1.0445834,1.0818112,0.8912497,1.1414547,1.0769941
shower,1.0236924,1.0582943,1.1184016,0.9164701,1.2032597,0.98894197,1.1452168,0.99877435,1.0539844,0.88823396,1.001586,0.874771,1.0618299,1.0096792,0.84244275,0.97263527,1.1764231,1.070628,1.161654,1.1351523,1.2333332,0.9698921,1.0183346,0.81743026,1.0386966,1.038146,0.56028277,0.8269596,1.05988,1.0573018,0.7675522,1.007593,1.2104762,1.1491225,0.8624884,1.1675717,1.0228575,0.95158356,1.0177286,1.1228046,1.1433331,0.9039128,1.3254889,0.75468653,0.8232104,0.88062286,0.98466295,1.0703865,0.9854509,1.0470341,1.0400918,0.98527443,1.0837184,1.1583978,1.0443715,0.9656138,1.2570345,1.0221395,1.037559,1.1703087,0.7068106,1.2599702,1.0029947,1.213603,1.1095273,1.1055973,0.9129789,0.7684725,1.143328,0.738607,0.82413805,0.85427094,0.87790525,1.0724349,1.1147729,1.1184063,1.1840682,0.9299477,1.1822803,1.1005855,0.9423709,0.9484965,1.1243744,1.0034777,0.7370538,0.9105259,0.79842895,1.0688565,1.1210848,0.99681455,0.9582306,1.081002,0.8581904,1.1196879,1.017124,1.1617393,1.0926692,0.98011863,0.9386655,0.5459174,1.0239114,1.0231675,1.1296661,1.1844325,0.99969816,0.8231911,1.239867,0.75742143,1.1263702,0.0,0.9694853,1.0037131,1.1123838,0.75291705,1.0536077,1.082715,1.0196563,1.0471979,1.1020073,0.8539917,0.97088814,0.98776704,1.2072172,1.0261772,0.9393827,1.1496915,0.9240187,1.334199,1.1394465,1.0012553,0.87200475,0.96919304,0.76995957,1.0606412,0.71529496
sink,0.9687593,1.2445891,1.2546778,0.85228074,1.2561785,1.0694065,1.1198384,0.9113316,0.49744993,0.755764,1.2124729,0.65650845,0.9573243,1.0666133,0.7810977,0.7124982,0.8840824,1.1898438,0.4219842,0.62321347,1.2902007,0.9318207,0.50909007,1.1423085,1.0991246,1.2508702,1.0054554,0.77219284,1.1327157,1.2457235,0.65148926,0.7198819,1.2235914,1.1733494,0.721179,1.0838144,1.2749777,0.5880908,0.89319885,1.0594572,0.8323896,1.0384064,1.115499,0.76298916,0.42430097,1.1182057,1.3279412,1.2629085,1.229848,1.1144094,1.297578,0.85689914,1.0256041,1.0200367,1.0307056,1.1041114,1.0294219,0.82100236,1.3590813,1.1856205,0.8527743,1.1193799,1.113878,1.1481723,1.0576439,1.3548481,0.8555074,0.932726,0.81121886,1.0450342,0.6857447,0.8109804,1.0966313,1.0565363,1.0074614,0.85288686,0.90870315,1.079309,1.1027818,1.3615797,0.95963055,1.1986173,1.2147895,1.2028071,0.8173487,1.0140573,0.9244325,0.72344464,1.1197419,1.226265,1.2145221,1.244414,0.98154974,0.98684305,0.9676525,0.65314186,1.0354812,1.017023,0.9179936,0.6984899,1.1972725,1.0406303,1.1333096,1.0973659,0.7997818,1.0188363,1.029936,1.0338442,0.65525246,0.9694853,0.0,0.72361225,1.3489809,0.97750294,0.7802012,0.8314113,0.94290954,1.1015666,1.3300637,1.0388564,1.1193608,0.7188593,0.9184087,1.3854951,1.3323214,0.9676209,0.97188246,1.0149336,0.6618301,0.9710209,1.060818,0.8579389,1.0007633,1.3218076,0.74147165
slide,0.67436033,1.1719122,1.2337562,0.75334305,1.0879662,1.1528018,1.0164623,1.2420573,0.49153966,0.6582826,1.3202411,0.94444937,0.74310005,1.2189579,0.8226148,0.60576653,1.0426143,1.2585282,0.738958,0.6741766,1.297503,0.7822825,0.84421414,1.3634493,1.1400285,1.2976514,0.9305645,0.9688054,1.0371265,1.2391202,0.9497288,0.75080264,1.1190941,1.1716878,0.9057317,1.1632891,1.3631904,0.82654727,1.1614116,1.177214,1.0908732,0.8569385,0.9501524,0.99683195,0.8708421,1.0743574,1.2084686,1.2644002,1.0814409,0.91438913,1.284446,0.7590088,1.0174791,1.1828214,1.081029,1.1806967,0.76243174,0.71636534,1.3330761,1.2753397,0.91414803,1.133677,0.96167296,1.2093796,1.0226891,1.3000417,0.6995751,0.8989383,1.034859,0.9478058,0.9887712,0.7459017,1.2614248,1.2107588,1.0572109,1.0153642,0.8552929,1.355537,1.0057225,1.3160576,1.3167983,1.290518,1.1100378,1.0635489,1.0322974,0.7907626,0.89446235,0.93376684,0.91402555,1.3594706,1.3356805,1.260712,1.3518646,1.103523,1.0748701,0.6073087,1.0761642,1.1766044,1.0959475,0.88215166,1.127324,1.0029054,0.9023897,0.9743878,0.659892,0.8364036,1.0193309,1.2805141,0.88093483,1.0037131,0.72361225,0.0,1.3440442,0.73497593,0.99641246,0.9597288,0.7876008,1.2529095,1.2321097,0.841689,0.733686,0.5542169,0.8545222,1.3824074,1.4176358,0.87851304,1.2915361,0.73939854,0.5493403,0.99387103,1.1088158,0.8647261,1.1416531,1.2598906,0.7695997
